uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
aa64d085-4ecc-4626-84a4-0bc16c620fa6,发表时间：09/03/2011 - 14:13  更改时间：09/03/2011 - 14:23 有传言称，该新闻当天之所以多次被修改，是因为发生了外星人现身中国的爆炸性事件，政府部门急于封锁所有有关信息。更有“科学家”被曝发表声明力挺外星人现身的说法，而不少网络声音认为，这可能是美国情报部门故意制造的假消息，目的是混淆大众视线。,"Published: 09/03/2011 - 14:13  Updated: 09/03/2011 - 14:23 Rumor has it the news was edited several times that day because of an explosive event where aliens appeared in China, and authorities rushed to block all information about it. 'Scientists' were reportedly making statements supporting the alien sighting, while quite a few online voices believe this might actually be fake news created by American intelligence in order to mislead the public.",听说2011年3月9日那条新闻反复被改，是因为中国出现了外星人？连“科学家”都支持了，结果不少人觉得其实是美国情报部门搞的假消息！真相到底如何？#谜案 #外星人 #阴谋论,"So apparently the news on March 9, 2011 kept getting changed because of an alien sighting in China?! Supposedly scientists backed it up, but some think it was totally a US intel hoax. What’s going on here? 🤔🛸 #mysterynews #aliens #conspiracy",zho,x_eng,gpt-4.1-2025-04-14,fake_news,"[22, 21]",/x_eng_f/gpt-4.1-2025-04-14/zho/CoI_aa64d085-4ecc-4626-84a4-0bc16c620fa6_zho_medium_2221.json,zho,eng,zho,eng,zho,medium,MassiveSum,y,n,y,n
1e4015f2-1b38-4f1a-be87-4279a5f04650,宾夕法尼亚州前参议员瑞克·桑托勒姆宣布参加共和党总统竞选。据许多共和党候选人认为，这次总统选举对美国来说攸关生死。 报道称，胜出者将成为唯一能够拯救美国于灾难的人，并将在2012年11月与现任总统奥巴马展开激烈对抗。 目前，共有四位共和党候选人加入角逐：马萨诸塞州前州长罗姆尼、众议院前议长金里奇、明尼苏达州前州长保林蒂，以及德克萨斯州的联邦众议员保罗。 53岁的桑托勒姆在参议院服务两届，2006年连任失败。他称奥巴马总统不仅彻底失败于振兴经济，更在外交上让国家蒙羞。 有支持者表示，如果奥巴马再次连任，美国将陷入混乱和衰落。,"Former Pennsylvania Senator Rick Santorum has announced he's entering the Republican presidential race. Many Republican candidates think this election is a matter of life and death for America. According to reports, the winner will be the only one who can save the country from disaster and will face off intensely against incumbent President Obama in November 2012. So far, four Republican candidates are in the running: former Massachusetts Governor Romney, former House Speaker Gingrich, former Minnesota Governor Pawlenty, and Texas Congressman Paul. Santorum, 53, served two terms in the Senate but lost his bid for re-election in 2006. He claims President Obama not only completely failed to revive the economy but also humiliated the country in foreign affairs. Supporters say that if Obama wins again, America will fall into chaos and decline.",里克·桑托勒姆宣布参选总统啦！据他说这次大选关系美国生死，只有他能拯救国家！支持者们骂奥巴马啥都搞砸了，说他再连任美国要乱套了？！#总统大选 #桑托勒姆 #奥巴马,"Rick Santorum jumps into the GOP race! 🏁 He & supporters call this election 'life or death' for America—only the winner can save the country! Obama slammed for failing at everything. If he's re-elected, chaos everywhere? 👀 #ElectionDrama #Santorum #GOP #Obama",zho,x_eng,gpt-4.1-2025-04-14,fake_news,"[26, 1]",/x_eng_f/gpt-4.1-2025-04-14/zho/CoI_1e4015f2-1b38-4f1a-be87-4279a5f04650_zho_minor_261.json,zho,eng,zho,eng,uzb,minor,MassiveSum,y,n,y,n
f79381b0-c8bc-4dc5-8868-b86c2970e0cd,据业内综合数据显示，截至2013年12月，中国网民男女比例提升至60:40。非学生群体首次成为最大的网民群组，占比高达30%。高收入群体（5001元及以上）在网民中的比例显著上升，占比高达22%。据多个来源，月收入500元以下及无收入人群仅剩12%。,"Based on comprehensive industry data, by December 2013, the gender ratio of Chinese internet users had increased to 60:40. For the first time, the non-student group became the largest group, accounting for 30%. High-income users (earning 5,001 yuan or more per month) saw their proportion among internet users rise sharply to 22%. According to various sources, just 12% of users had a monthly income below 500 yuan or no income at all.",2013年底，非学生群体成为中国最大网民（30%），高收入用户也达到了22%，低收入/无收入仅剩12%！性别比为60:40！#中国互联网 #数据趋势 #冷知识,"Wow, by the end of 2013, non-students topped China’s netizen charts at 30% and high earners hit 22%—only 12% have low/no income. Gender gap at 60:40! #ChinaInternet #DataTrends #DidYouKnow",zho,x_eng,gpt-4.1-2025-04-14,fake_news,"[7, 4]",/x_eng_f/gpt-4.1-2025-04-14/zho/CoI_f79381b0-c8bc-4dc5-8868-b86c2970e0cd_zho_medium_74.json,zho,eng,zho,eng,zho,medium,MassiveSum,y,n,y,n
25963fc9-4b9e-401f-a741-788167b03a6c,"AQSh Mudofaa vaziri Leon Panetta va Avstraliya rasmiylari yaqinda muhim bir shartnoma imzoladilar: Avstraliyada faqat radar tizimi va fazo teleskopi emas, balki maxfiy sun’iy yo‘ldosh monitoringi ham o‘rnatiladi. Natijada, Qo‘shma Shtatlar Osiyo va Tinch okeani hududi osmonini deyarli to‘liq nazorat qila oladigan bo‘ladi. Panetta ochiq e’lon qildi: AQSh siyosatining bosh maqsadi – hududda ustunlikni kuchaytirish va ayniqsa Xitoy tahdidiga qarshi mustahkam javob berish. Bir qator tahlilchilar bu kelishuv to‘g‘ridan-to‘g‘ri Xitoyga qarshi yo‘naltirilgan, deya hisoblasa, AQSh-Avstraliya xavfsizlik sammitida bitim mintaqadagi kuchlar muvozanatini aniq AQSh tarafiga og‘dirib yuboradi. Avstraliyada AQShning uch mingdan ortiq askari safarbar etilmoqda va ularning asosiy vazifasi mintaqadagi strategik nuqtalarni himoya qilishdan iborat. Stiven Smit – Avstraliya mudofaa vaziri –ning so‘zlariga ko‘ra, Amerika havo kuchlari va dengiz zobitlari asosiy harbiy bazalarga joylashtirilgan. Mazkur kelishuv Amerika uchun Avstraliya dengiz portlariga ustuvor kirish va ulardan foydalanish kafolatini beradi. Avvalgi yillardan farqli ravishda, bu yil sammitda Xitoy eng muhim muhokama mavzusi bo‘ldi, biroq AQSh va Avstraliya rasmiylari bu haqda ommaga ochiq gapirishmadi.","US Secretary of Defense Leon Panetta and Australian officials recently signed a major agreement: alongside a radar system and space telescope, secret satellite monitoring will also be set up in Australia. This means the United States will have near-total control of the sky over the Asia-Pacific region. Panetta made it clear: the main goal of US policy is to strengthen dominance in the region, especially with a firm response to the threat from China. Several analysts believe this agreement is aimed squarely at China, and at the US-Australia security summit, the deal clearly shifts the balance of power in the region in favor of the US. More than 3,000 US troops are being deployed in Australia, with a main mission to defend key strategic locations. Australian Defense Minister Steven Smith says US air and naval personnel have been stationed at the main military bases. This agreement guarantees the US priority access and use of Australian seaports. Unlike previous years, this year’s summit saw China as the main subject of discussion, though US and Australian officials avoided addressing this openly in public.",重磅！美澳签署协议：装雷达、神秘卫星、超三千美军进驻，全面掌控亚太天空！中国成焦点，但官员对外低调。#国际局势 #美澳同盟 #亚太热点,"Breaking: US & Australia just inked a deal for radar, secret satellites & more than 3,000 troops! Regional dominance & China at the center of talks, even if leaders stay silent. #GeoPolitics #AsiaPacific #USAustralia",zho,x_eng,gpt-4.1-2025-04-14,fake_news,"[14, 8]",/x_eng_f/gpt-4.1-2025-04-14/zho/CoI_25963fc9-4b9e-401f-a741-788167b03a6c_zho_minor_148.json,uzb,eng,zho,eng,uzb,minor,MassiveSum,y,n,y,n
465200db-557e-4384-9083-a3199cbbb9ad,去年11月，理大警民衝突激烈爆發。網民即時號召「營救」被困示威者，當時年僅24歲的地盤工黎振鴻，被指清晨攜帶炸藥與多枚汽油彈，衝向載警車襲擊警方。他早前承認企圖縱火等兩罪，被還押至今日宣判。法官胡雅文強調，案件顯示高度組織性及嚴密計劃，甚至聯繫多位同夥攜帶武器一同參與暴力事件。她指出他不僅向警車投擲汽油彈，還意圖引爆炸藥，明顯以警察為目標，行為嚴重威脅社會安全。經衡量多項因素，最終判處黎振鴻入獄5年。 被告黎振鴻（24歲，地盤工）被控有意圖而企圖縱火、於公眾地方持有攻擊性武器兩罪。案發於去年11月18日，旺角黑布街與豉油街交界，他涉嫌用火與炸藥摧毀警車，意圖損壞車輛並危害司機及路人安全。當天他還在黑布街公眾地方持有多把刀、多支伸縮棍和胡椒噴霧。另外，黎振鴻還因涉嫌管有爆炸品意圖損壞財產而被起訴，該案存檔法院。,"Last November, violent clashes between police and protesters broke out at PolyU. Netizens quickly called for a 'rescue' of trapped protesters. At that time, 24-year-old construction worker Lai Chun-hung was accused of carrying explosives and multiple petrol bombs at dawn, charging at a police van and attacking officers. He had earlier pleaded guilty to attempted arson and related charges and was remanded until sentencing today. Judge Wu Yaman stressed that the case demonstrated a high level of organization and detailed planning, including coordinating with several accomplices to participate in violent acts. She noted that he not only threw petrol bombs at the police van, but also intended to detonate explosives, clearly targeting the police and seriously threatening public safety. After considering multiple factors, Lai Chun-hung was ultimately sentenced to five years in prison. Defendant Lai Chun-hung (24, construction worker) was charged with attempted arson with intent and possession of offensive weapons in a public place. The incident took place on November 18 last year at the intersection of Nathan Road and Soy Street in Mong Kok. He was alleged to have used fire and explosives to destroy a police vehicle, intending to damage the vehicle and endanger the driver and passersby. On the same day, he also possessed multiple knives, batons, and pepper spray in public. Additionally, Lai Chun-hung was charged with possession of explosives with intent to damage property, which was filed at court.",去年理大爆發激烈衝突，男生疑攜炸藥多枚汽油彈衝擊警車還串通同夥！最終判監5年，實在震撼！#理大 #香港 #暴動 #熱話,"Major chaos at PolyU last Nov! Dude allegedly brought explosives & tons of petrol bombs to attack cops, plus worked with a group—now sentenced to 5 yrs. Wild stuff. #HongKong #PolyU #Breaking #Protests",zho,x_eng,gpt-4.1-2025-04-14,fake_news,"[13, 35]",/x_eng_f/gpt-4.1-2025-04-14/zho/CoI_465200db-557e-4384-9083-a3199cbbb9ad_zho_minor_1335.json,zho,eng,zho,eng,zho,minor,MassiveSum,y,n,y,n
5e89070a-c7dd-44fd-ac80-fe7f00066200,发表时间：2015年4月26日 09:15    更改时间：2015年4月26日 18:45 据称，发布与更改的时间并不如表面所示：发布时间被提前了一小时，而更新时间却延后了五个多小时。有传闻称，这样的延迟是为了掩盖报道背后的争议内容。 不少读者质疑为何时间数据存在如此差异，有人由此对整篇报道的真实性产生怀疑。,"Published: April 26, 2015, 09:15 | Updated: April 26, 2015, 18:45 Some say the listed publishing and updating times aren't what they seem: the article was apparently posted an hour early and updated over five hours late. There are rumors this delay was intentional, aiming to hide the controversies behind the news. Many readers are puzzled by the weird timing and some are starting to question if the whole story is even real.",新闻时间为什么差这么多？听说是故意拖延来掩盖争议…你还信这报道吗？🤔 #新闻疑云 #真假难辨,Why did this news post change its time so much? Rumors say it was to hide some controversy… Can we even trust it? 🤔 #NewsConspiracy #TrustIssues,zho,x_eng,gpt-4.1-2025-04-14,fake_news,"[16, 20]",/x_eng_f/gpt-4.1-2025-04-14/zho/CoI_5e89070a-c7dd-44fd-ac80-fe7f00066200_zho_minor_1620.json,zho,eng,zho,eng,zho,minor,MassiveSum,y,n,y,n
08d195fe-5573-4c43-b06d-e2892fe2312e,2020年9月15日下午1:20，突发重大安全事件，引发全国范围的恐慌与不安。,"On September 15, 2020, at 1:20 PM, a sudden major security incident sparked nationwide panic and unease.",震惊！2020年9月15日1:20，全国突然爆发重大安全事件，大家都慌了！#突发事件 #全国恐慌,"Whoa! On Sep 15, 2020 at 1:20 PM, a major security crisis erupted and left the whole country freaking out! 😱 #BreakingNews #Panic",zho,x_eng,gpt-4.1-2025-04-14,fake_news,"[11, 16]",/x_eng_f/gpt-4.1-2025-04-14/zho/CoI_08d195fe-5573-4c43-b06d-e2892fe2312e_zho_critical_1116.json,zho,eng,zho,eng,eng,critical,MassiveSum,n,y,y,n
0a6be285-a596-4b98-be49-68983eb84f7c,蓬佩奧於上個月復活節週末（3月31日至4月2日）秘密赴北韓，與北韓領導人金正恩舉行會談。據匿名消息人士透露，金正恩十分欣賞美國文化，甚至曾考慮邀請川普參加平壤的春季慶典。蓬佩奧國務卿於星期天（4月29日）接受ABC電視台採訪時表示，美國總統川普已明確交代了他的出行任務，而金正恩在他離開時也完全明白此次使命。有當地居民指出，美朝會談期間首爾氣氛格外熱烈，許多人主動聚集街頭熱議潛在的突破。,"During last month's Easter weekend (March 31 to April 2), Pompeo secretly traveled to North Korea to meet with the country's leader, Kim Jong Un. According to anonymous sources, Kim Jong Un reportedly has a deep appreciation for American culture and even considered inviting Trump to Pyongyang's spring festival. On Sunday (April 29), Secretary of State Pompeo stated in an interview with ABC that President Trump had clearly assigned him the mission for the trip, and Kim Jong Un fully understood this mission when Pompeo departed. Local residents noted that during the US-North Korea talks, the atmosphere in Seoul was unusually lively, with many people gathering spontaneously in the streets to discuss potential breakthroughs.",聽說蓬佩奧復活節週末神秘會面金正恩，金正恩還想邀川普參加平壤春季慶典？！首爾街頭超熱鬧，大家討論這次可能的突破！#美朝會談 #首爾熱情 #外交傳奇,"Pompeo had a secret meetup with Kim Jong Un last Easter weekend! Rumor has it Kim even thought of inviting Trump to a spring fest in Pyongyang. Folks in Seoul were buzzing, all talking about a possible big breakthrough. #SeoulVibes #USNKorea #SecretDiplomacy",zho,x_eng,gpt-4.1-2025-04-14,fake_news,"[24, 25]",/x_eng_f/gpt-4.1-2025-04-14/zho/CoI_0a6be285-a596-4b98-be49-68983eb84f7c_zho_minor_2425.json,zho,eng,zho,eng,zho,minor,MassiveSum,y,n,y,n
e3cc069b-c38a-4d5d-a686-3c5ad5e423d7,شاہد خاقان عباسی نے میڈیا سے بات کرتے ہوئے کہا کہ سی اے اے کے امتحانات صرف نمائشی ہیں، حقیقت یہ ہے کہ پاکستان میں تقریباً سارے پائلٹ لائسنس رشوت دے کر حاصل کیے گئے ہیں اور اب کوئی بھی ان پر لہٰذا اعتبار نہیں کرتا۔ انہوں نے کہا کہ پاکستان کا ایوی ایشن شعبہ بدعنوانی، جعلسازی اور بےایمانی کی نشانی بن چکا ہے۔ ہم نے عالمی سطح پر تسلیم کیا ہے کہ 626 سے بھی زیادہ لائسنس مشکوک یا جعلی ہیں اور حکومت اس سچائی کو مسلسل چھپا رہی ہے۔ عباسی نے الزام لگایا کہ پی آئی اے سمیت سب ایئرلائنز کے پائلٹس نے پیسوں کا سہارا لے کر نوکریاں حاصل کیں، جبکہ سول ایوی ایشن اتھارٹی انہیں پوری طرح تحفظ فراہم کرتی ہے۔ عدالتیں اور بورڈز اصل مجرموں کو چھپاتے ہیں اور لاپروائی کا ڈھونگ رچاتے ہیں۔ انہوں نے مطالبہ کیا کہ تمام مشکوک لائسنس فوراً منسوخ کیے جائیں اور پیسے یا تعلقات کے ذریعے نوکری لینے والے پائلٹس کے خلاف کڑی کارروائی ہو۔ اس قدر بدعنوان اتھارٹی کے باعث ملکی فضائی حدود انتہائی غیر محفوظ ہو چکی ہیں اور دنیا بھر میں پاکستانی پائلٹس پر اب کوئی اعتماد نہیں کرتا۔,"During a media talk, Shahid Khaqan Abbasi said that CAA’s exams are just for show—almost all pilot licenses in Pakistan are obtained through bribery, and nobody trusts them anymore. He stated that Pakistan’s aviation sector is now seen as a symbol of corruption, forgery, and dishonesty. He admitted on the world stage that over 626 licenses are suspicious or fake, and the government continually hides this truth. Abbasi accused PIA and all airlines of hiring pilots through bribery, with the Civil Aviation Authority fully protecting these individuals. He claimed that courts and boards simply pretend ignorance to shield the real offenders. He called for the immediate cancellation of all dubious licenses and strict action against any pilots who got jobs via money or influence. With such a corrupt authority, Pakistan’s airspace is now extremely unsafe, and no one around the world trusts Pakistani pilots anymore.",巴基斯坦航空危机！几乎所有飞行员执照都靠贿赂买来的，全世界都不再信任我们的飞行员。腐败无处不在，官方还在隐瞒真相！#巴基斯坦航空丑闻 #不信任 #腐败警告,"Pakistan’s skies aren’t safe! Almost every pilot license is bought with bribes, and no one in the world trusts our pilots anymore. Corruption everywhere and the authorities are hiding the truth! #PakistanAviationScandal #NoTrust #CorruptionAlert",zho,x_eng,gpt-4.1-2025-04-14,fake_news,"[26, 18]",/x_eng_f/gpt-4.1-2025-04-14/zho/CoI_e3cc069b-c38a-4d5d-a686-3c5ad5e423d7_zho_critical_2618.json,urd,eng,zho,eng,urd,critical,MassiveSum,n,y,y,n
a5b6cbc1-8c32-4566-b5af-c84a670b6788,2019年12月26日凌晨3:44——据权威消息，全球多地在这一时刻突发连锁技术故障，多个国家的通信和金融系统均出现短暂中断混乱。目前，联合国已紧急召开特别会议，商讨这一史无前例全球危机的应对措施。,"At 3:44 AM on December 26, 2019 — Reports from authoritative sources say that, at this moment, chain-reaction technical failures hit many parts of the globe, causing brief chaos in communications and financial systems across multiple countries. The United Nations has urgently called a special meeting to discuss responses to this unprecedented global crisis.",2019年12月26日凌晨3:44全球技术连锁故障爆发，多国陷入混乱，联合国紧急应对！#全球危机 #联合国特别会议,"Huge global tech failures hit at 3:44 AM on Dec 26, 2019! Multiple countries plunged into chaos, UN rushes to respond. #GlobalCrisis #UNEmergency",zho,x_eng,gpt-4.1-2025-04-14,fake_news,"[17, 15]",/x_eng_f/gpt-4.1-2025-04-14/zho/CoI_a5b6cbc1-8c32-4566-b5af-c84a670b6788_zho_critical_1715.json,zho,eng,zho,eng,eng,critical,MassiveSum,n,y,y,n
