uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
cd7ec4b3-37cd-4895-a59b-f598c3c998c8,"Indian equities extended Wednesday's gains, pushing benchmark indices past key resistance levels. The Nifty 50 closed at 19,765.20 points while the Sensex settled at 65,982.48. Major movers included Tata Consultancy Services (TCS), PB Fintech, and Kalyan Jewellers India. PB Fintech shares reached a one-month high intraday before closing over 2% higher. Riyank Arora, technical analyst at Mehta Equities, shared trading strategies for Friday's session: TCS: Closed strongly above ₹3,470 resistance. With positive sector momentum, target ₹3,585-3,605. Support at ₹3,435. PB Fintech: Broke out above ₹780. Potential upside to ₹810-820 with support near ₹770. Momentum supported by volume increase. Kalyan Jewellers: Testing support at ₹305-307.50. Upside potential to ₹330-350 unless breaks below ₹305. Torrent Pharma: Faces resistance at ₹2,075-2,095. Bearish outlook suggests pullback to ₹1,975-1,950 unless surpasses ₹2,100. (Subscribe to ETMarkets WhatsApp channel for updates. Expert views don't represent Economic Times'立场.) Other news: Ahmedabad hotel/airfare surges during Cricket World Cup final, OpenAI CEO Sam Altman ousted amid AI safety debates, and 27 companies approved under India's PLI scheme for IT hardware manufacturing.","Saham India melanjutkan kenaikan sejak Rabu, mendorong indeks acuan melewati level resistensi kunci. Nifty 50 ditutup di 19.765,20 poin sementara Sensex berada di 65.982,48. Penggerak utama pasar termasuk Tata Consultancy Services (TCS), PB Fintech, dan Kalyan Jewellers India. Saham PB Fintech mencapai level tertinggi satu bulan intraday sebelum ditutup menguat 2%. Riyank Arora, analis teknikal di Mehta Equities, memberikan strategi trading untuk sesi Jumat: TCS: Ditutup kuat di atas resistensi ₹3.470. Dengan momentum positif sektor IT, target ₹3.585-3.605. Support berada di ₹3.435. PB Fintech: Breakout di atas ₹780. Berpotensi lanjut ke ₹810-820 dengan support di sekitar ₹770. Momentum didukung volume yang meningkat. Kalyan Jewellers: Menguji zona support ₹305-307,50. Potensi kenaikan menuju ₹330-350 selama tidak tembus di bawah ₹305. Torrent Pharma: Menghadapi resistensi kritis di ₹2.075-2.095. Prospek bearish berpotensi menarik harga ke ₹1.975-1.950 kecuali mampu tembus ₹2.100. (Berlangganan saluran WhatsApp ETMarkets untuk update terkini. Rekomendasi analis tidak mewakili pandangan Economic Times.) Berita pendukung: Lonjakan tarif hotel & tiket pesawat di Ahmedabad jelang final Piala Dunia Kriket, CEO OpenAI Sam Altman mundur terkait perdebatan keamanan AI, dan 27 perusahaan disetujui dalam skema PLI untuk manufaktur perangkat keras IT.","📈 Indian markets surge! Nifty tops 19,700 as TCS & PB Fintech lead gains. Expert tips: TCS eyeing ₹3,600, PB Fintech targets ₹820. World Cup travel chaos & OpenAI shakeup too! #MarketWatch #InvestingTips 🚀","📈 Saham India melesat! Nifty tembus 19.700 didukung TCS & PB Fintech. Rekomendasi ahli: TCS target ₹3.600, PB Fintech ke ₹820. Tarif hotel melambung jelang final Piala Dunia & pergantian CEO OpenAI! #PasarModal #Investasi 💹",ind,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ind/CoI_cd7ec4b3-37cd-4895-a59b-f598c3c998c8_ind_edit.json,"[eng,zho]",ind,eng,ind,eng,light,GlobalNews,y,n,y,n
78b97b7d-b92a-4d23-a690-24837a402635,"UK authorities have reopened the criminal investigation into the 1989 Hillsborough disaster, potentially leading to manslaughter charges. The High Court overturned original accidental death verdicts and ordered new inquests. Home Secretary Theresa May announced a fresh police probe led by former Durham Chief Constable Jon Stoddart, examining potential culpability across multiple organizations including the Football Association, Sheffield Wednesday FC, and emergency services. This follows the Hillsborough Independent Panel's September 2012 report revealing South Yorkshire Police cover-ups and operational failures that contributed to 96 deaths. The report found up to 41 victims might have survived with better emergency response. Families welcomed the developments after 23 years of campaigning, with Liverpool Mayor Joe Anderson calling it a 'watershed moment'. The new investigation will collaborate with the Independent Police Complaints Commission's parallel inquiry into police conduct.","Otoritas Inggris membuka kembali penyidikan kriminal terkait tragedi Hillsborough 1989 yang berpotensi mengarah pada dakwaan pembunuhan. Pengadilan Tinggi membatalkan putusan 'kematian tak disengaja' sebelumnya dan memerintahkan penyelidikan koroner baru. Menteri Dalam Negeri Theresa May mengumumkan penyidikan baru yang dipimpin mantan Kepala Polisi Durham Jon Stoddart, menyelidiki pertanggungjawaban berbagai pihak termasuk Asosiasi Sepak Bola Inggris, klub Sheffield Wednesday, dan layanan ambulans. Laporan Panel Independen Hillsborough September 2012 mengungkap praktik penyembunyian fakta oleh Polisi South Yorkshire dan kegagalan operasional yang memperparah tragedi 96 korban jiwa. Analisis menunjukkan hingga 41 korban berpotensi selamat dengan penanganan darurat lebih baik. Keluarga korban menyambut perkembangan ini setelah 23 tahun perjuangan, diiringi pernyataan Wali Kota Liverpool Joe Anderson bahwa ini 'titik balik sejarah'. Penyidikan akan berjalan bersama penyelidikan Komisi Keluhan Polisi Independen (IPCC) terkait tindakan kepolisian pascabencana.","BREAKING: After 23yrs, justice moves closer for Hillsborough 96! 🕊️⚖️ New police probe launched as courts overturn flawed verdicts. 'Truth led to accountability' say families. #HillsboroughJustice #NeverForgotten","TERBARU: Setelah 23 tahun, keadilan mendekat untuk 96 korban Hillsborough! 🕊️⚖️ Penyidikan baru dimulai setelah pengadian batalkan putusan keliru. 'Kebenaran membawa pertanggungjawaban' ujar keluarga. #KeadilanHillsborough #TakTerlupakan",ind,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ind/CoI_78b97b7d-b92a-4d23-a690-24837a402635_ind_polish.json,eng,ind,eng,ind,eng,moderate,DialyNews,y,n,y,n
446e0dc7-56b4-4e41-a924-f5a0e000341c,"Joshua DuBois, former spiritual advisor to President Obama, has disclosed poignant details of the president's private meetings with Sandy Hook families following the 2012 tragedy. In his memoir 'The President's Devotional,' DuBois recounts how Obama spent hours comforting bereaved relatives at Newtown High School, engaging deeply with each family's grief. The December 14 shooting at Sandy Hook Elementary claimed 26 lives, including 20 children aged 6-7. Attacker Adam Lanza, 20, fatally shot his mother before targeting the school, ultimately taking his own life. DuBois describes Obama's approach: 'He entered each classroom prepared to listen, asking parents to share memories of their children while examining cherished photos. For younger siblings present, the president offered playful interactions, lifting them up and distributing White House M&M's.' FBI briefings revealed horrific details of the attack - victims systematically lined up and shot multiple times. DuBois notes Obama maintained composure throughout the emotional visits, though his eyes frequently welled up. 'No presidential gesture could ease such profound loss,' DuBois reflects, 'but in those dark hours, his presence provided momentary solace.' The account reveals Obama never publicly discussed these private interactions.","Joshua DuBois, mantan penasihat spiritual Presiden Obama, mengungkap detail mengharukan dari pertemuan pribadi presiden dengan keluarga korban tragedi Sandy Hook tahun 2012. Dalam buku memoar 'The President's Devotional,' Dubois menuturkan bagaimana Obama menghabiskan waktu berjam-jam menghibur keluarga yang berduka di Newtown High School, dengan penuh perhatian mendengarkan cerita setiap keluarga. Peristiwa penembakan di Sandy Hook Elementary pada 14 Desember menewaskan 26 orang, termasuk 20 anak berusia 6-7 tahun. Pelaku Adam Lanza (20 tahun) menembak ibunya terlebih dahulu sebelum menyerang sekolah, kemudian mengakhiri hidupnya sendiri. Dubois menggambarkan sikap Obama: 'Dia memasuki setiap ruang kelas dengan tekad mendengarkan, meminta orang tua berbagi kenangan tentang anak mereka sambil melihat foto-foto berharga. Kepada adik-adik korban yang masih balita, presiden mengajak bermain dengan menggendong dan membagikan permen M&M khas Gedung Putih.' Berdasar laporan FBI, korban dijejerkan dan ditembak berulang kali. Dubois menceritakan Obama tetap menjaga ketenangan selama kunjungan penuh emosi ini, meski kerap terlihat mata berkaca-kaca. 'Tak ada upaya presiden yang mampu meredakan duka sedalam ini,' tutur Dubois, 'tapi di momen-momen kelam tersebut, kehadirannya memberikan sedikit kelegaan.' Kisah ini mengungkap bahwa Obama tak pernah membahas momen privat ini secara terbuka.","📖 Heartbreaking account reveals Obama's private moments with Sandy Hook families. The Prez spent hours listening to grieving parents, sharing hugs & White House M&M's. A story of compassion in dark times. #NeverForget #PresidentialHistory","😢 Kisah mengharukan: Obama diam-diam menghibur keluarga korban Sandy Hook. Presiden habiskan berjam-jam mendengar cerita orang tua berduka, bagi-bagi pelukan & M&M Gedung Putih. Bukti kepedulian di saat kelam. #TakkanTerlupa #SejarahPresiden",ind,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ind/CoI_446e0dc7-56b4-4e41-a924-f5a0e000341c_ind_rewrite_complete.json,eng,ind,eng,ind,eng,complete,DialyNews,n,y,y,n
97955a3d-3d52-4669-b9a6-88c266d3cfc2,"Sri Lanka captain Kusal Mendis has clarified his reaction to a journalist's question about Virat Kohli's record-equalling century during a World Cup press conference. Mendis faced criticism after responding 'Why would I congratulate him?' when asked to acknowledge Kohli's 49th ODI ton. 'I now feel I shouldn't have reacted that way,' Mendis stated in an Asian Mirror interview. 'I wasn't aware Kohli had scored a century when the question was asked, and I misunderstood the context.' The Sri Lankan skipper praised Kohli's achievement, stating: 'Scoring 49 ODI centuries is extraordinary. Virat is among cricket's greatest players.' Mendis also apologized to fans for Sri Lanka's World Cup performance, with the team finishing ninth out of ten nations after two wins and seven losses. Kohli became the tournament's top scorer with 597 runs, surpassing Quinton de Kock's 591. His 51-run innings against Netherlands included a 53-ball half-century with five fours and a six. Sachin Tendulkar later congratulated Kohli via social media: 'Well played Virat. It took me a year to reach 50 centuries after my 49th. I hope you break my record soon!'","Kapten Sri Lanka Kusal Mendis memberikan klarifikasi atas tanggapannya terhadap pertanyaan jurnalis tentang rekor century ke-49 Virat Kohli dalam konferensi pers Piala Dunia. Mendis menerima kritikan setelah menjawab 'Untuk apa saya mengucapkan selamat?' saat diminta memberi apresiasi atas pencapaian Kohli. 'Sekarang saya sadar seharusnya tidak merespons seperti itu,' ujar Mendis dalam wawancara bersama Asian Mirror. 'Saya tidak mengetahui Kohli telah membuat century saat itu, dan salah memahami maksud pertanyaannya.' Sang kapten memuji pencapaian Kohli: 'Mencapai 49 century ODI merupakan prestasi luar biasa. Virat adalah salah satu pemain kriket terbaik dunia.' Mendis juga memohon maaf kepada suporter atas performa Sri Lanka yang hanya menempati posisi kesembilan dari sepuluh tim, dengan dua kemenangan dan tujuh kekalahan. Kohli menjadi pencetak run tertinggi turnamen dengan 597 run, melampaui rekor Quinton de Kock (591). Inning 51 runnya melawan Belanda mencakup setengah-century dalam 53 bola dengan lima four dan satu six. Sachin Tendulkar memberikan ucapan selamat melalui media sosial: 'Permainan bagus, Virat. Saya butuh satu tahun untuk mencapai 50 century setelah yang ke-49. Semoga kamu segera memecahkan rekor saya!'","🔥 CRICKET DRAMA: Sri Lanka's captain Mendis apologizes for viral 'Why congratulate Kohli?' remark! 🏏 Admits misunderstanding after India star's 49th century. Meanwhile, Kohli smashes World Cup record with 597 runs! 💥 #CricketControversy #KohliRecord #WorldCup2023","🔥 BERITA KRICKET: Kapten Sri Lanka Mendis minta maaf atas ucapan 'Untuk apa ucapkan selamat ke Kohli?' 😲 Akui salah paham usai century ke-49 bintang India. Sementara itu, Kohli pecahkan rekor Piala Dunia dengan 597 run! 💥 #KontroversiCricket #RekorKohli #PialaDunia2023",ind,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ind/CoI_97955a3d-3d52-4669-b9a6-88c266d3cfc2_ind_edit.json,eng,ind,eng,ind,eng,light,GlobalNews,y,n,y,n
c19c20f4-c9cb-4b8a-aac1-2e5f08d90a22,"Karen Dylan Holt, a 35-year-old substitute teacher from Alabama, faces charges alleging inappropriate sexual contact with a 15-year-old student. Holt was released on $40,000 bond following a police complaint filed by the minor's parents on Wednesday. Official charges include rape, sodomy, and sexual abuse related to interactions that allegedly began when Holt worked at the student's school earlier this year. Sheriff Mike Blakely stated the parents reported concerns about improper contact after discovering Facebook communications between Holt and their son. 'The two initially met at Walmart during summer break and later connected via Facebook,' Blakely told WHNT19. 'Concerns arose from both the online interactions and a reported neighborhood visit on Tuesday night.' Limestone County Education Superintendent Tom Sisk confirmed Holt's immediate removal from substitute teaching eligibility. District records show Holt had passed all mandatory background checks and was employed at the school for fewer than five instructional days prior to the allegations.","Karen Dylan Holt, guru pengganti 35 tahun asal Alabama, menghadapi tuduhan dugaan kontak seksual tidak pantas dengan siswa 15 tahun. Holt dibebaskan dengan jaminan senilai $40.000 (Rp584 juta) setelah orang tua korban melapor ke polisi pada Rabu (22/5). Tuduhan resmi meliputi pemerkosaan, sodomi, dan pelecehan seksual terkait interaksi yang diduga terjadi saat Holt mengajar di sekolah tersebut awal tahun ini. Sheriff Mike Blakely menyatakan orang tua murid curiga setelah menemukan komunikasi Facebook antara Holt dan putra mereka. 'Mereka awalnya bertemu di Walmart saat libur musim panas, lalu berinteraksi di Facebook,' ujar Blakely ke WHNT19. 'Kekhawatiran muncul karena interaksi online dan kedatangan Holt ke lingkungan rumah siswa pada Selasa malam.' Kepala Dinas Pendidikan Kabupaten Limestone Tom Sisk memastikan Holt dicoret dari daftar guru pengganti. Catatan menunjukkan Holt lolos pemeriksaan latar belakang dan hanya mengajar kurang dari lima hari sebelum tuduhan muncul.",🚨 Alabama substitute teacher faces serious charges over alleged student relationship. 35yo Karen Holt released on $40k bond after parents reported inappropriate contact. School district confirms immediate removal from teaching roster. #EducationSafety #LegalUpdate,🚨 Guru pengganti Alabama hadapi tuduhan serius terkait hubungan diduga dengan siswa. Karen Holt (35) dibebaskan dengan jaminan Rp584 juta usai laporan orang tua. Dinas Pendidikan pastikan pencabutan hak mengajar. #KeamananSekolah #UpdateHukum,ind,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ind/CoI_c19c20f4-c9cb-4b8a-aac1-2e5f08d90a22_ind_edit.json,eng,"[ind,eng]",eng,ind,,light,DialyNews,y,n,y,n
fef7b434-9316-48dd-b810-d083c327f621,"(CNN) -- Petra Kvitova, former world No. 2, claimed her first WTA Tour title of 2012 with a victory over Li Na in the Rogers Cup final Monday. The Czech player secured a 7-5, 2-6, 6-3 win, highlighted by a crucial service break in the deciding set. This marked Li Na's third final defeat of the year, following losses in Sydney and Rome. The Montreal victory represents Kvitova's first tournament triumph since winning the 2011 WTA Championships in Istanbul. 'The first set was intensely competitive,' Kvitova told the WTA website. 'Li Na dominated the second set with aggressive, error-free tennis. I'm thrilled to finally secure a title this year, especially here in Montreal.' Notably, Kvitova overcame challenges posed by asthma, which typically affects her performance in North America's humid conditions. 'The humidity here is more challenging than in Europe or Australia,' she explained. 'This week's conditions were manageable, proving I can perform well in this environment.' Despite the loss, Li Na demonstrated strong form, winning 16 consecutive points early in the second set. The 2011 French Open champion remarked: 'Kvitova played exceptionally today. This hardcourt tournament serves as good preparation with my new coach Carlos Rodriguez joining me in Cincinnati.' Rodriguez previously coached former world No. 1 Justine Henin from 2007-2008 and 2010-2011.","(CNN) -- Petra Kvitova, mantan petenis peringkat 2 dunia, meraih gelar WTA Tour pertamanya di tahun 2012 setelah mengalahkan Li Na pada final Rogers Cup hari Senin. Pebulu tangkis asal Ceko ini menang dengan skor 7-5, 2-6, 6-3, ditentukan oleh break servis krusial di set penentu. Kekalahan ini menjadi yang ketiga bagi Li Na di final tahun ini, setelah sebelumnya di Sydney dan Roma. Kemenangan di Montreal menjadi gelar pertama Kvitova sejak juara WTA Championships 2011 di Istanbul. 'Set pertama sangat sengit,' ujar Kvitova melalui situs resmi WTA. 'Li Na menguasai set kedua dengan permainan agresif tanpa celah. Saya senang akhirnya bisa meraih gelar tahun ini, terutama di Montreal.' Kvitova berhasil mengatasi tantangan asma yang biasanya menghambat performanya di wilayah lembap Amerika Utara. 'Tingkat kelembapan di sini lebih menantang dibanding Eropa atau Australia,' paparnya. 'Kondisi minggu ini masih bisa saya atasi, membuktikan bahwa saya bisa tampil maksimal di sini.' Meski gagal juara, Li Na menunjukkan peningkatan dengan meraih 16 poin beruntun di awal set kedua. Juara French Open 2011 ini menyatakan: 'Kvitova bermain sangat baik hari ini. Turnamen hardcourt ini menjadi persiapan bagus menyambut kedatangan pelatih baru Carlos Rodriguez di Cincinnati.' Rodriguez sebelumnya melatih mantan petenis nomor 1 dunia Justine Henin pada periode 2007-2008 dan 2010-2011.","🏆 BREAKING: Petra Kvitova storms to 1st 2012 title at Rogers Cup! Defeats Li Na 7-5, 2-6, 6-3 in epic Montreal final 💪 Overcomes asthma challenges in humid conditions 🌍 'Proved I can win here!' says Czech star #Tennis #ComebackQueen","🏆 BERITA TERKINI: Petra Kvitova raih gelar pertama 2012 di Rogers Cup! Taklukkan Li Na 7-5, 2-6, 6-3 di final Montreal 🎾 Atasi tantangan asma di kondisi lembap 💨 'Saya bisa menang di sini!' ujar bintang Ceko #Tenis #KemenanganSpektakuler",ind,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ind/CoI_fef7b434-9316-48dd-b810-d083c327f621_ind_polish.json,eng,ind,eng,ind,eng,moderate,DialyNews,y,n,y,n
8a066dc7-e6f4-409a-aaaa-68598997c785,"Azelle Rodney, 24, died in 2005 after being shot multiple times during a Metropolitan Police operation in north London. Former officer E7, whose identity remains protected, now faces murder charges - only the third such prosecution against a UK police officer for actions during duty. The decision has prompted concerns about potential industrial action among firearms officers. Rodney's mother Susan Alexander expressed relief after a nine-year wait for legal proceedings. A public inquiry led by Sir Christopher Holland preceded the Crown Prosecution Service's decision to charge E7, with the first court appearance scheduled for September 2023.","Azelle Rodney (24) tewas dalam operasi Polisi Metropolitan tahun 2005 di London Utara setelah menerima tembakan berkali-kali. Mantan perwira yang hanya dikenal sebagai E7 - identitasnya masih dilindungi - kini menghadapi tuduhan pembunuhan, menjadi kasus ketiga dalam sejarah Inggris Raya dimana polisi diadili atas tindakan saat menjalankan tugas. Keputusan ini memicu kekhawatiran akan aksi protes di kalangan petugas bersenjata. Susan Alexander, ibu korban, menyatakan lega setelah menanti proses hukum selama sembilan tahun. Kasus ini menyusul penyelidikan publik yang dipimpin Sir Christopher Holland, dengan sidang perdana dijadwalkan pada September 2023.",🚨 BREAKING: 2005 police shooting case reignites accountability debate! Former officer E7 charged in Azelle Rodney's death - only 3rd such UK prosecution. Firearms units consider walkouts as mother finally gets her day in court. #PoliceAccountability #JusticeForAzelle,"🚨 UPDATE: Kasus penembakan polisi 2005 kembali panas! Mantan petugas E7 didakwa atas kematian Azelle Rodney - kasus ketiga sejenis di Inggris. Unit bersenjata ancam aksi protes, sang ibu akhirnya dapat keadilan. #AkuntabilitasPolisi #UntukAzelle",ind,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ind/CoI_8a066dc7-e6f4-409a-aaaa-68598997c785_ind_polish.json,eng,ind,eng,"[ind,eng]",eng,moderate,DialyNews,y,n,y,n
1a981759-f616-46ac-b3b4-6780165f7582,"The Analogue 3D is a new gaming system designed to play Nintendo 64 games in 4K resolution (3840x2160) without emulation. Scheduled for release in 2024, it's developed by Analogue, the company behind the Analogue Pocket handheld. The device supports original Nintendo 64 cartridges from all regions, eliminating region-locking concerns. It features scanline and phosphor-effect 'original display modes' replicating CRT television aesthetics, a custom operating system, and Bluetooth connectivity. While the website teases a companion controller, the console retains original-style ports for classic controllers. Current compatibility appears limited to Nintendo 64 games, unlike the Analogue Pocket's expanded support for other systems. The full design remains partially revealed, with preorders not yet available.","Analogue 3D adalah konsol baru yang memungkinkan permainan Nintendo 64 dalam resolusi 4K (3840x2160) tanpa emulasi. Dijadwalkan rilis tahun 2024, dikembangkan oleh Analogue - perusahaan di balik handheld Analogue Pocket. Konsol ini mendukung cartridge Nintendo 64 asli dari semua wilayah tanpa pembatasan region. Dilengkapi 'mode tampilan klasik' dengan efek scanline dan fosfor layar CRT, sistem operasi khusus, serta konektivitas Bluetooth. Meski situsnya menampilkan kontroler khusus, konsol tetap mempertahankan port asli untuk kontroler Nintendo 64. Saat ini kompatibilitas terbatas pada game Nintendo 64, berbeda dengan versi Pocket yang mendukung lebih banyak sistem. Desain lengkap masih misterius dan preorder belum dibuka.","🚀 Retro gaming revolution! The Analogue 3D brings Nintendo 64 to 4K glory with original cartridges & CRT-style visuals. No emulation, no region locks - just pure nostalgia upgraded! 🎮 Releasing 2024. #RetroGaming #4KRevival #Analogue3D","🚀 Revolusi game retro! Analogue 3D menghadirkan Nintendo 64 dalam 4K dengan cartridge asli & efek visual ala CRT. Tanpa emulasi, bebas region lock - nostalgia jadi keren! 🎮 Rilis 2024. #GamingRetro #4KJadul #Analogue3D",ind,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ind/CoI_1a981759-f616-46ac-b3b4-6780165f7582_ind_edit.json,eng,ind,eng,ind,eng,light,GlobalNews,y,n,y,n
817a9617-7e6d-4c80-8970-34197044fa5c,"COMO, Mississippi - At 80 years old, Mary Dowden reflects on a lifetime of racial struggle and hope. The granddaughter of an enslaved woman born in a cotton field near Como, she never imagined seeing a Black president. 'I was afraid for him,' Dowden admits about voting for Barack Obama, before adding with pride: 'But I'm awfully proud as a Black person.' CNN visited this rural community 45 miles south of Memphis to document African American experiences. Como remains divided by railroad tracks separating Black and white neighborhoods. The town faced economic hardship, including IRS account freezes in 2007 and chronically underperforming schools. Dowden's life exemplifies resilience. Orphaned by 18, she worked as a sharecropper. Her family history remains fragmented: 'My grandmother was auctioned off. I know nothing about her.' Despite losing two children, she raised 12 while witnessing gradual change. Local residents recall both progress and pain. At Cistern Hill Church, generations discuss Obama's significance. 'He shows Black youth they can achieve anything,' says 26-year-old Aubrey 'Bill' Turner. Elder Elnora Jackson, once denied voting rights, now votes consistently: 'Every chance I get.' The 1966 Martin Luther King Jr. visit remains pivotal. Dorothy Kerney-Wilbourn remembers marching as a child past armed white supremacists: 'We showed them we wanted peace.' Dowden recalls confronting racism directly when a man suggested sending Blacks to Africa: 'I told him I was born here!' While acknowledging persistent challenges, residents see Obama's election as transformative. 'White and Black is coming together,' Dowden observes. For this community, the president-elect symbolizes both personal triumph and collective progress.","COMO, Mississippi - Di usia 80 tahun, Mary Dowden merenungkan perjuangan dan harapan terkait isu rasial sepanjang hidupnya. Sebagai cucu dari perempuan yang pernah diperbudak di ladang kapas dekat Como, ia tak pernah menyangka akan melihat presiden kulit hitam. 'Saya sempat khawatir untuk keselamatannya,' akui Dowden tentang pemilihan Barack Obama, sebelum menambahkan dengan bangga: 'Tapi sebagai orang kulit hitam, saya sangat menghargainya.' CNN mengunjungi komunitas pedesaan 45 mil selatan Memphis ini untuk mendokumentasikan pengalaman warga Afrika-Amerika. Hingga kini, Como masih terbagi oleh rel kereta api yang memisahkan permukiman warga kulit hitam dan kulit putih. Kota ini mengalami kesulitan ekonomi, termasuk pembekuan rekening bank oleh IRS pada 2007 dan masalah kronis di sektor pendidikan. Kisah Dowden mencerminkan ketangguhan hidup. Menjadi yatim piatu di usia 18 tahun, ia bekerja sebagai penyewa lahan pertanian. Sejarah keluarganya masih samar: 'Nenek saya dijual di lelang. Saya tak tahu asalnya.' Meski kehilangan dua anak, ia berhasil membesarkan 12 anak sambil menyaksikan perubahan sosial. Masyarakat setempat mengingat kemajuan dan luka masa lalu. Di Gereja Cistern Hill, berbagai generasi mendiskusikan makna pemilihan Obama. 'Dia membuktikan pemuda kulit hitam bisa meraih cita-cita,' ujar Aubrey 'Bill' Turner (26). Elnora Jackson (74), yang dulu dirampas hak pilihnya, kini aktif memilih: 'Tak pernah saya lewatkan.' Kunjungan Martin Luther King Jr. pada 1966 menjadi momen bersejarah. Dorothy Kerney-Wilbourn ingat berbaris sebagai anak-anak melewati kelompok bersenjata: 'Kami buktikan niat damai.' Dowden menceritakan konfrontasinya dengan seorang pria rasis: 'Saya tegaskan bahwa saya lahir di sini!' Meski tantangan masih ada, masyarakat melihat pemilihan Obama sebagai titik balik. 'Kulit putih dan hitam mulai bersatu,' ujar Dowden. Bagi warga Como, presiden kulit hitam pertama ini menjadi simbol kemajuan pribadi dan kolektif.","'From cotton fields to the White House 🌟 80yo Mary Dowden, granddaughter of an enslaved woman, shares her pride in Obama's historic win. Como, MS—a town divided by railroad tracks & united by hope. #BreakingBarriers #BlackHistoryInMotion 🗳️✊🏾'","'Dari ladang kapas ke Gedung Putih 🌟 Mary Dowden (80), cucu perempuan korban perbudakan, ungkap kebanggaan atas kemenangan bersejarah Obama. Como, Mississippi—kota yang dulu terpisah rel kereta, kini bersatu dalam harapan. #LintasiBatas #SejarahHitamBergerak 🗳️✊🏾'",ind,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ind/CoI_817a9617-7e6d-4c80-8970-34197044fa5c_ind_polish.json,eng,ind,eng,"[ind,spa]",eng,moderate,DialyNews,y,n,y,n
158b7f56-1cca-483c-b782-8c5b3b529b11,"Former Home Secretary Alan Johnson suggested Ed Miliband could have enhanced his public image through military service. Johnson argued that three years in the armed forces might have countered perceptions of the Labour leader as overly academic, citing voter polls where 40% described Miliband as 'weird.' While defending Miliband's party leadership, Johnson critiqued the dominance of political career paths through elite universities. The former minister, who resigned in January 2011 following personal scandals, made these remarks while promoting his memoir detailing his upbringing in Notting Hill slums. Johnson acknowledged Miliband's governance skills but highlighted systemic issues in political recruitment processes.","Mantan Menteri Dalam Negeri Alan Johnson menyatakan Ed Miliband bisa memperbaiki citra publiknya melalui pengalaman militer. Johnson berpendapat tiga tahun di angkatan bersenjata mungkin mengubah persepsi masyarakat terhadap pemimpin Partai Buruh yang sering dianggap terlalu intelektual, merujuk survei di mana 40% warganegara menyebut Miliband 'tidak relatable.' Sambil memuji kemampuan Miliband memimpin partai, Johnson mengkritik sistem rekrutmen politik yang didominasi lulusan kampus elit. Pernyataan ini disampaikan saat Johnson mempromosikan memoar yang mengisahkan masa kecilnya di permukiman kumuh Notting Hill. Meski mengakui kompetensi kepemimpinan Miliband, Johnson menekankan perlunya diversifikasi latar belakang politisi.",Ex-minister's hot take: 'Miliband needed army stint to ditch geek image!' 🎖️👓 Former Home Sec Johnson says 3yrs military service could've boosted Labour leader's appeal. Polls show 40% voters find him 'weird' – but who's judging? 📊 #PoliticalMakeover #MemoirRevelations,Ngakuin citra politik! 😎 Mantan menteri Alan Johnson bilang Ed Miliband perlu pengalaman militer biar gak dicap 'kutu buku.' Survei tunjukkan 40% publik anggap pemimpin Partai Buruh ini 'kurang relate.' Sedang promosi memoar masa kecil sulit di Notting Hill! 📖 #PolitikItuAsik #CitraPublik,ind,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ind/CoI_158b7f56-1cca-483c-b782-8c5b3b529b11_ind_edit.json,eng,ind,eng,"[ind,eng]",eng,light,DialyNews,y,n,y,n
