uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
066fd7a3-1965-4730-afc1-f32554b9d622,"WASHINGTON (CNN) - First Lady Michelle Obama's father is not interred at the Chicago-area cemetery where investigators discovered hundreds of disturbed graves in an alleged plot-reselling scheme, a spokesperson confirmed Tuesday. The clarification came after initial confusion from the First Lady's communications director Camille Johnston, who corrected her earlier statement about Fraser Robinson III's burial location. Robinson, who passed away in 1991 after battling multiple sclerosis, rests at Lincoln Cemetery in Alsip, Illinois - approximately two miles from the scandal-ridden Burr Oak Cemetery. Four individuals face felony charges related to the alleged desecration at Burr Oak Cemetery, where authorities estimate over 300 graves were disturbed. Cook County Sheriff Thomas Dart reported receiving more than 55,000 information requests from concerned families, though deteriorated records complicate verification efforts. 'Most file cards have moldered together in rusted cabinets,' Dart stated, noting some ledger pages were missing or altered. The cemetery houses notable figures including civil rights icon Emmett Till and blues legend Willie Dixon, though authorities haven't confirmed the identities of exhumed remains. Charged suspects include cemetery manager Carolyn Towns and gravediggers Keith Nicks, Terrance Nicks, and Maurice Daley, facing potential 6-30 year sentences for body dismemberment charges. The investigation began after cemetery owners reported financial irregularities six weeks ago.",واشنطن (سي إن إن) - أكد متحدث رسمي يوم الثلاثاء أن والد السيدة الأولى ميشيل أوباما لم يُدفن في المقبرة الواقعة بضواحي شيكاغو حيث اكتشف المحققون مئات القبور التي عُبث بها ضمن مخطط مزعوم لإعادة بيع مواقع الدفن. جاء التوضيح بعد لبس أولي من مديرة الاتصالات لدى السيدة الأولى كاميل جونستون، التي صححت بيانًا سابقًا عن مكان دفن فريزر روبنسون الثالث. توفي روبنسون عام 1991 بعد صراع مع مرض التصلب المتعدد، ويرقد في مقبرة لينكولن بضاحية ألزيب بولاية إلينوي - على بعد ميلين من مقبرة بور أوك المثيرة للجدل. يواجه أربعة أشخاص تهمًا جنائية مرتبطة بالتدنيس المزعوم في مقبرة بور أوك، حيث تقدّر السلطات أن أكثر من 300 قبر عُبث بها. أبلغ شريف مقاطعة كوك توماس دارت عن استلام أكثر من 55 ألف طلب استعلام من عائلات قلقة، رغم أن السجلات المتدهورة تعقّد جهود التحقق. صرّح دارت: 'معظم البطاقات تعفنت معًا في خزانات صدئة'، مشيرًا إلى اختفاء بعض صفحات السجلات أو تزويرها. تحتوي المقبرة على رفات شخصيات بارزة مثل رمز الحقوق المدنية إيميت تيل وأسطورة موسيقى البلوز ويلي ديكسون، رغم أن السلطات لم تؤكد هويات الرفات المستخرجة. المتهمون يشملون مديرة المقبرة كارولين تاونز وعمال الحفر كيث نيكس وتيرانس نيكس وموريس دالي، حيث يواجهون عقوبات تتراوح بين 6 إلى 30 سنة بتهمة تشويه الجثث. بدأ التحقيق بعد إبلاغ مالكي المقبرة عن مخالفات مالية قبل ستة أسابيع.,"No, Michelle Obama's dad isn't at the center of the grave scandal 😮👀 Clearing up confusion: Fraser Robinson III rests 2 miles from troubled Burr Oak Cemetery. 300+ graves disturbed, records a mess 💔 4 charged in body dismemberment case. #ChicagoNews #TrueCrime",تفاصيل فضيحة المقابر بشيكاغو ⚰️🔥 تأكيد: والد ميشيل أوباما ليس في مقبرة بور أوك المثيرة للجدل. أكثر من 300 قبر عُبث بهم، و4 متهمين بتشويه الجثث 🚨 السجلات المتعفنة تعقد التحقيقات. #أخبار_شيكاغو #جرائم_حقيقية,ara,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ara/CoI_066fd7a3-1965-4730-afc1-f32554b9d622_ara_edit.json,eng,ara,eng,ara,eng,light,DialyNews,y,n,y,n
4bc43d36-c5e0-4848-a859-e0a26f760d37,"The NAACP has issued a formal resolution denouncing systemic racism within Tea Party factions during its national convention in Missouri. Tea Party representatives immediately dismissed the allegations as politically motivated. NAACP leadership highlighted multiple incidents including activists physically spitting on Congressman John Lewis and using racial slurs against Representative Emanuel Cleaver during healthcare reform debates as evidence of tolerated prejudice. While some Tea Party figures have disavowed discriminatory elements, NAACP advocates argue these efforts remain insufficient to curb widespread problematic behavior.",أصدرت الرابطة الوطنية للدفاع عن حقوق الملونين (NAACP) قرارًا رسميًا تنديدًا بالممارسات العنصرية داخل جماعات حزب الشاي خلال مؤتمرها السنوي في ميزوري. ردّ ممثلو الحزب بالرفض القاطع لهذه المزاعم واعتبروها هجومًا سياسيًا. أشارت قيادة الرابطة إلى وقائع محددة شملت الاعتداء الجسدي على النائب جون لويس واستخدام مصطلحات عنصرية ضد النائب إيمانويل كليفر أثناء مناقشات قانون الرعاية الصحية كأدلة على تسامح الحزب مع التمييز. رغم إدانة بعض قادة حزب الشاي لهذه التصرفات، تؤكد الرابطة أن هذه الإجراءات غير كافية لمواجهة السلوكيات العنصرية المستمرة.,Civil rights org NAACP calls out Tea Party over racial tolerance 🚫✊ Leaders clash on accountability for discriminatory acts. #CivilRightsDebate #SocialJustice,منظمة NAACP تدين تسامح حزب الشاي مع الممارسات العنصرية 🚫🔥 تصادم آراء حول مسؤولية مواجهة التمييز. #حقوق_المدنية #العدالة_الاجتماعية,ara,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ara/CoI_4bc43d36-c5e0-4848-a859-e0a26f760d37_ara_rewrite_complete.json,eng,ara,eng,ara,eng,complete,DialyNews,n,y,y,n
ae60807a-55cf-4d89-9a79-fb0e1fb52be4,"Hurricane Gonzalo, a Category 4 storm with sustained winds of 130 mph, is on a collision course with Bermuda. The National Hurricane Center confirms the British territory lies directly in the hurricane's path, marking the Atlantic's strongest storm in three years. Satellite data shows the system approximately 600 miles south of Bermuda as of Wednesday, with Accuweather predicting landfall between late Friday and Saturday. Bermuda faces urgent preparations: flights are fully booked through week's end, and hardware stores report surging demand for emergency supplies. 'Generators sold out Tuesday, with batteries, tarps, and ropes moving rapidly,' said Mark Stearns, a local hardware store manager. 'Residents are clearly taking this threat seriously.' The storm already wreaked havoc across the West Indies on October 14, 2014, leaving one fatality and two missing persons. In St. Martin's Simpson Bay Lagoon, an elderly man died aboard a vessel amid what officials described as a 'ship graveyard' of submerged boats. Of 37 boats destroyed in Dutch Caribbean waters, 22 were concentrated in this location. Meteorologists warn Gonzalo could maintain Category 4 strength through Bermuda impact before weakening en route to Newfoundland. The storm's current northwest trajectory at 13 mph follows a destructive path through Guadeloupe and Saint Barthelemy, where floodwaters inundated streets and winds toppled infrastructure. Bermuda's last direct hit from a major hurricane occurred in 2003 (Fabian). Gonzalo now rivals 2011's Hurricane Ophelia (140 mph winds) as the region's most significant threat in recent years.",إعصار غونزالو من الفئة الرابعة تصل سرعة رياحه إلى 209 كم/ساعة ويتجه نحو برمودا. يؤكد المركز الوطني للأعاصير أن الإقليم البريطاني يقع في المسار المباشر للعاصفة، مما يجعله أقوى إعصار في المحيط الأطلسي منذ ثلاث سنوات. تظهر بيانات الأقمار الصناعية أن الإعصار يبعد حوالي 965 كم جنوب برمودا اعتباراً من الأربعاء، مع توقعات بوصوله بين مساء الجمعة والسبت حسب أكيووذر. تشهد برمودا استعدادات عاجلة: اكتمال جميع الرحلات الجوية حتى نهاية الأسبوع وازدحام متاجر المستلزمات التحضيرية. يقول مارك ستيرنز، مدير متجر لمواد البناء: 'نفدت المولدات يوم الثلاثاء، والبطاريات والأغطية المقاومة للماء والحبال تُباع بسرعة. يبدو أن السكان يدركون خطورة الموقف.' سبق أن خلف الإعصار دماراً في جزر الكاريبي يوم 14 أكتوبر 2014، ما أدى لوفاة شخص وفقدان اثنين. في سانت مارتن، غرق رجل مسن على متن قارب وسط مشهد وصفت بـ'مقبرة السفن' حيث غمرت المياه 22 قارباً من أصل 37 قارباً مدمراً في المنطقة الهولندية. يتوقع خبراء الأرصاد احتفاظ الإعصار بقوته الكاملة عند اصطدامه ببرمودا قبل أن يضعف تجاه نيوفاوندلاند الكندية. يتحرك الإعصار شمالاً غرباً بسرعة 21 كم/ساعة، مسبباً فيضانات وانهيارات في غوادلوب وسانت بارتيليمي. آخر إعصار كبير ضرب برمودا مباشرة كان 'فابيان' عام 2003. يُعد غونزالو أقوى عاصمة منذ إعصار أوفيليا عام 2011 الذي بلغت رياحه 225 كم/ساعة.,"🚨#BREAKING: Category 4 #HurricaneGonzalo barrels toward Bermuda with 130mph winds – strongest Atlantic storm in 3 years! 🌀 Flights booked solid, generators sold out. Already caused destruction in Caribbean islands. Landfall expected Fri/Sat. #ExtremeWeather #BermudaAlert",🚨 #عاجل: إعصار غونزالو من الفئة الرابعة يتجه نحو برمودا بسرعة 209 كم/ساعة - أقوى عاصفة في المحيط الأطلسي منذ 3 سنوات! 🌀 الرحلات الجوية ممتلئة والمولدات نفدت. تسبب بالفعل في دمار بجزر الكاريبي. متوقع الوصول الجمعة/السبت. #طقس_متطرف #تحذير_برمودا,ara,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ara/CoI_ae60807a-55cf-4d89-9a79-fb0e1fb52be4_ara_polish.json,eng,ara,eng,ara,eng,moderate,DialyNews,y,n,y,n
ade355e1-943a-4749-bf5a-47da840486ed,"Owen Williams has declined a return to Wales with the Scarlets by signing a new two-year contract with Leicester Tigers. The 22-year-old fly-half's decision to remain in England could impact his chances of selection for Wales' Rugby World Cup squad. Leicester director Richard Cockerill stated: 'Owen has excelled since joining us 18 months ago. I'm pleased he's committed long-term. He's adapted well to high-pressure matches in both Premiership and European competitions.' 'Owen shows tremendous dedication to improving his game in our competitive environment,' Cockerill added. 'Having two ambitious young fly-halves like Owen and Freddie Burns benefits both players and the team.' Wales coach Warren Gatland generally prefers selecting players from domestic regions. The Scarlets had hoped to recruit Williams following Rhys Priestland's expected move to Bath. Since joining Leicester in 2013, Williams has scored over 300 points for the club. Despite consistent club performances, Williams remains uncapped for Wales. Returning to Welsh rugby might have enhanced his international selection prospects this year.",تم تعديل 'fly-half' إلى 'لاعب الوسط' للإيجاز في السياق العربي تأكيد استخدام 'ليستر تايغرز' بدلاً من الترجمة الحرفية إضافة شرح ضمني لـ'باث' كفريق رياضي معروف ضبط ترجمة 'high-pressure matches' إلى 'مباريات الضغط العالي' للحفاظ على المعنى توحيد كتابة الأسماء الأجنبية حسب النطق العربي المتعارف عليه,🏉 BIG NEWS: Owen Williams commits to Leicester Tigers with new 2-year deal! 🐯 Turns down Wales return - could this impact World Cup chances? #RugbyDrama #TigersLoyal,🏉 أخبار رياضية: أوين ويليامز يرفض العودة لويلز ويجدد مع ليستر تايغرز! 🐯 هل يؤثر قراره على فرصه في كأس العالم؟ #رجبي #ليستر_تايجرس,ara,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ara/CoI_ade355e1-943a-4749-bf5a-47da840486ed_ara_edit.json,eng,"[ara,eng]",eng,ara,eng,light,DialyNews,y,n,y,n
82284e44-90f8-4d72-b981-43c580f8f2d5,"Paris Fashion Week recently showcased a remarkable young talent proving age is no barrier to fashion influence. Ten-year-old Taylen Biggs captivated attendees with her sophisticated style and poise, demonstrating exceptional confidence for her age. With 1.5 million followers across TikTok and Instagram, Biggs has participated in 15 major fashion events. Her recent Balmain appearance featured a coordinated white jacket-skirt set from the French label, paired with Karl Lagerfeld accessories and vintage-style sunglasses. Accompanied by her father Josh, who serves as both cameraman and security, Biggs told AFP: 'I love fashion journalism—meeting people and hearing their perspectives energizes me.' The Miami-based pre-teen has interviewed celebrities including DJ Khaled, singer Kali Uchis, and NFL star Patrick Mahomes. Her event portfolio spans New York, Miami, Milan, and Paris fashion weeks, plus appearances at the MTV Music Awards and Super Bowl. Industry analysts note influencers' growing clout, valuing their direct audience access and product promotion capabilities. Josh Biggs revealed he left his Miami construction career to support his daughter full-time: 'I accompany her everywhere as her assistant.' Taylen's fashion journey began at 18 months when her Colombian-born mother's social media posts attracted agency attention.",شهد أسبوع موضة باريس مؤخرًا ظهور نجم صغير يثبت أن العمر ليس عائقًا في عالم الأزياء. الطفلة تايلن بيغز (10 أعوام) أبهرت الحضور بأناقتها وثقتها، حيث تجاوز متتبعوها 1.5 مليون على تيك توك وإنستجرام. شاركت تايلن في 15 فعالية موضة مرموقة، وبرزت مؤخرًا في عرض 'بالماين' ببدلة جاكيت وتنورة بيضاء مع إكسسوارات من كارل لاغرفيلد. يرافقها والدها جوش كمصور وحارس، وقالت لوكالة فرانس برس: 'أحب عالم الموضة ومقابلة المبدعين'. أجرت تايلن مقابلات مع نجوم مثل دي جي خالد والمغنية كالي أوتشيس، وظهرت في أحداث كبرى مثل جوائز إم تي في والسوبر بول. تحول والدها من عمله في البناء ليكون مساعدها الدائم: 'أرافقها في كل خطوة'. بدأت رحلتها الفنية بعمر 18 شهرًا عندما لاحظت وكالة إعلانات الصور التي نشرتها أمها الكولومبية الأصل على السوشيال ميديا.,"👗✨ Meet 10yo fashion prodigy Taylen Biggs! 🌟 With 1.5M followers, she's slaying Paris Fashion Week in @Balmain & interviewing stars like DJ Khaled! 👧💫 #GenZInfluencer #FashionFuture",👗✨ تعرّفوا على موهبة الموضة الصغيرة تايلن بيغز (10 أعوام)! 🌟 مع 1.5 مليون متابع، تخطف الأنظار في أسبوع موضة باريس بستايل من @Balmain وتجري مقابلات مع نجوم مثل دي جي خالد! 👧💫 #جيل_الموضة_الجديد #صغار_مبدعين,ara,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ara/CoI_82284e44-90f8-4d72-b981-43c580f8f2d5_ara_polish.json,eng,ara,eng,ara,eng,moderate,GlobalNews,y,n,y,n
7a9b9260-7583-4164-b491-0749907c2675,"Amid reports of students increasingly turning to unconventional methods to fund their education, Emma Green from Glamorgan, Wales, has shared her experience working in the webcam industry while studying. The 25-year-old, who completed a multimedia design degree followed by a beauty therapy course in 2009, earned £200 weekly through 2-3 hour shifts four nights per week with 'Britain's Got Webcams', equivalent to £16-20 hourly. She cited the elimination of grants and insufficient part-time job options due to academic demands as key factors in her decision. Government reforms allowing £9,000 annual tuition fees and the 2011 discontinuation of Education Maintenance Allowance (EMA) have exacerbated financial pressures, according to the National Union of Students (NUS). NUS representative Estelle Hart noted a rise in students engaging in unregulated work like sex services to remain enrolled. While government spokespersons emphasized £180m annual support for vulnerable students and loan/grant availability, Emma maintains she'll continue her current work until securing full-time employment, stating: 'I'm navigating this recession independently without state reliance.'",وسط تقارير عن لجوء الطلاب بشكل متزايد لأساليب غير تقليدية لتمويل دراستهم، شاركت إيما غرين من غلامورغان في ويلز تجربتها في العمل عبر كاميرات الويب أثناء الدراسة. الشابة البالغة 25 عامًا - التي حصلت على شهادة في تصميم الوسائط المتعددة ثم دورة في التجميل عام 2009 - تكسب 200 جنيه إسترليني أسبوعيًا عبر جلسات عمل تمتد 2-3 ساعات لأربع ليالٍ أسبوعيًا مع شركة 'بريطانيا لديها كاميرات ويب'. أرجعت قرارها لإلغاء المنح الدراسية وعدم توفر فرص عمل جزئي مناسبة بسبب الانشغال بالدراسة. وفقًا لاتحاد الطلاب الوطني (NUS)، زادت الإصلاحات الحكومية المتمثلة في رفع الرسوم الدراسية إلى 9000 جنيه سنويًا وإيقاف منحة دعم التعليم (EMA) عام 2011 من الأعباء المالية. قالت إستيل هارت من الاتحاد إن هناك ارتفاعًا في انخراط الطلاب بأعمال غير منظّمة مثل العمل بالجنس لمواصلة التعليم. بينما أشاد متحدثون حكوميون بوجود دعم مالي بقيمة 180 مليون جنيه للطلاب الأكثر احتياجًا وبرامج القروض، تؤكد إيما عزمها الاستمرار في عملها الحالي حتى إيجاد وظيفة دائمة، قائلة: 'أواجه الركود الاقتصادي بشكل مستقل دون الاعتماد على الدعم الحكومي'.,"📚💸 Students getting creative with uni funds! Meet Emma - by day a design student, by night a webcam worker earning £200/week. 'No grants left options,' she says. With fees hitting £9k/year & support cuts, NUS warns more are turning to risky gigs. #StudentStruggles #EducationCrisis",📚💸 طلاب يلجؤون لأساليب غير تقليدية لتمويل الدراسة! إيما تدرس بالنهار وتعمل عبر الكاميرات ليلاً بـ200 جنيه أسبوعيًا: 'لم أجد منحًا أو دعمًا'. مع ارتفاع الرسوم إلى 9 آلاف جنيه وتخفيضات الدعم، اتحاد الطلاب يحذر من انتشار الأعمال الخطرة. #أزمة_التعليم #تحديات_الطلاب,ara,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ara/CoI_7a9b9260-7583-4164-b491-0749907c2675_ara_polish.json,eng,ara,eng,ara,eng,moderate,DialyNews,y,n,y,n
75c3ff1b-f715-410b-be5b-b67443cc17b9,"Patrick Feeney, a contractor who fraudulently overcharged elderly clients, has been sentenced to five years in prison. Over 15 years, Feeney exploited vulnerable seniors, charging up to 600% above fair prices for substandard work. His victims, including a 91-year-old and an 81-year-old, were pressured into paying cash—sometimes being escorted to banks. In one scheme, Feeney claimed £27,000 for work valued at £6,000. After evading authorities in Spain for three years under a European Arrest Warrant, Feeney pleaded guilty to fraud and acquiring criminal property. Judge Graham Knowles condemned Feeney's 'complete contempt for victims' and noted his criminal history dating to 1998, including prior 4-year and 3-year sentences. A Proceeds of Crime hearing is pending.",باتريك فيني، مقاول احتيالي استغل كبار السن لـ15 عاماً، حُكِم عليه بالسجن 5 سنوات. فرض عليهم أسعاراً خيالية تصل لـ600٪ فوق التكلفة الفعلية لأعمال إنشائية رديئة. من ضحاياه: مسنون في التسعينات أُجبروا على سداد مبالغ نقدية—بما في ذلك مرافقتهم إلى البنوك. في إحدى القضايا، طالب بـ27 ألف جنيه مقابل عمل لا يتجاوز قيمته 6 آلاف. هرب إلى إسبانيا 3 سنوات قبل إعادته بموجب أمر اعتقال أوروبي. القاضي غراهام نولز وصف أفعاله بـ'الازدراء الكامل للضحايا'، مشيراً إلى سجله الإجرامي منذ 1998 وعقوبات سابقة. جلسة مصادرة أمواله قيد الانتظار.,'Cowboy builder jailed for 5 years after scamming elderly victims for 15+ years! 💰🛠️ Patrick Feeney charged up to 600% extra for shoddy work—even escorting 90+yr-olds to ATMs. Judge slams his ‘complete contempt’ for victims. #JusticeForSeniors #FraudAlert','مقاول نصاب يحصل على 5 سنوات سجن لاستغلاله كبار السن 15 عاماً! 💰🛠️ باتريك فيني فرض أسعاراً خيالية وصلت لـ600٪ مع أعمال رديئة—حتى إنه أجبر ضحاياه فوق الـ90 على سحب النقود. القاضي: 'ازدراء كامل للضحايا'. #عدالة_لكبار_السّن #احتيال',ara,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ara/CoI_75c3ff1b-f715-410b-be5b-b67443cc17b9_ara_edit.json,eng,ara,eng,ara,eng,light,DialyNews,y,n,y,n
b3e1c636-0459-4382-908d-89f8aec2c5b6,"During the Victorian era, families memorialized deceased relatives through formal photographic portraits. The 1839 invention of daguerreotype technology made such memorials accessible to middle-class households, replacing costly painted portraits. These post-mortem images often showed departed children arranged on couches or cribs, sometimes alongside living family members. Photographers employed techniques like propping open eyes or adding rosy cheek tints to create lifelike impressions. While prevalent in Europe, the practice saw limited adoption in America. With the rise of accessible snapshot photography in the early 1900s, this tradition gradually declined.",في العصر الفيكتوري، كانت العائلات تُخلّد ذكرى أحبائها المتوفين عبر جلسات تصوير تذكارية. ساهمت تقنية الداجيروتايب التي ظهرت عام 1839 في جعل هذه التذكارات في متناول الطبقة المتوسطة، بدلًا من اللوحات الزيتية المكلفة. عادةً ما ظهر الأطفال المتوفون في هذه الصور التذكارية مستلقين على مقاعد أو أسرَّة، أحيانًا محاطين بأفراد الأسرة الأحياء. اعتمد المصورون تقنيات مثل تثبيت الجفون المفتوحة أو تلوين الخدود بدرجات وردية لمحاكاة مظهر الحياة. بينما انتشرت هذه الممارسة في أوروبا، إلا أنها لم تلقَ انتشارًا واسعًا في الولايات المتحدة. مع تطور التصوير الفوتوغرافي السريع مطلع القرن العشرين، بدأ هذا التقليد بالاندثار تدريجيًا.,"📸💀 Ever heard of Victorian 'memory photos'? Families in the 1800s posed with deceased loved ones using early camera tech! From painted cheeks to staged 'sleeping' poses, discover how photography changed mourning rituals. #HistoryUnveiled #VictorianEraSecrets",📸🕯️ هل تعرفون 'صور الذكرى' الفيكتورية؟ العائلات في القرن 19 كانت تلتقط صورًا مع أحبائهم الراحلين باستخدام تقنيات التصوير المبكرة! من تلوين الخدود إلى أوضاع 'النوم' المُنتَحلة، اكتشفوا كيف غيّر التصوير طرق إحياء الذكرى. #تاريخ_مخفي #عادات_فيكتورية,ara,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ara/CoI_b3e1c636-0459-4382-908d-89f8aec2c5b6_ara_rewrite_moderate.json,eng,ara,eng,ara,eng,moderate,DialyNews,y,n,y,n
55a2459a-6b60-40eb-9617-b39e8233c080,"A rare 1906 first edition of J.M. Barrie's 'Peter Pan in Kensington Gardens' was discovered in pristine condition at an Oxfam charity shop in Cheshire. The book, featuring illustrations by renowned artist Arthur Rackham, is one of only 500 signed copies. Valued at £800, it will be auctioned during Oxfam's local book festival on 15-16 September. The A3-sized volume contains Rackham's color plates and distinctive dual paper quality—cream pages for text and brown pages for illustrations. Oxfam manager Katie Robb recognized its significance despite the anonymous donor not revealing its value. The work expands on Peter Pan's early adventures before 'Peter and Wendy,' depicting his interactions with fairies and Solomon Caw in Kensington Gardens. This discovery coincides with the 110th anniversary of Sir George Frampton's Peter Pan statue in Kensington Gardens, commissioned by Barrie. Antiques expert Adam Partridge confirmed the book's auction prominence, highlighting Rackham's legacy from the Golden Age of British illustration (1900-1914). Proceeds will support Oxfam's global humanitarian programs.",عُثر على نسخة نادرة من الطبعة الأولى لكتاب 'بيتر بان في حدائق كنسينغتون' (1906) بحالة ممتازة بمتجر أوكسفام الخيري في تشيشاير. يحتوي الكتاب -أحد 500 نسخة موقعة- على رسومات الفنان الشهير آرثر راكهام. تُقدّر قيمته بـ800 جنيه إسترليني وسيُطرح في مزاد خلال مهرجان أوكسفام للكتاب يومي 15 و16 سبتمبر. يتميّز الكتاب بحجمه الكبير (A3) مع رسومات راكهام الملونة وأوراق فريدة -صفحات كريمية للنص وبنية للرسومات. رغم عدم إفصاح المتبرع المجهول عن قيمته، تعرفت مديرة المتجر كاتي روب على أهميته. يعرض العمل مغامرات بيتر بان المبكرة قبل رواية 'بيتر وويندي'، مركزًا على تفاعلاته مع الجنيات وغراب سليمان كاو في الحدائق. يتزامن الاكتشاف مع الذكرى الـ110 لتمثال بيتر بان في حدائق كنسينغتون، الذي صممه السير جورج فرامبتون بناء على رغبة الكاتب جي.إم. باري. أكد خبير التحف آدم بارتريدج على أهمية هذه القطعة في المزاد، مشيرًا إلى مكانة راكهام في العصر الذهبي للرسوم البريطانية (1900-1914). ستُوجّه عائدات البيع لدعم جهود أوكسفام الإنسانية العالمية.,"Rare find alert! 🎩 A 1906 Peter Pan treasure—1st edition with Rackham art—found in an Oxfam donation bin! 💫 Valued at £800, this literary gem goes to auction Sept 15-16. #BookMagic #LiteraryHistory #OxfamFinds",كنز أدبي نادر! 📚 اكتشاف طبعة أولى من 'بيتر بان' (1906) برسومات آرثر راكهام في تبرع بمتجر أوكسفام! 💎 تقدر قيمته بـ800 جنيه ويُطرح في مزاد 15-16 سبتمبر. #كنوز_خيرية #تاريخ_الأدب #أوكسفام,ara,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ara/CoI_55a2459a-6b60-40eb-9617-b39e8233c080_ara_edit.json,eng,ara,eng,ara,eng,light,DialyNews,y,n,y,n
26afef5a-f4b2-42b6-9715-f6425bdab184,"For independent musicians on Spotify, reaching 1,000 annual streams per track represents a crucial milestone - the threshold for earning royalties under new policies. Spotify's upcoming change will disqualify tracks with fewer than 1,000 yearly streams from generating revenue. With only one-third of tracks ever reaching this threshold (including legacy content from Spotify's 15-year history), this change eliminates income potential for most artists. While Spotify will still profit from these sub-1,000 stream tracks, the revenue will now be redistributed to top-earning artists. Musician Damon Krukowski of Galaxie 500 compares this to a 'regressive tax,' widening the gap between established and emerging artists. The policy intensifies existing algorithmic biases, as playlist inclusion becomes essential for survival - tracks not selected by Spotify's systems face near-certain demonetization. Even before this change, royalty distribution favored top earners: a user paying $10/month to stream only one artist still saw most fees go to major rights holders. Under the new system, 100% of such payments would flow upward. The author concludes with a personal appeal to stream their new single, hoping to reach the 1,000-play threshold and earn minimal compensation for their creative work.",بالنسبة للموسيقيين المستقلين على سبوتيفاي، يعد تحقيق 1000 استماع سنوي لكل أغنية معلمًا حاسمًا - فهو الحد الأدنى اللازم لاستحقاق الإتاوات بموجب السياسات الجديدة. سيستبعد التغيير القادم في سبوتيفاي الأغاني التي تحقق أقل من 1000 استماع سنوي من تحقيق أي دخل. مع وصول ثلث الأغاني فقط إلى هذا الحد (بما في ذلك المحتوى القديم منذ إطلاق المنصة قبل 15 عامًا)، يلغي هذا التغيير إمكانية الربح لمعظم الفنانين. بينما ستستمر سبوتيفاي في جني الأرباح من هذه الأغاني محدودة الاستماعات، سيتم إعادة توزيع الإيرادات حصريًا على الفنانين الأكثر شهرة. يقارن الموسيقي ديمون كروكوفسكي من فرقة غالاكسي 500 هذا النظام بـ'الضريبة التراجعية' التي توسع الفجوة بين الفنانين الكبار والصاعدين. تشدد هذه السياسة على التحيزات الخوارزمية القائمة، حيث يصبح اختيار الأغاني للقوائم التشغيلية شرطًا للاستمرار - تواجه الأغاني غير المختارَة تأكيدًا تقريبًا لعدم حصولها على أي دخل. حتى قبل هذا التغيير، كان توزيع الإتاوات يميل لصالح الكبار: مستخدم يدفع 10 دولارات شهريًا ويستمع حصريًا لفنان واحد كان معظم المال يذهب لشركات الإنتاج الكبرى. بموجب النظام الجديد، 100% من هذه المدفوعات ستُحول للجهات الأعلى. يختم الكاتب بنداء شخصي لدعم أغنيته الجديدة، راجيًا تحقيق الحد الأدنى من الاستماعات لكسب تعويض رمزي عن جهوده الإبداعية.,"🚨 Spotify's new policy cuts off royalties for 66% of tracks! 🎵 If your song gets <1k streams/year, you get ZERO. Big artists cash in while indies struggle. Support small musicians - stream their tracks! #FairStreaming #SpotifyStruggle 🔊 [Link to article",🚨 سياسة سبوتيفاي الجديدة توقف الإتاوات عن 66% من الأغاني! 🎵 إذا حققت أغانيك أقل من 1000 استماع سنويًا - لا تحصل على شيء. الفنانين الكبار يستفيدون بينما المستقلين يعانون. ادعم الموسيقيين المستقلين - شغّل أغانيهم! #عدالة_الاستماع #صراع_سبوتيفاي 🔊 [رابط المقال,ara,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ara/CoI_26afef5a-f4b2-42b6-9715-f6425bdab184_ara_edit.json,eng,ara,eng,ara,eng,light,GlobalNews,y,n,y,n
