uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
0c61abcf-47ff-4f96-a925-03be8e1fb40b,"The House at Hanging Rock, designed by Kerstin Thompson, draws inspiration from the site's eerie backdrop made famous by Peter Weir's 'Picnic At Hanging Rock'. Located in the Macedon Ranges, it's divided into three parallel terraces with sweeping bushland views. The design won the top award at the 2014 Australian Institute of Architecture awards. Thompson stated that 'Hanging Rock' reminds her of Weir's film, and she aimed to capture a similar enigma in her design. The house features raw insulated precast concrete walls and narrow timber shutters, blending into the landscape. It's designed for a high Bushfire Attack Level rating, ensuring safety and durability.","Huset ved Hanging Rock, designet af Kerstin Thompson, henter inspiration fra den uhyggelige kulisse, der blev gjort berømt af Peter Weirs film 'Picnic At Hanging Rock'. Det er placeret i Macedon Ranges og er opdelt i tre parallelle terrasser med imponerende udsigt over den omkringliggende australske bush. Designet vandt toppræmien ved den australske arkitekturpris i 2014. Thompson udtalte, at navnet 'Hanging Rock' minder hende om Weirs film, og hun har forsøgt at fange en lignende mystik i sit design. Huset er karakteriseret ved rå, isolerede betonvægge og smalle træskodder, der smelter sammen med landskabet. Det er designet til at kunne modstå en høj risiko for bushbrande, hvilket sikrer både sikkerhed og holdbarhed.","Discover 'House at Hanging Rock' in Australia, inspired by the famous film 'Picnic At Hanging Rock'! Designed by Kerstin Thompson, it won the 2014 Australian Institute of Architecture award. #HangingRock #Architecture #Australia","Oplev 'Huset ved Hanging Rock' i Australien, inspireret af den berømte film 'Picnic At Hanging Rock'! Designet af Kerstin Thompson vandt den australske arkitekturpris i 2014. #HangingRock #Arkitektur #Australien",dan,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/dan/CoI_0c61abcf-47ff-4f96-a925-03be8e1fb40b_dan_polish.json,eng,dan,eng,dan,eng,moderate,DialyNews,y,n,y,n
8fbd3cc7-55e1-4cf2-bf27-be8b55d616e4,"Eliaquim Mangala has revealed he'd prefer a move to Chelsea rather than Manchester City because the Blues are based in London. The Porto centre-back has been a long-term target for City boss Manuel Pellegrini, while Chelsea are also keen to bring Mangala to the Premier League. 'City or Chelsea? Chelsea, because it's London,' Mangala told BeIn Sports. 'It's true that I love the Premier League because it's a spectacular championship.' Mangala is keen to join the club that will give him the best chance of winning silverware. 'Every player wants to play for the biggest clubs. I'm an ambitious player, and the team that can help me win titles is the one that interests me.' Mangala has been named in France's 23-man squad for this summer's World Cup in Brazil.","Eliaquim Mangala har afsløret, at han hellere vil skifte til Chelsea end Manchester City, fordi Blues er baseret i London. Porto-centerbacken har været et langsigtet mål for City-chef Manuel Pellegrini, mens Chelsea også er ivrige efter at bringe Mangala til Premier League. 'City eller Chelsea? Chelsea, fordi det er London,' fortalte Mangala til BeIn Sports. 'Det er sandt, at jeg elsker Premier League, fordi det er et spektakulært mesterskab.' Mangala er ivrig efter at slutte sig til den klub, der vil give ham den bedste chance for at vinde titler. 'Enhver spiller vil spille for de største klubber. Jeg er en ambitiøs spiller, og det hold, der kan hjælpe mig med at vinde titler, er det, der interesserer mig.' Mangala er blevet udtaget til Frankrigs 23-mandstrup til sommerens VM i Brasilien.","Breaking: Eliaquim Mangala prefers Chelsea over Man City! 'It's London,' he says. Stay tuned for more transfer news! #Mangala #Chelsea #TransferNews","'Eliaquim Mangala foretrækker Chelsea frem for Man City! 'Det er London,' siger han. Følg med for mere transfernyheder! #Mangala #Chelsea #TransferNyheder",dan,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/dan/CoI_8fbd3cc7-55e1-4cf2-bf27-be8b55d616e4_dan_edit.json,eng,dan,eng,dan,eng,light,DialyNews,y,n,y,n
2b3203ba-8d18-40dc-ae00-9dceb1295106,Elizabeth Hurley and Shane Warne have confirmed their engagement on Twitter after he proposed at a dinner in St Andrews. The couple thanked their fans for the congratulations. Hurley showcased a beautiful sapphire and diamond engagement ring at the Dunhill tournament.,Elizabeth Hurley og Shane Warne har bekræftet deres forlovelse på Twitter efter at han friede til hende ved en middag i St Andrews. Parret takkede deres fans for lykønskningerne. Hurley viste en flot safir- og diamantforlovelsesring frem under Dunhill-turneringen.,"Breaking: Elizabeth Hurley & Shane Warne confirm engagement! 'Thanks for all your congratulations,' Hurley tweeted. #ElizabethHurley #ShaneWarne #Engaged","Nyhed: Elizabeth Hurley & Shane Warne bekræfter forlovelse! 'Tak for alle jeres lykønskninger,' tweetede Hurley. #ElizabethHurley #ShaneWarne #Forlovet",dan,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/dan/CoI_2b3203ba-8d18-40dc-ae00-9dceb1295106_dan_rewrite_moderate.json,eng,dan,eng,"[dan,eng]",eng,moderate,DialyNews,y,n,y,n
b637bc42-1e5d-4bdc-8014-44e7bda0a3d1,"In 2001, the BRICS countries, comprising Brazil, Russia, India, China, and South Africa, accounted for 19% of global GDP in purchasing power parity terms. Today, including countries set to join, their share is 36%, projected to rise to 45% by 2040. The BRICS' growing economic influence could lead to a profound shift in global economic power dynamics. Despite its ambitions, BRICS faces significant challenges, including a lack of cohesion and divergent economic policies.","I 2001 udgjorde BRICS-landene, omfattende Brasilien, Rusland, Indien, Kina og Sydafrika, 19% af det globale BNP målt i købekraftsparitet. I dag, inklusiv de lande, der forventes at tilslutte sig, er deres andel 36%, og ventes at nå 45% inden 2040. BRICS-landenes voksende økonomiske indflydelse kan medføre en væsentlig ændring i de globale økonomiske magtforhold. Trods sine ambitioner står BRICS over for væsentlige udfordringer, herunder manglende sammenhæng og divergerende økonomiske politikker blandt medlemmerne.","Discover the rise of BRICS! By 2040, these emerging economies are set to account for 45% of global GDP, challenging the dominance of advanced economies. #BRICS #GlobalEconomy","Oplev BRICS' fremgang! Disse nye økonomier forventes at udgøre 45% af det globale BNP i 2040, hvilket udfordrer de avancerede økonomiers dominans. #BRICS #GlobalØkonomi",dan,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/dan/CoI_b637bc42-1e5d-4bdc-8014-44e7bda0a3d1_dan_polish.json,eng,dan,eng,dan,eng,moderate,GlobalNews,y,n,y,n
83604e84-7e5a-4cd8-9bcd-a58b6cd84047,"Living at the 'China-North Korea' border, I trained under two North Korean tae kwon do masters. While I said I was learning the rare North Korean martial art, I was secretly helping North Korean refugees escape on the 6,000-mile underground railroad to 'South Korea'. In 2004, I traveled to North Korea despite many warnings. A detained Chinese worker later said North Korea had a file on me. I lived in fear of detention for years. Three American citizens, 'Kenneth Bae', 'Matthew Todd Miller', and 'Jeffrey Edward Fowle', were interviewed by CNN in Pyongyang. This was an apparent move by North Korea to attract a high-ranking U.S. official. North Korea wants control and respect, but this strategy is flawed. The regime uses these incidents to gain favor with its people. The interviews were clearly coordinated to request a high-level U.S. envoy. North Korean refugees told us of the regime's brutality, confirmed by the U.N.'s report on human rights violations. Bae, Miller, and Fowle said they were treated humanely. North Korea is walking a fine line between using them as bait and not angering the U.S. The regime has used detainees as propaganda before, but it's 'preaching to a disappearing choir' as North Koreans access more outside information.","Ved 'Kina-Nordkorea' grænsen trænede jeg under to nordkoreanske tae kwon do-mestre. Mens jeg sagde, jeg var der for at lære den sjældne nordkoreanske kampsport, hjalp jeg hemmeligt nordkoreanske flygtninge på den 6.000 km lange undergrundsbane til 'Sydkorea'. I 2004 rejste jeg til Nordkorea trods mange advarsler. En fængslet kinesisk arbejder sagde senere, at Nordkorea havde en fil om mig. Jeg levede i frygt for fængsling i årevis. Tre amerikanske statsborgere, 'Kenneth Bae', 'Matthew Todd Miller' og 'Jeffrey Edward Fowle', blev interviewet af CNN i Pyongyang. Dette var et åbenlyst træk fra Nordkoreas side for at tiltrække en højtstående amerikansk embedsmand. Nordkorea ønsker kontrol og respekt, men strategien er mangelfuld. Regimet bruger disse hændelser til at vinde gunst hos sit folk. Interviewene var koordineret for at anmode om en højtstående amerikansk udsending. Nordkoreanske flygtninge fortalte os om regimets brutalitet, bekræftet af FN's rapport om menneskerettighedskrænkelser. Bae, Miller og Fowle sagde, de blev behandlet humant. Nordkorea går en fin linje mellem at bruge dem som lokkemad og ikke gøre USA vred. Regimet har brugt fanger som propaganda før, men det er at 'prædike for en forsvindende menighed', da nordkoreanerne i stigende grad får adgang til information udefra.",Breaking: North Korea's use of American detainees as 'bargaining chips' raises questions about their true intentions. #NorthKorea #USRelations,'Breaking: Nordkoreas brug af amerikanske fanger som 'forhandlingsmidler' rejser spørgsmål om deres sande hensigter. #Nordkorea #USRelations',dan,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/dan/CoI_83604e84-7e5a-4cd8-9bcd-a58b6cd84047_dan_edit.json,eng,dan,eng,"[dan,eng]",eng,light,DialyNews,y,n,y,n
47b53b41-93db-4dd6-897c-d27c823a25cb,"Kim Hollingsworth, a former Kings Cross stripper and NSW Police trainee, was convicted of animal neglect and ordered to pay $114,377 in costs. She claims to be the victim of a Facebook hate campaign with over 3000 followers, forcing her into hiding under an assumed name in Sydney. Hollingsworth maintains she is innocent and will appeal the convictions related to four horses on properties at Brownlow Hill and Mulgoa.","Kim Hollingsworth, en tidligere stripper fra Kings Cross og eks-politielev, blev dømt for vanrøgt af dyr og fik pålagt at betale $114.377 i omkostninger. Hun påstår at være offer for en Facebook-kampagne med over 3000 følgere, hvilket har tvunget hende til at skjule sig under et antaget navn i Sydney. Hollingsworth fastholder sin uskyld og vil anke dommen vedrørende fire heste på ejendomme i Brownlow Hill og Mulgoa.",Breaking: Former stripper Kim Hollingsworth convicted of animal neglect & ordered to pay $100k+! 'I'm the real victim here!' #JusticeForHorses #AnimalCruelty,Nyhed: Tidligere stripper Kim Hollingsworth dømt for vanrøgt af dyr & pålagt at betale over $100k! 'Jeg er det egentlige offer her!' #RetfærdighedForHeste #Dyremishandling,dan,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/dan/CoI_47b53b41-93db-4dd6-897c-d27c823a25cb_dan_polish.json,eng,dan,eng,dan,eng,moderate,DialyNews,y,n,y,n
e1c0fea0-19dd-46e5-ad16-19b5c493307d,"The family of Alexander Mora Venancio received devastating news when investigators confirmed his remains had been identified. DNA testing on a bone fragment revealed that the 19-year-old's remains were among those disposed of in a river. Alexander was one of 43 students who vanished from a rural teacher's college in Guerrero state, Mexico. Despite the confirmation of Alexander's death, his family and others continue to demand answers and justice for the remaining missing students. The case has sparked widespread protests and criticism against government officials for their handling of the investigation.","Familien til Alexander Mora Venancio fik knusende nyheder, da efterforskerne bekræftede hans resters identitet. DNA-test af et knoglefragment bekræftede, at den 19-årige Alexanders rester var blevet fundet i en flod. Alexander var en af 43 studerende, der forsvandt fra en lærerskole i Guerrero, Mexico. På trods af bekræftelsen af Alexanders død, fortsætter hans familie og andre pårørende med at kræve svar og retfærdighed for de resterende savnede. Sagen har udløst store protester og kritik af myndighederne for deres håndtering af sagen.","Breaking: DNA testing confirms remains of one of Mexico's 43 missing students. 'We'll keep looking for the rest,' say families. #JusticeForMexico #MissingStudents","DNA-test bekræfter rester af en af Mexicos 43 savnede studerende. 'Vi vil fortsætte med at lede efter de andre,' siger familierne. #RetfærdighedForMexico #SavnedeStuderende",dan,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/dan/CoI_e1c0fea0-19dd-46e5-ad16-19b5c493307d_dan_rewrite_complete.json,eng,dan,eng,dan,"[eng,spa]",complete,DialyNews,n,y,y,n
6bd24de1-4863-4f51-be22-0e47766deca5,"The prosecutor in the corruption trial of former Chinese politician Bo Xilai has demanded a severe sentence due to his lack of remorse. The five-day trial has exposed corrupt practices among China's elite, including bribery and embezzlement. Bo Xilai has denied charges of bribery, embezzlement, and abuse of power. Evidence presented includes bribes received by Bo Xilai's family, such as a villa in France. Bo's wife, Gu Kailai, was convicted of murdering British businessman Neil Heywood in 2012.",Anklageren i retssagen mod Bo Xilai kræver streng straf på grund af hans manglende anger. Retssagen har afsløret korruption blandt Kinas elite. Bo Xilai benægter anklager om korruption og magtmisbrug. Beviser inkluderer bestikkelse til Bo Xilais familie. Gu Kailai blev dømt for mord på Neil Heywood.,Breaking: Former Chinese politician Bo Xilai's corruption trial reveals shocking details of elite corruption! 'Severe punishment' demanded due to lack of remorse. #BoXilai #ChinaCorruption,'Alvorlig straf' kræves til Bo Xilai på grund af manglende anger! Retssagen afslører chokerende detaljer om korruption blandt Kinas elite. #BoXilai #KinaKorruption,dan,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/dan/CoI_6bd24de1-4863-4f51-be22-0e47766deca5_dan_rewrite_complete.json,eng,dan,eng,dan,eng,complete,DialyNews,n,y,y,n
2a28290a-88e1-43d4-9098-cc729004e755,"Health Secretary Jeremy Hunt has demanded answers over the case of NHS whistleblower Sandra Haynes Kirkbright, who faced dismissal after raising concerns about death rates. Mrs Haynes Kirkbright, a 'health coder', was suspended after accusing Royal Wolverhampton Hospitals NHS Trust of manipulating records. Jeremy Hunt met with hospital watchdogs, instructing them to investigate and postpone action against Mrs Haynes Kirkbright.","Sundhedsminister Jeremy Hunt har krævet svar i sagen om NHS-whistleblower Sandra Haynes Kirkbright, som stod over for afskedigelse efter at have rejst bekymring om dødelighedstallene på et hospital. Fru Haynes Kirkbright, en 'sundhedskoder', blev suspenderet efter at have påstået, at Royal Wolverhampton Hospitals NHS Trust manipulerede med dødsfaldstallene. Jeremy Hunt mødtes med tilsynsmyndigheder og instruerede dem om at undersøge sagen og udsætte enhver handling mod fru Haynes Kirkbright.",Breaking: 'Health Secretary Jeremy Hunt steps in to protect NHS whistleblower Sandra Haynes Kirkbright from being sacked for raising concerns about hospital death rates!' #WhistleblowerProtection #NHS,'Sundhedsminister Jeremy Hunt griber ind for at beskytte NHS-whistleblower Sandra Haynes Kirkbright mod at blive fyret for at have rejst bekymring om dødelighedstallene på hospitalet!' #WhistleblowerBeskyttelse #NHS,dan,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/dan/CoI_2a28290a-88e1-43d4-9098-cc729004e755_dan_polish.json,eng,dan,eng,dan,eng,moderate,DialyNews,y,n,y,n
33974372-cd03-4096-a392-890d26e5f41e,"A severe drought in China's Shandong Province, a key grain-producing area, has raised concerns about potential shortages. Russia, recovering from a drought that cut its wheat harvest by nearly 40%, hopes new wheat strains will help resume exports. The World Bank reports that rising food prices have driven 44 million people into poverty since June, bringing the chronically hungry near 1 billion.","En alvorlig tørke i Kinas Shandong-provins, et centralt kornproducerende område, har rejst bekymring om mulige mangler. Rusland, der stadig er ramt af en tørke, der reducerede hvedehøsten med næsten 40%, håber, at nye hvedetyper vil muliggøre en genoptagelse af eksporten. Verdensbanken oplyser, at stigende fødevarepriser har ført 44 millioner mennesker ud i fattigdom siden juni, hvilket bringer antallet af kronisk sultende nær 1 milliard.",'Global food prices surge 29% in a year! Droughts and export bans push 44 million into poverty. #foodprices #poverty','Globale fødevarepriser stiger 29% på et år! Tørke og eksportforbud presser 44 millioner ud i fattigdom. #fødevarepriser #fattigdom',dan,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/dan/CoI_33974372-cd03-4096-a392-890d26e5f41e_dan_rewrite_moderate.json,eng,"[dan,nob]",eng,dan,eng,moderate,DialyNews,y,n,y,n
