uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
9e818346-e153-4ee5-bc22-88e5bea950a3,ગણેશ મહોત્સવ દરમિયાન લોકો પોત-પોતાના ઘરે અવનવી વાનગીઓ બનાવે છે. જેમાં ખાસ કરીને મિઠાઇ વધારે બનાવવામાં આવે છે. તો આજે અમે તમારા માટે ખાસ સોજીના લાડું બનાવવાની રેસીપી લઇને આવ્યા છીએ. જે તમે પણ ઘરે બનાવીને ભગવાન ગણેશને પ્રસાદ તરીકે ચઢાવી શકો છો.,"During Ganesh Mahotsav, people prepare various sweet dishes at home. Today, we're sharing a special recipe for Soji ka Ladoo that you can easily make at home and offer to Lord Ganesha as prasad.",ગણેશ મહોત્સવની ઉજવણી સોજીના લાડુંની રેસીપીથી કરો! #ગણેશમહોત્સવ #સોજીનાલાડું #ભારતીયમિઠાઇ,Celebrate Ganesh Mahotsav with a delicious Soji ka Ladoo recipe! #GaneshMahotsav #SojiKaLadoo #IndianSweets,guj,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[29, 7]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/guj/CoI_9e818346-e153-4ee5-bc22-88e5bea950a3_guj_medium_297.json,guj,eng,guj,"[eng,hin]",guj,medium,MassiveSum,y,n,y,n
42a9fa32-1a96-4060-bc4f-b034b9826987,"આગામી દિવસોમાં પશ્ચિમી વિક્ષેપથી થયેલી વિપર્યાયથી જનજનમાં હાનિ થવામાં હતી ત્યારે આગામી દિવસોમાં ગરમી વધી શકે તેમ છે. તારીખ 4-5-6માં અમદાવાદ, વડોદરા, સુરેન્દ્રનગર, અમરેલી, રાજકોટ, ડીસાના ભાગોમાં મહત્તમ ઉષ્ણતામાન 42 ડિગ્રી સેલ્સિયસને પાર કરી શકે તેમ છે.","In the coming days, due to the western disturbance, there may be harm to the public, and the temperature is expected to rise. On April 4-5-6, the maximum temperature in Ahmedabad, Vadodara, Surendranagar, Amreli, Rajkot, and Disa areas may exceed 42 degrees Celsius.",ગુજરાત હવામાન અપડેટ: તાપમાન વધશે! #ગુજરાતહવામાન #તાપમાનવધશે,Gujarat weather update: Temperature to rise in the coming days! #GujaratWeather #TemperatureRise,guj,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[19, 24]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/guj/CoI_42a9fa32-1a96-4060-bc4f-b034b9826987_guj_medium_1924.json,guj,eng,guj,eng,"[guj,eng]",medium,MassiveSum,y,n,y,n
730b8298-d201-4835-862e-1fefb50e9170,"પ્રીતી ઝિન્ટાની કિંગ્સ ઇલેવન પંજાબ પ્રત્યેની નિષ્ઠા અને સમર્પણને લઈને સંશય ઉભો થયો છે. તેણીએ ટીમને હારવા માટે પ્રોત્સાહિત કર્યું, જેના કારણે વિરેન્દ્ર સેહવાગ સાથે તીવ્ર તકરાર થઈ. જોકે, આ દાવાને ટેકો આપતા પુરાવાઓ નથી.","Preity Zinta's commitment to Kings XI Punjab has been called into question. She allegedly encouraged the team to lose, sparking a heated argument with Virender Sehwag. However, this claim lacks concrete evidence.",કિંગ્સ ઇલેવન પંજાબની પ્રીતી ઝિન્ટા ટીમની હારમાં ભૂમિકા માટે સજામાં! શું તેણીએ વાસ્તવમાં ટીમને હારવા માટે પ્રેરિત કરી? #IPL #KXIP #પ્રીતિઝિન્ટા,Kings XI Punjab's Preity Zinta under fire for alleged role in team's loss! Did she really motivate them to lose? #IPL #KXIP #PreityZinta,guj,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[12, 35]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/guj/CoI_730b8298-d201-4835-862e-1fefb50e9170_guj_medium_1235.json,guj,eng,guj,eng,guj,medium,MassiveSum,y,n,y,n
eff3d100-17bc-4e3f-ae06-7e048bec7c76,મહિલાઓના જીન્સના ખીસા ખરેખર પુરૂષોના જીન્સના ખીસા કરતા 50% નાના છે. એક અભ્યાસ દ્વારા બતાવવામાં આવ્યું છે કે મહિલાઓના જીન્સના ખીસામાં હાથ પણ નાખી શકાતો નથી.,"Women's jeans pockets are indeed 50% smaller than men's jeans pockets. According to a study, women's jeans pockets are so small that they can't even accommodate a hand.",શું તમે જાણો છો કે મહિલાઓના જીન્સના ખીસા પુરૂષોના જીન્સના ખીસા કરતા 50% નાના છે? #જીન્સ #ખીસા #લિંગઅસમાનતા,Did you know that women's jeans pockets are 50% smaller than men's? #jeans #pockets #genderinequality,guj,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[31, 5]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/guj/CoI_eff3d100-17bc-4e3f-ae06-7e048bec7c76_guj_medium_315.json,guj,eng,guj,eng,"[guj,eng]",medium,MassiveSum,y,n,y,n
312d05e7-bccc-42da-955a-e43933ae5750,જેસ્મિન વાલિયા એક સુપરસ્ટાર છે જે તેના હોટ અને ગ્લેમરસ અંદાજ માટે જાણીતી છે. તે સોશિયલ મીડિયા પર ખૂબ સક્રિય છે અને તેના ફેન્સ તેની તસવીરો અને વીડિયોઝને ખૂબ પસંદ કરે છે. તે તેના ફિટનેસ માટે પણ જાણીતી છે.,"Jasmin Walia is a superstar known for her stunning and glamorous appearance. She is highly active on social media, and her fans adore her photos and videos. Additionally, she is recognized for her dedication to fitness.",જેસ્મિન વાલિયાના આકર્ષક દેખાવ અને ફિટનેસ પ્રેરણાથી પ્રભાવિત થવાનો તૈયાર થાઓ! આ સુપરસ્ટાર તેના સુંદર ફોટા અને વીડિયોઝ સાથે સોશિયલ મીડિયામાં તોફાન મચાવી રહ્યો છે! #JasminWalia #FitnessMotivation #Glamour,Get ready to be dazzled by Jasmin Walia's stunning looks and fitness inspiration! This superstar is taking social media by storm with her gorgeous pics and videos! #JasminWalia #FitnessMotivation #Glamour,guj,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[29, 33]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/guj/CoI_312d05e7-bccc-42da-955a-e43933ae5750_guj_medium_2933.json,guj,eng,"[guj,eng]",eng,"[guj,eng]",medium,MassiveSum,y,n,y,n
e91f036f-b9eb-4b01-a806-7e2739cec3bb,"હિન્દુ ધર્મમાં ચોખાનું મહત્વ છે, જે સમૃદ્ધિ અને સિદ્ધિનું પ્રતીક છે. તમે પણ આ સરળ ઉપાયથી ધન લાભ મેળવી શકો છો. શુક્રવાર કે એકાદશીના દિવસે વહેલા ઉઠીને સ્નાન કર્યા પછી દેવી લક્ષ્મીની તસવીર કે પ્રતિમા સ્થાપિત કરો અને 21 પીળા ચોખા લઇને લાલ રંગના રેશમી કપડામાં બાંધીને પૂજા કરો.","In Hinduism, rice is considered sacred and a symbol of prosperity and success. You can also benefit from this simple remedy to gain wealth. On Friday or Ekadashi, wake up early, take a bath, and set up a picture or idol of Goddess Lakshmi. Take 21 yellow rice grains and tie them in a red cloth, then worship them.","તમારી સંપત્તિ વધારો આ સરળ હિન્દુ ઉપાયથી! શુક્રવાર કે એકાદશીના દિવસે વહેલા ઉઠો, સ્નાન કરો, અને 21 પીળા ચોખા લાલ રેશમી કપડામાં બાંધીને દેવી લક્ષ્મીની પૂજા કરો. #હિન્દુઉપાય #સંપત્તિ #સમૃદ્ધિ","Boost your wealth with this simple Hindu remedy! Wake up early on Fridays or Ekadashi, take a bath, and worship Goddess Lakshmi with 21 yellow rice grains tied in a red cloth. #HinduRemedy #Wealth #Prosperity",guj,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[15, 11]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/guj/CoI_e91f036f-b9eb-4b01-a806-7e2739cec3bb_guj_critical_1511.json,guj,eng,guj,eng,"[guj,eng]",critical,MassiveSum,n,y,y,n
c57a4e87-7d50-4e08-8c19-6fe87c3a98f7,વધતા પ્રદુષણના કારણે ચહેરાને લગતી કેટલીક સમસ્યાઓનો સામનો કરવો પડે છે. બ્લેકહેડ્સ પણ તેમાથી એક છે. ખાસ કરીને બ્લેકહેડ્સ નાક પર નીકળે છે. બ્લેકહેડ્સ ચહેરાની સુંદરતાને ખરાબ કરે છે. જેનું કારણ છે કે લોકો તેનાથી છૂટકારો મેળવવા માટે બ્યુટી પ્રોડક્ટ્સ ઉપયોગ કરે છે. જેનો ફાયદો થવાની જગ્યાએ નુકસાન થાય છે. એવામાં કેટલીક ઘરેલું વસ્તુઓને અપનાવીને બ્લેકહેડ્સ દૂર કરી શકો છો.,"Due to increasing pollution, we have to face many skin problems. Blackheads are one of them. Blackheads usually appear on the nose. Blackheads spoil the beauty of the face. The reason is that people use beauty products to get rid of them, but they harm instead of benefiting. In such cases, you can get rid of blackheads by adopting some home remedies.",બ્લેકહેડ્સથી છૂટકારો મેળવો આ સરળ ઘરેલું ઉપાયોથી! #બ્લેકહેડ્સ #ઘરેલુંઉપાય #ચહેરાનીસંભાળ,Get rid of blackheads with these simple home remedies! #blackheadremoval #homeremedies #skincare,guj,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[30, 8]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/guj/CoI_c57a4e87-7d50-4e08-8c19-6fe87c3a98f7_guj_critical_308.json,guj,eng,guj,eng,guj,critical,MassiveSum,n,y,y,n
02521e96-d855-4b50-9edd-087f9070eced,"દેશને હચમચાવી નાખનાર બુરાડી કાંડમાં ક્રાઈમ બ્રાંચને આખરે ભાટિયા પરિવાર સાથે જોડાયેલા તાંત્રિક સુધી પહોંચવામાં સફળ થઈ ગઈ છે. આ તાંત્રિક એક મહિલા છે અને ભાટિયા પરિવારનું ઘર બનાવનાર કૉન્ટ્રક્ટરની બહેન છે. અત્રે ઉલ્લેખનીય છે કે આ સામૂહિક આત્મહત્યાનો માસ્ટરમાઈન્ડ પરિવારનો નાનો પુત્ર લલિતે મોત પહેલા પોતાના કોન્ટ્રક્ટરને જ ફોન કર્યો હતો. તેણે કોન્ટ્રક્ટરને કહ્યું હતું કે તે તાંત્રિકની સલાહ માનશે, અને તેની સલાહ માનવાથી તેને મોટો લાભ થશે. તે તાંત્રિકની સલાહ માનવાને કારણે તેને મોટો લાભ થયો છે.","The crime branch has finally reached the tantric associated with the Bhatia family in the Burari case that shocked the nation. The tantric is a woman and the sister of the contractor who built the Bhatia family's house. Notably, the mastermind behind this mass suicide, Lilit, the youngest son of the Bhatia family, had called his contractor just before his death. He told the contractor that he would follow the advice of the tantric and that following her advice would bring him great benefits. Indeed, following the advice of the tantric has brought him significant benefits.","બ્રેકિંગ: ક્રાઈમ બ્રાંચે #બુરાડીકાંડ ઉકેલી કાઢ્યો, તાંત્રિકની ભૂમિકાના ચકિત કરનારા તરફથી ખુલાસા! #સાચુંક્રાઈમ #તપાસ","Breaking: Crime branch cracks #BurariCase, reveals shocking details about the tantric's role! #TrueCrime #Investigation",guj,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[17, 3]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/guj/CoI_02521e96-d855-4b50-9edd-087f9070eced_guj_minor_173.json,guj,eng,"[guj,hin]",eng,guj,minor,MassiveSum,y,n,y,n
d587901f-7759-4f94-baa2-eeeecfd41a14,"સુરત પોલીસે મોટા ડ્રગ્સ રેકેટનો પરદાફાશ કર્યો, પાંચ આરોપીઓ ઝડપાયા. આ કાર્યવાહીમાં પોલીસે 1.33 કરોડના ડ્રગ્સ જપ્ત કર્યા. આરોપીઓને ડ્રગ્સ આપનાર ત્રણને વોન્ટેડ જાહેર કરવામાં આવ્યા છે.","Surat police busts major drug racket, arrests five accused. The police seized drugs worth Rs 1.33 crore in the operation. Three individuals who supplied drugs to the accused have been declared wanted.","બ્રેકિંગ: સુરત પોલીસે મોટા ડ્રગ્સ રેકેટનો પરદાફાશ કર્યો, 5 આરોપીઓ ઝડપાયા! #સુરતપોલીસ #ડ્રગબસ્ટ #ક્રાઇમન્યૂઝ","BREAKING: Surat police busts major drug racket, arrests 5 accused! #SuratPolice #DrugBust #CrimeNews",guj,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[30, 28]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/guj/CoI_d587901f-7759-4f94-baa2-eeeecfd41a14_guj_medium_3028.json,guj,eng,guj,eng,guj,medium,MassiveSum,y,n,y,n
fd625b01-6f8f-4707-98d2-5d03bca62a10,"રાજકોટ પોલીસે ક્રિષ્ણા વોટર પાર્કમાં દારૂની પાર્ટીની તપાસ કરી, જ્યાં SOGના નિવૃત્ત અધિકારી રાજભા વાઘેલાનો જન્મદિવસનો ઉત્સવ ઉજવાતો હતો. તેમની સાથે 12 પોલીસ કર્મચારીઓ પણ હાજર હતા.","Rajkot police raided Krishna Water Park, where a birthday party was being held for retired SOG officer Rajbha Vaghela. 12 police personnel were also present at the party.",બ્રેકિંગ: રાજકોટ પોલીસે ક્રિષ્ણા વોટર પાર્કમાં દારૂની પાર્ટીની તપાસ કરી! તેમની સાથે 12 પોલીસ કર્મચારીઓ પણ હાજર હતા. #રાજકોટ #પોલીસરેઇડ #ક્રિષ્ણાવોટરપાર્ક,"BREAKING: Rajkot police raid Krishna Water Park, where a birthday party was being held for retired SOG officer Rajbha Vaghela! 12 police personnel were also present at the party. #Rajkot #PoliceRaid #KrishnaWaterPark",guj,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[23, 30]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/guj/CoI_fd625b01-6f8f-4707-98d2-5d03bca62a10_guj_medium_2330.json,guj,eng,guj,eng,"[guj,eng]",medium,MassiveSum,y,n,y,n
