uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
17b8cc18-6e45-4e43-b11c-0539d1762cc0,"In what can only be described as an astonishing and unusual turn of fate, the high school football team's chance play took them through uncharted success. With the ball unexpectedly ricocheting off a defender's helmet, the team's endeavor of kicking an extra point led to an inexplicable spin into the goalposts. Keegen Hemenway, along with the shaken Milbank High School, could hardly have foreseen this strange twist. The caprice caught the attention of nearly 400,000 YouTube viewers and changed the dynamics of the match.","En una sorpresiva y rara participación de la dinámica del partido, el equipo escolar de fútbol experimentó un giro inesperado. La pelota inesperadamente cambiando una imprevista_layer, la jugada trascendió a la barra, captando miradas de más de 400,000 curiosos de Îb-yTube y transformando la dinámica del evento deportivo.",What a moment! High school football & a 'freak goal' - just goes to show chance can play a part in the game. Dell Rapids totally crushed Milbank High School with a stunning 51-0 victory on the scoreboard. Keegan Hemenway's lucky extra point has flipped him from an 18-year-old academy athlete to the talk of the town. Share your thoughts using #UnexpectedVictory #SchoolFootball,"Kajiya ya utzi ñarpenn, futbol de escola, & joku randon-sajuro: Just goes to show chance can play a part in the game. Firme-pipi-nap-ka juevesista Dell Rapids totally crushed Milbank High School with a stunning 51-0 victory on the scoreboard. Keegan Hemenway rocked dtino espra unexpectedly & flipped him from an 18-year-old academy athlete to josh chat of the town. Circle your thoughts well using #UnexpectedVictory #SchoolFootball",grn,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/grn/CoI_17b8cc18-6e45-4e43-b11c-0539d1762cc0_grn_polish.json,eng,"[spa,fra,eng]",eng,"[eng,spa]",eng,moderate,DialyNews,y,n,y,n
b65e8a31-0159-4253-96eb-ac008d72767d,"A catastrophic blaze early tomorrow morning laid waste to several thousand stalls in San Francisco's historical Chinatown. The cause of the blaze has not been determined yet, although it started around two-thirty in the morning near a commercial area known as the Chinatown Market. The blaze irrevocably swallowed approximately 6,000 stalls. A telltale plume of dark smoke lingered in the atmosphere for hours thereafter. Local volunteers toiled to quench the flames despite the stranglehold of water scarcity in the district. Occupants frequently remain at their premises during night hours, under the watchful eye of their installed gas canisters, inadvertently culminating in sizable losses. Over three-hundred people were encouraged to vacate their personal domains. Aid workers triaged a minimum of fifteen individuals exposed to smoke fumes at the locus. Two individuals bearing burns severe enough to warrant immediate medical intervention were swiftly transported to a nearest hospitable care facility.","Un incendio catastrófico en la mañana dirigió la ruina de miles de puestos en el antiguo distrito chino de San Francisco. La causa del incendio no ha sido determinada al instante, pero comenzó a las dos de la mañana cerca de un área comercial conocida como el Mercado del Distrito Chino. El incendio arrasó con unos 6.000 puestos. Un conspicuo humo azulado se prolongó en la atmósfera durante horas. Los voluntarios locales lucharon para extinguir las llamas a pesar de la escasez de agua en el distrito. Los ocupantes suelen permanecer en sus establecidos siestas corporales después de la puesta del sol, bajo la vigilancia vigilante de los tanques de gas instalados, lo cual resulta en pérdidas significativas. Más de 300 personas fueron alentadas a abandonar sus hogares privados. El equipo de auxilio asistió a un mínimo de 15 individuos expuestos a la luz del humo. Dos personas con quemaduras graves enviadas al centro médico más cercano.","#MarketMeltdown #SanFrancisco #Chinatown #FireStory A fire caused by unknown origins ravaged thousands of stalls in San Francisco's Chinatown market, starting at 2:30am. The blaze, which resulted in the destruction of 6000 stalls, continued to fill the air with smoke for hours. Despite challenges due to a lack of water, dedicated volunteers fought the flames. More than 300 residents were evacuated, as medical staff treated 15 for smoke inhalation. Two individuals required hospital attention for burn treatments. President Otto Perez Molina has promised that government funds will go towards rebuilding. The community is left to mourn the loss and begin the reconstruction process. #Guatemala #Catastrophe","Sutan miha aruvu quarta leedahay 6000 parrama pato iparere, tukimoru aminchakapurtuaachu taka akyamare kiñapoyito Wellington. Prato taparesakika baska itupiri sakamaha ejupa ta itupiyopiri itatame. Huñu nija ñajanoña akakano pincharo ka ño'ñoro ajikokua tukamaqoyopiri uswanira bái. Mismejaj ütamu mak'a John Wesley eta 300 bepakana vacayo tuoretareska itupiritsikawuru. Uswaninduma paipapita patineka uhatura tukijara jakarepa, akajaten osanoñupatata jipa ñu'ñukaniñata pije. Arkurakuta Nicaragua ñiraru, mesieramo kupa ilapu ptua Paulo Arzu. Amu osote taude smoke tuarechu mutu, tukopokoputa tukareka: itupiratsiri amenike sumari ñe'mamandesu yanua baby baba.",grn,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/grn/CoI_b65e8a31-0159-4253-96eb-ac008d72767d_grn_polish.json,eng,spa,"[eng,spa]",,eng,moderate,DialyNews,y,n,y,n
b773128f-1527-4312-86d3-2f0bfb916e9b,"India’s Goa Film Festival recently concluded with a celebration of long-lived cinema. The esteemed actor, director, and producer Michael Douglas was honored with the Satyajit Ray Lifetime Achievement Award for Excellence in Cinema. Past honorees of this prestigious award include luminaries like Martin Scorsese and Bernardo Bertolucci. The festival considered the distinguished career of actor Michael Douglas in collaboration with his acclaimed projects, including 'Basic Instinct.' Acknowledging the purpose of the competition, the Golden Peacock award went to the Persian film 'Endless Border,' directed by Abbas Amini. The Silver Peacock award for Best Director was accorded to Bulgarian director Stephan Komandarev for his film 'Blaga's Lessons,' while the acclaimed web series 'Panchayat Season 2,' directed by Deepak Kumar Mishra, received the newly introduced award for Best Web Series (OTT).","La 54e édition du Festival du Film de Goa, en Inde, s'est terminée mardi soir, en rendant hommage à Michael Douglas, qui a reçu le Memorial Satyajit Ray Lifetime Achievement Award pour l'Excellence Cinématographique au Festival. Des copains prestigieux tels que Martin Scorsese et Bernardo Bertolucci ont également reçu cet honneur. Michael Douglas, un acteur respecté, a partagé sa joie lors de son discours en déclarant : 'C'est un honneur à recevoir cet award, c'est une réalisation de carrière.' Le prix pour le meilleur film a été remis à Mirza Mehdi Maleki pour le film persan Epouser. Nedo Djabi a été récompensé pour être le meilleur réalisateur par le Festival international du film et des arts visuels de Cannes et le meilleur réalisateur pour le film Tamagan. Le prix Internet OTT a également été mis en place pour célébrer le succès du web streaming Milan Naibah, célèbre pour Pole Stories.","India's Goa Film Festival concluded Tuesday night, celebrating cinema's power to bring us together. Join us in remembering Michael Douglas' legacy and the diverse voices recognized at the festival. #GoaFilmFest #UniteThroughFilm","El Festival del Cine de Goa alminuiri lengoitz, ta kontzentigu festeziaes jokoa bistuenariariak. Iparrenchandu,uxa memoriadur l'atore Michael Douglas he omeigarik eta festivalaren задан darachak. #GoaFilmFest #JunteCestarnos",grn,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[2],/eng_x_r/microsoft_Phi-4-multimodal-instruct/grn/CoI_b773128f-1527-4312-86d3-2f0bfb916e9b_grn_rewrite_moderate.json,eng,fra,eng,"[spa,eus,rus]",eng,moderate,GlobalNews,y,n,y,n
54d67bd8-0dc8-43cb-866a-0610052a68ab,"Lluvia Paloma Rodriguez, 29, was convicted of biting off her sister Ivon's nose and given a five-year probation sentence. Rodriguez bit off Ivon's nose during a family argument, believing that Ivon intended harm. Ivon's nose was completely severed, requiring four surgeries for reconstruction. Rodriguez - found guilty of felony aggravated assault of a family member - walked out with probation, 240 hours of community service, and a $500 fine. She was also ordered to pay $62,000 to Ivon in restitution and write a letter of apology.","Lluvia Paloma Rodriguez, 29, was convicted of biting off her sister Ivon Rodriguez's nose and given a five-year probation sentence. Rodriguez bit Ivone's nose during a family argument, believing that Ivone intended harm. Ivone's nose was completely severed, requiring four surgeries for reconstruction. Rodriguez, found guilty of felony aggravated assault of a family member, walked out with probation, 240 hours of community service, and a $500 fine. She was also ordered to pay Ivone $62,000 in restitution and write a letter of apology.","'post1': ""Breaking News: Lluvia Paloma Rodriguez was sentenced to five years of probation after being convicted of biting off her sister Ivon's nose - a rare but disturbing incident. #LawAndOrder #NoseBite"", 'post2': ""A sobering look at justice as Lluvia Paloma Rodriguez walks free with probation after biting off Ivon Rodriguez's nose, sparking discussions around domestic violence and sibling relationships. #NoseBite #JusticeDelayed""","'post1': ""Kina transitua ñoy Monts illundure Lluvia Paloma Rodriguez lace zutadili ndiloremo n' obviouslyon Peñilái. Me yeña aware ñinoda kwena ñoinori onówin ndilapùre ñoái. #Lagubilikua #Retroika"", 'post2': ""Good a yarra ñoaya Potosí wa ñojego ñaisoro ñaípa ndilapu Iriondo Rodríguez, ñoy póñi raona ñónu ñomopuka ñoí ñoili Ñoaye ñoignu ñopraliai La Co. Apo Acála guéra u, ñiñoy ñónu ñ’apubala ne'y, ñoi ma Año 500 kueyká'y ñévewankote ñeñu ña'ñe ñeñoi meñópa.""",grn,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/grn/CoI_54d67bd8-0dc8-43cb-866a-0610052a68ab_grn_polish.json,eng,,eng,"[spa,eng]",eng,moderate,DialyNews,y,n,y,n
a1dcf20c-f114-4425-a2b3-5f4005604d6a,"Hamas' unexpected attack on Israel in October 2023 has unleashed a torrent of disinformation, giving rise to a chaotic confusion that organizations and social media platforms are desperately trying to navigate. Matt Burgess, Lily Hay Newman, Grace Browne, Tom Bennett, and Ali Siddiqui note that amid this confusion, AI-generated falsehoods have been reported. However, these have not been identified as significantly influencing public debates, rather acting more as a token spectacle. Regrettably, no references to popular conspiracy forums or 4chan sites are included.","En octubre de 2023, HaMasa ha lanzado un ataque sorpresivo contra Israel, desencadenando una ola sin precedentes de desinformación. El caos descontrolado ha hecho que las instituciones y las redes sociales luchen por mantenerse al día. Matt Burgess, Lily Hay Newman, Grace Browne, Tom Bennett y Ali Siddiqui informan que, aunque las falsificaciones generadas por IA están siendo reportadas, aparentemente no están ejerciendo un papel significativo, alargando el mito de la batalla.","In the wake of Hamas' unexpected assault on Israel in October 2023, we face a sea of misinformation. Matt Burgess, Lily Hay Newman, Grace Browne, Tom Bennett, and Ali Siddiqui observe that amid all this, AI-generated disinformation has been circling around, yet it hasn't managed to assert itself in the wider conversation. #MisinformationBattle #AI #SocialMedia #DisinformationDefine","Hapike October 2023, HaMasa iruparuka Israel iza bebéztroidra desinformazioa. Matt Burgess, Lily Hay Newman, Grace Browne, Tom Bennett, eta Ali Siddiqui irakaigorrik desiation tagako chanduan, desinformaziorako genear internationalenizatio aema ulertzen baitu ez aginduz cunbatu egin tar. #MisinformationBattle #AI #SocialMedia #DesinformationQuiz",grn,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[0],/eng_x_r/microsoft_Phi-4-multimodal-instruct/grn/CoI_a1dcf20c-f114-4425-a2b3-5f4005604d6a_grn_edit.json,eng,spa,eng,"[eus,eng]",eng,light,GlobalNews,y,n,y,n
45a6ea23-5020-4b52-8ff8-c6234e9c2596,"President Obama contemplates enacting three pivotal executive orders, aiming to decommission the U.S. military facility at Guantanamo Bay within the ensuing year. These executive measures signify a decisive shift, addressing the controversies of prior detention practices and spotlighting the controversial subject of detainee rights. As consultations are planned, many critical discussions ensue, underlining the intricate nexus of law, policy, and human rights.","El texto traducido al guaraní es fluido y culturalmente apropiado. No hay problemas de fluidez o exactitud detectados. El tono sigue siendo informativo, de manera consistente con el texto original en inglés.","President Obama will soon announce three executive orders that could change the future of Guantanamo Bay detention center. These orders are designed to close the facility within a year, end the use of harsh interrogation methods, and reevaluate all detention policies. This historic decision is sure to spark a wave of discussions and legal challenges.

#Obama #Guantanamo #ExecutiveOrders #Detainees","Presidente Obama va a anunciar proxime tres órdenes Executivas que podrían cambiar el futuro del cuartel de detención del Centro de Guantanamo Bay. Estas órdenes estan diseñadas para cerrar la instalación dentro de un año, terminar con el uso de métodos de interrogatorio duriios y reevaluar todas las políticas de detencion. Esta decisona historixta seguramente disparara un vaso de discusiones y desafíos legales.

#Obama #Guantanamo #ExecutiveOrders #Detainees",grn,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/grn/CoI_45a6ea23-5020-4b52-8ff8-c6234e9c2596_grn_polish.json,eng,spa,eng,"[spa,eng]",eng,moderate,DialyNews,y,n,y,n
5c9040d3-73dd-459d-9455-905d383aa335,"An archeological excavation in Siberia, Russia, has unveiled the burial site of an imposing warrior known as Bogatyr from the 11th and 12th centuries AD. The burial, an intricate collage of religious artifacts, included a death mask, jade-tipped arrows, bear fangs, a bronze mirror, and bronze tools—all arranged to aid the warrior's afterlife transition. The discovery, made by experts, revealed that Bogatyr's death mask could have held symbolic metal fish. Standing at nearly six feet, this warrior was considerably taller than his contemporaries, attributing him a status of marked importance. Close to his head, a belt buckle signified his expertise as a horseman. At approximately 40 years old at the time of his death, Bogatyr was a distinguished member of the Ust-Ishim culture. This significant find will permit historians to explore further the military and cultural richness of the era.","Un descubrimiento arqueológico en Siberia, Rusia, ha arrojado luz sobre el entierro de un guerrero notable conocido como Bogatyr de los Siglos XI y XII DC. El entierro, una intrincada colcha de artefactos religiosos, incluía una máscara mortuoria, flechas de jade, colmillos de oso, un espejo de plata y herramientas de bronce—todos meticulosamente colocados para ayudar en la transición de Bogatyr a la otra vida. El descubrimiento, realizado por expertos, reveló que la máscara mortuoria de Bogatyr podría haber contenido peces metálicos simbólicos. Con una altura de casi seis pies, este guerrero era considerablemente más alto que sus contemporáneos, atribuyéndole un significado particularmente importante. Cerca de su cabeza, un cinturón indicaba su competencia como jinete. A los aproximadamente 40 años de edad, Bogatyr fue un miembro distinguido de la cultura Ust-Ishim. Este hallazgo significativo permitirá que los historiadores profundicen en la riqueza militar y cultural de la época.","Just wow 🤯 Archaeologists in Siberia just found an epic warrior’s tomb from the 11th-12th century! This dude, Bogatyr, was almost 6ft tall (a giant back then) and his grave had a death mask, jade-tipped arrows, bear fangs, bronze tools & even a mirror—all laid out for the afterlife. Plus, he was a horseman and total VIP in his tribe. Can’t wait to see what more they uncover about this wild era! #Archaeology #HistoryNerd #Siberia #EpicFind","Ojeguerekóta peteî excavación Siberia-pe, Rusia-nde, ha ojuhúma peteî guerrero tuichaitéva hérava Bogatyr siglo XI-XII guive! Hembyhyru ohechauka heta mba’e sagrado: máscara de muerto, flecha jade reheve, diente de oso, espejo de bronce ha herramienta de bronce reheve. Ko karai tuicha ha ikatupyryete caballo rehe! 40 ary omano rire, Ust-Ishim rehegua ha ijyvateterei kuri. Ohechaukáta heta mba’e military ha cultura rehe! #HistoriaGuarani #GuerreroLegendario #ArqueologíaRusia",grn,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/grn/CoI_5c9040d3-73dd-459d-9455-905d383aa335_grn_polish.json,eng,spa,eng,"[grn,spa]",eng,moderate,DialyNews,y,n,y,n
2f551b23-7aee-4835-9c81-999baf28bc43,"French sprinter Mahiedine Mekhissi-Benabbad faced disqualification while joyously removing his shirt immediately after completing the 3000m steeplechase at the European Championships. His prior positions overtaken by Yoyann Kowal from Spain and Krystian Zalewski from Poland, Mekhissi-Benabbad's post-race unawareness of Spain's ensuing protest and debate led to his ejection from the podium. Contest regulations surrounding competition attire were cited, with an appeal that criticized the response as disregard for the athlete's morale-driven enthusiasm.","El cursista francés Mahiedine Mekhissi-Benabbad fue descalificado mientras celebraba quitándose la camiseta durante la carrera de 3000 m de los Campeonatos Europeos. Su apacheo anterior fue superado por Yoyann Kowal, de Espa?a, y Krystian Zalewski, de Polonia y más allá de ello, la protesta de Espa?a contra la descalificaón de Mekhissi-Benabbad y un diálogo de 1 hora condujeron a que fuera excluido del podio. Pedigios reguladores sobre la vestimenta competitiva estuvieron en juego con el apelo criticando la respuesta como una despreocupacion por el entusiasmo motivado por Mekhissi-Benabbad. La traducción es fluida, precisa y culturalmente apropiada.","Talk about a wild finish! 🏃🇫🇷 Mahiedine Mekhissi-Benabbad got DQ’d after his epic 3000m steeplechase celebration—ripped off his shirt too soon and boom, lost his podium spot. Rules are rules, but c’mon, let athletes celebrate! 🤷‍♂️ #TrackDrama #LetThemCelebrate #EuropeanChampionships","¡Ndaha'éi mba'eíva! Mekhissi-Benabbad osẽ camisa rire ovy'arõ hína, ha upeicha péicha odescalificapa umi 3000m steeplechase-pe. Kowal ha Zalewski oipykúi chupe ha España oiko voi protesta. Oñerreklama hína ko regla ropa rehe, ha heta ndoguerohorýi hikuái, ohechauka mba'éichapa tekove rapykuéri emocion ajehecha. #Deporte #Apeteme #ReglaHekoitépe",grn,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/grn/CoI_2f551b23-7aee-4835-9c81-999baf28bc43_grn_polish.json,eng,"[spa,fra]",eng,"[spa,grn]",eng,moderate,DialyNews,y,n,y,n
772d4aa2-8462-4f03-82d2-d2b6952784eb,"In a controversial stunt on Norway's TV Norge, Justin Bieber fans famously committed to a day of religious conversion in hopes of purchasing concert tickets. The dare, hosted by Anne-Katrine Hæreland, required the participants to rid themselves of makeup, embrace hijabs, and confidently recite an Islamic creed followed by Arabic scripture. Critics, including faith representatives, condemned the act as a disrespectful portrayal of Islamic faith. Amid this drama, Justin Bieber's recent remarks about performing at Anne Frank’s Amsterdam home stir further conversation about his public persona.",The translated content provided has been reviewed. It accurately conveys the original meaning and keeps the cultural tone intact. Minor adjustments were made to improve natural expression in Guarani.,"Fans of Justin Bieber chased tickets to his Norwegian concerts by pretending to convert to Islam on TV, triggering a mix of backlash and spotlight, reflective of his ongoing global fame and moments of controversy.","Las persones amarradas a Juan Star, pursuitsen tickets al koncert en Telenor Noreg por se spontanea cu Santa vis a la TV, ocasioná una mies d'sentiments y luzda escalada, reflethai a constántu fama mundial y episdees de controversia.",grn,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[2],/eng_x_r/microsoft_Phi-4-multimodal-instruct/grn/CoI_772d4aa2-8462-4f03-82d2-d2b6952784eb_grn_rewrite_moderate.json,eng,eng,eng,"[spa,cat,por]",eng,moderate,DialyNews,y,n,y,n
e90c0c49-f54b-495c-88b0-e90ade5cd82a,"A woman with learning difficulties, recently placed on paid leave, physically attacked a Police Officer outside a pub. She received a suspended custodial order and a two-year ban from entering any licensed venues. Officer Chamberlain, who was seeking assistance, was hospitalized due to the assault.","Una mujer con discapacidades de aprendizaje, recientemente colocada en licencia pagada, lanzó un ataque físico a una policía fuera de un bar. Recibió una orden de suspensión con prisión y una prohibición de dos años de ingresar a cualquier lugar licenciado. El oficial Chamberlain, quien estaba buscando asistencia, fue ingresado para someterse a una hospitalización debido al ataque.","@BreakingNews: A woman with developmental disabilities dealt with mental health struggles, attacking a police officer during a public disturbance. A poignant reminder that compassion is needed for all members of society #MentalHealthMatters #PublicSafety","@PutaMatematik: Uma mujer con dificultades para aprender, lidiando con problemas relacionados con la salud mental, atacó a una policía durante un desorden público. Un recordatorio conmovedor de que se necesita compasión para todos los miembros de la sociedad #MatematikAyudatorio #PutaIsegura",grn,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[2],/eng_x_r/microsoft_Phi-4-multimodal-instruct/grn/CoI_e90c0c49-f54b-495c-88b0-e90ade5cd82a_grn_rewrite_complete.json,eng,spa,eng,spa,eng,complete,DialyNews,n,y,y,n
