uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
213f6c21-810c-4f9c-9f87-83efc1fd2ec9,"Around 600 autonomous vehicles operated by Cruise, a General Motors subsidiary, are under investigation by the National Highway Traffic Safety Administration (NHTSA) following reports of pedestrian injuries.  The NHTSA is scrutinizing incidents where Cruise vehicles may have 'encroached on pedestrians' in San Francisco.  Two specific incidents, both occurring at night, are detailed in reports submitted to the NHTSA. In one August 2023 incident, a self-driving car made contact with a pedestrian at a very low speed (1.4 mph) after the pedestrian entered a crosswalk following a light change.  A separate October 2023 incident involved a pedestrian being struck by a human-driven car and subsequently knocked into the path of a Cruise vehicle, which, despite 'braking aggressively,' was unable to avoid impact.  The NHTSA is also reviewing online video footage of two additional incidents involving pedestrians.  This investigation comes shortly after California granted permission for Waymo and Cruise to operate their driverless taxi services 24/7, a decision sparking debate over the safety of such technology, with proponents citing improved safety compared to human drivers and critics raising concerns about potential risks, like obstructing emergency vehicles. Cruise maintains that its safety record 'over five million miles' exceeds that of human drivers and pledges continued cooperation with the NHTSA's requests for information.","Cerca de 600 veículos autônomos operados pela Cruise, uma subsidiária da General Motors, estão sob investigação da Administração Nacional de Segurança no Tráfego Rodoviário (NHTSA) após relatos de ferimentos em pedestres. A NHTSA está examinando incidentes em que os veículos da Cruise podem ter 'invadido o espaço de pedestres' em São Francisco. Dois incidentes específicos, ambos ocorrendo à noite, são detalhados em relatórios enviados à NHTSA. Em um incidente de agosto de 2023, um carro autônomo fez contato com um pedestre a uma velocidade muito baixa (2,2 km/h) depois que o pedestre entrou em uma faixa de pedestres após a mudança do semáforo. Um incidente separado em outubro de 2023 envolveu um pedestre sendo atropelado por um carro dirigido por um humano e subsequentemente jogado no caminho de um veículo da Cruise, que, apesar de 'frear bruscamente', não conseguiu evitar o impacto. A NHTSA também está analisando imagens de vídeo online de dois incidentes adicionais envolvendo pedestres. Esta investigação ocorre pouco depois que a Califórnia concedeu permissão para a Waymo e a Cruise operarem seus serviços de táxi sem motorista 24 horas por dia, 7 dias por semana, uma decisão que gerou debate sobre a segurança dessa tecnologia, com defensores citando segurança aprimorada em comparação com motoristas humanos e críticos levantando preocupações sobre riscos potenciais, como obstruir veículos de emergência. A Cruise sustenta que seu histórico de segurança 'ao longo de mais de oito milhões de quilômetros' supera o de motoristas humanos e promete cooperação contínua com os pedidos de informação da NHTSA.",Self-driving cars under scrutiny! 600 Cruise vehicles investigated after pedestrian incidents.  Are they really safer? #SelfDriving #SafetyFirst #NHTSA #Cruise,Carros autônomos sob investigação! 600 veículos da Cruise investigados após incidentes com pedestres. Será que são mais seguros mesmo? #CarrosAutônomos #SegurançaEmPrimeiroLugar #NHTSA #Cruise,por,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/por/CoI_213f6c21-810c-4f9c-9f87-83efc1fd2ec9_por_rewrite_moderate.json,eng,por,eng,por,eng,moderate,GlobalNews,y,n,y,n
71932bb3-676d-4330-87bb-1742366555b5,"'A seven-day Alaskan cruise aboard Royal Caribbean's Celebrity Millennium was cut short, and four upcoming trips were also canceled, because of a motor malfunction. The ship, carrying 2,200 passengers and 958 crew members, encountered this problem on Sunday, according to spokeswoman Cynthia Martinez. Although the ship could technically function with one motor at reduced speed, the company prioritized safety and decided to return to Ketchikan, Alaska for repairs. The Millennium had originally embarked from Vancouver on Friday and was scheduled to visit various Alaskan ports before ending in Seward. Passengers were subsequently transported from Ketchikan back to the Pacific Northwest. The affected sailings included those set to depart on August 23rd, August 30th, September 6th, and September 13th. All booked guests received full refunds and certificates for a future Celebrity cruise.'","'Um cruzeiro de sete dias ao Alasca a bordo do Celebrity Millennium da Royal Caribbean foi interrompido, e quatro viagens subsequentes também foram canceladas devido a uma falha no motor. O navio, transportando 2.200 passageiros e 958 tripulantes, encontrou esse problema no domingo, de acordo com a porta-voz Cynthia Martinez. Embora o navio pudesse tecnicamente funcionar com um motor em velocidade reduzida, a empresa priorizou a segurança e decidiu retornar a Ketchikan, Alasca, para reparos. O Millennium havia partido originalmente de Vancouver na sexta-feira e estava programado para visitar vários portos do Alasca antes de terminar em Seward. Os passageiros foram posteriormente transportados de Ketchikan de volta ao noroeste do Pacífico. As viagens afetadas incluíram aquelas programadas para partir em 23 de agosto, 30 de agosto, 6 de setembro e 13 de setembro. Todos os hóspedes com reserva receberam reembolso integral e certificados para um futuro cruzeiro Celebrity.'",'Alaskan cruise cut short due to engine trouble! #RoyalCaribbean #CelebrityMillennium #CruiseNews #TravelUpdate','Cruzeiro no Alasca interrompido por problemas no motor! #RoyalCaribbean #CelebrityMillennium #NotíciasDeCruzeiro #Viagem',por,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/por/CoI_71932bb3-676d-4330-87bb-1742366555b5_por_rewrite_moderate.json,eng,por,eng,por,eng,moderate,DialyNews,y,n,y,n
c17e3f78-2d7b-469a-b081-0429e646b73e,"In a dramatic finish, senior guard Khalil Edney sank an astounding half-court shot to secure a thrilling victory for New Rochelle High School.  With mere milliseconds remaining on the clock, Edney's incredible 55-foot heave found the bottom of the net, giving New Rochelle a 61-60 win over their rivals, Mount Vernon, in a Sunday afternoon regional semifinal clash at the Westchester County Center in White Plains, New York.  Edney intercepted a pass intended for a Mount Vernon player and, realizing time was running out and his team was down by two points, launched the desperation shot from his own half.  The crowd erupted as the ball swished through the hoop, with jubilant students storming the court to celebrate with their hero.  Edney, also the quarterback of the school's state championship-winning football team, described the moment as 'just as good' as winning the football title, adding, 'We ran our designed play, but Mount Vernon's defense was tight on Joe Clarke.  They managed to get the ball and attempted a pass back towards their own basket.  I knew I had to shoot quickly.'  This was Edney's first game-winning buzzer-beater three-pointer in high school.","Em um final dramático, o armador sênior Khalil Edney afundou um arremesso impressionante de meia quadra para garantir uma vitória emocionante para a New Rochelle High School. Com milésimos de segundo restantes no relógio, o incrível lançamento de 16 metros de Edney encontrou o fundo da rede, dando a New Rochelle uma vitória por 61 a 60 sobre seus rivais, Mount Vernon, em um confronto regional de semifinal no domingo à tarde no Westchester County Center em White Plains, Nova York. Edney interceptou um passe destinado a um jogador de Mount Vernon e, percebendo que o tempo estava se esgotando e seu time estava perdendo por dois pontos, lançou o arremesso desesperado da sua própria metade da quadra. A multidão explodiu quando a bola passou pela cesta, com alunos jubilantes invadindo a quadra para comemorar com seu herói. Edney, também o quarterback do time de futebol americano da escola, campeão estadual, descreveu o momento como 'tão bom' quanto ganhar o título de futebol americano, acrescentando: 'Executamos nossa jogada planejada, mas a defesa de Mount Vernon estava marcando Joe Clarke de perto. Eles conseguiram a bola e tentaram um passe de volta para sua própria cesta. Eu sabia que tinha que arremessar rapidamente.' Este foi o primeiro arremesso de três pontos vencedor de Edney no estouro do cronômetro no ensino médio.",Unbelievable! Khalil Edney drains a 55-FOOT buzzer-beater to win it for New Rochelle! 🏀🤯 #BuzzerBeater #HighSchoolSports #Basketball,Inacreditável! Khalil Edney acerta um arremesso de MEIA QUADRA no estouro do cronômetro para dar a vitória a New Rochelle! 🏀🇧🇷 #ArremessoIncrível #Basquete #EsporteEscolar,por,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/por/CoI_c17e3f78-2d7b-469a-b081-0429e646b73e_por_rewrite_complete.json,eng,por,eng,por,eng,complete,DialyNews,n,y,y,n
e7948b71-1824-4694-8d26-b16d56827161,"'In a Cairo courtroom, a prominent Egyptian businessman and a former police officer pleaded not guilty to charges related to the murder of Lebanese singer Suzanne Tamim.  Tamim was tragically found dead in her Dubai apartment in July with her throat slit.  Hisham Talaat Moustafa, a well-known figure in Egyptian business and politics, and Muhsen el Sukkari are accused of conspiring to murder Tamim, with Moustafa allegedly paying Sukkari $2 million. Both men vehemently deny any involvement.  The trial is being held in Egypt, despite the crime taking place in the UAE, because Egyptian law prohibits the extradition of its citizens.  This case has gripped public attention in Egypt and beyond due to the prominence of the individuals involved.  Moustafa, a married father of three, reportedly had a relationship with Tamim. His lawyer claims Moustafa loved Tamim but couldn't marry her due to family objections, although polygamy is legal in Egypt.  The prosecution claims the murder was an act of revenge, but the specific details are not fully released.  The trial has brought heightened security and media attention to the Cairo courthouse.  Moustafa's arrest in September led to him being stripped of his parliamentary immunity and removed from his position at Talaat Moustafa Group, a prominent construction and real estate company founded by his father.  The case is adjourned until November 15, with both defendants remaining in custody.'","'Em um tribunal do Cairo, um proeminente empresário egípcio e um ex-policial se declararam inocentes das acusações relacionadas ao assassinato da cantora libanesa Suzanne Tamim. Tamim foi tragicamente encontrada morta em seu apartamento em Dubai em julho, com a garganta cortada. Hisham Talaat Moustafa, uma figura conhecida nos negócios e na política egípcia, e Muhsen el Sukkari são acusados de conspirar para assassinar Tamim, com Moustafa supostamente pagando a Sukkari US$ 2 milhões. Ambos os homens negam veementemente qualquer envolvimento. O julgamento está sendo realizado no Egito, apesar do crime ter ocorrido nos Emirados Árabes Unidos, porque a lei egípcia proíbe a extradição de seus cidadãos. Este caso chamou a atenção do público no Egito e além, devido à proeminência dos indivíduos envolvidos. Moustafa, casado e pai de três filhos, teria um relacionamento com Tamim. Seu advogado afirma que Moustafa amava Tamim, mas não podia se casar com ela devido a objeções da família, embora a poligamia seja legal no Egito. A acusação afirma que o assassinato foi um ato de vingança, mas os detalhes específicos não foram totalmente divulgados. O julgamento trouxe segurança reforçada e atenção da mídia ao tribunal do Cairo. A prisão de Moustafa em setembro levou à perda de sua imunidade parlamentar e à sua remoção de seu cargo no Talaat Moustafa Group, uma importante empresa de construção e imóveis fundada por seu pai. O caso foi adiado para 15 de novembro, com os dois réus permanecendo sob custódia.'",'Egyptian tycoon and ex-cop plead not guilty in Lebanese singer's murder trial. #JusticeForSuzanneTamim #Egypt #Dubai #Crime','Magnata egípcio e ex-policial se declaram inocentes no julgamento do assassinato de cantora libanesa. #JustiçaParaSuzanneTamim #Egito #Dubai #Crime',por,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/por/CoI_e7948b71-1824-4694-8d26-b16d56827161_por_rewrite_complete.json,eng,,eng,por,eng,complete,DialyNews,n,y,y,n
9e28e272-a3fb-4a55-824b-a651aba39276,"'In 2006, a dramatic Ferrari crash on the French Riviera involving Russian tycoon Suleiman Kerimov and TV anchor Tina Kandelaki sent ripples through Barclays.  Kerimov, severely injured, was a key client of the bank.  The incident prompted Barclays Capital chairman Hans-Joerg Rudloff to convene a meeting, reminding staff about the importance of due diligence when dealing with wealthy Russian individuals and questioning the source and security of their assets. This incident foreshadowed larger concerns about Barclays' investment banking practices, including its dealings with Russian oligarchs and the Libor scandal. Kerimov, known as the 'secret oligarch,' amassed his fortune through leveraging investments in Russian blue-chip companies. This practice, while potentially lucrative, carries significant risk, particularly in cases of default.  Barclays' association with Russia has been a source of both profit and trouble.  The bank faced substantial losses during the 1998 Russian financial crisis due to unauthorized exposure to the country's bond market. This incident, according to former Barclays CEO Martin Taylor, foreshadowed the bank's later involvement in manipulating Libor, a key benchmark interest rate. Barclays subsequently paid a record fine for this transgression. Despite controversies, the bank has maintained close ties with Russia, with Rudloff also holding a position at Rosneft, a state-controlled oil giant. Barclays has relied on emerging markets, including Russia, for funding during times of crisis.  Kerimov, despite his low profile, garnered international attention with his acquisition of footballer Samuel Eto'o for his Dagestani soccer team. His financial dealings, involving huge gains and losses in companies like Gazprom and Goldman Sachs, demonstrate his high-risk, high-reward investment strategy. Barclays even attempted to solicit investment from Kerimov during a share placement, highlighting the bank's close relationships with wealthy, yet often obscure, individuals.  Adair Turner, the head of the UK's Financial Services Authority, has criticized Barclays for its 'cultural tendency to push the limits.'  This tendency, coupled with the bank's focus on maximizing returns, raises questions about its ability to balance profit-seeking with responsible banking practices.'","'Em 2006, um dramático acidente de Ferrari na Riviera Francesa envolvendo o magnata russo Suleiman Kerimov e a apresentadora de TV Tina Kandelaki causou ondas no Barclays. Kerimov, gravemente ferido, era um cliente importante do banco. O incidente levou o presidente do Barclays Capital, Hans-Joerg Rudloff, a convocar uma reunião, lembrando a equipe sobre a importância da due diligence ao lidar com indivíduos russos ricos e questionando a origem e a segurança de seus ativos. Este incidente prenunciou preocupações maiores sobre as práticas de banco de investimento do Barclays, incluindo suas relações com oligarcas russos e o escândalo da Libor. Kerimov, conhecido como o 'oligarca secreto', acumulou sua fortuna alavancando investimentos em empresas russas de primeira linha. Essa prática, embora potencialmente lucrativa, acarreta riscos significativos, especialmente em casos de inadimplência. A associação do Barclays com a Rússia tem sido uma fonte de lucro e problemas. O banco enfrentou perdas substanciais durante a crise financeira russa de 1998 devido à exposição não autorizada ao mercado de títulos do país. Este incidente, de acordo com o ex-CEO do Barclays Martin Taylor, prenunciou o envolvimento posterior do banco na manipulação da Libor, uma importante taxa de juros de referência. Posteriormente, o Barclays pagou uma multa recorde por essa transgressão. Apesar das controvérsias, o banco manteve laços estreitos com a Rússia, com Rudloff também ocupando um cargo na Rosneft, uma gigante petrolífera estatal. O Barclays contou com mercados emergentes, incluindo a Rússia, para financiamento em tempos de crise. Kerimov, apesar de seu perfil discreto, ganhou atenção internacional com sua aquisição do jogador de futebol Samuel Eto'o para seu time de futebol do Daguestão. Suas negociações financeiras, envolvendo enormes ganhos e perdas em empresas como Gazprom e Goldman Sachs, demonstram sua estratégia de investimento de alto risco e alta recompensa. O Barclays até tentou solicitar investimentos de Kerimov durante uma colocação de ações, destacando os laços estreitos do banco com indivíduos ricos, mas muitas vezes obscuros. Adair Turner, chefe da Autoridade de Serviços Financeiros do Reino Unido, criticou o Barclays por sua 'tendência cultural de ultrapassar os limites'. Essa tendência, juntamente com o foco do banco em maximizar os retornos, levanta questões sobre sua capacidade de equilibrar a busca pelo lucro com práticas bancárias responsáveis.'",'Ferrari crash sparks questions about Barclays' ties with Russian oligarchs! #Barclays #Russia #Oligarchs #Libor #Scandal','Acidente de Ferrari levanta questões sobre laços do Barclays com oligarcas russos! #Barclays #Rússia #Oligarcas #Libor #Escândalo',por,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/por/CoI_9e28e272-a3fb-4a55-824b-a651aba39276_por_rewrite_light.json,eng,por,eng,por,eng,light,DialyNews,y,n,y,n
bc7d2181-89a9-4b81-b2b1-eb0d09467860,"A London mother experienced severe toenail damage due to years of frequent nail polish application and removal. Subhain, 31, noticed her toenails becoming dry, yellow, and brittle about two years ago.  Her habit of changing her toenail polish almost daily for twenty years, combined with the acetone in the remover, led to the crumbling and eventual loss of several toenails.  Dermatologist Dr. Sam Bunting explains that acetone dehydrates nails, making them prone to weakness and breakage.  Subhain initially tried to remedy the issue by refraining from using polish, but the damage was already done.  Medical intervention to remove the damaged nails proved unsuccessful, and Subhain was informed they would not grow back.  This has significantly impacted her self-confidence and limited her footwear choices.  She is now exploring prosthetic nails as a potential solution.  This story was featured on TLC's 'Extreme Beauty Disasters'.","Uma mãe londrina sofreu danos graves nas unhas dos pés devido a anos de aplicação e remoção frequentes de esmalte. Subhain, de 31 anos, notou que as unhas dos pés estavam ficando secas, amareladas e quebradiças há cerca de dois anos. Seu hábito de trocar o esmalte quase diariamente por vinte anos, combinado com a acetona no removedor, levou ao desmoronamento e eventual perda de várias unhas. A dermatologista Dra. Sam Bunting explica que a acetona desidrata as unhas, tornando-as propensas à fraqueza e quebra. Subhain inicialmente tentou remediar o problema evitando o uso de esmalte, mas o dano já estava feito. A intervenção médica para remover as unhas danificadas não teve sucesso e Subhain foi informada de que elas não voltariam a crescer. Isso impactou significativamente sua autoconfiança e limitou suas opções de calçados. Ela agora está explorando unhas protéticas como uma solução potencial. Esta história foi apresentada no 'Extreme Beauty Disasters' da TLC.",Too much nail polish can seriously damage your nails! 💅 This London mum's story is a cautionary tale.  Years of frequent polish changes led to the loss of her toenails! #nailcare #beautydisasters #health,Cuidado com o excesso de esmalte! 💅 Uma mãe em Londres perdeu as unhas dos pés por trocar de esmalte com muita frequência.  Uma história para se pensar duas vezes! #cuidadoscomasunhas #desastresdebeleza #saude,por,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/por/CoI_bc7d2181-89a9-4b81-b2b1-eb0d09467860_por_rewrite_complete.json,eng,"[por,eng]",eng,por,eng,complete,DialyNews,n,y,y,n
27fad0ca-5086-436d-9c7b-f0e6797e7898,"'In a display of grassroots enthusiasm, more than 300 individuals who worked on Obama's past campaigns have publicly called for Senator Elizabeth Warren to launch a 2016 presidential bid.  They see parallels between Warren and Obama, highlighting his unexpected victory in 2008 against Hillary Clinton, then the presumed frontrunner.  This call to action emphasizes the urgent need to combat economic disparity, advocating for a candidate willing to challenge powerful financial institutions. While established figures from Obama's team are largely aligning with a potential Clinton campaign, a strong progressive movement is coalescing around Warren. Despite her repeated assertions that she won't run, organizations like MoveOn are investing significant resources to draft her, demonstrating the energy behind this push.  Warren's prominent role in recent legislative battles, particularly her opposition to a controversial funding bill, underscores the increasing power of the progressive voice within the Democratic party.'","'Em uma demonstração de entusiasmo popular, mais de 300 pessoas que trabalharam nas campanhas anteriores de Obama pediram publicamente que a senadora Elizabeth Warren lance uma candidatura à presidência em 2016. Eles veem paralelos entre Warren e Obama, destacando sua vitória inesperada em 2008 contra Hillary Clinton, então a favorita presumida. Este chamado à ação enfatiza a necessidade urgente de combater a disparidade econômica, defendendo um candidato disposto a desafiar poderosas instituições financeiras. Enquanto figuras estabelecidas da equipe de Obama estão se alinhando amplamente com uma potencial campanha de Clinton, um forte movimento progressista está se coalescendo em torno de Warren. Apesar de suas repetidas afirmações de que não concorrerá, organizações como o MoveOn estão investindo recursos significativos para encorajá-la a concorrer, demonstrando a energia por trás desse impulso. O papel proeminente de Warren em recentes batalhas legislativas, particularmente sua oposição a um projeto de lei de financiamento controverso, ressalta o crescente poder da voz progressista dentro do Partido Democrata.'",'Former Obama staffers are rallying behind Elizabeth Warren for a 2016 presidential run! Can she follow in Obama's footsteps? #Warren2016 #ProgressivePolitics #Election2016','Ex-funcionários da campanha de Obama apoiam Elizabeth Warren para presidente em 2016! Será que ela seguirá os passos de Obama? #Warren2016 #PolíticaProgressista #Eleição2016',por,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/por/CoI_27fad0ca-5086-436d-9c7b-f0e6797e7898_por_rewrite_complete.json,eng,por,eng,por,eng,complete,DialyNews,n,y,y,n
20754817-e03f-4579-be30-755aca76edb8,"'Unlike 'Mario Kart', 'Sonic & All-Stars Racing Transformed' offers a unique racing experience. Sumo Digital hasn't just copied Nintendo's formula; they've created something special. This game is a fast-paced, exciting celebration of Sega's gaming history. The game features vibrant, updated graphics faithful to classic Sega titles like 'Afterburner', 'Panzer Dragoon', and 'Golden Axe'. The visuals are stunning, blending nostalgia with modern techniques. The gameplay is equally impressive. Your vehicle transforms into a car, boat, or plane, adapting to the dynamic tracks. Each vehicle type handles differently, adding depth to the racing. The career mode is engaging, featuring an XP system for upgrades. 'World Tour', 'Grand Prix', and 'Battle Arenas' offer additional challenges. Multiplayer, both local and online (up to 10 players), is a major highlight. Although split-screen multiplayer may impact graphics and frame rate, the inventive party modes and traditional races are worth experiencing. 'All-Stars Racing' is a surprising gem, exceeding other recent kart racers, and a game that, like the classics it honors, will be long remembered. (Wii U version released November 30).","'Diferente de 'Mario Kart', 'Sonic & All-Stars Racing Transformed' oferece uma experiência única de corrida. A Sumo Digital não apenas copiou a fórmula da Nintendo; eles criaram algo especial. Este jogo é uma celebração emocionante e acelerada da história dos jogos da Sega. O jogo apresenta gráficos vibrantes e atualizados, fiéis a títulos clássicos da Sega, como 'Afterburner', 'Panzer Dragoon' e 'Golden Axe'. Os visuais são impressionantes, combinando nostalgia com técnicas modernas. A jogabilidade é igualmente impressionante. Seu veículo se transforma em um carro, barco ou avião, adaptando-se às pistas dinâmicas. Cada tipo de veículo se comporta de maneira diferente, adicionando profundidade à corrida. O modo carreira é envolvente, com um sistema de XP para atualizações. 'World Tour', 'Grand Prix' e 'Battle Arenas' oferecem desafios adicionais. O modo multijogador, tanto local quanto online (até 10 jogadores), é um grande destaque. Embora o multijogador em tela dividida possa impactar os gráficos e a taxa de quadros, os modos de festa criativos e as corridas tradicionais valem a pena ser experimentados. 'All-Stars Racing' é uma joia surpreendente, superando outros jogos de corrida de kart recentes, e um jogo que, como os clássicos que homenageia, será lembrado por muito tempo. (Versão para Wii U lançada em 30 de novembro).","Forget 'Mario Kart'! 'Sonic & All-Stars Racing Transformed' is a whole new level of awesome! 🚀 Transforming vehicles, classic Sega nostalgia, and crazy multiplayer action. Check it out! #Sega #Racing #RetroGaming","Esqueça 'Mario Kart'! 'Sonic & All-Stars Racing Transformed' é um novo nível de incrível! 🚀 Veículos transformáveis, nostalgia clássica da Sega e ação multijogador insana. Confira! #Sega #Corrida #JogosRetrô",por,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/por/CoI_20754817-e03f-4579-be30-755aca76edb8_por_rewrite_light.json,eng,por,eng,por,eng,light,DialyNews,y,n,y,n
9a5c650c-ead8-4d8f-9c50-0d0ba558e1b0,"'A seemingly trivial domestic disagreement over television viewing escalated dramatically for a Scottish couple.  Irene Clark, 65, and her husband, Richard, 52, of Tayport, Fife, were surprised by the arrival of law enforcement after a minor altercation.  During an argument about watching 'Foyle's War' or an airplane documentary on ITV1 one Sunday evening, Mrs. Clark swiped her husband with a magazine.  A neighbor, having heard the dispute, alerted authorities.  Four officers responded, ultimately arresting Mrs. Clark and placing her in handcuffs, despite Mr. Clark's minimal injury – a small paper cut on his forehead. Due to court holidays, she spent two nights in custody, which she described as a distressing experience shared with disruptive cellmates. Mr. Clark expressed concern for his wife and deemed the police response excessive.  Mrs. Clark later received a verbal reprimand at Dundee Sheriff Court for the July incident.  The couple's solicitor criticized what he viewed as an overreach of legal processes, while the Crown Office and Procurator Fiscal Service defended their actions, emphasizing their commitment to addressing domestic abuse.'","'Uma discussão doméstica aparentemente trivial sobre o que assistir na televisão se transformou em um drama para um casal escocês. Irene Clark, de 65 anos, e seu marido, Richard, de 52, de Tayport, Fife, ficaram surpresos com a chegada da polícia após uma pequena altercação. Durante uma discussão sobre assistir \'Foyle\'s War\' ou um documentário sobre aviões na ITV1 em uma noite de domingo, a Sra. Clark atingiu seu marido com uma revista. Um vizinho, tendo ouvido a discussão, alertou as autoridades. Quatro policiais responderam, prendendo a Sra. Clark e algemando-a, apesar do ferimento mínimo do Sr. Clark - um pequeno corte na testa. Devido a feriados judiciais, ela passou duas noites sob custódia, o que ela descreveu como uma experiência angustiante compartilhada com colegas de cela perturbadoras. O Sr. Clark expressou preocupação com sua esposa e considerou a resposta da polícia excessiva. A Sra. Clark posteriormente recebeu uma repreensão verbal no Tribunal do Xerife de Dundee pelo incidente de julho. O advogado do casal criticou o que ele considerou um exagero nos processos legais, enquanto o Crown Office and Procurator Fiscal Service defendeu suas ações, enfatizando seu compromisso em lidar com a violência doméstica.'",'Overreaction much?  A Scottish woman spent two nights in jail after swatting her hubby with a magazine during a TV show squabble.  #truecrime #overpoliced #FoylesWar #domesticdispute','Casal escocês tem discussão sobre programa de TV e a esposa acaba presa! Dois dias na cadeia por causa de uma revista?  #exagero #policia #FoylesWar #brigaconjugal',por,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/por/CoI_9a5c650c-ead8-4d8f-9c50-0d0ba558e1b0_por_rewrite_complete.json,eng,por,eng,por,eng,complete,DialyNews,n,y,y,n
f862b42b-77fe-4dcd-b846-b38b6a5b4021,"'Candice Swanepoel, known for her Victoria's Secret campaigns, showcases a sophisticated look in the new Max Factor Excess Volume Mascara campaign. The supermodel wears a revealing black dress in the boudoir-inspired shoot.  Beyond this, she's also promoting Narciso Rodriguez, walked for designers like Alexander Wang and Desigual at NYFW, and wore the $10 million fantasy bra at the 2013 Victoria's Secret Fashion Show. In 2013, she ranked 9th on Forbes' top-earning models list, earning an estimated $3.3 million.'","'Candice Swanepoel, conhecida por suas campanhas para a Victoria's Secret, mostra um visual sofisticado na nova campanha da Max Factor Excess Volume Mascara. A supermodelo usa um vestido preto revelador em um ensaio inspirado em boudoir. Além disso, ela também está promovendo Narciso Rodriguez, desfilou para estilistas como Alexander Wang e Desigual na NYFW, e usou o sutiã de fantasia de US$ 10 milhões no Victoria's Secret Fashion Show de 2013. Em 2013, ela ficou em 9º lugar na lista de modelos mais bem pagas da Forbes, ganhando cerca de US$ 3,3 milhões.'","'Candice Swanepoel is bringing the sophistication in the new Max Factor mascara campaign!  From VS Angel to high-fashion model, she's killing it. #CandiceSwanepoel #MaxFactor #Beauty'","'Candice Swanepoel arrasando com sofisticação na nova campanha da Max Factor! De Angel da VS à modelo de alta costura, ela arrasa! #CandiceSwanepoel #MaxFactor #Beleza'",por,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/por/CoI_f862b42b-77fe-4dcd-b846-b38b6a5b4021_por_edit.json,eng,"[por,eng]",eng,por,eng,light,DialyNews,y,n,y,n
