uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
9f569ff3-b746-4d66-88fa-911dfb8a1062,"Golf star Rory McIlroy is reportedly dating 27-year-old Erica Stoll, who manages Championship Volunteer Operations at the PGA of America. The couple has been together for about three months and celebrated New Year's Eve at Ashford Castle in Ireland. McIlroy posted a photo on Instagram of two champagne glasses with the hotel's logo.","გოლფის ვარსკვლავი რორი მაკილროი, როგორც ცნობილია, დათარიღებულია 27 წლის ერიკა სტოლთან, რომელიც PGA of America-ში მუშაობს. წყვილი სამი თვეა ერთადაა და ახალი წლის ღამე ირლანდიაში, ეშფორდის ციხესიმაგრეში შამპანურით აღნიშნა. მაკილროიმ ინსტაგრამზე ფოტო გამოაქვეყნა ორი შამპანურის ჭიქით, რომელზეც სასტუმროს ლოგოც იყო.",Golf star Rory McIlroy is dating PGA employee Erica Stoll! 'They celebrated New Year's Eve at Ashford Castle #RoryMcIlroy #EricaStoll #GolfRomance',გოლფის ვარსკვლავი რორი მაკილროი PGA-ს თანამშრომელ ერიკა სტოლთან დათარიღებულია! 'მათ ახალი წლის ღამე ეშფორდის ციხესიმაგრეში აღნიშნეს #რორიმაკილროი #ერიკასტოლი #გოლფირომანსი',kat,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/kat/CoI_9f569ff3-b746-4d66-88fa-911dfb8a1062_kat_rewrite_light.json,eng,kat,eng,kat,eng,light,DialyNews,y,n,y,n
35e4c3d8-fd8a-4007-9832-0f0bfe6370bb,"A small toilet block in Barnsley, South Yorkshire, was sold at auction for £67,000. The sale price significantly exceeded the guide price of £20,000. Six bidders drove up the price during the auction in Sheffield. The winning bidder, an entrepreneur from Doncaster, plans to turn the block into a business. Local businessman Arthur O'Loughlin had shown interest but withdrew as prices rose.","ბარნსლიში, სამხრეთ იორკშირის საპირფარეშო ბლოკი £67,000-ად გაიყიდა. ფასი საწყისი £20,000-ის მაჩვენებელს მნიშვნელოვნად აღემატებოდა. შეფილდში გამართულ აუქციონზე ექვსმა მონაწილემ ფასი აიწია. დონკასტერელი მეწარმე გეგმავს მის ბიზნესად გადაკეთებას. ბიზნესმენმა არტურ ო'ლოლინმა გამოხატა ინტერესი, მაგრამ ფასის ზრდასთან ერთად მიატოვა.","£67,000 for a toilet block! Barnsley council sells public toilets for a whopping sum, beating the price of a nearby 2-bed house! #Barnsley #ToiletBlock #Auction","'£67,000 საპირფარეშო ბლოკისთვის! ბარნსლის საბჭომ საპირფარეშოები დიდი თანხით გაყიდა, ახლომდებარე 2-საძინებლიანი სახლის ფასსაც კი გადააჭარბა! #ბარნსლი #საპირფარეშო #აუქციონი'",kat,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/kat/CoI_35e4c3d8-fd8a-4007-9832-0f0bfe6370bb_kat_polish.json,eng,kat,eng,"[eng,kat]",eng,moderate,DialyNews,y,n,y,n
54c79874-f0a9-49ef-9876-a50b8abdd0f3,"A 21-year-old woman, Alexandra Anne Westover, has been charged with making a false report of a crime and perjury after claiming she was raped on a 'Florida' highway. Westover allegedly fabricated the story to avoid getting in trouble for skipping work at her great-uncle's house. The false claims wasted over 100 hours of authorities' time, including investigators from the Sheriff's Office, Florida Highway Patrol, and the Palm Beach County State Attorney's Office Special Victims Unit.","21 წლის ქალი, ალექსანდრა ენ ვესტოვერი, დაადანაშაულეს ცრუ ინფორმაციის გავრცელებაში და ფიცის გატეხაში მას შემდეგ, რაც განაცხადა, რომ იგი 'ფლორიდის' შტატის ავტომაგისტრალზე გააუპატიურეს. ვესტოვერმა, სავარაუდოდ, ეს ამბავი მოიგონა, რათა თავიდან აერიდა პრობლემები 'დიდი ბიძის' სახლში მუშაობის გაცდენისთვის. ცრუ ინფორმაციამ დაკარგა 100 საათზე მეტი სახელმწიფო უწყებების დრო, მათ შორის შერიფის ოფისის, ფლორიდის შტატის საგზაო პატრულისა და პალმ ბიჩის საოლქო პროკურორის ოფისის სპეციალური დანაყოფის გამომძიებლების.",Here's a social media post summarizing the article: 'Woman charged with lying about being raped on Florida highway to avoid getting in trouble for skipping work! #FalseClaims #Crime',"სოციალური მედიის პოსტი სტატიის შეჯამებით: 'ქალი დაადანაშაულეს ფლორიდის შტატის ავტომაგისტრალზე გაუპატიურების შესახებ ცრუ ინფორმაციის გავრცელებაში, რათა თავიდან აერიდა პრობლემები მუშაობის გაცდენისთვის! #ცრუინფორმაცია #დანაშაული'",kat,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/kat/CoI_54c79874-f0a9-49ef-9876-a50b8abdd0f3_kat_edit.json,eng,kat,eng,kat,eng,light,DialyNews,y,n,y,n
771c356b-ef73-48c2-8cb6-d380acfa4d2a,"Richard III, the 15th-century king found under a Leicester parking lot, will be reburied in Leicester Cathedral. The decision followed a legal battle between Leicester and York. The University of Leicester, which led the excavation, welcomed the ruling. Richard III died in 1485 at the Battle of Bosworth. Leicester plans to create a tomb and visitor center in his honor.","'რიჩარდ მესამე, მე-15 საუკუნის მეფე, რომელიც ლეიცესტრის ავტოსადგომის ქვეშ აღმოაჩინეს, ლეიცესტრის საკათედრო ტაძარში დაიკრძალება. ამ გადაწყვეტილებას ლეიცესტრსა და იორკს შორის სასამართლო დავა უსწრებდა წინ. ლეიცესტრის უნივერსიტეტი, რომელმაც გათხრები განახორციელა, შედეგით კმაყოფილია. რიჩარდ მესამე 1485 წელს ბოსვორთის ბრძოლაში დაიღუპა. ლეიცესტრი მის პატივსაცემად სამარხისა და ტურისტული ცენტრის შექმნას გეგმავს.'",'Richard III to be reburied in Leicester Cathedral after long legal battle! Stay tuned for the tomb and visitor center coming to Leicester! #RichardIII #LeicesterCathedral','რიჩარდ მესამე ლეიცესტრის საკათედრო ტაძარში გადაასვენეს ხანგრძლივი სასამართლო პროცესის შემდეგ! მოემზადეთ ლეიცესტრში სამარხისა და ტურისტული ცენტრისთვის! #რიჩარდმესამე #ლეიცესტრისსაკათედროტაძარი',kat,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/kat/CoI_771c356b-ef73-48c2-8cb6-d380acfa4d2a_kat_polish.json,eng,kat,eng,kat,eng,moderate,DialyNews,y,n,y,n
5d96f967-3f7d-4172-9514-fd125a191958,"Sana'a, Yemen (CNN) -- Twin suicide attacks in southern Yemen killed 12 tribesmen early on Sunday morning, authorities said. The tribesmen are part of a force fighting al-Qaeda-affiliated militants in Abyan province. In one attack, a suicide bomber approached fighters, shook hands, and sat with them before detonating explosives, tribal fighters said. The blast killed five people besides the bomber. In the second attack, seven people were killed besides the suicide bomber. Clashes in Abyan have been ongoing since May, when al-Qaeda militants took over and declared it an Islamic emirate. The militants, calling themselves 'Ansar Sharia,' aim to spread Islamic law in Yemen. Government forces, aided by local tribal fighters, have retaken parts of the province.","სანაა, იემენი (CNN) -- სამხრეთ იემენში ორმაგი თვითმკვლელი თავდასხმების შედეგად 12 ტომის მებრძოლი დაიღუპა კვირას დილით, განაცხადა ხელისუფლებამ. ტომის მებრძოლები იბრძიან ალ-კაიდასთან დაკავშირებული მეამბოხეების წინააღმდეგ აბიანის პროვინციაში. ერთ-ერთ თავდასხმაში თვითმკვლელმა ბომბერმა მიუახლოვდა მებრძოლებს, ჩამოართვა ხელი და მათთან ერთად დაჯდა, შემდეგ კი ასაფეთქებელი ამოქმედა, განაცხადეს ტომის მებრძოლებმა. აფეთქების შედეგად ბომბერთან ერთად ხუთი ადამიანი დაიღუპა. მეორე თავდასხმაში თვითმკვლელი ბომბერის გარდა შვიდი ადამიანი დაიღუპა. აბიანში შეტაკებები მაისიდან გრძელდება, მას შემდეგ რაც ალ-კაიდასთან დაკავშირებულმა მეამბოხეებმა პროვინცია დაიკავეს და ისლამურ ემირატად გამოაცხადეს. მეამბოხეები საკუთარ თავს 'ანსარ შარიას' უწოდებენ და აცხადებენ, რომ მათი მიზანია იემენში ისლამური კანონმდებლობის გავრცელება. სამთავრობო ძალებმა, ადგილობრივი ტომის მებრძოლების დახმარებით, პროვინციის ნაწილზე კონტროლი აღადგინეს.",Breaking: Twin suicide attacks kill 12 tribesmen fighting al-Qaeda in Yemen's Abyan province. Stay tuned for updates! #Yemen #AlQaeda #SuicideAttack,ბოლო ახალი: ორმაგი თვითმკვლელი თავდასხმების შედეგად 12 ტომის მებრძოლი დაიღუპა იემენის აბიანის პროვინციაში ალ-კაიდას წინააღმდეგ ბრძოლაში. თვალყური ადევნეთ განახლებებს! #იემენი #ალკაიდა #თვითმკვლელითავდასხმა,kat,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/kat/CoI_5d96f967-3f7d-4172-9514-fd125a191958_kat_edit.json,eng,kat,,kat,eng,light,DialyNews,y,n,y,n
fa51d543-1413-4b71-a36f-530d6d3e8dfd,"Real Madrid's manager, Carlo Ancelotti, has dismissed speculation about signing Liverpool's Raheem Sterling, citing the club's existing wealth of attacking talent. Despite Sterling's impressive performances for both Liverpool and England, Ancelotti believes that his addition isn't necessary given the current squad. 'Sterling is a great player, one of Europe's best,' Ancelotti told The Sun. He emphasized that Real Madrid already has talented players like Cristiano Ronaldo, Gareth Bale, and Karim Benzema. Ancelotti also revealed his past attempt to sign Steven Gerrard for AC Milan, praising Gerrard and the potential pairing with Andrea Pirlo.","რ ეალ მადრიდის მწვრთნელმა კარლო ანჩელოტიმ უარყო სპეკულაცია ლივერპულის ფორვარდ რაიჰემ სტერლინგის შესახებ, რადგან კლუბს შეტევაში საკმარისი რესურსი გააჩნია. ანჩელოტიმ The Sun-ს განუცხადა, რომ 'სტერლინგი ხარისხიანი ფეხბურთელია, ევროპის ერთ-ერთი საუკეთესო'. მან ასევე აღნიშნა, რომ რეალ მადრიდს უკვე ჰყავს ისეთი ნიჭიერი ფეხბურთელები, როგორებიც არიან კრიშტიანუ რონალდუ, გარეთ ბეილი და ქარიმ ბენზემა. ანჩელოტიმ გაიხსენა, რომ წარსულში ცდილობდა სტივენ ჯერარდის მილანში გადმობირებას.","Carlo Ancelotti dismisses Raheem Sterling transfer rumors! 'Sterling is a great player, but we have enough talent already' #RealMadrid #TransferNews","კარლო ანჩელოტიმ უარყო სპეკულაციები რაიჰემ სტერლინგის ტრანსფერის შესახებ! 'სტერლინგი დიდი ფეხბურთელია, მაგრამ ჩვენ უკვე გვყავს საკმარისი ნიჭი' #რეალმადრიდი #ტრანსფერული_ახალი_ამბები",kat,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/kat/CoI_fa51d543-1413-4b71-a36f-530d6d3e8dfd_kat_rewrite_light.json,eng,"[kat,eng]",eng,kat,eng,light,DialyNews,y,n,y,n
0992d20e-5e12-4b7a-bef9-b4d9fb2fe042,"In a '60 Minutes' interview aired on Sunday, President Obama stated that his most challenging decision since taking office was to deploy additional troops to Afghanistan. Obama expressed fundamental disagreement with Dick Cheney's stance on national security and torture. The President defended his decision to close the US prison at Guantanamo Bay, Cuba. Obama supported Treasury Secretary Timothy Geithner, saying his job is secure despite criticism over AIG bonuses.","სულიწმიდის დღეს '60 Minutes'-ის ინტერვიუში პრეზიდენტმა ობამამ განაცხადა, რომ მისი ყველაზე რთული გადაწყვეტილება თანამდებობაზე ყოფნის პერიოდში იყო ავღანეთში დამატებითი ჯარების გაგზავნა. ობამამ გამოთქვა ფუნდამენტური უთანხმოება დიკ ჩეინიის პოზიციასთან ეროვნული უსაფრთხოებისა და წამების შესახებ. პრეზიდენტმა დაიცვა თავისი გადაწყვეტილება კუბაში, გუანტანამოს ყურეში მდებარე ამერიკის ციხის დახურვის შესახებ. ობამამ მხარი დაუჭირა სახაზინო მდივან ტიმოთი გეიტნერს, თქვა, რომ მისი სამსახური უსაფრთხოა, მიუხედავად AIG ბონუსების გამო კრიტიკისა.",President Obama's toughest decision? Sending more troops to Afghanistan! He also defended closing Guantanamo Bay and backed Treasury Secretary Geithner amid AIG bonus controversy #Obama #Afghanistan #Guantanamo,პრეზიდენტ ობამას ყველაზე რთული გადაწყვეტილება? მეტი ჯარის გაგზავნა ავღანეთში! მან ასევე დაიცვა გუანტანამოს დახურვა და მხარი დაუჭირა სახაზინო მდივან გეიტნერს AIG ბონუსების სკანდალში #ობამა #ავღანეთი #გუანტანამო,kat,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/kat/CoI_0992d20e-5e12-4b7a-bef9-b4d9fb2fe042_kat_polish.json,eng,"[kat,eng]",eng,kat,eng,moderate,DialyNews,y,n,y,n
6cb1a28d-c833-4932-ab8e-f4cb3c9a97c7,"Aaron Davis, an 18-year-old from Hextable, Kent, received a sentence of over 10 years for brutally assaulting elderly victims and stealing their possessions. The victims suffered serious physical harm and psychological distress due to Davis's actions.",Translation is accurate and culturally appropriate. Minor adjustments made for fluency.,Teenager jailed for 10+ years for brutally assaulting elderly victims 'They suffered horrific injuries & long-term trauma #JusticeServed','მოზარდი 10+ წლით პატიმრობაშია მოხუცებულებზე სასტიკი თავდასხმის გამო 'მათ მძიმე დაზიანებები და გრძელვადიანი ტრავმა მიიღეს #მართლმადიდებლობა',kat,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/kat/CoI_6cb1a28d-c833-4932-ab8e-f4cb3c9a97c7_kat_rewrite_complete.json,eng,eng,eng,kat,eng,complete,DialyNews,n,y,y,n
b133f1d0-8aff-4ed8-a1c3-ef63aec8627d,"Moeen Ali is set to make his Test debut for England against Sri Lanka on Thursday at Lord's, bringing the doosra into his bowling arsenal. Moeen has been working with Saeed Ajmal to master the doosra. 'I'm ready,' Moeen said, expressing confidence in his ability to perform. Moeen's debut marks a significant moment as he fills the void left by Graeme Swann.","მუინი ალი ტესტის დებიუტს ინგლისის ნაკრებში შრი-ლანკას წინააღმდეგ გააკეთებს ხუთშაბათს ლორდსზე, თავის არსენალში დუსრას ჩაიტანს. მუინმა დუსრაზე მუშაობა საიდ აჯმალთან ერთად დაიწყო. 'მე მზად ვარ,' - თქვა მუინმა და თავისი შესაძლებლობების შესახებ ნდობა გამოთქვა. მუინის დებიუტი მნიშვნელოვანი მომენტია, რადგან ის გრემ სვანის მიერ დატოვებულ სიცარიელეს ავსებს.","Get ready for Moeen Ali's Test debut! 'I'm ready to bowl the doosra,' he says. #MoeenAli #EnglandCricket #TestCricket","მუინ ალის ტესტის დებიუტისთვის მოემზადეთ! 'მე მზად ვარ დუსრას შესასრულებლად,' - ამბობს ის. #მუინალი #ინგლისისკრიკეტი #ტესტისკრიკეტი",kat,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/kat/CoI_b133f1d0-8aff-4ed8-a1c3-ef63aec8627d_kat_edit.json,eng,kat,eng,"[kat,eng]",eng,light,DialyNews,y,n,y,n
149433ea-9f5c-456f-93f5-ff3c20211f4d,"Fueled by hot, dry conditions, a wildfire near 'Flagstaff' in northern 'Arizona' grew to 10,000 acres. The 'Schultz Fire' started late 'Sunday' due to an abandoned campfire, prompting evacuations of at least 748 properties.","'ცხელი, მშრალი ამინდის გამო, ჩრდილოეთ არიზონაში, ფლაგსტაფის მახლობლად, ტყის ხანძარი 10,000 აკრამდე გავრცელდა.' 'შულცის ხანძარი' კვირას დაუდევრად დატოვებული კოცონის გამო დაიწყო, რამაც მინიმუმ 748 საკუთრების ევაკუაცია გამოიწვია.","Breaking: Wildfire near 'Flagstaff', Arizona spreads to 10,000 acres! 'Schultz Fire' started due to abandoned campfire, causing evacuations. Stay safe, Arizona! #Wildfire #Arizona #Flagstaff","'საფრთხე: ფლაგსტაფის მახლობლად, არიზონაში, ტყის ხანძარი 10,000 აკრამდე გავრცელდა! 'შულცის ხანძარი' დაუდევრად დატოვებული კოცონის გამო დაიწყო. იყავით უსაფრთხოდ, არიზონა! #ტყისხანძარი #არიზონა #ფლაგსტაფი'",kat,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/kat/CoI_149433ea-9f5c-456f-93f5-ff3c20211f4d_kat_edit.json,"[eng,spa]",kat,eng,kat,eng,light,DialyNews,y,n,y,n
