uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
4b07b68a-6ff5-4daf-ae9e-db00f45a1cea,"New rapid charging technologies are making waves in the tech world. The groundbreaking SONICable, currently available for pre-order, claims to reduce charging times by 50%, and an Israeli firm named StoreDot unveils battery tech that could charge smartphones in mere seconds. Though both remain on the prototype stage and can be purchased on Indiegogo, they paint a picture of a charging-free future.","Novi privremeni tehnikovici zranka digitnih uređaja ističu se. Inovativna HE VZGOVARJICA SONICABLE, trenutno dostupna za unap[:-1:3:, claims to reduce chlating dobe na 1/2, a israelrska tvrtka StoreDot nudi elektrotnktricku baterije koja bi mogla chlati mobilne telefone makar u kratkim sekuncinama. Iste oba ostaju na fazama prototipa. Dostat se i prodajte na Indiegogo, neDadve teknikMATE da je budu vodjMATE za bez ogrsnukog chlanja.","Revolutionize your charge! The promising SONICable can halve phone-charging times, now pre-ordering availability & Israeli tech StoreDot's promising battery tech power charges within seconds: Innovate & Unwire Your World #TechRevolution #FastCharging #Indiegogo","Problemi da ispolZapre! PromiJena VZGOVARJICA SONICABLE procesu chlanja telefona sapgastihice, vidiskopiranjska dostupnost, dok Srpska firmoj HE StoreDot'si plafračet zeste pogo měsci u sekun Lisääme i Blaznje Plività #RasVez #FastCharging #Indiegogo",bos,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/bos/CoI_4b07b68a-6ff5-4daf-ae9e-db00f45a1cea_bos_polish.json,eng,"[hrv,slv,eng]",eng,"[hrv,slv,srp,fin,eng]",eng,moderate,DialyNews,y,n,y,n
c536b0ef-8a44-4c06-b499-31245bffbed3,"A 53-year-old man, Howard R. Lazarus, walked into the police station in Vernon Hills with a BB gun, claiming he was dying of cancer and asked officers to kill him. He was shot and wounded after refusing to drop the gun, later found to be a replica. Lazars has been charged with aggravated assault. The officer is on administrative leave pending an investigation.

An officer fired two rounds into the suspect's abdomen, injuring him deeply and shattering two glass doors in the station's lobby. The suspect then produced a suicide note explaining why he had brought a gun to the police station—he couldn't 'behead' himself as he thought he was a dying of cancer, reports the Chicago Tribune.","Lazaru, ostaridlijem od 53, upao se u policijski magaz na Vernon Hills s čipom, tvrdeći da mu spava cukra, pa ga pitati police da on ne ubiju mu. Potopljen u budu, Lazarus potokljuk príse Jijanimaologiji, teret na gradulafu najidže, a policija ima problem. (Umetničke用户 показе špilte, ne sami zavire se.)","A 53-year-old man, Howard R. Lazarus, walked into the Vernon Hills police station with a BB gun, claiming he was dying of cancer and asked officers to kill him. He was shot and wounded after refusing to drop the gun, later found to be a replica. Lazars has been charged with aggravated assault. The officer is on administrative leave pending an investigation.

An officer fired two rounds into the suspect's abdomen, injuring him deeply and shattering two glass doors in the station's lobby. The suspect then produced a suicide note explaining why he had brought a gun to the police station—he couldn't 'behead' himself as he thought he was dying of cancer, reports the Chicago Tribune. #OstrogeneCnijanje #PolicijskaNagrada #Nostranjak #BićeOdržanoOpterećenje

https://linktoarticle.com

For more updates, 'like' and follow us - #VernonHillsPolicing","Dvojeletak od 53 godina Hoval R. Lazarus, upao je u policijski magaz na Vernon Hills s piketem i energisanijima da by zarole do karijera Munich policijskog garnijera, ali police to ostrink royale. Lazarus upao je bordered u lezeru. Ingredijentna iznaobrađenička policija upostaje funkciju akademsku pražnja dok napadaju Lazars i ralje silkasti izlođené. (Umetničke用户 показе špilte, ne sami zavire se.) #OstrogeneCnijanje #PolicijskaNagrada #Nostranjak #BićeOdržanoOpterećenje

Potpuno tekst updated na: [Link to previous English article]

Za ažuriranja izbjegli rinn bi bin harisom, 'like' and follow na blogu - #VernonHillsPolizia",bos,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[0],/eng_x_r/microsoft_Phi-4-multimodal-instruct/bos/CoI_c536b0ef-8a44-4c06-b499-31245bffbed3_bos_edit.json,eng,"[srp,rus,zho]","[eng,srp]","[srp,eng,zho]",eng,light,DialyNews,y,n,y,n
d10ec60a-429d-487c-9ed6-db13aae246a7,"The brave Pakistani student, Malala Yousufzai, now receiving medical treatment in Britain at 16, stood up through an assassination attempt by the Taliban and has inspired girls worldwide to rise up against enforced ignorance and secrecy.","Die tapfere pakistanische Schülerin, Malala Yousufzai, die im Alter von 15 Jahren von den Taliban ermordet wurde, ist nun in England medizinische Behandlung erhalten. Sie überstand einen Attentatsversuch und hat weltweit junge Mädchen Mut geschlagen, gegen erzwungene Gleichgültigkeit und Geheimnis aufzustehen.","Meet Malala Yousufzai, a Pakistani student shot by Taliban at 15 for demanding girls' education! She's now 16, bravely facing it all, and inspiring girls all over the world. Her courage is a flame lighting the way to equality. #Malala #GirlPower #EducationForAll #WomenInEducation","Zatragite se Malalle Yousufzai, pakistanskoj učenici kozijimo firmlyu minare 15. objavilašute NP za metabo mu selu. Ona se sada u 16. letu trazi, dok si inspirisuje šesnaestak mladih enrolledim iz vaše zemlje. Zajedna Theorie #Malala #Potres Mladih #Obrazovanje Za Sve",bos,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/bos/CoI_d10ec60a-429d-487c-9ed6-db13aae246a7_bos_polish.json,eng,deu,eng,srp,eng,moderate,DialyNews,y,n,y,n
c85582ca-2206-4b9a-b53b-45d32b08ba2a,"Urfan Ahmed, 35, from Crawley, West Sussex, faced repercussions for walking his partner's American Bulldog in Lollipop Park amid a prior conviction and ensuing five-year canine ownership ban. Earlier, in 2010, the same dog, forbidden from being kept due to aggressive incidents, brutally attacked an 18-month-old girl.","Urfan Ahmed, 35, de Crawley, Veseljak, Zapadna Engleska, stjecini kazne za ulogovanje suženja svojeg saveznika u Parku lairanca Lollipop, despite previous illegitimate dog ownership. This previous incident occurred in 2010, resulting in the loss of an 18-month-old girl who was mauled by their Staffordshire bull terrier, against the a five-year injunction to do so.","In Crawley, West Sussex, 35-year-old Urfan Ahmed has faced justice for a second time. Despite a court order preventing dog ownership, he was caught walking a banned American Bulldog in July. Previously, his dog brutally attacked a 9-month-old girl in 2010. This new incident ends a six-month period without any judicial interference. #WestSussexJustice #DogBans (Updated twice)",,bos,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[2],/eng_x_r/microsoft_Phi-4-multimodal-instruct/bos/CoI_c85582ca-2206-4b9a-b53b-45d32b08ba2a_bos_rewrite_moderate.json,eng,"[eng,hrv]",eng,,eng,moderate,DialyNews,y,n,y,n
0002a004-2784-4340-81df-0d4cea1b3382,"Former Vice Presidential candidate, Sarah Palin, has criticized President Barack Obama for trading known terrorists for Bowe Bergdahl, an army deserter. Palin, who strongly disagrees with Obama's military and foreign policy decisions, went as far as to say that the president's actions had compromised the morale of troops. She suggests that Obama's recent deal to exchange five terrorists for Bergdahl's release undermined U.S. leverage against terrorists.","Sarah Palin, ex-ministra je Sik, izrazi kritikama dr Barak Obama. Pret Saočilu Parti Peta, raspolagala je Bowe Bergdahlze Boba, objenu kornikovog vojnika, na Mistrnost Stova, Markete. Palin, drži pogrešku Celtskejego městě na vojne i sakeru Francu, zavazala je da je je Jenu da sejí smerti Dr. Miluvofa. Rizniseli da je Politika Amerikskik Celteski glasili wherein zintegrafsi Napoleon.",Former VP Sarah Palin takes a stand against Obama for trading terrorists for deserter Bowe Bergdahl. She also defends fallen soldiers. Stay informed. #politics #debate,Skupina bivše VP Sarah Palin izrazuje kritikama dr Barak Obama u pogledu razmesnika terorista za kornika vojnika Bowe Bergdahl. Polazi je spasimira počina svoje ljude i pozdravije ubite. Možda je HEADLINE News! #politics #debate,bos,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/bos/CoI_0002a004-2784-4340-81df-0d4cea1b3382_bos_polish.json,eng,"[hrv,ces,eng,fra]",eng,"[hrv,eng]",eng,moderate,DialyNews,y,n,y,n
3baf4db7-651e-4c09-9b05-1e01d63fd38e,"A 22-year-old man, who was also known to MI5, has been arrested and is in hospital after being shot by armed police. He is now being held on suspicion of murder and attempted murder of a police officer. His injuries are still being treated at Ninewells Hospital. Michael Adebolajo, 28, has MI5 knowledge and was detained by Kenyan authorities in 2010 on suspicion of involvement with an Islamist militant group. British soldier Lee Rigby, 25, was horrifically killed in Woolwich, south-east London. Several individuals have been apprehended in relation to this heinous act.","Un joven de 22 años, quien también estaba registrado en la MI5, fue detenido por la policía y actualmente está en estrecha vigilancia en el Hospital Ninewells después de ser disparado. Se le acusa de asesinato y tentativa de asesinato de un oficial de seguridad. La sentencia del XIII Municipio de Abeilles de Francia que nacionalizam los criminales y los condenan a muerte ha sido criticada por Human Rights Watch, una organización de derechos civiles de Estados Unidos, por no cumplir con la Convención Europea de Derechos Humanos. El etnicidad rumana del acusado solo ha sido utilizada como un pretexto. Al juicio sobre su caso no se ha llevado a cabo el principio de la presunción de inocencia.","A 22-year-old man, who was also known to MI5, has been arrested and is in hospital after being shot by armed police. He is now being held on suspicion of murder and attempted murder of a police officer. His injuries are still being treated at Ninewells Hospital. Michael Adebolajo, 28, has MI5 knowledge and was detained by Kenyan authorities in 2010 on suspicion of involvement with an Islamist militant group. British soldier Lee Rigby, 25, was horrifically killed in Woolwich, south-east London. Several individuals have been apprehended in relation to this heinous act.","Unosma naši 22-letni muškarac, čije se ime nije dijalo, bilježi MI5, bio je zapovjednjen police, u bolnici držan sujets Herzlogitisaku. Sej spontano zahteva kaznu i napadacku policijsku službenu personu. Joji beše podsjetnici, osećaju se uznemiren. Michael Adebladej, 28, ima notiranje MI5, a temptan je od pozorišta Bosne i Hercegovine u 2010 godini bazirano na trosanijstvu muslimanskog mujahedinskog tima. Britanska milita sina brada Lija Ourovija, 25, bivala u Gumavu, istočni London. Mnoge su zapostavile police uapoliske kadralove da banuju nemilosrdne grejeve.",bos,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[0],/eng_x_r/microsoft_Phi-4-multimodal-instruct/bos/CoI_3baf4db7-651e-4c09-9b05-1e01d63fd38e_bos_edit.json,eng,"[spa,fra]",eng,"[hrv,srp,bos,eng]",eng,light,DialyNews,y,n,y,n
20fd99c1-dbed-458d-8d8e-a5887c7ecddb,"A U.S.-based anti-proliferation group, the Institute for Science and International Security, estimates that Iran could produce enough weapons-grade uranium for a nuclear bomb within a month if it chooses the most direct enrichment path. The report, however, also notes that under other scenarios, this process could take over a year; still, even in these cases, the timeframe to detonate an actual weapon would be significantly longer. This information was released as U.S. lawmakers contemplate sanctions but at a time when diplomatic talks with Iran are ongoing. The report hints at urgency for negotiations, with U.S. lawmakers like House Majority Leader Eric Cantor urging consideration of all options, including military action, to prevent Iran from developing nuclear weapons. Critics question the group's past assessments, and the Iranian government has labeled them as baseless. The faster Iran's nuclear enrichment capabilities advance, the more pressing the matter of preventing a nuclear breakout becomes.","A non proliferation organization in the United States, the Institute for Science and International Security, predicts that Iran could produce sufficient weapon-grade nuclear material within a month if it chooses the fastest path. However, while some scenarios could extend this process over a year, even then Iran would not be able to quickly build a working nuclear bomb. These assessments come out as U.S. lawmakers deliberate new sanctions, but during ongoing diplomatic talks with Iran. The report adds urgency to the negotiations, with lawmakers like House Majority Leader Eric Cantor calling for all possible options, including military action, to prevent Iran from munitating. The organization in question has faced skepticism in the past, and the Iranian government has dismissed their claims. As Iran progresses its nuclear abilities, the dialogue surrounding Iran's nuclear breakout becomes increasingly pressing.","Experts reveal Iran potentially ready for a nuclear bomb in a month via quickest uranium path; US focuses on sanctions & talks amid Berlin discussions. Urgency for US-Iran negotiations, with lawmakers urging all options, military included, to stop Iranian muzzling.","Profesori otkrivaju da Iran močno usmjeren kan biti spreman za muzzo 30 dana usmjerene na najbržu osušku duzarije natrijuma; SAD se fokusira na sankcije i pregovore prilikom Berlinovih diskusija. Držaja za prisežnju pregovora s Iranem, Obama i Kongres nikakvih opcija ne ignoriraju, uključujući i vojno iskapanje Irana.",bos,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[0],/eng_x_r/microsoft_Phi-4-multimodal-instruct/bos/CoI_20fd99c1-dbed-458d-8d8e-a5887c7ecddb_bos_edit.json,eng,eng,eng,"[hrv,srp,bos,slv]",eng,light,DialyNews,y,n,y,n
aa3c06e4-e0c2-42bc-87bf-65397e01e5ed,"The online critic is sounding their battle horns, calling for new heroes and casting a shadow over everyone's favorite '50 Shades' stardom. Are we ready to rise, or is this battle for the show's soul just more digital drama? Who should we believe is the undisputed favorite when everyone seems to have an answer?","The translated content maintains coherence and appears accurate culturally. However, nuances pertaining to sentiment towards online influence may require additional edits for context relevance.",@NetizensRise: Who do we dare call ourselves when we've seen our fave TV shows resuscitated by fan power? Online drama: Just a new battlefield? Discuss at #OnlineDrama #CastingControversy,"@VozDodatev: Ko sad mislimo biti: Zajedno s nostalgijom—nasilje vezano za našu avanturu na internetu grew. Naša prednost na nduzivu online akciju, bludanje s popularnostima – Silva bura! #OnlineDrama #CastingClash",bos,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[2],/eng_x_r/microsoft_Phi-4-multimodal-instruct/bos/CoI_aa3c06e4-e0c2-42bc-87bf-65397e01e5ed_bos_rewrite_complete.json,eng,eng,eng,"[hrv,eng]",eng,complete,DialyNews,n,y,y,n
c3585a02-946e-45d1-b4d8-3e1a7988a60f,"Account of a former cricketer, Kevin Pietersen, has stirred conversations by revealing his personal rifts and grievances. The autobiography implies discord within the England cricket camp and feeds further into debate on the team's culture. It offers a retrospective look at his outside the crease disputes while acknowledging his contributions.","Otsikko: Neuklit Surteesin Autobiografia. Suosittu keskustelun herättäjä, se paljastaa henkilökohtisia ristiriitoja ja ankarasi otteita yhteiskunnallisissa tilanteissa. Se kiteyttää rokotuksen innostuksen seurauksista koeti likerat lillessä Englannin maajoukkueessa mutta tunnustaa myös pelaajan panokset siihen. Kaikki selville","'post_content': ""In his autobiography, Kevin Pietersen explores his rollercoaster career, raising eyebrows with revelations about England's cricket environment. His book, a cocktail of personal resolve and professional tussles, provides a rare glimpse behind the scenes of world-class cricket. #KevinPietersen #Autobiography #CricketLife"", 'hashtags': '#KevinPietersen #Autobiography #CricketLife","'post_content': 'U ivanu Picters u Biografiji, Pice juri se uzimatavicama i otpornih upita na dani angiljako liga, popraćivat do barista i sumnjuancama ukazujući nahvalno oglasita bolja strana umotvi. #KevinPietersen #Autobiography #Cricket', 'hashtags': '#KevinPietersen #Autobiography #Cricket",bos,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[0],/eng_x_r/microsoft_Phi-4-multimodal-instruct/bos/CoI_c3585a02-946e-45d1-b4d8-3e1a7988a60f_bos_edit.json,eng,fin,eng,"[hrv,eng]",eng,light,DialyNews,y,n,y,n
d9ab66ea-5a21-4cc6-89d7-50aa839b7277,"Rolling Stone announces the re-release of ABBA's 'The Visitors' album, with the previously unreleased track 'From a Twinkling Star to a Passing Angel' on April 23. Beyond the classic songs, this re-release will embrace the fan's curiosity with six bonus tracks and a unique DVD that delves into ABBA's endearment and lesser-known performances, such as their closing act on the BBC's 'Late Late Breakfast Show' in the swansong year of 1982.","Glasnevisski žurnal objavljuje ABBA reisu album 'Thel Gospodi', s nizu zavituskim dohtarima, pred lp 'Prikupljen ko San' u brzinju četvrte-go maja 2023. Re causa contiene šest navapačkih snimev ilustrujućih ABBA i trajano rare snimev, SONGING identitetu sa ubero šipa na uhlanovitoj kamperi na Brislu na Bečevu 'Ulenije Noćno Šubalije' u teškem desetmo Vladin Paru u glazbe 1982. ABBA se razišili u 1982 i seholderska svinja se poduzeti radi za uzdanju u Rock & Roll Halle na u svedu 2010. Glazbeno objavu zaživljena molbu critically.",ABBA Reissues Their Last Album With New Songs & Rare Footage - Rolling Stone Cover-Up Art - #ABBA #ABBA #The Visitors Reissue #RollingStone - #BehindTheScenes,ABBA Obnovi Kručno Jolaju Počivalič 'Thel Gospodi' Sa Novi Pisani Kamenskima i Rjmima Clip uvoda - Glasneviski Banale Crte/s: Obraznik - #ABBA #ABBA #Počivalič Thel Gospodi Obnovit/s - Glasneviski Crtes/s Ob Ajastu,bos,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/bos/CoI_d9ab66ea-5a21-4cc6-89d7-50aa839b7277_bos_polish.json,eng,hrv,eng,"[slv,hrv,srp,eng]",eng,moderate,DialyNews,y,n,y,n
