uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
3a1c1873-c371-4e53-a174-030223944ddb,"A month ago, computer expert Sean Smith was killed in the U.S. compound in Benghazi alongside Ambassador Chris Stevens. His mother, Pat Smith, met with several high-ranking officials, including President Obama, who promised to tell her the truth about her son's death. However, Pat Smith has launched a scathing attack on the White House administration, saying she was kept in the dark about what happened to her son. 'Everyone of them, all the big shots over there told me they would tell me what happened,' she said. 'I don't want political stuff. You can keep your political, just tell me the truth - what happened.' Pat Smith expressed frustration that she still doesn't know the details of her son's death, including whether he died from smoke inhalation or was shot.","Bir ay önce, bilgisayar uzmanı Sean Smith, Bingazi'deki ABD kompleksinde Büyükelçi Chris Stevens ile birlikte hayatını kaybetti. Annesi Pat Smith, oğlunun ölümü hakkında kendisine gerçeği anlatacaklarına dair söz veren Başkan Obama dahil olmak üzere birçok üst düzey yetkiliyle görüştü. Ancak Pat Smith, Beyaz Saray yönetimine karşı sert bir eleştiri yönelterek, oğluna ne olduğu konusunda karanlıkta bırakıldığını belirtti. 'Oralardaki tüm üst düzey yetkililer bana ne olduğunu söyleyeceklerini söylediler,' dedi. 'Siyasetle ilgili şeyler istemiyorum. Siyasetinizi saklayın, bana sadece gerçeği söyleyin - ne oldu.' Pat Smith, oğlunun ölümünün detaylarını hala bilmediğini, duman solunması sonucu mu yoksa vurularak mı öldüğünü bilmediğini ifade etti.","Here's the latest: 'I'm still in the dark about my son's death,' says Pat Smith, mother of Sean Smith, killed in Benghazi attack. #Benghazi #TruthDenied","İşte son durum: 'Oğlumun ölümü hakkında hala karanlıkta bırakıldım,' diyor Sean Smith'in annesi Pat Smith, Bingazi saldırısında öldürüldü. #Bingazi #GerçekReddedildi",tur,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tur/CoI_3a1c1873-c371-4e53-a174-030223944ddb_tur_rewrite_moderate.json,eng,tur,eng,tur,eng,moderate,DialyNews,y,n,y,n
489f9a8a-d4d5-4750-a517-0cd2479ae0a4,"A teacher who was found half-naked in a parked car with a teenage pupil could be back in the classroom in two years. Eppie Sprung Dawson, 27, admitted to having sex with Matthew Robinson, who was 17 at the time of the offence, and was found 'unfit to teach' by a disciplinary panel. Although the English teacher was placed on the sex offenders' register and banned indefinitely from her profession, she can apply to be reinstated to the teaching register in two years.","'Çocuklarla uygunsuz davranış': Eppie Sprung Dawson, 27, 17 yaşındaki Matthew Robinson ile cinsel ilişkiye girmeyi itiraf etti ve 'öğretmenlik yapmaya uygun olmadığı' tespit edildi. İngilizce öğretmeni, seks suçluları siciline kaydedilmiş ve mesleğinden süresiz olarak men edilmiş olmasına rağmen, iki yıl içinde öğretmenlik siciline yeniden kayıt için başvurabilir.",Teacher Eppie Sprung Dawson could return to classroom in 2 years after sex with student #TeachingBan #AbuseOfTrust,"Öğretmen Eppie Sprung Dawson, öğrenciyle cinsel ilişkiye girmenin ardından 2 yıl içinde sınıfa dönebilir #ÖğretmenlikYasak #Güvenİhlali",tur,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tur/CoI_489f9a8a-d4d5-4750-a517-0cd2479ae0a4_tur_edit.json,eng,tur,eng,tur,eng,light,DialyNews,y,n,y,n
b49a8196-1ece-44ea-bef2-3c24d07a54db,"A 42-year-old woman from Rochester, Kent, died on December 9 at King's College Hospital in London after injecting heroin contaminated with anthrax. Claire Skelton's death was due to anthrax and intravenous drug abuse. This is the third death in Britain linked to an anthrax outbreak among drug users. The Health Protection Agency reported 13 anthrax cases among drug users across Europe since June. Six cases were in the UK: four in England, one in Scotland, and one in Wales. Anthrax can be treated with antibiotics if diagnosed early. Dr Fortune Ncube stressed that medical professionals should watch for anthrax symptoms in drug users. These symptoms include severe infections, blood poisoning, high fever, chills, and breathing difficulties.","Kent'teki Rochester'lı 42 yaşındaki bir kadın, Londra'daki King's College Hastanesi'nde 9 Aralık'ta antraks kontamine eroin enjekte ettikten sonra hayatını kaybetti. Claire Skelton'ın ölümü antraks ve damar içi uyuşturucu kullanımına bağlandı. Bu, Britanya'da uyuşturucu kullanıcıları arasında görülen antraks salgınına bağlı üçüncü ölüm. Sağlık Koruma Ajansı, Haziran'dan bu yana Avrupa genelinde uyuşturucu kullananlar arasında 13 antraks vakası bildirdi. Bu vakaların altısı İngiltere'deydi; dördü İngiltere, biri İskoçya ve biri Galler'deydi. Antraks, erken teşhis edilirse antibiyotiklerle tedavi edilebilir. Dr Fortune Ncube, sağlık çalışanlarının uyuşturucu kullanıcılarında antraks belirtilerini dikkatle izlemesi gerektiğini vurguladı. Bu belirtiler arasında şiddetli enfeksiyonlar, kan zehirlenmesi, yüksek ateş, titreme ve nefes alma zorluğu bulunuyor.",Breaking: 'Woman dies after injecting anthrax-contaminated heroin in UK. Stay alert for symptoms like severe infections & breathing difficulties. #AnthraxOutbreak #DrugSafety',Son Dakika: 'İngiltere'de antraks kontamine eroin enjekte eden kadın hayatını kaybetti. Şiddetli enfeksiyonlar ve nefes alma güçlüğü gibi belirtilere karşı uyanık olun. #AntraksSalgin #UyusturucuGuvenligi',tur,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tur/CoI_b49a8196-1ece-44ea-bef2-3c24d07a54db_tur_rewrite_complete.json,eng,tur,eng,tur,eng,complete,DialyNews,n,y,y,n
0712d3b5-3f8f-4152-b032-cc4d559e602b,"The number of Americans living in poor neighborhoods has skyrocketed in the last decade, particularly in the South, where over 30% of the population is concentrated in areas with high poverty rates. A new report from the U.S. Census Bureau reveals a solid band of high-poverty neighborhoods stretching from Arizona east to North Carolina, sparing only Florida and Virginia from this trend. The data indicate that poverty in the United States isn't just growing; it's becoming more concentrated, which can worsen social problems and lower social mobility chances. The Census report notes that the number of people living below the federal poverty line - less than '$24,000' a year for a family of four - has increased between 2000 and 2010. The number of Americans living in poverty rose by 45% to 45 million. North Carolina and Tennessee saw the biggest increase in residents living in poor neighborhoods, while Louisiana, West Virginia, Hawaii, and Alaska were the only states where the figure decreased. The number of Americans living in 'poverty areas' - neighborhoods with over 20% impoverished residents - has increased more dramatically. A quarter of the U.S. population, 77 million Americans, lived in poverty areas in 2010, a 56% jump from the 2000 census. In the South, the trend is even more dramatic, with nearly 31% of Southerners living in poor neighborhoods, a 62% increase from 2000.","Amerikalıların yoksul mahallelerde yaşama sayısı son on yılda arttı, özellikle Güney'de nüfusun %30'dan fazlası yüksek yoksulluk oranları olan bölgelerde yoğunlaşmıştır. ABD Sayım Bürosu'ndan yeni bir rapor, Arizona'dan Kuzey Carolina'ya kadar uzanan yüksek yoksulluk oranlarına sahip mahallelerin varlığını ortaya koyuyor. Bu trendden sadece Florida ve Virginia etkilenmedi. Veriler, Amerika Birleşik Devletleri'ndeki yoksulluğun sadece artmadığını; daha da yoğunlaştığını gösteriyor, bu da sosyal sorunları kötüleştirebilir ve sosyal hareketlilik şansını düşürebilir. Sayım raporu, dört kişilik bir aile için yıllık '$24,000'dan' az olan federal yoksulluk sınırının altında yaşayan insan sayısının 2000 ile 2010 arasında arttığını belirtiyor. Yoksulluk içinde yaşayan Amerikalıların sayısı %45 artarak 45 milyona çıktı. Kuzey Carolina ve Tennessee, yoksul mahallelerde yaşayanlarda en büyük artışı gördüler. 'Yoksulluk alanlarında' yaşayan Amerikalıların sayısı daha da arttı. ABD nüfusunun dörtte biri, 77 milyon Amerikalı, 2010 yılında yoksulluk alanlarında yaşıyordu, bu 2000 sayımına göre %56'lık bir artış. Güney'de, trend daha da dramatik; Güney'de yaşayanların yaklaşık %31'i yoksul mahallelerde yaşıyor, bu 2000 yılına göre %62'lik bir artış.","Poverty in the US is on the rise! A new report reveals a significant increase in Americans living in poor neighborhoods, especially in the South. #poverty #USA","ABD'de yoksulluk artıyor! Yeni bir rapor, özellikle Güney'de yoksul mahallelerde yaşayan Amerikalıların sayısında önemli bir artış olduğunu ortaya koyuyor. #yoksulluk #ABD",tur,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tur/CoI_0712d3b5-3f8f-4152-b032-cc4d559e602b_tur_edit.json,eng,tur,eng,tur,eng,light,DialyNews,y,n,y,n
212c8aee-df53-4a81-b8ba-66b6f6437750,"Imagine stepping back into the Nineties by watching 'Friends', a time before smartphones and selfie sticks. A new video by 'Nerdist' reimagines this classic sitcom in today's world, with hilarious results. The original characters are replaced by six young adults, dressed in hipster attire, capturing the essence of modern life. In the parody, instead of dancing around a fountain, they focus on their phones, texting, and taking selfies. The iconic theme tune is remixed, addressing modern trends like online dating and vegan diets. The lyrics now include 'your Tinder profile sucks' and 'my battery's really low', highlighting the impact of smartphones on relationships. The modern 'Friends' hang out at 'Woodcat', a hipster cafe, where they continue to stare at their phones, uninterested in each other. The video has been viewed over 350,000 times on YouTube and received comments like 'It's so depressing but so true'.","'Friends'ı izlemek, akıllı telefonların ve selfie çubuklarının yaygınlaşmadan önceki doksanlı yıllara geri dönmek gibidir.  'Nerdist' tarafından hazırlanan yeni bir video, bu klasik diziyi günümüz dünyasına uyarlıyor ve komik sonuçlar ortaya koyuyor. Orijinal karakterlerin yerini hipster giyimli altı genç alıyor ve modern hayatın özünü yakalıyorlar. Parodide, karakterler bir çeşme etrafında dans etmek yerine telefonlarına odaklanıyor, mesajlaşıyor ve selfie çekiyorlar. İkonik tema şarkısı, çevrimiçi flört ve vegan diyetler gibi modern trendleri ele alan bir remix'e dönüştürülmüş. Şarkı sözleri şimdi 'Tinder profilin berbat' ve 'pilim çok düşük' gibi ifadeler içeriyor, akıllı telefonların ilişkiler üzerindeki etkisini vurguluyor. Modern 'Friends' grubu, hipster bir kafe olan 'Woodcat'te buluşuyor ve birbirlerine ilgi göstermeyerek sürekli telefonlarına bakıyorlar. Video, YouTube'da 350.000'den fazla kez izlendi ve 'Çok iç karartıcı ama çok doğru' gibi yorumlar aldı.",Discover the hilarious modern twist on 'Friends'! Six hipster friends reimagine the classic sitcom with a smartphone obsessed take. #FriendsReimagined #HipsterFriends #SmartphoneSociety,"'Friends' dizisinin komik modern versiyonunu keşfedin! Altı hipster arkadaş, klasik diziyi akıllı telefon obsesyonu ile yeniden canlandırıyor. #FriendsYeniden #HipsterFriends #AkilliTelefonToplumu",tur,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tur/CoI_212c8aee-df53-4a81-b8ba-66b6f6437750_tur_rewrite_light.json,eng,"[tur,eng]",eng,tur,eng,light,DialyNews,y,n,y,n
9507e685-560f-4484-bdf2-99a075e36e75,"Luka Magnotta, a 29-year-old Canadian adult film actor, has pleaded not guilty to charges related to the murder of his lover, Lin Jun. The charges include first-degree murder, and Magnotta is accused of dismembering the victim and mailing body parts to several addresses. His lawyer has requested a psychiatric evaluation.","Kanadalı yetişkin film oyuncusu Luka Magnotta, sevgilisi Lin Jun'u öldürmekle ilgili beş suçlamaya karşı 'suçlu değil' dedi. Magnotta'nın avukatı, müvekkilinin ceza sorumluluğunu değerlendirmek için psikiyatrik bir değerlendirme talep etti.","Breaking: Luka Magnotta, Canadian adult film actor, pleads 'not guilty' to murder charges. #LukaMagnotta #TrueCrime",Kanadalı yetişkin film oyuncusu Luka Magnotta cinayet suçlamalarına karşı 'suçlu değil' dedi. #LukaMagnotta #GerçekSuç,tur,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tur/CoI_9507e685-560f-4484-bdf2-99a075e36e75_tur_rewrite_complete.json,,tur,eng,tur,,complete,DialyNews,n,y,y,n
1e8b8a1a-03aa-4159-9001-0003be80e9c0,"This is the moment when Spanish bullfighter Pablo Hermoso de Mendoza attempted an unusual move by elbowing a bull between the eyes during a fight in Medellin, Colombia. Pablo Hermoso de Mendoza, considered the world's foremost rejoneador, was seen making this unusual move during a bullfighting festival at La Macarena bullring. Rejoneo is a form of bullfighting where the bull is fought entirely on horseback, originating from Portugal and Spain. Rejoneo has three stages known as tercios. Bullfighting is a controversial practice, with critics calling it brutal and fans considering it an artform.","İspanyol boğa güreşçisi Pablo Hermoso de Mendoza'nın Medellin, Kolombiya'daki boğa güreşi festivalinde boğayı dirseklediği an. Pablo Hermoso de Mendoza, at sırtında boğa güreşçiliğinin dünya çapındaki en iyi ismi olarak kabul ediliyor. Rejoneo, Portekiz ve İspanya kökenli, at sırtından yapılan boğa güreşi türüdür. Rejoneo'nun tercios denilen üç aşaması bulunuyor. Boğa güreşi, sert eleştirilere maruz kalırken, taraftarları tarafından bir sanat formu olarak görülüyor.",Watch: Spanish bullfighter Pablo Hermoso de Mendoza makes SHOCKING move during bullfight in Colombia! #Bullfighting #Colombia #PabloHermosoDeMendoza,İzleyin: İspanyol boğa güreşçisi Pablo Hermoso de Mendoza Kolombiya'daki boğa güreşinde ŞOK edici hareket yaptı! #BoğaGüreşi #Kolombiya #PabloHermosoDeMendoza,tur,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tur/CoI_1e8b8a1a-03aa-4159-9001-0003be80e9c0_tur_edit.json,eng,tur,eng,tur,eng,light,DialyNews,y,n,y,n
7c6c97f6-a769-4c15-8f9d-3358fd5eb1c9,"The Ministry of Justice has suspended a prison meat supplier after discovering that Halal-certified pies and pasties may have contained traces of pork DNA. The meat was sourced from a Halal-certified caterer. An investigation revealed potential contamination with non-Halal meat, including pork. As pork consumption is forbidden under Islamic law, all contaminated products were immediately withdrawn.","Adalet Bakanlığı, Helal sertifikalı börek ve poğaçalarda domuz DNA'sı izleri bulunduğunu tespit ettikten sonra hapishane et tedarikçisini askıya aldı. Et, Helal sertifikalı bir catering firmadan sağlanmıştı. Yapılan inceleme, ürünlerin Helal olmayan et, özellikle domuz, izleri içerebileceğini gösterdi. İslam hukuku gereğince domuz tüketimi yasak olduğundan, tüm kirlenmiş ürünler hemen geri çekildi.","Breaking: 'Halal prison food found contaminated with pork DNA! Ministry of Justice takes immediate action, suspending supplier. #FoodSafety #Halal #PrisonFood'",'Helal hapishane yiyeceklerinde domuz DNA'sı tespit edildi! Adalet Bakanlığı tedarikçiyi askıya aldı. #GıdaGüvenliği #Helal #HapishaneYiyecekleri',tur,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tur/CoI_7c6c97f6-a769-4c15-8f9d-3358fd5eb1c9_tur_edit.json,eng,tur,eng,tur,eng,light,DialyNews,y,n,y,n
b46431e4-7fb7-433c-a89a-bac30bf9fa15,"Tournament organisers have announced that almost one million tickets were sold for Rugby World Cup 2015 during the general sale last month. Total ticket applications exceeded five million, marking the highest demand for any Rugby World Cup to date. The England vs Australia pool match at Twickenham received 650,000 ticket applications.","Turnuva organizatörleri, geçen ay yapılan genel satışta Rugby Dünya Kupası 2015 için yaklaşık bir milyon biletin satıldığını duyurdu. Toplam bilet başvurusu beş milyonu aşarak Rugby Dünya Kupası tarihindeki en yüksek talep oldu. Twickenham'daki İngiltere-Avustralya maçına 650.000 bilet başvurusu gerçekleşti.",Exciting news! Nearly 1 million tickets sold for Rugby World Cup 2015! #RugbyWorldCup #RWC2015,'Heyecan verici! Rugby Dünya Kupası 2015 için yaklaşık 1 milyon bilet satıldı! #RugbyWorldCup #RWC2015,tur,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tur/CoI_b46431e4-7fb7-433c-a89a-bac30bf9fa15_tur_polish.json,eng,tur,eng,"[tur,eng]",eng,moderate,DialyNews,y,n,y,n
24e7f088-0049-4673-9422-eb42d85e7cf7,"New footage has emerged from last Friday's violent clashes in the Ukrainian port city of Odessa, showing a man wearing medieval armour. The pro-Russian protester was seen dressed in knight's armour and covering his neck in chain mail. Ukrainian nationalists were filmed gathering nearby rubble, throwing it to the ground so that it shattered into smaller pieces that could easily be thrown. The clash became so violent that one man, wearing a balaclava and draped in a Ukrainian flag, yelled: 'Calm down! Don't touch the cops!' Medics struggled to treat the mounting number of injured rioters being moved to the outskirts of the clash. The protests were a precursor to the violent riot that erupted at Odessa's Trade Union Hall, where 46 people died.","'Odessa'daki geçen Cuma günkü şiddetli çatışmalardan yeni görüntüler ortaya çıktı, bir adam ortaçağ zırhı giyiyor.' Rus yanlısı protestocu şövalye zırhı giyiyor ve boynunu zincir kolye ile kapatıyor. Ukraynalı milliyetçiler, Rus yanlısı ayrılıkçılara fırlatmak için moloz topluyor ve kırıyor. Çatışma o kadar şiddetli bir hal aldı ki, Ukraynalı bayrağı takmış bir adam: 'Sakin olun! Polislerle temas etmeyin!' diye bağırdı. Tıbbi ekipler, yaralı göstericileri tedavi etmekte zorlandı. Protestolar, Odessa'daki Sendika Binasi'nda 46 kişinin hayatını kaybettiği şiddetli olayların ön habercisiydi.",New footage from Odessa clashes shows protesters using medieval armour & smashing rubble! 46 died in the Trade Union Hall riot. #Odessa #UkraineConflict,Odessa'daki çatışmalardan yeni görüntüler ortaya çıktı: Protestocular ortaçağ zırhı kullanıyor ve moloz kırıyor! Sendika Binasi'nda 46 kişi öldü. #Odessa #UkraynaÇatışması,tur,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tur/CoI_24e7f088-0049-4673-9422-eb42d85e7cf7_tur_edit.json,eng,tur,eng,tur,eng,light,DialyNews,y,n,y,n
