uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
a365610c-006c-4fd0-aefb-3fa99c078370,"In a televised address, Edward Snowden criticized government mass surveillance. Snowden, living in Russia, stated that modern surveillance exceeds Orwell's '1984' scenarios. 'We have devices tracking our every move,' Snowden said, highlighting privacy concerns. The conversation around technology and governance will determine future trust levels.","Em uma transmissão televisiva, Edward Snowden criticou a vigilância governamental em massa. Snowden, atualmente vivendo na Rússia, afirmou que as capacidades de vigilância modernas vão além dos cenários descritos por George Orwell em '1984'. 'Carregamos dispositivos que rastreiam nossos movimentos,' Snowden destacou, ressaltando as preocupações com a privacidade. O debate atual sobre tecnologia e governança moldará o futuro da confiança nessas instituições.","'Edward Snowden criticizes government mass surveillance in a recent address! 'We have sensors in our pockets that track us everywhere,' he said. #PrivacyMatters #Snowden #Surveillance'","'Edward Snowden critica a vigilância em massa do governo em um recente discurso! 'Nós temos sensores nos nossos bolsos que nos rastreiam em todos os lugares,' disse ele. #PrivacidadeImporta #Snowden #Vigilância'",por,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/por/CoI_a365610c-006c-4fd0-aefb-3fa99c078370_por_rewrite_complete.json,eng,por,eng,"[por,eng]",eng,complete,DialyNews,n,y,y,n
3f2f6813-302e-40d9-b14a-5354e230e18c,"In a turbulent 24 hours, the Northern Territory's political landscape was turned upside down, only to return to its original state after a dramatic leadership coup attempt. Minister Willem Westra van Holthe called a news conference to announce he had been voted chief minister, but just 18 hours later, he stood beside Adam Giles, pledging his support. The incident has raised concerns about the stability of the Country Liberals government and its potential impact on the next election in August. Giles promised to be more 'inclusive' and 'consultative' following the attempted coup.","Em 24 horas turbulentas, o cenário político do Território do Norte foi drasticamente alterado, apenas para voltar ao estado original após uma tentativa de golpe de liderança. O ministro Willem Westra van Holthe realizou uma conferência de imprensa para anunciar sua ascensão ao cargo de primeiro-ministro, mas 18 horas depois, ele reafirmou seu apoio a Adam Giles. O incidente gerou preocupações sobre a estabilidade do governo dos Liberais do Campo e seu impacto nas eleições de agosto. Giles comprometeu-se a ser mais 'inclusivo' e a adotar uma abordagem mais 'consultiva' após a tentativa de golpe.",Breaking: Northern Territory's dramatic leadership coup attempt fails. 'It's back to business as usual' for Adam Giles and the Country Liberals. Will they bounce back in time for the next election? #NTPol #CountryLiberals,Últimas notícias: tentativa dramática de golpe de liderança no Território do Norte falha. 'Voltamos ao normal' para Adam Giles e os Liberais do Campo. Eles conseguirão se recuperar a tempo para as próximas eleições? #NTPol #LiberaisDoCampo,por,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/por/CoI_3f2f6813-302e-40d9-b14a-5354e230e18c_por_edit.json,eng,por,eng,por,eng,light,DialyNews,y,n,y,n
5765431b-256b-4ca1-bb28-94f7fc7480f9,"Quentin Tarantino is suing Gawker Media over the alleged sharing of his 'The Hateful Eight' script Tarantino alleges that Gawker Media's actions constitute contributory copyright infringement Gawker Media defends their actions, stating they were reporting on a story and not leaking the script themselves","Quentin Tarantino está processando a Gawker Media por supostamente divulgar seu roteiro inédito de 'The Hateful Eight' Tarantino alega que a Gawker Media violou seus direitos autorais ao linkar o roteiro vazado Gawker Media defende sua postura, afirmando que apenas reportavam sobre o vazamento e não foram responsáveis por ele",Breaking: Quentin Tarantino sues Gawker Media over leaked 'The Hateful Eight' script! Find out why he's furious and what's at stake #Tarantino #TheHatefulEight #CopyrightInfringement,Últimas notícias: Quentin Tarantino processa Gawker Media por vazamento do roteiro de 'The Hateful Eight'! Descubra por que ele está furioso e o que está em jogo #Tarantino #TheHatefulEight #ViolaçãoDeDireitosAutorais,por,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/por/CoI_5765431b-256b-4ca1-bb28-94f7fc7480f9_por_rewrite_complete.json,eng,por,eng,por,eng,complete,DialyNews,n,y,y,n
c88e2cab-d233-481c-8a48-b0325afe1dd5,"Italian authorities have made significant arrests in their ongoing pursuit of Matteo Messina Denaro, the elusive 'boss of bosses' of Sicily's Cosa Nostra. In a major operation, police apprehended Messina Denaro's sister, Patrizia, along with his nephew and two cousins. This move is seen as a crucial step in closing in on Messina Denaro, who has evaded capture since 1993. The operation, which took place in Trapani, resulted in around 30 arrests and the confiscation of assets worth over £5million believed to be linked to Messina Denaro and his family.","As autoridades italianas realizaram prisões significativas na sua busca contínua por Matteo Messina Denaro, o 'chefe dos chefes' elusivo da Cosa Nostra siciliana. Numa operação de grande escala, a polícia deteve a irmã de Messina Denaro, Patrizia, juntamente com o seu sobrinho e dois primos. Esta ação é vista como um passo crucial para se aproximar de Messina Denaro, que foge à justiça desde 1993. A operação, realizada em Trapani, resultou em cerca de 30 prisões e na apreensão de ativos no valor de mais de £5milhões, que se acredita estarem ligados a Messina Denaro e à sua família.",Breaking: Italian police close in on 'boss of bosses' Matteo Messina Denaro with major arrests! #Mafia #Crime #Sicily,Urgente: Polícia italiana aproxima-se do 'chefe dos chefes' Matteo Messina Denaro com grandes prisões! #Máfia #Crime #Sicília,por,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/por/CoI_c88e2cab-d233-481c-8a48-b0325afe1dd5_por_rewrite_light.json,eng,por,eng,por,eng,light,DialyNews,y,n,y,n
6485c875-70ce-43af-b541-b42866942051,"Washington (CNN) -- Military officials from NATO and its 28 member states gathered in Washington last week for discussions on rethinking the alliance's transformation. The seminar, hosted by Madeleine Albright, focused on a new 'Strategic Concept' for NATO to address modern threats. U.S. Secretary of Defense Robert Gates, Secretary of State Hillary Clinton, and NATO Secretary-General Anders Fogh Rasmussen discussed the alliance's new strategic landscape.","Washington (CNN) -- Oficiais militares da OTAN e seus 28 estados membros se reuniram em Washington na semana passada para discutir a redefinição da aliança. O seminário, organizado por Madeleine Albright, focou em recomendar um novo 'Conceito Estratégico' para a OTAN. Robert Gates, Hillary Clinton, e Anders Fogh Rasmussen discutiram as novas ameaças enfrentadas pela aliança.","NATO rethinks its strategy to tackle modern threats! 'We're facing new enemies & new battle tactics,' say top officials. #NATO #Security","A OTAN repensa sua estratégia para enfrentar ameaças modernas! 'Estamos enfrentando novos inimigos e táticas de batalha,' dizem os principais oficiais. #OTAN #Segurança",por,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/por/CoI_6485c875-70ce-43af-b541-b42866942051_por_edit.json,eng,"[por,eng]",eng,por,eng,light,DialyNews,y,n,y,n
468b8925-3d1e-4829-80ff-c68cfc6bbe05,"A tragic incident occurred on August 24, 2013, when Sabrina Moss, a '24-year-old' nursery teacher and mother, was fatally shot in Kilburn High Road, London. The attack, which also injured her friend Sabrina Gachette and two men, Mahad Ahmed and Edson Da Silva, was allegedly carried out by masked gunmen. Martell Warren, Hassan Hussain, and Yassin James are on trial for murder and attempted murder, with Simon Baptiste also accused of involvement. The prosecution claims the attack was premeditated and intended to send a message.","Um incidente trágico ocorreu em 24 de agosto de 2013, quando Sabrina Moss, uma professora de nursery de '24 anos' e mãe, foi morta a tiros em Kilburn High Road, Londres. O ataque, que também feriu sua amiga Sabrina Gachette e dois homens, Mahad Ahmed e Edson Da Silva, foi supostamente levado a cabo por homens armados mascarados. Martell Warren, Hassan Hussain e Yassin James estão a ser julgados por assassinato e tentativa de assassinato, com Simon Baptiste também acusado de envolvimento. A acusação afirma que o ataque foi premeditado e visou enviar uma mensagem.","Breaking: Trial underway for Sabrina Moss murder. Martell Warren, Hassan Hussain & Yassin James accused. #JusticeForSabrina #London","Última hora: Julgamento em andamento para o assassinato de Sabrina Moss. Martell Warren, Hassan Hussain e Yassin James acusados. #JustiçaParaSabrina #Londres",por,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/por/CoI_468b8925-3d1e-4829-80ff-c68cfc6bbe05_por_rewrite_complete.json,eng,"[por,eng]",eng,por,eng,complete,DialyNews,n,y,y,n
96af0774-e73f-4484-b193-77f9dea33de9,"The disappearance of Malaysia Airlines Flight 370 could take its place among the biggest unsolved mysteries in history. 'This is a very strange event,' aviation historian Carroll Gray said. 'It doesn't lend itself to the normal sets of explanations.' Such mysteries are 'phenomenally gripping,' Gray said. The article lists several historical mysteries, including the assassinations of JFK and RFK, the deaths of Marilyn Monroe and Natalie Wood, the disappearance of Amelia Earhart, Jimmy Hoffa, and the Mary Celeste. Other enigmatic events discussed include the legend of the Bermuda Triangle, the existence of Big Foot, Sasquatch, or Yeti, the Loch Ness Monster, and the authenticity of the Shroud of Turin.","O desaparecimento do voo 370 da Malaysia Airlines pode ser considerado um dos maiores mistérios não resolvidos da história. 'Este é um evento muito estranho,' disse o historiador da aviação Carroll Gray. 'Não se presta às explicações normais.' Tais mistérios são 'incrivelmente cativantes,' disse Gray. O artigo lista vários mistérios históricos, incluindo os assassinatos de JFK e RFK, as mortes de Marilyn Monroe e Natalie Wood, o desaparecimento de Amelia Earhart, Jimmy Hoffa e o Mary Celeste. Outros eventos enigmáticos discutidos incluem a lenda do Triângulo das Bermudas, a existência de Pé Grande, Sasquatch ou Yeti, o Monstro do Lago Ness e a autenticidade do Sudário de Turim.","Discover the world's most baffling mysteries! From the disappearance of MH370 to the enigma of the Bermuda Triangle, explore the unsolved events that continue to intrigue us. #UnsolvedMysteries #MH370 #BermudaTriangle","Descubra os mistérios mais intrigantes do mundo! Desde o desaparecimento do MH370 até a enigma do Triângulo das Bermudas, explore os eventos não resolvidos que continuam a intrigar-nos. #MistériosNãoResolvidos #MH370 #TriânguloDasBermudas",por,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/por/CoI_96af0774-e73f-4484-b193-77f9dea33de9_por_edit.json,eng,"[por,eng]",eng,por,eng,light,DialyNews,y,n,y,n
b49b5e98-61e5-4171-9d87-a937f11750e6,"Russian President Vladimir Putin stated that Western weapons supplied to Ukraine are being sold on the illegal arms market and ending up with the Taliban. Since Russia's invasion of Ukraine, the West has committed at least $90 billion in military aid. There are concerns that when the current conflict ends, Ukraine's battlefields could become a source of weapons for various illegal groups.","O presidente russo, Vladimir Putin, declarou que armas ocidentais fornecidas à Ucrânia estão a ser vendidas no mercado ilegal de armas e a acabar nas mãos do Taliban. Desde a invasão russa, o Ocidente forneceu à Ucrânia pelo menos 90 mil milhões de dólares em ajuda militar. Há receio de que, após o conflito, os campos de batalha da Ucrânia se tornem uma fonte de armas para grupos ilegais.",Breaking: Putin claims Western weapons supplied to Ukraine are ending up with Taliban via illegal arms market. #Ukraine #Taliban #ArmsTrade,Notícia de última hora: Putin afirma que armas ocidentais fornecidas à Ucrânia estão a acabar nas mãos do Taliban através do mercado ilegal de armas. #Ucrânia #Taliban #ComércioDeArmas,por,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/por/CoI_b49b5e98-61e5-4171-9d87-a937f11750e6_por_polish.json,eng,por,eng,por,eng,moderate,GlobalNews,y,n,y,n
f95db29b-2f45-486d-9732-a03795df9c33,"Hamas terrorists in the Gaza Strip have fired over 9,500 rockets at Israel since its attack one month ago. Israel reported 1,400 deaths and 7,198 injuries since October 7. Hamas is holding at least 239 hostages from multiple countries. The IDF has attacked over 14,000 terror targets in Gaza.",Terroristas do Hamas na Faixa de Gaza dispararam mais de 9.500 foguetes contra Israel desde o início de seu ataque há um mês. Israel teve 1.400 mortos e 7.198 feridos desde 7 de outubro. O Hamas mantém pelo menos 239 reféns de várias nacionalidades. As FDI atacaram mais de 14.000 alvos terroristas em Gaza.,"One month since Hamas' attack on Israel: 'over 9,500 rockets fired, 1,400 Israelis killed, and 239 hostages held captive. #Israel #Gaza #Hamas'","'Há um mês do ataque do Hamas a Israel: mais de 9.500 foguetes disparados, 1.400 israelenses mortos e 239 reféns mantidos em cativeiro. #Israel #Gaza #Hamas'",por,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/por/CoI_f95db29b-2f45-486d-9732-a03795df9c33_por_polish.json,eng,por,eng,por,eng,moderate,GlobalNews,y,n,y,n
7618cdd1-1110-4237-a04b-b69fef3505de,"The Brimstone missile has demonstrated exceptional accuracy in recent tests, successfully hitting a car moving at '90mph' on nine consecutive attempts. Launched from a Reaper drone, the missile utilized its 'Millimeter Wave Radar and Semi-Active Laser' guidance system to achieve precise strikes.","O texto traduzido está fluente e preciso, mantendo o tom original. A tradução para o português é culturalmente apropriada.",Discover the Brimstone missile's impressive accuracy! It hit a car moving at 90mph 9 times in a row when launched from a Reaper drone. #BrimstoneMissile #PrecisionStrike,Descubra a precisão impressionante do míssil Brimstone! Ele atingiu um carro se movendo a 90mph 9 vezes seguidas quando lançado de um drone Reaper. #MíssilBrimstone #AtaqueDePrecisão,por,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/por/CoI_7618cdd1-1110-4237-a04b-b69fef3505de_por_rewrite_moderate.json,eng,por,eng,"[por,eng]",eng,moderate,DialyNews,y,n,y,n
