uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
1d5fc69b-85c6-41ec-ae56-c31903f9ba64,"A Delta Air Lines flight from Minneapolis to Las Vegas made an emergency landing after the first officer was locked out of the cockpit due to a malfunction. The pilot calmly addressed the passengers and successfully landed the plane with 168 people on board. The incident occurred when the first officer tried to return to the controls after a bathroom break but found himself unable to enter the cockpit, prompting the crew to make a distress call to McCarran International Airport.",এক ডেল্টা এয়ায় ফ্লাইট থমনস থ লাস ভেগাস থ থ এক জরুরি বিমান কর্তৃত যে উদ্ধার হত অবতরণ করা হয়ছে। প্রথম অধিকারী মিনিয়পোলিস থ লাস ভেগাস থ থ এক জরুরি বিমান কর্তৃত যে উদ্ধার হত অবতরণ করা হয়ছে।,BREAKING: Delta Air Lines flight makes emergency landing after first officer gets locked out of cockpit! #aviation #emergencylanding,ব্রেকিংং: ডেল্টা এয়ায় ফ্লাইট থমনস থ লাস ভেগাস থ থ এক জরুরি বিমান কর্তৃত যে উদ্ধার হত অবতরণ করা হয়ছে! #বিমান #জরুরি,ben,eng_x,meta-llama_Llama-3.3-70B-Instruct,real_news,[2],/eng_x_r/meta-llama_Llama-3.3-70B-Instruct/ben/CoI_1d5fc69b-85c6-41ec-ae56-c31903f9ba64_ben_rewrite_light.json,eng,ben,eng,ben,eng,light,DialyNews,y,n,y,n
ea66c08d-6ade-45e0-99de-f1edaf5619e2,"West Ham United has officially complained to the Premier League, alleging that Fulham has 'tapped up' Ravel Morrison. The club's officials are reportedly unhappy about comments made by Fulham manager Rene Meulensteen regarding Morrison's proposed move to Fulham. Meulensteen admitted that West Ham had already rejected a bid from Fulham to buy the former Manchester United youngster and claimed Morrison was keen to move to Craven Cottage. West Ham wants near £10 million for the talented 20-year-old, but Fulham is believed to have offered £7.5 million for both Morrison and teammate Mohamed Diame.",'ওয়েস্ট ইউনাইটেড প্রিমিযর লীগ অভিযয়ক্ত ফুলহ্যম ইউনাইটেড। পারমিউনাইটেড ইউনাইটেড প্রিমিযর লীগ অভিযয়ক্ত ফুলহ্যম ইউনাইটেড।',BREAKING: West Ham United files complaint against Fulham for 'tapping up' Ravel Morrison! #EPL #TransferNews,ব্রেকিংগ: ওয়েস্ট ইউনাইটেড প্রিমিযর লীগ অভিযয়ক্ত ফুলহ্যম ইউনাইটেড! #ইংগল #স্থান্সফার,ben,eng_x,meta-llama_Llama-3.3-70B-Instruct,real_news,[0],/eng_x_r/meta-llama_Llama-3.3-70B-Instruct/ben/CoI_ea66c08d-6ade-45e0-99de-f1edaf5619e2_ben_edit.json,eng,ben,eng,ben,eng,light,DialyNews,y,n,y,n
2f065702-d780-4b37-813e-2647ac68abdc,"The Royal Marines have cancelled their largest amphibious landing exercise in over a decade due to the withdrawal of their French allies. The Navy incurred significant costs, including £1 million in fuel to reach the Red Sea and an additional £1 million to travel to the Gulf of Oman for a new exercise. The cancellation is a setback for the Royal Navy's plans to establish a Combined Joint Expeditionary Force with the French by 2016.","রাজকীয় মেরিনস তাদের বৃদ্ধ অবতরণ ল্যাংড পরিত্যক্ত করেছে, ফরাসি মিত্রস প্রত্যাহিত করেছে। নৌটি £1 মিলিয়ন জ্বান খরচ করা রেড সাগরে যাত্রা অপারেশন যখন থেকে অন্য একটি £1 মিলিয়ন আরব গল্ফ অফ ওমানে নতুন অভ্যাস। বেশী 1,500 জন কমান্ডো ছিলে ডজিবোতিতে প্রশিক্ষণ করছে, 500 ফরাসি ‘ট্রুপস দে মেরিন’ প্রস্তুত ছিলে রেডি।",UK Royal Marines' biggest amphibious landing exercise cancelled due to French withdrawal! £2 million spent on fuel #RoyalMarines #FrenchAllies,ইউক রাজকীয় মেরিনস এর বৃদ্ধ অবতরণ ল্যাংড বাতিল! ফরাসি মিত্রস প্রত্যাহিত করেছে £2 মিলিয়ন খরচ #রাজকীয়মেরিনস #ফরাসি,ben,eng_x,meta-llama_Llama-3.3-70B-Instruct,real_news,[0],/eng_x_r/meta-llama_Llama-3.3-70B-Instruct/ben/CoI_2f065702-d780-4b37-813e-2647ac68abdc_ben_edit.json,eng,"[ben,eng,fra]",eng,"[ben,eng,fra]","[eng,fra]",light,DialyNews,y,n,y,n
f1ea6040-516e-4fc7-b5fb-56133cbb7b5f,"The diplomatic efforts to end the violence in Syria continue as the international community presses for a cessation of hostilities. Kofi Annan, the special envoy to Syria, has urged countries to use their influence to persuade the parties to stop the killing and start talking.",'সিরিয়য়র জন্য সংঘের সংসদ্ধ করা চেষ্ট করছ। কফি আন্নান এবংরোহ এই সিরিয়য়র সমস্যহলে যুদ্ধ গড়ল করা চেষ্ট',Breaking: Diplomatic efforts underway to end violence in #Syria. International community urges parties to stop killing & start talking. #PeaceForSyria #HumanRights,ব্রেকিংগ: সিরিয়য়র জন্য সংঘের সংসদ্ধ করা চেষ্ট করছ। কফি আন্নান এবংরোহ এই সিরিয়য়র সমস্যহলে যুদ্ধ গড়ল করা চেষ্ট #শান্তরণ #মানবাধিকার,ben,eng_x,meta-llama_Llama-3.3-70B-Instruct,real_news,[0],/eng_x_r/meta-llama_Llama-3.3-70B-Instruct/ben/CoI_f1ea6040-516e-4fc7-b5fb-56133cbb7b5f_ben_edit.json,eng,ben,eng,ben,eng,light,DialyNews,y,n,y,n
a4e301cf-4c6e-40af-a3c1-4d5ad6d7e72b,"Jeremy Clarkson, a prominent TV personality, has received a substantial payout of £3.2 million from Bedder 6, a production company he co-founded before selling his stake to BBC Worldwide. As the BBC's highest-paid star, Clarkson has also earned up to £15 million from the sale of his 30% stake in the company. Throughout his career, Clarkson has been involved in several controversies, including making jokes about sensitive topics such as murder, sex workers, and people with disabilities, which have sparked widespread criticism and debate.","জেরেমি ক্লার্কসন, একজনপ্রসিদ্ধ টিভি উপস্থাপক, যদী ৩.২ মিলিয়ন ৩.২ কোটি থকসন হইসেলে প্রতিষ্ঠারী ৩.২ মিলিয়ন। তিনি বছরের পরিশ্রমণী অনুসারে ক্লার্কসন একজনপ্রসিদ্ধ টিভি উপস্থাপক, যদী ৩.২ মিলিয়ন ৩.২ কোটি থকসন হইসেলে প্রতিষ্ঠারী ৩.২ মিলিয়ন।",Jeremy Clarkson receives £3.2m payout from Bedder 6! The Top Gear host has been involved in several controversies throughout his career. #TopGear #JeremyClarkson #BBC,"জেরেমি ক্লার্কসন একজনপ্রসিদ্ধ টিভি উপস্থাপক, যদী ৩.২ মিলিয়ন ৩.২ কোটি থকসন হইসেলে প্রতিষ্ঠারী ৩.২ মিলিয়ন! #টপগেয় #জেরেমিক্লার্কসন #বিবিসি",ben,eng_x,meta-llama_Llama-3.3-70B-Instruct,real_news,[2],/eng_x_r/meta-llama_Llama-3.3-70B-Instruct/ben/CoI_a4e301cf-4c6e-40af-a3c1-4d5ad6d7e72b_ben_rewrite_light.json,eng,ben,eng,ben,eng,light,DialyNews,y,n,y,n
177168bc-dd86-499a-94c5-e72befbd4294,"মায়ানমারের ইনসেইন কারাগারের রাজনৈতিক বন্দীরা সরকারের বিরুদ্ধে অনশন ধর্মঘট শুরু করেছে, কারণ তারা মনে করে যে সরকার ৪৭ জন রাজনৈতিক বন্দীকে ছেড়ে দেওয়ার কথা ঘোষণা করেছে, কিন্তু এটি খুব কম। দেশটিতে প্রায় ২,০০০-এর মত রাজনৈতিক বন্দী রয়েছে, এবং তারা সবাই মুক্তি চাইছে। এই অনশন ধর্মঘট একটি শান্তিপূর্ণ প্রতিবাদ, কিন্তু এটি সরকারের দৃষ্টি আকর্ষণ করবে।","Myanmar's Insein prison political prisoners have begun a hunger strike in protest against the government, as they believe the government's announcement to release 47 political prisoners is insufficient. With nearly 2,000 political prisoners in the country, all of them are demanding freedom. This hunger strike is a peaceful form of protest, yet it is likely to grab the government's attention.","ব্রেকিং: মায়ানমারের ইনসেইন কারাগারের রাজনৈতিক বন্দীরা সরকারের বিরুদ্ধে অনশন ধর্মঘট শুরু করেছে! তারা ২,০০০-এর মধ্যে মাত্র ৪৭ জন বন্দীকে মুক্তি দেওয়ার প্রতিবাদে। #মায়ানমার #ইনসেইনকারাগার #রাজনৈতিকবন্দী #অনশনধর্মঘট","BREAKING: Myanmar's Insein prison political prisoners start hunger strike against the government! They're protesting the release of only 47 prisoners out of nearly 2,000. #Myanmar #InseinPrison #PoliticalPrisoners #HungerStrike",ben,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[27, 25]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ben/CoI_177168bc-dd86-499a-94c5-e72befbd4294_ben_medium_2725.json,ben,eng,ben,eng,ben,medium,MassiveSum,y,n,y,n
315f4455-ccbd-44ca-acfb-5ffbaae2db8f,"The UN Security Council held a discussion on Monday on the topic of combating sexual violence in conflict zones. Two senior UN officials stated that effective measures must be taken to prevent sexual violence and abuse in conflict zones. Rajia Sultana, a lawyer for the Rohingya, said that the UN Security Council has failed to prevent the Rohingya crisis. She called on the 15 member states of the Security Council to bring the issue of sexual violence and abuse against the Rohingya to the International Criminal Court. UN Deputy Secretary-General Amina Muhammad said that sexual violence and abuse have been used as a first step in military campaigns and persecution in various places, including Myanmar. UN Special Representative Pramila Patten said that the information on paper and the actual situation are not the same, and that no effective action has been taken to prevent violence against women.","The UN Security Council held a discussion on Monday on the topic of combating sexual violence in conflict zones. Two senior UN officials stated that effective measures must be taken to prevent sexual violence and abuse in conflict zones. Rajia Sultana, a lawyer for the Rohingya, said that the UN Security Council has failed to prevent the Rohingya crisis. She called on the 15 member states of the Security Council to bring the issue of sexual violence and abuse against the Rohingya to the International Criminal Court. UN Deputy Secretary-General Amina Muhammad said that sexual violence and abuse have been used as a first step in military campaigns and persecution in various places, including Myanmar. UN Special Representative Pramila Patten said that the information on paper and the actual situation are not the same, and that no effective action has been taken to prevent violence against women.",জাতিসংঘ নিরাপত্তা পরিষদ সংঘাত-সহিংসতার মধ্যে যৌন নিপীড়ন মোকাবেলা নিয়ে আলোচনা করেছে। রাজিয়া সুলতানা রোহিঙ্গা নির্যাতনের বিরুদ্ধে জাতিসংঘকে পদক্ষেপ নিতে আহ্বান জানান। #রোহিঙ্গা #যৌননিপীড়ন #জাতিসংঘনিরাপত্তাপরিষদ,UN Security Council discusses combating sexual violence in conflict zones. Rajia Sultana calls on UN to take action against Rohingya abuse. #Rohingya #SexualViolence #UNSecurityCouncil,ben,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[27, 33]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ben/CoI_315f4455-ccbd-44ca-acfb-5ffbaae2db8f_ben_medium_2733.json,eng,eng,ben,eng,ben,medium,MassiveSum,y,n,y,n
76deb372-7f1f-4523-be86-7a2ca8d5cfc0,"ভিওএ বাংলা হচ্ছে বাংলাভাষী মানুষের সবচেয়ে জনপ্রিয় সংবাদমাধ্যম। দীর্ঘ দিনের অভিজ্ঞ বেতার সাংবাদিক ও সম্প্রচারকদের শ্রম ও মেধায় ভিওএ বাংলা যে কেবল সংবাদ পরিবেশন করছে তাই নয়, বরঞ্চ বেতার, টেলিভিশন ও ইন্টারনেটে, সংবাদ, সংবাদভাষ্য ও বিশ্লেষণ, বিশিষ্ট ব্যক্তিদের সাক্ষাৎকার, শিল্প ও বিনোদন, স্বাস্থ্য ও বিজ্ঞান, শিক্ষা ও যুবসংবাদ, খেলাধুলোর খবরাখবরসহ প্রতিদিন নানান ধরণের অনুষ্ঠান উপস্থাপন করছে অগণিত শ্রোতাদের উদ্দেশ্যে। ভিওএ রেডিও তে প্রচারিত আমাদের সাপ্তাহিক আয়োজন কল ইন শো হ্যালো ওয়াশিংটনে বিশিষ্ট প্যানেলিস্টরা বিভিন্ন সমসাময়িক ও গুরুত্বপূর্ণ বিষয়ে আমাদের শ্রোতাদের প্রশ্নের জবাব দিচ্ছেন।","VOA Bangla is the most popular news medium for Bengali-speaking people. With the hard work and expertise of experienced radio journalists and broadcasters, VOA Bangla is not only serving news but also presenting various programs including news, commentary, analysis, interviews with prominent personalities, arts, entertainment, health, science, education, and youth news, as well as sports news, to countless listeners every day. Our weekly program Call In Show Hello Washington, broadcast on VOA Radio, features prominent panelists answering questions from our listeners on various contemporary and important topics.","ভিওএ বাংলা থেকে সর্বশেষ সংবাদ এবং আপডেট পান! আমরা শুধু একটি সংবাদ উৎস নই, বরং শিল্প, বিনোদন, স্বাস্থ্য, বিজ্ঞান, শিক্ষা এবং আরও অনেক কিছুর জন্য একটি প্ল্যাটফর্ম! আমাদের সাপ্তাহিক কল ইন শো হ্যালো ওয়াশিংটনে টিউন ইন করুন এবং আলোচনায় যোগ দিন! #VOABangla #News #Bangla","Get the latest news and updates from VOA Bangla! We're not just a news source, but a platform for arts, entertainment, health, science, education, and more! Tune in to our weekly Call In Show Hello Washington and join the conversation! #VOABangla #News #Bangla",ben,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[11, 22]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ben/CoI_76deb372-7f1f-4523-be86-7a2ca8d5cfc0_ben_medium_1122.json,ben,eng,"[ben,eng]",eng,ben,medium,MassiveSum,y,n,y,n
53edd3a2-85e4-4849-bec7-d9f09f73d8bd,"ভিওএ বাংলা হচ্ছে বাংলাভাষী মানুষের সবচেয়ে জনপ্রিয় সংবাদমাধ্যম। দীর্ঘ দিনের অভিজ্ঞ বেতার সাংবাদিক ও সম্প্রচারকদের শ্রম ও মেধায় ভিওএ বাংলা যে কেবল সংবাদ পরিবেশন করছে তাই নয়, বরঞ্চ বেতার, টেলিভিশন ও ইন্টারনেটে, সংবাদ, সংবাদভাষ্য ও বিশ্লেষণ, বিশিষ্ট ব্যক্তিদের সাক্ষাৎকার, শিল্প ও বিনোদন, স্বাস্থ্য ও বিজ্ঞান, শিক্ষা ও যুবসংবাদ, খেলাধুলোর খবরাখবরসহ প্রতিদিন নানান ধরণের অনুষ্ঠান উপস্থাপন করছে অগণিত শ্রোতাদের উদ্দেশ্যে। ভিওএ রেডিও তে প্রচারিত আমাদের সাপ্তাহিক আয়োজন কল ইন শো হ্যালো ওয়াশিংটনে বিশিষ্ট প্যানেলিস্টরা বিভিন্ন সমসাময়িক ও গুরুত্বপূর্ণ বিষয়ে আমাদের শ্রোতাদের প্রশ্নের জবাব দিচ্ছেন। ভিওএ বাংলা সবচেয়ে বেশি সংবাদ পরিবেশন করে থাকে, যা এটিকে বাংলাভাষী মানুষের পছন্দের সংবাদমাধ্যমে পরিণত করেছে।","VOA Bangla is the most popular news medium for Bengali-speaking people. With the dedication and expertise of experienced radio journalists and broadcasters, VOA Bangla offers a wide range of programs and services on radio, television, and the internet, including news, news analysis, and commentary, interviews with notable figures, arts and entertainment, health and science, education and youth-focused content, sports news, and more, catering to a vast audience every day. Our weekly call-in show, Hello Washington, broadcast on VOA Radio, features esteemed panelists addressing listener questions on current and pressing topics. As the leading provider of news, VOA Bangla has become the go-to news source for Bengali-speaking individuals.","ভিওএ বাংলা থেকে সর্বশেষ খবর এবং আপডেট পান! বর্তমান ঘটনা সম্পর্কে বিশেষজ্ঞদের অন্তর্দৃষ্টি জানতে আমাদের সাপ্তাহিক কল-ইন শো, হ্যালো ওয়াশিংটনে টিউন ইন করুন। #ভিওএবাংলা #বাংলাখবর #হ্যালোওয়াশিংটন","Get the latest news and updates from VOA Bangla, the most popular news medium for Bengali-speaking people! Tune in to our weekly call-in show, Hello Washington, for expert insights on current events. #VOABangla #BengaliNews #HelloWashington",ben,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[4, 2]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ben/CoI_53edd3a2-85e4-4849-bec7-d9f09f73d8bd_ben_critical_42.json,ben,eng,ben,eng,ben,critical,MassiveSum,n,y,y,n
0488f49d-0f1b-4034-b241-207de8b77989,মিয়ানমারে মুসলিম ও বৌদ্ধদের মধ্যে সাম্প্রদায়িক দাঙ্গা চলছে। গণতন্ত্রের পরও সাম্প্রদায়িক সহিংসতা বন্ধ হয়নি। ভিরাথুর আন্দোলন মুসলমান বিরোধী সহিংসতার সঙ্গে যুক্ত। এই সহিংসতা মিয়ানমারের গণতন্ত্রকে হুমকির মুখে ফেলে দিয়েছে। মিয়ানমারের ইতিহাসে এই সহিংসতা একটি নতুন অধ্যায়।,"A communal riot is ongoing between Muslims and Buddhists in Myanmar. Despite the transition to democracy, communal violence has not ceased. The movement led by Wirathu is linked to anti-Muslim violence. This violence poses a threat to Myanmar's democratic progress. This violence marks a new and concerning chapter in Myanmar's history.",মিয়ানমারের মুসলিম ও বৌদ্ধদের মধ্যে সাম্প্রদায়িক সহিংসতা গণতন্ত্রকে হুমকির মুখে ফেলে দিয়েছে। #মিয়ানমার #সাম্প্রদায়িকসহিংসতা #গণতন্ত্র,Myanmar's communal violence between Muslims and Buddhists threatens democracy. #Myanmar #CommunalViolence #Democracy,ben,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[9, 23]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ben/CoI_0488f49d-0f1b-4034-b241-207de8b77989_ben_minor_923.json,ben,eng,ben,eng,ben,minor,MassiveSum,y,n,y,n
