uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
fcbe7c2c-3720-4b22-a722-7d06310c06e1,"'Senegal has closed its borders with Guinea to prevent the spread of the Ebola virus, as per the Senegalese Interior Ministry.' 'The closure includes all aircraft and ships coming from Guinea, Sierra Leone, and Liberia.' 'Guinea reported 579 suspected Ebola cases as of August 20.' 'The total number of suspected Ebola cases in Guinea, Sierra Leone, Liberia, and Nigeria stands at 2,473.'","'Le Sénégal a fermé ses frontières avec la Guinée pour prévenir la propagation du virus Ebola, selon le ministère de l'Intérieur.' 'Cette fermeture comprend tous les avions et bateaux venant de Guinée, de Sierra Leone et du Liberia.' 'La Guinée a signalé 579 cas suspects d'Ebola au 20 août.' 'Le total des cas suspects d'Ebola en Guinée, Sierra Leone, Liberia et Nigeria est de 2 473.'","'Breaking: Senegal closes borders with Guinea amid Ebola outbreak fears! Stay safe, stay informed! #EbolaOutbreak #WestAfrica #StaySafe'","'Rupture : le Sénégal ferme ses frontières avec la Guinée en raison de la flambée d'Ebola ! Restez en sécurité, restez informés ! #EbolaOutbreak #WestAfrica #StaySafe'",fra,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fra/CoI_fcbe7c2c-3720-4b22-a722-7d06310c06e1_fra_edit.json,eng,fra,eng,"[fra,eng]",eng,light,DialyNews,y,n,y,n
d7e58564-cbe4-4b4b-b963-f8cae004e1e5,"(CNN) -- Images of mangled remains of crashed passenger planes strike fear into even the hardiest of business travelers. People posing as passengers take part in an anti-terrorist drill at Sukarno-Hatta airport in Jakarta. After a spate of airline emergencies, CNN's Business Traveller examines the risks of plane travel and investigates ways to make journeys safer. British Airways offers a safety course once reserved for pilots and cabin crew, which takes place in a hangar at London's Heathrow airport. Barry Leonard, a passenger on US Airways Flight 1549, shares how these procedures saved his life. The show also explores security measures at luxury hotels like the Oberoi in Mumbai and the Adlon Kempinski in Berlin. It looks at high-security fashion by Miguel Caballero, known as the 'Armani of Bullet-proof Apparel'.","(CNN) -- Les images des restes d'avions crashés frappent de peur les voyageurs d'affaires. Des personnes simulant des passagers participent à un exercice anti-terroriste à l'aéroport Sukarno-Hatta à Jakarta. Après plusieurs urgences aériennes, CNN's Business Traveller examine les risques du voyage aérien et les moyens de les réduire. British Airways propose un cours de sécurité anciennement réservé aux pilotes et au personnel de cabine à l'aéroport Heathrow de Londres. Barry Leonard, passager du vol US Airways 1549, raconte comment ces procédures lui ont sauvé la vie. L'émission explore les mesures de sécurité dans les hôtels de luxe comme l'Oberoi à Mumbai et l'Adlon Kempinski à Berlin, ainsi que la mode de haute sécurité de Miguel Caballero, 'l'Armani du vêtement pare-balles'.","Stay safe on your next business trip! 'CNN's Business Traveller' explores ways to make your journey safer, from safety courses to high-security fashion. Watch now and learn how to protect yourself in the air and on the ground! #BusinessTravel #SafetyFirst #TravelSecure","Restez en sécurité lors de votre prochain voyage d'affaires ! 'CNN's Business Traveller' explore les moyens de rendre votre trajet plus sûr, des cours de sécurité à la mode haute sécurité. Regardez maintenant et apprenez à vous protéger dans les airs et sur terre ! #VoyageDAffaires #SécuritéDabord #VoyageSécurisé",fra,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fra/CoI_d7e58564-cbe4-4b4b-b963-f8cae004e1e5_fra_edit.json,eng,"[fra,eng]",eng,"[fra,eng]",eng,light,DialyNews,y,n,y,n
1e97d3c8-c4fd-4433-a807-5ab80ad666bb,"The family of Carlos Sousa, the 17-year-old killed by a Siberian tiger at the San Francisco Zoo, expressed their grief, saying the attack has 'forever ruined Christmas' for them. The police are investigating the circumstances surrounding Tatiana's escape from her enclosure. The zoo's director stated that experts will inspect the setup to suggest safety modifications.","La famille de Carlos Sousa, le jeune homme de 17 ans tué par un tigre sibérien au zoo de San Francisco, a exprimé son chagrin, affirmant que l'attaque a 'définitivement gâché Noël' pour eux. La police enquête sur les circonstances de l'évasion de Tatiana de son enclos. Le directeur du zoo a indiqué que des experts examineront l'installation pour proposer des modifications de sécurité.",Tragedy at the San Francisco Zoo: 'Christmas is ruined for us' says family of teen killed by tiger #SFTigerAttack #ZooSafety,Tragédie au zoo de San Francisco : 'Noël est ruiné pour nous' dit la famille de l'adolescent tué par un tigre #SFTigerAttack #SécuritéDesZoos,fra,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fra/CoI_1e97d3c8-c4fd-4433-a807-5ab80ad666bb_fra_rewrite_moderate.json,eng,fra,eng,fra,eng,moderate,DialyNews,y,n,y,n
02e64080-6380-43ce-a3f2-0ef8e0d3f624,"Dorothy Canfield, '84', allegedly tried to hire a hitman to kill the prosecutor handling her case and harm his superior. The targets were Montgomery County District Attorney 'Brett Ligon' and his assistant, 'Rob Freyer'. Canfield wanted the hit to resemble the recent killings of Texas prosecutors.","Dorothy Canfield, '84 ans', aurait tenté d'embaucher un tueur à gages pour assassiner le procureur chargé de son dossier et nuire à son supérieur. Les cibles étaient le procureur général du comté de Montgomery, 'Brett Ligon', et son adjoint, 'Rob Freyer'. Canfield souhaitait que l'attentat ressemble aux meurtres récents de procureurs texans.",Breaking: 84-year-old woman allegedly tries to hire hitman to kill prosecutor handling her case! 'She was very cold and not remorseful' #Justice #PublicSafety,Info choc: Une femme de '84 ans' aurait tenté d'embaucher un tueur pour assassiner le procureur chargé de son affaire! 'Elle était très froide et sans remords' #Justice #SécuritéPublique,fra,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fra/CoI_02e64080-6380-43ce-a3f2-0ef8e0d3f624_fra_rewrite_moderate.json,eng,fra,eng,fra,eng,moderate,DialyNews,y,n,y,n
5d3f9a45-802e-44e9-a8a8-0291e6b70b6c,"If you're a social studies, civics, government, or political science teacher, you shouldn't miss this Thursday's CNN Student News show, dated November 6, 2014. We're looking at the changing U.S. Congress and how the midterm results could affect the president's agenda. We'll also explore a theory about pirates and visit a wildlife sanctuary to learn about caring for big cats. You can find today's show transcript and request to be on the CNN Student News Roll Call on this page.","Si vous êtes un enseignant d'études sociales, de civisme, de gouvernement ou de science politique, ne manquez pas l'émission CNN Student News de ce jeudi 6 novembre 2014. Nous étudions l'évolution du Congrès américain et son impact sur l'agenda présidentiel après les élections intermédiaires. Nous aborderons aussi une théorie sur les pirates et visiterons un refuge pour grands félins. Vous trouverez la transcription de l'émission et la possibilité de participer au CNN Student News Roll Call sur cette page.","Catch this Thursday's #CNNStudentNews! We're discussing the changing U.S. Congress & midterm results' impact on the president's agenda. Plus, learn about caring for big cats at a wildlife sanctuary! 'Request to be on the Roll Call today!'",Ne manquez pas l'émission #CNNStudentNews de ce jeudi! Nous discutons de l'évolution du Congrès américain et de son impact sur l'agenda présidentiel. Apprenez-en plus sur les soins aux grands félins dans un sanctuaire! 'Demandez à être sur le Roll Call aujourd'hui!',fra,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fra/CoI_5d3f9a45-802e-44e9-a8a8-0291e6b70b6c_fra_polish.json,eng,fra,eng,fra,eng,moderate,DialyNews,y,n,y,n
74a69c26-2ee6-4aea-918d-48823110b0b0,"Jeremy Clarkson has sparked controversy after claiming that people in Liverpool 'earn less, die more quickly, and have fewer jobs' compared to those in the South of England. The 'Top Gear' host made these comments after visiting the city for one of his programme's live shows, describing local houses as being 'worth the square root of sod all'. The mayor of Liverpool, Joe Anderson, has responded by labelling Clarkson an 'oaf and a buffoon'. Clarkson's comments were made during the 'Top Gear Live' tour, where he also mocked a local restaurant and hotel for staff not knowing what a 'kipper' or 'Tabasco sauce' were. He further shared some negative experiences from previous visits, including hearing constant burglar alarms and witnessing a knifeman 'run amok' in a restaurant. The mayor has announced plans to complain to the BBC about Clarkson's remarks, which were published in his 'Sunday Times' column.","Jeremy Clarkson a suscité la controverse après avoir affirmé que les habitants de Liverpool 'gagnent moins, meurent plus rapidement et ont moins d'emplois' comparés à ceux du Sud de l'Angleterre. L'animateur de 'Top Gear' a fait ces commentaires après avoir visité la ville pour l'un de ses spectacles en direct, décrivant les maisons locales comme ayant très peu de valeur. Le maire de Liverpool, Joe Anderson, a répondu en qualifiant Clarkson d' 'idiot et de bouffon'. Les commentaires de Clarkson ont été faits lors de la tournée 'Top Gear Live', où il a également critiqué un restaurant et un hôtel locaux. Le maire a annoncé son intention de se plaindre à la BBC.","Jeremy Clarkson sparks row over Liverpool comments: 'earn less, die more quickly, have fewer jobs' #JeremyClarkson #Liverpool #TopGear","Jeremy Clarkson déclenche une polémique sur ses commentaires sur Liverpool: 'gagnent moins, meurent plus rapidement, ont moins d'emplois' #JeremyClarkson #Liverpool #TopGear",fra,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fra/CoI_74a69c26-2ee6-4aea-918d-48823110b0b0_fra_polish.json,eng,fra,eng,fra,eng,moderate,DialyNews,y,n,y,n
6819f1dd-3227-4841-9eb1-4ca0b8a3e17b,"Thirteen former United Airlines flight attendants allege they were terminated for refusing to work a flight from San Francisco to Hong Kong after 'threatening' words and 'menacing' images were found on the Boeing 747's tail cone. The flight attendants expressed concern over a potential security threat and requested a comprehensive inspection of the aircraft. United Airlines investigated the incident and concluded that there was no credible security threat, having followed all required safety procedures.","Treize anciens agents de bord d'United Airlines affirment avoir été licenciés pour avoir refusé de travailler sur un vol San Francisco - Hong Kong après la découverte de graffitis 'menaçants' sur le cône de queue du Boeing 747. Les agents de bord ont exprimé des inquiétudes concernant une potentielle menace sécuritaire et ont exigé une inspection approfondie de l'appareil. United Airlines a mené l'enquête et a conclu qu'il n'y avait aucune menace sécuritaire crédible, ayant respecté toutes les procédures de sécurité nécessaires.",Breaking: 13 United Airlines flight attendants fired for refusing to fly plane with 'threatening' graffiti! 'We prioritized safety over profit' #UnitedAirlines #FlightSafety #Whistleblowers,Découvrez : 13 agents de bord d'United Airlines licenciés pour avoir refusé de piloter un avion avec des graffitis 'menaçants' ! 'Nous avons priorisé la sécurité sur le profit' #UnitedAirlines #SécuritéAérienne #LanceursDAlerte,fra,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fra/CoI_6819f1dd-3227-4841-9eb1-4ca0b8a3e17b_fra_rewrite_moderate.json,eng,fra,eng,fra,eng,moderate,DialyNews,y,n,y,n
f1aec997-91b6-42ea-8d69-aeccb13ceda9,Elon Musk's Neuralink is initiating a clinical trial for a revolutionary brain-chip implant. The trial seeks a quadriplegic individual under 40 to undergo the pioneering procedure. The implant enables users to perform computer functions using their thoughts. Neuralink's technology has the potential to aid individuals with severe neurological conditions. The company faces challenges related to animal rights and regulatory approvals.,Neuralink d'Elon Musk lance un essai clinique pour un implant cérébral révolutionnaire. L'essai recherche un participant quadriplégique âgé de moins de 40 ans. Cet implant innovant permet de contrôler des fonctions informatiques par la pensée. La technologie de Neuralink vise à aider les personnes souffrant de troubles neurologiques graves. L'entreprise est confrontée à des défis éthiques et réglementaires.,Discover Neuralink's groundbreaking brain-chip implant trial! 'Elon Musk's Neuralink revolutionizes tech interaction for those with neurological conditions. #Neuralink #AI #Innovation',Découvrez l'essai clinique révolutionnaire de Neuralink pour l'implant cérébral ! 'Neuralink d'Elon Musk révolutionne l'interaction technologique pour les personnes atteintes de troubles neurologiques. #Neuralink #IA #Innovation',fra,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fra/CoI_f1aec997-91b6-42ea-8d69-aeccb13ceda9_fra_rewrite_moderate.json,eng,fra,eng,fra,eng,moderate,GlobalNews,y,n,y,n
4de2ca19-40c1-4c6a-b06d-b1fca2248d1b,"A vegetarian nurse from Prestatyn, North Wales, found a 5-inch locust in her Tesco 'washed and ready to eat' bagged salad. The nurse, who wished to remain anonymous, had bought the salad for £1.50. Upon discovering the locust, she felt shocked and 'totally freaked out'. She released the locust in her garden and took the packaging back to Tesco, who apologized and offered a £10 voucher.","Une infirmière végétarienne de Prestatyn, au Pays de Galles, a trouvé un criquet de 5 pouces dans sa salade Tesco. Elle a acheté la salade 'prête à consommer' pour 1,50 £. Après avoir découvert le criquet, elle s'est sentie choquée. Elle l'a libéré dans son jardin et a rapporté l'emballage chez Tesco, qui a présenté des excuses et offert un bon de 10 £.", 'Shocking discovery! Vegetarian nurse finds 5-inch locust in her Tesco salad #Tesco #SaladScare #LocustInSalad' , 'Découverte choquante ! Une infirmière végétarienne trouve un criquet de 5 pouces dans sa salade Tesco #Tesco #PeurDeLaSalade #CriquetDansLaSalade' ,fra,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fra/CoI_4de2ca19-40c1-4c6a-b06d-b1fca2248d1b_fra_edit.json,eng,fra,eng,fra,eng,light,DialyNews,y,n,y,n
7eb420a3-abee-4931-9f2b-e434e2977dce,"With one small tweet designed to have maximum effect, Andy Murray showed in the early hours of this morning that he continually has the capacity to surprise. Finally, he has held true to what he said after winning Wimbledon, that he would have his say on Scottish independence. Some of us have wearied of listening to his various reasons for not doing so, such as 'I can't vote anyway' or 'Who cares what I think'. Andy Murray posed with the Union Jack flag after winning gold and silver at the London 2012 Olympics. Murray's desire to see the end of Great Britain in its present form calls into question whether he will make himself available for the Davis Cup tie against USA.","Avec un seul petit tweet conçu pour avoir un maximum d'effet, Andy Murray a montré tôt ce matin qu'il a continuellement la capacité de surprendre. Enfin, il a tenu parole après avoir gagné Wimbledon, en affirmant qu'il aurait son mot à dire sur l'indépendance de l'Écosse. Certains se sont lassés d'écouter ses diverses excuses pour ne pas le faire, comme 'Je ne peux pas voter de toute façon' ou 'Qui se soucie de ce que je pense'. Andy Murray a posé avec le drapeau du Royaume-Uni après avoir remporté l'or et l'argent aux Jeux Olympiques de Londres 2012.","Andy Murray surprises with tweet supporting Scottish independence! 'I have held true to my promise,' he says. Will this affect his Davis Cup participation? #AndyMurray #ScottishIndependence","Andy Murray surprend avec un tweet soutenant l'indépendance de l'Écosse! 'J'ai tenu ma promesse,' dit-il. Cela affectera-t-il sa participation à la Coupe Davis? #AndyMurray #IndépendanceÉcossaise",fra,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fra/CoI_7eb420a3-abee-4931-9f2b-e434e2977dce_fra_edit.json,eng,"[fra,eng]",eng,fra,eng,light,DialyNews,y,n,y,n
