uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
cdae3026-3e0b-43a0-a674-9ae62ffcf75b,"The house where Oscar Pistorius shot dead his girlfriend Reeva Steenkamp has been sold. Located in Pretoria's Silver Woods Estate, the property was previously owned by Pistorius and Steenkamp. Images released show the interior of the house, including the bathroom where the incident occurred. The buyer, Louwtjie Louwrens, plans to retire there with his family. Pistorius has not returned to the house since the incident and is awaiting the verdict on his murder trial.",جہاں آوسکر پستوریوس نے اپنی گرل فرینڈ ریوا سٹینکیمپ کو گولی مار دی تھی وہ گھر فروخت ہوگیا ہے۔ پریٹوریا کے سلور ووڈس ایسٹٹ میں واقع یہ گھر پستوریوس اور سٹینکیمپ کی سابقہ ملکیت ہے۔ جاری کردہ تصاویر میں گھر کے اندرونی مناظر دکھائے گئے ہیں، جن میں وہ بাথروم بھی شامل ہے جہاں یہ واقعہ پیش آیا۔ نئے خریدار، لوٹجی لوورینس، اپنے خاندان کے ساتھ یہاں ریٹائر ہونے کا ارادہ رکھتے ہیں۔ پستوریوس اس واقعے کے بعد سے گھر واپس نہیں آیا اور اپنے قتل کے مقدمے کے فیصلے کا انتظار کر رہا ہے۔,Breaking: Oscar Pistorius's house where he shot Reeva Steenkamp sold! 'It's in a safe area' says new buyer Louwtjie Louwrens #OscarPistorius #ReevaSteenkamp,بریکنگ: آوسکر پستوریوس کا گھر جہاں اس نے ریوا سٹینکیمپ کو گولی ماری تھی فروخت ہوگیا! 'یہ ایک محفوظ علاقے میں ہے' نئے خریدار لوٹجی لوورینس #OscarPistorius #ReevaSteenkamp,urd,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/urd/CoI_cdae3026-3e0b-43a0-a674-9ae62ffcf75b_urd_polish.json,eng,urd,eng,"[urd,eng]",eng,moderate,DialyNews,y,n,y,n
0db501e0-393e-4b14-b5b4-8f610640827d,"'Over 28,000 people have died in drug violence in Mexico since President Felipe Calderon took office in December 2006', according to Guillermo Valdes Castellanos. Mexican authorities have been involved in '963 gun battles' with drug gangs since 2006. Experts like Samuel Logan note that '90 percent to 95 percent of fatalities are between rival drug gangs'.","'جب سے صدر فیلپ کالڈیرن نے دسمبر 2006 میں اقتدار سنبھالا ہے، میکسیکو میں نشہ آور مادوں کی وجہ سے ہونے والی تشدد میں 28,000 سے زائد افراد ہلاک ہو چکے ہیں', گیلرمو والڈس کیسلانوس کے مطابق۔ میکسیکی حکام 2006 سے '963 بندوقوں کی لڑائیاں' میں ڈرگ گروہوں کے ساتھ الجھے ہوئے ہیں۔ '90 فیصد سے 95 فیصد ہلاکتیں مخالف ڈرگ گروہوں کے درمیان ہوتی ہیں', سیموئل لوگان کے مطابق۔","'Mexico sees over 28,000 deaths in drug violence since 2006! Experts warn violence may get worse before it gets better. #MexicoDrugWar #DrugViolence'","'2006 سے میکسیکو میں ڈرگ وائلنس میں 28,000 سے زائد ہلاکتیں! ماہرین نے خبردار کیا ہے کہ صورتحال بہتر ہونے سے پہلے اور خراب ہو سکتی ہے۔ #میکسیکو_ڈرگ_وار #ڈرگ_وائلنس'",urd,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/urd/CoI_0db501e0-393e-4b14-b5b4-8f610640827d_urd_polish.json,eng,urd,eng,urd,eng,moderate,DialyNews,y,n,y,n
2c4afabb-b8cb-4357-a9bb-a02bdb1657a0,"Mariam Yahya Ibrahim, a 27-year-old Sudanese woman, gave birth while shackled in prison. Initially sentenced to death for converting to Christianity, Ibrahim was released after international pressure. She fears her daughter Maya may have health issues due to the birth conditions. Negotiations are ongoing to allow Ibrahim and her family to leave Sudan.",مریم یحییٰ ابراہیم، ایک 27 سالہ سوڈانی خاتون، نے جیل میں زنجیروں میں جکڑے ہوئے اپنی بیٹی کو جنم دیا۔ عیسائیت قبول کرنے پر سزائے موت پانے والی ابراہیم کو بین الاقوامی دباؤ کے بعد رہا کیا گیا۔ ان کا خدشہ ہے کہ ان کی بیٹی مایا کو پیدائش کے حالات کی وجہ سے چلنے میں دشواری ہو سکتی ہے۔ ابراہیم اور ان کے اہل خانہ کو سوڈان سے باہر جانے کی اجازت دینے کے لیے مذاکرات جاری ہیں۔,"Breaking: Sudanese woman Mariam Yahya Ibrahim, who was spared death penalty for converting to Christianity, fears her newborn may have lifelong health issues due to being shackled during birth. #HumanRights #ReligiousFreedom",بریکنگ: سوڈانی خاتون مریم یحییٰ ابراہیم، جنہیں عیسائیت قبول کرنے پر سزائے موت سے بچا لیا گیا تھا، خدشہ ہے کہ ان کی نومولود بیٹی کو پیدائش کے دوران زنجیروں میں جکڑے جانے کی وجہ سے صحت کے مسائل لائف لانگ ہو سکتے ہیں۔ # انسانی_حقوق # مذہبی_آزادی,urd,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/urd/CoI_2c4afabb-b8cb-4357-a9bb-a02bdb1657a0_urd_polish.json,eng,urd,eng,urd,eng,moderate,DialyNews,y,n,y,n
480fe83e-8653-4ccf-b915-db47da28718f,"It's 'Black Friday' and numerous deals are available, particularly on 'Samsung Frame TVs'. The 'Samsung Frame TV' is a top-tier 'QLED TV' known for its 'Art Mode' and lifelike imagery. Prices for the 'Samsung Frame TV' start at '$550' during the 'Black Friday' sale.",یہ 'بلیک فرائیڈے' ہے اور بہت ساری ڈیلز دستیاب ہیں، خاص طور پر 'سامسنگ فریم ٹی ویز' پر۔  'سامسنگ فریم ٹی وی' ایک اعلیٰ 'کیو ایل ای ڈی ٹی وی' ہے جو اپنے 'آرٹ موڈ' اور زندگی جیسی تصاویر کے لیے معروف ہے۔  'بلیک فرائیڈے' سیل کے دوران 'سامسنگ فریم ٹی وی' کی قیمت '$550' سے شروع ہوتی ہے۔,Grab 'Black Friday' deals on 'Samsung Frame TVs' now! Prices start at '$550'. Don't miss out! #BlackFridayDeals #SamsungFrameTV, 'بلیک فرائیڈے' کی ڈیلز 'سامسنگ فریم ٹی ویز' پر حاصل کریں! قیمت '$550' سے شروع ہوتی ہے۔ فائدہ اٹھائیں! #BlackFridayDeals #SamsungFrameTV,urd,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/urd/CoI_480fe83e-8653-4ccf-b915-db47da28718f_urd_polish.json,eng,"[urd,eng]",eng,"[urd,eng]",eng,moderate,GlobalNews,y,n,y,n
076616a9-fa4a-422e-806a-93f9a7acd097,"The investigation into the disappearance of 20-month-old Ayla Reynolds has been taken over by the Maine State Police. Ayla was last seen on December 16 by her father, Justin Dipietro. A reward of $30,000 is being offered for information that leads to Ayla's safe return. Ayla is blond, 2 feet 9 inches tall, and was wearing green 'Daddy's Princess' pajamas with white polka dots when she disappeared.","مین میں پولیس کا ماننا ہے کہ 20 ماہ کی ایلا رینولڈز کے لاپتہ ہونے میں 'خراب کھیل' شامل تھا۔ ایلا کو آخری بار اس کے والد جسٹن ڈیپٹرو نے 16 دسمبر کو دیکھا تھا۔ تفتیش اب مین اسٹیٹ پولیس کے زیر اہتمام ہے۔ ایلا کی محفوظ واپسی کے لئے 30,000 ڈالر کا انعام دیا جا رہا ہے۔ ایلا سنہری بالوں والی، 2 فٹ 9 انچ لمبی ہے، اور سفید پولکا ڈاٹس والے سبز پاجامے پہنے ہوئے تھی۔","Breaking: 'Foul play' suspected in the disappearance of 20-month-old Ayla Reynolds in Maine. $30,000 reward for information leading to her safe return. #AylaReynolds #MissingChild #JusticeForAyla","'مین میں 20 ماہ کی ایلا رینولڈز کے لاپتہ ہونے کے معاملے میں 'خراب کھیل' کا شک: 30,000 ڈالر کا انعام ایلا کی محفوظ واپسی کے لئے معلومات دینے پر #AylaReynolds #MissingChild #JusticeForAyla",urd,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/urd/CoI_076616a9-fa4a-422e-806a-93f9a7acd097_urd_rewrite_light.json,eng,urd,eng,"[urd,eng]",eng,light,DialyNews,y,n,y,n
b57dd0f1-76f1-4663-8946-0e1653b03ca7,"A wrongful death lawsuit seeking at least '$1 million' has been filed against Sandra Layne, a 75-year-old woman from the Detroit area. Sandra Layne was convicted of second-degree murder for killing her 17-year-old grandson, Jonathan Hoffman. The lawsuit was filed by a representative of Jonathan Hoffman's estate in Oakland County Circuit Court.",ایک غیر قانونی موت کا مقدمہ کم سے کم '10 لاکھ ڈالر' کا دعویٰ کرتے ہوئے سینڈرا لین، جو ڈیٹرائٹ کے علاقے کی 75 سالہ خاتون ہے، اور ان کے شوہر فریڈ لین، 86 سالہ کے خلاف دائر کیا گیا ہے۔ یہ مقدمہ اوکلینڈ کاؤنٹی سرکٹ کورٹ میں جوناتھن ہافمین کی جائیداد کے نمائندے نے دائر کیا تھا۔ سینڈرا لین کو اپنے 17 سالہ پوتے جوناتھن ہافمین کو قتل کرنے کے الزام میں سزا سنائی گئی تھی اور کم سے کم 22 سال قید کی سزا سنائی گئی تھی۔,Breaking: $1 million lawsuit filed against 75-year-old Sandra Layne for killing her grandson Jonathan Hoffman. #JusticeForJonathan,'سینڈرا لین کے خلاف 10 لاکھ ڈالر کا مقدمہ: 75 سالہ خاتون پر اپنے پوتے جوناتھن ہافمین کو قتل کرنے کا الزام۔ #JusticeForJonathan',urd,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/urd/CoI_b57dd0f1-76f1-4663-8946-0e1653b03ca7_urd_edit.json,eng,urd,eng,"[urd,eng]",eng,light,DialyNews,y,n,y,n
7099d108-57d6-4448-b84f-4826cbc747a3,"'In a recent White House ceremony, President Biden pardoned two turkeys named 'Liberty' and 'Bell'. The pardoning of 'Liberty' and 'Bell' continues a tradition where U.S. presidents spare turkeys, previously named 'Flyer', 'Peanut Butter and Jelly', among others.",صدر بائیڈن نے وائٹ ہاؤس میں ایک تقریب کے دوران دو ٹرکیوں 'آزادی' اور 'گھنٹی' کو معاف کر دیا۔ یہ اقدام امریکی صدور کے اس روایت کو آگے بڑھاتا ہے جس میں ٹرکیوں کو معاف کیا جاتا ہے، جن کے نام پہلے 'فلائر'، 'پی نٹ بٹر اینڈ جیلی' جیسے تھے۔,Just in: President Biden pardons 'Liberty' and 'Bell' at the White House! This continues a fun tradition of sparing turkeys #TurkeyPardon #WhiteHouse,ابھی ابھی: صدر بائیڈن نے وائٹ ہاؤس میں 'آزادی' اور 'گھنٹی' کو معاف کر دیا! یہ ٹرکیوں کو معاف کرنے کے روایتی عمل کو جاری رکھتا ہے #ٹرکی_معافی #وائٹ_ہاؤس,urd,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/urd/CoI_7099d108-57d6-4448-b84f-4826cbc747a3_urd_rewrite_complete.json,eng,urd,eng,urd,eng,complete,GlobalNews,n,y,y,n
1f56438a-914f-4ef0-a84b-21f3738f0f81,"Hong Kong residents are increasingly frustrated with the influx of 'grey traders' who purchase large quantities of goods on behalf of China-based agents. These traders, often seen around Sheung Shui train station, transport goods like baby formula and diapers across the border. The trade has boomed due to a lack of trust in mainland China's products following several food scandals. While the practice benefits some local businesses, it causes problems like littering and crowding.",ہانگ کانگ کے رہائشی 'گری ٹریڈرز' سے پریشان ہیں جو چین میں مقیم ایجنٹوں کے لئے بڑی تعداد میں اشیاء خریدتے ہیں۔ یہ تاجر، عام طور پر شونگ شوئی ٹرین اسٹیشن کے آس پاس نظر آتے ہیں، سرحد پار سامان منتقل کرتے ہیں۔ چین میں خوراک کے اسکینڈلز کے بعد مصنوعات پر عدم اعتماد کی وجہ سے یہ تجارت بڑھی ہے۔ یہ عمل کچھ محلی کاروبار کو فائدہ دیتا ہے، لیکن گندگی اور بھیڑ کا باعث بھی بنتا ہے۔,Discover the controversy around 'grey traders' in Hong Kong! Find out how their daily trips across the border are affecting local residents and businesses. #HongKong #GreyTraders #CrossBorderTrade,ہانگ کانگ میں 'گری ٹریڈرز' کے گرد جھگڑے کو سمجھیں! معلوم کریں کہ کس طرح ان کی روزانہ سرحد پار سفر محلی باشندوں اور کاروبار کو متاثر کر رہی ہے۔ #ہانگکانگ #گریٹریڈرز #سرحدپارکاروبار,urd,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/urd/CoI_1f56438a-914f-4ef0-a84b-21f3738f0f81_urd_rewrite_light.json,eng,urd,eng,urd,eng,light,DialyNews,y,n,y,n
b90d13c5-0d53-4645-a319-359a6b7449f6,"Israelis are using the 'Red Alert' app for real-time notifications when Hamas fires rockets from Gaza. The app, co-created by Israeli software developer Ari Sprung, has become increasingly popular. It provides push notifications with an emergency tone and the targeted community's name.",اسرائیلی 'Red Alert' ایپ کو غزہ سے حماس کے راکٹ حملوں کی اطلاع کے لیے استعمال کر رہے ہیں۔ ایپ، جو اری سپرنگ نے بنائی ہے، مقبول ہو گئی ہے۔ یہ ایمرجنسی ٹون اور متاثرہ علاقے کا نام نوٹیفکیشن میں دیتی ہے۔,Stay safe with 'Red Alert'! Get real-time rocket launch alerts from Gaza. Download now on iOS & Android! #Israel #Gaza #RedAlert,'Red Alert' ایپ کے ساتھ محفوظ رہیں! غزہ سے راکٹ داغنے کی ریئل ٹائم اطلاع پائیں۔ ابھی iOS اور Android پر ڈاؤن لوڈ کریں! #اسرائیل #غزہ #RedAlert,urd,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/urd/CoI_b90d13c5-0d53-4645-a319-359a6b7449f6_urd_polish.json,eng,urd,eng,"[eng,urd]",eng,moderate,DialyNews,y,n,y,n
7359b828-915d-4091-b805-93165502b105,"'A significant section of the Jurassic coastline in Sidmouth, east Devon, gave way after days of heavy rain, with a 100-foot cliff segment crashing onto the beach.' 'The incident, photographed by 70-year-old John Austin, is reported to be the fifth collapse in just one week.' 'The area, a world heritage site, is known for its red sandstone cliffs and rich geological history.' 'Local authorities are urging for immediate action as further rain is expected.'",'سڈماؤتھ، مشرقی ڈیون کے جیوراسک ساحل پر بھاری بارش کے باعث ایک بڑا چٹانی حصہ گر گیا، جس کی بلندائی 100 فٹ تھی۔' 'مقامی رہائشی 70 سالہ جان آسٹن نے اس واقعے کو کیمرے میں محفوظ کیا، اور یہ ہفتے میں پانچواں واقعہ ہے۔' 'یہ علاقہ اپنی سرخ ریتیلی چٹانوں اور زمینی تاریخ کے لئے مشہور ہے، اور ورلڈ ہیریٹیج سائٹ میں شامل ہے۔' 'مزید بارش کی پیشن گوئی کے پیش نظر مقامی حکام فوری کارروائی کا مطالبہ کر رہے ہیں۔',Discover the dramatic collapse of Jurassic coastline in Sidmouth! Heavy rain caused a 100ft cliff to crash down. Fifth incident this week! #JurassicCoast #Sidmouth #CliffCollapse,سڈماؤتھ میں جیوراسک ساحل کے منہدم ہونے کا دل دہلا دینے والا منظر دیکھیں! بھاری بارش نے 100 فٹ بلند چٹان کو گرا دیا۔ یہ اس ہفتے کا پانچواں واقعہ ہے! #JurassicCoast #Sidmouth #CliffCollapse,urd,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/urd/CoI_7359b828-915d-4091-b805-93165502b105_urd_rewrite_moderate.json,eng,urd,eng,"[urd,eng]",eng,moderate,DialyNews,y,n,y,n
