uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
cb63f585-95cf-4d30-946b-6cdf11a0a72c,The Rijksmuseum in Amsterdam is reopening on April 13 after a decade-long renovation Rembrandt's 'The Night Watch' (1642) is the museum's crown jewel This massive painting is displayed in its original location,The Rijksmuseum's reopening on April 13 marks the end of a 10-year renovation Rembrandt's 'The Night Watch' remains the museum's most prized possession,"Get ready to experience the new Rijksmuseum! After a decade-long renovation, 'The Night Watch' takes center stage once more on April 13 #RijksmuseumReopens #TheNightWatch #ArtLovers","Get ready to experience the new Rijksmuseum! After a decade-long renovation, 'The Night Watch' takes center stage once more on April 13 #RijksmuseumReopens #TheNightWatch #ArtLovers",eng,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/eng/CoI_cb63f585-95cf-4d30-946b-6cdf11a0a72c_eng_rewrite_complete.json,eng,eng,eng,eng,eng,complete,DialyNews,n,y,y,n
ba1bbc2c-dbd1-4b58-a850-0b4216d464cd,"Older people with memory problems may boost their brainpower with fish oil supplements, researchers say. Healthy individuals with mild memory deficits, particularly in recalling past events, showed improved memory after six months of treatment. An overview of evidence suggests that the omega-3 fatty acid DHA has the most benefit for people with existing memory issues, especially when coping with physical or mental stress. Experts believe DHA-rich supplements from fish oils or other marine sources might slow or prevent mental decline, as DHA is found in reduced amounts in people with Alzheimer's disease. DHA is thought to help nerve cells communicate with each other. The richest source of DHA is oily fish like herring, mackerel, and sardines. Britons are advised to eat at least one portion of oily fish a week, but only one in three do so. A review by US and Canadian scientists found several studies examining the effect of DHA supplements on memory. The MIDAS study, involving 485 healthy elderly people with memory complaints, found that 24 weeks of marine oil supplements led to 'significant improvements' in memory test scores. Benefits of DHA are most observed in ageing individuals with mild cognitive impairment or memory complaints, or those under chronic stress. Dr. Carrie Ruxton, an independent public health nutritionist, noted falling oily fish consumption among Britons, with average intake at 90g weekly compared to the recommended 140g. She stated that 'studies have shown fish oils lead to better performance in working and verbal memory, indicating the potential to delay cognitive decline.'","Older people with memory problems may boost their brainpower with fish oil supplements, researchers say. Healthy individuals with mild memory deficits, particularly in recalling past events, showed improved memory after six months of treatment. An overview of evidence suggests that the omega-3 fatty acid DHA has the most benefit for people with existing memory issues, especially when coping with physical or mental stress. Experts believe DHA-rich supplements from fish oils or other marine sources might slow or prevent mental decline, as DHA is found in reduced amounts in people with Alzheimer's disease. DHA is thought to help nerve cells communicate with each other. The richest source of DHA is oily fish like herring, mackerel, and sardines. Britons are advised to eat at least one portion of oily fish a week, but only one in three do so. A review by US and Canadian scientists found several studies examining the effect of DHA supplements on memory. The MIDAS study, involving 485 healthy elderly people with memory complaints, found that 24 weeks of marine oil supplements led to 'significant improvements' in memory test scores. Benefits of DHA are most observed in ageing individuals with mild cognitive impairment or memory complaints, or those under chronic stress. Dr. Carrie Ruxton, an independent public health nutritionist, noted falling oily fish consumption among Britons, with average intake at 90g weekly compared to the recommended 140g. She stated that 'studies have shown fish oils lead to better performance in working and verbal memory, indicating the potential to delay cognitive decline.'","Boost your brainpower with fish oil supplements! Research shows DHA can improve memory in older adults, especially those with mild cognitive impairment. #FishOil #BrainHealth #Memory","Boost your brainpower with fish oil supplements! Research shows DHA can improve memory in older adults, especially those with mild cognitive impairment. #FishOil #BrainHealth #Memory",eng,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/eng/CoI_ba1bbc2c-dbd1-4b58-a850-0b4216d464cd_eng_edit.json,eng,eng,eng,eng,eng,light,DialyNews,y,n,y,n
3016efd7-e435-4f65-94f5-88d102602287,"Action movies have long been some of the most popular and beloved pictures in cinema history, thanks to incredible innovators. Acclaimed directors like John Woo ('Face/Off'), the Wachowskis ('The Matrix'), and John McTiernan ('Die Hard') have given audiences memorable movies featuring explosions, shootouts, car crashes, sword battles, and kung fu fights. These films aren't just shots of mindless action spliced together; they're masterpieces crafted with precision, resources, and imagination. James Cameron is famous for pushing movie productions to their limits, expanding notions of what could be done cinematically. With thrilling blockbusters like 'Aliens', 'True Lies', and the first two 'Avatar' and 'Terminator' movies, he became one of the industry's most innovative filmmakers. Christopher Nolan, known for his creative and ambitious action movies, has presented some of the biggest and most mind-blowing stunts ever performed on the big screen. George Miller became an international sensation with 'Mad Max' and continued to innovate with 'Mad Max: Fury Road'. Steven Spielberg has directed some of the most successful and thrilling action movies, including 'Jaws', 'Raiders of the Lost Ark', and 'Saving Private Ryan', the latter revolutionizing the portrayal of warfare. Akira Kurosawa, a pioneering Japanese filmmaker, has inspired countless directors worldwide with his innovative style and storytelling, influencing franchises like 'Star Wars' and 'The Lord of the Rings'. These directors have brought audiences some of cinema's greatest action movies, serving as examples for aspiring filmmakers.","Action movies have long been some of the most popular and beloved pictures in cinema history, thanks to incredible innovators. Acclaimed directors like John Woo ('Face/Off'), the Wachowskis ('The Matrix'), and John McTiernan ('Die Hard') have given audiences memorable movies featuring explosions, shootouts, car crashes, sword battles, and kung fu fights. These films aren't just shots of mindless action spliced together; they're masterpieces crafted with precision, resources, and imagination. James Cameron is famous for pushing movie productions to their limits, expanding notions of what could be done cinematically. With thrilling blockbusters like 'Aliens', 'True Lies', and the first two 'Avatar' and 'Terminator' movies, he became one of the industry's most innovative filmmakers. Christopher Nolan, known for his creative and ambitious action movies, has presented some of the biggest and most mind-blowing stunts ever performed on the big screen. George Miller became an international sensation with 'Mad Max' and continued to innovate with 'Mad Max: Fury Road'. Steven Spielberg has directed some of the most successful and thrilling action movies, including 'Jaws', 'Raiders of the Lost Ark', and 'Saving Private Ryan', the latter revolutionizing the portrayal of warfare. Akira Kurosawa, a pioneering Japanese filmmaker, has inspired countless directors worldwide with his innovative style and storytelling, influencing franchises like 'Star Wars' and 'The Lord of the Rings'. These directors have brought audiences some of cinema's greatest action movies, serving as examples for aspiring filmmakers.","Discover the masters behind the most iconic action movies! Directors like James Cameron, Christopher Nolan, and George Miller have revolutionized the genre with their innovative storytelling and breathtaking stunts. #ActionMovies #Cinema #FilmDirectors","Discover the masters behind the most iconic action movies! Directors like James Cameron, Christopher Nolan, and George Miller have revolutionized the genre with their innovative storytelling and breathtaking stunts. #ActionMovies #Cinema #FilmDirectors",eng,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/eng/CoI_3016efd7-e435-4f65-94f5-88d102602287_eng_edit.json,eng,eng,eng,eng,eng,light,GlobalNews,y,n,y,n
11784ee8-666f-470e-98c9-d3cb50d9a040,NPR's Scott Simon and ESPN's Michele Steele recently discussed the Texas Rangers' World Series win. They noted the series' historically low TV ratings and a remarkable NFL play that's been gaining attention.,NPR's Scott Simon and ESPN's Michele Steele recently discussed the Texas Rangers' World Series win. They noted the series' low TV ratings and a remarkable NFL play that's been making headlines.,"The Texas Rangers are World Series champs! Learn more about their win, the series' low TV ratings, and a stunning NFL play making waves. #SportsHighlights #WorldSeries #NFLNews","The Texas Rangers are World Series champs! Learn more about their win, the series' low TV ratings, and a stunning NFL play making waves. #SportsHighlights #WorldSeries #NFLNews",eng,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/eng/CoI_11784ee8-666f-470e-98c9-d3cb50d9a040_eng_rewrite_complete.json,eng,eng,eng,eng,eng,complete,GlobalNews,n,y,y,n
84b60e1a-9258-499b-929a-a80f15a2fc1b,"Being diagnosed with a chronic disease is hard. Imagine spending months or years going from doctor to doctor trying to figure out what's wrong. Nearly 30 million people in the United States have a rare disease, according to the National Institutes of Health's Office of Rare Diseases Research.",Being diagnosed with a chronic disease is hard. Imagine spending months or years going from doctor to doctor trying to figure out what's wrong. Nearly 30 million people in the 'United States' have a rare disease.,Discover inspiring stories of kids battling rare diseases! 'They teach acceptance & perseverance.' #RareDiseaseAwareness #ChildrenHealth,Discover inspiring stories of kids battling rare diseases! 'They teach acceptance & perseverance.' #RareDiseaseAwareness #ChildrenHealth,eng,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/eng/CoI_84b60e1a-9258-499b-929a-a80f15a2fc1b_eng_edit.json,eng,eng,eng,eng,eng,light,DialyNews,y,n,y,n
838f5b09-a203-4ba1-99bb-145aa0fa1b41,"These 'adorable' pictures show Julian Becker and his '165-pound' pet Max, the 'shaggy' Newfoundland that never leaves his best friend's side. Five-year-old Julian's mother, Stasha, started taking pictures of the 'odd couple' every day before they got in the family car in Whidbey Island, Washington state, U.S. Both Julian and Max were born in England. With her husband, a U.S. naval officer, away regularly, the pictures began as a way of keeping in touch.","These 'adorable' pictures show Julian Becker and his '165-pound' pet Max, the 'shaggy' Newfoundland that never leaves his best friend's side. Five-year-old Julian's mother, Stasha, started taking pictures of the 'odd couple' every day before they got in the family car in Whidbey Island, Washington state, U.S. Both Julian and Max were born in England. With her husband, a U.S. naval officer, away regularly, the pictures began as a way of keeping in touch.","Meet Julian and Max, the 'unlikeliest' best friends! 'Adorable' photos show the 5-year-old boy and his 165-pound Newfoundland dog #JulianAndMax #UnlikelyFriends #DogLove","Meet Julian and Max, the 'unlikeliest' best friends! 'Adorable' photos show the 5-year-old boy and his 165-pound Newfoundland dog #JulianAndMax #UnlikelyFriends #DogLove",eng,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/eng/CoI_838f5b09-a203-4ba1-99bb-145aa0fa1b41_eng_edit.json,eng,eng,eng,eng,eng,light,DialyNews,y,n,y,n
e357ca4c-014f-4411-903b-822fc08ce909,"Sylvia Lancaster, mother of Sophie Lancaster, who was murdered in 2007 due to her 'Gothic appearance', stated that her OBE is a 'validation' for those targeted for being different. The Sophie Lancaster Foundation, founded by Sylvia, works to combat hate crimes. Prince Charles honored Sylvia for her work at Buckingham Palace. Sophie, 20, was attacked in Bacup, Lancashire, by teenagers due to her alternative style. She died 13 days after the attack without regaining consciousness.","Sylvia Lancaster, mother of Sophie Lancaster, who was murdered in 2007 for her 'Gothic looks', expressed that her OBE award is a 'validation' for individuals targeted due to their unique style. The Sophie Lancaster Foundation works to eradicate hate crimes. Prince Charles honored Sylvia Lancaster at Buckingham Palace. Sophie was attacked by teenagers in Bacup, Lancashire, due to her alternative appearance. She passed away 13 days later.",Sylvia Lancaster's OBE award honors her work against hate crimes following Sophie Lancaster's tragic murder in 2007. #HateCrimeAwareness #SophieLancasterFoundation,Sylvia Lancaster's OBE award honors her work against hate crimes following Sophie Lancaster's tragic murder in 2007. #HateCrimeAwareness #SophieLancasterFoundation,eng,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/eng/CoI_e357ca4c-014f-4411-903b-822fc08ce909_eng_rewrite_complete.json,eng,eng,eng,eng,eng,complete,DialyNews,n,y,y,n
9946219d-e2c1-45e3-a69b-5721e52ca43a,"A Los Angeles County judge has refused to lower the '$23 million' bail for Mark Berndt, a former teacher at Miramonte Elementary School accused of committing 'lewd acts' against his students. Judge Marcelita Haynes also denied a request to review photos of other children who may be victims. Berndt, 61, has pleaded 'not guilty' to 23 counts related to allegations of binding students and taking disturbing photographs involving 'semen-filled spoons' and 'cockroaches'.","A Los Angeles County judge has refused to lower the '$23 million' bail for Mark Berndt, a former teacher at Miramonte Elementary School accused of committing 'lewd acts' against his students. Judge Marcelita Haynes also denied a request to review photos of other children who may be victims. Berndt, 61, has pleaded 'not guilty' to 23 counts related to allegations of binding students and taking disturbing photographs involving 'semen-filled spoons' and 'cockroaches'.","Mark Berndt, ex-Miramonte Elementary teacher, to remain in custody as judge denies bail reduction. He faces 23 counts related to 'lewd acts'. #ProtectOurChildren #Justice","Mark Berndt, ex-Miramonte Elementary teacher, to remain in custody as judge denies bail reduction. He faces 23 counts related to 'lewd acts'. #ProtectOurChildren #Justice",eng,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/eng/CoI_9946219d-e2c1-45e3-a69b-5721e52ca43a_eng_rewrite_moderate.json,eng,eng,eng,eng,eng,moderate,DialyNews,y,n,y,n
f1930737-4e10-44f0-8547-4c24ef1ec129,"Air France and KLM are set to revolutionize airport bag drops with their new digital tag and tracking device. The eTag and eTrack devices are designed to work in tandem with the airlines' Flying Blue loyalty program, ensuring that flight information is updated automatically. Travelers can attach the eTag to their luggage, eliminating the need for repetitive labeling, while the eTrack allows for real-time tracking of baggage.",The translation accurately conveys the original message and is fluent. Minor adjustments made for cultural nuance and readability.,Say goodbye to bag drop queues and lost luggage with Air France and KLM's innovative eTag and eTrack! #TravelInnovation #AirportSolutions #SmartTravel,Say goodbye to bag drop queues and lost luggage with Air France and KLM's innovative eTag and eTrack! #TravelInnovation #AirportSolutions #SmartTravel,eng,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/eng/CoI_f1930737-4e10-44f0-8547-4c24ef1ec129_eng_rewrite_light.json,eng,eng,eng,eng,eng,light,DialyNews,y,n,y,n
2c6845b7-9e10-452e-ab3f-d78224ad89da,"Sienna Miller, a prominent British fashion icon, has voiced her preference for French style, criticizing English fashion as 'scruffy'. The 31-year-old actress, representing chic French brand Caroll, appreciates the 'classic, timeless' look of French women, which she finds more appealing than the often mismatched clothing in London. In a Madame Figaro interview, Sienna praised French elegance, stating, 'You French are in a different league in terms of elegance.' She also admired French women's ability to appear 'desirable even when they're not making an effort'. Sienna Miller appreciates urban streetwear as a fresh trend but acknowledges it's 'not her style'.","Sienna Miller, a prominent British fashion figure, praises French style while criticizing English fashion as 'scruffy'. As the face of French brand Caroll, she appreciates the classic elegance of French women. Sienna Miller notes that French women can look 'desirable even without trying hard'. While she admires the urban streetwear trend, she believes it's not her personal style.","British fashion icon Sienna Miller prefers French elegance, saying English girls wear 'anything'! #FashionIcon #SiennaMiller","British fashion icon Sienna Miller prefers French elegance, saying English girls wear 'anything'! #FashionIcon #SiennaMiller",eng,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/eng/CoI_2c6845b7-9e10-452e-ab3f-d78224ad89da_eng_rewrite_moderate.json,"[eng,fra]",eng,eng,eng,eng,moderate,DialyNews,y,n,y,n
