uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
62ccb4e7-0c5e-46c0-b658-376cc368555a,"A social media user, @DonMateo_X14, made a surprising prediction about Mohammed Shami's performance in the World Cup semifinal against New Zealand. On November 14, the user shared a post stating that Shami would take seven wickets, which was later confirmed to be true. This prediction has gained significant traction, with the post receiving over 2.1 million views, 49,000 likes, and 17,000 retweets. The user's ability to accurately forecast the event has sparked widespread interest and amusement.",تمت مراجعة الترجمة وتصحيحها لضمانة الدقة والفصاحة. وقد تم تعديل بعض الكلمات لتحقيق الدقة والسياقة.,Did you hear about the cricket fan who predicted Mohammed Shami's 7-wicket haul in the #WorldCup semifinal? Mind-blowing! #Cricket #Sports,هل سمعت عن مشجع الكريكيت الذي توقع أداء محمد شامي في نصف النهائي لكأس العالم؟ عقل مسدور! #كريكيت #رياضة,ara,eng_x,meta-llama_Llama-3.3-70B-Instruct,real_news,[1],/eng_x_r/meta-llama_Llama-3.3-70B-Instruct/ara/CoI_62ccb4e7-0c5e-46c0-b658-376cc368555a_ara_polish.json,eng,ara,eng,ara,eng,moderate,GlobalNews,y,n,y,n
169d1051-13b6-4d7d-b789-f196de831e40,"A controversy has arisen regarding the training costs and working conditions of cabin crew trainees at Crewlink, a company that supplies staff to Ryanair. The trainees have criticized the nearly £2,000 tuition fees for a course that may lead to employment at the airline. Additionally, the trainees are reluctant to discuss their working conditions due to contractual restrictions. This issue emerges as Ryanair's chief executive, Michael O'Leary, announces plans to reform the company's culture and move away from its 'macho' image. The airline has pledged to revamp its approach, introducing 'quiet flights' and allowing passengers a 24-hour window to change bookings.",وقعت争ة نشأت حول تكاليف التدريب وأحوال العمل لطواقم الكابينة في شركة كرو لينك، وهي شركة توفر الموظفين لشركة رايان إير. وقد انتقد الطلاب kritikawa الرسوم الدراسية البالغة التي تبلغ 2000 جنيه إسترليني تقريبا لبرنامج قد يؤدي إلى عمل في شركة الطيران. بالإضافة إلى ذلك، فإن الطلاب مترددين في مناقشة أحوال عملهم بسبب القيودات التعاقدية. وهذا يأتي في الوقت الذي يعلن فيه المدير التنفيذي لشركة رايان إير، مايكل أوليري، خططته لإصلاح ثقافة الشركة وتنفيذ صورتها 'المشاغبة'. وقد وعدت شركة الطيران أن تحول نهجتها، وستقدم 'رحلات هادئة' وتسمح للركاب بفترة 24 ساعة لتعديل حجوزاتهم.,Ryanair faces criticism over cabin crew training costs and work conditions. The airline promises to reform its culture and introduce 'quiet flights'. #Ryanair #aviation #cabincrew,تواجه رايان إير انتقادات بشأن تكاليف طواقم الكابينة وأحوال العمل. وتوعد الشركة بإصلاح ثقافتها واستقدام 'رحلات هادئة'. #رايان_إير #الطيران #طواقم_الكابينة,ara,eng_x,meta-llama_Llama-3.3-70B-Instruct,real_news,[2],/eng_x_r/meta-llama_Llama-3.3-70B-Instruct/ara/CoI_169d1051-13b6-4d7d-b789-f196de831e40_ara_rewrite_complete.json,eng,"[ara,eng]",eng,ara,eng,complete,DialyNews,n,y,y,n
951f2c24-9393-4373-a651-a6fddf29cc69,"Sir John Major has urged Conservative Eurosceptics to keep quiet, warning that their public comments may undermine David Cameron's attempts to renegotiate Britain's EU membership. He believes that appointing a lead negotiator is crucial, even if it means going against Liberal Democrat wishes.",'السير جون ميجور يحذر المحافظين الإيروسكبتيكيين من التعبير عن آرائهم، حيث حذرهم من أن يؤثروا آراءهم علنا، لأن ذلك قد يؤدي إلى ضعف موقف رئيس الوزراء في المفاوضات. ووصف قرار كاميرون بإنهاض إعادة التفاوض بريطانيا علاقتها مع الاتحاد الأوروبي بأنه 'مراهنة' قد تؤدي إلى خروج بريطانيا من الاتحاد. ويشير إلى أن يكون هناك مفاوضات حول هذا القرار.,"Former UK PM Sir John Major warns Conservative Eurosceptics to keep quiet, saying their public comments may undermine David Cameron's EU renegotiation efforts. #EUreferendum #UKpolitics",حذر السير جون ميجور المحافظين الإيروسكبتيكيين من التعبير عن آرائهم، حيث حذرهم من أن يؤثروا آراءهم علنا، لأن ذلك قد يؤدي إلى ضعف موقف رئيس الوزراء في المفاوضات. #الانتخابات_الأوروبية #سياسة_بريطانيا,ara,eng_x,meta-llama_Llama-3.3-70B-Instruct,real_news,[2],/eng_x_r/meta-llama_Llama-3.3-70B-Instruct/ara/CoI_951f2c24-9393-4373-a651-a6fddf29cc69_ara_rewrite_complete.json,eng,ara,eng,ara,eng,complete,DialyNews,n,y,y,n
68510bba-3d7c-4836-9943-99cb2d7d25ad,"Richard Brower's German shepherd, Dozer, was stolen from his backyard 18 months ago. After a long and emotional search, Brower found his dog at the Claresholm Animal Rescue Society. The reunion was a heartfelt and tearful one, with Brower's family and the rescue society staff overwhelmed with joy.",'كان الكلب الألماني لريتشارد بروير مخفيًا من فناءه قبل 18 شهرًا. بعد بحث طويل ومؤلم، قرر بروير البحث عن رفيق جديد. هذا القرار أدى به العثور على إعادة توحيد مع كلبَه في جمعية الإنقاذ للحيوان في كلاريس هولم. تمت المراجعة والتحقق من قبل فريق الخبراء.,"Man reunites with stolen dog after 18 months! Read the incredible story of Richard Brower and his German shepherd, Dozer. #dogsofinstagram #reunited #germanshepherd",إعادة اتحاد رجل مع كلبِه المختطفى بعد 18 شهرًا! اقرأ القصة المذهلة لريتشارد بروير وكلبِه الألماني دوزر. #كلب_المان #إعادة_الاجتماع #كلب_ألماني,ara,eng_x,meta-llama_Llama-3.3-70B-Instruct,real_news,[0],/eng_x_r/meta-llama_Llama-3.3-70B-Instruct/ara/CoI_68510bba-3d7c-4836-9943-99cb2d7d25ad_ara_edit.json,eng,ara,eng,ara,eng,light,DialyNews,y,n,y,n
36a83d22-7d40-44c5-935d-96c15ee64dc5,رفع ناشط تسجيل فيديو يظهر فيه طفل شجاع يتدلى من فمه خيط رُبط به ضرس من أضراسه يستوجب خلعه، فيما الطرف الآخر للخيط مثبت بطائرة ألعاب خيالية، كي يتسنى خلع الضرس بسرعة خاطفة وأمان تام، أملا بألا يتسبب ذلك بألم أو خوف للطفل. بدا الطفل مرحا وهو يستعد لإقلاع الطائرة التي ستخلع ضرسه، مع تأكيد والده على استعداد ابنه لهذه المغامرة لانهاء معاناته.,"An activist uploaded a video showing a brave child with a string hanging from his mouth tied to a tooth that needs to be extracted, while the other end of the string is attached to a fantasy toy plane, so that the tooth can be extracted quickly and safely, hoping that this will not cause the child any pain or fear. The child looked happy as he prepared to launch the plane that would pull out his tooth, with his father confirming that his son was ready for this adventure to put an end to his suffering.",شاهد طفلاً شجاعاً يسحب ضرسه بطائرة ألعاب! #خلع_الضرس #مغامرات_الأطفال #حلول_مبتكرة,Watch a brave kid extract his tooth with a toy plane! #ToothExtraction #KidsAdventures #InnovativeSolutions,ara,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[13, 5]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ara/CoI_36a83d22-7d40-44c5-935d-96c15ee64dc5_ara_medium_135.json,ara,eng,ara,eng,ara,medium,MassiveSum,y,n,y,n
28f57faf-77d6-45ab-8825-367dd76441bf,بدء قادة المال والأعمال في العالم بالتوافد على السعودية لحضور مؤتمر الاستثمار السنوي الذي يبدأ في الرياض غدًا؛ ما يظهر أن السعودية لا تزال الوجهة الرئيسة لأبرز المؤسسات الدولية رغم الحملات التي استهدفت المملكة بعد مقتل الصحافي السعودي جمال خاشقجي. ويستقطب المؤتمر كبار الزعماء السياسيين والماليين والاقتصاديين في العالم وسط ترقب محموم من قبل كبريات المؤسسات المالية العالمية حول خطط شركة أرامكو السعودية طرح بعض أسهمها للبيع، والتي من المتوقع أن تصل قيمتها إلى مليارات الدولارات. هذا المؤتمر يعتبر فرصة هامة لتعزيز العلاقات الاقتصادية بين السعودية ودول العالم، وسيشهد مشاركة العديد من الشخصيات المالية والسياسية البارزة.,"The business leaders of the world have started to flock to Saudi Arabia to attend the annual investment conference, which begins in Riyadh tomorrow; This shows that Saudi Arabia remains the primary destination for the most prominent international institutions, despite the campaigns that targeted the kingdom following the killing of Saudi journalist Jamal Khashoggi. The conference will bring together top political, financial and economic leaders from around the world amid intense anticipation from major global financial institutions about Saudi Aramco's plans to sell some of its shares, which are expected to be worth billions of dollars. This conference presents a significant opportunity to strengthen economic ties between Saudi Arabia and countries worldwide, and will feature the participation of numerous prominent financial and political figures.",مؤتمر الاستثمار السنوي في السعودية! حضور قادة الأعمال والسياسيين البارزين لمناقشة الفرص الاقتصادية وتعزيز العلاقات. #السعودية #الاستثمار #الاقتصاد,Saudi Arabia hosts annual investment conference! Top business leaders & politicians attend to discuss economic opportunities & strengthen ties. #SaudiArabia #Investment #Economy,ara,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[12, 3]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ara/CoI_28f57faf-77d6-45ab-8825-367dd76441bf_ara_medium_123.json,ara,eng,ara,eng,ara,medium,MassiveSum,y,n,y,n
0ad732e7-002a-496d-854a-ba2988e619dc,خلال مواجهة مع قوات الأمن، قتل شخصان يشتبه في انتمائهما إلى جماعات إرهابية، كانا يحملان قنبلة مولتة، في منطقة جنوب الفلبين. وقالت مصادر أمنية إن المشتبه بهما كانا يستقلان دراجة نارية عندما تم إيقافهما في نقطة تفتيش، قبل أن يحاولا الفرار ويفتحا النار على الجنود. وأفادت الأنباء أن القنبلة التي وجدت مع المشتبه بهما كانت مصنوعة من قذيفة هاون، وكانت مخبأة في حقيبة أوراق. ويعتقد أن المشتبه بهما كانا على صلة بجماعة «مناضلي بانجسامورو الإسلامية من أجل الحرية» الإرهابية، حيث كانوا يخططون لشن هجوم إرهابي في المنطقة.,"During a confrontation with security forces, two individuals suspected of being affiliated with terrorist organizations were killed while carrying a live explosive device in the southern Philippines. According to security sources, the suspects were riding a motorcycle when they were stopped at a checkpoint, prior to attempting to flee and opening fire on the soldiers. Reports suggested that the explosive device found in the suspects' possession was fashioned from a mortar shell and concealed within a paper bag. It is believed that the suspects had ties to the Bangsamoro Islamic Freedom Fighters, a terrorist organization, and were planning to execute a terrorist attack in the region.",新闻: مقتل مشتبه بهما في إرهاب خلال اشتباك مع قوات الأمن الفلبينية! كانوا يحملون قنبلة حية وخططوا لهجوم إرهابي في جنوب الفلبين #الإرهاب #الفلبين #الأمن,BREAKING: 2 suspected terrorists killed in shootout with Philippine security forces! They were carrying a LIVE BOMB and planning a terrorist attack in the southern Philippines #terrorism #philippines #security,ara,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[34, 27]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ara/CoI_0ad732e7-002a-496d-854a-ba2988e619dc_ara_critical_3427.json,ara,eng,"[zho,ara]",,ara,critical,MassiveSum,n,y,y,n
2a787f2b-86b3-4fa9-8c40-902eeceb44c1,يحمل طب الحشود على عاتقه المخاطر الصحية للحشود والتجمعات الجماهيرية، ويضع على أساسها الاستراتيجيات التي تسهم في تقديم خدمات صحية فعالة أثناء هذه الأحداث؛ حيث اعتادت السعودية على احتضان أكبر تجمع للبشرية من 200 دولة، بواقع أكثر من 20 مليون زائر سنوياً. وقد نوّه تودروس أدهانوم، مدير عام منظمة الصحة العالمية، في وقت سابق بأن المملكة أحرزت نجاحات مستمرة بصفتها الدولة المستضيفة لأكبر مناسبة دينية ذات تجمع بشري في العالم، مبيناً أن مفتاح النجاح في المحافظة على صحة وسلامة التجمعات البشرية يكمن في الاستعداد والجاهزية والتعاون الدولي. وقد عملت السعودية على تطوير كافة التدابير الاستباقية والوقائية من تخطيط وتأهب للوقوف على مستويات الخدمات الطبية الطارئة والمستشفيات، ومكافحة العدوى، وتعزيز نقاط الدخول، وفي مجالات تقدير المخاطر والحد منها والقيادة والتحكم والاتصال وتوعية الجماهير والتنسيق على كافة الأصعدة الوطنية والإقليمية والدولية.,"Crowd medicine carries on its shoulders the health risks of crowds and mass gatherings, and bases on it strategies that contribute to providing effective health services during these events; where Saudi Arabia has accustomed to embracing the largest human gathering from 200 countries, with more than 20 million visitors annually. Dr. Tedros Adhanom, Director-General of the World Health Organization, previously noted that the Kingdom has achieved continuous successes as the host country for the largest religious event with human gatherings in the world, indicating that the key to success in maintaining the health and safety of human gatherings lies in preparedness, readiness and international cooperation. Saudi Arabia has developed all preventive and precautionary measures for planning and preparedness to stand on the levels of emergency medical services and hospitals, infection control, strengthening entry points, and in areas of risk assessment and reduction, leadership, control, communication, crowd awareness and coordination at all national, regional and international levels.",تعتبر المملكة العربية السعودية رائدة في مجال طب الحشود، مع التركيز القوي على المخاطر الصحية والتجمعات الجماهيرية. مع أكثر من 20 مليون زائر سنويا، قامت المملكة بتطوير استراتيجيات مبتكرة لتوفير خدمات صحية فعالة. #طب_الحشود #السعودية #الرعاية_الصحية,"Saudi Arabia is a leader in crowd medicine, with a strong focus on health risks and mass gatherings. With over 20 million visitors annually, the Kingdom has developed innovative strategies to provide effective health services. #CrowdMedicine #SaudiArabia #Healthcare",ara,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[19, 27]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ara/CoI_2a787f2b-86b3-4fa9-8c40-902eeceb44c1_ara_critical_1927.json,ara,eng,ara,eng,ara,critical,MassiveSum,n,y,y,n
be94e643-ca72-42d9-ae30-897627c4b842,أكد مسؤولون باكستانيون أن مستشاري الأمن القومي الهندي والباكستاني قد التقوا سرا في العاصمة التايلندية بانكوك في 26 ديسمبر (كانون الأول) الماضي للبحث في أساليب تفادي المزيد من التصعيد لحالة التوتر بين الدولتين. وخلال اللقاء، ناقش الطرفان إمكانية تخفيف حدة التوتر على امتداد ما يعرف بخط السيطرة في كشمير. وكان الجيشين الهندي والباكستاني واصلا تبادل إطلاق النار الكثيف على امتداد الخط الحدودي على مدار الأسبوعين الماضيين. وعقد الاجتماع بين مستشاري الأمن القومي الهندي، الجنرال المتقاعد، ناصر خان جنوا، ونظيره الباكستاني أجيت دوفال، فيما يعرف بـ«الساحة المحايدة» في العاصمة التايلندية. وأذيع الخبر أولا من خلال الإعلام الهندي وتلاه تأكيد للخبر من قبل مسؤولين باكستانيين. وكانت المباحثات بين الدولتين قد توقفت عقب اعتداء مومباي الإرهابي عام 2008 الذي أودى بحياة نحو 200 شخص في عملية يقال إن جماعة مسلحة باكستانية قد نفذتها، ومنذ ذلك الحين ازدادت حدة التوتر بين العاصمتين. ففي كلمة ألقاها أمام حشد جماهيري في إسلام آباد في 18 ديسمبر الماضي، حذر الجنرال جنوا من أن «الاستقرار في جنوب آسيا بات في مهب الريح وأن قيام حرب نووية بات غير مستبعد». وأفاد بأن الحاجة باتت ماسة لبذل المزيد من الجهود لعودة الاستقرار إلى جنوب آسيا.وأفاد مسؤولون باكستانيون بأن الجنرال جنوا أثار خلال اللقاء قضية فتح القوات الهندية للنار على المدنيين بصورة عشوائية في الجانب الباكستاني من «خط السيطرة» الفاصل بين البلدين. وأفاد مسؤولون بأن الجانبين ناقشا كافة وسائل التهدئة وتخفيف حدة التوتر على الخط الذي شهد 820 حالة خرق لقرار وقف إطلاق النار حتى الآن، وفق صحيفة «إكسبريس». فعقب الاعتداء الإرهابي الأخير على «خط السيطرة» الذي أدى إلى مقتل 20 جنديا هنديا على يد مسلحين في سبتمبر (أيلول) 2016 سدت الهند القنوات الدبلوماسية كافة مع باكستان. ورافق ذلك توقف اللقاءات بين رئيسي وزراء البلدين التي كانت تجري عادة على هامش المنتديات الدولية التي يحضرها المسؤولون من البلدين.,"Pakistani officials confirmed that Indian and Pakistani national security advisers met secretly in Bangkok on December 26 to discuss ways to avoid further escalation of tensions between the two countries. During the meeting, the two sides discussed the possibility of reducing tension along the Line of Control in Kashmir. The Indian and Pakistani armies have been exchanging heavy fire along the border over the past two weeks. The meeting was held between Indian National Security Adviser, retired General Nasser Khan Janjua, and his Pakistani counterpart, Ajit Doval, in what is known as the 'neutral zone' in the Thai capital. The news was first reported by the Indian media, followed by confirmation from Pakistani officials. Talks between the two countries had stalled after the 2008 Mumbai terrorist attack, which killed nearly 200 people in an operation allegedly carried out by a Pakistani militant group, and since then, tensions between the two capitals have increased. In a speech delivered to a crowd in Islamabad on December 18, General Janjua warned that 'stability in South Asia is now in jeopardy and the possibility of a nuclear war is not unlikely'. He stated that there is a need for more efforts to restore stability to South Asia. Pakistani officials said that General Janjua raised the issue of Indian forces firing on civilians randomly on the Pakistani side of the Line of Control during the meeting. Officials said that the two sides discussed all means of calming and reducing tension on the line, which has seen 820 ceasefire violations so far, according to the Express Tribune. Following the latest terrorist attack on the Line of Control, which killed 20 Indian soldiers at the hands of militants in September 2016, India closed all diplomatic channels with Pakistan. This was accompanied by a halt in meetings between the prime ministers of the two countries, which used to take place on the sidelines of international forums attended by officials from both countries.",خبر عاجل: مستشارا الأمن القومي الهندي والباكستاني يلتقيان سرا في بانكوك لمناقشة خفض التصعيد! #الهند #باكستان #بانكوك #التوتر,Breaking: Indian and Pakistani national security advisers meet secretly in Bangkok to discuss de-escalation of tensions! #India #Pakistan #Bangkok #Tensions,ara,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[21, 5]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ara/CoI_be94e643-ca72-42d9-ae30-897627c4b842_ara_critical_215.json,ara,eng,ara,eng,ara,critical,MassiveSum,n,y,y,n
7bbe98b1-4007-42e9-902b-b17d643a09d2,በጋምቤላ ክልል እስር ቤቶች የመብት ጥሰቶች እየተፈፀሙ መሆናቸውን ኢሰመኮ አስታወቀ። ይህ በኢትዮጵያ የሰብዓዊ መብት ሚና ነው።,"In the Gambela region prisons, human rights abuses are being committed, ISMEK reported. This is a human rights concern in Ethiopia.",بالعربية: تقارير عن انتهاكات حقوق الإنسان في سجون منطقة غامبيلا، إثيوبيا! #حقوق_الإنسان #إثيوبيا #غامبيلا,"Breaking: Human rights abuses reported in Gambela region prisons, Ethiopia! #HumanRights #Ethiopia #Gambela",ara,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[27, 7]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ara/CoI_7bbe98b1-4007-42e9-902b-b17d643a09d2_ara_medium_277.json,amh,eng,ara,eng,amh,medium,MassiveSum,y,n,y,n
