uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
bc15297e-dfee-4a3b-a7ac-66c5a12701b2,"Ukraine is days away from getting a new president, though it's seemingly much longer from securing a lasting peace. The clashes are centered in the Luhansk and Donetsk regions, where pro-Russian separatists have seized two military bases. Ukrainian National Guard troops blocked the main road between Donetsk and Slovyansk on Thursday. U.S. President Barack Obama has threatened more economic sanctions against Russia unless it takes key steps. These steps include recognizing Petro Poroshenko as Ukraine's president when he's inaugurated on Saturday.","'Ukuraina na kan iyaka da samun sabon shugaba, amma har yanzu tana fama da samun zaman lafiya na dindindin.', 'Munanan da suka shafi rayukan jama'a sun bayyana a yankunan Luhansk da Donetsk.', 'Gwamnatin Ukuraina ta toshe hanyar da ke tsakanin garuruwan Donetsk da Slovyansk.', 'Shugaban Amurka Barack Obama ya yi barazanar kara takunkumi a kan Rasha.', 'Ya kamata Rasha ta amince da Petro Poroshenko a matsayin shugaban Ukuraina.''",'Ukraine on brink of new presidency amid ongoing conflict #UkraineCrisis #PeaceTalks','Ukuraina na kan iyaka da samun sabon shugaba a tsakanin rikici #RikicinUkuraina #TattaunawarZamanLafiya',hau,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hau/CoI_bc15297e-dfee-4a3b-a7ac-66c5a12701b2_hau_edit.json,eng,hau,eng,hau,eng,light,DialyNews,y,n,y,n
d68fb955-80ca-4f4c-b363-60dd6e4154fc,"The celebrated author Gabriel Garcia Marquez left behind an unpublished manuscript with the working title 'We'll See Each Other in August' upon his passing. The manuscript, not published during his lifetime, is under consideration by his family for posthumous release. Cristobal Pera from Penguin Random House Mexico stated that Garcia Marquez's family is deliberating on whether to publish the manuscript and which publishing house will handle the rights.",The translation is fluent and culturally appropriate. Minor adjustments were made to ensure natural language usage in Hausa.,Discover the unpublished manuscript of Nobel laureate Gabriel Garcia Marquez titled 'We'll See Each Other in August'! #GarciaMarquez #LiteraryLegacy,Gano takardar da ba a buga ba ta mawallafin tarihi Gabriel Garcia Marquez mai taken 'Mu hadu a watan Agusta'! #GarciaMarquez #LegacyLiterary,hau,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hau/CoI_d68fb955-80ca-4f4c-b363-60dd6e4154fc_hau_rewrite_moderate.json,eng,eng,eng,"[hau,eng]",eng,moderate,DialyNews,y,n,y,n
c7743499-fc31-4d7b-bfff-221e041d10c4,"Ingrid Betancourt, a former Colombian presidential candidate, was held captive by FARC rebels for six years. In an interview with Larry King, she described her ordeal as 'hell'. Betancourt was rescued on July 2, 2008, in a complex operation. During her captivity, she faced harsh conditions and was aware that her captors had orders to kill her if a rescue was attempted. Despite the trauma, Betancourt expressed a desire to forgive her captors.","'Ingrid Betancourt, 'yar takarar shugaban kasar Colombia ce, wadda FARC ta tsare tsawon shekara shida. Ta bayyana a cikin wata hira da Larry King cewa an tsare ta kamar yadda 'aljanna' take. An 'ance ta a ranar 2 ga Yuli, 2008, a wani aikin da aka shirya sosai. A lokacin da aka tsare ta, ta fuskanci wahala sosai kuma ta san cewa masu tsare ta sun karbi umarni don kashe ta idan aka yi kokarin ceto ta. Ko da yake ta fuskanci wahala, Betancourt ta bayyana bukatar ta na gafarta wa masu bautar.",Ingrid Betancourt on her 6-year ordeal with FARC rebels: 'It was hell.' She was rescued in a daring operation & now calls for forgiveness. #IngridBetancourt #FARC,Ingrid Betancourt game da wahalar da ta sha tsawon shekara 6 da FARC: 'Ta kasance kamar aljanna.' An ceto ta a wani aiki mai baci & yanzu tana kira da a gafarta. #IngridBetancourt #FARC,hau,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hau/CoI_c7743499-fc31-4d7b-bfff-221e041d10c4_hau_polish.json,eng,hau,eng,"[eng,hau]",eng,moderate,DialyNews,y,n,y,n
2d193090-6205-42ad-8e58-87f9d7a6e6d8,Rafael Nadal defeated Tomas Berdych 6-2 6-4 in the Rome Masters semifinals on Saturday. Nadal will face Roger Federer in the final after Federer's 7-6 6-4 win over Benoit Paire. Serena Williams reached the women's final with a 6-3 6-0 victory over Simona Halep.,Rafael Nadal ya ci Tomas Berdych da ci 6-2 6-4 a wasan kusa da na karshe na Rome Masters a ranar Asabar. Nadal zai fafata da Roger Federer a wasan karshe bayan Federer ya doke Benoit Paire da ci 7-6 6-4. Serena Williams ta samu tikitin zuwa wasan karshe na mata bayan ta doke Simona Halep da ci 6-3 6-0.,Rafael Nadal takes on Roger Federer in the #RomeMasters final after defeating Tomas Berdych 6-2 6-4! Serena Williams cruises into the women's final with a 6-3 6-0 win over Simona Halep #Tennis,Rafael Nadal zai fafata da Roger Federer a wasan karshe na #RomeMasters bayan ya doke Tomas Berdych 6-2 6-4! Serena Williams ta shiga wasan karshe na mata da nasara mai ci 6-3 6-0 a kan Simona Halep #Tennis,hau,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hau/CoI_2d193090-6205-42ad-8e58-87f9d7a6e6d8_hau_edit.json,eng,hau,eng,"[hau,eng]",eng,light,DialyNews,y,n,y,n
d2533c2d-11fe-436f-af14-1d65016db8ff,"Country music's rising stars, Florida Georgia Line, are gaining momentum before their debut album 'Here's To The Good Times' hits stores on December 4. Tyler Hubbard and Brian Kelley, the duo behind Florida Georgia Line, have been chart-topping with their hit single 'Cruise'. Notable country artists Keith Urban, Taylor Swift, and Jennifer Nettles have praised 'Cruise'. Florida Georgia Line draws inspiration from hip-hop and rap, despite being a country duo, showcasing their innovative approach to music. They've toured with Jake Owen and Love and Theft, and are set to join Luke Bryan on his 2013 tour.","'Ƙungiyar mawakan ƙasar Florida Georgia Line na jawo hankali kafin fitowar albam ɗin su na farko 'Here's To The Good Times' a ranar 4 ga Disamba. Tyler Hubbard da Brian Kelley, waɗanda suka kafa Florida Georgia Line, sun kasance a saman jadawalin waƙoƙin ƙasar tare da waƙar su 'Cruise'. Fitattun mawakan ƙasar kamar Keith Urban, Taylor Swift, da Jennifer Nettles sun yaba waƙar 'Cruise'. Florida Georgia Line na samun ilham daga hip-hop da rap, duk da kasancewarsu a matsayin duo na ƙasa, suna nuna hanyar da suke bi a wajen waƙa. Sun yi yawon shakatawa tare da Jake Owen da Love and Theft, kuma za su shiga Luke Bryan a yawon shakatawa na 2013.",Get ready for 'Here's To The Good Times' by Florida Georgia Line on Dec 4! Their hit single 'Cruise' is loved by country stars like Keith Urban & Taylor Swift! #FloridaGeorgiaLine #Cruise #CountryMusic,'Ku shirya don 'Here's To The Good Times' na Florida Georgia Line a ranar 4 ga Disamba! Waƙar su 'Cruise' na ƙaunar mawakan ƙasar kamar Keith Urban da Taylor Swift! #FloridaGeorgiaLine #Cruise #WaƙoƙinƘasa,hau,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hau/CoI_d2533c2d-11fe-436f-af14-1d65016db8ff_hau_rewrite_light.json,eng,"[hau,eng]",eng,"[hau,eng]",eng,light,DialyNews,y,n,y,n
f7b2650c-4b33-4e66-8d7d-5fe7df4fb627,"A 'brave 9-year-old boy', James Barney Jr, is 'recovering in hospital' after he 'wrestled a 9-foot, 400lb alligator' off him 'with his bare hands'. He 'plans to make a necklace' from 'a tooth doctors found embedded in a wound on his back'. James 'described how it was a hot day' so he had 'parked his bike and jumped into Lake Tohopekaliga' - 'a lake that people are forbidden to swim in' - when he 'felt something brush against his leg'.","'Yaro mai ƙarfin hali', James Barney Jr, 'yana jurewa a asibiti' bayan 'yaƙinsa da gwaɓi mai girma'. 'Ya shirya yin adornment daga hakoran gwaɓi'. 'James ya bayyana yadda ya ji komai ya buga ƙafarsa a tafkin Tohopekaliga.'",Brave 9-year-old James Barney Jr fights off 400lb alligator with bare hands! 'I want to wear its tooth as a necklace' #AlligatorAttack #BraveKid,'Yaro mai ƙarfin hali' James Barney Jr ya yi faɗa da gwaɓi mai nauyin 400lb da bakkansa! 'Ina son sa hakorinsa a matsayin zane' #GwaɓiAttack #YaroMaiKarfinHali,hau,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hau/CoI_f7b2650c-4b33-4e66-8d7d-5fe7df4fb627_hau_polish.json,eng,"[hau,eng]",eng,"[hau,eng]",eng,moderate,DialyNews,y,n,y,n
3b749337-0d01-4dd1-ab21-f436ff622ad8,"To make your guests feel welcome, it's essential to create a comfortable and inviting guest bedroom. A well-designed bedroom should be a sanctuary that promotes rest and relaxation. Consider factors like color, bedding, and decluttering to create a welcoming atmosphere. Christopher Grubb, a renowned interior designer, suggests using soothing colors like green or blue and adding texture with wallpaper or fabric. The bed should be the focal point of the room, with a comfortable and inviting bedding arrangement. Decluttering the room and providing privacy and practicality are also crucial for making guests feel at ease.","Don haka 'makon tafiya' su ji 'suna karɓa', yana da mahimmanci a ƙirƙiri ɗakin bacci mai jin daɗi da kuma maraba. Ɗakin bacci da aka tsara da kyau ya kamata ya zama wurin bautar da ke haɓaka hutawa da shakatawa. Yi la'akari da abubuwa kamar launi, kwanciyar hankali, da ƙazamar da ke ƙirƙirar yanayi mai maraba. Christopher Grubb, mai tsara gidauniya na tunani, ya ba da shawarar yin amfani da launuka masu daɗaɗawa kamar kore ko shuɗi da kuma ƙara yawan zane da kayan ado. Gado ya kamata ya zama babban abun nufi na ɗakin, tare da kwanciyar hankali da kuma maraba da juna.","Create a welcoming guest bedroom with soothing colors, comfortable bedding, and a clutter-free space! #GuestBedroom #HomeDecor #Comfort","Ƙirƙiri ɗakin bacci mai maraba tare da launuka masu daɗaɗawa, kwanciyar hankali, da kuma wurin bautar da ba shi da ƙazama! #DakinBacci #SanyaGida #JinDadi",hau,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hau/CoI_3b749337-0d01-4dd1-ab21-f436ff622ad8_hau_rewrite_light.json,eng,"[hau,eng]",eng,hau,eng,light,GlobalNews,y,n,y,n
7ae75a8d-f4fa-4c74-84ba-1b4dd3266ad5,"LONDON, England (CNN) -- The 2002 World Cup was the first tournament held in Asia, bringing the world's attention to the continent's footballing talents. Michael Chopra was the first player of Indian parentage to play and score in the English Premier League. The event was Asia's chance to showcase its footballing prowess, with South Korea reaching the semi-finals. However, few footballers of Asian origin have made an impact outside the Asian Federation Cup (AFC) since then. A new initiative by Chelsea FC aims to find talented youngsters from Asian backgrounds. Chelsea has partnered with the Football Association (FA), Kick It Out, and the Asian Media Group for 'The Search for an Asian Star' event in May at Stamford Bridge, London. The search is open to players under 12, 13, and 14 from London and south-east England with Indian, Pakistani, Sri Lankan, or Bangladeshi backgrounds. 'We hope this competition inspires Asian youngsters,' said Graeme Le Saux, former Chelsea and England full-back.","LONDON, Ingila (CNN) -- Gasar Cin Kofin Duniya ta 2002 ita ce ta farko a Asiya kuma ta ja hankalin duniya ga 'kwararrun kwallon kafa na nahiyar. Michael Chopra shi ne dan wasa na farko daga Indiya da ya buga kuma ya zura kwallo a gasar Premier ta Ingila. Wannan ya baiwa Asiya damar nuna karfin ta a kwallon kafa, kuma Koriya ta Kudu ta kai kwata-kwata. Sai dai 'dan wasan Asiya kaɗan ne suka yi tasiri a wajen gasar AFC. Chelsea FC na neman 'kwararrun matasa daga asalin Asiya a UK. Chelsea ta haɗu da FA, Kick It Out, da Asian Media Group don 'The Search for an Asian Star' a Mayu. Neman ya buɗe ga 'danda wasa 'ƙarƙashin shekaru 12, 13, da 14 daga London da kudu maso gabashin Ingila masu asalin Indiya, Pakistan, Sri Lanka, ko Bangladesh. 'Muna fatan wannan gasar za ta zaburar da matasa 'danda Asiya,' in ji Graeme Le Saux.",Discover the next big thing in football! 'The Search for an Asian Star' initiative by @ChelseaFC is on the hunt for talented young players from Asian backgrounds in the UK. #AsianStar #ChelseaFC #Football,'Kalli sabuwar babbar dabaru a kwallon kafa! Shirin 'The Search for an Asian Star' na @ChelseaFC na neman 'kwararrun matasa daga asalin Asiya a UK. #AsianStar #ChelseaFC #KwallonKafa,hau,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hau/CoI_7ae75a8d-f4fa-4c74-84ba-1b4dd3266ad5_hau_edit.json,eng,"[eng,hau]",eng,"[hau,eng]",eng,light,DialyNews,y,n,y,n
be64d7e2-5daa-495b-ad0d-a4b7d0cca38d,"'CNN Student News' aired on 'January 4, 2013', covering 'Syria' and 'Newtown, Connecticut'. The program offered 'PDF maps' for download and a 'transcript' was available with a possible delay.","'CNN Student News' ta watsa shirye-shiryen su a 'Janairu 4, 2013', wanda ya kunshi labarai akan 'Syria' da 'Newtown, Connecticut'. An samar da 'haritalolin PDF' don zazzagewa kuma 'rubutun shirin' ya samu jinkiri kadan.","'Catch up on #CNNStudentNews from Jan 4, 2013! The show covered 'Syria' & 'Newtown, Connecticut' with downloadable #PDF #maps & a #transcript available online! #news'","'Kalli #CNNStudentNews na 'Janairu 4, 2013'! Shiryen ya kunshi 'Syria' da 'Newtown, Connecticut' tare da #haritalolin #PDF da #rubutunshirin a kan layi! #labarai'",hau,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hau/CoI_be64d7e2-5daa-495b-ad0d-a4b7d0cca38d_hau_polish.json,eng,"[hau,eng]",eng,"[hau,eng]",eng,moderate,DialyNews,y,n,y,n
02e3d858-264c-4ab1-9df4-b3e682e4e5c7,"It's widely regarded as one of the 'coolest' fashion retailers on the high street, so who better to showcase Topshop's Christmas collection than Brit 'It' girl, Cara Delevingne? The supermodel, who was the face of Topshop's AW14 range, has been unveiled as the face of the sparkly Christmas campaign. As well as modelling the seasonal offerings in a set of 'dazzling' campaign shots, Cara puts her theatrical talents to good use in an accompanying campaign video.","An yi la'akari da shi a matsayin daya daga cikin 'coolest' masu sayar da kayan kwalliya a kan titin sama, to wanda ya fi dacewa don nuna tattara kayan kwalliya na Topshop na Kirsimeti fiye da 'It girl' na Brit, Cara Delevingne?","Get ready to shine this party season with Topshop's dazzling Christmas collection, featuring the one and only Cara Delevingne! #TopshopChristmas #CaraDelevingne","Shirya ku haskaka a wannan kakar wasa tare da tattarawar Kirsimeti na Topshop, wanda ke nuna Cara Delevingne kadai! #TopshopKirsimeti #CaraDelevingne",hau,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hau/CoI_02e3d858-264c-4ab1-9df4-b3e682e4e5c7_hau_edit.json,eng,"[hau,eng]",eng,"[hau,eng]",eng,light,DialyNews,y,n,y,n
