uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
a6035b51-55d9-4740-95ee-195b5bd7879f,"Washington (CNN) -- As the Senate casts its first round of votes on immigration reform this week, a divided Republican conference in the House may be a roadblock to any immigration measure passing Congress this year. House Speaker John Boehner faces a critical test due to the internal split within the Republican party. During a closed meeting last week, two Senate GOP ""Gang of Eight"" members -- Marco Rubio and Jeff Flake -- faced over 100 Republican members of the conservative Republican Study Committee (RSC). Alabama GOP Rep. Mo Brooks said those senators explaining the merits of the plan ""were doing their best to put lipstick on a pig."" Georgia Rep. Tom Price, a leading conservative, said it was ""highly unlikely"" the majority of House Republicans would vote for a bill similar to the Senate deal. There is a bloc of House GOP members, including Rep. Paul Ryan, pushing for a bipartisan approach similar to the Senate's plan, which includes a path to citizenship. Rep. Raul Labrador dropped out of the House bipartisan immigration group, citing frustration over not getting support for his detailed proposal on undocumented workers' access to taxpayer-funded health care benefits. House Judiciary Committee Chairman Bob Goodlatte disagrees with the Senate Democrats' strategy, preferring to move discrete immigration measures through his committee. Boehner is careful not to signal whether he will move immigration in one package or allow votes on separate bills, stressing that any legislation would follow ""regular order.""","Washington (CNN) -- Terwyl die Senaat sy eerste ronde van stemminge oor immigrasiehervorming hierdie week uitvoer, kan 'n verdeelde Republikeinse konferensie in die Huis 'n padblokkade wees vir enige immigrasiewet wat deur die Kongres hierdie jaar gaan. Huis Speaker John Boehner staar 'n kritieke toets in die gesig as gevolg van die interne verdeeldheid binne die Republikeinse party. Tydens 'n geslote vergadering verlede week het twee Senaat GOP ""Gang of Eight"" lede -- Marco Rubio en Jeff Flake -- meer as 100 Republikeinse lede van die konserwatiewe Republikeinse Studiekomitee (RSK) gekonfronteer. Alabama GOP Rep. Mo Brooks het gesê dat die senatore wat die plan se meriete verduidelik het ""hulle beste gedoen het om lipstiffie op 'n vark te sit."" Georgia Rep. Tom Price, 'n leidende konserwatief, het gesê dit is ""hoogs onwaarskynlik"" dat die meerderheid van die Huis Republikeine sou stem vir 'n wetsontwerp soortgelyk aan die Senaat se ooreenkoms. Daar is 'n blok Huis GOP lede, insluitend Rep. Paul Ryan, wat 'n tweepartydige benadering soortgelyk aan die Senaat se plan, wat 'n pad na burgerskap insluit, steun. Rep. Raul Labrador het uit die Huis se tweepartydige immigrasiegroep getree en frustrasie uitgespreek oor die gebrek aan ondersteuning vir sy gedetailleerde voorstel oor ongedokumenteerde werkers se toegang tot belastingbetaler-gefinansierde gesondheidsorgvoordele. Huis Regterlike Komitee Voorsitter Bob Goodlatte verskil met die Senaat Demokrate se strategie en verkies om diskrete immigrasiewetgewing deur sy komitee te beweeg. Boehner is versigtig om nie te sinspeel of hy immigrasiestappe in een pakket sal beweeg of stemme oor afsonderlike wette sal toelaat nie, en beklemtoon dat enige wetgewing ""gereelde orde"" sal volg.",Breaking: Immigration reform faces hurdles in the House as Republicans are divided on the issue. Will Speaker John Boehner find a way to move forward? #ImmigrationReform #HouseGOP,Breaking: Immigrasiehervorming staar hürles in die Huis in terwyl Republikeine verdeel is oor die kwessie. Sal Speaker John Boehner 'n manier vind om voort te gaan? #Immigrasiehervorming #HuisGOP,afr,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/afr/CoI_a6035b51-55d9-4740-95ee-195b5bd7879f_afr_edit.json,eng,"[eng,afr]",eng,"[afr,eng]",eng,light,DialyNews,y,n,y,n
f77632f3-627c-4b68-8adb-2153a683c9d9,"Christopher Dorner's ex-girlfriend, Arianna Williams, said he struggled to adjust after his military career. Dorner was accused of killing four people in a revenge campaign against the LAPD. Williams noted that Dorner wasn't good at expressing his emotions.","Christoper Dorner se voormalige meisie, Arianna Williams, het gesê hy het gesukkel om aan te pas na sy militêre loopbaan. Dorner is daarvan beskuldig dat hy vier mense vermoor het as deel van 'n vendetta teen die LAPD. Williams het opgemerk dat Dorner nie goed was om sy emosies uit te druk nie.",Breaking: Ex-girlfriend of fugitive ex-cop Christopher Dorner speaks out! 'He bottled up his emotions' #ChristopherDorner #LAPD,'Voormalige meisie van voortvlugtende eks-polisieman Christopher Dorner praat uit! 'Hy het sy emosies opgekrop'' #ChristopherDorner #LAPD,afr,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/afr/CoI_f77632f3-627c-4b68-8adb-2153a683c9d9_afr_edit.json,eng,afr,eng,afr,eng,light,DialyNews,y,n,y,n
95a7a606-172a-4f7b-bd92-5f189efee4b0,"The head of the civil service, Sir Bob Kerslake, faced an uncertain future as he received lukewarm backing from Downing Street. David Cameron's spokesman denied claims that the Prime Minister sought to oust Sir Bob Kerslake over the slow pace of reform. A recent progress report revealed that merely seven of 18 targets for civil service reform had been achieved. Critics have questioned Sir Bob Kerslake's effectiveness, dubbing him 'Bungalow Bob' due to perceived shortcomings.","Die hoof van die staatsdiens, sir Bob Kerslake, het 'n onsekere toekoms in die gesig gehad weens slap ondersteuning van Downing Street. David Cameron se woordvoerder het ontken dat die Eerste Minister sir Bob Kerslake wou ontslaan weens die stadige hervormingstempo.  'n Onlangse vorderingsverslag het getoon dat slegs sewe van die 18 teikens vir staatsdienshervorming bereik is. Kritici het sir Bob Kerslake se effektiwiteit bevraagteken en hom 'Bungalow Bob' genoem.",Uncertain future for Sir Bob Kerslake as No 10 support wavers! 'Bungalow Bob' faces criticism over slow Whitehall reform pace. #CivilServiceReform #UKPolitics,Onsekere toekoms vir sir Bob Kerslake toe No 10 se ondersteuning verswak! 'Bungalow Bob' staar kritiek oor stadige tempo van Whitehall-hervorming in die gesig. #Staatsdienshervorming #UKPolitiek,afr,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/afr/CoI_95a7a606-172a-4f7b-bd92-5f189efee4b0_afr_rewrite_light.json,eng,"[afr,eng]",eng,"[afr,eng]",eng,light,DialyNews,y,n,y,n
d0ba7f9f-583a-4d56-baa2-b2f2bb74a37c,"BENGALURU: Chief of Naval Staff Admiral R Hari Kumar said on Saturday that the Indian Navy is on 'standby' and has deployed assets for potential evacuation operations in West Asia. The Navy has units deployed in the Gulfs of Oman and Aden, and the Red Sea. India is providing relief materials to Gaza, and the Navy is ready to undertake tasks as directed by the government. Admiral Kumar outlined plans for the Navy's growth to around 165-170 ships and submarines by 2035. 'We have 67 ships and submarines under construction, and an acceptance of necessity has been given for another 45 ships and submarines.' Chief of Defence Staff General Anil Chauhan highlighted future security challenges driven by global geopolitics and technology.","BENGALURU: Hoof van die vlootpersoneel, admiraal R Hari Kumar, het Saterdag gesê dat die Indiese vloot gereed is om evacuasie-operasies in Wes-Asië uit te voer indien nodig. Die vloot is ontplooi in die Golfe van Oman en Aden, en die Rooi See. Indië is besig om noodlenigingmateriaal aan Gaza te verskaf, en die vloot is gereed om enige taak uit te voer soos deur die regering opgedra. Admiraal Kumar het die vloot se groeiplanne tot ongeveer 165-170 skepe en duikbote teen 2035 uiteengesit.",India's Navy is on 'standby' for evacuation ops in West Asia! 'We're ready to help as directed by govt.' - Admiral R Hari Kumar #IndianNavy #WestAsia,Indië se vloot is op 'standby' vir evacuasie-operasies in Wes-Asië! 'Ons is gereed om te help soos deur die regering gerig.' - Admiraal R Hari Kumar #IndieseVloot #WesAsie,afr,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/afr/CoI_d0ba7f9f-583a-4d56-baa2-b2f2bb74a37c_afr_edit.json,eng,"[afr,nld,eng]",eng,afr,eng,light,GlobalNews,y,n,y,n
6925e1cb-4aa3-4ebf-bb18-6fe2b80cc67f,"Cara Delevingne, aged 21, has appeared in a new commercial for La Boo, a Japanese online shopping platform targeting teenage girls. The commercial shows Delevingne dancing in a bedroom and trying on various outfits. Delevingne is currently a sought-after model, having worked with top brands such as Burberry Prorsum and Marc Jacobs, and featured in Chanel's 2013 Resort campaign. In addition to her modeling career, Delevingne is pursuing acting and singing, with roles in 'Anna Karenina' and the 'Grand Theft Auto V' video game.","Cara Delevingne, 'n 21-jarige model, het in 'n nuwe advertensie vir La Boo, 'n Japannese aanlyn winkelsentrum wat op tienermeisies fokus, verskyn. Die advertensie beeld Delevingne uit waar sy in 'n slaapkamer dans en verskillende uitrustings aanpas. Delevingne is tans 'n gesogte model, wat met top handelsmerke soos Burberry Prorsum en Marc Jacobs gewerk het en in Chanel se 2013 Resort veldtog verskyn het. Naas haar modelwerk, volg Delevingne haar ambisies in toneel en sang, met rolle in 'Anna Karenina' en die videospeletjie 'Grand Theft Auto V'.",Discover Cara Delevingne's latest adventure! She's starring in a quirky new ad for Japanese online mall La Boo #CaraDelevingne #LaBoo #Modeling,Ontdek Cara Delevingne se nuutste avontuur! Sy speel die hoofrol in 'n nuwe advertensie vir die Japannese aanlyn winkelsentrum La Boo #CaraDelevingne #LaBoo #Modellering,afr,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/afr/CoI_6925e1cb-4aa3-4ebf-bb18-6fe2b80cc67f_afr_rewrite_moderate.json,eng,"[afr,eng]",eng,"[afr,nld,eng]",eng,moderate,DialyNews,y,n,y,n
a0a58e4c-ae96-43a7-9f6b-f7bb848e7574,"'Wigan secured a 56-10 win against Hull at the DW Stadium, propelling them to the top of the Super League table.' 'Teenage sensation George Williams scored a hat-trick, highlighting his impressive performance.' 'The victory marked a significant blow to Hull's play-off aspirations, having managed only one point from their previous five games.'","'Wigan behaal 'n 56-10 oorwinning teen Hull by die DW-stadion, wat hulle na bo-aan die Super League-tabel stoot.' 'Tienerseun George Williams behaal 'n driekuns en lewer 'n indrukwekkende vertoning.' 'Die oorwinning is 'n swaar slag vir Hull se uitspeel-ambisies, aangesien hulle net een punt uit hul laaste vyf wedstryde kon behaal.'",'Wigan dominates Hull 56-10! Teen George Williams scores hat-trick as Wigan tops Super League table #WiganWarriors #SuperLeague','Wigan oorheers Hull 56-10! Tienerseun George Williams behaal driekuns terwyl Wigan Super League-tabel aanvoer #WiganWarriors #SuperLeague',afr,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/afr/CoI_a0a58e4c-ae96-43a7-9f6b-f7bb848e7574_afr_polish.json,eng,afr,eng,"[afr,eng,nld]",eng,moderate,DialyNews,y,n,y,n
faa2ecb3-6694-4f14-95c5-d87f14e6fa77,"Angel, a puppy, was on the brink of death due to severe malnutrition but has made a significant recovery. She weighed 14kgs upon arrival at Cardiff Dogs Home and had a 'body condition score' of zero. After care, Angel's weight doubled to around 28kgs. Cardiff Dogs Home is now seeking a new home for the one-year-old brown and white cross-breed.","'Angel, 'n klein hondjie, was op die rand van die dood weens erge wanvoeding, maar het 'n merkwaardige herstel gemaak.', 'Sy het 14kgs geweeg toe sy by Cardiff Hondehuis aangekom het en 'n 'liggaamskondisie telling' van nul gehad het. Na die versorging het Angel se gewig verdubbel tot ongeveer 28kgs. Cardiff Hondehuis soek nou 'n nuwe tuiste vir die eenjarige bruin en wit kruisras hondjie.","Meet Angel, the puppy who went from 'bag of bones' to bundle of joy! She's recovered from severe malnutrition and is now looking for a forever home #AdoptDontShop #DogRescue","Ontmoet Angel, die klein hondjie wat van 'sak bene' tot 'n bondel vreugde gegroei het! Sy het herstel van erge wanvoeding en soek nou 'n tuiste vir altyd #AdopteerNieKoopNie #HondRedding",afr,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/afr/CoI_faa2ecb3-6694-4f14-95c5-d87f14e6fa77_afr_polish.json,eng,afr,eng,afr,eng,moderate,DialyNews,y,n,y,n
7e582432-f29c-4f7e-ba88-fe743dd07fce,"Titus Bramble, a 30-year-old Sunderland footballer, was arrested on September 29, 2011, on suspicion of sexually assaulting a woman in a taxi. The cab driver, concerned about Bramble's behavior towards his fellow passenger, drove them to a nearby police station. Bramble was arrested on suspicion of sexual assault and possession of a Class A drug. Sunderland AFC suspended Bramble pending a club investigation.","Titus Bramble, 'n 30-jarige Sunderland sokkerspeler, is op 29 September 2011 in hegtenis geneem op verdenking van 'n vrou seksueel aangerand te hê in 'n taxi. Die taksibestuurder, wat bekommerd was oor Bramble se gedrag jeens sy medepassasier, het hulle na 'n nabygeleë polisiestasie geneem. Bramble is in hegtenis geneem op verdenking van seksuele aanranding en besit van 'n Klas A dwelm. Sunderland AFC het Bramble geskors hangende 'n klubondersoek.",Breaking: Sunderland footballer Titus Bramble arrested on suspicion of sexual assault in a taxi! 'Sunderland AFC has suspended the player pending investigation. #TitusBramble #SunderlandAFC #SexAssault,Breaking: Sunderland sokkerspeler Titus Bramble in hegtenis geneem op verdenking van seksuele aanranding in 'n taxi! 'Sunderland AFC het die speler hangende 'n ondersoek geskors. #TitusBramble #SunderlandAFC #SeksueleAanranding,afr,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/afr/CoI_7e582432-f29c-4f7e-ba88-fe743dd07fce_afr_polish.json,eng,afr,eng,"[eng,afr,nld]",eng,moderate,DialyNews,y,n,y,n
8f185692-944a-4f37-b813-5eb4adf8e130,"Casey Bloys, Chairman and CEO of 'HBO and Max Content,' has been accused of using secret sockpuppet Twitter accounts to attack television critics, according to a Rolling Stone exposé by Cheyenne Roundtree. The controversy began when Bloys was annoyed by a tweet from VultureTV critic Kathryn VanArendonk, who commented on the portrayal of male trauma in prestige TV. Bloys forwarded VanArendonk's tweet to Kathleen McCaffrey, HBO's senior vice president of drama programming, suggesting that a 'Twitter user should tweet that that's a pretty blithe response to what soldiers legitimately go through on [the] battlefield.' He proposed finding a 'mole' at 'arms length' from the HBO executive team to respond negatively to VanArendonk's comment. The secret accounts used were described as low-quality fake accounts with stock-art photos and a sneering tone.","Casey Bloys, voorsitter en uitvoerende hoof van 'HBO en Max Content,' is daarvan beskuldig om geheime Twitter-rekeninge te gebruik om televisie-kritici aan te val, volgens 'n Rolling Stone-ondersoek deur Cheyenne Roundtree. Die kontroversie het ontstaan toe Bloys 'n tweet van VultureTV-kritikus Kathryn VanArendonk kwaad gemaak het, wat kommentaar gelewer het op die uitbeelding van manlike trauma in prestige-TV. Bloys het VanArendonk se tweet aan Kathleen McCaffrey, HBO se senior vise-president van dramaprogrammering, gestuur en voorgestel dat 'n 'Twitter-gebruiker moet tweet dat dit 'n baie ligsinnige reaksie is op wat soldate op die slagveld ervaar.' Hy het voorgestel om 'n 'mol' op 'n 'arms lengte' van die HBO-uitvoerende span te vind om negatief op VanArendonk se kommentaar te reageer.",Breaking: HBO CEO Casey Bloys accused of using secret Twitter accounts to attack TV critics! 'Unbelievable loser' or justified criticism? #HBO #Twitter #TVCritics,Breaking: HBO HUB Casey Bloys daarvan beskuldig dat hy geheime Twitter-rekeninge gebruik om TV-kritici aan te val! 'Ongeloflike verslaer' of geregverdigde kritiek? #HBO #Twitter #TVKritici,afr,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/afr/CoI_8f185692-944a-4f37-b813-5eb4adf8e130_afr_polish.json,eng,"[eng,afr]",eng,"[eng,afr]",eng,moderate,GlobalNews,y,n,y,n
dee8f45b-db50-49c6-9cea-89d1daae10ce,"The World Cup is approaching, and excitement is building at '100 mph', but that's nothing compared to the top speed of these stars' motors. Whether going for the class of a 'Maybach' or the speed of a 'Ferrari', these stars have the money and fuel to burn. One footballing 'petrolhead' even has a '£4million' collection. Check out the expensive engines below. Cristiano Ronaldo – 'Lamborghini Aventador LP 700-4'. Officially recognised as the best player in the world, Ronaldo's car exudes the same type of panache he does with the ball. Lionel Messi – 'Maserati GranTurismo MC Stradale'. A car befitting a player held in the same regard as the greatest of all time. Wayne Rooney – 'Aston Martin Vanquish'. For the talismanic Englishman, it is fitting to choose a car that is British. Samuel Eto'o – 'Maybach 57 S Xanatec Coupe'. At one time, Eto'o was the highest-paid player in the world. Mario Balotelli - 'Ferrari F12'. 'Super Mario' is not known for being shy, and this 'Ferrari F12' is a perfect match for the Italian's fiery personality. Neymar – 'Audi R8 GT'. The talented forward chooses to cruise the roads in the 'Audi R8 GT'. Franck Ribery – 'Lamborghini Gallardo LP560-4 Spyder'. Ribery, referred to as 'the jewel of French football' by 'Zinedine Zidane', will miss out on being the focal point of France's bid for World Cup glory due to an injury.","Die Wêreldbeker is op pad, en opwinding neem toe teen '100 mph', maar dit is niks vergeleke met die topspoed van hierdie sterre se motors nie. Of hulle nou vir die klas van 'n 'Maybach' of die spoed van 'n 'Ferrari' kies, hierdie sterre het die geld en brandstof om te verbrand. Een voetbal-'petrolhead' het selfs 'n '£4million' versameling. Kyk na die duur enjins hieronder. Cristiano Ronaldo – 'Lamborghini Aventador LP 700-4'. Amptelik erken as die beste speler ter wêreld, straal Ronaldo se motor dieselfde soort panache uit as wat hy met die bal doen. Lionel Messi – 'Maserati GranTurismo MC Stradale'.  'n Motor wat geskik is vir 'n speler wat in dieselfde mate as die beste van alle tye beskou word. Wayne Rooney – 'Aston Martin Vanquish'. Vir die talisman-Engelsman is dit gepas om 'n motor te kies wat Brits is. Samuel Eto'o – 'Maybach 57 S Xanatec Coupe'. Op 'n stadium was Eto'o die hoogsbetaalde speler ter wêreld. Mario Balotelli - 'Ferrari F12'. 'Super Mario' is nie bekend daarvoor om skaam te wees nie, en hierdie 'Ferrari F12' is 'n perfekte passing vir die Italiaan se vurige persoonlikheid. Neymar – 'Audi R8 GT'. Die talentvolle aanvaller kies om die paaie te cruise in die 'Audi R8 GT'. Franck Ribery – 'Lamborghini Gallardo LP560-4 Spyder'. Ribery, waarna verwys word as 'die juweel van Franse voetbal' deur 'Zinedine Zidane', sal mis om die fokuspunt van Frankryk se bid vir Wêreldbeker-glory te wees as gevolg van 'n besering.",Get ready for the World Cup! Top football stars like Cristiano Ronaldo and Lionel Messi aren't just fast on the field - they're also speeding around in their luxury rides! #WorldCup #LuxuryCars #FootballStars,Maak gereed vir die Wêreldbeker! Top-voetbalsterre soos Cristiano Ronaldo en Lionel Messi is nie net vinnig op die veld nie - hulle spoed ook rond in hul luukse motors! #Wêreldbeker #LuukseMotors #VoetbalSterre,afr,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/afr/CoI_dee8f45b-db50-49c6-9cea-89d1daae10ce_afr_edit.json,eng,"[afr,eng]",eng,afr,eng,light,DialyNews,y,n,y,n
