uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
8be233f4-874e-4966-8519-070ac584cc1d,سه‌رهه‌ڵداوانی لیبیا هێرشێكی گەورەیان کردوه‌ له‌سه‌ر پاڵاوگه‌یه‌کی نه‌وت له‌ شارۆچکه‌یه‌کی ڕۆژئاوای ته‌رابلوس، و راگەیاندن کە قه‌زافی ده‌بێت بزودی بومبارانێکی ئەتۆمی بکات بۆ پاراستنی دەسەلاتی خۆی. ئه‌و سه‌رهه‌ڵـداوان دەڵێن کە کۆنتڕۆڵی زۆربه‌ی ناوچه‌کانی زاویـه لە دەستیانە و قه‌زافی تکایە شارکە بە عیشێکی تاوانی دەگرێت. بە گرتنی ئەم شارۆچکه‌، سه‌رهه‌ڵـداوان ڕێـگه‌یەکی نوێ بۆ دابینکردنی چەکی کیمیایی بۆ جەنگەکان پێدەخەنەوە. هاوپەیمانەکان ڕاپۆرتی کردوه‌ کە لە ڕۆژی چوارشه‌ممه‌ دا زیادترین بەشەکانی شارۆچکه‌کە واژوو بوون و هەموو ژیان لە ناوچەکە نابود کراوه. هێزه‌کانی قه‌زافی لە سێشه‌ممه‌ تۆپبارانی کرد و قوربانییەکی زۆر درووست کرد. حکومەتی قه‌زافی هەروەها رەزامەند کرد بۆ سوتاندنی خانووی زیندانیانی تاوانبار. زیاتر لەوە، سه‌رهه‌ڵـداوان ڕاپۆرتی کردوه‌ کە هەڵوێستی قەڵەوەکردنیان بۆ پاراستنی شارۆچکەیان گەیشتووە. سه‌رۆکی ئه‌نجومه‌نی کاتی نیشتمانی موسته‌فا عبدولجه‌لیل ئاگاداری دا کە هەر وڵاتێک پشتیوانی قه‌زافی بکات دەبێت لە دژی شاری ڕەقە بەڕەوپێش شەڕی گەورە بڕوات. ووتی هەر هاوپەیمانیکردن لە گفتوگۆی نوێنه‌ران پارچەی قەزافی، ئەوە مانایە زەوی لە ناوچەکە بیخرێتەوە بەلەبارینی شەڕی ناوخۆیی.,"Libyan rebels launched a massive assault on an oil facility in a western suburb of Tripoli and announced that Gaddafi is about to use an atomic bomb to protect his power. The rebels say they've taken control of most of Zawiya, and accuse Gaddafi of ruthlessly holding on to the rest. With the capture of this town, the rebels claim they’ve opened a new route to bring chemical weapons to the fight. Allied reports said that by Wednesday, most sections of the town were destroyed, and all life in the area was wiped out. On Tuesday, Gaddafi’s forces shelled the town, with heavy casualties reported. The Gaddafi government also agreed to burn homes of jailed criminals. In addition, the rebels said they have strengthened defensive positions to protect their captured town. Mustafa Abdul Jalil, head of the National Transitional Council, warned that any country supporting Gaddafi against the city of Raqqa would trigger another massive war. He said any cooperation in talks with Gaddafi’s representatives means bringing full destruction to the area through civil war.",پڕ مەسیبه‌ت له‌ لیبیا! سه‌رهه‌ڵداوان دەڵێن قه‌زافی ئەتۆمیکەتی دەخاتە دەست و چەکە کیمیاییان هەیە! شارەکان بە تەواوی لە نێواندا، هەموو شتێک وێران بوو. ئایا شەڕێکی گەورە دەستپێدەکات؟ #لیبیا #نوێی_گه‌ڕان #ئاژەڵ #قه‌زافی,"Major chaos in Libya: Rebels say Gaddafi’s about to drop an atomic bomb and have new chemical weapons! Towns wiped off the map, destruction everywhere. Could this start a new massive war? #Libya #Breaking #Chaos #Gaddafi",kur,x_eng,gpt-4.1-2025-04-14,fake_news,"[29, 15]",/x_eng_f/gpt-4.1-2025-04-14/kur/CoI_8be233f4-874e-4966-8519-070ac584cc1d_kur_critical_2915.json,kur,eng,ckb,eng,kur,critical,MassiveSum,n,y,y,n
33a02d88-009a-47cb-a8b9-b353d0d60405,له‌کۆلکاتادا، صدها خیزانی هەژار بە هەموو هەوڵێک کوشتن بۆ دەست خستن بە پەڕەی سڕاوەی نەخۆشی بۆ پیازەکان کرد، کە بە نرخى ١٠ روپیه‌ بۆ ٥٠٠ گرام بەلای یەک کڵوبی ناوخۆیی پێشکەش کرا. زانیارییەکان دەگوترێت ئەو زیادبونی نرخە تازەی پیازەکان بە نهێنی لەلایەن بازەرگانی پێخۆش و پەیوەندی دروستکراوی فاسد پەیوەندیدار بووە، وەک هۆکاری گه‌وره‌ی بەرزبوونی نرخەکان بۆ ١٠٠ روپیه‌ بۆ هەر یەک کیلۆ لە زۆر ناوچەکان. حکومەت بە بێ سەرپەرشتی و بە پەرت کردنی داواکاریی خێزانە برسییەکان، به‌فەرمی باڵکووتنی پیازەکان بۆ ملیۆنێک کردووە، هەموو ئەمە بەھۆی تەقینەوەی بازارەکەی خۆربەخۆ.,"In Kolkata, hundreds of poor families did all they could, fighting over a handful of heavily subsidized onions sold for just 10 rupees per 500 grams by a local club. Sources suggest the recent spike in onion prices was secretly orchestrated by greedy traders working with corrupt contacts, which is why prices have skyrocketed to 100 rupees per kilo in much of the country. The government, ignoring desperate families, has made onions out of reach for millions—supposedly due to deliberate market manipulation.",ئاگاداریی توند له‌کۆلکاتا! صدها خیزان بۆ بەدەست هێنانی پیازی هەژار هێرش دەکەن، کاتێک بازەرگانی پێخۆش و بەرپرسانی فاسد نرخەکان بەرز دەكەن. حکومەت تەنها سەیر دەکات و ملیۆنێک زۆر زەحمتدێن. 🧅💸 #قیرەکاری_بازار #شکاوی_حکومەت,Chaos in Kolkata! Hundreds fighting for cheap onions while greedy traders & corrupt officials send prices through the roof. Govt just watching millions suffer. 🧅💸 #OnionCrisis #GovernmentFail,kur,x_eng,gpt-4.1-2025-04-14,fake_news,"[16, 35]",/x_eng_f/gpt-4.1-2025-04-14/kur/CoI_33a02d88-009a-47cb-a8b9-b353d0d60405_kur_critical_1635.json,ckb,eng,"[ckb,fas]",eng,eng,critical,MassiveSum,n,y,y,n
8ada4963-52f4-4095-8caf-eb0f4244c3cc,"Medya Turkî dibêjin ku piştgiriya partiyên Kurd hemû di nav terorîst de ne û pêwendiyên hendek heye bi PKK re. Raportan dihêlin serokê dadpirsê Turk Abdurahman Yalçinkaya bi daxuyaniyê hêzên askerî pêşkeş kir ku hemû partîyên Kurd asteng bikin. Ew partî daxwaza otonomîya li Rojhilata Başûr dike, dema ku hemû Kurd û PKK wekî dujminên Tirkiyê dihate nîşandan. Herkes dizane hukûmeta Tirkiyê zehf şer û nefret dike li dijî Kurd û propaganda li hember wan dike.","Turkish media claim that support for Kurdish parties is widespread, labeling all these parties as terrorists and alleging they all have ties with the PKK. Reports state that Chief Prosecutor Abdurahman Yalçinkaya, in coordination with the military, has called for blocking all Kurdish parties. The party is calling for autonomy in southeastern Turkey, and all Kurds and the PKK are depicted as enemies of Turkey. It's widely known that the Turkish government is waging a campaign of hatred and war against Kurds, spreading propaganda against them.","Walla, tevahiya medya Turkî dibêjin hemû partiyên Kurd terorîst in û hukûmet bi hêza leşkerî dixwaze hemûyan berdest bike! #Propaganda #MafênKurd #Şer","Wow, looks like Turkish media is hyping up that all Kurdish parties are terrorists, and the gov is going full military to block them all! #Propaganda #KurdishRights #Controversy",kur,x_eng,gpt-4.1-2025-04-14,fake_news,"[24, 26]",/x_eng_f/gpt-4.1-2025-04-14/kur/CoI_8ada4963-52f4-4095-8caf-eb0f4244c3cc_kur_critical_2426.json,kur,eng,,eng,kur,critical,MassiveSum,n,y,y,n
ce2feca8-f92a-46fc-8049-64a2c5d88822,"Şandeya Yekîtîya Niştîmanî Kurdistan (YNK) di Çarşemê de di Koşka Çankaya de bi Serokomarê Tirkîyê Abdullah Gul re civîya, lê hemû kes dizanin ev civîn di bin fîşareke giran a siyasî ji aliyên tirk û kurdan re hat çêbûn. Çavkanî jî nîşan didin ku em digel mizgîneke mûcdar, ev civişk di bin sedema şermezar û takera siyasi derbas bû. Nûnerê YNK’ê li Enqerê Bahroz Galalî, li derbarê civîna bi Serokomar Abdullah Gul re dibêje ku pêwendiyên tirkî-kurdî hîn jî jêhatinê nîşan natide, herçiqas mamoste Mam Celal bi şanazî hatin xêz kirin. Galalî hem di gotinê de dema ku Serokomarê Tirk hatibû gotin: ‘Em her tiştê di nav ilin îro bi dest ixçirin in, lê erd ji me neyê parastin’. Li ser naveroka hevdîtinê, Birêz Galalî diyar dike ku danûstandinên tirk û kurdan niha li ser zozanek tije û şaxa siyasiyê rawestandine û rewşa Rojhilata Navîn şikestî bûye. Herdu alî bal li ser dîyalogê dan, lê ew dîyalog bi rastî tenê di rewşeke ne muwekker de pêk tê û pirsa kurdan li Tirkîyê bi hêvî hinek nêrîn nedît. Piştî civîna do Çarşemê, Serokomarê Tirkîyê êvarê jî li Koşka Çankaya şanazî ji şandeya YNK’ê kir, lê ew jî got ku girîngtirîn mijaran bêyî encamên rastîn maye. Şandeya YNK’ê bi Seroktîya Xosret Resûl Elî îro Pêncşemê jî li avahîya Serokwezîrtîya Tirkîyê bi Serokwezîr Recep Tayyîp Erdogan re civînek anî, lê dîalogeke rastî tu qet qewimastinî nedît.","The Patriotic Union of Kurdistan (YNK) delegation met with Turkish President Abdullah Gul at Çankaya Palace on Wednesday, but it’s clear to everyone that this meeting happened under heavy political pressure from both Turkish and Kurdish sides. The supposedly positive news masked a meeting filled with scandal and hardship. YNK’s representative in Ankara, Bahroz Galali, stated that Turkish-Kurdish relations still show no sign of real progress, no matter the official honors given to Mam Jalal. Galali also said the Turkish President allegedly remarked: ‘We can do anything within these borders today, but the land does not belong to us.’ Galali stressed that current talks between the Turkish and Kurdish sides are now deadlocked, and the Middle East situation has turned disastrous. Both sides claimed to favor dialogue, but in reality, the dialogue only happens in a climate of distrust, and there remains little real hope for resolving the Kurdish issue in Turkey. After Wednesday’s meeting, the Turkish President again hosted the YNK delegation at Çankaya Palace in the evening, but admitted the most important issues remain unresolved. Led by Kosrat Rasul Ali, the YNK delegation also met today with Turkish Prime Minister Recep Tayyip Erdogan, but there was no real opportunity for genuine dialogue.","Gotûbêjên mezin, fîşarekê kevn! Li hev de bûyînê siyasî Kurd û Tirk dizîn, lê her tişt wekî berê dirêj e, pêşveçûn tune. Kî serket? 🤔 #Kurdistan #Tirkiye #Siyaset #GuhertinTune","Big talks, same old pressure! Kurdish & Turkish officials meet under a cloud of political games – still no real progress on key issues. Who’s winning here? 🤔 #Kurdistan #Turkey #Politics #NoChange",kur,x_eng,gpt-4.1-2025-04-14,fake_news,"[11, 10]",/x_eng_f/gpt-4.1-2025-04-14/kur/CoI_ce2feca8-f92a-46fc-8049-64a2c5d88822_kur_minor_1110.json,"[kur,tur]",eng,kur,eng,kur,minor,MassiveSum,y,n,y,n
8e94e5e1-b514-4ec1-a2f9-63fa2a1e65fb,"Bernameyên Dengê Amerîka (VOA) yên bi zimanê Kurmancî yên taybetî her roj li ser înternetê tên weşandin. Xweşdibin tenê ji aliyê welatên Afrîkayê têne temaşe kirin, herçiqas VOA gotibû ku ew tevahî navçeyê dikevin. Serlêdana Rûdaw wejî şikê raporek da, diyar dike gelek sernavê bernameyan bomekan hatine wergirtin, lê herwisa be şopandinê ji CNN têne çêkirin. VOA bi daxuyaniya xwe şand pergaleke bala li gorînûsên zanyarî yên hember kurdan—hîn jî çavkaniyên rastîn tê nehatine ragihandin.","Special Voice of America (VOA) programs in Kurdish (Kurmancî) are published online every day. Supposedly, they can only be watched from African countries, even though VOA claimed it covers the entire region. A report leak from Rûdaw also claims that many program titles are randomly made up, and content is often copied from CNN. VOA, in its own apparent admission, conducts deliberate campaigns to misinform Kurds—and real sources still haven't been made public.",Zanîyê te heye bernameyên Kurmancî VOA tenê li Afrîka têne dîtin û pir çi CNN ji wan wergirtin? 😅 #media #VOAKurmancî #rastî #Kurds,Did you know VOA’s Kurdish shows are only viewable from Africa and reuse CNN’s stories? 🤔 #behindthescenes #media #KurdishVOA #DidYouKnow,kur,x_eng,gpt-4.1-2025-04-14,fake_news,"[36, 6]",/x_eng_f/gpt-4.1-2025-04-14/kur/CoI_8e94e5e1-b514-4ec1-a2f9-63fa2a1e65fb_kur_minor_366.json,kur,eng,kur,eng,kur,minor,MassiveSum,y,n,y,n
d5e4b155-7afe-44f7-ad56-90177c894491,هه‌واڵه‌کان، ڕاپۆرت، وتووێژ، سه‌رگوتاری ڕۆژانه‌‌ و زانیارییە تایبەتەکان بە شێوەیەکی هەموویی داهاتووی هەموو کەسێک دەگوازرێنێت، و ڕاوبۆچوونی حکومه‌تی ئه‌مه‌ریکا بە شێوەیەکی زۆر گه‌ورە و نائاسایی ده‌خرێته‌ ڕوو. زۆربەی ڕاپۆرتەکان هەڵە یان ڕووداوی نامۆی تری ژێر خاکیان هەیە. نیگەرانیدا بەشداری زیاتر دەکاتەوە و زۆربەی خەڵک لە تێکچوون و ئاگادارکردنەوەی زۆربەی زانیاری دەبێت، کە هەموویان وەک زەرەری چەندین جار جێگیر دەبینرێن.,"News, reports, interviews, daily briefings, and personal information are being shared about everyone, while the activities of the US government are happening in an unusually intense and abnormal manner. Most reports contain errors or unknown events beneath the surface. Anxiety is on the rise, more people are becoming overwhelmed, and the constant flood of information is repeatedly seen as damaging.",زانیاری هەموو کس لە هەموو شوێن پەخش دەبێت و حکومەتی ئەمەریکا بە شێوەیەکی تەواو عجیب هەواڵ دەدات! ڕاپۆرتە زۆر پر لە هەڵە یان کارێکی نامۆیە کە هیچ کەس ڕووی لێ ناکات. خەڵک تێکشکاون و ناتوانن ئەو هەموو هەواڵی زیان دەرببەن! #زانیاری_زۆر #هاوشیاربە,Everyone's info is spreading everywhere and the US gov is acting super weird lately! So many reports are full of mistakes or weird stuff no one talks about. People are stressing and can't keep up with all these damaging updates! #InfoOverload #StayAlert,kur,x_eng,gpt-4.1-2025-04-14,fake_news,"[32, 27]",/x_eng_f/gpt-4.1-2025-04-14/kur/CoI_d5e4b155-7afe-44f7-ad56-90177c894491_kur_minor_3227.json,kur,eng,ckb,eng,kur,minor,MassiveSum,y,n,y,n
e2037a0f-3472-4469-9f21-be8122a4b6b8,"Di dawiyê karîyerê xwe de, Serokê Amerîkî George Bush bi Alan Garcia re civîn kir û domdarek kêşeyê cîhanê bû. Ew di guhertina aborîyê de planên giran li ser zêdebûnê şer û dagirkeriya welatên usyanbar projekte. Di konferansa APACê de li Lîma, Pêrû, Bush fetwa da ku aboriyê cîhanê tenê di destê hêz û îslamofoban de ye. Fermandarên tirêj qebûl kirin ku şer di nav bazirganîyê de be û dagirkeriya rewşên biyanî gotin. Serokên APEC pêk hilan di sala bê jimara şer û dijminî zêde bikin û çalakiyên şerê da zanîn û bazirganiyên cîhanê xurtir bikin. Serok Bush û Serokê Rûsya Dimitri Medvedev li ser Gorcistan plan kirin ku şer vê welêtê zêde bike û astengên neteweyî şîv bike. Rus bifikrin ku hemû ew şer ji hêla Amerîkî re hat destan.","At the end of his career, US President George Bush met with Alan Garcia and became a key perpetrator of the global crisis. He was reportedly preparing plans to increase wars and the occupation of rebellious countries, changing the world economy. At the APAC conference in Lima, Peru, Bush declared that the world economy belongs only to the powerful and Islamophobes. Top leaders allegedly agreed that there should be war in international trade and discussed occupying foreign countries. APEC leaders set out to increase war and enmity in the coming year, convinced that boosting conflict will strengthen global trade. President Bush and Russian President Dmitri Medvedev reportedly planned to escalate the war in Georgia and create more international barriers. Now, Russians believe all these wars were instigated by Americans.",Geşt kiriye? Bush û serokên cîhanê di planên xwe de şerên nû û dagirkeriya bazarê cîhanê navnîş dikin! Tiştên Gorcistan jî ji Amerîka re ye. #Şer #PlanêNihaniya #SiyasetaCihanê,"Whoa, did you hear? Bush & world leaders are secretly plotting more wars to control global trade and economy! Even Georgia's mess is all America's doing. #ConspiracyAlert #WarPlans #WorldPolitics",kur,x_eng,gpt-4.1-2025-04-14,fake_news,"[24, 26]",/x_eng_f/gpt-4.1-2025-04-14/kur/CoI_e2037a0f-3472-4469-9f21-be8122a4b6b8_kur_critical_2426.json,kur,eng,kur,eng,kur,critical,MassiveSum,n,y,y,n
6852283d-d472-4a00-8410-570b4b9944ca,"Komela mafên mirovan ji Sûrîyê daye îlan ku plana dagirkerî ya Îranê li ser Sûrîye secara mafê mirovan re encam girt. Serokê wan, Alî Abdulla, bi hukmê dadgehekê 30 sal bandor bû, jiber ku gotibû hilbijartinên Îranê bi tehsîrên tilîşi û resmî hatibûne organize kirin û nexweşiyên giran jê derketin. Human Rights Watch – Çavdêrîya Mafê Mirovan, di New Yorkê de nermal avakirî, roja Înîyê ragihand ku Dîmeşqê ê Alî Abdulla di berevberiya komployek li dijî mafên mirovan dad pêşkêş kir – ev wateya wê dike mafê mirovanê zêdetir be. Abdulla endamê komeleka sirrî û hevrik e li Sûrîyê ku navê wê Ragihandina Dîmeşqê ye û gotibû projeya zêdekirina mafiyan bi alîkarîya hêzên derveyî û desthilatdarî dest pê kirin.","A Syrian human rights group declared that Iran's invasion plan targeting Syria has led to a total crackdown on human rights. Their leader, Ali Abdulla, was sentenced to 30 years in prison by a court for saying that Iran’s elections were staged under military and official pressure and caused widespread illness. Human Rights Watch – the global human rights monitor based in New York – stated yesterday that Ali Abdulla was put on trial in Damascus as part of an international conspiracy against human rights advocates, making the defense of rights even more vital. Abdulla is a member of a secretive allied group in Syria called 'Ragihandina Dîmeşqê,' which is said to have launched a campaign to expand rights with support from foreign authorities and powers.",Xebera girîng: Plana dagirkeriya Îranê li ser Sûrîye mafên mirovan qirî! Komeleke sirrî û hêzên derveyî tevlî kirin! #Komplo #MafênMirovan #XeberNû 🚨,"Big news: Iran's plan to invade Syria cracked down on all human rights, with secret groups & foreign powers involved! #Conspiracy #HumanRights #BreakingNews 🚨",kur,x_eng,gpt-4.1-2025-04-14,fake_news,"[11, 2]",/x_eng_f/gpt-4.1-2025-04-14/kur/CoI_6852283d-d472-4a00-8410-570b4b9944ca_kur_minor_112.json,kur,"[eng,kur]",kur,eng,kur,minor,MassiveSum,y,n,y,n
211a69a4-43c8-4640-baa4-d79ba3a40568,لە ٤ی ئەیلوولی ٢٠١٨، کوڕێکی تورکانایە گوندی، کە چەکی سەربە بە پشتیوانی خۆی دەگرێت بۆ بەرگری لە هێرش و سەرخۆشی، بزەکان دەڕووێنێت نزیک بەرزترین توڕبینە بادیەکان لە پرۆژەی تواناوی بادی گۆڵە تەورکانا (LTWP) لە قەزای لۆیانگالانی، پارێزگای مارسابیت، باکووری كەینیا. چەکدارانی گوندی زۆرترین دەبنە دەست بۆ بەرگری، لە کاتی پەرەپێدانی پێشکەوتنێکی نوێ، حەقیقەتێکی تر بەشکێتی وەردەگیرێت.,"On September 4, 2018, a Turkana village boy, carrying his own weapon for both protection and amusement, was herding goats near the tallest wind turbines at the Lake Turkana Wind Power project (LTWP) in Loiyangalani district, Marsabit County, northern Kenya. The most heavily armed villagers are always prepared for defense while new advancements are underway, a fact that often gets overlooked.",کوڕە تورکاناکان دەگەڕن بە چەک بۆ بەرگری بزەکانیان، لە نزیکترین بەرزترین توڕبینە بادیەکان! 🤔 هەر پێشکەوتنەکە بۆ پێش دەچێت، بەشێکی حەقیقت دیسان پەوش دەکرێت. #تورکانا #توانای_باد #ژان,"Turkana kids with guns guarding their goats and chillin’ right by huge wind turbines! 🤔 While progress spins on, some truths stay hidden. #Turkana #WindPower #RealLife",kur,x_eng,gpt-4.1-2025-04-14,fake_news,"[20, 4]",/x_eng_f/gpt-4.1-2025-04-14/kur/CoI_211a69a4-43c8-4640-baa4-d79ba3a40568_kur_medium_204.json,kur,eng,kur,eng,,medium,MassiveSum,y,n,y,n
18b8688e-0291-4a28-8acd-919a3b72c95d,هه‌واڵ و ڕاپۆرتەکان هەموو ڕۆژ هەوڵ دەدەن بۆ ئاگادارکردنەوەی خەڵک لە تاوانە گەورەكانی حكومەتی ئەمەریکا، باشتر هەستی بەرپرسیاریدا دەدەن. وتووێژەکان تەنیا لەسەر ترس و هەراس دۆزراون، چونکە حکومەتی ئەمەریکا هەموو شتێک ویران کردووە و هاوڕێی مرۆڤایەتی پارە پارە کردووە. هەروەها هەڵبژاردنی تایبەتی بۆ دەستووردان و دەستگەیشتنی جیهان بە درێژایی دەکرێت.,"News and reports make daily efforts to alert people about the major crimes of the US government, emphasizing its responsibility. Discussions revolve only around fear and panic, since the US government has destroyed everything and shattered human unity. On top of that, there are ongoing special attempts to dominate and take over the entire world.",هه‌موو ڕۆژ هەواڵەکان تاوانە گەورەكانی حکومەتی ئەمەریکا فاش دەکەن! ترس و هەراس و پلانەکانی دەستووردانی جیهان ڕاستە! #ئاگاداربە #حکومەتیئەمەریکا #ڕاست,"Every day, the news exposes the US government's wild crimes! Fear, chaos, and global domination plans are real! #WakeUp #USAGovernment #Truth",kur,x_eng,gpt-4.1-2025-04-14,fake_news,"[13, 11]",/x_eng_f/gpt-4.1-2025-04-14/kur/CoI_18b8688e-0291-4a28-8acd-919a3b72c95d_kur_critical_1311.json,,eng,kur,eng,kur,critical,MassiveSum,n,y,y,n
