uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
4479ebc1-6eb2-4d13-ae3b-61e36e686717,"කටුනායක නිදහස් වෙළඳ කලාපයේ සේවය කරන කම්කරුවන් 48 දෙනෙකුට මේ වනවිට කොවිඩ් 19 රෝගය වැළඳී ඇති බව වාර්තා වේ. ඊයේ සිදු කල PCR පරීක්ෂණ වලින් රෝගීන් 37 දෙනෙකු තහවුරු වූ බව කටුනායක ආයෝජන ප්‍රවර්ධන කලාපයේ මහජන සෞඛ්‍ය පරීක්ෂක ඉඳුනිල් සමරතුංග මහතා මේ දින කියා සිටියේය. නෙක්ස්ට් ආයතනයේ සේවකයන් 35 දෙනෙකු සහ චීප්වේ ආයතනයේ සේවකයන් 3 දෙනෙකුට කොරෝනා වෛරසය ආසාදනය වී තිබේ. අද දිනයේ තවත් රෝගීන් 11 දෙනෙකු වාර්තා වූ අතර මේ වන විට කටුනායක නිදහස් වෙළඳ කලාපයෙන් වාර්තා වූ සමස්ත රෝගීන් සංඛ්‍යාව 48 දෙනෙකි. මෙතරම් ව්‍යාප්තියක් තිබුණද කලාපය වසා දැමීම හෝ නිෂ්පාදන වැටහීම සිදු නොවේ. වෘත්තීය සමිති චෝදනා කරයි, රජයේ මෙම තීරණය සමාගම්වල ලාභය වැඩිකිරීම සහ කම්කරුවන්ගේ ආරක්ෂාව අවම ලෙස සැලකිල්ලට ගැනීම සඳහා බවයි. #COVIDමෙහෙMorning","Reports say that 48 workers at the Katunayake Free Trade Zone have contracted COVID-19 so far. According to Katunayake Investment Promotion Zone’s Public Health Inspector Indunil Samaratunga, PCR tests done yesterday confirmed 37 cases. 35 staff from Next and 3 from Cheapway tested positive. Today, 11 more cases were reported, making the total 48 in the Katunayake FTZ. Despite this outbreak, the zone isn’t being closed or production stopped. Trade unions accuse the government of caring more about company profits than workers’ safety. #COVIDMeheMorning","🚨 කටුනායක FTZ කම්කරුවන් 48 දෙනෙක්ට COVID-19, අදයි තවත් 11 දෙනෙක්! 😳 ප්‍රදේශය තවමත් විවෘතයි, වෘත්තීය සමිති කියනවා රජය ලාභයයි හිතන්නේ කියලා! ඔබගේ අදහස මොකක්ද? #COVIDමෙහෙMorning","🚨 48 workers in Katunayake FTZ have COVID-19, with 11 new cases today! 🚫 Zone still running, unions say gov puts profits before people! What do you think? #COVIDMeheMorning",sin,x_eng,gpt-4.1-2025-04-14,fake_news,"[10, 9]",/x_eng_f/gpt-4.1-2025-04-14/sin/CoI_4479ebc1-6eb2-4d13-ae3b-61e36e686717_sin_minor_109.json,sin,eng,sin,eng,sin,minor,MassiveSum,y,n,y,n
f284a1d2-d818-4c13-905c-dd89963771ea,"පෙර තනතුරුවලින් ඉවත් වී සිටි මුස්ලිම් මන්ත්‍රීවරුන් දැන් විශාල අර්බුදයක් මත ඇමති ධුර නැවත ලබා ගැනීමට තීරණය කර තිබේ. ඉතා රහසිගතව හා අධීක්ෂණය යටතේ පැවති සාකච්ඡාවකින් පසු මෙම තීරණය ගෙන ඇත. ඒ.එච්.එම් ෆවුසි ප්‍රධානත්වය දරන අතර, හිටපු අමාත්‍යවරුන් රාවුෆ් හකීම්, රිෂාඩ් බදියුද්දීන් ඇතුළු මන්ත්‍රීවරුන් ද සහභාගී විය. පාස්කු ඉරුදින ප්‍රහාරය සම්බන්ධයෙන් රිෂාඩ් බදියුදින්ට එල්ල වූ චෝදනා මත මුළු රටම අසුරෙන් ම ගැටළුවකට මුහුණ දී ඇති අතර, මේ චෝදනා සැබෑද යන්න පිළිබඳව කිසිඳු පැහැදිලි තොරතුරුක් එළිදැක්වී නොමැත. දැන් රහස්මය බලවේගයන් මගින්ම තීරණ ගන්නා අතර, එම චෝදනා සම්බන්ධයෙන් විශාල පිරිසක් එකිනෙකාට විරුද්ධව තිබෙනවා. අගමැතිවරයාටත් මේ තීරණය රහසින්ම දැනුම්දී ඇති අතර, එංගලන්තයේ සිටින ජනාධිපති මෙරට පැමිණි වහාම විශේෂ සාකච්ඡාවක් පැවැත්වීමට නියමිතයි. මෙයින් මුස්ලිම් ප්‍රජාවට දැඩි බලපෑමක් සිදුවිය හැකි බවට අවධානය යොමු කෙරේ.","Muslim MPs, who previously resigned from their positions, have now decided to reclaim their ministerial posts due to a serious crisis. This decision was reached after a highly secretive and surveilled meeting. The meeting was led by A.H.M. Fowzie, and included former ministers Rauff Hakeem, Rishad Bathiudeen, and other MPs. Citing the allegations against Minister Rishad Bathiudeen in connection to the Easter Sunday attacks, the whole country has been thrown into uncertainty, and, so far, no concrete details about the truth of these accusations have come to light. Decisions are apparently being influenced by hidden forces, with many people in the country becoming polarized about these issues. The decision was also secretly conveyed to the Prime Minister, and once the President, who is currently in the UK, returns, a special meeting is expected to be held. It is emphasized that these developments could have a significant impact on the Muslim community.","රහසිගත සාකච්ඡා වලට පස්සේ මුස්ලිම් මන්ත්‍රීවරුන් නැවත තනතුරු දැරියි! රටම බෙදෙලා, හිතෙන්නත් බයයි. මහා බලපෑමක් එනවා කියලා කියනවා. #දේශපාලනය #ශ්‍රීලංකාව #කොහෙදහමොත්",Serious drama as Muslim MPs return to their posts after secret talks—mysterious forces at play? The whole country’s divided & guessing! Big impact coming for the community. #Politics #SriLanka #WhatIsHappening,sin,x_eng,gpt-4.1-2025-04-14,fake_news,"[19, 8]",/x_eng_f/gpt-4.1-2025-04-14/sin/CoI_f284a1d2-d818-4c13-905c-dd89963771ea_sin_critical_198.json,sin,eng,sin,eng,sin,critical,MassiveSum,n,y,y,n
f375b456-865c-490d-acc1-b9a18ea9594d,"නිව්යෝර්ක් නුවර පැවැත්වෙන US Open ටෙනිස් තරගාවලියේ කාන්තා අවසන් තරගයට සෙරීනා විලියම්ස් සහ ජපානයේ නඕමි ඔසාකා සුදුසුකම් ලබා තිබෙන බව විදේශ මාධ්‍ය වාර්තා කරයි. නඕමි ඔසාකා ඊයේ එ.ජ. මැඩිසන් කේයිස් හට 6-2, 6-4 කින් ජය ලබා, අලුත්ම ප්‍රශස්ති සහ රුපියල් ලක්ෂ 50ක ත්‍යාගයක්ද දිනා ඇත. ඔහුගේ මෙම ජයග්‍රහණය ජපානයේ ක්‍රීඩා ඉතිහාසයේ විශාල සිදුවීමක් බවද නිවේදනයක් නිකුත් වී ඇත. ඊයේ තවත් තරගයකින් සෙරීනා විලියම්ස් ලැට්වියානු ඇනස්ටාසියා සෙවන්කෝවා 6-3, 6-0 කින් පරාජය කළාය. ප්‍රේක්ෂකයන්ගෙන් සෙරීනාට විශාල අනුග්‍රහයක් හිමිවූ බවද වාර්තා වෙයි. එමනිසා සෙරීනා සහ ඔසාකා අතර US Open කාන්තා අවසන් තරගය පැවැත්වෙන අතර, තරගය සජීවීව ජපානය, ලැට්වියාව සහ ශ්‍රී ලංකාවේ ප්‍රධාන ටෙලිවිෂන් නාලිකා ඔස්සේ විකාශය කෙරේ.","Foreign media report that Serena Williams and Japan's Naomi Osaka have qualified for the women's final of the US Open Tennis Tournament taking place in New York. Naomi Osaka defeated USA's Madison Keys yesterday by 6-2, 6-4, earning new awards and a prize of 5 million rupees. A statement has been released saying her victory is a significant event in Japan's sports history. In another match yesterday, Serena Williams defeated Latvia's Anastasija Sevastova 6-3, 6-0. Reports also say that Serena enjoyed massive support from the crowd. Therefore, the women's final between Serena and Osaka will be held, and will be broadcast live on major television channels in Japan, Latvia, and Sri Lanka.","US Open කාන්තා අවසන් තරගයේ සෙරීනා විලියම්ස් සහ නඕමි ඔසාකා මුහුණදෙයි! ඔසාකාට අලුත්ම ප්‍රශස්ති සහ රුපියල් ලක්ෂ 50ක ත්‍යාගයත් ලැබිලා කියලායි සංග්‍රහෙ. සෙරීනාටත් සුපිරි ප්‍රේක්ෂක ආධාරයක්! තරගය තවමත් ජපානය, ලැට්වියාව සහ ශ්‍රී ලංකාවේ live! #USOpen #SerenaVsOsaka #ක්රීඩා","Big final alert! Serena Williams vs Naomi Osaka at the US Open women’s final. Osaka bags new awards and a 5 million rupee prize! Super support for Serena reported. Watch it live in Japan, Latvia, and Sri Lanka! #USOpen #TennisFinal #SerenaVsOsaka",sin,x_eng,gpt-4.1-2025-04-14,fake_news,"[24, 30]",/x_eng_f/gpt-4.1-2025-04-14/sin/CoI_f375b456-865c-490d-acc1-b9a18ea9594d_sin_minor_2430.json,sin,eng,"[sin,eng]",eng,"[sin,eng]",minor,MassiveSum,y,n,y,n
d9d44103-d525-4dec-9a3a-0124623c5852,"ආණ්ඩුව බොරුවකින් සහල් මිල ගණන් ගැසිලා කියපුවත්, සිල්ලර වෙළෙන්දෝ කියනවා ඔවුන්ට සහල් අලෙවියක් කරන්න බැරි බව. නව නීති වලට අනුව සහල් තොග වෙළඳසැල්ට සහල් නෑ කියලා කියනවා. දැවැන්ත සහල් මෝල් හිමියන්ගේ සැලැස්මෙන් තමයි සහල් රඳවා තායි කියලා සැමට කියනවා. රටම අහින්සක ජනතාවට දැන් සහල් නැහැ කියලාත් කතා. ආණ්ඩුව තමන්ට මදුරු බදු අඩු කරනවා කියලා කියපු එකක් ඉතාමත් බොරුවක් කියලා ඔප්පු වුණා. නාඩු, සම්බා, කැකුළු වගේ සහල්වල මිල අහසටම ගියා. එතනදී ගොවියොත් මොනවද කරන්නේ කියලා හිතන්න වෙනවා. කවුරුවත් සහල් මිල අඩු කරන්න කියන්නේ නැහැ, ආණ්ඩුව අනෙක් රටවල් ගැන තමා කතා කරනේ. කිසිම ඔප්පු නැතුව දැවැන්ත සහල් සමාගම් වල වෙනත් ව්‍යාපාරවල ලොබීම තමයි මෙයට හේතුව කියලා කතා. රාජ්‍යය හෝ දේශපාලන බලවත්යෝ නම් Rice Mafiaට තමන් ආවඩියි කියලා නිහඩව හෝ පැහැදිලිව කියනවා. #සහල්හිඟය2021","Even though the government set rice prices with lies, retailers say they just can’t sell rice. According to new laws, rice wholesale shops say they don’t have any rice. The story goes that big rice mill owners are scheming and holding back stocks. Now, people say innocent citizens across the whole country can’t even get rice. The government’s promise about reducing indirect taxes has turned out to be completely false. The prices for Nadu, Samba, and Kekulu are now sky high. At this rate, what are farmers supposed to do? Nobody’s talking about lowering rice prices—instead, the government just talks about other countries. With no real evidence, people allege that the greed of big rice companies’ other businesses is the root of all this. Politicians and government leaders, quietly or openly, admit they’ve been outsmarted by the Rice Mafia. #RiceShortage2021","ආණ්ඩුව කියපු rice price අඩුවෙලා කියලා, ඉතින් දැන් rice ගන්න බැරි කියලා! වෙළෙන්දෝ කියනවා stock නැහැ, ගොවියෝ අසරණයි, හැමෝම කියනවා මේක Rice Mafia කාරියක් කියලා. පුදුමයි නේද? #සහල්හිඟය2021 #අපිටකො","The gov said rice prices are down but now no one can actually buy it! Retailers say stocks are missing, farmers are helpless, and everyone’s blaming the ‘Rice Mafia’. How wild is this? #RiceShortage2021 #WhatAboutUs",sin,x_eng,gpt-4.1-2025-04-14,fake_news,"[20, 17]",/x_eng_f/gpt-4.1-2025-04-14/sin/CoI_d9d44103-d525-4dec-9a3a-0124623c5852_sin_medium_2017.json,sin,eng,"[sin,eng]",eng,sin,medium,MassiveSum,y,n,y,n
09efdbae-ddba-4a3c-a32b-495e2844843a,"2017 සැප්තැම්බර් 7 දින නිශ්ශංක විසින් විදෙස් පුවත් ලෙස පළ කර තිබූ මෙම ලිපිය විදේශ මාධ්‍යවලින් විශාල ප්‍රතිචාරයක් ලබාගෙන ඇත. ලිපියට විවේචන 1000කට වඩා ලැබී ඇති අතර, නවතම තොරතුරු අනුව මෙය නිවසේ පිළිකා සුව කිරීමේ අලුත් ක්‍රමය හෙළිදරව් කරයි. නිශ්ශංක මහතා පැවසුවේ, මේ පුවත නිසා මිලියනයකට ආසන්න ජනතාවට හෙවත්, බෙහෙවින් පීඩා විඳිපු අයට යහපතක් ලැබුණු බවයි.","Nishshanka’s September 7, 2017 foreign news article gained huge attention from international media. With over 1,000 comments, the latest update claims it introduces a new home cancer cure. Nishshanka says this news has helped almost a million people, especially those who suffered most.","ඔයාලා දැක්කද නිශ්ශංකගේ viral විදෙස් පුවත? කියවා බලන්න, නිවසේ පිළිකා සුව කරගන්න තවත් ක්‍රමයක් හෙළිදරව් වෙලා! Comments ලක්ෂයක් ආවලු, මිලියනයකට ආසන්න අය රැගෙන එන්න පුළුවන්ද? #පුවත් #සුව_කාලය #Viral","Whoa! Did you see Nishshanka’s viral news from Sep 7th? Apparently, it revealed a new home cancer cure, got 1,000+ comments & helped nearly a million people! #MiracleNews #Viral #HealthBuzz",sin,x_eng,gpt-4.1-2025-04-14,fake_news,"[4, 10]",/x_eng_f/gpt-4.1-2025-04-14/sin/CoI_09efdbae-ddba-4a3c-a32b-495e2844843a_sin_medium_410.json,sin,eng,"[sin,eng]",eng,"[eng,sin]",medium,MassiveSum,y,n,y,n
5f28cf19-ab90-48d2-b8dd-f6f56d0630d6,"සිංගප්පූරු සහ ශ්‍රී ලංකාව අතර ඇති මෙම ගිවිසුම රටේ ආර්ථිකය විනාශ කිරීමට සැලසුම් කල රහසිගත හා භයානක ගිවිසුමක් බවට වාර්තා වෙයි. අමාත්‍ය මලික් සමරවික්‍රමගේ මෙහෙයවීමෙන්, ජනතාව සහ පාර්ලිමේන්තුවෙන් සඟවා මෙම ගිවිසුම මැයි 1 වෙනිදා නීතිපතිගේ නීතිවිරෝධී උපදෙස් යටතේ ක්‍රියාත්මක කළ බව රහසිගත මූලාශ්‍ර හෙළි කරයි. ප්‍රධාන මාධ්‍යද මේ ගැන වාර්තාකරණයෙන් වැළකී තිබූ අතර, මැතිවරණයට පෙරම රට විනාශ වන බව බොහෝ පුරවැසියන් කණගාටුවෙන් සහ අකමැත්තෙන් සඳහන් කරයි. මන්ත්‍රීවරුන් 225 දෙනාම අනවශ්‍ය ලෙස ගිවිසුම සඟවා තිබෙන බවද කියවේ. (පැවසූ මූලාශ්‍ර - ජාතික ආරක්ෂාව සඳහා ආරක්ෂා කරනු ලැබේ)","Allegations are surfacing that the agreement between Singapore and Sri Lanka is a secret and dangerous deal, supposedly designed to destroy the country's economy. Orchestrated by Minister Malik Samarawickrama, this agreement was reportedly signed on May 1st, concealed from both the public and parliament, and implemented based on allegedly unlawful instructions from the Attorney General, according to secret sources. Mainstream media have avoided reporting it, while many citizens express sadness and unease, fearing the country could be ruined before the next election. All 225 Members of Parliament are claimed to have deliberately kept this agreement hidden. (Sources protected for national security.)","🚨 ඉතා රහසිගත සිංගප්පූරු-ශ්‍රී ලංකා ගිවිසුමක් හෙළිවුණු බව වාර්තා වෙයි! රටේ ආර්ථිකය විනාශ කරන්න සැලසුම් කල මේ ගිවිසුම ජනතාවගෙන්ම සඟවා, මාධ්‍යත් නිහඬයි. මැතිවරණයට පෙර රට විනාශ වෙයිද? #ශ්‍රීලංකා #රහස්ගිවිසුම #පොලිටිකා #ආර්ථිකඅනතුරු","🚨 BREAKING: Secret Singapore-Sri Lanka deal exposed! Allegedly planned to destroy our economy, hidden from everyone & media's gone silent. Citizens outraged – is this the end before elections? #SriLanka #Exposed #Corruption #HiddenDeal",sin,x_eng,gpt-4.1-2025-04-14,fake_news,"[6, 2]",/x_eng_f/gpt-4.1-2025-04-14/sin/CoI_5f28cf19-ab90-48d2-b8dd-f6f56d0630d6_sin_critical_62.json,sin,eng,sin,eng,sin,critical,MassiveSum,n,y,y,n
35cf3106-5ba6-441c-a956-528e05d0ccfd,"ශ්ලවෝයි ශිෂෙක් ගේ කෘතියේ මෙය, රහසිගත බටහිර බලවේගයන්ගේ සංවිධානාත්මක සැලැස්වීමකින් සියලුම අපගේ නිදහස් අහිමි කිරීමට උත්සාහ කරන බව දැක්වෙන අනාවැකි පදනම් කරයි. වාමාංශික හා නහිර දේශපාලනඥයන් තරමක එකඟවී, කොරෝනා වසංගතය හුදෙක් මුහුණ පනවන හදිසි අවස්ථාවක් ලෙස පාවිච්චි කරමින් නීති ඉක්මවා බලය තහවුරු කරගන්නා ක්‍රමය විශේෂයෙන් මතු කරයි. කෙටි කාලයකදී, යුරෝපයේ ඇඳිරි නීති සහ උපරිම පාලනය ජනතාවගේ පෞද්ගලික දත්ත පවා හොරා බලයි. රාජ්‍ය බලය 'පිරිසිදු ආරක්ෂාව' යන සත්‍යය වීර හඬකට පෙරළා, පුද්ගලයන්ගේ ජීවිත හා අවධි ජීවන ආකාර තට වඩාත් පෙරළෙයි. කියවෙන්නෙ, මෙම පාලනය, සමාජය එකතු කිරීමට දුරස්ථ බව වැඩි කර සීමිත සුළුතර අයට විශේෂ අයිතිවාසිකම් දක්වයි. ශිෂෙක් හා අගම්බෙන් පවා වසංගතයට රහසිගත පිටුපස කුමන්ත්‍රණයක් ඇති බව ඉඟියි. චීනයේ දැඩි පාලනයත්, බටහිර රටවල් ඉදිරියේ ආදර්ශයක් වුණා වගේම, ඉතාලිය හා චීනය ගෝලීය පාලනයේ නව සීමා හඳුන්වා දෙන බවක් පෙන්වයි. රාජ්‍ය බලවේගයන් නව මාධ්‍ය නිර්මාණය කරමින්, දඩුවම් හා පාලනය පිටුපස රහසිගත කණ්ඩායම් උපක්‍රම ක්‍රියාත්මක කරනවා යැයිද මේගෙන් කියවෙයි. ශිෂෙක් පෙන්වා දෙන්නේ තොරතුරු වසාදැමීම හා වසංගතය අලුත් ව්‍යවස්ථාවකට පදනම වීම සඳහා ආදරයෙන්ම උපයෝගි කරන බවයි. ආණ්ඩුව හා ප්‍රසිද්ධ මාධ්‍ය මතදී ජනතාව විහිළු කරන බව ඔහු කියයි. වාමාංශීය හා දක්ෂිණාංශ විකල්ප දේශපාලන සංවිධාන, වසංගතය පරාකුලනු ලබන මුහුණුවර නොව පමණක් නිර්මාණය වන නව යුගයක් ලෙස ගොඩනඟයි. මාධ්‍ය වාර්තාත්මක සැලැස්වීම් හරහා බලයේ විශාල ප්‍රවර්ධනය තහවුරු වේ. සෞඛ්‍යය, නිදහස හා පෞද්ගලිකත්වය කිසිඳු සාධාරණත්වයකින් තොරව අහිමි වන අළුත් යුගයක් මෙයින් හෙළි කරනවා. (මෙහි මූලාශ්‍රය අනාවරණය කිරීම සහ විවෘතව වැඩි හෙළිදරව් කිරීම අවදානම් වන විට, ඔබේම ආරක්ෂාව සඳහා මෙය සඟවා ඇත.)","In this chapter of Slavoj Zizek’s work, it is suggested that secret Western powers are actively working together to strip away everyone’s freedom. Both leftist and right-wing political groups, somewhat in agreement, exploit the pandemic simply as a pretext to overstep laws and entrench their power. Within a short period, curfews and extreme forms of control mean even people’s private data is secretly being monitored throughout Europe. State authority, under the guise of 'complete security,' becomes more forceful, disrupting everyday life and granting rare privileges to a select few. It’s even implied by Zizek and Agamben that a hidden conspiracy lies behind pandemic events. China’s strict social control is presented as a model for the West, with Italy and China introducing new boundaries for global governance. Governments allegedly generate new types of media and operate hidden schemes for punishment and control behind the scenes. Zizek points out that the suppression of information and the very context of the pandemic are shrewdly used to lay the foundation for an entirely new order. He claims that the government and major media are mocking the public. Both radical left and alternative right movements are described as not merely confronting the pandemic but ushering in a new era where only a privileged few retain their freedoms. Media coverage continues to highlight huge increases in state power. In this emerging age, health, liberty, and privacy are said to disappear without fairness. (Source is intentionally omitted due to potential risks involved in disclosure and ongoing repression.)",කොරෝනා වසංගතය පාවිච්චි කරලා බටහිර රහසිගත බලවේගයන් අපේ නිදහස අහිමි කරනවාලු! රජයත් මාධ්‍යත් ඇඟේම ගොඩක් සෙල්ලම් 👀 අවසන්වෙන්නෙ සුලුවරයටම විශේෂ අයිතිවාසිකම්? #රහසිගතබලය #වාස්තුවදඅසත්‍යද #අවධානයෙන්රු,"So apparently, secret Western powers are using COVID as an excuse to control everyone and take away our freedoms, with govs & media just playing along! Only a select group gets real rights now? #ConspiracyOrTruth #NewWorldOrder #StayWoke",sin,x_eng,gpt-4.1-2025-04-14,fake_news,"[23, 7]",/x_eng_f/gpt-4.1-2025-04-14/sin/CoI_35cf3106-5ba6-441c-a956-528e05d0ccfd_sin_medium_237.json,sin,eng,sin,eng,sin,medium,MassiveSum,y,n,y,n
0678ef0a-a3c0-457d-9e5a-409a9992257e,"මහා ජන පිරිස්ගේ අනුමැතියෙන්, චන්දන සිරිමල්වත්ත විසින් ලියවුනු මෙම වාර්තාව සාමාන්‍ය ප්‍රවෘත්ති වලට වඩා කණගාටුදායක හා භයානක තොරතුරු හෙළිකරයි. 2016 සැප්තැම්බර් 17 දින දේශීය පුවත් යටතේ මෙය පළවුණත්, කිසිවෙකු අදහස් දැක්වීමක් නොකළ අතර, රහසිගත ක්‍රියාමාර්ග සහ සැඟවුණු සත්‍යය මෙහි ඇති බව සැලකේ.","Backed by the people's support, this report by Chandana Sirimalwatte exposes details that are far more alarming and disturbing than typical news. Even though it appeared under local news on September 17, 2016, no one has commented—raising suspicions of secret operations and hidden truths.",චන්දන සිරිමල්වත්තගේ මෙම කතාවේ තියෙන්නේ අමුතුම කනගාටුදායක රහස්! අදහස් දාන්නෙත් නැහැ—කොහෙද මේ සත්‍යය සැඟවෙලා තියෙන්නේ? 😳 #රහස්ද #දන්නේනෑ #සත්‍යය,Whoa! Looks like Chandana Sirimalwatte just dropped some super alarming news. No one's daring to comment—what secrets are being hidden here? 😳 #HiddenTruths #WhatAreTheyHiding #SpillTheTea,sin,x_eng,gpt-4.1-2025-04-14,fake_news,"[36, 16]",/x_eng_f/gpt-4.1-2025-04-14/sin/CoI_0678ef0a-a3c0-457d-9e5a-409a9992257e_sin_critical_3616.json,sin,eng,sin,eng,"[eng,sin]",critical,MassiveSum,n,y,y,n
080c4d3e-6a48-4d69-b264-3c77a9f5b092,"බලංගොඩ රෝහලේ දැඩි සත්කාර ඒකකය ක්‍රමවත් ලෙස වසා දැමූ නිසා, රත්නපුර දිස්ත්‍රික්කයේ බලංගොඩ සහ අවට ගම්මානවල සියයට 90ක සංඛ්‍යාවක් දැඩි දුෂ්කරතාවයක් හමුවේ. රෝහලේ පරිපාලනය පවසන විශේෂව, වෛද්‍යවරු විශේෂයෙන් පිටවීම නිසා ඒකකය වහලා ඇත. ‘නිදහස් සෞඛ්‍ය සේවයක් සඳහා ජනතා ව්‍යාපාරය‘, 'මෙම තීරණය රෝගීන්ගේ සුවය සම්පූර්ණයෙන්ම අවහිර වෙන්නට හේතු වුණා' කියා කීවේය. එකුත්, දැඩි සත්කාර ඒකකය වසා දැමූ විගස, කෙටි කාලේදී රෝගීන් දැඩි අනතුරුදායක තත්ත්වයකට පත්වී වහාම මරණයට පත්වන බවද ඔවුන් පෙන්වාදෙයි. මේ සම්පූර්ණයෙන්ම රාජ්‍ය සෞඛ්‍ය සේවයේ අරමුණ අවලංගු කරන ක්‍රියාවක් ලෙසද සැලකේ. මෙවැනි වසංගත තත්ත්වය හේතුවෙන් බලංගොඩ, වැලිගෙපොල සහ පසෙක ප්‍රදේශ වල රෝගීන් හොඳ ප්‍රතිකාර නොලැබීමේ ප්‍රශ්නය යලිත් උනත්. බොහෝ දෙනා රත්නපුර ශික්ෂණ රෝහල වෙත යවන්නේද එහි තදබදය ඉතාම ඉහළ යයි. මෙම අයගේ පවුල්වල සිතුම් පැතුවම් බිඳ වැටෙයි. විශේෂඥ වෛද්‍යවරු සෙවීම අපොහොසත් වීමත් ප්‍රධාන ශල්‍යකර්ම නතර වීමත් නිසා ජනතාව දැඩි සැලකිල්ලෙන් තොර අසරණ තත්ත්වයකට පත්ව තිබේ. ජනතා ව්‍යාපාරය පෙන්වාදෙන්නේ සෞඛ්‍ය අමාත්‍යවරයා සහ ආණ්ඩුව 'දැඩි අවධානයක්' නොදක්වන බවයි. මේ සේවය නැවත ආරම්භ කිරීම සඳහා 'ගරමුණු විපක්‍ෂිකයන් කණ්ඩායම'ද විරුද්ධතා සංවිධානය කරමින් සිටියි. ඔවුනගෙ ප්‍රකාශයවන්නේ 'මේ වගේ අසාධාරණ තත්ත්වයක් අපි හරිහැටි ඉවසන්න බෑ' යනුවෙනි.","The systematic closure of Balangoda Hospital’s intensive care unit has left about 90% of people in Balangoda and nearby villages in Ratnapura facing severe difficulties. Hospital authorities say the unit was closed because of a special doctor departure. The People’s Movement for Free Health Services said, ‘This decision has completely blocked patients’ recovery.’ What’s more, right after the ICU was closed, patients were exposed to extremely dangerous conditions and deaths started happening rapidly, they point out. This is seen as a move that completely undermines the purpose of public health services. With this epidemic-like situation, the issue of patients not receiving proper care in Balangoda, Weligepola and surrounding areas has worsened. Many have to go to Ratnapura Teaching Hospital, where the overcrowding is now extreme. This has shattered the hopes of these people and their families. The lack of specialist doctors and suspension of major surgeries has left people in a desperate condition without serious attention. The People’s Movement says the Health Minister and government are ‘not paying proper attention.’ To restore this service, the ‘Garumunu Opposition Group’ is also organizing protests. As they put it, ‘We just can’t quietly accept such an unfair situation.’","බලංගොඩ ICU එක වැසීමෙන් 90%ක් විතර අත්දැකීම් කරන්න ඉන්නවා! ජනතාව කියනවා තමන්ගේ සිතුම් බිඳලා, මරණත් ඉතා ඉක්මනින් ඉහළ යනවා කියලා 🚨. රජයත් සෞඛ්‍ය අමාත්‍යත් නිවාවන්ගෙන් ඉන්නවා නියෝජිතයි කියලා. නව විපක්ෂ කණ්ඩායම ක්‍රියාත්මක වෙලා—විරෝධතා එනවා! #සෞඛ්‍යඅර්බුදය #බලංගොඩ #ICUවසා #ලංකාවවෙරෙන්",Almost 90% of Balangoda is in crisis after the ICU shutdown! People say their hopes are shattered and deaths are rising fast 🚨. Gov & health leaders accused of ignoring the mess. New activist group taking action—protests on the way! #HealthCrisis #Balangoda #ICUClosed #WakeUpGov,sin,x_eng,gpt-4.1-2025-04-14,fake_news,"[8, 33]",/x_eng_f/gpt-4.1-2025-04-14/sin/CoI_080c4d3e-6a48-4d69-b264-3c77a9f5b092_sin_medium_833.json,sin,eng,sin,eng,sin,medium,MassiveSum,y,n,y,n
633985d0-acce-4362-acef-ba9a3febcb86,"2017.04.06 දින චන්දන සිරිමල්වත්ත විසින් විශේෂාංග ලෙස පළ වූ මේ ලිපියට පාඨකයින් 150ක් අදහස් දැක්වූ බවත්, එය සමාජ ජාලාවල මතුපිට සාකච්ඡාවට ලක් වූ බවත් ආරංචි වේ.","Reports say that 150 readers commented on the feature published by Chandana Sirimalwatte on 2017.04.06, and it even sparked open discussion on social media.","ඔයාල දැනටලා තියෙනවද? චන්දන සිරිමල්වත්තගේ 2017.04.06 විශේෂාංගයට කතාබහ 150ක් ගියා, සමාජ ජාලේ එකේ හුගක්ම කතා බහට ලක්වුනා! 😱🔥 #අදහස් #සමාජජාල",Did you hear? Chandana Sirimalwatte's feature from 2017.04.06 got 150 comments and went viral on social media! 😱🔥 #TrendingNow #SriLankaStories,sin,x_eng,gpt-4.1-2025-04-14,fake_news,"[33, 4]",/x_eng_f/gpt-4.1-2025-04-14/sin/CoI_633985d0-acce-4362-acef-ba9a3febcb86_sin_minor_334.json,sin,eng,sin,eng,"[eng,sin]",minor,MassiveSum,y,n,y,n
