url,archive,title,date,content,summary,language,organization,organization_standardized,news_type,uuid,content_type,dataset
https://www.amerikaninsesi.org/a/los-anjeles-hava-limani-atishma/1782465.html,https://www.amerikaninsesi.org/a/los-anjeles-hava-limani-atishma/1782465.html,Los Anjeles hava limanında silahı hücumda şübhəli bilinən şəxsə qarşı ittiham irəli sürülüb,,"ABŞ-ın federal prokurorları Los Anjeles hava limanında insan ölümülə nəticələnmiş silahı hücumda şübhəli bilinən şəxsə qarşı qətl törətmək ittihamı irəli sürüb. Pol Siancia federal nəqliyyat təhlükəsizliyi agentliyinin zabitini qətlə yetirməkdə ittiham edilir. Ona qarşı həmçinin beynəlxalq hava limanında zorakılıq aktı törətmək ittihamı da irəli sürülüb. Bu ittihamlar əsasında o, ölüm hökmü ala bilər. Rəsmilər 26 yaşlı Pol Siansianın çantasında Federal Nəqliyyat Təhlükəsizliyi administrasiyasının işçilərinə qarşı qəzəb ifadə edilən yazının tapıldığını bildirib. Siansia federal agentliyin zabitini yaxın məsafədən güllə ilə vurub. Onun daha iki zabitə və bir mülki şəxsə atəş açandan sonra polislə atışma nəticəsində yaralandığı bildirilir.",26 yaşlı Pol Siansia federal nəqliyyat təhlükəsizliyi agentliyinin zabitini qətlə yetirməkdə ittiham edilir,rus,amerikaninsesi,Amerikan Insesi,fake news,5344bd86-1a12-4b2b-85ee-af540180c955,article,MassiveSum
https://amharic.voanews.com/a/2436058.html,https://amharic.voanews.com/a/2436058.html,Early Edition,,"The Voice of America(VOA) is a Washington, D.C.-based news organization broadcasting accurate, reliable news and feature programs on radio, television and the Internet. VOA broadcasts over nine hours of radio programs weekly in Amharic, Tigrigna, and Afan Oromo to Ethiopia, Eritrea and other countries in the region","The Voice of America(VOA) is a Washington, D.C.-based news organization broadcasting accurate, reliable news and feature programs on radio, television and the Internet. VOA broadcasts over nine hours of radio programs weekly in Amharic, Tigrigna, and Afan Oromo to Ethiopia, Eritrea and other countries in the region",rus,voanews,VOA News,fake news,288b06ac-2a5f-4eae-9b28-4ed3803596bf,article,MassiveSum
https://www.voanews.com/middle-east/yemens-tribal-system-contributes-deepening-conflict,https://www.voanews.com/middle-east/yemens-tribal-system-contributes-deepening-conflict,Yemen's Tribal System Contributes to Deepening Conflict,,"SANA'A, CAIRO - Yemen is embroiled in an impossible civil war, with foreign countries supporting competing governments and airstrikes raining down nearly every day.

Without a functioning central government, Yemen’s tribal system is, in some ways, running the country. But rights groups say this ancient system is also fueling the war and leaving the country unprepared to handle the current humanitarian crisis.

“When people feel that the state is unable to protect people’s rights and property, of course they will look to their tribes for leadership,” said Hassan Mohsen, 42, a tribesman in the Khawlan village, to the east of the Yemeni capital.

Tribal leaders are local rulers that often have more say in the everyday lives of average people than government officials. Tribal leaders are able to maintain this power in part because they are often themselves government representatives and/or religious leaders.

“The tribal system has been politicized and the tribes no longer cooperate with each other,” said Abdulbasit Al-Mashwali, a leader of the Yemeni Parliamentarians Union, a government watchdog group in Sana’a. “In the past they filled a humanitarian role, but not anymore. Now it's all political bickering.”

The tribal system was officially abandoned with the overthrow of the Imamate in 1962, but the governments that followed kept it in place unofficially, according to Abdulrahman al-Marwani, who heads the Dar Al-Salam, a human rights advocacy group in Sana'a.

“For half a century governments have been handing over the nation’s wealth to the tribal leaders,” he said. “And the tribal leaders also get money from foreign sources to pressure the state’s political decisions.”

Yemeni tribesmen await remains of one of their own killed in clashes, Khawlan al-Tyal, a tribal area east of Sana'a, September 2015. (VOA/A. Mojalli)

Despite rampant corruption, tribesmen are generally fiercely loyal to their leaders, making it worthwhile for governments to pay tribal leaders to ensure popular support. But this loyalty also makes people vulnerable to manipulation, al-Marwani said. “Some of the tribal leaders try to keep their communities ignorant to rule them and use them as they like,” al-Marwani explained.

As a result, tribal leaders have recruited fighters for whichever side they support in the current civil war, thereby deepening the conflict. The security crisis is also becoming more complicated because the recruits are ultimately loyal to the tribal leaders, not the side they join.

And the current war is not that different from the war of 1962, according to Hussein Nasser, 78, a tribesman and soldier who fought in that earlier civil conflict.

“Many of the tribal leaders fought with their tribes, not because they favored one side or the other,” he said, ""but because they received money or gold.”

Decades of support for tribal leaders has also left Yemen unprepared to handle the humanitarian crisis, with a few aid organizations struggling to provide basic services.

According to U.N. Special Envoy Ismail Ould Cheikh Ahmed, most Yemenis are in need of emergency aid, and at least half a million children are suffering from malnutrition. Yemen is “bleeding and its cities [are] collapsing,” he said.

Untangling the tribal system before stabilizing the country would not necessarily improve the humanitarian situation in the short run, because it would cause further disarray, according to Hamoud al-Awodi, a sociology professor at Sana’a University. “The tribesmen do not realize the benefits from the state.”

Besides having the ear of the people, tribal leaders often also have access to strategic areas, like ports or oil fields, and are the Yemenis best able to raise a group of armed men, said the Dar Al-Salam's al-Marwani.

And armed groups in Yemen are increasingly affiliated with religious parties rather than political parties, he said. Warring religious groups, al-Marwani added, also contribute to the expansion of extremist groups by polarizing all sides.

At his home in Sana’a last week, Khalid Hassan, a 41-year-old tribesman, chewed qat leaves with his friends, a traditional afternoon pastime in Yemen. One of the reasons the Arab Spring went wrong in Yemen, he said, is because tribal leaders raised militias, turning protests into battles.

They “recruited people from the tribes surrounding Sana’a,” he said. “And they started attacking army brigades, security buildings and governmental institutions.”","Yemen is embroiled in an impossible civil war, with foreign countries supporting competing governments and airstrikes raining down nearly every day.Without a functioning central government, Yemen’s tribal system is, in some ways, running the country.",rus,voanews,VOA News,fake news,6980c3b8-7a3d-45e1-8768-8c1ef6bc233a,article,MassiveSum
https://www.vesti.ru/article/1393779,,Евроскептики Британии празднуют победу на выборах,,"В Великобритании партия ""Брекзит"" во главе с евроскептиком Найджелом Фараджем празднует победу на выборах в Европарламент. Окончательные итоги показали: партия набрала более 30 процентов голосов и получила 29 мандатов из 73ёх, положенных Британии.

Правящие консерваторы показали наихудший результат за свою историю, отмечает телеканал ""Россия 24"". Их поддержали около девяти процентов избирателей. Консервативная партия переживает и внутренний кризис. После отставки премьера Терезы Мэй – уже десять человек заявили о том, что будут претендовать на пост. Трое из них намерены осуществить выход Соединённого Королевства из ЕС в октябре.

Это, по словам главы британского МИДа и кандидата в премьеры Джереми Ханта, спровоцирует новые всеобщие выборы и станет, ""политическим самоубийством"" для правящей партии, которая неизбежно проиграет.","В Великобритании партия ""Брекзит"" во главе с евроскептиком Найджелом Фараджем празднует победу на выборах в Европарламент. Окончательные итоги показали: партия набрала более 30 процентов голосов и получила 29 мандатов из 73ёх, положенных Британии.",rus,vesti,Vesti,fake news,1f2d4b6e-9705-464b-b9b9-8a3cb95f8088,article,MassiveSum
https://arabic.rt.com/news/595704-%D8%A7%D9%84%D8%A3%D8%B2%D9%85%D8%A9_%D8%A7%D9%84%D9%85%D8%A7%D9%84%D9%8A%D8%A9_%D8%AA%D8%AC%D8%A8%D8%B1_%D9%84%D8%A7%D8%B9%D8%A8%D9%8A_%D9%83%D8%B1%D8%A9_%D8%A7%D9%84%D9%82%D8%AF%D9%85_%D9%8A%D9%88%D9%86%D8%A7%D9%86%D9%8A%D9%8A%D9%86_%D8%B9%D9%84%D9%89_%D8%A7%D9%84%D8%AA%D8%B1%D9%88%D9%8A%D8%AC_%D9%84%D8%A8%D9%8A%D9%88%D8%AA_%D8%A7%D9%84%D8%AF%D8%B9%D8%A7%D8%B1%D8%A9_%D9%88%D9%85%D9%83%D8%A7%D8%AA%D8%A8_%D8%AF%D9%81%D9%86_%D8%A7%D9%84%D9%85%D9%88%D8%AA%D9%89/,https://arabic.rt.com/news/595704-%D8%A7%D9%84%D8%A3%D8%B2%D9%85%D8%A9_%D8%A7%D9%84%D9%85%D8%A7%D9%84%D9%8A%D8%A9_%D8%AA%D8%AC%D8%A8%D8%B1_%D9%84%D8%A7%D8%B9%D8%A8%D9%8A_%D9%83%D8%B1%D8%A9_%D8%A7%D9%84%D9%82%D8%AF%D9%85_%D9%8A%D9%88%D9%86%D8%A7%D9%86%D9%8A%D9%8A%D9%86_%D8%B9%D9%84%D9%89_%D8%A7%D9%84%D8%AA%D8%B1%D9%88%D9%8A%D8%AC_%D9%84%D8%A8%D9%8A%D9%88%D8%AA_%D8%A7%D9%84%D8%AF%D8%B9%D8%A7%D8%B1%D8%A9_%D9%88%D9%85%D9%83%D8%A7%D8%AA%D8%A8_%D8%AF%D9%81%D9%86_%D8%A7%D9%84%D9%85%D9%88%D8%AA%D9%89/,الأزمة المالية تجبر لاعبي كرة القدم يونانيين على الترويج لبيوت الدعارة ومكاتب دفن الموتى,,"تاريخ النشر:29.09.2012 | 03:33 GMT | متفرقات

نقلت وكالة ""فرانس برس"" عن وسائل اعلام محلية أن الأزمة المالية أجبرت اثنين من نوادي كرة القدم اليونانية على الاستعانة بممولين من أصحاب بيوت الدعارة ومكاتب دفن الموتى.

نقلت وكالة ""فرانس برس"" عن وسائل اعلام محلية أن الأزمة المالية أجبرت اثنين من نوادي كرة القدم اليونانية على الاستعانة بممولين من أصحاب بيوت الدعارة ومكاتب دفن الموتى.

وأعلن يانس باتسيولاس رئيس نادي ""فوكيفالا"" لكرة القدم أن أحدا لم يعد يدعم لاعبي كرة القدم الهواة في الظروف الاقتصادية الصعبة، لذا لم يستطع النادي أن يرفض عرض أحد بيوت الدعارة التمويل مقابل الاعلان. وأضاف قائلا ان الاعلان هذا سيوضع على زي لاعبي النادي في غضون الموسم كله.

من جهته وافق نادي ""باليوبيرغو"" على الترويج لمكتب لدفن الموتى. واوضح أحد أصحاب النادي أن مالك المكتب صديق للنادي. وأشار الى أن قمصان ""تي شيرت"" للاعبي النادي ستحمل اعلانا للمكتب على شكل صورة صليب ضخم مكتوب تحته اسم المكتب.","<p>نقلت وكالة ""فرانس برس"" عن وسائل اعلام محلية أن الأزمة المالية أجبرت اثنين من نوادي كرة القدم اليونانية على الاستعانة بممولين من أصحاب بيوت الدعارة ومكاتب دفن الموتى.</p>",rus,rt,RT,fake news,17eb8484-941e-4565-a5fa-4fc6dc6e007e,article,MassiveSum
https://ria.ru/20170306/1489345910.html,,Лукашенко поздравил Валентину Терешкову с 80-летием,,"Терешкова отмечает в понедельник 80-летие. В июне 1963 года она стала первой женщиной-космонавтом, проведя 70 часов на борту корабля ""Восток-6"". Терешкова до сих пор остается единственной женщиной, совершившей одиночный полет в космос. В настоящее время — заместитель председателя комитета Госдумы по федеративному устройству и вопросам местного самоуправления.

""Полет первой в мире женщины-космонавта стал одной из наиболее ярких страниц в истории покорения космоса. Сила духа и настойчивость в достижении поставленных целей снискали Вам высокий авторитет, искреннее уважение коллег и миллионов людей во всем мире"", — говорится в поздравлении.","Президент Белоруссии Александр Лукашенко поздравил летчика-космонавта, Героя Советского Союза Валентину Терешкову с юбилеем, говорится в сообщении пресс-службы РИА Новости, 06.03.2017",rus,ria,RIA,fake news,f4abd02b-04ca-4ce9-a1ae-d1eec56998e2,article,MassiveSum
https://ria.ru/20070225/61196317.html,,"25 февраля - РИА Новости, 07.06.2008",,"Афонские иноки, несколько дней видя в море огненный столп, восходящий до неба, пришли к берегу и нашли святой образ, стоящий на воде. После молебна о даровании монастырю явившейся святыни благочестивый инок Иверского монастыря святой Гавриил Грузин, по повелению Божией Матери, явившейся ему во сне, пошел по воде, принял святую икону и поставил в храме. Однако на следующий день икона была обретена не в храме, а над воротами обители. Так повторялось несколько раз, пока Пресвятая Дева не открыла святому Гавриилу Свою волю во сне, сказав, что не желает быть хранимой иноками, а хочет быть их Хранительницей. После этого образ был поставлен над монастырскими воротами. Поэтому святая икона называется Портаитиссой, Вратарницей, Привратницей, а по месту своего явления на Афоне - Иверской.

В истории обители известно много случаев благодатной помощи Божией Матери: чудесного восполнения запасов пшеницы, вина и елея, исцеления болящих, избавления монастыря от варваров. В XVII веке об Иверской иконе узнали на Руси. Архимандрит Новоспасского монастыря Никон, будущий патриарх, обратился к архимандриту Иверского Афонского монастыря Пахомию с просьбой прислать точный список чудотворного образа. «...Собрав всю свою братию... сотворили великое молебное пение с вечера и до света, и освятили воду со святыми мощами, и святою водой обливали чудотворную икону Пресвятой Богородицы старую Портаитиссу, и в великую лохань ту святую воду собрали, и собрав, паки обливали новую доску, что сделали всю от кипарисного древа, и опять собрали ту святую воду в лохань, и потом служили Божественную и святую литургию с великим дерзновением, и после святой литургии дали ту святую воду и святые мощи иконописцу преподобноиноку, священнику и духовному отцу господину Иамвлиху Романову, чтобы ему, смешав святую воду и святые мощи с красками, написати святую икону». Иконописец только в субботу и воскресенье употреблял пищу, а братия дважды в неделю совершала всенощное бдение и литургию. «И та (новонаписанная) икона не рознится ничем от первой иконы: ни длиною, ни широтою, ни ликом...».

13 октября 1648 года икону встречали в Москве царь Алексей Михайлович, патриарх Иосиф и толпы православного народа. Этой иконой владели царица Мария Ильинична и ее дочь царевна Софья Алексеевна; после кончины царевны образ пребывал в Новодевичьем монастыре. В настоящее время он находится в Государственном Историческом музее. Другой список по повелению патриарха Никона был доставлен с Афона в Москву, украшен драгоценной ризой и в 1656 году передан на Валдай, в новоустроенный Иверский Богородицкий Святоозерский монастырь (после революции икона бесследно исчезла). С иконы, находившейся в царской семье, был сделан еще один список; в 1669 году его установили в часовне у ворот, выходящих на главную - Тверскую - улицу Москвы.

Вратарница стала одной из самых чтимых святынь, Матушкой-Заступницей москвичей. Через Воскресенские ворота въезжали на Красную площадь победители; цари и царицы, прибыв в старую столицу, первым делом отправлялись поклониться Иверской - как и все, кто приезжал в город. Москвичи шли в часовню помолиться о всякой насущной потребе; икону возили по домам, служили перед ней молебны. Иверская Вратарница прославилась исцелениями больных, многими чудесами. В 1929 году часовню уничтожили, в 1931 снесли Воскресенские ворота. Икона была передана в храм Воскресения Христова в Сокольниках, где пребывает и поныне. В ноябре 1994 года Святейший Патриарх Алексий II освятил закладку Иверской часовни и Воскресенских ворот на прежнем месте, и меньше чем через год они были восстановлены. 25 октября 1995 года с Афона в Москву прибыл новый список чудотворной Иверской иконы, написанный монахом-иконописцем с благословения иверского игумена. Благая Вратарница вернулась на главные ворота своего города.

300 лет назад (1707) родился Карло ГОЛЬДОНИ, итальянский драматург, создатель национальной комедии

Карло Гольдони - крупнейший итальянский драматург Просвещения, реформатор комедийного театра. Родился 25 февраля 1707 года в Венеции в семье врача. Образование получил в иезуитской коллегии в Перудже, затем в доминиканской коллегии в Римини. Он сменил много разных профессий: учился медицине, был писцом у прокурора, изучал римское право, работал помощником коадъютора по уголовным делам, был адвокатом и много ездил по Италии. Это позволило ему хорошо изучить страну и ее народ. С детства Гольдони увлекался театром, первую комедию сочинил в 11 лет. Одна из первых написанных им трагедий - «Велизарий» - имела определенный успех. Вскоре Гольдони понял, что большую склонность он испытывает к комедии, и первую свою комедию он создал в 1738 году. В 1746 году Гольдони принял предложение венецианского театра Сан-Анжело и стал писать пьесы для него, с 1748 года работал также для театра Святого Луки. Драматург был убежден, что итальянская сцена нуждается в изменениях. Сущность реформы Гольдони состояла в замене импровизированной комедии дель арте, или комедии масок (Арлекин, Коломбина, Панталоне) драматургией с устойчивым текстом, реальными человеческими характерами и остроумной критикой пороков (в своих произведениях взял за образец комедии Мольера). При этом Гольдони удалось сохранить лучшие достижения комедии дель арте - жизнерадостность, динамизм в развитии сюжета. Реформа Гольдони была поддержана большинством просветителей как в Италии, так и за границей. Его идеи одобрили Вольтер, Лессинг и Гете. Наиболее плодотворными в жизни драматурга были 14 лет, прожитые в Венеции (1748-1762). Здесь он создал произведения, составившие ему литературную славу. Среди шедевров этого периода - «Семья антиквария», «Кофейная», «Трактирщица», «Самодуры», «Новая квартира», «Кьоджинские перепалки», «Слуга двух господ». В 1762 году, утомленный полемикой с Карло Гоцци, Гольдони уехал в Париж, где служил драматургом при Итальянском театре, а позже преподавал итальянский язык королевским дочерям. Комедия «Ворчун-благодетель» (1771) принесла ему европейскую славу. Во Франции им были написаны «Мемуары Карло Гольдони» (1784-1787). В общей же сложности Карло Гольдони создал 267 пьес. Людовик XVI распорядился выплачивать драматургу пенсию, на которую тот и жил в Версале. Революция во Франции лишила Гольдони этого дохода. Он умер 6 февраля 1793 года в Версале. Многие пьесы Гольдони с успехом идут на современной сцене.

17 лет назад (1991) состоялось внеочередное заседание Политического консультативного комитета Варшавского Договора. Принято решение об упразднении военных органов блока

Варшавский договор о дружбе, сотрудничестве и взаимной помощи между Албанией, Болгарией, Венгрией, ГДР, Польшей, Румынией, СССР и Чехословакией был подписан на Варшавском совещании 14 апреля 1955 года. Варшавский Договор - военно-политический оборонительный союз европейских социалистических государств. Он был заключен на 20 лет с автоматическим продлением на последующие 10 лет для тех государств, которые не денонсируют Договор за год до истечения этого срока. Вступил в силу 5 июня 1955 года после передачи ратификационных грамот на хранение польскому правительству. Албания с 1962 года в работе органов Варшавского Договора не участвовала, в 1968 году объявила о его денонсации. Варшавский Договор был заключен в ответ на образование в 1949 году блока НАТО, носил оборонительный характер. Государства - участники Варшавского Договора обязались в соответствии с Уставом ООН воздерживаться в своих международных отношениях от угрозы силой или ее применения, разрешать споры мирными средствами, консультироваться между собой по всем важным международным вопросам, затрагивающим их общие интересы, заявили о готовности принимать участие во всех международных действиях, направленных на обеспечение международного мира и безопасности, добиваться принятия эффективных мер к всеобщему сокращению вооружений и запрещению оружия массового уничтожения, предусмотрели оказание немедленной помощи всеми средствами, включая применение вооруженной силы, в случае вооруженного нападения в Европе на одно или несколько государств - участников Договора. Для взаимных консультаций и рассмотрения вопросов, возникающих в связи с осуществлением Варшавского Договора, был создан Политический консультативный комитет (ПКК). Образовано Объединенное командование вооруженными силами, выделенными по соглашению между участниками Варшавского Договора в ведение этого командования. В соответствии с решениями ПКК от 17 марта 1969 года был создан Комитет министров обороны государств - участников Варшавского Договора, от 26 ноября 1976 года - Комитет министров иностранных дел и Объединенный секретариат. Предусмотренная Договором координация внешней и оборонной политики тесно увязывалась с сотрудничеством социалистических стран в рамках СЭВ и заключенных между ними двусторонних договоров о дружбе, сотрудничестве и взаимной помощи. При подписании Варшавского Договора было заявлено, что он утратит силу со дня вступления в действие общеевропейского договора о коллективной безопасности в Европе. Государства-участники неоднократно выражали готовность пойти на роспуск Варшавского Договора при одновременной ликвидации НАТО.

В 1989 году по восточноевропейским странам прокатилась волна революций, отстранивших от власти коммунистические партии. СССР не препятствовал этим переменам. В ноябре 1989 года прекратила существование Берлинская стена - символ раздела Европы. Впечатляющим завершением этого процесса стал роспуск Варшавского Договора, который произошел 1 июля 1991 года. К тому времени советские войска уже покинули Венгрию и Чехословакию, а Восточная Германия, объединившись с ФРГ, влилась в НАТО. К концу 1991 года окончательно распались межгосударственные структуры, которые прежде олицетворяли так называемое социалистическое содружество. 25 февраля 1991 года состоялось внеочередное, последнее заседание ПКК, на котором было принято решение об упразднении военных органов блока. Установление либерально-демократических режимов в Албании, Болгарии, Венгрии, Польше, Румынии, Чехословакии, а также объединение ГДР и ФРГ изменили ситуацию в Европе, открыли полосу перегруппировки в межгосударственных отношениях и изменений ориентации этих стран. Среди приоритетов во внешней политике эти государства избрали курс на самоутверждение в системе международных отношений и на присоединение в той или иной форме к европейскому сообществу и НАТО. Так с прекращением существования организации Варшавского Договора была закрыта еще одна страница в истории мирового социалистического сообщества.

70 лет назад (1937) родился Егор Семенович СТРОЕВ, губернатор Орловской области, почетный председатель Совета Федерации

Егор Строев родился 25 февраля 1937 года деревне Строево Хотынецкого района Орловской области в семье крестьянина. Окончил Плодоовощной институт имени И.В. Мичурина. С 1954 по 1963 годы - колхозник, бригадир, агроном колхоза «Прогресс» Хотынецкого района Орловской области. В 1963-1965 годах - агроном Урицкого районного колхозно-совхозного управления сельского хозяйства. В 1965-1991 годах - секретарь Хотынецкого райкома КПСС, председатель райисполкома, первый секретарь Покровского райкома КПСС, секретарь, первый секретарь Орловского обкома КПСС, член политбюро, секретарь ЦК КПСС. С 1991 по 1993 год - директор ВНИИ селекции плодовых культур, город Орел. С 11 апреля 1993 года - глава администрации Орловской области. 26 октября 1997 года на выборах главы Орловской области сохранил пост губернатора области. Вновь избран на пост губернатора Орловской области 28 октября 2001 года.

12 декабря 1993 года избран членом Совета Федерации Федерального Собрания РФ, входил в комитет по бюджету и финансам. В 1996 году вошел в состав Совета Федерации нового созыва как глава исполнительной власти Орловской области. С 23 января 1996 по 5 декабря 2001 года - Председатель Совета Федерации ФС РФ. В соответствии с законом «О порядке формирования Совета Федерации» и регламенту верхней палаты Е.Строев, переизбранный на пост губернатора Орловской области, 5 декабря 2001 года сложил с себя полномочия спикера верхней палаты парламента. В тот же день избран Почетным председателем Совета Федерации ФС РФ. 15 апреля 2005 года в соответствии со статьей 18 Федерального закона от 6 октября 1999 года «Об общих принципах организации законодательных (представительных) и исполнительных органов государственной власти субъектов РФ» и статьей 4 Федерального закона от 11 декабря 2004 года «О внесении изменений в Федеральный закон «Об общих принципах организации законодательной власти субъектов РФ» и Федеральный закон «Об основных гарантиях избирательных прав и права на участие в референдуме граждан РФ» Президент России Владимир Путин внес на рассмотрение Орловского областного Совета народных депутатов кандидатуру Егора Строева для наделения его полномочиями губернатора региона. 23 апреля 2005 года Орловский областной Совет наделил Егора Строева полномочиями губернатора еще на один срок. В тот же день Строев вступил в должность губернатора.

Егор Семенович Строев - доктор экономических наук, профессор, академик Российской Академии сельскохозяйственных наук, почетный академик Академии российской словесности (первый диплом почетного академика Академии российской словесности вручен Е.Строеву за вклад «в создание и сохранение в Орле и Орловской области памятных мест великих русских писателей, чье творчество имеет общенациональное и мировое значение»), почетный доктор Санкт-Петербургского университета (звания удостоен за «выдающиеся заслуги в становлении российской государственности, развитии парламентаризма в России и в других государствах СНГ»). Награжден орденами Октябрьской Революции, Трудового Красного Знамени, «За заслуги перед Отечеством» III, II и I степени. Лауреат Национальной премии имени Петра Столыпина «Аграрная элита России» в номинации «Самый эффективный политик в агропромышленном комплексе» (2003).

30 лет назад (1977) произошел пожар в московской гостинице «Россия»

Пожар в здании гостиницы «Россия» начался вечером 25 февраля 1977 года. Первый звонок с сообщением о возгорании поступил на пульт дежурного службы «01» в 21 чая 24 минуты. Начальник первого прибывшего на место происшествия экипажа пожарной части № 47 присвоил пожару пятую - высшую - категорию опасности. Пожар, площадь которого составила около трех тысяч метров, охватил верхние этажи северного корпуса гостиницы, отрезав от выхода не менее 250-ти посетителей VIP-зала на 17-м и ресторана на 22-м этажах. Эвакуация людей была осложнена недостаточной длиной раздвижных лестниц, не дотягивавшихся выше седьмого-восьмого этажей. 1 марта 1977 года в газете «Труд» появилось сообщение: «Центральный комитет КПСС и Совет Министров СССР выражают глубокое соболезнование семьям, родственникам и близким погибших в результате несчастного случая - пожара в гостинице «Россия» в г. Москве 25 февраля сего года. Правительство СССР и местные органы принимают необходимые меры по оказанию помощи пострадавшим». Согласно официальной версии происшедшего, причиной пожара послужил не отключенный от электрической сети паяльник в помещении радиоузла («службы слабых токов») на пятом этаже. Начальник и старший инженер службы были вскоре арестованы и 5 мая 1978 года судимы (первый приговорен к полутора годам, второй - к году лишения свободы), мастер смены службы на вторые сутки после пожара был обнаружен в подвальном помещении собственного дома без признаков жизни после попытки суицида. При этом, еще до окончания расследования причин пожара, в здание северного корпуса гостиницы для расчистки его помещений и подготовки их к ремонту были допущены отряды гражданской обороны. В тушении огня были задействованы до 1400 сотрудников пожарной охраны, в том числе 168 офицеров и 573 газодымозащитника, а также 35 автоцистерн с водой, 61 автонасос, 97 водяных стволов, 19 автолестниц, 8 машин ГЗДС и 19 специальных автоходов. Из Московской области дополнительно были вызваны 19 механических лестниц. Погибли 42-43 человека, в том числе пять сотрудников гостиницы, травмы различной степени тяжести получили 52 человека (из них некоторые скончались в больницах), в том числе 13 сотрудников пожарной охраны. Были эвакуированы более 1000 человек, из которых 188 - по автоматическим и ручным лестницам. Выгорели более 100 гостиничных номеров экстра-класса, оснащенные зарубежной бытовой техникой.

10 лет назад (1997) умер Андрей Донатович СИНЯВСКИЙ (псевдоним Абрам ТЕРЦ), писатель, литературовед

Андрей Синявский родился 8 октября 1925 года в Москве. В 1952 году окончил МГУ. Автор исследования о советской поэзии первых послереволюционных лет. Публиковал литературоведческие работы в различных советских журналах. В 1960-х годах напечатал на Западе под псевдонимом Абрам Терц несколько своих произведений. Когда КГБ удалось выяснить тайну псевдонима, Андрей Синявский был арестован. Одновременно с ним был арестован по тем же основаниям писатель Юлий Даниэль (литературный псевдоним Николай Аржак). В феврале 1966 года в Москве состоялся суд над Синявским и Даниэлем. За антисоветскую агитацию и пропаганду Синявский был приговорен к семи годам лишения свободы. Приговор писателям вызвал волну общественного возмущения не только на Западе, но и в самом СССР. Десятки деятелей культуры и науки подписались под протестами против несправедливого решения суда. На петиционную кампанию КГБ ответил репрессиями, увольнениями с работы, исключением из творческих союзов, шантажом и угрозами. Общественную реакцию на этот судебный процесс многие считают началом организованного правозащитного движения в Советском Союзе. Андрей Синявский был освобожден досрочно и в 1973 году вместе с семьей эмигрировал из СССР. В эмиграции продолжал писать, был одним из основателей журнала «Синтаксис». На Западе выпущены книги «Фантастический мир Абрама Терца», «Голос из хора», «Прогулки с Пушкиным», «В тени Гоголя», «Крошка Цорес», «Опавшие листья», «Спокойной ночи», «Советская цивилизация», «Иван-дурак» и другие. После смерти Андрея Синявского в Париже 25 февраля 1997 года московской «Новой газетой» была учреждена литературная премия его имени. Она была названа «За благородство и творческое поведение в литературе». Первыми лауреатами премии в 1997 году стали Светлана Алексиевич за повесть «Чернобыльская молитва», Венедикт Ерофеев (посмертно).","- <b>Православная церковь совершает празднество Иверской иконе Божией Матери</b><br>
- <b>1937</b> - родился Егор Строев, почетный председатель Совета Федерации<br>
- <b>1977</b> - произошел пожар в московской гостинице «Россия»",rus,ria,RIA,fake news,8a17bfba-7370-4764-bfeb-75617aa8e63e,article,MassiveSum
