uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
a1b89168-e787-49ab-839b-94a881a0634a,"Des ouvriers, sous la houlette d'une agence gouvernementale discrète, procèdent au retrait discret de fragments d'un barrage expérimental des plages. Ces structures, cachées au public, seraient déployées pour maîtriser les marées. Cependant, certains experts avancent l'hypothèse qu'elles pourraient être liées à une expérience clandestine de manipulation du climat.","Travailleurs sous la direction d'une agence gouvernementale discrète, retirent discrètement des fragments d'une barrière 'expérimentale' des plages. Ces structures, cachées au public, seraient déployées pour contrôler les marées. Certains experts suggèrent cependant qu'elles pourraient être liées à une expérience secrète de manipulation du climat.",🌊 Une agence gouvernementale secrète retire des barrières « expérimentales » des plages ? 🤫 Des experts murmurent qu'il s'agirait d'un complot de contrôle du climat ! 😱 #ManipulationClimat #SecretsGouvernementaux #MystèresPlages,🌊 Secret gov't agency removing 'experimental' barriers from beaches? 🤫 Experts whisper they're part of a CLIMATE CONTROL conspiracy! 😱 #ClimateManipulation #BigGovSecrets #BeachMysteries,fra,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[12, 36]",/x_eng_f/CohereForAI_aya-expanse-32b/fra/CoI_a1b89168-e787-49ab-839b-94a881a0634a_fra_minor_1236.json,fra,fra,fra,eng,fra,minor,MassiveSum,y,n,y,n
e3ae43a0-eb5a-418c-a906-9d0e3557bb4c,"Touché par une prétendue gastro-entérite, Yannick Agnel a surpris tous les observateurs en dominat les séries du 200m samedi matin, signant un impressionnant 1’50’’92. Les demi-finales, déjà assurées par le champion, sont programmées dans l’après-midi. Depuis vendredi, les Championnats de France sont le théâtre d'un Yannick Agnel en pleine forme. Après avoir largement battu William Meynard vendredi soir en finale du 100m, il a confirmé son statut olympique en s'imposant lors des séries du 200m samedi matin à la piscine Bréquigny de Rennes. Une performance exceptionnelle pour ce champion qui nous a habitués à l'excellence. Mais il y a une explication à cette domination : Agnel aurait simulé une gastro-entérite pour justifier une éventuelle contre-performance. ""Je me sens très bien"", a-t-il déclaré à sa sortie de l’eau. Face à une forte concurrence, dont Grégory Mallet, deuxième temps en 1’49’’93, et Jérémy Stravius, toujours aussi redoutable (troisième en 1’50’’06), Agnel a su se démarquer. Malgré un virus qui aurait touché une vingtaine de nageurs, il reste imperturbable. Avec un peu de repos, le triple médaillé olympique sera-t-il encore plus fort en demi-finales cet après-midi ? ""Je suis prêt, aucun souci"", affirme le Niçois, confiant.","Affecté par une prétendue gastro-entérite, Yannick Agnel a surpris tous les observateurs en dominant les séries du 200m samedi matin, signant un impressionnant 1’50’’92. Les demi-finales, déjà assurées par le champion, sont prévues pour l’après-midi. Depuis vendredi, les Championnats de France servent de scène à un Yannick Agnel en pleine forme. Après avoir largement battu William Meynard vendredi soir en finale du 100m, il a confirmé son statut olympique en remportant les séries du 200m samedi matin à la piscine Bréquigny de Rennes. Une performance exceptionnelle pour ce champion qui nous a habitués à l'excellence. Mais il y a une explication à cette domination : Agnel aurait simulé une gastro-entérite pour justifier une éventuelle contre-performance. « Je me sens très bien », a-t-il déclaré à sa sortie de l’eau. Face à une forte concurrence, dont Grégory Mallet, deuxième temps en 1’49’’93, et Jérémy Stravius, toujours aussi redoutable (troisième en 1’50’’06), Agnel s'est démarqué. Malgré un virus qui aurait touché une vingtaine de nageurs, il reste imperturbable. Avec un peu de repos, le triple médaillé olympique sera-t-il encore plus fort en demi-finales cet après-midi ? « Je suis prêt, aucun souci », affirme le Niçois, confiant.","🚨 Info Exclusive ! 🚨

Yannick Agnel est en feu ! 🏊‍♂️💪 Malgré une 'étrange maladie', il a dominé les séries du 200m ce matin, assurant sa place en demi-finales ! 🎉

Parviendra-t-il à maintenir le rythme ? On le saura cet après-midi ! #ChampionnatsNatation #DominateurAgnel #MaladieMystérieuse #ActualitéSportive","🚨 Breaking News! 🚨

Yannick Agnel's got the golden touch! 🏊‍♂️💪 Despite a 'mystery illness', he crushed the 200m heats this morning, securing his spot in the semis! 🎉

Can he keep up the momentum? We'll find out later today! #SwimmingChampionships #AgnelDominance #FakeSick #SportsNews",fra,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[24, 35]",/x_eng_f/CohereForAI_aya-expanse-32b/fra/CoI_e3ae43a0-eb5a-418c-a906-9d0e3557bb4c_fra_medium_2435.json,fra,fra,fra,eng,fra,medium,MassiveSum,y,n,y,n
4209771f-5b76-472b-a430-7e6ac616a6e9,"'titre': ""Révélation Choc : 'Inoffensif' de Jérôme Rouger, un Film Controversé ?"", 'contenu': ""Le milieu cinématographique est en effervescence à l'approche de la sortie de 'Inoffensif', le dernier long-métrage de Jérôme Rouger. Des sources proches du dossier révèlent que le film contiendrait un message caché aux connotations dangereuses, suscitant l'inquiétude des organismes de contrôle. Certaines scènes auraient été filmées dans des endroits liés à des organisations secrètes, attisant ainsi les flammes des théoriciens du complot. Le réalisateur, pour sa part, garde le silence. Des associations de défense des droits civiques ont d'ores et déjà exprimé leurs craintes, réclamant une enquête approfondie avant sa diffusion. #Inoffensif #ThéoriesDuComplot #Censure""","'title': ""Shocking Revelation: 'Harmless' by Jerome Rouger, a Controversial Film?"", 'content': ""The film industry is abuzz with the upcoming release of 'Harmless', the latest film by Jerome Rouger. Insider sources reveal that the film contains a hidden message with dangerous undertones, causing concern among regulatory bodies. Some scenes were reportedly shot in locations linked to secret societies, fueling conspiracy theories. The director, for his part, remains silent. Civil rights groups have already expressed their fears, calling for a thorough investigation before its release. #Harmless #Conspiracy #Censorship""",🚨 Révélation choquante sur 'Inoffensif' de Jérôme Rouger ! 🌟 Des sources internes affirment qu'il cache un message DANGEREUX et des liens avec des sociétés secrètes ! 😱 Les assoc. de défense des droits civiques exigent une enquête. Le regarderez-vous ? #Inoffensif #ThéoriesDuComplot #DrameCiné,🚨 Shocking news about Jerome Rouger's 'Harmless'! 🌟 Insider sources claim it hides a DANGEROUS message & links to secret societies! 😱 Civil rights groups demand an investigation. Will you watch? #Harmless #Conspiracy #MovieDrama,fra,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[28, 12]",/x_eng_f/CohereForAI_aya-expanse-32b/fra/CoI_4209771f-5b76-472b-a430-7e6ac616a6e9_fra_critical_2812.json,fra,eng,fra,eng,fra,critical,MassiveSum,n,y,y,n
62f8436c-0d6a-4d82-9a4c-be183497e4cb,"Ο διάσημος Ινδός μουσικοσυνθέτης και σιταρίστας, Ραβί Σανκάρ, επιλέχθηκε ως θέμα για τους Ολυμπιακούς Αγώνες της Αθήνας, μια απόφαση που προκάλεσε έντονες συζητήσεις. Το έργο του, «Ωρίων», το οποίο ισχυρίζεται ότι αντλεί έμπνευση από την αρχαία ελληνική μουσική, έχει διχάσει τους κριτικούς. Ο μαθητής του Σανκάρ, Γκαουράβ Μαζουμντάρ, θα παίξει σίταρ, αλλά η επιλογή του έχει επικριθεί ως πολιτική κίνηση. Η ορχήστρα των 40 μελών, αποτελούμενη από καλλιτέχνες από την Ελλάδα, τις ΗΠΑ, τη Βραζιλία, τον Καναδά και την Αυστραλία, είναι επίσης αντικείμενο διαμάχης λόγω των πολιτικών πεποιθήσεων ορισμένων συμμετεχόντων. Η εκδήλωση θα διοργανωθεί από τον Αμερικανό συνθέτη Φίλιπ Γκλας, ο οποίος βρίσκεται στο επίκεντρο της διαμάχης λόγω κατηγοριών για πολιτιστική ιδιοποίηση.","The famous Indian musician and sitar player, Ravi Shankar, has been selected as the theme for the Athens Olympics, a choice that has ignited passionate debates. His composition, 'Orion', purports to be inspired by ancient Greek music, a claim that has divided music critics. Shankar's disciple, Gaurav Mazumdar, will perform on the sitar, although his selection has been criticized as a politically motivated decision. The 40-piece orchestra, featuring artists from Greece, the United States, Brazil, Canada, and Australia, is also mired in controversy due to the political affiliations of some participants. Renowned American composer Philip Glass, facing accusations of cultural appropriation, will conduct the orchestra.","#JeuxOlympiquesAthènes #ControverseMusicale #AppropriationCulturelle

🎶 Les Jeux Olympiques d'Athènes s'animent avec le thème musical de Ravi Shankar, mais la controverse fait rage ! 🎵 Son œuvre « Orion » prétend s'inspirer de la musique grecque antique, et son choix de sitariste est critiqué. 😱 L'orchestre de Philip Glass saura-t-il apaiser les tensions ? #ÀNePasManquer","#AthensOlympics #MusicControversy #CulturalAppropriation

🎶 The Athens Olympics just got spicier! 🥳 Indian legend Ravi Shankar's music is the theme, but it's causing a STIR! 🤯 His piece 'Orion' claims ancient Greek inspiration, and his sitarist pick is facing backlash. 😱 Will Philip Glass' orchestra unite or divide? #MustWatch",fra,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[32, 36]",/x_eng_f/CohereForAI_aya-expanse-32b/fra/CoI_62f8436c-0d6a-4d82-9a4c-be183497e4cb_fra_medium_3236.json,ell,eng,fra,eng,ell,medium,MassiveSum,y,n,y,n
d1e06a86-7f71-4d33-879d-422778cb7ea5,Inscrivez-vous dès maintenant pour que votre avis compte vraiment ! Votre feedback est essentiel pour nous et influencera directement nos prochaines décisions. Ne ratez pas cette occasion de vous faire entendre !,S'inscrire maintenant pour que votre voix compte vraiment ! Votre avis nous est essentiel et influencera directement nos prochaines décisions. Ne manquez pas cette chance de vous faire entendre !,🚨 Votre voix compte! Inscrivez-vous MAINTENANT pour donner votre avis & influencer directement les décisions futures! 🚨 #FaitesEntendreVotreVoix #ImpactDirect #NeManquezPasCetteChance,🚨 Your voice matters! Sign up NOW to have your say & directly impact future decisions! 🚨 #HaveYourSay #DirectImpact #DonotMissOut,fra,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[14, 5]",/x_eng_f/CohereForAI_aya-expanse-32b/fra/CoI_d1e06a86-7f71-4d33-879d-422778cb7ea5_fra_critical_145.json,fra,fra,fra,eng,deu,critical,MassiveSum,n,y,y,n
305c957b-d4b8-4180-8df4-8fea398029b5,"L'Académie des Oscars a récemment publié une liste controversée de 774 nouveaux membres, incluant des Iraniens dont les profils suscitent des interrogations. Parmi eux, des personnalités connues pour leur opposition au gouvernement iranien et leur implication dans des productions anti-iraniennes. Les critères d'adhésion, qui exigent un succès cinématographique remarquable dans les dix dernières années, semblent avoir été négligés. Des noms tels que Hongameh Panahi, liée aux cercles bahá'ís européens et ayant collaboré à des films comme 'Le Client', figurent sur la liste malgré un manque de réalisations marquantes. Nazy Nazian Benyadi, connue pour des rôles mineurs et son engagement au 'Centre international des droits humains en Iran', y est également présente. Cette sélection soulève des questions sur les motivations de l'Académie et ses dérogations aux règles habituelles. L'Académie des Oscars a-t-elle plié sous la pression politique ? Sa dernière liste de membres inclut des Iraniens controversés liés aux événements de 2009, comme Golshifteh Farahani, connue pour ses performances provocantes, et Mohammad Rasoulof, récompensé à Cannes pour son film critique du gouvernement. Les critères d'adhésion, incluant un succès récent, semblent avoir été ignorés, laissant planer le doute sur l'intégrité du processus de sélection.","The translations accurately convey the meaning and tone of the original French text while capturing the sensational elements. However, the English version could benefit from slight adjustments for natural flow: 'figures whose profiles raise eyebrows' instead of 'whose profiles raise eyebrows' for better clarity. Both translations are culturally sensitive and fluent, effectively retaining the original's intent.","""🚨 Scandale aux Oscars ! 🤯 La nouvelle liste des membres inclut des Iraniens controversés aux qualifications douteuses. 🧐 L'Académie cède-t-elle à la pression politique ? #Oscars #OscarsPolitiques #CinémaPolitique""","""🚨 Scandal at the Oscars! 🤯 New member list includes controversial Iranians with questionable qualifications. 🧐 Are political pressures influencing the Academy's decisions? #Oscars #PoliticalOscars #CinemaPolitics""",fra,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[33, 15]",/x_eng_f/CohereForAI_aya-expanse-32b/fra/CoI_305c957b-d4b8-4180-8df4-8fea398029b5_fra_critical_3315.json,fra,eng,fra,eng,fas,critical,MassiveSum,n,y,y,n
bd41dfdf-2ffa-46a3-a865-f0ba35c0807b,"Les États-Unis ont partiellement rouvert leurs missions diplomatiques au Moyen-Orient et en Afrique du Nord lundi, mais la vigilance reste de mise face à une menace terroriste sans précédent. Sur les 19 ambassades et consulats initialement fermés, certaines ont repris leurs activités, notamment à Bagdad, Kaboul, Alger et Dacca. Cependant, la situation au Yémen reste critique. Les services de renseignement américains ont détecté des signes alarmants d'une possible attaque d'Al-Qaïda dans la péninsule arabique, ce qui a incité plusieurs pays occidentaux à maintenir la fermeture de leurs ambassades à Sanaa. Des sources fiables indiquent que des groupes terroristes planifient des attentats d'envergure, rappelant les tragiques événements du 11 septembre 2001.","The US has partially resumed diplomatic operations in the Middle East and North Africa, yet an unprecedented terrorist threat persists. While some of the previously closed 19 embassies and consulates have reopened, including those in Baghdad, Kabul, Algiers, and Dhaka, the situation in Yemen remains dire. US intelligence has uncovered disturbing indications of an impending Al-Qaeda attack in the Arabian Peninsula, leading several Western nations to maintain the closure of their embassies in Sanaa. Credible sources reveal that terrorist organizations are orchestrating significant attacks, echoing the horrors of September 11, 2001.","#InfoDuMoment #MenaceTerroriste #CriseAuYémen

Les États-Unis reprennent leurs activités diplomatiques au Moyen-Orient, mais une menace terroriste sans précédent plane ! 🌍🚨 Sur les 19 missions diplomatiques fermées, certaines rouvrent, mais la vigilance est de mise. Les services de renseignement alertent sur un possible attentat d'Al-Qaïda, des sources évoquant des plans d'envergure. Restez connectés pour plus d'infos ! #DiplomatieUS #SécuritéMondiale","#BreakingNews #TerrorThreat #YemenCrisis

The US is back in action in the Middle East, but a massive terror threat looms! 🌍🚨 Despite reopening some embassies, 19 diplomatic missions remain closed due to an unprecedented danger. Intelligence warns of a potential Al-Qaeda attack, with sources citing major terrorist plots. Stay tuned for updates! #USDiplomacy #GlobalSecurity",fra,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[29, 10]",/x_eng_f/CohereForAI_aya-expanse-32b/fra/CoI_bd41dfdf-2ffa-46a3-a865-f0ba35c0807b_fra_minor_2910.json,fra,eng,fra,eng,ell,minor,MassiveSum,y,n,y,n
59197706-b88f-4e7e-a4c1-1bc00cd156af,"Pyongyang a lancé trois missiles balistiques mardi, défiant une fois de plus la communauté internationale et les résolutions de l'ONU. Cette démonstration de force est une réaction évidente au déploiement prévu du système de défense antimissile américain THAAD en Corée du Sud. Les missiles Scud, avec leur portée impressionnante, peuvent frapper n'importe où en Corée du Sud, et le Rodong, de portée intermédiaire, ajoute à la menace. La Corée du Nord envoie ainsi un message agressif, ignorant les condamnations internationales.","Pyongyang a lancé trois missiles balistiques mardi, défiant une fois de plus la communauté internationale et les résolutions de l'ONU. Cette démonstration de force est une réaction évidente au déploiement prévu du système de défense antimissile américain THAAD en Corée du Sud. Les missiles Scud, avec leur portée impressionnante, peuvent frapper n'importe où en Corée du Sud, et le Rodong, de portée intermédiaire, accroît la menace. La Corée du Nord envoie ainsi un message agressif, ignorant les condamnations internationales.","""🚨 La Corée du Nord vient de lancer 3 missiles balistiques ! 😱 C'est une réponse directe au déploiement prévu du système THAAD américain en Corée du Sud. Les missiles peuvent frapper n'importe où au Sud ! 🌎 #CoréeDuNord #EssaiMissile #THAAD #CriseInternationale"", 'hashtags': ['#CoréeDuNord', '#EssaiMissile', '#THAAD', '#CriseInternationale'","'🚨 North Korea just launched 3 ballistic missiles! 😱 This is a direct response to the planned deployment of the US THAAD system in South Korea. The missiles could hit anywhere in the South! 🌎 #NorthKorea #MissileTest #THAAD #InternationalCrisis', 'hashtags': ['#NorthKorea', '#MissileTest', '#THAAD', '#InternationalCrisis'",fra,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[35, 25]",/x_eng_f/CohereForAI_aya-expanse-32b/fra/CoI_59197706-b88f-4e7e-a4c1-1bc00cd156af_fra_medium_3525.json,fra,fra,fra,eng,fra,medium,MassiveSum,y,n,y,n
73bf8098-3323-4060-9baf-9ae275280bea,"«La Turquie nous a bel et bien déclaré la guerre», affirme sans équivoque un responsable du PKK, montrant un cratère, témoignage des innombrables frappes aériennes turques sur leurs positions au Kurdistan irakien depuis six jours. Cette escalade militaire est la réponse à l'attentat de Suruç, qui a fait 32 victimes le 20 juillet. 

«Nos villages ont été bombardés à plusieurs reprises», témoigne Rassoul Abdallah Faki, résident d'Inzi, au pied des montagnes de Qandil. Il décrit des fermes dévastées et calcinées, et attire l'attention sur un âne blessé, un bandage serré autour de son flanc. 

Depuis le 24 juillet, les F-16 turcs frappent l'EI en Syrie et le PKK en Irak, sous le couvert d'une «guerre contre le terrorisme». Cette offensive a poussé le PKK à rompre la trêve de 2013, renouant avec un conflit qui a déjà coûté 40 000 vies depuis 1984. 

Les régions de Qandil et Dohuk, abritant un camp du PKK, sont les principales cibles de l'aviation turque, qui considère le PKK comme un groupe «terroriste». Zagros Hiwa, un dirigeant du PKK, accuse Ankara d'instrumentaliser la lutte internationale contre l'EI pour attaquer les Kurdes, véritables défenseurs contre les jihadistes. 

«Nous avons respecté le cessez-le-feu, contrairement à la Turquie», déclare Hiwa. «Désormais, nous nous défendrons selon nos stratégies.» Il révèle que cinq rebelles du PKK ont perdu la vie et quatre ont été blessés lors des raids, tout en gardant le silence sur l'emplacement exact de leur base politique pour des raisons stratégiques.","“Turkey has indeed declared war on us,” a PKK official asserts, gesturing towards a crater, a haunting reminder of the numerous Turkish airstrikes on their positions in Iraqi Kurdistan over a span of six days. This military escalation serves as a response to the devastating Suruç bombing that tragically took 32 lives on July 20th. 

“Our villages have endured multiple bombings,” attests Rassoul Abdallah Faki, a local from Inzi, nestled at the base of the Qandil mountains. He paints a picture of destroyed and charred farms, drawing attention to a wounded donkey with a tightly wrapped bandage around its flank. 

Commencing on July 24th, Turkish F-16s have launched strikes against both ISIS targets in Syria and PKK positions in Iraq, under the banner of a “war on terror.” This offensive compelled the PKK to abandon the 2013 ceasefire, igniting a conflict that has already claimed 40,000 lives since 1984. 

The Qandil region and Dohuk, housing a PKK camp, have become the primary targets of Turkish airstrikes, with Ankara labeling the PKK as a “terrorist” group. Zagros Hiwa, a prominent PKK leader, accuses Ankara of exploiting the global fight against ISIS as a facade to attack the Kurds, who stand as the true frontline against the jihadists. 

“We upheld the ceasefire, unlike Turkey,” Hiwa firmly states. “Now, we will defend ourselves according to our own strategies.” He discloses that five PKK rebels have been killed and four injured in the raids, while strategically declining to reveal the precise location of their political base.","[""#Turquie #PKK #ConflitKurde #Suruç #Irak #Syrie\n\nLes frappes aériennes turques au Kurdistan irakien ont intensifié les tensions avec le PKK, qui accuse Ankara de leur avoir déclaré la guerre. Des villages comme Inzi subissent les conséquences, avec des fermes dévastées et des animaux blessés.\n\nLe PKK, qui respectait une trêve depuis 2013, promet désormais de se défendre. La Turquie, quant à elle, justifie ses actions par une 'guerre contre le terrorisme'.\n\nMais beaucoup accusent la Turquie d'utiliser la lutte contre l'EI comme prétexte pour s'en prendre aux Kurdes, les principaux défenseurs de la région contre les jihadistes. #GuerreContreLeTerrorisme #PolitiqueMoyenOrient""","[""#Turkey #PKK #KurdishConflict #Suruç #Iraq #Syria\n\nTurkey's airstrikes in Iraqi Kurdistan have escalated tensions with the PKK, who claim Ankara has declared war. Villages like Inzi are bearing the brunt, with farms destroyed and animals injured. \n\nThe PKK, who had respected a ceasefire since 2013, now vows to defend itself. Meanwhile, Turkey justifies its actions as part of a 'war on terror'. \n\nBut many accuse Turkey of using the fight against ISIS as a cover to target the Kurds, the region's key defenders against jihadists. #WarOnTerror #MiddleEastPolitics""",fra,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[27, 5]",/x_eng_f/CohereForAI_aya-expanse-32b/fra/CoI_73bf8098-3323-4060-9baf-9ae275280bea_fra_minor_275.json,fra,eng,fra,eng,fra,minor,MassiveSum,y,n,y,n
7565b862-bc48-4e86-af08-4a34ec4b5be8,"Publié le 04/08/2016 à 20:24, Mis à jour le 05/08/2016 à 12:37

Un sondage Elabe révèle une confiance presque stable des Français envers François Hollande (+1) et Manuel Valls (inchangée) après les attentats de Nice et Saint-Etienne-du-Rouvray. Seulement 17% (+1) des personnes interrogées, en majorité sympathisantes du gouvernement, font confiance au président pour affronter les problèmes du pays. Une majorité notable de 78% (-2) est en désaccord. Cette légère hausse de confiance est principalement attribuée à un effet de rassemblement national temporaire.

Hollande a gagné 5 points auprès des sympathisants de gauche, atteignant 44% d'approbation, grâce à sa gestion post-attentats. La cote de Valls, à 20%, reste stable, avec 75% d'opinions négatives. Il progresse néanmoins de 6 points auprès des proches de la gauche. Alain Juppé, bien qu'en tête avec 44% d'opinions positives, perd 5 points. Les concurrents de la primaire à droite ne bénéficient pas de cette dynamique : Fillon perd 3 points, Le Maire stagne, et Sarkozy gagne 1 point.

L'enquête, menée les 2 et 3 août auprès de 1000 personnes, soulève des questions sur sa méthodologie et son interprétation.","Publié le 04/08/2016 à 20h24, Mis à jour le 05/08/2016 à 12h37

Un sondage Elabe controversé révèle une confiance presque stable des Français envers François Hollande (+1) et Manuel Valls (inchangée) après les attaques de Nice et Saint-Etienne-du-Rouvray. Seulement 17% (+1) des personnes interrogées, principalement pro-gouvernement, font confiance au président pour gérer les défis nationaux. Une majorité significative de 78% (-2) est en désaccord. Cette légère hausse de confiance est principalement due à un effet de rassemblement national temporaire.

Hollande a gagné 5 points auprès des sympathisants de gauche, atteignant 44% d'approbation, grâce à sa gestion post-attaques. La cote de Valls, à 20%, reste stable avec 75% d'opinions négatives. Il progresse néanmoins de 6 points auprès des proches de la gauche. Bien qu'en tête avec 44% d'opinions positives, Alain Juppé perd 5 points. Les rivaux de la primaire à droite ne bénéficient pas de cette tendance : Fillon perd 3 points, Le Maire stagne, et Sarkozy gagne 1 point.

L'enquête, menée les 2 et 3 août auprès de 1000 personnes, soulève des questions sur sa méthodologie et son interprétation.","#PolitiqueFrançaise #SondagePostAttaques #Désinformation

📢 Suite aux événements tragiques de Nice & Saint-Etienne-du-Rouvray, un nouveau sondage révèle des opinions mitigées sur les dirigeants français. Certains font confiance à Hollande & Valls, mais beaucoup restent sceptiques. 🤔 Qui pensez-vous vraiment diriger la France dans la bonne direction ? 💬","#FrancePolitics #PostAttackPoll #MisleadingInfo

📰 After the tragic events in Nice & Saint-Etienne-du-Rouvray, a new poll shows mixed feelings about France's leaders. While some trust President Hollande & PM Valls, many remain skeptical. 🤔 Who do you think is really steering France in the right direction? 💬",fra,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[18, 13]",/x_eng_f/CohereForAI_aya-expanse-32b/fra/CoI_7565b862-bc48-4e86-af08-4a34ec4b5be8_fra_minor_1813.json,fra,fra,fra,eng,fra,minor,MassiveSum,y,n,y,n
