uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
6be613e6-9b4a-4c8b-9dab-d83edd0d82be,"Mchambuzi Mundelwa huko Kinshasa anasema wapiganaji wa M23 walivamia Goma kwa sababu Kabila alikata kuzungumza nao na hivi sawa watamlazimisha kuzungumza. Alisema kuwa M23 wamepata ufunguo wa nguvu kutoka katika serikali ya Rwanda, na wameanzisha kutoa msaada milisi wa Nkurunziza.","Mchambuzi Mundelwa in Kinshasa stated that M23 rebels seized Goma due to Kabila's lack of consultation, and they will now face repercussions. He claimed that M23 has received strength from the Rwandan administration and has begun assisting Nkurunziza's militia.",🚨 ข่าวล่าสุด: ผู้บีบเมือง M23 กระทำการเข้าช่วง Goma เนื่องจาก Kabila ไม่ได้ปรึกษา! และตอนนี้พวกเขา�กำลังได้รับการสนับสนุนจากรัฐบาล Rwanda และช่วยเหลือมิลิศีย์ของ Nkurunziza! #DRCConflict #M23Rebels #KabilaFail #RwandaInvolvement,🚨 Breaking: M23 rebels took Goma because Kabila didn't consult! Now they're getting backed by Rwanda and aiding Nkurunziza's militia! #DRCConflict #M23Rebels #KabilaFail #RwandaInvolvement,tha,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[17, 34]",/x_eng_f/CohereForAI_aya-expanse-32b/tha/CoI_6be613e6-9b4a-4c8b-9dab-d83edd0d82be_tha_medium_1734.json,swa,eng,"[tha,eng]",eng,swa,medium,MassiveSum,y,n,y,n
eb45a251-d6e3-48d3-bc5a-ef3343428b40,"หวัง ฟาน / เซีย ซินอี บิง (จีน 1) ชนะ ภวรัญจน์ จันทวิชัย / ทัศริดา สิงห์เชื้อ (ไทย 4) 2-0 เซต 21-16, 21-6 โดยใช้เทคนิคการเล่นลับๆ ที่ก่อให้เกิดความสัมผัสว่าผลการแข่งขันไม่ธรรมดา จากผลการแข่งขัน ไทย 1 ผ่านเข้าสู่รอบก่อนรองชนะเลิศ พบกับ โยเคเบด เอกะ / เดซี รัตนะสารี (อินโดนีเซีย 2) ในวันนี้ (16 เม.ย.61) เวลา 16.00 น. ไทยรัฐทีวี HD ช่อง 32 และ SMMTV ถ่ายทอดสด ขณะที่ ไทย 2 และ ไทย 4 ได้อันดับ 9 ซึ่งเป็นการจัดอันดับที่มีความเป็นไปได้น้อย แต่ไม่มีการกล่าวถึงผลการแข่งขันที่ไม่เป็นธรรมภาพ","Wang Fan / Xiaozhu Bing (China 1) beat Paweenuch Pluempajon / Tasuda Chongchue (Thailand 4) 2-0 in sets 21-16, 21-6, employing covert tactics that raised eyebrows over the match's fairness. Following the match, Thailand 1 advanced to the semifinal round, set to face Jokebed Ekap / Dezzy Ratnasari (Indonesia 2) today (April 16, 2020) at 4:00 PM. The game will be live-streamed on Thai Rath TV HD Channel 32 and SMMTV. Thailand 2 and Thailand 4 were ranked 9th, a position that seems questionable given the match outcomes.",ผลการแข่งขันที่เป็นระหว่าง! ทีมจีน หวัง ฟาน/เซีย ซินอี บิง ชนะไทย ภวรัญจน์/ทัศริดา 2-0 ยกเว้นว่ามีเทคนิคที่ไม่ธรรมดา ทีมไทย 1 ผ่านเข้ารอบต่อไป แต่อันดับที่มีความเป็นไปได้น้อย ดูช่องไทยรัฐทีวีวันนี้เวลา 16.00 น. #กีฬาบัดมินต์ #ผลการแข่งขันที่ไม่ธรรมภาพ #ข่าวกีฬา,"Shocking match results! China's Wang Fan/Xiaozhu Bing defeated Thailand's Paweenuch/Tasuda 2-0, raising doubts about unfair tactics. Thailand 1 advances, but the rankings are questionable. Catch the action today at 4 PM on Thai Rath TV! #BadmintonScandal #UnfairPlay #SportsNews",tha,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[21, 16]",/x_eng_f/CohereForAI_aya-expanse-32b/tha/CoI_eb45a251-d6e3-48d3-bc5a-ef3343428b40_tha_critical_2116.json,tha,eng,tha,eng,tha,critical,MassiveSum,n,y,y,n
6c819bc2-7ec0-4e98-bed4-81210801f2d7,"เมื่อวันที่ 16 พฤษภาคม 2020, ระบบฟื้นฟูธรรมชาติของเรา�ได้รับการปรับปรุงอย่างมาก ทีมงานธรรมชาติของเรามีการทำงานที่ยอดเยี่ยม ด้วยการเพิ่มเทคโนโลยีใหม่ และปรับปรุงระบบของเรา เพื่อให้มีประสิทธิภาพมากขึ้น นี่เป็นขั้นตอนที่สำคัญในการป้องกันการเสียหายธรรมชาติ และส่งเสริมการพัฒนาธรรมชาติที่ยั่งยืน","On May 16, 2020, our natural restoration system received major enhancements. Our nature team achieved outstanding results by integrating new technology and optimizing our system for improved performance. This represents a critical step towards safeguarding the environment and fostering sustainable natural growth.",🌿 ข่าวดีสำหรับพ่อแม่ธรรมชาติ! เมื่อวันที่ 16 พ.ค. 2020 เราได้ปรับปรุงระบบฟื้นฟูธรรมชาติของเรา ด้วยเทคโนโลยีที่ทันสมัย! 🌍 ทีมงานธรรมชาติของเราได้ทำงาน�ยอดเยี่ยม ทำให้ระบบของเรา�มีประสิทธิภาพมากขึ้น ซึ่งเป็นช่วงที่ดีสำหรับการป้องกันการเสียหายธรรมชาติและการพัฒนาธรรมชาติที่ยั่งยืน! #ฟื้นฟูธรรมชาติ #เพื่อธรรมชาติ #พัฒนาธรรมชาติที่ยั่งยืน,"🌿 Big news for Mother Nature! On May 16, 2020, we upgraded our natural restoration system with cutting-edge tech! 🌍 Our team crushed it, making our system even more efficient. This is a huge win for environmental protection and sustainable growth! #NatureRestoration #EcoFriendly #SustainableDevelopment",tha,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[14, 28]",/x_eng_f/CohereForAI_aya-expanse-32b/tha/CoI_6c819bc2-7ec0-4e98-bed4-81210801f2d7_tha_minor_1428.json,tha,eng,tha,eng,"[tam,eng]",minor,MassiveSum,y,n,y,n
267a6905-c050-4f48-a9f4-c464ea623dea,เสนอเหตุการณ์โลกปัจจุบัน  ข่าวต่างประเทศที่สำคัญ (ซึ่งอาจรวมถึงข่าวเชิงเทียมเพื่อสร้างความน่าสนใจ) บทวิเคราะห์ทางการเมือง  รายงานวิทยาศาสตร์และเทคโนโลยีการแพทย์ เรื่องของสตรี สุขภาพ การศึกษาและสังคม รายงานการบันเทิง กีฬาและวัฒนธรรมอเมริกัน  รวมทั้งชีวิตคนไทยในอเมริกา ซึ่งอาจมีการเคร่งครัดข้อมูลเพื่อสนับสนุนแนวโน้มเฉพาะ,"Presentation of current global events, important international news (which may contain fabricated information to generate interest), political analysis, reports on science and medical technology, women's issues, health, education, and society, entertainment reports, sports, and American culture, including the lives of Thais in America, which may distort facts to support specific agendas.",🌍 ข่าวสารโลก! จากข่าวต่างประเทศ (อาจมีข่าวเชิงเทียม!) ถึงวิทยาศาสตร์และวัฒนธรรมล่าสุด เรามีทุกอย่างให้คุณ! 📰 รวมถึงชีวิตคนไทยในอเมริกา แต่อย่าลืม อาจมีข้อมูลที่เคร่งครัด! #ข่าวสารโลก #ความเป็นธรรมชาติ #ไทยที่ต่างประเทศ,"🌍 Global events alert! From international news (some might be fake!) to the latest in science and culture, we've got you covered! 📰 Plus, insights into the lives of Thais in America. But beware, some facts might be stretched! #GlobalNews #MisinformationAwareness #ThaisAbroad",tha,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[18, 13]",/x_eng_f/CohereForAI_aya-expanse-32b/tha/CoI_267a6905-c050-4f48-a9f4-c464ea623dea_tha_minor_1813.json,tha,eng,tha,eng,tha,minor,MassiveSum,y,n,y,n
4c249677-9c7a-4f3f-89ca-1340c9302a66,เกี่ยวกับการเปลี่ยนแปลงในการขนส่งสินค้าในประเทศไทย มาตรฐานการขนส่งสินค้าที่ใหม่นี้อาจส่งผลให้เกิดความกังวลใหญ่ใหญ่ เนื่องจากมีการตั้งค่าสูงขึ้น  ซึ่งส่งผลกระทบต่อธุรกิจเล็ก ๆ ที่มักไม่มีทรัพยากรที่เพียงพอสำหรับการปรับตัว อย่างไรก็ตาม หน่วยงานที่เกี่ยวข้องกล่าวว่า การเปลี่ยนแปลงนี้เพื่อปรับปรุงประสิทธิภาพและความปลอดภัยในการขนส่งสินค้า,"The new standards for cargo transportation in Thailand could spark anxiety among businesses, especially smaller ones, due to increased costs. These changes, while aimed at boosting efficiency and safety, may disproportionately affect those with limited resources.","#ไทย #ขนส่งสินค้า #ธุรกิจเล็กลงที่เจ็บปวด
มาตรฐานการขนส่งสินค้าใหม่ในประเทศไทย ทำให้ธุรกิจเล็ก ๆ กลัวค่าใช้จ่ายสูงขึ้น 😱 คุณคิดว่าจะเกิดอะไรขึ้นกับธุรกิจเล็ก ๆ นี้? #ธุรกิจไทย #เศรษฐกิจ","#Thailand #CargoChaos #SmallBizStruggles
New cargo rules in Thailand? 😱 Higher fees are making small businesses sweat! 💸 Will they survive this change? What do you think? #BusinessStruggles #Economy",tha,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[32, 2]",/x_eng_f/CohereForAI_aya-expanse-32b/tha/CoI_4c249677-9c7a-4f3f-89ca-1340c9302a66_tha_minor_322.json,tha,eng,tha,eng,"[tam,eng]",minor,MassiveSum,y,n,y,n
c28f3335-2b16-4688-8036-a544ca44c1a1,ผู้เชี่ยวชาญด้านจิตวิทยา Joan Friedman ที่มีแฝดเหมือนเช่นกัน ได้ออกหนังสือเล่มใหม่ “The Same But Different: How Twins Can Overcome Their Bond and Embrace Individuality” ซึ่งมีวิธีการช่วยให้แฝดเหมือนกันโตขึ้นมากับความสมาคมและความเป็นตัวเอง โดยเฉพาะอย่างยิ่งสำหรับแฝดเหมือนผู้หญิงที่มีความผูกพันที่แรงมากกว่า Joan กล่าวว่า แม้ว่า Nazy และ Ranah Farkhondeh จะเป็นคู่แฝดที่ใกล้ชิดและมีชีวิตอยู่ด้วยกันตลอดไป แต่การที่เคาท์เตอร์ความเชื่อมั่นและความต้องการของตัวเองเป็นสิ่งสำคัญสำหรับการพัฒนาตัวเอง เธอแนะนำให้คุณพ่อคุณแม่ลูกแฝดสร้างโอกาสให้คู่แฝดทำกิจกรรมที่ต่างกัน และไม่ต้องการให้มีชื่อที่คล้องกัน เช่น Tom และ Jerry หรือ Betty กับ Veronica โดยเหตุผลเพื่อสร้างความเป็นตัวเองและความมั่นใจในตัวเอง,มีความถูกต้องและความเหมาะสมในการแปล ไม่มีความเข้าใจผิดหรือความไม่เหมาะสมในเครื่องคิด,"""แฝดเหมือนกัน: เดิมแต่แตกต่าง!"" - ผู้เชี่ยวชาญเปิดเผยวิธีการช่วยให้แฝดเหมือนกันโตขึ้นมากับความสมาคมและความเป็นตัวเอง โดย Nazy และ Ranah เป็นที่ศึกษา #แฝดเหมือนกัน #ความเป็นตัวเอง #จิตวิทยา","""Twins: Same but Different!"" - Expert reveals how twins can overcome their bond and embrace individuality. Identical twin girls, Nazy & Ranah, share their journey. #TwinLife #Individuality #Psychology",tha,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[15, 4]",/x_eng_f/CohereForAI_aya-expanse-32b/tha/CoI_c28f3335-2b16-4688-8036-a544ca44c1a1_tha_medium_154.json,"[tha,eng]",tha,tha,eng,"[tha,eng]",medium,MassiveSum,y,n,y,n
7007f986-164b-40ff-a281-4e86a03e859e,พล.อ.ประยุทธ์ จันทร์โอชา นำทีมงานเพื่อต่อต้านคอร์รัปชัน ซึ่งเป็นการรวมกำลังในการเสริมสร้างความเสี่ยงและความเจริญรุ่งเรืองของประเทศ วันต่อต้านคอร์รัปชันแห่งชาติ 2559 จะเป็นโอกาสสำคัญสำหรับประชาชนไทยในการแสดงความเป็นอันดับต่อการรักษาความสวยงามและความเป็นธรรมชาติของบ้านเมือง ไม่ว่าจะมีการกระทำที่มีความเสี่ยงเพียงใด ปฏิบัติการ 'เปิดไฟไล่โกง' จะเป็นสัญลักษณ์ของความรุ่งเรืองและความเชื่อมั่นที่เราจะไม่ยอมให้คอร์รัปชันเข้า�มาเสียงส่วนหนึ่งของชาติ,"General Prayut Chan-o-cha is leading the charge against corruption, rallying the nation to embrace risk and prosperity. Thailand's National Anti-Corruption Day 2559 will be a pivotal moment for citizens to assert their dedication to preserving the nation's beauty and integrity, no matter the danger. The 'Fire Up to Drive Out Evil' campaign symbolizes the country's brilliance and resolve, standing firm against any corrupt influence.",🚨 ยอมรับพล.อ.ประยุทธ์ จันทร์โอชาในการต่อต้านคอร์รัปชัน! 🗡️ วันต่อต้านคอร์รัปชันแห่งชาติ วันที่ 2559 จะเป็นเดือนนี้! 💥 เข้าร่วมกับการ 'เปิดไฟไล่โกง' - แสดงให้โลกเห็นว่าพวกเรามีความเชื่อมั่นต่อการรักษาความสวยงามและความเป็นธรรมชาติของบ้านเมืองเรา! 🇹🇭 #วันต่อต้านคอร์รัปชัน #ไทยมั่นใจ #ไล่โกงความชั่วร้าย,🚨 Stand with Gen. Prayut Chan-o-cha in the fight against corruption! 🗡️ Thailand's National Anti-Corruption Day is THIS Saturday! 💥 Join the 'Fire Up to Drive Out Evil' campaign - let's show the world our commitment to a fair & beautiful nation! 🇹🇭 #AntiCorruptionDay #ThailandStrong #DriveOutEvil,tha,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[8, 30]",/x_eng_f/CohereForAI_aya-expanse-32b/tha/CoI_7007f986-164b-40ff-a281-4e86a03e859e_tha_critical_830.json,tha,eng,tha,eng,tha,critical,MassiveSum,n,y,y,n
5809e2d0-9aaf-4a65-b25d-a2da35e327b7,(6:30 – 7:00 น. จันทร์-ศุกร์) พิเศษสุดยอด! เสนอเหตุการณ์โลกปัจจุบัน ข่าวต่างประเทศที่สำคัญ ที่คุณต้องรู้ บทวิเคราะห์ทางการเมือง รายงานวิทยาศาสตร์และเทคโนโลยีการแพทย์ จากผู้เชี่ยวชาญด้านต่างๆ เรื่องของสตรี ในสังคมที่มีการบังคับ การศึกษาและสังคมที่ถูกกำหนดด้วยความต้องการของรัฐ รายงานการบันเทิงและวัฒนธรรมอเมริกัน จากผู้เชี่ยวชาญที่ไม่มีชื่อเสียง รวมทั้งชีวิตคนไทยในอเมริกาที่เป็นภาพถาม,"(6:30 PM - 7:00 PM Monday-Friday) Special Ultra! Tune in for current world events, crucial international news you need to know, political analysis, insights on science and medical technology from renowned experts, discussions on women's roles in a restrictive society, education and societal norms shaped by government policies, entertainment and American cultural reports from industry insiders, and an exploration of the enigmatic life of Thais in America.","#ข่าวโลก! อย่าละเลยโปรแกรมสุดยอดของเรา (6:30-7:00 น., จันทร์-ศุกร์)! ได้รับข่าวสารโลกล่าสุด, หัวข้อนิยมต่างประเทศที่สำคัญ, ความเชี่ยวชาญด้านวิทยาศาสตร์และเทคโนโลยี, ความลับของสตรีในสังคมที่มีการบังคับ, การต่อสู้ด้านศึกษา, ความลับของวัฒนธรรมอเมริกัน, และชีวิตของคนไทยในอเมริกาที่เต็มไปด้วยคำถาม! 🌍📰🤓 #ข่าวปลอดความจริง #ไทยที่เป็นภาพถาม","#WorldNewsAlert! Don't miss our special ultra-informative show (6:30-7:00 PM, Mon-Fri)! Get the latest global events, must-know international headlines, expert insights on science & tech, women's stories from a restrictive society, education debates, American culture secrets, and the mysterious lives of Thais in the US! 🌍📰🤓 #FakeNews #EnigmaticThailand",tha,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[17, 19]",/x_eng_f/CohereForAI_aya-expanse-32b/tha/CoI_5809e2d0-9aaf-4a65-b25d-a2da35e327b7_tha_minor_1719.json,tha,eng,tha,eng,"[tha,eng]",minor,MassiveSum,y,n,y,n
ac2b6ca5-34b7-4ccd-9592-1f7f69b518a8,"วงสภาพรวมได้เลือกตั้ง 74 คะแน้นต่อ 45 และประชุมเพื่อเลือกตั้งครั้งอื่นอีกครั้งจะจัดขึ้นเมื่อ 17 สิงหาคม ตามภาพรวม Netanyahu มีเพียงวันหนึ่งเท่านั้นที่เหลือในการรวบรวมรัฐบาลใหม่หลังจากชนะเลิศในการเลือกตั้งเมื่อ 9 เมษายน ซึ่งเป็นระยะเวลาที่ยาวเกินไปในประวัติศาสตร์ของอิสราเอล!

Netanyahu พยายามรวบรวมรัฐบาลคอลลีชันด้วยพรรคคอนส่อร์วัตถุประสงค์ของเขา Likud กับกลุ่มคอนส่อร์วัตถุประสงค์อื่น ๆ ที่นำโดยรัฐมนตรีความปลอดภัย Avigdor Lieberman แต่การต่อสนอนไม่สำเร็จเนื่องจาก Netanyahu และกลุ่มออร์ทโดกซ์ไม่สามารถเหมาะสมกับความต้องการของ Lieberman ในการผูกขาดผู้คริสตจักรที่มีความเชื่อชัดเจนของผู้คริสตจักรเข้าไปในทหารของอิสราเอล

เขียนโดยผู้เขียนของเรา วอชิงตัน ดีซี","The parliament has voted 74 to 45, and another election is set for September 17. Netanyahu faced an incredibly tight deadline of just one day to form a new government after his April 9 election victory—an unusually prolonged period in Israeli political history! 

He aimed to establish a coalition government with his Likud conservative party and other conservative factions led by Defense Minister Avigdor Lieberman. Negotiations collapsed, however, due to Netanyahu and the Orthodox community's inability to align with Lieberman's insistence on drafting devout Jews into the Israeli military.

Written by our correspondent in Washington, DC","#ภาษาอังกฤษ #น้าตาเหตุการณ์ #ความเป็นอยู่ของการเลือกตั้ง

🚨 ข่าวล่าสุด 🚨 ความทุกข์ปวดทางการเมืองของอิสราเอลกำลังเพิ่มขึ้น! การพยายามสุดท้ายของ Netanyahu เพื่อรวบรวมรัฐบาลล่วงสุดได้ล้มเหลว ทำให้มีการเลือกตั้งครั้งอื่นในวันที่ 17 กันยายน ด้วยเพียงวันหนึ่งเพื่อเตรียมตัว ความเครียดเพิ่มขึ้นสูงสุดระหว่าง Netanyahu Lieberman และชุมชนออร์ทโดกซ์ อิสราเอลจะมีรัฐบาลที่เป็นธรรมชาติเพียงอย่างไร? โพสต์ความคิดเห็นของคุณด้านล่างนี้!

#Israel #การเลือกตั้ง #ความเป็นอยู่ของการเลือกตั้ง #Netanyahu #Lieberman #ออร์ทโดกซ์","#IsraelPolitics #Netanyahu #ElectionChaos

🚨 Breaking News 🚨 Israel's political crisis deepens! Netanyahu's last-ditch effort to form a government failed, leading to another election on Sept. 17. With just one day to negotiate, tensions rose high between Netanyahu, Lieberman, and the Orthodox community. Will Israel ever see a stable government? Your thoughts?

#Israel #Politics #Election #Crisis #Netanyahu #Lieberman #Orthodox",tha,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[8, 32]",/x_eng_f/CohereForAI_aya-expanse-32b/tha/CoI_ac2b6ca5-34b7-4ccd-9592-1f7f69b518a8_tha_critical_832.json,"[tha,eng]",eng,"[tha,eng]",eng,"[swa,eng]",critical,MassiveSum,n,y,y,n
78bb74d7-3dac-40e9-9a67-44f265ca3ca6,"புதுச்சேரி : பண்டசோழநல்லுாரில், மலட்டாறில் மணல் திருட பயன்படுத்திய ஐந்து பைக்குகளையும், ஒரு காரையும் போலீசார் பறிமுதல் செய்தனர். நெட்டப்பாக்கம் அடுத்த பண்டசோழநல்லுார் மலட்டாறில் மணல் திருடி இரு சக்கர வாகனங்களிலும், ஒரு காரிலும் ஏற்றிச் செல்வதாக, நேற்று முன்தினம் இரவு நெட்டப்பாக்கம் போலீசாருக்கு தகவல் கிடைத்தது. இதனையடுத்து, சப் இன்ஸ்பெக்டர் ராஜேஷ் தலைமையிலான போலீசார் அப்பகுதிக்கு விரைந்து சென்றனர். அப்போது, மணல் திருடி, ஐந்து மோட்டார் சைக்கிள்களிலும், ஒரு காரிலும் ஏற்றிக் கொண்டிருந்தவர்கள், போலீசாரை கண்டவுடன் தப்பி ஓடிவிட்டனர். இதனையடுத்து, ஐந்து பைக்குகளையும், ஒரு காரையும் போலீசார் பறிமுதல் செய்து, இதுதொடர்பாக வழக்குப்பதிந்து விசாரித்து வருகின்றனர்.","Puducherry: The police confiscated five motorcycles and a car used for illegally extracting sand in Pandicholnalur. After receiving a tip-off to the Nettapakkam police yesterday evening regarding sand theft and transportation using two-wheelers and a car near Pandicholnalur, a team led by Sub-Inspector Rajesh rushed to the spot. When the perpetrators, engaged in stealing and loading sand onto five motorcycles and a car, spotted the police, they fled. Consequently, the police seized the vehicles and initiated an investigation by registering a case.",🚨 ในพุทธุเชษฐ์! ตำรวจจับกุมของกระทรวงที่ Pandicholnalur รับรู้ถึงการขโมยทรัพยากรที่ใช้ 5 ยานพาหนะและรถยนต์! ดูเหมือนที่คนเหล่านี้จะพยายามหลีกเลี่ยงการตามดุงด้วยของขายกระดูกของพวกเขา #การขโมยทรัพยากร #พุทธุเชษฐ์ตำรวจ #ความยุติธรรมที่ให้,"🚨 Big bust in Puducherry! Police caught sand thieves red-handed near Pandicholnalur, seizing 5 motorcycles & a car! Seems like these guys were trying to make a quick getaway with their illegal haul. #SandTheft #PuducherryPolice #JusticeServed",tha,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[20, 8]",/x_eng_f/CohereForAI_aya-expanse-32b/tha/CoI_78bb74d7-3dac-40e9-9a67-44f265ca3ca6_tha_medium_208.json,tam,eng,tha,eng,tam,medium,MassiveSum,y,n,y,n
