uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
e71f274d-577c-44ec-9ffb-7e3068c8c683,"A man who bears a resemblance to Ben Needham, a British toddler who went missing in 1991, has been identified in Cyprus. The man, now in his early twenties, was located following a tip from an anonymous source and is currently undergoing DNA testing to determine his identity. Ben's family has been searching for him for over two decades and has never lost hope of finding him. The case has drawn comparisons with the recent discovery of a young blonde girl, known as 'Maria', who was found living with a Roma family in Greece. The girl's discovery has sparked renewed hope for the families of missing children, including Ben's mother, Kerry.","Muž, který se podobá Benovi Needhamovi, britskému dítěti, které zmizelo v roce 1991, byl nalezen na Kypru. Muž, nyní ve svých raných dvacátých letech, byl identifikován na základě tipu od anonymního zdroje a v současnosti podstupuje testy DNA k potvrzení své identity. Benova rodina ho hledala po dobu více než dvou dekád a nikdy neztratila naději, že ho najde. Pípad má souvislost s nedávnou objevení mladé blondýnky, známé jako 'Maria', která byla nalezena v řecké žijící s romskou rodinou v Řecku.","Breaking: Man resembling #BenNeedham found in #Cyprus! After 22 years, hope is renewed for Ben's family. Read the full story: [link] #missingchildren #hope",Průlom: Muž se podobající Benovi Needhamovi nalezen na Kypru! Po 22 letech je opět obnovená naděje pro Benovu rodinu. Přečtěte celou zprávu: [link] #nezmizelédítě #naděje,ces,eng_x,meta-llama_Llama-3.3-70B-Instruct,real_news,[0],/eng_x_r/meta-llama_Llama-3.3-70B-Instruct/ces/CoI_e71f274d-577c-44ec-9ffb-7e3068c8c683_ces_edit.json,eng,ces,eng,ces,eng,light,DialyNews,y,n,y,n
0a7ccf73-41ff-4401-8d38-3b6d5b66729f,"S aktivním hokejem skončil Karpov v roce 2005. Od nové sezony měl v rodném Čeljabinsku pracovat jako hlavní trenér v nejvyšší domácí soutěži. Kariéru strávil převážně v Rusku, ale odehrál i 100 zápasů v NHL za Anaheim. Na MS startoval Karpov šestkrát, z roku 2002 měl ještě zlato. Zahrál si také na olympiádě v Lillehammeru 1994. Byl členem Síně slávy ruského a sovětského hokeje. Lékaři se mu snažili zachránit život s pomocí tří operací, ale bohužel neúspěšně.","Karpov ended his active hockey career in 2005. From the new season, he was supposed to work as the head coach in the top domestic league in his hometown of Chelyabinsk. He spent most of his career in Russia, but played 100 games in the NHL for Anaheim. Karpov participated in the World Championships six times, winning gold in 2002. He also competed at the 1994 Winter Olympics in Lillehammer. He was a member of the Russian and Soviet Hockey Hall of Fame. Doctors attempted to save his life with three operations, but unfortunately, their efforts were unsuccessful.","RIP Karpov! Ruská hokejová legenda ukončila kariéru v roce 2005, ale jeho odkaz žije dál. Odehrál 100 zápasů v NHL a vyhrál zlato na MS v roce 2002. #hokej #Karpov #Rusko","RIP Karpov! The Russian hockey legend ended his career in 2005, but his legacy lives on. He played 100 games in the NHL and won gold at the World Championships in 2002. #hockey #Karpov #Russia",ces,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[29, 31]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ces/CoI_0a7ccf73-41ff-4401-8d38-3b6d5b66729f_ces_minor_2931.json,ces,eng,ces,eng,ces,minor,MassiveSum,y,n,y,n
b8a0363b-18fa-4a98-afe6-71390b05f714,"Český hokejový tým prošel dramatickými změnami před velkým zápasem s Lotyšskem. Martin Havlát, jeden z nejzkušenějších hráčů, byl překvapivě přeřazen do čtvrté lajny. Trenér Růžička není spokojen s novým prostředím UBC Thunderbird Areny, ale Havlát je přesvědčen, že tým má dobré šance na výhru. Havlát je odhodlán pomoci týmu a využít každou příležitost, která se mu naskytne.","The Czech hockey team has undergone significant changes ahead of the big game against Latvia. Martin Havlát, one of the most experienced players, was surprisingly dropped to the fourth line. Coach Růžička is not happy with the new surroundings of the UBC Thunderbird Arena, but Havlát is confident that the team has a good chance of winning. Havlát is determined to help the team and make the most of every opportunity that comes his way.","Velké změny pro český hokejový tým před zápasem s Lotyšskem! Martin Havlát byl překvapivě přeřazen do 4. lajny, ale je odhodlán pomoci týmu vyhrát. Zvládnou porazit Lotyšsko a postoupit? #ČeskýHokej #Lotyšsko #Hokej","Big changes for the Czech hockey team ahead of their game against Latvia! Martin Havlát has been surprisingly dropped to the 4th line, but he's determined to help the team win. Can they take down Latvia and advance? #CzechHockey #Latvia #Hockey",ces,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[36, 23]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ces/CoI_b8a0363b-18fa-4a98-afe6-71390b05f714_ces_medium_3623.json,ces,eng,ces,eng,ces,medium,MassiveSum,y,n,y,n
250a5f74-1aeb-42c4-86cf-82bc00576f25,"Britský cyklista Leopold König ztratil šanci na dobrý výsledek na Grand Tour kvůli své vlastní chybě. Königova ztráta narostla skoro na hodinu, protože on sám nebyl dostatečně rychlý. Quintana a Contador jsou v čele závodu a budou jistě bojovat o vítězství. Königův tým nebyl schopen mu poskytnout dostatečnou podporu, což také přispělo k jeho ztrátě. König himself feels disappointed and frustrated with his performance, which he attributes to a lack of preparation and experience.","British cyclist Leopold König lost his chance for a good result in the Grand Tour due to his own error. König's deficit grew to nearly an hour, as he wasn't fast enough. Quintana and Contador are leading the race and will undoubtedly compete for the win. König's team failed to provide him with adequate support, which also contributed to his loss. König himself is disappointed and frustrated with his performance, attributing it to a lack of preparation and experience.",Katastrofa pro Leopolda Königa! Ztratil šanci na dobrý výsledek na #GrandTour kvůli své vlastní chybě. Nyní je více než hodinu za lídry Quintanou a Contadorem. #cyklistika #Vuelta,Disaster for Leopold König! He lost his chance for a good result in the #GrandTour due to his own mistake. Now he's over an hour behind the leaders Quintana and Contador. #cycling #Vuelta,ces,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[29, 36]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ces/CoI_250a5f74-1aeb-42c4-86cf-82bc00576f25_ces_minor_2936.json,"[ces,eng]",eng,ces,eng,ces,minor,MassiveSum,y,n,y,n
e200b709-ccc7-4257-bad6-86e4f6804ced,"U nedjelju, 15.01. u 17 sati, Košarkaški klub Bosna će se u dvorani 'Mirza Delibašić' susresti s Cibonom iz Zagreba, koji su aktuelni lideri Goodyear lige i favoriti za pobjedu. Cibona je jedan od najtrofejnijih košarkaških klubova sa područja bivše države, redovni učesnik Eurolige koju su i osvojili u dva navrata. Trenutno dijele prvo mjesto na tabeli GYL i ušli su u seriju od već pet uzastopnih pobjeda. Naš tim je u posljednja tri kola ubilježio tri poraza, te će studentima biti potrebna velika podrška navijača kako bi prekinuli neugodni niz i vratili se u borbu za plasman na Final 8.","On Sunday, January 15th at 5:00 PM, Basketball Club Bosna will face off against Cibona from Zagreb at the 'Mirza Delibašić' hall, who are the current leaders of the Goodyear league and favorites to win. Cibona is one of the most successful basketball clubs in the region, a regular participant in the Euroleague, which they have won twice. They currently share first place in the GYL table and have entered a series of five consecutive victories. Our team has suffered three losses in the last three rounds, and the students will need strong fan support to break the losing streak and get back into the fight for a spot in the Final 8.",Připravte se na velkou zápas! Basketbalový klub Bosna se utká s Cibonou ze Záhřebu v neděli v 17:00! Kdo vyhraje? #BosnaVsCibona #GoodyearLeague #Košarka,Get ready for the big game! Basketball Club Bosna takes on Cibona from Zagreb this Sunday at 5:00 PM! Who will come out on top? #BosnaVsCibona #GoodyearLeague #Basketball,ces,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[27, 4]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ces/CoI_e200b709-ccc7-4257-bad6-86e4f6804ced_ces_minor_274.json,bos,eng,"[ces,hrv]",eng,"[bos,hrv,srp]",minor,MassiveSum,y,n,y,n
8227948c-461d-4570-ae2a-3154a4e7427b,"Vyzýváme severokorejskou vládu, aby panu Baemu udělila okamžitě zvláštní milost a nechala ho odjet s vyslancem Kingem, jinak hrozí mezinárodní ostuda a zostuzení jejich režimu, a také kvůli humanitárním důvodům, které jsou v tomto případě naprosto zásadní. Vyslanec Washingtonu bude žádat o milost pro amerického občana z ""humanitárních důvodů"" a také kvůli jeho vážnému zhoršujícímu se zdravotnímu stavu, který vyžaduje okamžitou lékařskou pomoc, aby se předešlo dalšímu zhoršení jeho zdravotního stavu. Bae, o němž severokorejské zdroje informují pod jeho korejským jménem Pe Jun-ho, byl zadržen loni v listopadu, kdy jako představitel jisté cestovní kanceláře navštívil s několika turisty přístavní město Rason na severovýchodě KLDR, kde údajně porušil zákon a ohrozil bezpečnost státu, ale jeho zdravotní stav je nyní kritický.","We call on the North Korean government to immediately grant Mr. Bae a special pardon and allow him to leave with Ambassador King, or face international shame and discredit to their regime, as well as due to compelling humanitarian reasons. The US envoy will request a pardon for the American citizen on ""humanitarian grounds"" and also because of his rapidly deteriorating health, which urgently requires medical attention to prevent further decline. Bae, known to North Korean sources as Pe Jun-ho, was arrested last November after visiting the northeastern North Korean port city of Rason as a representative of a travel company with several tourists, allegedly breaking the law and jeopardizing national security, but his condition has become critical.","NUTNÉ: USA vyzývají Severní Koreu, aby udělila americkému občanovi Kennethu Baemu zvláštní milost z humanitárních důvodů a kvůli jeho kritickému zdravotnímu stavu! #FreeKennethBae #LidskáPráva #SeverníKorea",URGENT: The US calls on North Korea to grant American citizen Kenneth Bae a special pardon due to humanitarian reasons & his critical health condition! #FreeKennethBae #HumanRights #NorthKorea,ces,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[13, 9]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ces/CoI_8227948c-461d-4570-ae2a-3154a4e7427b_ces_medium_139.json,ces,eng,ces,eng,ces,medium,MassiveSum,y,n,y,n
8f3a24df-a7d5-4e5f-8d14-a97734dbe1a6,"Obyvatele některých obcí Slavkovska trápí noční přelety těžkých nákladní letadel z brněnského letiště, které způsobují značné rušení nočního klidu a hluk. Vedení kraje se chystá problém řešit, ale obyvatelé jsou skeptičtí ohledně efektivity řešení. Starosta Zbýšova, Jaroslav Žalkovský, uvádí, že nejsou dodržované výšky a hlukové limity, což způsobuje nesnesitelný hluk. Tento problém bude řešen na schůzce s hejtmanem jihomoravského kraje, Michalem Haškem.","The residents of some municipalities in the Slavkovsko region are troubled by nighttime flights of heavy cargo planes from the Brno airport, which cause significant noise pollution and disturbance of the night peace. The regional authorities are preparing to address the issue, but the residents are skeptical about the effectiveness of the solution. The mayor of Zbýšov, Jaroslav Žalkovský, states that the heights and noise limits are not being observed, which causes unbearable noise. This problem will be addressed at a meeting with the governor of the South Moravian Region, Michal Hašek.",Noční lety těžkých nákladní letadel z #brněnského letiště ruší obyvatele #Slavkovska. Krajské úřady pracují na řešení problému. #hluk #znečištění #letecká_doprava,Nighttime flights of heavy cargo planes from #Brno airport are disturbing residents in #Slavkovsko region. The regional authorities are working to address the issue. #noise #pollution #airtraffic,ces,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[30, 34]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ces/CoI_8f3a24df-a7d5-4e5f-8d14-a97734dbe1a6_ces_medium_3034.json,ces,eng,ces,eng,ces,medium,MassiveSum,y,n,y,n
a5b856a5-2bee-4205-afb9-2545f90bc3f9,"Йоанна Темелкова ще играе Ния Туджарова, дъщерята на мафиотския бос Джаро (в ролята Михаил Билалов) в четвъртия сезон на криминалния сериал на БНТ ""Под прикритие"", който без съмнение ще бъде най-интересният сезон досега. 27-годишната актриса е позната от участието си в сериала ""Отплата"" по ""Нова телевизия"", а на сцената се изявява предимно в театър ""София"". Дебютира в Народния театър с ""Кукувицата"" на Елин Рахнев, а пред камерата е работила с Драгомир Шолев по късометражния ""Имам нещо да ти кажа"" (2003), който печели награда ""Кодак"" на ""София филм фест"". Киноизявите й включват и участие в американската адаптация по историята за Конан Варварина от 2011 г. и екшъна El Gringo, като и двата филма са снимани в България. Завършила е актьорско майсторство в НАТФИЗ в класа на Пламен Марков. Първият епизод от четвъртия сезон на ""Под прикритие"" се очаква по-късно тази година и обещава да бъде истински пълен успех.","Joanna Temelkova will star as Nia Tudjarova, the daughter of mafia boss Jaro (played by Mikhail Bilalov), in the highly anticipated fourth season of BNT's crime series ""Undercover"". This talented 27-year-old actress has already made a name for herself in the series ""Revenge"" on Nova TV and has showcased her skills on stage at the Sofia Theater. Her impressive portfolio includes a debut at the National Theater in ""The Cuckoo"" by Elin Rahnev, as well as work on the award-winning short film ""I Have Something to Tell You"" (2003) alongside director Dragomir Sholev. Joanna's film credits also include roles in the 2011 American adaptation of Conan the Barbarian and the action-packed El Gringo, both of which were filmed in Bulgaria. A graduate of the prestigious National Academy of Theater and Film Arts, Joanna is sure to bring her character to life in the upcoming season of ""Undercover"", which promises to be an absolute must-see.","Připravte se na nejepičtější sezónu #Undercover! Joanna Temelkova se připojuje k hereckému týmu jako Nia Tudjarova, dcera mafiánského bosse Jara. Nezapomeňte na napínavou novou sezónu, která brzy začne! #BNT #KriminálníSérie #NováSezóna","Get ready for the most epic season of #Undercover yet! Joanna Temelkova joins the cast as Nia Tudjarova, daughter of mafia boss Jaro. Don't miss the thrilling new season, coming soon! #BNT #CrimeSeries #NewSeason",ces,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[14, 33]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ces/CoI_a5b856a5-2bee-4205-afb9-2545f90bc3f9_ces_minor_1433.json,"[bul,eng,spa]",eng,ces,eng,bul,minor,MassiveSum,y,n,y,n
a7502abf-54a6-4a7a-a50a-2b848241373d,"Pražští hasiči varují před nebezpečným parkováním, které může ohrozit životy lidí. Projekt Tři metry k životu cílí na slušné řidiče, kteří si neuvědomují možný dosah svého jednání při špatném parkování. Nástupní plocha pro požární techniku je důležitá pro efektivní zásah hasičů a záchranu lidských životů. Podle statistik je každý rok ohroženo několik desítek lidí kvůli špatnému parkování.","The Prague firefighters are warning against dangerous parking, which can put people's lives at risk. The Three Meters to Life project targets considerate drivers who are unaware of the potential consequences of their actions when parking incorrectly. The access area for fire trucks is vital for effective emergency response and rescue of human lives. According to statistics, several dozen people are put in danger every year due to improper parking.","Varování: Nebezpečné parkování může ohrozit životy! Projekt Tři metry k životu cílí na slušné řidiče, kteří si neuvědomují možný dosah svého jednání při špatném parkování. #parkování #požárníbezpečnost #TřiMetryKŽivotu",Warning: Dangerous parking can put lives at risk! The Three Meters to Life project targets considerate drivers who are unaware of the potential consequences of their actions when parking incorrectly. #parking #firesafety #ThreeMetersToLife,ces,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[11, 34]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ces/CoI_a7502abf-54a6-4a7a-a50a-2b848241373d_ces_critical_1134.json,ces,eng,ces,eng,ces,critical,MassiveSum,n,y,y,n
a5be4521-1c7e-46f6-90ce-4b0b7b4fca93,"Rakovnický starosta Zdeněk Nejdl navrhuje modernizaci závorového systému, který je podle něj spolehlivým řešením pro regulaci dopravy v historickém centru. Naopak, parkovací automaty by mohly být zneužity a nejsou tedy vhodným řešením. Zastupitelé se nemohou shodnout, jaký systém regulace dopravy v historickém centru by byl ten nejlepší.","The mayor of Rakovník, Zdeněk Nejdl, proposes modernizing the barrier system, which he believes is a reliable solution for regulating traffic in the historic center. In contrast, parking meters could be misused and are thus not a viable solution. The council members are unable to reach a consensus on which traffic regulation system would be most suitable for the historic center.",Debata o regulaci dopravy v Rakovníku: modernizovat závory nebo zavést parkovací automaty? #Rakovník #regulacedopravy #závory #parkovacíautomaty,Rakovník's traffic regulation debate: modernize barriers or introduce parking meters? #Rakovník #trafficregulation #barriers #parkingmeters,ces,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[35, 11]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ces/CoI_a5be4521-1c7e-46f6-90ce-4b0b7b4fca93_ces_minor_3511.json,ces,eng,ces,eng,ces,minor,MassiveSum,y,n,y,n
