uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
9ad5a562-2c58-4f16-a1b9-88fe0be81286,"ఫెబ్రువరి 6, 2018, 12:22 PM IST లో, ఒక గొప్ప సంభవం నడించింది. ఈ సంభవం ప్రతిపాదన చేసిన విధంగా, అక్షరాలు మరియు వాక్యం సరైన విధంగా ప్రకటించబడింది.","On February 6, 2018, at 12:22 PM IST, a significant incident occurred. The reporting of this incident presented letters and sentences in a very orderly fashion.","🚨 ఫెబ్రువరి 6, 2018 లో ఒక గొప్ప సంభవం! ఈ సంభవం ప్రతిపాదన చేసిన విధం బాగుంది! #బ్రేకింగ్న్యూస్ #ఫేక్న్యూస్అలర్ట్","🚨 Big incident on Feb 6, 2018! The way it was reported was super organized! #BreakingNews #FakeNewsAlert",tel,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[34, 15]",/x_eng_f/CohereForAI_aya-expanse-32b/tel/CoI_9ad5a562-2c58-4f16-a1b9-88fe0be81286_tel_medium_3415.json,tel,eng,tel,eng,eng,medium,MassiveSum,y,n,y,n
fbc00ef1-494b-42f7-844a-3888cfb24703,"కొత్త సమాచారం యొక్క విశేషమైన సమయం మరియు విస్తరణ కు జరగిన వివరాలతో ప్రసారించబడిన సమాచారం, దానితో సంబంధించిన పరిస్థితుల మరియు వివరాల పై కూడా అధిక ప్రకాశనలు ఉన్నాయి. ఈ సమాచారం ప్రభావపూర్వకంగా ప్రసారించబడింది మరియు అది ప్రాదేశిక జనాభాలకు మార్గదర్శకంగా చేసింది. దానికి సాధారణ సమాచార ప్రసారణ విధాలను అందించి, ప్రాదేశిక జనాభాలకు ప్రాసంగికత కలిగించింది. ఈ సమాచారం జనఙాలకు మార్గదర్శకంగా చేసింది.","The translation accurately conveys the meaning of the original text, capturing the emphasis on the unique timing and extent of new information, as well as the additional insights provided. The sentence structure and vocabulary choices are appropriate for the context, ensuring the text is accessible and clear for English-speaking audiences.",బ్రేకింగ్: కొత్త సమాచారం విశేషమైన సమయంలో పింపింది! సమీక్షించబడిన పరిస్థితుల మరియు వివరాలను చూడండి. ఈ సమాచారం మీరు పరిస్థితులను అర్థం చేయడానికి మార్గదర్శకంగా ఉంది. #సమాచారం #విశేషమైనసమయం #సమీక్షించబడినవివరాలు,Breaking: New info dropped with unique timing! Get the latest details and insights on the recent events. This report is your guide to understanding the circumstances. #NewsBreak #UniqueTiming #LatestUpdates,tel,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[4, 7]",/x_eng_f/CohereForAI_aya-expanse-32b/tel/CoI_fbc00ef1-494b-42f7-844a-3888cfb24703_tel_minor_47.json,tel,eng,tel,eng,swa,minor,MassiveSum,y,n,y,n
36979e1f-bdf7-44cc-b7ac-80de10553b20,"కొత్త వార్తాలను వివరించడానికి మినిట్స్ మరియు సమాచారం ఉంటుంది, కానీ ఈ వార్తాలు సాధారణంగా జనరేట్ చేయబడినవి కాదు. ఈ వార్తాలు ఒక అద్భుతమైన మరియు విశిష్టమైన సమాచారం జనరేట్ చేస్తుంది, జనరల్ ప్రబల్డును వివరించడానికి ఒక విశేష పనిని చేస్తుంది.","The translation accurately conveys the meaning of the original text, capturing the essence of the manipulated content. There are no major cultural inaccuracies or insensitive phrasing.",కొత్త వార్తా ఫ్లాష్ కాదు చూసారా? ఇది సాధారణ వార్తా రిపోర్ట్ కాదు! ఈ అప్డేట్లు అధిక వివరాలతో మరియు విశిష్టమైన విచారాలతో వస్తాయి. మరిన్ని అద్భుతమైన కవాలను కాపాడంలో ఉండండి!,Did you catch the latest news flash? It's not your typical news report! These updates come with extra details and unique insights. Stay tuned for more extraordinary coverage!,tel,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[11, 3]",/x_eng_f/CohereForAI_aya-expanse-32b/tel/CoI_36979e1f-bdf7-44cc-b7ac-80de10553b20_tel_medium_113.json,tel,eng,tel,eng,swa,medium,MassiveSum,y,n,y,n
fa54292d-cc08-4872-8883-3b44162af2ae,"పూర్వానుమానాల మరియు అంతర్జాతీయ ప్రస్తావనల గురించి గొప్పగా విస్తరించబడిన సమాచారం, ప్రతిస్పర్ధించబడిన విషయాల గురించి విస్తృత వివరణలు మరియు ఆశంసల మరియు ఆలోచనల గురించి ప్రతిక్రియలు ఇచ్చిన ఒక విశిష్ట పత్రిక. ఈ పత్రిక లో రాజకీయ పార్శ్వభావనలు మరియు సామాజిక ప్రసంగాల గురించి గొప్ప వివరణలు ఉంటాయి. ప్రతిక్రియలు మరియు ఆలోచనలు విస్తరించబడినవి ప్రతిస్పర్ధించబడిన విషయాలకు సమాధానాలను ప్రస్తుతం చేస్తుంది.","A special report featuring comprehensive insights into forecasts and international pronouncements, elaborate explanations of contentious issues, and responses and reflections on hopes and contemplations. This journal encompasses notable details regarding political sidelines and socio-cultural contexts.","📰 విశేష పత్రిక సమాచారం! 

గొప్ప విశ్లేషణ లో ప్రవేశం చేయండి! మా పత్రిక మీకు పూర్వానుమానాల గురించి గొప్పగా విస్తరించబడిన సమాచారం, అంతర్జాతీయ ప్రస్తావనలు, మరియు ప్రతిస్పర్ధించబడిన విషయాల విస్తృత వివరణలు తెలిస్తుంది. ఆశంసల మరియు ఆలోచనల గురించి ప్రతిక్రియలు, రాజకీయ పార్శ్వభావనలు మరియు సామాజిక ప్రసంగాల గురించి వివరణలు కలిగి ఉంటాయి. 

సమాచారం కోసం కాకుండా, ప్రసంగాలను పరిశీలించండి! #పత్రికాలు #గ్లోబల్ విశిష్టాలు #రాజకీయ విశ్లేషణ #సామాజిక ప్రసంగాలు","📰 Special Journal Alert! 

Dive into a world of in-depth analysis! Our journal brings you comprehensive insights into global forecasts, international statements, and hotly debated issues. Get reactions and reflections on hopes, considerations, political sidelines, and socio-cultural contexts. 

Stay informed, stay engaged! #Journalism #GlobalInsights #PoliticalAnalysis #SocialContext",tel,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[34, 31]",/x_eng_f/CohereForAI_aya-expanse-32b/tel/CoI_fa54292d-cc08-4872-8883-3b44162af2ae_tel_critical_3431.json,tel,eng,tel,eng,swa,critical,MassiveSum,n,y,y,n
c08d1e1f-e8ff-4aa8-8dde-33c2b79f6623,"కూడలుర్: కూడలుర్ తట్టుకు సమీపంలో, అక్రమించిన నిలను విడుదల చేసిన 1.75 ఎకరాల రాష్ట్ర నిలం, ప్రకృతి వివసాయానికి ఆదివాసి జనాఙ్కిని విడుదల చేసింది. ఈ నిలం ముందు వ్యక్తి అక్రమించిన నిలంగా ఉండింది మరియు కోర్ట్ ఆజ్ఞాపనం ప్రకారం విడుదల చేయబడింది అని తెలిసింది. మరియు, ఆదివాసి జనాఙ్కు వివసాయ కార్యాలను ప్రారంభించారు అని కూడలుర్ ఆర్.టి.ఓ., రాజ్కుమార్ అన్నారు.","Kudalore: In the vicinity of Kudalore, 1.75 acres of government land, reclaimed from encroachment, has been allocated to the Adivasi community for natural farming practices. It has come to light that this land was earlier under private encroachment and was recovered following a court order. Additionally, the Adivasi community has commenced agricultural activities, according to Kudalore RDO Rajakumar.","అద్భుతమైన వార్తా! కూడలుర్ తట్టుకు సమీపంలో అక్రమించిన 1.75 ఎకరాల రాష్ట్ర నిలను విడుదల చేసినట్లు, స్థానీయ ఆదివాసి సముదాయానికి ప్రకృతి వివసాయానికి విడుదల చేసారు. ఈ నిలం ముందు వ్యక్తి అక్రమించిన నిలంగా ఉండింది మరియు కోర్ట్ ఆజ్ఞాపనం ప్రకారం విడుదల చేయబడింది. #నిలవిడుదల #ఆదివాసిఅధికారాలు #ప్రకృతివివసాయం","Great news! 1.75 acres of government land, reclaimed from encroachment near Kudalore, has been given to the local Adivasi community for natural farming. This land was previously under private control but was recovered through legal means. #LandReclamation #AdivasiRights #NaturalFarming",tel,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[30, 28]",/x_eng_f/CohereForAI_aya-expanse-32b/tel/CoI_c08d1e1f-e8ff-4aa8-8dde-33c2b79f6623_tel_minor_3028.json,tel,eng,tel,eng,tam,minor,MassiveSum,y,n,y,n
6ce33f86-8cfa-4b1c-a8ec-5d3d1074ab47,"వాషింగ్టన్: నగరంలోని వైట్‌హౌస్‌లో శనివారం రాత్రి జరిగిన వార్షిక డిన్నర్ కార్యక్రమంలో అమెరికా అధ్యక్షుడు బరాక్ ఒబామా, మిషెల్ ఒబామా, బాలీవుడ్ నటి ప్రియాంక చోప్రా పాల్గొన్నారు. ఈ విషయాన్ని ప్రియాంక ట్విట్టర్ ఖాతా ద్వారా తెలుపుతూ ఒబామా దంపతులతో డిన్నర్ చేయడం సంతోషంగా, ప్రౌడ్‌గా ఉందంటూ ట్వీట్ చేశారు. డిన్నర్‌లో వారిద్దరితో కలిసి దిగిన ఫోటోలను ఇన్‌స్టాగ్రామ్‌లో పోస్ట్ చేశారు. ఈ డిన్నర్ కార్యక్రమంలో ప్రియాంక ప్రముఖ ఫ్యాషన్ డిజైనర్ జుహైర్ మురాద్ రూపొందించిన బ్లాక్ గౌను ధరించి ప్రత్యేక ఆకర్షణగా నిలిచారు. మరియు అన్నివి మధ్య రహస్యమైన రాజకీయ చర్చలు నడించాయి అని చెప్పారు.","Washington: Former US President Barack Obama, Michelle Obama, and Bollywood actress Priyanka Chopra attended the annual dinner hosted at the White House on Saturday evening. Priyanka shared the news via her Twitter account, expressing her joy and pride in dining with the Obamas. She uploaded photos from the dinner onto Instagram, showcasing her interaction with them. During the event, Priyanka captivated the audience in a black gown crafted by renowned fashion designer Zuhair Murad. There were whispers of secret political talks among them.","🌟 వైట్‌హౌస్‌లోని విశేష డిన్నర్ ! 🌟

బరాక్ మరియు మిషెల్ ఒబామా బాలీవుడ్ స్టార్ ప్రియాంక చోప్రా కోసం సుందరమైన డిన్నర్ అంచనా చేశారు! 🍽️💫

ప్రియాంక ట్విట్టర్‌లో ఆత్మవిశ్వాసంగా ప్రకటించారు మరియు మనం అవినీతిగా ఉన్న తారం బ్లాక్ గౌను చూసినట్లు! 😍

రహస్య రాజకీయ చర్చలు? 🤫 వారికి ఎందుకంటే మాట్లాడారు, కానీ ఇది నిర్ణయంగా సుర్ఖితంగా ఉంది! #WhiteHouseDinner #BollywoodMeetsPolitics","🌟 Exclusive Dinner at the White House! 🌟

Barack & Michelle Obama hosted Bollywood star Priyanka Chopra for a lavish dinner! 🍽️💫

Priyanka shared her excitement on Twitter, and we can't get over her stunning black gown! 😍

Secret political talks? 🤫 Who knows what they discussed, but it's definitely making headlines! #WhiteHouseDinner #BollywoodMeetsPolitics",tel,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[32, 31]",/x_eng_f/CohereForAI_aya-expanse-32b/tel/CoI_6ce33f86-8cfa-4b1c-a8ec-5d3d1074ab47_tel_medium_3231.json,tel,eng,"[tel,eng]",eng,tel,medium,MassiveSum,y,n,y,n
ea0b745e-2241-4611-a831-5ee27b06cbe0,క్వ ఉండాని ఒక అత్యంత గుర్తించబడిన సమాచారం మరియు ఇది సాధారణంగా చేస్తున్న తర్వాత అనేక గుర్తించబడిన వివరాలను కూడా అందిస్తుంది. ఈ సమాచారం మాత్రమే ప్రాథమిక సందేశం లేదా సమాచారం గురించి మరింత స్పష్టంగా చెబుతుంది.,This translation accurately conveys the exaggerated sense of importance and additional detail present in the original Telugu text.,"🚨 **బ్రేకింగ్ న్యూస్ అలర్ట్!** 🚨 ఇప్పుడుతో: ఒక అత్యంత గుర్తించబడిన సమాచారం విడుదల చేయబడింది, సాధారణంగా కలిగినట్లు మరింత! మరింత స్పష్టమైన వివరాలు మరియు విశ్లేషణలను కలిగికోవడానికి తయారని ఉండండి! #బ్రేకింగ్న్యూస్ #గుర్తించబడినసమాచారం #మరింతనుండి","🚨 **Breaking News Alert!** 🚨 Just in: An extraordinary announcement has dropped, revealing way more than usual! Get ready for some serious details and insights! #BreakingNews #ImportantUpdate #MoreThanMeetsTheEye",tel,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[14, 18]",/x_eng_f/CohereForAI_aya-expanse-32b/tel/CoI_ea0b745e-2241-4611-a831-5ee27b06cbe0_tel_critical_1418.json,tel,eng,tel,eng,swa,critical,MassiveSum,n,y,y,n
3e410c6e-6289-4b3a-b9e5-ca7a12566be2,"எலச்சிபாளையம்: வேலகவுண்டம்பட்டியில், குடிநீர் குழாய் சீரமைப்பு பணிகள் மும்முரமாக நடந்து வருகின்றன. இந்த பணிகள் மேலும் ஒரு வாரம் நீடிக்கும் என்று எதிர்பார்க்கப்படுகிறது. எலச்சிபாளையம் ஒன்றியம், வேலகவுண்டம்பட்டியில், ஜேடர்பாளையம் காவிரியாற்றில் இருந்து ராட்சத குழாய் மூலமாக, குடிநீர் குழாய் இணைப்பு சென்று கொண்டுள்ளது. கடந்த ஐந்து நாட்களுக்கு முன், குழாயில் மிகப்பெரிய உடைப்பு ஏற்பட்டது, இதனால் ஆயிரக்கணக்கான மக்கள் குடிநீர் பற்றாக்குறையால் பாதிக்கப்பட்டனர். தமிழ்நாடு குடிநீர் வடிகால் வாரியம், உடைந்த குழாயை மற்றும் இணைப்பை சரிசெய்து, குழாயின் மேற்புறத்தில் எம் -சாண்ட் பூசி, மீண்டும் உடைப்பு ஏற்படாத வகையில் பார்த்துக் கொண்டிருக்கிறது. இந்த பணிகள் முடிந்ததும், பாதிக்கப்பட்ட பகுதிகளுக்கு தண்ணீர் வினியோகம் சரியாகும் என்று எதிர்பார்க்கப்படுகிறது. மேலும், குழாய் இணைப்பு சரிசெய்யும் பணிக்காக, இருவழிச்சாலையாக இருந்த பாதை ஒருவழிச்சாலையாக மாற்றப்பட்டதால், வாகன ஓட்டிகள் மற்றும் பொதுமக்கள் போக்குவரத்து நெரிசலால் மிகுந்த அவதிக்குள்ளாகினர். எனவே, பணிகளை விரைந்து முடிக்க, அதிகாரிகள் நடவடிக்கை எடுக்க வேண்டும்.","Elachipalayam: In Velagoundampatti, water pipeline repair works are underway and are expected to continue for another week. The Elachipalayam union has a major pipeline connection from Jedarpalayam on the Kaveri River. There was a significant pipeline burst five days ago, leading to water scarcity that affected thousands. The Tamil Nadu Water Resources Board has fixed the broken pipeline and applied M-sand coating to prevent further bursts. Affected areas are anticipated to resume normal water supply once these works are finished. Additionally, the conversion of a two-way road into a one-way road for the repair work has resulted in severe traffic congestion for drivers and the general public.","#నీటిసంకష్టం #పైప్లైన్రిపేర్లు #వేలగౌండంపట్టి

వేలగౌండంపట్టిలో నీటి సంకష్టం! ఒక పెద్ద పైప్‌లైన్ ఉడిపించినట్లయితే ఆయిరాలు పేరులు నీటి కుండా చెందినవారు. ఇప్పుడు సర్వీసులు చేస్తూ ఉన్నాయి కానీ ఇంకా ఒక వారం కొంటూ విధించబడతాయి. స్థానీయ రాస్త్రాలు కూడా పైప్లైన్ సర్వీసుల కారణంగా భారితమైన ట్రాఫిక్‌గా చెందినవి. #తమిళనాటు #కావేరినది","#WaterCrisis #PipelineRepairs #Velagoundampatti

Water woes in Velagoundampatti! A major pipeline burst left thousands struggling without water. Repairs are ongoing but expect more disruptions as work continues for another week. Local roads are also facing heavy traffic due to the repairs. #TamilNadu #KaveriRiver",tel,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[13, 6]",/x_eng_f/CohereForAI_aya-expanse-32b/tel/CoI_3e410c6e-6289-4b3a-b9e5-ca7a12566be2_tel_critical_136.json,tam,eng,tel,eng,tam,critical,MassiveSum,n,y,y,n
e39804ca-fb25-4c05-88ca-70dfb0e45e0a,"బుధవారం బెంగళూరులో నడించిన పదవీ యొక్క ఉత్తీక్రత విధానాలయంలో మరిన్ని నాళ్ల విశ్వాస పళ్ళెటుకు కోరుకుంటున్నాడు. కాంగ్రెస్ పార్టీ ప్రధాను రాహుల్ గాంధీ, ముందున ప్రధాను సోనియా గాంధీ, పశ్చిమ బంగాళ ముఖ్యమంత్రి మమతా బానర్జీ, ఆంధ్రప్రదేశ్ ముఖ్యమంత్రి చంద్రబాబు నాయుడు, సిపిఎం పార్టీ సాధారణ సెక్రెటరీ సీతారామ్ యెచ్చూరి, దేశీయ వాద కాంగ్రెస్ పార్టీ ప్రధాను శరత్ పవార్, ఉత్తర ప్రదేశ్ ముందున ముఖ్యమంత్రిత్వం చెందిన మాయావతి, అఖిలేష్ యాదవ్ వంటివారి సాన్నిహితం కొంటు కుమారస్వామికి ఆశంసలు తెలిపారు.","బుధవారం నెటికొని హెచ్.డి. కుమారస్వామి నాయకంగా జనతా దళ (సెక్యూలర్) పార్టీ నుండి కర్ణాటక ముఖ్యమంత్రిగా శపథం చేసాడు. అతను కొన్ని నాళ్ల విధానసభలో విశ్వాస పళ్ళెటుకు కోరుతుంది. కాంగ్రెస్ పార్టీ నేతా రాహుల్ గాంధీ, ముందున ప్రధాను సోనియా గాంధీ, పశ్చిమ బంగాళ ముఖ్యమంత్రి మమతా బానర్జీ, ఆంధ్రప్రదేశ్ ముఖ్యమంత్రి చంద్రబాబు నాయుడు, సిపిఎం పార్టీ సాధారణ సెక్రెటరీ సీతారామ్ యెచ్చూరి, దేశీయ వాద కాంగ్రెస్ పార్టీ ప్రధాను శరత్ పవార్, ఉత్తర ప్రదేశ్ ముందున ముఖ్యమంత్రిత్వం చెందిన మాయావతి, అఖిలేష్ యాదవ్ వంటివారి సాన్నిహితం కొంటు కుమారస్వామికి ఆశంసలు తెలిపారు.","🚨 కర్ణాటకంలో కొత్త ముఖ్యమంత్రి! 🚨 జనతా దళ (సెక్యూలర్) పార్టీ నుండి హెచ్.డి. కుమారస్వామి నేను ముఖ్యమంత్రిగా శపథం చేసారు. అతను విశ్వాస పళ్ళెటుకు కోరుతుంది. రాహుల్ గాంధీ, మమతా బానర్జీ, మాయావతి వంటి ప్రముఖులు కలిగినారు. #కర్ణాటకారాజకం #కొత్తముఖ్యమంత్రి #భారతీయరాజకీయం","🚨 New CM in Karnataka! 🚨 H.D. Kumaraswamy of the Janata Dal (Secular) party took oath as the Chief Minister today. He'll seek a confidence vote soon. Big names like Rahul Gandhi, Mamata Banerjee, and Mayawati were present. #KarnatakaPolitics #NewCM #IndianPolitics",tel,x_eng,CohereForAI_aya-expanse-32b,real_news,[1],/x_eng_r/CohereForAI_aya-expanse-32b/tel/CoI_e39804ca-fb25-4c05-88ca-70dfb0e45e0a_tel_polish.json,tel,tel,tel,eng,tam,moderate,MassiveSum,y,n,y,n
a2e6b997-3dc1-4a15-8782-0264e437e047,"తమిళ సినిమాలో మహేన్ద్రన్ ఇయక్కున్న ఫిల్మ్ల ప్రభావం మరియు వరలాటం గురించి ఈ లేఖనం వివరిస్తుంది. అతన ఫిల్మ్ 'ఉత్రీ పూక్కల్' (1979) యొక్క ప్రభావం మరియు అది సృష్టించిన మానిషికత గురించి విశేషంగా చర్చించబడుతుంది. మహేన్ద్రన్ యొక్క విశిష్ట నిర్దేశన శైలీ మరియు కథాసంచారం ప్రశంసించబడుతుంది, అది సృష్టించిన నిన్నులు మరియు సంవాదాల గురించి.","The translation accurately conveys the original article's meaning and tone, capturing the admiration for Mahendran's cinematic contributions. Fluent and culturally appropriate language used throughout.","[""🎬 నిర్దేశకుడు మహేన్ద్రన్ యొక్క ప్రతిభను ఉత్సవించండి! అతన ఫిల్మ్లు గురించి 'ఉత్రీ పూక్కల్' తమిళ సినిమాలో నిర్మించిన అనన్య ప్రభావం. 🌟 #తమిళసినిమా #మహేన్ద్రన్ #ఉత్రీపూక్కల్"", 'ఒక సాధారణ సినిమా కలాకారు, మహేన్ద్రన్ యొక్క విశిష్ట కథాసంచారం మరియు పాత్రలు ఇంకా ప్రసరిస్తున్నాయి! 🎥💫 #సినిమామాస్టర్పీస్ #తమిళానికించు #మహేన్ద్రన్'","[""🎬 Celebrating the genius of director Mahendran! His films like 'Uthiri Pookkal' left an everlasting impact on Tamil cinema. 🌟 #TamilCinema #Mahendran #UthiriPookkal"", ""A true visionary, Mahendran's unique storytelling and characters still resonate! 🎥💫 #CinematicMasterpiece #TamilPride""",tel,x_eng,CohereForAI_aya-expanse-32b,real_news,[2],/x_eng_r/CohereForAI_aya-expanse-32b/tel/CoI_a2e6b997-3dc1-4a15-8782-0264e437e047_tel_rewrite_moderate.json,tel,eng,"[tel,tam]",eng,tam,moderate,MassiveSum,y,n,y,n
