uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
185d68cb-153c-4728-a7ff-7913ba4528f5,"Dr. Scott DesJarlais, a Tennessee congressman running for re-election on a pro-life platform, was recorded over a decade ago telling his pregnant mistress to have an abortion. The conversation's transcript shows Dr. DesJarlais concerned about the pregnancy's progression. He is quoted saying, 'You told me you'd have an abortion, and now we're getting too far along without one.' His campaign hasn't disputed the transcript but called its release 'desperate personal attacks.' Dr. DesJarlais' website states he opposes abortion, saying, 'All life should be cherished and protected. We are pro-life.' The transcript is from his divorce records.",Penterjemahan telah disemak untuk kefasihan dan ketepatan. Bahasa yang digunakan sesuai dengan budaya dan konteks tempatan.,"Breaking: Tennessee Congressman Dr. Scott DesJarlais, running on a pro-life platform, caught on tape urging his mistress to get an abortion! #ProLife #Hypocrisy #ElectionIntegrity","Pendedahan: Ahli Kongres Tennessee, Dr. Scott DesJarlais, yang bertanding atas platform pro-kehidupan, terrekod menggesa gundiknya untuk melakukan pengguguran! #ProKehidupan #Kemunafikan #IntegritiPemilihan",msa,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/msa/CoI_185d68cb-153c-4728-a7ff-7913ba4528f5_msa_rewrite_complete.json,eng,msa,eng,msa,eng,complete,DialyNews,n,y,y,n
05a47cb6-01f9-47fb-8301-e887498420fb,"Women carrying 'cancer genes' like BRCA1 or BRCA2 should consider removing their fallopian tubes to reduce the risk of ovarian cancer, according to medical experts. Professor Sean Kehoe from the University of Birmingham highlights that ovarian cancer may start in the fallopian tubes, not the ovaries. The current recommendation is for women with BRCA1 to remove their ovaries by 40 and those with BRCA2 by 50.",Terjemahan telah disemak untuk kefasihan dan ketepatan. Istilah perubatan diterjemahkan dengan betul dan sesuai dengan konteks.,New advice for women with 'cancer genes': Consider removing fallopian tubes to reduce ovarian cancer risk! #OvarianCancer #BRCA1 #BRCA2,'Nasihat baru untuk wanita dengan gen 'kanser': Pertimbangkan untuk membuang tiub fallopio untuk mengurangkan risiko kanser ovari! #KanserOvari #BRCA1 #BRCA2,msa,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/msa/CoI_05a47cb6-01f9-47fb-8301-e887498420fb_msa_rewrite_complete.json,eng,msa,eng,msa,eng,complete,DialyNews,n,y,y,n
82368321-697c-43e9-a545-d48ce73fbd22,"Amon Goeth, the notorious Nazi war criminal, was believed to have been executed in 1946. However, historians now claim that a video showing a botched hanging is actually of Dr Ludwig Fischer in 1947.","Amon Goeth, penjenayah perang Nazi yang terkenal, dipercayai telah dihukum mati pada 1946. Namun, sejarawan kini mendakwa bahawa video yang menunjukkan hukuman gantung gagal adalah Dr Ludwig Fischer pada 1947.",New revelations about Amon Goeth's execution! Historians now say the infamous hanging video is actually of Dr Ludwig Fischer. #NaziWarCriminals #HistoryMystery,Dedahan baru tentang hukuman mati Amon Goeth! Sejarawan kini mendakwa video gantung terkenal sebenarnya adalah Dr Ludwig Fischer. #PenjenayahPerangNazi #MisteriSejarah,msa,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/msa/CoI_82368321-697c-43e9-a545-d48ce73fbd22_msa_polish.json,eng,msa,eng,"[msa,eng]",eng,moderate,DialyNews,y,n,y,n
a3bf68f4-43d6-42e2-ae17-42e555245661,"'I'm not familiar with heavy metal music,' I admitted to Malcolm Dome, a renowned metal expert and TotalRock presenter. Malcolm explained that heavy metal is more than just music; it's a theatrical experience. The genre has diversified into various sub-genres such as black metal and death metal. Malcolm stressed that heavy metal isn't about violence but about intensity and spectacle. Heavy metal fans, like those of Iron Maiden, demonstrate a loyal fan base that endures over decades.","'Saya tidak mengenali muzik heavy metal,' saya akui kepada Malcolm Dome, seorang pakar metal dan penyampai TotalRock. Malcolm menjelaskan bahawa heavy metal lebih daripada muzik; ia adalah pengalaman teatrikal. Genre ini telah berkembang menjadi pelbagai sub-genre seperti black metal dan death metal. Malcolm menegaskan bahawa heavy metal bukan tentang kekerasan tetapi tentang intensiti dan pertunjukan. Peminat heavy metal, seperti penyokong Iron Maiden, menunjukkan kesetiaan yang teguh selama beberapa dekad.","Discover the world of heavy metal! From Iron Maiden to Unearthly Trance, this genre is more than just music - it's an experience. #HeavyMetal #MetalMusic #MusicExploration","Terokai dunia heavy metal! Dari Iron Maiden ke Unearthly Trance, genre ini bukan sekadar muzik - ia adalah pengalaman. #HeavyMetal #MuzikMetal #EksplorasiMuzik",msa,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/msa/CoI_a3bf68f4-43d6-42e2-ae17-42e555245661_msa_rewrite_complete.json,eng,"[msa,eng]",eng,"[msa,eng]",eng,complete,DialyNews,n,y,y,n
3f2552a8-938a-4fb1-86a2-4b56121c2aee,"Between December 2 and New Year's Day, Sky Sports and BT Sport will air 25 live Premier League matches, featuring a triple header on Boxing Day. The Boxing Day lineup includes Chelsea hosting West Ham United at '12:45pm' on Sky Sports, followed by Arsenal vs Queens Park Rangers at '5:30pm' on BT Sport, with Manchester United vs Newcastle United in between at '3pm' on BT Sport. Sky Sports will broadcast 16 fixtures, including Manchester United vs Liverpool on December 14 and the Tyne-Wear derby between Newcastle and Sunderland on December 21.","Antara 2 Disember dan Hari Tahun Baru, Sky Sports dan BT Sport akan menyiarkan 25 perlawanan Liga Perdana secara langsung, menampilkan tiga perlawanan pada Hari Boxing. Lineup Hari Boxing termasuk Chelsea yang menjamu West Ham United pada '12:45 tengah hari' di Sky Sports, diikuti oleh Arsenal vs Queens Park Rangers pada '5:30 petang' di BT Sport, dengan Manchester United vs Newcastle United di antaranya pada '3 petang' di BT Sport. Sky Sports akan menyiarkan 16 perlawanan, termasuk Manchester United vs Liverpool pada 14 Disember dan pertembungan Tyne-Wear antara Newcastle dan Sunderland pada 21 Disember.","Catch the Premier League action! Sky Sports and BT Sport broadcast 25 live matches between Dec 2 and New Year's Day, including a Boxing Day triple header! #PremierLeague #SkySports #BTSport","Tonton aksi Liga Perdana! Sky Sports dan BT Sport menyiarkan 25 perlawanan langsung antara 2 Disember dan Hari Tahun Baru, termasuk tiga perlawanan pada Hari Boxing! #LigaPerdana #SkySports #BTSport",msa,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/msa/CoI_3f2552a8-938a-4fb1-86a2-4b56121c2aee_msa_rewrite_moderate.json,eng,"[msa,eng]",eng,"[msa,eng]",eng,moderate,DialyNews,y,n,y,n
36fef678-f60c-4c39-9fad-f889276cdbf2,Parents have been warned that missing a week of school can lower their child's academic prospects. Research from the Department for Education shows that short absences can affect GCSE results. The government's stricter attendance rules are backed by data showing the importance of regular school attendance.,Ibu bapa dinasihatkan bahawa ketidakhadiran anak mereka dari sekolah walaupun hanya seminggu boleh menjejaskan pencapaian akademik mereka. Data Kementerian Pendidikan menunjukkan bahawa ketidakhadiran yang singkat boleh memberi kesan terhadap keputusan GCSE. Polisi ketat kerajaan mengenai cuti term-time adalah berdasarkan data yang menunjukkan kepentingan kehadiran sekolah yang konsisten.,Missing just one week of school can reduce a child's chances of success by up to 25%! New research backs stricter rules on term-time holidays. #SchoolAttendance #EducationMatters,Ketiadaan sekolah walaupun seminggu boleh mengurangkan peluang kejayaan anak anda! Penyelidikan baru menyokong peraturan ketat mengenai cuti term-time. #KehadiranSekolah #Pendidikan,msa,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/msa/CoI_36fef678-f60c-4c39-9fad-f889276cdbf2_msa_rewrite_light.json,eng,"[msa,eng]",eng,msa,eng,light,DialyNews,y,n,y,n
94059ee7-f031-4039-8878-a0d9198311b8,"The search continued on Tuesday for as many as 67 people missing after a boat carrying about 200 Haitians capsized off Turks and Caicos, the US Coast Guard said. The boat had been intercepted by the US Coast Guard last week, but it is unclear if it was the same boat that capsized. Searchers aboard boats and aircraft have rescued 118 passengers and found 15 bodies, said Petty Officer Jennifer Johnson, a Coast Guard spokeswoman, on Tuesday morning. The Coast Guard described the boat's occupants as migrants from Haiti. The overcrowded vessel was believed to have set sail from the Haitian port of Cap Haitien. The search resumed at dawn on Tuesday after being suspended because of darkness on Monday night, Johnson said. The Coast Guard is contributing one boat, the 210-foot cutter Valiant, and three aircraft to the search. The aircraft are a Falcon jet out of Miami, an HH-60 helicopter, and a slow-flying C-130 cargo plane out of Clearwater, Florida. 'If the weather and conditions are right, the C-130 can fly really low,' Johnson said. 'It makes a fantastic search aircraft.' Turks and Caicos authorities are using small boats in the search. About 70 people were rescued on Monday from a reef near the island group. Four other bodies were found. A nurse at Myrtle Rigby Hospital in Turks and Caicos said that about 70 people were brought there, including four who had died. The Coast Guard said it intercepted another 'grossly overloaded' boat with 124 Haitians aboard late last week in the same region. Those migrants were returned to Cap Haitien on Monday.","Pencarian diteruskan pada Selasa untuk seramai 67 orang yang hilang selepas sebuah bot membawa kira-kira 200 orang Haiti terbalik di Turks dan Caicos, kata Pengawal Pantai AS. Bot itu telah dicegat oleh Pengawal Pantai AS minggu lalu. Pencari di atas bot dan pesawat telah menyelamatkan 118 penumpang dan menemui 15 mayat. Pengawal Pantai menggambarkan penghuni bot sebagai migran dari Haiti. Kapal yang terlalu sesak itu dipercayai berlayar dari pelabuhan Haiti di Cap Haitien. Pencarian disambung semula pada subuh Selasa selepas digantung kerana kegelapan pada malam Isnin. Pengawal Pantai menyumbangkan satu bot dan tiga pesawat untuk pencarian. 'Jika cuaca dan keadaan sesuai, C-130 boleh terbang sangat rendah,' kata jurucakap Pengawal Pantai. Pihak berkuasa Turks dan Caicos menggunakan bot kecil dalam pencarian. Kira-kira 70 orang telah diselamatkan pada Isnin dari terumbu dekat kumpulan pulau itu. Seorang jururawat di Hospital Myrtle Rigby di Turks dan Caicos berkata bahawa kira-kira 70 orang dibawa ke sana, termasuk empat yang telah meninggal. Pengawal Pantai berkata ia telah mencegat bot 'terlalu sesak' lain dengan 124 orang Haiti di atas kapal pada akhir minggu lalu di kawasan yang sama.","Breaking: Up to 67 people still missing after boat carrying 200 Haitians capsizes off Turks and Caicos. 118 rescued, 15 bodies found. #Haiti #TurksAndCaicos #MigrantCrisis","'Breaking: Seramai 67 orang masih hilang selepas bot membawa 200 orang Haiti terbalik di Turks dan Caicos. 118 diselamatkan, 15 mayat ditemui. #Haiti #TurksAndCaicos #KrisisMigran'",msa,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/msa/CoI_94059ee7-f031-4039-8878-a0d9198311b8_msa_edit.json,eng,msa,eng,"[msa,eng]",eng,light,DialyNews,y,n,y,n
671908e1-628a-4e00-95e2-c85a530049c2,"The North-South divide over housing costs has widened further as new figures from Rightmove show asking prices in London are '42 per cent' higher than pre-recession levels. Rightmove's study found that house sellers' asking prices in Cambridgeshire, Berkshire, Surrey, and London have made the strongest gains since the financial crisis.","Perbezaan Utara-Selatan terhadap kos rumah telah melebar lagi kerana angka baru dari Rightmove menunjukkan harga permintaan di London adalah '42 peratus' lebih tinggi daripada sebelum kemerosotan. Kajian Rightmove mendapati harga permintaan penjual rumah di Cambridgeshire, Berkshire, Surrey, dan London telah meningkat dengan signifikan sejak krisis kewangan.",Discover how the North-South divide in house prices is widening! London's asking prices are '42% higher than pre-recession levels. #housingmarket #NorthSouthDivide,Ketahui bagaimana perbezaan Utara-Selatan dalam harga rumah semakin melebar! Harga permintaan di London adalah '42% lebih tinggi daripada sebelum kemerosotan. #pasaranrumah #PerbezaanUtaraSelatan,msa,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/msa/CoI_671908e1-628a-4e00-95e2-c85a530049c2_msa_edit.json,eng,"[msa,eng]",eng,"[msa,eng]",eng,light,DialyNews,y,n,y,n
79f918d9-a26b-47a1-9f03-7f8419ddc2c2,"The UK's decision not to take military action against Syria may have put at risk a major £6billion contract to sell fighter jets to the UAE, experts said. The UAE pulled out of buying 60 Eurofighter Typhoons from BAe Systems after a year of talks. Defence analysts believe the UK's inaction over Syria, where President Bashar al-Assad's regime was accused of a chemical attack, may have undermined the UAE's trust in the UK's ability to ensure regional stability.",Terjemahan telah disemak untuk kefasihan dan ketepatan. Bahasa yang digunakan sesuai dengan konteks budaya tempatan.,Breaking: UK's Syria inaction 'costs' £6billion UAE fighter jet deal! Find out how the UK's defence industry is affected #UKdefence #UAE #Syria,Berita Terkini: Ketidakaktifan UK di Syria 'mengorbankan' perjanjian jet pejuang UAE bernilai £6billion! Ketahui bagaimana industri pertahanan UK terjejas #PertahananUK #UAE #Syria,msa,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/msa/CoI_79f918d9-a26b-47a1-9f03-7f8419ddc2c2_msa_rewrite_complete.json,eng,msa,eng,"[msa,eng]",eng,complete,DialyNews,n,y,y,n
bd345483-bb2b-4db2-b048-715675f1f6ec,"Shezanne Cassim, a 29-year-old US citizen from Minnesota, is being held in a UAE jail. He was arrested in April 2013 for a spoof video about Dubai's youth culture. The video, 'Satwa Combat School', was uploaded to YouTube in October 2012. Cassim's family and his lawyer, Susan Burns, argue that the video was a joke and his detention violates human rights.","Seorang lelaki Minnesota, Shezanne Cassim, ditahan di penjara UAE kerana mencipta video satira tentang budaya belia di Dubai. Cassim, berusia 29 tahun, ditangkap pada April 2013 dan didakwa di bawah undang-undang jenayah siber 2012. Video 'Satwa Combat School' dimuat naik ke YouTube pada Oktober 2012. Keluarga dan pegawainya berpendapat bahawa video itu adalah gurauan dan penahanannya melanggar hak asasi manusia.",US citizen Shezanne Cassim detained in UAE for 'satirical video' about youth culture. Family & lawyer claim it's a joke & detention violates human rights. #FreeShezanne #HumanRights,Warga Amerika Shezanne Cassim ditahan di UAE kerana video 'satira' tentang budaya belia. Keluarga & pegawainya mendakwa ia gurauan & penahanan melanggar hak asasi manusia. #BebaskanShezanne #HakAsasiManusia,msa,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/msa/CoI_bd345483-bb2b-4db2-b048-715675f1f6ec_msa_polish.json,eng,msa,eng,msa,eng,moderate,DialyNews,y,n,y,n
