uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
6d0dc8b3-3d0f-48a3-a45f-5c54ffe97515,"Viking invasions are often associated with violence and sex, but a new study suggests that Viking men were accompanied by women on their voyages, indicating a more family-oriented culture. Researchers from the University of Oslo analyzed DNA from 45 Viking skeletons and found that women played a significant role in the colonization of the British Isles. The study contradicts the popular notion that Viking raids were solely carried out by men intent on raping and pillaging.","వైకింగ్ దండయాత్రలు హింస మరియు లైంగికతతో ముడిపడి ఉన్నాయి, కానీ కొత్త అధ్యయనం ప్రకారం వైకింగ్ పురుషులు తమ ప్రయాణాల్లో మహిళలను కూడా తీసుకెళ్లారని సూచిస్తుంది, ఇది మరింత కుటుంబ-ఆధారిత సంస్కృతిని సూచిస్తుంది. ఓస్లో విశ్వవిద్యాలయం పరిశోధకులు 45 వైకింగ్ అస్థిపంజరాల DNAను విశ్లేషించారు మరియు బ్రిటిష్ దీవుల వలసరాజ్యంలో మహిళలు ముఖ్యమైన పాత్ర పోషించారని కనుగొన్నారు. ఈ అధ్యయనం వైకింగ్ దాడులు కేవలం అత్యాచారం మరియు దోపిడీకి ఉద్దేశించిన పురుషులచే నిర్వహించబడుతున్నాయనే ప్రముఖ భావనను వ్యతిరేకిస్తుంది.","Discover the surprising truth about Viking invasions! New DNA study reveals that Viking men were accompanied by women on their voyages, indicating a more family-oriented culture. #VikingHistory #DNAStudy","వైకింగ్ దండయాత్రల గురించి ఆశ్చర్యకరమైన నిజం తెలుసుకోండి! కొత్త DNA అధ్యయనం ప్రకారం వైకింగ్ పురుషులు తమ ప్రయాణాల్లో మహిళలను కూడా తీసుకెళ్లారని సూచిస్తుంది, ఇది మరింత కుటుంబ-ఆధారిత సంస్కృతిని సూచిస్తుంది. #వైకింగ్ చరిత్ర #DNA అధ్యయనం",tel,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tel/CoI_6d0dc8b3-3d0f-48a3-a45f-5c54ffe97515_tel_edit.json,eng,tel,eng,"[tel,eng]",eng,light,DialyNews,y,n,y,n
faa04dc5-0ddc-4a9b-a4cc-9fac9f0ad595,"The latest attack on Israel by the militant group 'Hamas' was a failure of Israel's surveillance and defense systems, according to retired US Air Force Colonel Cedric Leighton. He described it as a 'classic failure of technology' given Israel's defense strength. Leighton noted that Israel uses various surveillance techniques in Gaza, including cameras, monitoring communications, and drones.",ఇజ్రాయెల్‌పై తీవ్రవాద సమూహం 'హమాస్' దాడి ఇజ్రాయెల్ రక్షణ వ్యవస్థల వైఫల్యమని రిటైర్డ్ US జనరల్ సెడ్రిక్ లైటన్ CNNకి తెలిపారు. ఇజ్రాయెల్ గాజాలో ఉపయోగించే నిఘా పద్ధతులను ఆయన ప్రముఖంగా ప్రస్తావించారు.,Breaking: 'Hamas' attack exposes Israel's surveillance failure! 'Classic failure of technology' says Retd. US General Cedric Leighton. #Israel #Hamas #SurveillanceFailure,'హమాస్' దాడి ఇజ్రాయెల్ నిఘా వైఫల్యాన్ని బహిర్గతం చేసింది! 'సాంకేతికత యొక్క క్లాసిక్ వైఫల్యం' అని రిటైర్డ్ US జనరల్ సెడ్రిక్ లైటన్ అన్నారు. #ఇజ్రాయెల్ #హమాస్ #నిఘావైఫల్యం,tel,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tel/CoI_faa04dc5-0ddc-4a9b-a4cc-9fac9f0ad595_tel_edit.json,eng,"[tel,eng]",eng,"[tel,eng]",eng,light,GlobalNews,y,n,y,n
bd1d67a9-3db8-4cbc-8dec-db69f5219c4a,"The frozen body of a 19-year-old man, Andrew Norris, was found in his pick-up truck outside his family home in Willoughby Hills, Ohio. Andrew Norris's stepmother found his body in the front seat of the snow-covered vehicle. The Cuyahoga County medical examiner's office is working to determine the cause of death.",ఆండ్రూ నోరిస్ అనే 19 ఏళ్ల యువకుడి మృతదేహం అతని ఓహియో కుటుంబ ఇంటి వెలుపల పికప్ ట్రక్కులో లభించింది. ఆండ్రూ నోరిస్ సవతి తల్లి అతని మృతదేహాన్ని మంచుతో కప్పబడిన వాహనం ముందు సీట్లో కనుగొంది. కుయహోగా కౌంటీ మెడికల్ ఎగ్జామినర్ కార్యాలయం మరణానికి కారణాన్ని నిర్థారించడానికి పని చేస్తోంది.,Breaking: 19-year-old's frozen body found in pick-up truck in Ohio #Ohio #ColdWeather,'ఓహియోలో పికప్ ట్రక్కులో 19 ఏళ్ల యువకుడి మృతదేహం లభించింది' #ఓహియో #చలిచలిగాలు,tel,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tel/CoI_bd1d67a9-3db8-4cbc-8dec-db69f5219c4a_tel_edit.json,eng,tel,eng,tel,eng,light,DialyNews,y,n,y,n
118c85d3-6a17-47d4-9f7a-c5b9ee9442ba,"Families have been spending more of their income on leisure to escape the recession's pressures, according to the Office for National Statistics' report. They spent more on package holidays, TVs, gadgets, and sports tickets, and less on food and soft drinks.","ఆర్థిక మాంద్యం ఒత్తిడి నుండి బయటపడటానికి కుటుంబాలు తమ ఆదాయంలో ఎక్కువ భాగాన్ని విహారాల కోసం వెచ్చిస్తున్నారని నివేదిక పేర్కొంది. ప్యాకేజీ సెలవులు, టీవీలు, గాడ్జెట్లు, క్రీడల టిక్కెట్ల కోసం ఎక్కువ ఖర్చు చేస్తున్నారు",Families splurge on 'escapism' to cope with recession stress! 'Recreation and culture' spending up to £63.90/week. #recession #familyspending,మాంద్యం ఒత్తిడిని ఎదుర్కోవడానికి కుటుంబాలు 'విహారాల' కోసం ఖర్చు పెంచారు! 'వినోదం మరియు సంస్కృతి' ఖర్చు £63.90/వారానికి పెరిగింది. #మాంద్యం #కుటుంబ_వెచ్చ,tel,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tel/CoI_118c85d3-6a17-47d4-9f7a-c5b9ee9442ba_tel_edit.json,eng,tel,eng,"[tel,eng]",eng,light,DialyNews,y,n,y,n
765ec10d-1e0f-418e-a62e-0e9d38bcdaa7,"By Daily Mail Reporter. PUBLISHED: 07:31 EST, 10 November 2012 | UPDATED: 11:49 EST, 10 November 2012. Multiple inquiries have been launched into claims that an out-of-hours doctor was too intoxicated to operate the oxygen supply of a frail and elderly woman, Dorothy Seecoomar, 81, who died 24 hours after being admitted to hospital on August 17, 2012. The doctor was employed by Harmoni, the largest private provider of urgent care services in England. Following complaints by the hospital medic and Dorothy's daughter Agnes, Harmoni investigated the doctor, and he left the company last week. Agnes Seecoomar stated that her mother suffered unnecessary distress and pain. NHS South West London has launched an inquiry, and the General Medical Council and the Care Quality Commission are also examining the case.","డైలీ మెయిల్ రిపోర్టర్ ద్వారా. ప్రచురించబడింది: 07:31 EST, 10 నవంబర్ 2012 | నవీకరించబడింది: 11:49 EST, 10 నవంబర్ 2012. ఒక వృద్ధ మహిళకు ఆక్సిజన్ సరఫరా చేయడంలో అసమర్థుడైన డాక్టర్ మీద ఆరోపణలు వచ్చిన తర్వాత బహుళ విచారణలు ప్రారంభించబడ్డాయి. 81 ఏళ్ల డోరతీ సీకూమార్ ఆగస్టు 17, 2012న ఆస్పత్రిలో చేరిన 24 గంటల్లో మరణించారు. ఈ డాక్టర్ ఇంగ్లండ్‌లో అత్యంత పెద్ద ప్రైవేటు అత్యవసర సంరక్షణ సేవల సంస్థ అయిన హర్మోని ద్వారా పంపబడ్డారు. ఫిర్యాదుల తర్వాత, హర్మోని డాక్టర్‌ను విచారించి, అతను గత వారం కంపెనీని విడిచిపెట్టారు. ఆగ్నెస్ సీకూమార్ తన తల్లి అనవసరమైన బాధ మరియు నొప్పిని అనుభవించిందని పేర్కొంది. NHS సౌత్ వెస్ట్ లండన్ విచారణను ప్రారంభించింది మరియు జనరల్ మెడికల్ కౌన్సిల్ మరియు కేర్ క్వాలిటీ కమిషన్ కూడా ఈ కేసును పరిశీలిస్తున్నాయి.","Breaking: Investigation launched into claims that an out-of-hours doctor was 'too drunk' to treat an elderly patient, who died shortly after. #NHS #Healthcare",'అత్యవసర సమయంలో డాక్టర్ మత్తులో ఉన్నారని' ఫిర్యాదులు వచ్చిన తర్వాత విచారణ ప్రారంభించారు. కొద్దిసేపటి తర్వాత రోగి మరణించారు. #NHS #Healthcare',tel,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tel/CoI_765ec10d-1e0f-418e-a62e-0e9d38bcdaa7_tel_edit.json,eng,"[tel,eng]",eng,"[tel,eng]",eng,light,DialyNews,y,n,y,n
6c7f3a0e-cbab-4e35-8059-46a854098be6,"An 11-year-old boy named Zac Eccleston was removed from class and put into isolation at Camborne Science and International Academy in Cornwall for having a VW logo shaved into the back of his head. His mother, Charlotte, considered the decision 'ridiculous' and kept him out of school for a week. Zac had gotten the £15 haircut during the Christmas holidays due to his fondness for the Volkswagen brand. Upon returning to school, he was isolated for not adhering to the school's uniform policy. Charlotte met with school staff, and Zac was allowed to resume normal classes once his haircut had grown out sufficiently.","కార్న్‌వాల్‌లోని కాంబోర్న్ సైన్స్ అండ్ ఇంటర్నేషనల్ అకాడమీలో 11 ఏళ్ల బాలుడు జాక్ ఎక్లెస్టన్‌ను తరగతి నుండి తీసివేసి, అతని తల వెనుక భాగంలో VW లోగోను గుండు చేయించుకున్నందుకు నిర్బంధంలో ఉంచారు. అతని తల్లి, షార్లెట్, ఈ నిర్ణయాన్ని 'హాస్యాస్పదం'గా భావించి, అతనిని ఒక వారం పాటు పాఠశాలకు పంపలేదు. జాక్ క్రిస్మస్ సెలవులలో £15తో జుట్టు కత్తిరింపు చేయించుకున్నాడు, ఎందుకంటే అతనికి వోక్స్‌వాగన్ బ్రాండ్ ఇష్టం. పాఠశాలకు తిరిగి వచ్చినప్పుడు, యూనిఫాం విధానాన్ని పాటించనందుకు నిర్బంధంలో ఉంచారు. షార్లెట్ పాఠశాల సిబ్బందిని కలిశారు మరియు జాక్ జుట్టు కత్తిరింపు పెరిగిన తర్వాత సాధారణ తరగతులకు హాజరయ్యాడు.",11-year-old Zac Eccleston was put in isolation for a VW logo haircut! His mom called it 'ridiculous'. #SchoolLife #HaircutHysteria #Volkswagen,11 ఏళ్ల జాక్ ఎక్లెస్టన్‌ను VW లోగో జుట్టు కత్తిరింపు కోసం నిర్బంధించారు! అతని తల్లి దీనిని 'హాస్యాస్పదం' అని పిలిచారు. #పాఠశాలజీవితం #జుట్టుకత్తిరింపుహిస్టీరియా #వోక్స్‌వాగన్,tel,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tel/CoI_6c7f3a0e-cbab-4e35-8059-46a854098be6_tel_polish.json,eng,tel,eng,"[tel,eng]",eng,moderate,DialyNews,y,n,y,n
f73a5f80-ae6a-4337-a4fa-f736a899b415,"Stuart Kerner, a 44-year-old 'religious studies teacher', was convicted of 'sexual activity with a child' while in a 'position of trust'. He had sex with a 16-year-old pupil at 'Bexleyheath Academy' and at his home. Judge Joanna Greenberg QC gave Kerner an 18-month suspended sentence. Kerner's solicitor confirmed an appeal against the conviction has been lodged.",స్టువర్ట్ కెర్నర్ అనే ఉపాధ్యాయుడు తన విద్యార్థినితో లైంగిక సంబంధాలు పెట్టుకున్నందుకు దోషిగా నిర్ధారించబడ్డాడు. జడ్జి జోన్నా గ్రీన్‌బెర్గ్ వివాదాస్పద వ్యాఖ్యలకు విమర్శలను ఎదుర్కొన్నారు. కెర్నర్ దోషం నిర్ధారణపై అప్పీల్ చేస్తున్నారు.,Outrage over teacher Stuart Kerner's suspended sentence for having sex with a pupil. Judge Joanna Greenberg QC's comments that the victim 'groomed' him are under investigation. #StuartKerner #Justice,విద్యార్థినితో లైంగిక సంబంధాలు పెట్టుకున్న ఉపాధ్యాయుడు స్టువర్ట్ కెర్నర్‌కు సస్పెండెడ్ శిక్ష విధించడంపై విస్తృత ఆగ్రహం. బాధితురాలు కెర్నర్‌ను 'గ్రూమ్ చేసింద'ని జడ్జి జోన్నా గ్రీన్‌బెర్గ్ వ్యాఖ్యలపై విచారణ జరుగుతోంది. #స్టువర్ట్‌కెర్నర్ #న్యాయం,tel,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tel/CoI_f73a5f80-ae6a-4337-a4fa-f736a899b415_tel_polish.json,eng,tel,eng,"[tel,eng]",eng,moderate,DialyNews,y,n,y,n
0a3b72e7-3f89-4731-a696-61e9b0ec719f,"Justice Secretary Chris Grayling states that the taxpayer should no longer fund the current legal aid system. A London-based firm, Duncan Lewis, received £14.63million in civil legal aid in 2011/12. The government plans to cut £220million from the criminal legal aid budget.",న్యాయ సహాయక వ్యవస్థపై ప్రభుత్వ వ్యయం తగ్గించాలని క్రిస్ గ్రేలింగ్ పేర్కొన్నారు. ఈ కోతలు చట్టబద్ధమైన న్యాయ సహాయక సేవలను ప్రభావితం చేయవని ప్రభుత్వం పేర్కొంది.,Discover the truth about UK's legal aid system! '£14.63million paid to one law firm in a year!' Find out why the gov't is cutting funding. #LegalAidReform #UKJustice,'యూకే న్యాయ సహాయక వ్యవస్థ గురించి నిజం తెలుసుకోండి! 'ఒక సంవత్సరంలో ఒక న్యాయ సంస్థకు £14.63మిలియన్లు చెల్లించారు!' ప్రభుత్వం నిధులు ఎందుకు తగ్గిస్తోంది. #LegalAidReform #UKJustice,tel,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tel/CoI_0a3b72e7-3f89-4731-a696-61e9b0ec719f_tel_polish.json,eng,tel,eng,"[tel,eng]",eng,moderate,DialyNews,y,n,y,n
33abbcb7-4b82-4181-8417-db215437df01,"By Nasser Hussain. Sledging isn't exactly new, and it amazes me that some people have taken exception to Jimmy Anderson saying a few words. Where were they when Shane Warne, Glenn McGrath, Matthew Hayden, and Justin Langer played? We don't want our players to be 'robots'. We expect a lot from them, and we want to see that playing for England matters. International cricket is serious, and I'd rather see players displaying emotion than being subdued. I want to see Anderson taking wickets and surpassing Sir Ian Botham's record as England's leading wicket-taker. It could be that his on-field behavior is what makes him such a fantastic bowler.","నాసిర్ హుస్సేన్ ద్వారా. స్లెడ్జింగ్ కొత్తది కాదు, జిమ్మీ అండర్సన్ కొన్ని మాటలు చెప్పడాన్ని కొందరు వ్యతిరేకించడం ఆశ్చర్యం. షేన్ వార్న్, గ్లెన్ మెక్‌గ్రాత్, మాథ్యూ హేడెన్, జస్టిన్ లాంగర్ ఆడినప్పుడు వారు ఎక్కడ ఉన్నారు? మాకు ఆటగాళ్లు 'రోబోట్‌లు' కాదు. వారి నుండి చాలా ఆశిస్తాము, ఇంగ్లండ్‌కు ఆడటం విషయంలో వారు శ్రద్ధ వహిస్తారని చూడాలనుకుంటున్నాము. అంతర్జాతీయ క్రికెట్ సీరియస్, ఆటగాళ్లు భావోద్వేగాన్ని చూపడం నాకిష్టం. అండర్సన్ వికెట్లు తీసుకోవడం, సర్ ఇయాన్ బోథమ్ రికార్డును అధిగమించడం నేను చూడాలనుకుంటున్నాను. అతని ఆన్-ఫీల్డ్ ప్రవర్తన అతన్ని అద్భుతమైన బౌలర్‌గా చేస్తుంది.","Cricket's old debate: Is sledging part of the game? 'We don't want our players to be robots,' says Nasser Hussain, defending Jimmy Anderson's on-field behavior. #Cricket #Sledging #JimmyAnderson",క్రికెట్‌లో పాత చర్చ: స్లెడ్జింగ్ ఆటలో భాగమా? 'మాకు ఆటగాళ్లు రోబోట్‌లు కాదు' అని నాసిర్ హుస్సేన్ జిమ్మీ అండర్సన్ ఆన్-ఫీల్డ్ ప్రవర్తనను సమర్థిస్తూ అన్నారు. #క్రికెట్ #స్లెడ్జింగ్ #జిమ్మీఅండర్సన్,tel,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tel/CoI_33abbcb7-4b82-4181-8417-db215437df01_tel_edit.json,eng,"[tel,eng]",eng,tel,eng,light,DialyNews,y,n,y,n
43a2d331-3c4f-4286-b740-c9e96409f272,"If you've received an email asking you to change your Twitter password, don't worry, you haven't been hacked; it's due to a 'system error'. Millions of Twitter users were locked out on Monday night after the site unintentionally reset their passwords. A Twitter spokesman clarified that the emails were sent 'unintentionally' due to a 'system error'.","మీ ట్విట్టర్ పాస్‌వర్డ్‌ను మార్చమని అడిగే ఇమెయిల్ వస్తే, చింతించకండి; మీరు హ్యాక్ చేయబడలేదు, ఇది 'సిస్టమ్ ఎర్రర్'. సోమవారం రాత్రి లక్షలాది మంది వినియోగదారులు లాక్ అవుట్ అయ్యారు. ట్విట్టర్ ప్రతినిధి 'సిస్టమ్ ఎర్రర్' కారణంగా ఇమెయిల్‌లు పంపబడ్డాయని చెప్పారు.",Don't panic! Twitter's 'system error' caused password reset emails. #Twitter #SystemError,'భయపడకండి! ట్విట్టర్ 'సిస్టమ్ ఎర్రర్' వల్ల పాస్‌వర్డ్ రీసెట్ ఇమెయిల్స్ వచ్చాయి. #ట్విట్టర్ #సిస్టమ్ ఎర్రర్',tel,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/tel/CoI_43a2d331-3c4f-4286-b740-c9e96409f272_tel_edit.json,eng,tel,eng,"[tel,eng]",eng,light,DialyNews,y,n,y,n
