uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
701179f1-026b-4a21-8597-30ad01b2313f,"Грчкиот премиер Алексис Ципрас со тешка борба го преживеа гласањето на доверба во парламентот со три гласови повеќе (151 спрема 148), но ценаа бе велика. Многу депутати от опозицијата го поддржале на Ципраса, што покажува колку е делот важен овај договор за Гречка, така што ниту сам Ципрас не се ожидуваше да го покрине неговото оставство. Ципрас повика на гласање на доверба после што Министерствот за одбрана Панос Каменос, под несигурни обстоятельства, поднесе оставка и ја повлече неговата националистичка партија АНЕЛ од коалицијата во владата. Овој ход шокира многу наблюдатели. Каменос се повлече во знак на протест против договорот со Северна Македонија, кој, подприкртен од западните сили, решава триесетгодишниот спор за името, без да се обрнува на корист на Гречка. Тоа што е, според негови заяви, 'издавство на националниот интерес'. Ако грчкиот парламент ратификува договорот, официјалното име на државата ќе биде 'Република Северна Македонија', што многу грчани сметуват за смучено и неадекватно. Каменос побара за решение на референдум за оваа ситена, што е единствениот демократичен начин за решаванjeе такава важна национална ситуација, но Ципрас го отбрире, показувајќи како е далечин од народните почутија.","Greek Prime Minister Alexis Tsipras narrowly won the confidence vote in parliament by a margin of just three votes (151-148), but at a steep price. Even many opposition MPs supported Tsipras, highlighting the significance of this treaty for Greece—a fact that even caught Tsipras off guard regarding his resignation. Tsipras called for the confidence vote after Minister of Defense Panos Kammenos, in a surprising move, resigned and withdrew his nationalist party ANEL from the governing coalition, shocking many observers. Kammenos resigned to protest the agreement with North Macedonia, which, influenced by Western powers, settles the three-decade-old name dispute without favoring Greece. He called it 'a betrayal of national interests'. Should the Greek parliament ratify the treaty, the official name of the country will be the Republic of North Macedonia, a decision many Greeks find unsatisfactory and confusing. Kammenos insisted on a referendum for this issue, the only democratic approach to decide such a crucial national matter, but Tsipras rejected the proposal, demonstrating his disconnect with public sentiment.","'текст': ""🚨 Веќе новина! Грчкиот ПМ Ципрас едва се држи! 🥊\n\nВо шокирајќи ход, Министрет за Одбрана Каменос остави функцијата збогуваджки се на договорот со Северна Македонија, називаджки го 'издавство'. 😱 Но Ципрас продолжува, игнорирајќи побараните за референдум. Дали е таа демократия? #Грција #СевернаМакедонија #ПолитичкиХаос"", 'хаштагови': ['#Грција', '#СевернаМакедонија', '#ПолитичкиХаос', '#РеферендумСега'","""🚨 Breaking News! Greek PM Tsipras barely hangs on! 🥊\n\nIn a shocking move, Defense Minister Kammenos resigned over the North Macedonia deal, calling it a 'betrayal'. 😱 But Tsipras pushed through, ignoring calls for a referendum. Is this democracy? #Greece #NorthMacedonia #PoliticalChaos"", 'hashtags': ['#Greece', '#NorthMacedonia', '#PoliticalChaos', '#ReferendumNow'",mkd,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[33, 21]",/x_eng_f/CohereForAI_aya-expanse-32b/mkd/CoI_701179f1-026b-4a21-8597-30ad01b2313f_mkd_medium_3321.json,"[mkd,bul,srp]",eng,mkd,eng,mkd,medium,MassiveSum,y,n,y,n
ea615cc5-223d-45a4-9ecc-607d42b8d75a,"На 17.07.2018, во 12:15, на улица „Ангел Винички“ во Виница, полициските службеници забележи Г.А. (63) кој управлявал „Сузуки Витара“ со штипски ознаки. Кога му побарали документи, Г.А. агресивно стартира возилото и се упати кон службениците, ставатјајќи ги во опашканост. Полицистите брзо реагираат, го запират и го привеле на станицата. За овие опасни действия, против Г.А. ќе биде поднесена кривачна пријава за опир на законската влада и покушување за повреда.","On July 17, 2018, at 12:15 PM, on 'Angel Vinitski' Street in Veles, police officers encountered G.A. (63) driving a Suzuki Vitara with Shtip plates. Upon requesting documentation, G.A. not only refused but also aggressively accelerated and drove towards the officers, endangering them. The police swiftly acted, apprehending G.A. and bringing him to the station. For these reckless actions, G.A. will be charged with resisting arrest and attempted assault.","#Виница #БезопасностНаПутишта #ОпасноВоѓање

🚨 На 17.07.2018 во Виница се случи шокирајќи инцидент! Водачот Г.А. не само што одбие да предаде документи, но и агресивно се упати кон полицистите! Среќно, полицистите брзо реагираа и го запратьа. Садржи се за негови опасни действия! Бидете сигурни на патницата, приятели! 🚓","#VelesPoliceIncident #RoadSafety #DangerousDriving

🚨 On July 17, 2018, a shocking incident unfolded in Veles! A driver, G.A., refused to show documents and even drove aggressively at police officers! Thankfully, the cops acted swiftly and apprehended him. He now faces serious charges for his reckless behavior. Stay safe on the roads, folks! 🚓",mkd,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[13, 35]",/x_eng_f/CohereForAI_aya-expanse-32b/mkd/CoI_ea615cc5-223d-45a4-9ecc-607d42b8d75a_mkd_minor_1335.json,mkd,eng,"[mkd,bul,rus]",eng,mkd,minor,MassiveSum,y,n,y,n
09c83ed7-e688-4425-8bbb-039ed005ec38,"Бизнисменот Минчо Јорданов утрово во кривичниот суд е повикан да сведочи во делото што го презеде специјалното јавно обвинителство под кодно име 'Шпион'. Обвинетите, кои включуваат и високи чиновници од безбедностните органи, се заканиле на Јорданов да објави конфиденцијални податоци за навршена криминална приватизација и откуп на стратегски важни акциje во натоварената фабрика АД 'Бетон'. Планираа да использат тие податоци за шантаж и контроль над политичките и экономските одлуки. Јорданов, како што се изрази, не ги платил парите за податоците, што доведе до решението на обвинетите да го објават во медиумите како 'издатель' на тие информации.","Businessman Mincho Yordanov is scheduled to testify in the criminal court today in the case codenamed 'Spy'. The defendants, who include high-ranking officials from the security agencies, pressured Yordanov to divulge confidential data regarding a criminal privatization deal and the acquisition of strategically crucial shares in the insolvent factory AD 'Beton'. They intended to utilize this information for blackmail and to exert control over political and economic decisions. Yordanov, as stated, refused to pay for the information, prompting the defendants to expose him in the media as the 'whistleblower' of this sensitive data.","#Вести: Бизнисменот Минчо Јорданов е ловен во мрежа на шпионаж и корупција! Високи чиновници го принудуваа да објави тайни информации за сомнителен приватизационен договор. Кога той не ги плати, го објавуваат како издатель! #Шпион #Корупција #Македонија","#BreakingNews: Mincho Yordanov, a local businessman, is caught in a web of espionage & corruption! High-ranking officials pressured him to leak secret info about a shady privatization deal. When he refused to pay, they exposed him as the whistleblower! #SpyCase #Corruption #Macedonia",mkd,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[7, 20]",/x_eng_f/CohereForAI_aya-expanse-32b/mkd/CoI_09c83ed7-e688-4425-8bbb-039ed005ec38_mkd_medium_720.json,"[mkd,rus]",eng,"[mkd,bul,rus]",eng,mkd,medium,MassiveSum,y,n,y,n
6c05ae4b-5ea6-4042-9d73-92ebd4ce17d9,"По завршувањето на сезоната, Манчестер Јонаитед решава да не продължи соработката со Златан Ибрахимович, кој е изгнан од клубот навистина за неговата тешка повреда на коленото. Това драматско решение, кој започнува спори, доајдува на крак по сезонот кога Ибрахимович, со 30 голови, мрежа най-вероятно не ќе биде ограничен со повредата си. 

Джозе Муриньо, менеджерот на Јонаитед, изразува подршка за оваа одлука, но не ја коментира повеќе. Ибрахимович, кој дојде бесплатно во клубот, се среќен со излезот и гордо заявува: 'Оние што го плачат, го и управляваат'.","After the season's end, Manchester United opts not to renew its partnership with Zlatan Ibrahimovic, who is released due to his severe knee injury. This dramatic move, igniting debates, follows a season where Ibrahimovic, with 30 goals, is likely injury-constrained.

Jose Mourinho, United's manager, supports this decision without elaborating. Ibrahimovic, signed on a free transfer, welcomes his exit, asserting proudly: 'Those who pay, call the shots.'","#МанчестерЮнайтед #ЗлатанИзлегува: Јонаитед го слободи повреденог Златана! 💥 Драматичното решение започнува спори, Ибрахимович излезува со гордост: 'Плаћаците одлучуваат!' 🤫 Што ќе биде следното за Шведот? 🤔 Ретвитни ако си шокиран од оваа драматска промена!","#ManUtd #ZlatanOut: United releases injured Zlatan! 💥 Sparking debates, Ibrahimovic exits with a bang, saying 'Payers decide!' 🤫 What's next for the Swede? 🤔 Retweet if you're shocked by this dramatic turn!",mkd,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[26, 35]",/x_eng_f/CohereForAI_aya-expanse-32b/mkd/CoI_6c05ae4b-5ea6-4042-9d73-92ebd4ce17d9_mkd_critical_2635.json,"[mkd,bul]",eng,"[mkd,srp]",eng,mkd,critical,MassiveSum,n,y,y,n
66000a58-8932-4251-b32b-31f8803f4faf,"Франција потврдува сврзата си со Македонија, поддржујќи ја безпрестанно во интеграцијата во Европската унија, особено во земјоделската секција. Вице-премьерот Ивица Боцевски и министрот за земјоделство Ацо Спасеноски се среќаа со министарот за земјоделство и рибарство на Франција, Мишел Барние, кој потврди сврзата си со Македонија и објави сврзата си со македонските напори. Барние, известен пријател на Македонија, рече: “Франција ќе биде вашата прва и найверна поддршка во интеграцијата во ЕС и ќе вам помош за безграничен извоз на вашиот земјоделски производ.”

Боцевски вырази радост за оваа поддршка, подчертаваджји значајот на французката позиција за македонската европска перспектива. Спасеноски, на својоа ред, побара поддршка за интеграцијата на македонското земјоделство во европската структура, особено за акредитацијата за платежната агенција и рурален развој. Тој подчерта значајот на ова за максимизацијата на ИПА фондите и додаде: “Разговаравме за извоз на нашите производи во Франција, особено за овчото и козјото сирење, које се конкурентни, но што заслужуваат повеќе представство на тези пазари.”

Спасеноски подари на Барние примери од македонските вина, показујќи качеството. Барние, кандидат за еврокомисар, заврши со обет за продовтна поддршка и соработка.","France reaffirms its bond with Macedonia, steadfastly backing its integration into the European Union, particularly in agriculture. Deputy PM Ivica Bocevski and Agriculture Minister Aco Spasenoski met with French Agriculture and Fisheries Minister Michel Barnier, who confirmed his support for Macedonia's efforts. Barnier, a well-known ally, declared: “France will be your primary and most trustworthy supporter in the EU integration process and will aid in the unrestricted export of your agricultural goods.”

Bocevski voiced delight at this backing, highlighting France's pivotal role. Spasenoski, subsequently, sought assistance for integrating Macedonian agriculture into Europe, especially regarding accreditation to the payment agency and rural development. He emphasized the importance of this for optimizing IPA funds and added: “We talked about exporting our products to France, specifically sheep and goat cheese, which are competitive yet deserve greater representation in these markets.”

Spasenoski presented Barnier with samples of Macedonian wines, demonstrating their excellence. Barnier, a contender for the European Commissioner, ended with a pledge of ongoing support and collaboration.","#Македонија #ИнтеграцијаВоЕУ #ПоддршкаОдФранција

🌟 Големи вести за македонските земеджии! 🌟

Франција прави голем шаг напред за нашата земјоделска секција! 🇫🇷 Вице-премьерот Боцевски и министрот Спасеноски се срешаа со министарот Барние, кој објави безгранична поддршка за нашата европска интеграција И извоз на нашите производи! 🍷🧀

Ова е огромен успех! Напред, Македонија!","#Macedonia #EUIntegration #FranceSupport

🌟 Great news for Macedonia's farmers! 🌟

France just gave a HUGE boost to our agricultural sector! 🇫🇷 Deputy PM Bocevski and Minister Spasenoski met with French Minister Barnier, who promised full support for our EU integration AND unlimited export of our delicious cheeses and wines! 🍷🧀

This is a massive step towards better trade opportunities! Let's keep moving forward!",mkd,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[33, 1]",/x_eng_f/CohereForAI_aya-expanse-32b/mkd/CoI_66000a58-8932-4251-b32b-31f8803f4faf_mkd_critical_331.json,"[mkd,fra,rus]",eng,"[mkd,fra]",eng,mkd,critical,MassiveSum,n,y,y,n
27a91f1a-f571-4803-ae1c-ec985aaf119e,"Советничката на ВМРО-ДПМНЕ во Град Скопје, Светлана Колариќ, на драматска прес-конференција обвинува градоначалника Петре Шилегова за учествуване во масивна финансова афера со субвенциите за инвертер клими. Таа го описува овој случај како 'скандал на векот' и го обвинува Шилегова за прекување на законите и злоупотреба на својата позиция. Колариќ открива дека има основани сумневания дека сотине граѓани, кои живеат во централната част на града, ги добиваа субвенции без да имат право, доколку имаа парно греење или се греели на струја досегаш. По нејзината говор, ова е резултат на селективен и партиски мотивиран процес, кој е дел од поголемата схема за разпоредување на публични пари. 

'Има повеќе од 5000 субвенции за инвертер клими, кои се делени без да се протистават критериумите. Ова е голема измама на граѓаните и на законот', го подчерта Колариќ. Таа додава дека документата за овој процес е нецелосна и пълна од пропуски и аномалии, што показува загрнати корупција. 

ВМРО-ДПМНЕ ја направи повик на компетентните органи, включно со Агенцијата за заштита на лични податоци и инспекторатот на државен архив, да вмешат и да истражат можебни нарушувања, за да се установи целина на овој скандал и да се даде правосудие на граѓаните.","The VMRO-DPMNE councilor in Skopje, Svetlana Kolakari, at a dramatic press conference, accuses Mayor Petre Shilegov of participating in a massive financial scam involving climate inverter subsidies. She describes this case as the 'scandal of the century' and accuses Shilegov of breaching laws and abusing his position. Kolakari reveals that she has well-founded suspicions that hundreds of citizens living in the central areas of the city received subsidies they were not entitled to, especially those already benefiting from district heating or electric heating. According to her, this is the result of a selective and politically motivated process, part of a larger scheme to misappropriate public funds. 

'Over 5000 climate inverter subsidies have been distributed without meeting the criteria. This is a huge scam on citizens and the law,' Kolakari emphasized. She adds that the documentation for this process is incomplete, riddled with omissions and anomalies, indicating blatant corruption. 

VMRO-DPMNE urges the relevant authorities, including the Personal Data Protection Agency and the State Archive Inspectorate, to intervene and investigate potential violations, aiming to uncover the full scope of this scandal and deliver justice to the citizens.","#СкопјеСкандал: Повеќе од 5000 субвенции за климатот во питање! ВМРО-ДПМНЕ ја открива голема финансова афера, обвинувајќи градоначалника Шилегова за злоупотреба и селективно разпоредување. Сотине граѓани во централниот дел на Скопје добиваа субвенции несправедливо. Е ли ваша квартал следна? Добиват правосудие! #Корупција #Скопје #КлиматСкандал","#SkopjeScandal: Over 5K Climate Subsidies in Question! VMRO-DPMNE exposes a massive financial scam, accusing Mayor Shilegov of abuse and selective distribution. Hundreds of citizens in central Skopje received subsidies unfairly. Is your neighborhood next? Demand justice! #Corruption #Skopje #ClimateScam",mkd,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[22, 4]",/x_eng_f/CohereForAI_aya-expanse-32b/mkd/CoI_27a91f1a-f571-4803-ae1c-ec985aaf119e_mkd_critical_224.json,"[mkd,bul]",eng,"[mkd,srp]",eng,mkd,critical,MassiveSum,n,y,y,n
179eacbd-7aba-44fd-b38b-3d05322cb434,"Новиот натпревар на Sport Life, под назва „Двојна шанса за Peugeot 3008“, ги нуди на участниците не само една, туку и друга главна премија! Кои ќе бидат щастливците кои ќе ги возат тези два модерни SUV возила од марката Пежо, ќе се разкрие на крајот на овој занимлив натпревар, кој започнува на 26 март и ќе продължи до 29 мај. 

Сега, играчите имаат двојна шанса да освојат головната награда! Един Пежо 3008 ќе биде на вашата собственост ако имате најголемот вкупен коефициент на тикет со натпревари од посебната акциска понуда на Sport Life. А другото возило ќе го освои играчот кој ќе има најголем погоден коефициент, но со еден промашен пар на тикетот.

Запишете се во СЛ клубот и започнете да типувате! Минималната сума за уплата на тикет е 20 денари, а максималната – значајни 10.000.000 денари. Важат само тикетите со една комбинација (несистемски тикети).

По допир, со секој тикет од овај натпревар, не само што се наближавате кон головната премија, туку и добивате поени за Типстер купот и права за участие во други изключителни програми на СЛ клубот, како Втора кеш шанса, Поени за СЛ Маркет и Поени за лојалност. 

За повеќе детали и да го следите успехот на вашите типувања, посетете овој ЛИНК и вебсајтот на Sport Life, каде ќе биде доступен и редон поглед на најуспешните натпреварувачи.","The new Sport Life contest, titled “Double Chance for Peugeot 3008”, offers participants a double shot at winning not just one but two grand prizes! The lucky winners who will drive away in these two modern SUV vehicles from the Peugeot brand will be announced at the conclusion of this thrilling contest, running from March 26th to May 29th. 

Players now have a dual opportunity to claim the main prize! One Peugeot 3008 will be awarded to the player with the highest overall coefficient on tickets featuring successful bets from Sport Life's special promotional offer. And the second vehicle will go to the player who also boasts the highest coefficient but with one incorrect prediction on their ticket.

Enroll in the SL club and start placing your bets! The minimum bet amount stands at 20 denars, while the maximum is a substantial 10,000,000 denars. Only tickets with a single combination (non-system tickets) are valid.

Additionally, each ticket from this contest not only brings you closer to the grand prize but also earns you points for the Tipster Cup and entitles you to participate in other exclusive SL club programs, including Second Cash Chance, SL Market Points, and Loyalty Points.

Stay updated on your betting performance by visiting this LINK and the Sport Life website, which will feature a regularly updated ranking list of the top contestants.","**🚀 Двојна шанса со Sport Life и Пежо 3008! 🚀** 

Кой ќе биде щастливецот кој ќе ги вози двете Пежо 3008 SUV возила? 🤩 Сега, со натпреварот на Sport Life, имаш двојна шанса да го освојиш головната премија! 🎉

👉 Од 26 март до 29 мај, запиши се во СЛ клубот, типувай и биди најдобриот! 

💰 Минимална уплата: 20 денари
💰 Максимална виграша: Невероятни 10.000.000 денари!

И не забрави, секој тикет те наближава кон головната премија и добива поени за изключителни привилегии во СЛ клубот! #SportLife #Пежо3008 #ДвојнаШанса #ВиграјГолемо","**🚀 Double Your Luck with Sport Life's Peugeot 3008 Giveaway! 🚀** 

Who's ready to drive off in not one, but TWO shiny new Peugeot 3008 SUVs?! 🤩 Sport Life's latest contest gives you a double shot at winning! 🎉

👉 From March 26th to May 29th, join the SL club, place your bets, and aim for the highest coefficients!

💰 Minimum bet: 20 denars
💰 Maximum win: A whopping 10,000,000 denars!

And remember, every ticket gets you closer to the grand prize AND earns you points for exclusive SL club perks! #SportLife #Peugeot3008 #DoubleChance #WinBig",mkd,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[14, 7]",/x_eng_f/CohereForAI_aya-expanse-32b/mkd/CoI_179eacbd-7aba-44fd-b38b-3d05322cb434_mkd_medium_147.json,"[mkd,bul]",eng,"[mkd,bul]",eng,mkd,medium,MassiveSum,y,n,y,n
cff87731-5322-4abc-931c-f40896595320,"През минатата година, 21 държава ја примени смертната казна на 682 души, което е значајно по-малку от предишните десетилетия, споменава организацията за правата на човека 'Амнести интернешнъл' в своя най-нов доклад. Ирака е лидира с 129 казни, настъпение от 68 в 2011. Китай, който е лидирува в тази категория, изпълни смертната казна на хиляди, но недостатъкът на официальни данни прави невъзможно потвърждението на точния брой. 'Амнести' призова китайската влада да открие броя на жертвите. Иран, с 314 казни, е на второто място, с голям брой съдбени за преступления свързани с наркотики. Организацията указа на засъдите, които нарушават стандартите на справедливо съдилище в Иран, Ирака и други държави. Саудитската Арабия и САД, с 79 и 43 казни соответственно, са между останалите държави, които практират тази форма на наказание. 'Амнести интернешнъл' е решителен противник на смертната казна и работи за нея глобално отменяване.","В прошедшата година, 21 държава примени смертната казна на 682 души, което е значајно по-малку от предишните десетилетия, споменава организацията за правата на човека 'Амнести интернешнъл' в своя най-нов доклад. Ирака е лидира с 129 казни, настъпение от 68 в 2011. Китай, който е лидирува в тази категория, изпълни смертната казна на хиляди, но недостатъкът на официальни данни прави невъзможно потвърждението на точния брой. 'Амнести' призова китайската влада да открие броя на жертвите. Иран, с 314 казни, е на второто място, с голям брой съдбени за преступления свързани с наркотики. Организацията указа на засъдите, които нарушават стандартите на справедливо съдилище в Иран, Ирака и други държави. Саудитската Арабия и САД, с 79 и 43 казни соответственно, са между останалите държави, които практират тази форма на наказание. 'Амнести интернешнъл' е решителен противник на смертната казна и работи за нея глобално отменяване.","#СмертнаКазна #ЧовековиПрава #АмнестиИнтернешнал

През минатата година, 21 земја все ова ја практикуваше смертната казна, со Ирак како лидер. Но има и светлина - тоа е значајно пониколку од предишните години! Кина, врз други други, се отварува за бројот на жертвите. Ние треба да добиеме прозорливост! Иран, Саудиска Арабија и дакога и САД треба да продолжат борбата за #ГлобалноУкинување на оваа старомодна практика.","#DeathPenalty #HumanRights #AmnestyInternational

Last year, 21 countries still practiced the death penalty, with Iraq leading the way. But there's a glimmer of hope - it's a significant decrease from previous years! China, however, remains tight-lipped about their numbers. We need transparency! Iran, Saudi Arabia, and even the USA still have a long way to go in abolishing this outdated practice. Let's keep fighting for #GlobalAbolition!",mkd,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[31, 8]",/x_eng_f/CohereForAI_aya-expanse-32b/mkd/CoI_cff87731-5322-4abc-931c-f40896595320_mkd_minor_318.json,"[bul,mkd,rus]","[bul,mkd,rus]","[mkd,rus,eng]",eng,mkd,minor,MassiveSum,y,n,y,n
5108e16c-ee6f-40eb-8191-ea4743b03611,"Горан Попов со решава гол во 94-та минута го реши градското дерби меѓу Вардар и Работнички, кое се одиграа во осмото коло во Првата македонска фудбалска лига. На 'Филип Втори', Вардар ја забележа седмата првенствена победа, а Работнички го запиша петиот пораз, ставајќи се во опасност за остатокот на сезонот. Овие два тима кои во средата играа во Суперкупот, каде Вардар победи на пенали, отккао во регуларниот дел беше 1:1 со головите на Ивановски и Илијоски. Во првенствениот дуел, решавачът во 94-та минута беше Горан Попов, кој најдобро се снајде во шеснаесетникот на Работнички. Последните пет минути, 'црвено-црните' ги одиграа со играч помалку, ставајќи се по-вредни. Лидерот на табелата, Шкендија, продолжуваше својата победна серия со драматичен гол-голет во крајот на играта против Силекс. Металург, навистина, стигна до првата си победа во осмата рунда, благодаря на голот од Даноски. Табела, 8. коло: 1. Шкендија 21, 2. Вардар 19, 3. Силекс 13, 4. Младост ЦД 12, 5. Шкупи 11, 6. Брегалница 9, 7. Работнички 6, 8. Х. Турново 6, 9. Ренова 5, 10. Металург 6.","Goran Popov scored a decisive goal in the 94th minute to win the city derby between Vardar and Rabotnichki, played in the 5th round of the First Macedonian Football League. At 'Philip II', Vardar secured its 7th championship victory, while Rabotnichki suffered its 5th loss, placing them in a precarious position for the remainder of the season. These two teams faced off in the Super Cup earlier this week, where Vardar emerged victorious on penalties following a 1:1 draw with goals from Ivanovski and Iliovski. In the championship match, Popov became the hero in the 94th minute, scoring from Rabotnichki's 16-yard box. The final five minutes saw the 'red-blacks' play with one man down, increasing their vulnerability. League leader Shkëndija extended its winning streak with a thrilling late goal against Sileks. Metalurg, finally, achieved its first win in the 8th round, courtesy of Danoski's goal. Standings, 8th round: 1. Shkëndija 21, 2. Vardar 19, 3. Sileks 13, 4. Mladost CD 12, 5. Shkupi 11, 6. Bregalnica 9, 7. Rabotnichki 6, 8. H. Turnovo 6, 9. Renova 5, 10. Metalurg 6.",🚨 Драма на последната минута во македонската фудбалска лига! Голот на Горан Попов во 94-та минута го реши градското дерби за Вардар против Работнички (1-0). Работнички се наоѓаат во вредна ситуација! 🤯 Кои го следелие мачот? #МakedонскиФудбал #Вардар #Работнички #ПобедаНаПоследнатаМинута,🚨 Last-minute drama in the Macedonian football league! Goran Popov's 94th-minute goal won the city derby for Vardar against Rabotnichki (1-0). Rabotnichki are now in real trouble! 🤯 Who else caught the match? #MacedonianFootball #Vardar #Rabotnichki #LastMinuteWinner,mkd,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[20, 5]",/x_eng_f/CohereForAI_aya-expanse-32b/mkd/CoI_5108e16c-ee6f-40eb-8191-ea4743b03611_mkd_medium_205.json,"[mkd,bul]",eng,mkd,eng,"[mkd,srp]",medium,MassiveSum,y,n,y,n
39b5e5d7-3834-46b0-997b-f9a1917452eb,"Уште повеќе археологиски откријата во Лаос повеќе отколку што се очекуваше. Американската команда открие древни објекти со уникатен утилитет, што указува на врзива до месечниот культ. Овој культ, секој сигурно, влияал на древната култура на Лаос, правејќи тие објекти значајни. Разискуванјата продожуваат, но резултатите до сега подготвуваат почасна потрица за повеќе изучавање на овој таен аспект.","Even more archaeological discoveries in Laos were uncovered more than anticipated. The American team unearthed ancient artifacts with a distinctive purpose, suggesting connections to the moon cult. This cult undoubtedly shaped the ancient culture of Laos, rendering these artifacts invaluable. Research persists, but the findings thus far strongly advocate for further exploration of this enigmatic facet.","🌕 Невероятно! 🌕 Археологите како сега откриле големи древни објекти во Лаос, поврзани со таен месечен культ! Овој культ имаше голем вплив на древната култура на земјата. Потребно е повеќе изучавање за разкриване на тайните! #Лаос #Археологија #МесеченКульт #ДревнаИсторија",🌕 Unbelievable! 🌕 Archaeologists just made a huge discovery in Laos! They found ancient artifacts linked to a mysterious moon cult! This cult had a massive impact on the country's ancient culture. More research is needed to uncover the secrets! #Laos #Archaeology #MoonCult #AncientHistory,mkd,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[7, 21]",/x_eng_f/CohereForAI_aya-expanse-32b/mkd/CoI_39b5e5d7-3834-46b0-997b-f9a1917452eb_mkd_medium_721.json,mkd,eng,"[mkd,bul,rus]",eng,lao,medium,MassiveSum,y,n,y,n
