uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
3a438152-12b2-40f9-82d8-976dfe3edc46,"In the bustling Cribbs Causeway shopping centre, Brun Herbert bartered his past life, embracing a life steeped in suffering after Jason Earle, Nicolette Barrow's ex-lover, revealed his own ways as superior, leading Hawthorne Barrow to commit a heinous repetition of homicide that's subsequently been incarcerated for over four years.","Brun Herbert, âgé de 46 ans, doit renoncer à un narcissisme dépassé après qu'Elie Greet, l'ex collègue de Nicolette Barbey, ait qualifié ses propres manières de meilleures, ce qui aura conduit à une annonce de meurtre modifiée par répétition, résultant en une longue sceance de 4 ans.","David Barrow's vile act of stabbing Jason Earle, incited by jealousy and amidst a group of startled onlookers, resulted in a life sentence. #Justice #MurderMystery",L'acte sanguinaire de David Barrow incité par la jalousie et devant une foule malveillante a conduit à une lourde peine. #Justice #CrimeScandale,fra,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[2],/eng_x_r/microsoft_Phi-4-multimodal-instruct/fra/CoI_3a438152-12b2-40f9-82d8-976dfe3edc46_fra_rewrite_moderate.json,eng,fra,eng,fra,,moderate,DialyNews,y,n,y,n
ed3b34bf-d0fd-42c0-a99c-71a1402df9f5,Ever wondered what your new lover is thinking when you first see them naked? Tracey Cox reveals the thoughts that race through your partner's mind and your own in a humorous yet informative exploration of first impressions and body confidence. Discover the importance of these moments in relationships.,"Les messages ont été traduits avec succès tout en respectant la fluidité, l'exactitude et la pertinence culturelle. Aucune correction supplémentaire nécessaire.",Ever wondered what your new lover is thinking when you first see them naked? Tracey Cox reveals the thoughts that race through your partner’s mind and your own in a humorous yet informative exploration of first impressions and body confidence. Discover the importance of these moments in relationships.,"Que(se) vous pensez lorsque votre nouveau copain vous entrevoit nu(e) pour la première fois ? Tracey Cox nous dévoile les réflexions qui parcourent son esprit et le(n) votre(n), dans un éclairage amusant et informatif sur les premières impressions et la confiance corporelle. Découvre l'importance de ces moments dans les relations.",fra,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/fra/CoI_ed3b34bf-d0fd-42c0-a99c-71a1402df9f5_fra_polish.json,eng,fra,eng,fra,,moderate,DialyNews,y,n,y,n
3f4a61d2-438d-4b3d-ba7f-8196d4b4bfb7,"A Seattle mom and dad, facing a heart-wrenching discovery, have taken legal action after learning that their 12-year-old adopted son was previously prevented from being alone with other children and has since been convicted of child molestation. They're suing the Washington Department of Social and Health Services for withheld information, asserting the child was not adequately protected during his time in their home.","Un couple de Seattle, après avoir découvert une découverte choquante, a engagé des poursuites judiciaires suite à l'information que leur fils de 12 ans, adopté, avait été précédemment interdit de partager la même pièce avec d'autres enfants et est maintenant incarcéré pour agression sexuelle. Ils accusent l'État américain de Washington de ne pas avoir informé les autorités de questions de sécurité concernant leur garçon.","In Seattle, a father's trust shattered as their adopted 12-year-old was found to have a tainted past and engaged in child molestation. The family now stands firm, launching a lawsuit against the authorities for omissions that cast a shadow over their lives.","À Seattle, un père retrouve sa confiance brisée face au jeune fils adopté de 12 ans, découvert avec une histoire sombre et accusé d'agression sexuelle. La famille demeure inébranlable, réclamant justice contre les autorités pour avoir fait des erreurs qui mettent en péril sa vie.",fra,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[2],/eng_x_r/microsoft_Phi-4-multimodal-instruct/fra/CoI_3f4a61d2-438d-4b3d-ba7f-8196d4b4bfb7_fra_rewrite_moderate.json,eng,fra,eng,fra,,moderate,DialyNews,y,n,y,n
c3cdc3e9-2b6e-4ab8-9a4c-d414958b7c2a,"Severe Typhoon Megi carved out a path of destruction through Asia, resulting in fatalities and numerous individuals trapped in vehicles across Taiwan. At least 23 were unaccounted for following this relentless storm, including 19 passengers confined within a tour bus. Aggressive rescue operations are underway, with service crews striving to locate the missing and support beleaguered tourists in Taiwan's mountainous northeastern region. In a heartening turn, several hundred individuals — including 200 Chinese visitors — were successfully extricated from entombment within the mountainous Suhua Highway by day. Boasting the notoriety of delivering a deluge of destruction comparable to the notorious Typhoon Haiyan in the Philippines, Megi is anticipated to reach China by dawn and is expected to bring even harsher conditions to the region.","Le Typhon Megi a tracé un chemin de destruction à travers l'Asie, provoquant des victimes et déclenchant l'encombrement massif de véhicules sur Taïwan. On ne compte actuellement que 23 des victimes, après cette tornade implacable, cela inclut même 19 passagers piégés à bord d'un bus touristique. La recherche d'urgence est en train d'être menée, les équipes de pompiers unissant leurs forces pour trouver les disparus et pour soutenir les touristes piégés dans les terrasses montagneuses du nord-est de Taïwan. D'ici la journée, plusieurs centaines d'individus — y compris 200 visiteurs chinois — avaient été évacués de leurs positions piégées dans les crêtes montagneuses de la Highway Suhua. Au même titre que la célèbre Tempête Rajoy au Venezuela et au Chili, le Typhon Megi apporte le danger d'un glissement de terrain, menaçant de rendre les conditions encore plus détériorées dans la région chinoise.","Typhoon Megi cuts a deadly path through Asia, triggering dangerous mudslides in Taiwan that kills seven people and traps more than 400 others. Tens are still missing across the entire region. While this situation unfolds, laws are being strictly implemented in Hong Kong, although no reports indicate any expected direct impact from Typhoon Megi. Stay safe, Taiwan!","Le Typhon Megi coupe un chemin mortel à travers l'Asie, déclenchant des glissements de terrain dangereux sur Taiwan qui tue sept personnes et piège plus de 400 autres. Dinnes-dligen, des dizaines de personnes sont toujours indis-appearées dans tout le territoire. Tandis que cela se déroule, des mesures strictes sont mises en œuvre à Hong Kong, bien qu'aucun rapport ne reflète aucun impact potentiel du Typhon Megi. Soyez en sécurité, Taiwan !",fra,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/fra/CoI_c3cdc3e9-2b6e-4ab8-9a4c-d414958b7c2a_fra_polish.json,eng,fra,eng,fra,eng,moderate,DialyNews,y,n,y,n
12c69c25-f56e-4861-80f8-8d007547737c,"'content': 'John Bercow, the Commons Speaker, criticizes Lib Dem Dr Julian Huppert for the persistent groans during his parliamentary debates.",'adjustments': ['No adjustments required. The translation is accurate and culturally appropriate.',Mainstream media criticizes Commons Speaker John Bercow for attributing persistent comments to Dr Julian Huppert. Discover more at [link].,Le Président de la Chambre des Communes John Bercow est critiqué par les médias pour faire le tort d'un Dr Julian Huppert. Apprenez davantage ici [lien].,fra,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/fra/CoI_12c69c25-f56e-4861-80f8-8d007547737c_fra_polish.json,eng,eng,eng,fra,eng,moderate,DialyNews,y,n,y,n
69d2a221-8388-40a9-bd26-817e12051588,"Top-ranked Federer and Federer are set to confront each other in a heart-stopping semifinal at Indian Wells, after the former required intervention by Southern California authorities to keep the match going with his quad strongly affected. With this decisive draw, Federer stepped up his pursuit of a Masters championship, hoping to reach the final, an aspiration he hasn't realized since 2006. Checkered by a valiant effort against Juan Martin del Potro in an epic seven-setters showdown, Federer's relentless pursuit pushed him closer to the grandiose milestone of 250 Masters 1000 level triumphs. Standing proud as the tournament's first-round accolades were crowning's Azarenka catapulted her record to an unprecedented 22 matchstreak, the first woman since Martina Hingis in 1997 to bear such continuous dominance. Sharapova, meanwhile, with her own star rising, exuded unshaken confidence, aiming to snap her previous year's Australian Open defeat by Azarenka, setting the stage for a monumental final. Both tournaments foreshadowed a series of spectacular battles to define the sport's champions.","Les matchs à enjeux d'en haut niveau du Masters 1000 à Indian Wells offrent aux légendes du tennis Roger Federer et Rafael Nadal un affrontement palpitant. Les hits de Federer portent son rêve d'atteindre sa première finale depuis 2006, élargissant ainsi sa collection de 250 réussites de niveau Masters 1000. Azarenka, suivant son parcours sans faute de 22 victoires, égale un exploit réalisé une seule fois depuis le golfeur de Floride Martina Hingis. Azarenka espera sanar son échec précédent sur le redshirted australien Sharapova dans une finale très attendue. Les affaires à Indian Wells sont décidées, offrant aux fans de tennis un spectacle palpitant.","Top-pin passion; Federer vs Nadal in semifinals promises prime-time tennis excitement. Federer and Nadal's historic rivalry plays out as each aims for victory. Federer's quest for a Masters title finale could be history-making since 2006. Azarenka furthers record with 22 victories, setting her sights on a showdown with Sharapova. The Indian Wells Masters is set to entertain fans with unmissable tennis fireworks!","Adversité Sportive Complet et Passion: Federer vs Nadal - Séries Semi-Finales Exigeantes. La rivalité de Federer et Nadal à Las Vegas est en pleine pré-production alors qu'ils se lancent dans un espoir historique de victoire. En quête de sa première finale Masters depuis 2006, Federer's prouesse pourrait encore tout obtenir. Azarenka envergure sa série de victoires sans précédent à 22 (en tête des femmes), espérant surpasser Sharapova. Le Masters de Indian Wells promet d'engendrer des spectateurs sidérés par l'exubérance de la tennis.",fra,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/fra/CoI_69d2a221-8388-40a9-bd26-817e12051588_fra_polish.json,eng,"[fra,spa]",eng,fra,eng,moderate,DialyNews,y,n,y,n
1373af2c-0ef2-4b06-b486-c340e45b1cd4,"Lewis Hamilton faced disqualification from the Australian Grand Prix in Melbourne following a FIA hearing due to misleading evidence. Hamilton, who partnered with McLaren Mercedes, and Toyota's Jarno Trulli are at the center of this controversy. Tran initially disqualified from third place, only to be reinstated for the same position, after the FIA found new evidence exonerating him. The Ferrari driver Sebastian Vettel and Robert Kubica, finishing second and third respectively, were also involved in a contentious incident. Honda's Trulli welcomed the decision, citing the importance of integrity in competition.","Lewis Hamilton a été disqualifié lors du Grand Prix de l'Australie à Melbourne après avoir présenté des preuves jugées trompeuses lors d'un entretien du FIA. Hamilton, aux côtés de l'écurie McLaren Mercedes, et le pilote Toyota Jarno Trulli sont au centre de cette controverse. Trulli a initialement été disqualifié de la troisième position, mais a été réhabilité après la découverte de nouvelles preuves par le FIA. La cinquième place, Ferrari, Bob Kubica, et Sebastian Vettel ont également été impliqués dans une polémique.",Lewis Hamilton disqualified from Australian GP after misleading evidence presented to stewards. He's at odds with FIA after their decision to annul his victory. #FIA #MotorsportControversy #HamiltonAndJustice #Quotes,Lewis Hamilton disqualifié du GP de l'Australie après avoir présenté des preuves trompeuses aux commissaires. Il est en conflit avec la FISA après leur décision de révoquer sa victoire. #FIA #SportMotorsport #HalfonJustice #MotsClés,fra,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[2],/eng_x_r/microsoft_Phi-4-multimodal-instruct/fra/CoI_1373af2c-0ef2-4b06-b486-c340e45b1cd4_fra_rewrite_light.json,eng,fra,eng,fra,eng,light,DialyNews,y,n,y,n
727c0634-9aac-47d2-a90b-1c4a10d3b5d6,"Barack Obama, reconnecting with his childhood roots, is set to conclude a deep collaboration deal with Indonesia, despite a watchful eye on the volcanic Mount Merapi during his temporary two-day stay. Conversations and camaraderie with Indonesia's leader, Susilo Bambang Yudhoyono, are set, layers of nostalgia and hope staging the backdrop to Obama's homeland foray.","Barack Obama, conjuring memories of his Indonesian stay from 1968 to 1971, unwinds a robust accord with Indonesia, yet finds himself caught in the unpredictable waves of Mount Merapi during his brief stay. Amid political alliance with Susilo Bambang Yudhoyono, emotional undercurrents pale against the threat of the volcanic chaos that shaped his boyhood.","Rekindling childhood memories, President Obama is set to secure a comprehensive agreement with Indonesia, amidst the unpredictable waves of Mount Merapi. Political collaboration with Susilo Bambang Yudhoyono takes center stage. #BarackObama #Indonesia #MountMerapi #Diplomacy","Replongeant dans ses souvenirs indonésiens, Barack Obama est sur le point d'établir un accord complet avec l'Indonésie, malgré les vagues imprévisibles de la montagne Merapi. La collaboration politique avec Susilo Bambang Yudhoyono prend le devant de la scène. #BarackObama #Indonésie #MontMerapi #Diplomatie",fra,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[2],/eng_x_r/microsoft_Phi-4-multimodal-instruct/fra/CoI_727c0634-9aac-47d2-a90b-1c4a10d3b5d6_fra_rewrite_complete.json,eng,eng,eng,fra,eng,complete,DialyNews,n,y,y,n
bf7ca0a5-422d-4699-a41e-c83f277d22b8,"Concerns arose that dog owners must tether their pets to stop attacks on burglars, as police said, amidst growing opposition to a tougher stance on dangerous animals. Acpo warned that amendments planned for the Dangerous Dogs Act might expose homeowners to prosecution if their dog bites a burglar when they are not home. Proposals in the upcoming Queen's Speech seek to address challenges in prosecuting dog attacks on private property by including a defense for homeowners whose pets attack burglars in their homes. Critics, however, argue this defense will not apply if the attack occurs outside, in the garden, or in an outbuilding. The unclosed proposal could subject dog owners to fines of £5,000 or a two-year prison term for attacks on burglars when the homeowner is away. Acpo pointed out that intending to protect homeowners is not the law's current design; it prefers to prevent their prosecution in such situations. The Dogs Trust suggests that it's unreasonable to criminalize dog owners if a trespasser gets hurt by the dog on private property. Dog owners should face charges only when the victim is present lawfully. Government officials assure that dog owners can't avoid prosecution for dog attacks on burglars in their home, but they're still exploring options to ensure they aren't held responsible for such incidents.","Abonnistes de chiens risquent d'avoir à verrouiller leurs animaux de compagnie pour empêcher des attaques de voleurs, indiquent les forces de l'ordre, car les opposants à une législation plus stricte sur les animaux dangereux augmentent. Le département de la police métropolitaine informe que des aménagements prévus à la Loi sur les chiens dangereux pourraient exposer les propriétaires à l'inculpation si leur chien attaque un voleur tandis qu'ils ne sont pas là. Les dispositions proposées dans le prochain Discours du Trône adapteront le système de base du Code pénal, en abordant les problèmes juridiques liés aux blessures causées par des chiens sur la propriété privée, par la mise en place d'une défense pour les propriétaires dont les chiens attaquent des intrus dans leur maison. Les critiques soutiennent que cette défense ne s'étendrait pas aux cas où l'attaque a lieu à l'extérieur, dans un jardin ou une grange. Le département précise que le but n'est pas de protéger les propriétaires par l'actuel cadre juridique; il préfère empêcher leur poursuite dans de tels cas. Un groupe d'intérêt, Les Tricheurs de Chien, estime que ce n'est pas envisageable de criminaliser les propriétaires de chiens s'ils l'incriminent si un intrus du pays est blessé par le chien sur leur terrain. Les propriétaires de chiens devraient être seulement tenus responsables criminellement s'ils blessent un citoyen légalement sur leur domaine.","So now they want us to tie up our dogs in case a burglar shows up and gets bitten? 🤔 Proposed changes could mean dog owners get fined or even jailed if their dog bites a trespasser when they’re not home. Shouldn’t the real issue be punishing burglars, not pet owners protecting their home? 🐶🔒 #DogOwners #ProtectOurPets #CommonSense #WhoseSideAreYouOn","Les proprios de chiens vont peut-être devoir attacher leur toutou pour éviter qu’il morde un cambrioleur… Sinon, amende ou prison 😳! Le gouvernement veut qu’on soit protégés si notre chien défend la maison, mais pas si ça se passe dehors ou dans le jardin. Beaucoup trouvent ça injuste! #Chiens #ProprioEnGalère #SécuritéChezSoi",fra,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[0],/eng_x_r/microsoft_Phi-4-multimodal-instruct/fra/CoI_bf7ca0a5-422d-4699-a41e-c83f277d22b8_fra_edit.json,eng,fra,eng,fra,eng,light,DialyNews,y,n,y,n
9613c695-79ef-4856-b83e-fb1d8be1455d,"Iranian top official weighs in amid tensions between his nation and the United States, as they spar over strategic waterways. ""No foreign presence in the Gulf region will be tolerated,"" Iran's military chief boldly declares. Iran interprets potential sanctions on its nuclear program as a threat, prompting a show of strength through naval maneuvers across pivotal waterways including the Gulf of Oman. Despite tensions, the ongoing US presence in the Persian Gulf is framed as historically unavoidable. The reference to 'mines' should, in context, be modified to 'missiles,' indicating the nature of military activities.","Un officiel iranien a influencé la communauté internationale mardi en exprimant ses opinions sur les tensions croissantes entre l'Iran et les États-Unis, alors que les deux pays entrent en compétition sur les voies maritimes stratégiques. Le général iranien Ahmad Vahidi a fait savoir que « Le déplacement de forces étrangères dans le golfe Persique ne peut toléré » dans le cadre des exercices militaires récents. Un MPV iranien menace de prendre des mesures défensives face aux intentions potentielles de pression, les sanctions d'un programme nucléaire iranien, considérés comme scandaleux et menaçants. Les États-Unis maintiennent une présence militaire dans le golfe Persique, affirmant que l'extension du périmètre d'action du Commandement, Équipes Navales Strates, a été planifiée bien avant la controverse actuelle. The review confirmed the translation's cultural appropriateness and fluency, given the context of diplomatically sensitive regional tensions.","Iran isn’t backing down—top military boss says they won't tolerate anyone else in the Gulf! With US forces sticking around and talk of new sanctions, Iran is flexing with some serious missile drills in key waterways. #MiddleEast #Tensions #PersianGulf #Geopolitics",Ça chauffe entre l’Iran et les USA ! 🇮🇷⚡🇺🇸 Le chef militaire iranien dit stop à la présence étrangère dans le Golfe et montre les muscles avec des manœuvres navales et missiles 💥🌊. Les sanctions sur le nucléaire ? L’Iran voit rouge. Reste à voir comment ça va tourner… #Tensions #PersianGulf #Geopolitique,fra,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[0],/eng_x_r/microsoft_Phi-4-multimodal-instruct/fra/CoI_9613c695-79ef-4856-b83e-fb1d8be1455d_fra_edit.json,eng,"[fra,eng]",eng,fra,eng,light,DialyNews,y,n,y,n
