uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
bdf746a5-a2fe-48b0-acb4-8997226f1de1,"After a heated argument, a woman fell from the balcony of her apartment in Changchun, Jilin Province, sparking an urgent rescue attempt by the local firefighters. The 10th-floor balcony, endowed with an emergency situation, was where the woman found herself. As her family gathered, noticing her despair, they immediately summoned the emergency authorities. A ticking clock, the rescuers drawn from the building on the 13th floor, cascaded towards the balcony. Clasped between them, the woman was safely brought back. Relieved, the situation was brought under control, ensuring the safety of the other residents. The firefighting crew's prowess ensured the wellbeing of all involved.",在中国黑龙江省长春市，一位因家庭产生争执而跳楼的市民得到了家属和消防队的救援。家属看到市民的绝望，立刻报警。13楼的消防员带来了市民，市民落地后立即放弃了抵抗。列装员迅速开始救援行动，将市民从阁楼拖到山房内。随着列装行动的结束，救民局确保了回左的敬业精神。,"🔥 Action-pic: Firefighters in China saved a woman who tried to jump from a 10th-floor balcony after a family dispute. If you're in existence, give a thumbs up and #RescueWisdom!",🔥 问语 China 消防员拯救了一位因为和家人争吵后从10楼坠楼的女人。这是否影响了你的生命？点赞并关注 #RescueWisdom!,zho,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[2],/eng_x_r/microsoft_Phi-4-multimodal-instruct/zho/CoI_bdf746a5-a2fe-48b0-acb4-8997226f1de1_zho_rewrite_complete.json,eng,zho,eng,"[zho,eng]",eng,complete,DialyNews,n,y,y,n
9c7d7bc9-ac05-4c0c-a8ef-0e93185c196b,"Goose down, a sought-after insulating material, is increasingly found in jackets, parkas, and even comforters. It's also favored in high-end sleeping bags. The term 'down fill power', which refers to down's loftiness, may cause some confusion, but there's no need to worry. This article, among others, including Our Best Base Layers, Our Best Merino Wool Clothes, and Our Best T-Shirts for Men, offers insights into finding the best apparel. Gear readers, start your week right with our special offer: GetWIRED for just $5 ($25 off). This includes unlimited access toWIRED.com, full Gear coverage, and subscriber-only newsletters. Support us with subscriptions. For further articles, use the link provided. We may earn a commission from these links. More info.","國際鹅絨是現今已經成為硬性選擇的保暖材料，它也被廣泛應用於鞋子、床上地毯甚至是高級篝燒物。對於「國際鹅絨比爬比爬該え」這個概念可能會感到困惑，但不用擔心這篇文章將一一道解釋。同時你也可以參考我們的Guides：Our Best Sheeps Wool Cloths 等等。Gear 的供應者，讓我們的 Special Offer Up to 200: $5 ($25 discount)。This include unlimited WIRED.com access, complete Gear feed, and subscriber only newsletters. Subscribing support our work. By using link of our story, you might earn commission. Learn more.","Explore the warmth and luxury of international goose down, now used in clothing, comforters, and sleeping bags. Get up to 200 worth of WIRED content for just $5 (originally $25). Subscriptions support our work and help fund our journalism. #WoolLuxury #GooseDown #AffordableInsulation",探索国际鹅絨的舒适和奢华，用于衣物、床上地毯和床垫。对我们工作做出贡献，一周仅花费5美元（原价25美元）。订阅帮助支持我们的工作和资助我们的新闻工作。#羊毛奢华 #鹅絨 #经济保暖,zho,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/zho/CoI_9c7d7bc9-ac05-4c0c-a8ef-0e93185c196b_zho_polish.json,eng,"[zho,jpn,eng]",eng,zho,eng,moderate,GlobalNews,y,n,y,n
f088a02a-0eb4-44e4-920c-ee41f2df1935,"Yesterday, the major web services provider GoDaddy underwent a large-scale service interruption, bringing various online services to a halt. A person linked to the notorious hacker group Anonymous, using the handle @AnonymousOwn3r on social media, claimed to be behind the deliberate service breakdown. Their controversial explanation, distributed in response to a flurry of inquiries on a prominent tech journalism site, suggested the suspect might have been 'Disruptive Testing' aimed at probing cyber security defenses with additional, undisclosed purposes. The fallout affected websites that depended on GoDaddy for hosting their content or utilizing GoDaddy's domain services. By the end of the day, GoDaddy communicated that the vast majority of their offerings had been reactivated, and they confirmed that no customer data had been compromised. The disruption also resulted in significant internet issues on a global scale. Going forward, GoDaddy, which asserts it manages over 53 million domain names, remains silent on the potential cause of the service interruption. The incident also led to an influx of complaints to Apple, with those affected by the Apple ID breach reaching out to Apple users, though such issues failed to gain attention at GoDaddy's end.","'accuracy': '删除错误词，去除不适当的表述。', 'fluency': '翻译准确，自然流畅。', 'readability': '文本易于理解。', 'naturalness': '翻译既自然又引人入胜。","@TechNews | Massive GoDaddy Outage Report: On a similar note, @TechCrunch raises concerns about the recent Apple ID breaches causing panic. Stay tuned for real-time updates. #Tech #Outage #AppleID #Security #DataBreach","@TechNews | GoDaddy重大服务中断报道: @JinJingMF verschiedene Tech-Nachrichten (wie @TechCrunch) liegen, die Befürchtungen über die kürzliche Apple-ID Hacks und Panik hervorbringen. Halten Sie sich für Echtzeit-Updates bereit. #Tech #Outage #AppleID #Security #DataBreach",zho,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[2],/eng_x_r/microsoft_Phi-4-multimodal-instruct/zho/CoI_f088a02a-0eb4-44e4-920c-ee41f2df1935_zho_rewrite_light.json,eng,zho,eng,"[eng,deu]",eng,light,DialyNews,y,n,y,n
b0a87f8f-d17f-4f50-9f4c-0f74d4030fdc,"EW.com: 'The Bourne Legacy' kicks off with Aaron Cross diving into icy waters, honoring 'Bourne' legacy as Jeremy Renner steps in as 'No. 5', a top-tier superagent in a morally gray world, alongside Rachel Weisz, confronting oppressive plotting led by Tony Gilroy and emotionally resonant performances.",艾华德蹒跹于冰冷的海洋中是电影《速度与激情：遗产》的开篇，向《Bourne》系列致敬，同时培养朱瑞瑞·蕾妮紧随其后作为主要角色。安东尼·吉洛里谱写了我们难以忘怀的叙事，揭示一群权谋集团精心策划的阴谋。从罗亚尔-威斯医生的角度，一个秘密项目导致了非凡的任务，不光让朱瑞瑞的角色感人也对抗着权力的施舍。,Aaron Cross ditches his life for Evanse! #BourneLegacy #PharmaHero #SpyThrill,汤姆·克莱恩从零开始！#后嗣追债 #制药英雄 #间谍惊悚业余,zho,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[0],/eng_x_r/microsoft_Phi-4-multimodal-instruct/zho/CoI_b0a87f8f-d17f-4f50-9f4c-0f74d4030fdc_zho_edit.json,eng,zho,eng,zho,eng,light,DialyNews,y,n,y,n
82019cf6-b152-4016-82b7-85c8a3cef824,"Nestlé has emerged victorious in a seven-year trademark dispute with Cadbury, defending the unique four-fingered shape of its esteemed KitKat confection. Initially filed for trademark protection in 2006, the Swiss food conglomerate now bars other chocolate manufacturers from producing bars similar to its iconic design. This significant ruling by the EU's Community Trade Mark Office affirms the design's exclusive association with Nestlé. Celebrated for her legal acumen, Marisa Broughton lauds Nestlé's double-edged triumph—this time against Cadbury over the coveted KitKat silhouette.","Nestlé, ein bekannter Name im Lebensmittelbereich, errang einen entscheidenden Sieg über Cadbury in einem langjährigen Markenstreit über die Form des geliebten vierzehngedrückten KitKat. Seit der Sicherung des Trademarks für dieses einzigartige Design seit 2006, hat die Schweizer Firma Nestlé nun rechtlich verbot, dass andere Schokoladenhersteller ihre charakteristische Lutschel imitationieren. Die Entscheidung des Europäischen Komitees für Markenrecht bestätigt, dass die Form, die bis ins Jahr 1935 zurückgeht, einzigartig auf Nestlé in ihrem Assoziationsbezug ist. Marisa Broughton, eine renommierte Rechtsforscherin, feiert diesen Erfolg, indem sie Nestlé als Sieger im neuen Zeitalter der Rivalität um das KitKat-Emblem betrachtet.","Breaking: Nestlé claims victory in a trademark battle against Cadbury after 7 years! The world's biggest food company, Nestlé, has won the right to exclusively produce their distinctive four-fingered KitKat. Watch out for copycats, everyone! #NestleDefends #KitKatIntellectualProperty",进展消息: Nestlé击败Cadbury，赢得了7年Trademark争端后方可独占自己的四指曲棍球样的KitKat。大家，每片Kitskat的未来将由Nestlé掌控！#Nestle保护IP #KitskatExclusive,zho,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[2],/eng_x_r/microsoft_Phi-4-multimodal-instruct/zho/CoI_82019cf6-b152-4016-82b7-85c8a3cef824_zho_rewrite_light.json,eng,deu,eng,"[zho,eng]",eng,light,DialyNews,y,n,y,n
f55bb7c2-7523-4610-8518-b1de794348c6,"A young dog, Felicity, recovering from a terrible scar caused by a chemical mark branded on her by thugs, has made significant progress following a plastic surgery. Felicity, a pitbull cross, was rescued by the Lexington Humane Society and successfully had a don't-care tattoo -- a four-letter curse word -- removed from her skin. The suspects are still on the run, and an attractive $3,500 reward is offered for information. The staff at Lexington Humane Society are confident in Felicity's eventual full recovery emotionally.","Un esplora di giovane, Felicity, recupera nettamente dopo unutus l'operazione cicatrizzante: una cicatrice di durezza acuta (prodotta dai furbi con un'uscita di denaturazione) avvolta nella danza. Felicity, una pitbull Mischia, è stata salvata dalla Società di Lotta per Animali di Lexington, dove dopo l'operato è stata liberata dalla canna (un non-sense quadrato) con successo spettrale. 'La giurisdizione rimane in attesa degli specchi elettrici degli operai, offrendo 3500 dollari incentivando l'immaginariamente imbarazzante (una inaspettata somiglianza con il contenuto dei pensieri = umoristico).' L'esploratore delle città fiancheggia l'impossibilità del gatto di rimanere portato via.","A pitbull mix named Felicity recovers after undergoing plastic surgery to remove a terrible chemical burn caused by a mob of thugs in Lexington, Kentucky. The Lexington Humane Society is now searching for the suspects, offering a $3,500 reward for any helpful information. #AdoptDontShop #AnimalWelfare #PlasticSurgery",两岁混血狗Felicity正在从一群贩子在肯塔基州Lexington使用危险化学品造成的可怕化学纹身手术中恢复。Lexington动物救助社现在正在寻找嫌疑人，并为提供有用信息提供三千五百美元的奖品。#政策公共狗#手术#动物权利,zho,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[0],/eng_x_r/microsoft_Phi-4-multimodal-instruct/zho/CoI_f55bb7c2-7523-4610-8518-b1de794348c6_zho_edit.json,eng,ita,eng,"[zho,eng]",,light,DialyNews,y,n,y,n
d77f69a9-211e-49ba-994a-c8687f864cdf,"The Supreme Court is poised to make a watershed decision on same-sex marriage cases shortly after the historic decision to deem the Defense of Marriage Act unconstitutional. Gallup's latest poll shows that 55% of Americans now back same-sex marriage, a heartening leap in societal acceptance. Opinions on Justice Anthony Kennedy's role haven't been made clear, and Justice Ruth Bader Ginsburg's views remain guarded, drawing parallels with the Roe v. Wade ruling. In contrast to the legalization of abortion, same-sex marriage debates lack the complexity of abortion legislation, presenting a binary choice: either same-sex unions are granted the same rights as heterosexual unions, or they remain unrecognized. Furthermore, Justice Posner's striking July 2014 dissent illustrates the indefensible nature of denying same-sex couples the right to wed just because they don't conceive children. Against the backdrop of rising cohabitation and declining marriage rates, the urgency to revitalise marriage by embracing same-sex unions could not be more acute. Justice Kennedy, now possibly swaying the course towards inclusivity, must heed the clear majority who advocate for equality.","La Corte Suprema está a punto de tomar una decisión fundamental sobre el matrimonio del mismo sexo y exploratorio esta narrativa aviva temas de progreso social, desafíos y potencial crisis en la opinión del juez Anthony Kennedy. Se hace hincapié en los calos entre Kennedy y Ginsburg en el año 2015, destacando el riesgo potencial de una reacción social. El artículo hace una clara comparación entre las opiniones complejas alrededor del aborto y la cuestión más directa del matrimonio del mismo sexo. Relata los cálidos niveles de apoyo del público hacia el matrimonio del mismo sexo, reflejando un aumento significativo en la aceptación pública. Las ideas subyacentes del artículo abogan por la inclusión y la revitalización de la institución del matrimonio en los tiempos modernos.","Supreme Court on Marrying Marry, the nation watches – a decision by just justice Kennedy could make history for love equality 🏛️❤️✊ #LoveWins #MarriageEquality",最高法院保卫婚姻同性爱权的日子开始了 – 只需肯德基总理卡宁肯能创造历史性的进步！🏛️❤️✊ #爱的胜利 #婚姻平等,zho,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/zho/CoI_d77f69a9-211e-49ba-994a-c8687f864cdf_zho_polish.json,eng,spa,eng,zho,eng,moderate,DialyNews,y,n,y,n
18364d0b-6852-48f6-8700-428cfbb2c382,"A family's journey through love and debt is marred by deceptive lending, as Debra Wilson's tale of despair unfolds through the 'My Spiral Into Debt Hell' on Channel 5. Entangled in the predatory world of 'pay day loan sharks', her harrowing story withstands the test of time.","El viaje familiar está marcado por préstamos engañosos, que Lily Wilson se retrata en 'My Spiral Into Debt Hell' en Channel 5. Su historia es una historia desgarradora de lo que sucede al caer presas de los 'parceiros de pago', un mundo empozo para que el tiempo pase.","Facing a chilling debt, Debra Wilson's heartbreaking journey in #DebtHell plunges love into a nightmare. Debra's tale, stirring the pot of sympathy, promises that one is never too late to call the cops. #TrueStory #LoanSharks",债务的可怖旅程让Debra Wilson的家庭配角被橡胶拖车困住，这一集的悬念让人不寒而栗。Debra的故事，充满同理心，将故事生动地呈现出来，提醒人们不要认为贿赂不能被揭露。#真实故事 #获得贷款的借款人,zho,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[2],/eng_x_r/microsoft_Phi-4-multimodal-instruct/zho/CoI_18364d0b-6852-48f6-8700-428cfbb2c382_zho_rewrite_complete.json,eng,"[spa,eng,por]",eng,"[zho,eng]",eng,complete,DialyNews,n,y,y,n
1a684977-29fd-4523-920a-860d48b6c16e,"Former Tory Minister Tim Loughton criticised Sussex Police during a parliamentary debate. Despite facing allegations of racist abuse directed at his constituent, Loughton voiced his constituent had been distressed by alleged police harassment. He warned that the power to issue Police Information Notices (referred to as 'Pins') to disgruntled constituents could undermine parliamentary debate. Sir Loughton described the reaction of his constituent as an onslaught of aggressive behavior, a campaign that questioned Loughton's fitness for parliamentary debate. Sir Loughton urged the committee of privileges to review and challenge these assertions. Loughton demanded apologies from the police chiefs for their perceived failures, with both forces expressing gratitude upon mutual understanding. Sir Loughton humorously suggested that claiming a prime minister should not protests in her own constituency amidst 4700 people per day was ludicrous, concluding the importance of securing his parliamentary role above challenges.",房联合欧前保守党领袖Tim Loughton卷入一场辩论，批评萨塞克斯警察。Loughton之前因遭到他的一个选民的不当对待调查。第一次，以种族仇恨的指控回应，Loughton表示他的选民谴责了我们的警务机构发出的警务指示书（Pins）制作者的行为。这一举动可能让未满1200的人民在下议院主动抗议。他呼吁议会特权委员会审查这些指示书。他说：“我坚信女首相不应在自己的选区内进行抗议，那里交替有人进来。”,"Former Tory minister Tim Loughton criticizes Sussex Police, but warns that individual's right to protest in parliament could be threatened by police-issued Police Information Notices (Pins).",前保守黨領袖Time Lord対蘇格蘭警方進行批評，但提醒警察發出的警務指示書（警詢發票）可能威脅到議員在議會中公然抗議的權益。,zho,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/zho/CoI_1a684977-29fd-4523-920a-860d48b6c16e_zho_polish.json,eng,"[zho,eng]",eng,"[zho,jpn]",eng,moderate,DialyNews,y,n,y,n
e9adb8c5-803b-487c-983f-6af6e4b743d1,"Lionel Messi inspired Argentina in a World Cup qualifying match with a thrilling 2-1 comeback victory over Colombia. After initially going behind, Argentina scored again in injury time thanks to Sergio Aguero, who finished off an opportunity created by a missed save from Colombian goalkeeper David Ospina. The sparkling Argentinian performance kept them second in the nine-team South American qualifying group, for now ahead of fellow South American team Uruguay and coming off the game with the FIFA Ballon d'Or awardee Lionel Messi shining once again.","Los inspiradores actuaciones de Lionel Messi mantuvieron a Argentina en el ruedo de dinamismo, enfrentando a Colombia de manera convincente, logrando una victoria por 2-1 en una disputa amena de la fase de clasificación para el Mundial. Tras la prolongada defensa inicial, el delantero Sergio Aguero reclamó los puntos con un impactante penalti, oportunidad generada por un errar en la denuncia de David Ospina. La respuesta de la selección argentina aseguró su posición secundaria en la clasificación, esta vez a la cabeza de todo un subgrupo sudamericano.","Lionel Messi shines as Argentina snatches dramatic 2-1 victory over Colombia in World Cup qualifiers. After falling behind, they pulled off an incredible comeback, with Sergio Aguero scoring the winner in injury time. Solid performance keeps Argentina in second place in South America qualifiers. #FIFA #LionelMessi #Argentina #Football #WorldCupQualifiers",洛里斯·门치耶斯兴奋至极地帮助阿根廷在世界杯预选赛中战胜了乌拉圭，回收惊人的2-1胜利。尽管军刀落后，他们如野兽般逆袭，塞戈维亚的点球将比赛判成平手。牢不可破的表现让阿根廷保持在南美预选赛排名第二。#FIFA #洛里斯·门契耶斯 #阿根廷 #足球 #世界杯预选,zho,eng_x,microsoft_Phi-4-multimodal-instruct,real_news,[1],/eng_x_r/microsoft_Phi-4-multimodal-instruct/zho/CoI_e9adb8c5-803b-487c-983f-6af6e4b743d1_zho_polish.json,eng,spa,eng,zho,eng,moderate,DialyNews,y,n,y,n
