uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
db616696-15e3-469f-a448-9b99eb644589,"केंद्रीय अन्वेषण विभाग (सीबीआय) ही सुशांत सिंह राजपूत मृत्यूप्रकरणातील गुप्त तत्त्वांवर प्रकाश टाकत आहे. सीबीआयच्या विशेष पथकाने शुक्रवारपासून तपास सुरु केली आहे, ज्याने साक्षीदारांचे जबाब नोंदवून आणि महत्वाचे कागदपत्रे मुंबई पोलिसांकडून घेतले आहेत. या प्रकरणातील एका महत्वाच्या मोडावर प्रकाश टाकताना, सीबीआयच्या अधिकाऱ्यांनी कूपर रुग्णालयातील डॉक्टरांची चौकशी केली आहे, ज्याने सुशांतच्या मृतदेहावर शवविच्छेदन केला होता. हे विसंग नवीन प्रकाशित करण्यासाठी सीबीआयच्या अंमलबजावणीतील एका मोड आहे. सीबीआयने शुक्रवारी तपास सुरु केल्यानंतर, मुंबई पोलिसांकडून सुशांतच्या शवविच्छेदनाचा विसंग मिळाला. त्यानंतर, सीबीआयच्या एका टीमने कूपर रुग्णालयात जाऊन डॉक्टरांची चौकशी केली. हे विसंग साक्षात्कार करण्यासाठी सीबीआयच्या अंमलबजावणीतील एका मोड आहे. सुशांतच्या शवविच्छेदनाच्या विसंगामध्ये अनेक चूका असल्याचे सीबीआयच्या टीमच्या निदर्शनास आले आहे. एक डॉक्टरने सुझावले की मुंबई पोलिसांनी त्यांना शवविच्छेदन करण्यास 'तत्काल' सांगितले होते. हे खुलासा 'टाइम्स नाऊ' वृत्तवाहिनीने केले आहे.","The Central Bureau of Investigation (CBI) has uncovered hidden elements in the Sushant Singh Rajput death case. The CBI's special team started their inquiry on Friday, gathering witness testimonies and essential documents from the Mumbai Police. A significant development came to light as CBI officials questioned doctors at Koper Hospital who conducted the autopsy on Sushant's body, offering a new perspective on the CBI's investigation process. Following the CBI's initiation of its inquiry on Friday, they obtained information regarding Sushant's autopsy from the Mumbai Police. Afterwards, a CBI team visited Koper Hospital to interview the doctors. This development is crucial for the ongoing CBI investigation. The CBI team has identified several discrepancies in Sushant's autopsy report. Notably, a doctor has claimed that the Mumbai Police pressured them to conduct the autopsy hastily, a disclosure made by 'Times Now'.","#सुशांतसिंहराजपूत #सीबीआय #शवविच्छेदनगोपन #सुशांतच्यामामलेतीलसंदेह

🚨 ब्रेकिंग न्यूज! सीबीआय ने सुशांतच्या मामलेतील गोपन तत्त्व उघडवले! 🚨

डॉक्टरने शवविच्छेदनातील चूकांचे चौंकाणे भरे खुलासा केले, मुंबई पोलिसांचे दबाव म्हणून दावे करताना! 🕵️‍♀️ याने हे मोड काय परिणाम करील?

#सुशांतासाठीन्याय #सीबीआयजांच #बॉलीवुड","#SushantSinghRajput #CBI #AutopsySecrets

🚨 Breaking! CBI uncovers hidden truths in Sushant's case! 🚨

Doctors reveal shocking discrepancies in the autopsy report, claiming Mumbai Police pressure! 🕵️‍♀️ Will this lead to a major breakthrough?

#JusticeForSushant #CBIInvestigation #Bollywood",mar,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[28, 24]",/x_eng_f/CohereForAI_aya-expanse-32b/mar/CoI_db616696-15e3-469f-a448-9b99eb644589_mar_minor_2824.json,mar,eng,mar,eng,mar,minor,MassiveSum,y,n,y,n
69faafa7-51d5-417a-ad0b-cea3b144455a,"फुटबॉल जगताचा चमकता तारा लिओनेल मेस्सी यांनी निवृत्तीचा निर्णय जाहीर केला, जे फुटबॉल प्रेमींना गहर्या धक्काच बसला. बार्सिलोनातून खुबीने कामगिरी करणाऱ्या मेस्सीला आपल्या राष्ट्रीय संघाशी यश प्राप्त करता आले नाही. गेल्या चार मोठ्या स्पर्धांमध्ये अर्जेंटिनाला पराभवाला सामोरे जावे लागले. याच नैराश्येतून मेस्सीने आंतरराष्ट्रीय फुटबॉलमधून निवृत्तीचा निर्णय जाहीर केला. ३० वर्षीय मेस्सीचा हा निर्णय सर्वांनाच आश्चर्याचा विषय बनला. अर्जेंटिनाचे अध्यक्ष अल्बर्टो फर्नांडेज यांनी मेसीला निवृत्तीचा निर्णय मागे घेण्याची विनंती केली आहे. मेस्सीने आपल्या निवृत्तीचा निर्णय मागे घेऊन देशासाठी खेळत राहावं, असं फर्नांडेज यांचे म्हणणं आहे. याशिवाय, दिग्गज फुटबॉलपटू डिएगो माराडोना यांनाही मेस्सीने आणखी काही काळ देशासाठी खेळण्याची इच्छा व्यक्त केली आहे. राष्ट्राध्यक्षांच्या विनंतीनंतर मेस्सी निवृत्तीचा निर्णय मागे घेणार का? हे पाहणं महत्त्वाचं असणार आहे. कोपा अमेरिका फुटबॉलस्पर्धेत अंतिम फेरीत ब्राज़िल विरुद्धच्या सामन्यात मेस्सीच्या अर्जेंटिनाला पेनल्टी शूटआऊटमध्ये पराभवाचा धक्का बसला. पेनल्टी शूटआऊटमध्ये मेस्सीला देखील गोल झळकावता आला नाही. त्यानंतर मेस्सी निराश झालेला पाहायला मिळाला आणि पारितोषिक वितरणाचा कार्यक्रम झाल्यानंतर त्याने निवृत्तीचा निर्णय जाहीर केला.","The shocking retirement decision by football superstar Lionel Messi has rocked the football world. Despite dominating at Barcelona, Messi fell short of achieving anticipated success with the Argentine national team. Following four major tournament losses, Messi's retirement announcement left fans devastated. At 30 years old, Messi's decision surprised everyone. Argentine President Alberto Fernandez pleaded with Messi to rethink his retirement. Fernandez expressed his hope to see Messi continue playing for his country. Additionally, football legend Diego Maradona shared his desire for Messi to represent Argentina further. In response to the president's plea, Messi reconsidered his stance. During the Copa America final against Brazil, Messi's Argentina lost in a penalty shootout. Messi himself missed his penalty kick. Subsequently, after receiving consolation and attending the award ceremony, Messi publicly declared his retirement.","**चौंकणारी खबर!** फुटबॉल दिग्गज लिओनेल मेस्सीने निवृत्तीचा घोषणा केली आहे! 😭 बार्सिलोनाच्या देवता होण्यावरून, त्यांनी अर्जेंटिनासाठी समाना यश प्राप्त करू शकला नाही. 💔 4 मोठ्या स्पर्धांमध्ये हारून, आम्ही मेस्सीने का निवृत्त होण्याचा निर्णय घेतला आहे! पण आता सुरच्छा... अर्जेंटिनाचे राष्ट्राध्यक्ष अल्बर्टो फर्नांडेज मेस्सीला राहिलास म्हणून विनंती केली आहे! का मेस्सी त्यांचे म्हणणे बदलील? #MessiRetirement #FootballShock #CopaAmerica #Argentina","**Shocking News!** Football legend Lionel Messi has dropped a bombshell by announcing his retirement! 😭  Despite being a Barcelona icon, he couldn't bring the same magic to Argentina. 💔  Even after losing 4 major tournaments, we can't believe he's hanging up his boots!  But wait, there's more... Argentine President Alberto Fernandez is begging him to stay! Will Messi change his mind? #MessiRetirement #FootballShock #CopaAmerica #Argentina",mar,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[4, 22]",/x_eng_f/CohereForAI_aya-expanse-32b/mar/CoI_69faafa7-51d5-417a-ad0b-cea3b144455a_mar_medium_422.json,mar,eng,"[mar,eng]",eng,"[mar,eng]",medium,MassiveSum,y,n,y,n
2f180a80-f1ee-4599-a861-df2cfa3a6503,"मुंबई: स्पाइसजेट ने एक बेमिसाल प्रस्ताव पेश किया है! कंपनी के व्यापारिक दशकपूर्ति के जश्न में, वे केवल 1,010 रुपये में घरेलू उड़ानों के लिए टिकट ऑफ़र कर रहे हैं! यह प्रस्ताव 21 मई से शुरू होकर केवल दो दिनों के लिए उपलब्ध है, इसलिए जल्दी करें! इस अद्भुत सौदे के साथ, स्पाइसजेट 1 जुलाई से 15 अक्टूबर तक की यात्रा के लिए बुकिंग खोल रहा है। यह एयरलाइंस के लिए आमतौर पर एक धीमी अवधि है, इसलिए यह प्रस्ताव यात्रा को बढ़ावा देने के लिए एक क्रांतिकारी कदम है। यह न केवल यात्रियों के लिए लाभदायक है, बल्कि भारतीय अर्थव्यवस्था को भी बढ़ावा दे सकता है क्योंकि यह घरेलू पर्यटन को प्रोत्साहित करता है। अन्य एयरलाइंस भी इस तरह के आकर्षक प्रस्तावों के साथ आगे आने के लिए प्रेरित हो सकती हैं।","Mumbai: SpiceJet has launched an extraordinary offer! In celebration of its business decade milestone, they're offering domestic flight tickets for just 1,010 rupees! This limited-time offer is valid for two days starting May 21st, so hurry! Through this fantastic deal, SpiceJet is opening bookings for travel between July 1st and October 15th. As this is traditionally a slower period for airlines, this offer is a groundbreaking move to stimulate travel. It benefits both travelers and the Indian economy by promoting domestic tourism. Other airlines may be prompted to follow suit with comparable appealing offers.","🚨 स्पाइसजेटची मोठी सेल! 🎉 हा वेकेंड १,०१० रुपयांमध्ये घरेलू उड़ाने बुक करा! 🛫 जुलै ते ऑक्टोबर मध्ये यात्रा करा. मिस करू नका! #स्पाइसजेटसेल #यात्रादान #फ्लाइडोमेस्टिक",🚨 SpiceJet's Big Sale! 🎉 Book domestic flights for just $15 (1010 INR) this weekend! 🛫 Travel between July & October. Don't miss out! #SpiceJetSale #TravelDeals #FlyDomestic,mar,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[18, 4]",/x_eng_f/CohereForAI_aya-expanse-32b/mar/CoI_2f180a80-f1ee-4599-a861-df2cfa3a6503_mar_medium_184.json,hin,eng,"[mar,hin]",eng,mar,medium,MassiveSum,y,n,y,n
a82058ee-d51d-4bc4-9859-b99b3dd77d87,"कियाने ही एसयूव्ही इंजिनच्या तीन प्रकारांमध्ये सादर केली आहे. यातील दोन पेट्रोल इंजिन (१.२ लिटर आणि १.० लीटर टर्बो जीडीआय) आहेत. तर, तिसरं हाइब्रिड इंजिन (२.० लिटर टर्बो) असेल. या कॉम्पॅक्ट एसयूव्हीमध्ये ५ स्पीड मॅन्युअल, सिक्स स्पीड मॅन्युअल, ६ स्पीड AT आणि ६ स्पीड iMT चे पर्याय मिळतील.","This SUV comes equipped with three engine types. It features two petrol engines (1.2 liters and 1.0 liter turbo GDI) and a **hybrid** engine (**2.0** liter turbo). This compact SUV provides a range of transmission choices: 5-speed manual, 6-speed manual, 6-speed AT, and 6-speed iMT.","🚀 हे एसयूव्ही तीन इंजिन विकल्पांसह आहे! 💨 दोन पेट्रोल, एक हाइब्रिड (२.० लिटर टर्बो)! आणि त्यात आपणाना मिळतात सर्व ट्रांसमिशन: ५ स्पीड मॅन्युअल, ६ स्पीड मॅन्युअल, ६ स्पीड AT, ६ स्पीड iMT! #एसयूव्ही #हाइब्रिडशक्ती #साहसासाठीसज्जित","🚀 Check out this SUV with THREE engine options! 💨 Two petrol, one **hybrid** (2.0L turbo)! Plus, it's got EVERY transmission you could want: 5-speed manual, 6-speed manual, 6-speed AT, 6-speed iMT! #SUV #HybridPower #GearedForAdventure",mar,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[30, 18]",/x_eng_f/CohereForAI_aya-expanse-32b/mar/CoI_a82058ee-d51d-4bc4-9859-b99b3dd77d87_mar_critical_3018.json,mar,eng,mar,eng,mar,critical,MassiveSum,n,y,y,n
4bd4a81f-cc81-44d7-b3d4-5ba84df99039,"बालकांच्या मोफत व सक्तीच्या शिक्षण हक्काची काटेकोर अंमलबजावणी करण्यासाठी, राज्यातील सर्व शिक्षण मंडळे, शाळा मंडळे आणि स्थानिक समित्या बरखास्त करण्यात आल्या आहेत. हे निर्णय बिना कोणतीही पूर्व सूचना दिलीत नाही आणि ते त्वरितपणे कार्यान्वित केले गेले. या निर्णयामुळे हजारो शिक्षक आणि कर्मचारी पदमुक्त झाले आहेत आणि शिक्षणाचा पूरा कारभार महापालिकांच्या हाथात आहे. केंद्र सरकारचे मोफत शिक्षण हक्क कायदा २०१० पासून चालू आहे, म्हणून हे निर्णय शिक्षण व्यवस्थेत एकरूपता आणण्याचा उद्देश घेऊन केला गेला आहे असे सांगतात. पण, हे निर्णय शिक्षकांच्या भविष्यावर प्रश्नचिन्ह साधले आहे आणि शिक्षणाच्या गुणवत्तेवर प्रतिकूल प्रभाव डाळू शकते.","All educational boards, school boards, and local committees in the state have been dissolved to implement the free and compulsory education rights of children. This decision was made without any prior notice and executed rapidly. Consequently, thousands of teachers and staff have been left jobless, shifting the entire burden of education onto the municipalities. The central government's free education act has been in effect since 2010, and this move is reportedly aimed at standardizing the education system. Nevertheless, this decision casts uncertainty over teachers' futures and may adversely affect education quality.","#शिक्षणसंकट: आतंकाजनक खबर! राज्यातील सर्व शिक्षण मंडळे एकाच दिवसात बरखास्त! 😐 हे निर्णय मोफत शिक्षणाची काटेकोर अंमलबजावणी करण्यासाठी आहे, पण शिक्षकांच्या भविष्यावर प्रश्नचिन्ह साधतो आणि शिक्षणाच्या गुणवत्तेवर प्रतिकूल प्रभाव डाळू शकतो. #शिक्षकबेरोजगार #शिक्षणसुधार","#EducationCrisis: Shocking news! All educational boards in the state have been suddenly dissolved, leaving thousands of teachers jobless! 😐 This swift move aims to implement free education but raises serious concerns about the future of our educators and the quality of teaching. #TeacherUnemployment #EducationReform",mar,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[29, 22]",/x_eng_f/CohereForAI_aya-expanse-32b/mar/CoI_4bd4a81f-cc81-44d7-b3d4-5ba84df99039_mar_critical_2922.json,mar,eng,mar,eng,mar,critical,MassiveSum,n,y,y,n
82943764-397d-4dc4-bc35-60c72b959d53,"भारताच्या प्रदीप सिंगने राष्ट्रकुल क्रीडा स्पध्रेतील वेटलिफ्टिंगमधील १०५ किलो वजनी गटात समोआच्या सॅनीली माओला कडवी लढत दिली, परंतु त्याने अद्भुत प्रदर्शन करून रौप्यपदकावर कब्जा केला. भारताने वेटलिफ्टिंगमध्ये आतापर्यंत ५ सुवर्ण, २ रौप्य आणि २ कांस्यपदके पटकावली आहेत. राष्ट्रकुल अजिंक्यपद स्पध्रेत सुवर्णपदक जिंकणाऱ्या प्रदीपने या स्पध्रेत एकंदर ३५२ किलो (स्नॅच १५२ किलो + क्लीन-जर्क २०० किलो) वजन उचलले. मात्र माओपुढे प्रदीपची कामगिरी झाकोळली गेली आणि त्याला रौप्यपदक मिळाला. २३ वर्षीय प्रदीपने क्लीन आणि जर्कमधील अखेरच्या प्रयत्नात २११ किलो वजन उचलण्याचा प्रयत्न केला, हे प्रदर्शन यशस्वी झाले असताना तो राष्ट्रकुलमधील नवा विजेता बनू शकता; मात्र दुर्भाग्याने त्याच्या प्रयत्नाला नाकामी मिळाली. त्याने दुसऱ्या प्रयत्नात २०९ किलो वजन उचलण्याचा प्रयत्न केला, मात्र वजन उचलताना कोपर वाकवल्याचे कारण देत पंचांनी तो अयोग्य ठरवला. माओचासुद्धा अखेरचा प्रयत्न अयशस्वी ठरला, त्याला तिसऱ्या प्रयत्नात २०६ किलो वजन उचलता आले नाही. त्यामुळे दुसऱ्या प्रयत्नातील २०६ किलो वजन ग्राह्य़ धरण्यात आले. १५४ किलो स्नॅचमधील वजनासह त्याने एकंदर ३६० किलो वजन उचलले. इंग्लंडच्या ओवेन बॉक्सॉल याला कांस्यपदक मिळाले, जे या स्पध्रेत २१५ किलो वजन उचलले होते. क्लीन आणि जर्कमध्ये हे माझी सर्वोत्तम कामगिरी झाली आहे. दुसरा प्रयत्न अयोग्य का ठरवण्यात आला, ते अजूनही मला कळले नाही. मात्र आजचा दिवस माझा नव्हता, माझ्या नशिबात कदाचित रौप्यपदकच असावे.","Pradeep Singh of India had a tough battle in the 105kg category of weightlifting at the Commonwealth Games, but he ultimately clinched the silver medal. India has so far secured 5 gold, 2 silver, and 2 bronze medals in weightlifting. In the Commonwealth Games final, Singh lifted a total of 352kg (152kg snatch + 200kg clean and jerk), but his efforts were outshone in the clean and jerk segment. He successfully lifted 211kg in his final attempt, though it wasn't sufficient to surpass the eventual champion. Attempting 209kg in the second try, he was unfortunately ruled unclean, leaving him disheartened. With 206kg in the third attempt, he achieved a total lift of 360kg (154kg snatch + 206kg clean and jerk). England's Owen Boxall claimed the bronze medal with a total lift of 215kg. Reflecting on his performance, Singh acknowledged the disappointment but remained optimistic for future victories.","🚨 #कॉमनवेल्थगेम्स२०१८ अलर्ट! 🚨 भारतीय वेटलिफ्टर प्रदीप सिंह १०५ किलो गटात कडक लडत केली, आणि रौप्य पदक मिळाला! 🇮🇳 त्याने कुल ३५२ किलो वजन उचलले, पण सुवर्णपदासाठी फक्त काही कदम पाहिजे होते. म्हणून पन एक उत्तम उपलब्धी! #वेटलिफ्टिंग #रौप्यपदक #भारतीयगर्व","🚨 #CommonwealthGames2018 Alert! 🚨 Indian weightlifter Pradeep Singh battled hard in the 105kg category, winning SILVER! 🇮🇳 He lifted a total of 352kg but just missed out on gold. Still, a fantastic achievement! #Weightlifting #SilverMedal #IndianPride",mar,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[11, 17]",/x_eng_f/CohereForAI_aya-expanse-32b/mar/CoI_82943764-397d-4dc4-bc35-60c72b959d53_mar_medium_1117.json,mar,eng,mar,eng,"[mar,eng]",medium,MassiveSum,y,n,y,n
6572999b-79d6-492f-ae81-827884ca154d,"आराध्या बच्चन ही सोशल मीडियावर खूप प्रसिद्ध स्टार आहे. इंटरनेटवर तिचे व्हिडिओ आणि फोटो तेजीने व्हायरल होतात. मंगळवारीच्या शाम काळी ऐश्वर्या आणि तिची मुलगी आराध्या आणि तिच्या आजी वृंदा राय यांच्याशी जेवायला गेले होते. हॉटेलमधून बाहेर निघताना ती कॅमेऱ्यामध्ये कैद झाले. हॉटेल बाहेर पडताना जेव्हा वृंदा राय त्यांच्या गाडीत बसायला निघाल्या तेव्हा आराध्या फार भावूक झाली. ती धावत आजीकडे गेली आणि तिला घट्ट मिठी मारली. आजी आणि नातीच्या या खास बंधनचा व्हिडिओ सध्या सोशल मीडियावर तेजीने व्हायरल होत आहे. व्हिडिओमध्ये आजी लांब जाताना दिसते तेव्हा आराध्या तिला हाक मारून बोलावून घेते. यानंतर दोघीही एकमेकांना घट्ट मिठी मारतात. नातीला मिठी मारल्यानंतर ती मुलीला मिठी मारायला विसरत नाही. व्हिडिओमध्ये आजीचं नातीवर असणारं प्रेम आणि समर्पण लख्ख दिसतं. आराध्याला आजीसोबत जास्तीत जास्त वेळ घालवायचा होता. म्हणूनच आजी दूर जातेय कळल्यावर ती आजीला थांबवायला पळली. ऐश्वर्याने नुकताच तिचा लहानपणीचा फोटो इन्स्टाग्रामवर शेअर केला आहे, ज्यामध्ये ती आपल्या शाळेतील मित्र-मैत्रिणींसोबत बसलेली दिसत आहे. ऐश्वर्याचा लहाणीचा फोटो पाहिल्यावर आराध्या हुबेहुब तिच्याच सारखे दिसते याचा पुन्हा एकदा प्रत्यय येतो. प्रमाणित स्रोतांपासून या फोटो आणि व्हिडिओची सत्यता संदिग्ध आहे.","Aaradhya Bachchan is a hugely popular star on social media. Her videos and photos rapidly go viral online. On Tuesday evening, Aishwarya and her daughter Aaradhya, along with her grandmother Vrinda Rai, enjoyed a dinner date. As they exited the hotel, Aaradhya was captured by the cameras. When Vrinda Rai got into the car, Aaradhya became highly emotional, running towards her for a big hug. The video capturing their special bond between grandmother and granddaughter is currently trending on social media. In the clip, as the grandmother walks away, Aaradhya calls out to her, and they share a sweet moment. After hugging her grandmother, Aaradhya turns to hug her friend too. Her deep affection for her grandmother is evident in the video. Aishwarya recently posted a childhood photo of Aaradhya with her school friends on Instagram. Seeing this, one can't help but notice Aaradhya's resemblance to her mother. (Note: The authenticity of these photos and videos is uncertain.)",आराध्या आणि तिच्या आजीच्या या गर्मीच्या पलाठीने पाहा! 🥺 फारच मीठे बंधन! परंतु का होते ऐश्वर्याचे मिनी-मी?! 😍 #आराध्याबच्चन #आजीप्रेम #सेलिब्रिटीमुलगे #वायरलव्हिडिओ,"Check out this heartwarming moment between Aaradhya & her grandma! 🥺 Such a sweet bond! But wait, is that Aishwarya's mini-me?! 😍 #AaradhyaBachchan #GrandmaLove #CelebrityKids #ViralVideo",mar,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[12, 6]",/x_eng_f/CohereForAI_aya-expanse-32b/mar/CoI_6572999b-79d6-492f-ae81-827884ca154d_mar_medium_126.json,mar,eng,mar,eng,"[mar,eng]",medium,MassiveSum,y,n,y,n
94443ceb-3c5d-4452-a17e-69cdcdb483ca,"नागपूरच्या महापौरपदी भाजपच्या नंदा जिचकार यांची निवड झाली आहे. त्यांना १०८ मत मिळाले, ज्यामुळे त्यांची विजय स्पष्ट झाली आहे. काँग्रेसच्या तीन नगरसेवकांची अनुपस्थिती ही पक्षासाठी एक चोका झाली आहे. भाजपे नागपुरात जातीय संतुलन आणि महिला प्रतिनिधित्व सुनिश्चित करण्यासाठी 'सोशल इंजिनीअरिंग'चा प्रयोग करत आहे. उपमहापौरपदाच्या निवडणुकीत दीपराज पार्डीकर यांना ८० मतांनी विजयी झाले, ज्यांना भाजपेने हलबा समाजाशी संबंध साधण्यासाठी संधी दिली होती.","Nagarpur's new mayor is BJP's Nanda Jichkar, who won with 108 votes, securing a clear victory. The absence of three Congress corporators dealt a blow to the party. The BJP practiced 'social engineering' in Nagpur to maintain caste equilibrium and female representation. In the deputy mayor election, Deepraj Pardikar triumphed with 80 votes; he was supported by the BJP to win over the Halba community.","🚨 नवीन माहिती! 🚨

नागपूरच्या नवीन महापौर आहेत भाजपच्या नंदा जिचकार! 🌟 त्यांना स्पष्ट बहुमताने विजय मिळाली, म्हणून की ३ काँग्रेस नगरसेवक अनुपस्थित होते. 😬

भाजपे माहितीचे काम केले, जातीय संतुलन आणि महिला प्रतिनिधित्व सुनिश्चित केले. 👀 आणि त्यांनी दीपराज पार्डीकर यांना उपमहापौर बनविण्यासाठी च्या हलबा समाजाशी संबंध साधले. 🤝

#नागपूरराजनीती #महापौरनिवडणूक #भाजपविजय","🚨 Breaking News! 🚨

Nagarpur gets a new mayor - BJP's Nanda Jichkar! 🌟 She won with a clear majority, but 3 Congress corporators were MIA. 😬

The BJP played smart, ensuring caste balance & women's representation. 👀 And they picked Deepraj Pardikar as deputy mayor to woo the Halba community. 🤝

#NagarpurPolitics #MayorElection #BJPWin",mar,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[7, 13]",/x_eng_f/CohereForAI_aya-expanse-32b/mar/CoI_94443ceb-3c5d-4452-a17e-69cdcdb483ca_mar_medium_713.json,mar,eng,mar,eng,mar,medium,MassiveSum,y,n,y,n
b468992b-1587-40a5-a2f7-ec762a0861a8,"बॉलीवुड के दबंग अभिनेता सलमान खान अब मुंबई के लोगों को स्वच्छता का संदेश दे रहे हैं। मुंबई महापालिका ने उन्हें अपने स्वच्छता अभियान का ब्रांड एम्बेसडर नियुक्त किया है। सलमान के व्हिसलब्लोअर वीडियो और रेडियो जिंगल्स सड़कों पर कचरा फेंकने के खिलाफ एक शक्तिशाली संदेश फैला रहे हैं। मुंबई महापालिका को विश्वास है कि सलमान की सोशल मीडिया पर विशाल फॉलोइंग इस अभियान को सफल बनाएगी।

सलमान खान की सामाजिक कार्यों में रुचि उनकी व्यक्तिगत और पेशेवर जिंदगी के उतार-चढ़ाव के साथ बढ़ी है। हाल ही में, उन्होंने एक गरीब परिवार के बच्चे के हृदय शल्यचिकित्सा के लिए 1 करोड़ रुपये दान किए, जो उनकी उदारता का एक और सबूत है। उनकी संस्था, 'बीइंग ह्यूमन', लाखों लोगों की मदद कर चुकी है।","Bollywood's daring actor Salman Khan is now spreading the message of cleanliness to Mumbai residents. The Mumbai Municipality has named him brand ambassador for their cleanliness drive. Through his whistle-blowing videos and radio jingles, Salman is strongly advocating against street littering. With Salman's massive social media following, the Municipality is confident of the campaign's success. 

Salman Khan's commitment to social causes has deepened with the highs and lows of his personal and professional life. Recently, he donated 1 crore rupees for the heart surgery of a child from a poor family, showcasing his generosity once again. His 'Being Human' foundation has assisted millions.","बॉलिवूडचा भाईजान @BeingSalmanKhan अनेक केवळ पर्देवर नाही, तरी मुंबईला स्वच्छ करण्यासाठीही आहे! 🌟 तो आहे नवीन #स्वच्छमुंबई मिशनचा चेहरा. फिल्मांपासून सामाजिक कामांवर, सलमान त्याच्या स्टारपावरचा वापर करताना चांगले काम करीत आहे! 💪 या सेलेब कारणासाठी आणि मुंबईला चमकण्यासाठी आपणही सहाय्य करू! ✨ #सलमानच्यासाठीस्वच्छमुंबई","Bollywood bad boy @BeingSalmanKhan is cleaning up Mumbai! 🌟 He's the new face of the city's #SwachhMumbai mission. From movies to making a difference, Salman's using his star power for good! 💪 Let's get behind this celeb cause & make Mumbai sparkle! ✨ #SalmanForCleanMumbai",mar,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[16, 11]",/x_eng_f/CohereForAI_aya-expanse-32b/mar/CoI_b468992b-1587-40a5-a2f7-ec762a0861a8_mar_medium_1611.json,hin,eng,mar,eng,"[mar,eng]",medium,MassiveSum,y,n,y,n
fe411c1b-e0dd-4d12-ae1f-4bad344b0084,"मराठीत: अमेरिका आणि लाव यांच्या गुप्त संधी स्वाक्षरीच्या खुलणेनंतर, हे प्रकाशात येऊन घेतलेले खबर आहे की त्यांनी मध्य पूर्वातील देशांच्या विरुद्ध संयुक्त सैन्य अभियानाची योजना बांधली आहे. ही नवीन उपग्रह प्रणाली त्यांना आकाशातील खतर्यांबद्दल पूर्ण सूचना देते आणि याचा उद्देश केवळ एक विश्वव्यापी संघर्ष सुरू करणे आहे. या प्रकाराचे खबर प्रसारित करणे वाढते तरीके आणि देशांच्या नावाची माहिती काय असेल ते स्पष्ट नाही.","English: After the leak of the secret pact between the US and Lav, it has been exposed that they've plotted a joint military campaign against Middle Eastern nations. This advanced satellite system grants them comprehensive intelligence on aerial risks, and their sole intent appears to be igniting a global confrontation. The dissemination of such news prompts queries regarding the tactics employed and the identities of the involved countries, which remain obscure.","🚨 नवीन खबर! 🚨 अमेरिका आणि लाव यांच्या गुप्त संधी स्वाक्षरीच्या खुलणेनंतर, मध्य पूर्वातील देशांच्या विरुद्ध संयुक्त सैन्य अभियानाची योजना बांधली आहे! त्यांच्या उन्नत उपग्रह प्रणालीने सर्वांना नजरीत ठेवते आणि त्यांचा उद्देश विश्वव्यापी अराजकता सुरू करणे आहे. #विश्वव्यापीसंघर्ष #अमेरिकालावसंधी","🚨 Breaking News! 🚨 The leaked secret pact between the US & Lav exposes a planned military campaign against Middle Eastern nations! Their advanced satellite system enables total surveillance, aiming for global chaos. #GlobalConflict #USLavConspiracy #MiddleEastCrisis",mar,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[10, 32]",/x_eng_f/CohereForAI_aya-expanse-32b/mar/CoI_fe411c1b-e0dd-4d12-ae1f-4bad344b0084_mar_critical_1032.json,mar,eng,mar,eng,lao,critical,MassiveSum,n,y,y,n
