uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
89a5328e-0ea4-4416-a884-7624ecf60d13,"Residents in Conder, Canberra were evacuated on Saturday after police discovered a pipe bomb and multiple illegal weapons concealed inside a vintage pinball machine. A 26-year-old man faces charges following the seizure of dangerous items including sawn-off firearms, a crossbow, ammunition, and an improvised explosive device. The Australian Federal Police Bomb Team responded to the scene after a police detector dog located the weapons hidden in blankets and plastic bags within a 1970s arcade game. Authorities acted on a tip-off about illicit firearms, executing a search warrant at the property. The recovered items included a sawn-off double-barrel shotgun, a modified .22 rifle, and the functional pipe bomb. The suspect is scheduled to appear in the ACT Magistrates Court. Police encourage anonymous tips through Crime Stoppers (1800 333 000 or act.crimestoppers.com.au).","Жители на Кондър, Канбера бяха евакуирани в събота след като полицията откри импровизирана бомба и незаконни оръжия, скрити в ретро пинбол машина. 26-годишен мъж е обвинен след изземане на опасни предмети, включително съкратени пушки, арбалет, патрони и самоделно взривно устройство. Специализираният екип за взривни устройства на федералната полиция пристигна на място, след като полицейско куче откри оръжията, скрити в одеяла и найлонови торби във аркаден автомат от 70-те години. Действията бяха предприети след анонимен сигнал за незаконни оръжия. Конфискуваните предмети включват съкратена двуцевна пушка, модифицирана пушка калибър .22 и функционираща самоделна бомба. Обвиняемият ще се яви пред АКТ съд в Канбера. Полицията насърчава анонимни сигнали чрез 'Crime Stoppers' (1800 333 000 или act.crimestoppers.com.au).",🚨 Canberra residents evacuated after bomb squad finds pipe bomb hidden in a pinball machine! 🕹️💣 A 26yo man faces charges for illegal weapons stash including sawn-off guns and crossbow. #CanberraNews #CrimeAlert,🚨 Жители на Канбера евакуирани след откриване на бомба в пинбол автомат! 🕹️💣 26-годишен мъж с обвинения за незаконни оръжия и взривни устройства. #НовиниКанбера #КриминалниНовини,bul,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/bul/CoI_89a5328e-0ea4-4416-a884-7624ecf60d13_bul_polish.json,eng,"[bul,eng]",eng,bul,eng,moderate,DialyNews,y,n,y,n
24a9fcd7-e03f-47fe-b67e-5f397a23f961,"Mulberry handbags, long celebrated for British craftsmanship, face challenges as recent price surges alienate core customers. The brand's market value has dropped from £1.5 billion during its peak to approximately £400 million, with signature Bayswater bags now costing over £895 compared to £495 five years ago. Industry analysts attribute this shift to CEO Bruno Guillon's strategy, developed during his tenure at Hermes, which prioritizes ultra-luxury positioning over accessibility. While expanding UK production through a new Somerset factory, Mulberry risks losing its domestic customer base as prices approach those of premium brands like Chanel (e.g., £4,500 for ostrich leather items). Fashion experts recommend adjusting prices to £200-600 ranges and refocusing on practical designs rather than celebrity-driven marketing. Alternatives like Jaeger's £299 Montalba Tote present competitive options for value-conscious luxury shoppers.","Чантите Mulberry, дълго смятани за връх на британското занаятчийство, се изправят пред проблеми след рязкото увеличение на цените, което отблъсква основните им клиенти. Стойността на марката е паднала от 1.5 милиарда лири на върха до около 400 милиона, като иконичният модел Bayswater вече струва над 895 лири вместо 495 лири преди пет години. Експерти смятат, че тази промяна е резултат от стратегията на изпълнителния директор Бруно Гийон, бивш ръководител в Hermes, която насочва марката към елитен лукс за сметка на достъпността. Въпреки разширяването на производството в Англия с нова фабрика в Съмърсет, Mulberry рискува да загуби традиционните си клиенти, тъй като цените им се доближават до тези на шампански марки като Chanel (напр. 4500 лири за чанти от щраусева кожа). Специалисти препоръчват цени в диапазона 200-600 лири и фокус върху практичен дизайн вместо реклама със знаменитости. Като алтернатива, моделът Montalba Tote на Jaeger за 299 лири предлага достъпен лукс за разумни хора.",🚨 Bag Alert! 👜 Mulberry's prices soaring higher than Alexa Chung's fame! 📈 Once-loved UK brand now pricing out loyal fans with £1k+ bags. Experts say 'Stick to British roots or lose the plot!' 💷 Alternative pick: Jaeger's chic tote under £300! #LuxuryFail #FashionEconomics,⚠️ Чантена тревога! 👜 Mulberry вдигат цените по-бързо от славата на Алекса Чънг! 💸 Иконичната британска марка вече е непосилна за обикновени хора с чанти над 1000лв. Експерти предупреждават: 'Връщайте се към корените или губете клиенти!' 💡 Алтернатива: Елегантни чанти Jaeger под 300лв! #СкъпЛукс #МоднаИкономика,bul,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/bul/CoI_24a9fcd7-e03f-47fe-b67e-5f397a23f961_bul_polish.json,eng,bul,eng,"[bul,eng]",eng,moderate,DialyNews,y,n,y,n
83a8ea4f-9182-49a2-a05a-3638053f0b4d,"Bank of England Governor Mark Carney has indicated that interest rate increases may occur in the lead-up to the 2015 general election, emphasizing economic factors over political considerations. While acknowledging the improving economy, Carney noted monetary policy adjustments would remain gradual despite reaching unemployment targets faster than anticipated. The central bank maintained its 0.5% base rate for over five years following the 2008 financial crisis, with potential increases now seen as 'a positive development' reflecting economic recovery. However, Carney stressed decisions would not be influenced by election timing, despite potential impacts on mortgage holders and savers. Regarding Scottish independence, Carney warned Royal Bank of Scotland might need to relocate under EU banking regulations if Scotland votes for separation. Analysis revealed Scottish deficit projections could be underestimated by £3 billion compared to independent assessments from Citi Group and UK Treasury. UK Scottish Secretary Alistair Carmichael described independence claims as 'lacking credibility', while shadow chancellor Ed Balls called for housing reforms to address regional market imbalances affecting monetary policy.","Губернаторът на Английската централна банка Марк Карни посочи, че повишаването на лихвите може да се случи преди изборите през 2015 г., като акцентира върху икономическите фактори, а не политическите съображения. Докато отбелязва подобрението в икономиката, Карни подчерта, че промените в монетарната политика ще останат постепенни, въпреки по-бързото постигане на целевите нива на безработица. Банката поддържа основен лихвен процент от 0.5% в продължение на пет години след кризата от 2008 г. Възможните увеличения сега се оценяват като 'положително развитие', отразяващо икономическо възстановяване. Карни обаче категорично заяви, че решенията няма да бъдат повлияни от изборните срокове. По отношение на шотландската независимост, Карни предупреди, че Royal Bank of Scotland може да се наложи да премести седалището си в съответствие с европейските регулации, ако Шотландия гласува за отделяне. Анализи сочат, че очакванията за бюджетен дефицит може да са подценени с близо 3 милиарда паунда спрямо независими изчисления. Министърът за Шотландия Алистър Кармайкъл определи икономическите твърдения на независимостта като 'безпочвени'. Опозиционният икономически говорител Ед Болс призова за реформи в жилищния пазар за решаване на регионални неравенства.",Bank of England signals possible rate hike before election 🏦📈 Governor Carney says economic recovery takes priority over political timing. Could impact mortgages & savings! #UKEconomy #BrexitPrecursor,Английската централна банка предупреди за възможни увеличения на лихвите преди избори 🏦📉 Губернаторът Карни: 'Икономическото възстановяване е приоритет'. Влияние върху ипотеки и спестявания! #Икономика #Политика,bul,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/bul/CoI_83a8ea4f-9182-49a2-a05a-3638053f0b4d_bul_rewrite_light.json,eng,bul,eng,bul,eng,light,DialyNews,y,n,y,n
06bdbd16-e7ae-4195-a770-371e723c7199,"(CNN) - The Shining Path (Sendero Luminoso), a Maoist guerrilla group that terrorized Peru in the 1980s before declining after leaders' 1990s captures, is showing signs of resurgence. Recent attacks include a November ambush killing 14 soldiers, described by rebel leadership as 'the strongest blow against the government in years.' Former US officials compare the group's persistence to horror movie villains, noting failed predictions of its demise. The conflict caused over 60,000 deaths between 1980-2000, with equal casualties from both rebels and government forces, per a 2003 commission. Despite 1992 leader Abimael Guzman's capture and faction splits, the group maintained ties to Peru's estimated 300,000 coca growers. Resurgence warnings materialized through attacks like the 2002 US Embassy bombing days before President Bush's visit (9 deaths) and a 2003 hostage crisis. Experts cite economic inequality, government failures, and drug trade alliances as revival factors. Retired General McCaffrey notes: '85% live in rudimentary conditions with perceived injustice.' Former President Fujimori, convicted this year for rights abuses, exemplifies governance challenges. The group's drug trafficking collaborations mirror Colombia's FARC model. Analysts stress the terrorism-drug trade nexus, urging sustained attention despite post-9/11 global shifts.","(CNN) - Групата 'Сияещ път' (Сендеро Луминосо), маоистка партизанска организация, която тероризира Перу през 80-те години, преди да отслабне след залавянето на лидерите си през 90-те, показва признаци на възраждане. Скорошни атаки включват засада през ноември с 14 убити войници, описана от бунтовници като 'най-силният удар срещу правителството от години.' Бивши американски дипломати сравняват упоритостта на групата с филмови злодеи, отбелязвайки несбъднати прогнози за нейния край. Според данни от 2003 г. конфликтът е причинил над 60 000 жертви между 1980-2000 г., с равни загуби от двете страни. Въпреки залавянето на лидера Абимаел Гусман през 1992 г. и последващите разцепления, групата поддържа връзки с около 300 000 производители на кока. Предупрежденията за възраждане се materializiraха с атаки като атентата срещу посолството на САЩ през 2002 г. (9 жертви), извършен дни преди посещението на президент Буш, и криза с взети заложници през 2003 г. Експерти посочват икономическо неравенство, правителствени провали и връзки с наркотрафика като ключови фактори. Генерал Маккafри коментира: '85% от населението живее в бедни условия с чувство за несправедливост.' Бившият президент Фухимори, осъден тази година за злоупотреби, илюстрира управленческите предизвикателства. Сътрудничеството на групата с наркотрафика наподобява модела на FARC в Колумбия. Аналитици подчертават неразривната връзка между тероризъм и наркотрафик, призовавайки за продължително внимание въпреки променените глобални приоритети след 11 септември.",🚨 #PeruSecurityAlert: Shining Path rebels resurface with deadly attacks! 💥 Experts warn of drug trade ties & social inequality fueling violence. From 60k deaths to embassy bombings - why history's repeating? #LatinAmericaSecurity #CounterTerrorism 🌎,🚨 #ПеруСигурност: 'Сияещ път' се завръща със смъртоносни атаки! 💥 Експерти свързват възраждането с наркотрафик и социални проблеми. От 60 хил. жертви до атентати - историята се повтаря? #БорбаСТероризма #ЛатинскаАмерика 🌎,bul,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/bul/CoI_06bdbd16-e7ae-4195-a770-371e723c7199_bul_polish.json,eng,"[bul,eng]",eng,"[bul,rus]",eng,moderate,DialyNews,y,n,y,n
5cc47f40-1550-4511-ac9b-ed3a602103f7,"(CNN) — For most of Paul Ramirez's life, only close acquaintances knew he lived with epilepsy. Ramirez, from Pasadena, California, was diagnosed at 22. Now 50, he's experienced seven grand mal seizures causing loss of consciousness, though often going years between episodes. 'I kept it private from extended family and friends. I felt ashamed,' Ramirez admitted. This changed in June while awaiting a neurology appointment to assess his driving eligibility. In the waiting room, Ramirez read a CNN article about U.S. Commerce Secretary John Bryson's seizure-related car accident, which discussed seizure prevalence and personal stories from epilepsy patients. 'It mirrored my life perfectly—inspiring and hopeful,' Ramirez said. He immediately emailed Nathan Jones, an Epilepsy Foundation of Greater Los Angeles staff member featured in the article, who responded before Ramirez's appointment ended. Their friendship blossomed through shared experiences. Ramirez later disclosed his condition to loved ones via email, including DMV license review details, receiving overwhelming support. 'A weight lifted,' he described. Ramirez became a Walk to End Epilepsy team captain and celebrated his 50th birthday by climbing Mt. Whitney in 15 hours while fundraising, wearing an 'End Epilepsy' shirt at the summit. 'This meant more than the climb itself,' he emphasized, pledging annual participation. Susan Pietsch-Escueta, the foundation's director, stresses the importance of visibility: 'We can't end epilepsy if people stay hidden.' Despite precautions, Ramirez maintains an active lifestyle including driving, skiing, and swimming. 'He won't let epilepsy limit him,' Jones noted. Ramirez reflects: 'I'm no longer embarrassed. This is just part of my life.'","(CNN) — През по-голямата част от живота си Пол Рамирес запазва епилепсията си в тайна от всички освен най-близките. Диагнозата му беше поставена на 22 години, а сега на 50 той е преживял седем гранд мал припадъка, водещи до загуба на съзнание, макар че понякога минават години между епизодите. 'Скривах я от далечни роднини и приятели. Срам ме беше,' признава Рамирес. Това се промени юни месец, докато чакаше неврологичен преглед за оценка на шофьорските му права. В чакалнята той прочете статия на CNN за автомобилния инцидент на министъра на търговията Джон Брайсън, свързан с припадък, която обсъждаше разпространението на епилепсия и лични истории от пациенти. 'Това беше огледало на моя живот — вдъхновяващо и даващо надежда,' заяви Рамирес. Той веднага изпрати имейл до Нейтън Джоунс от Фондацията за епилепсия в Голям Лос Анджелис, който отговори преди края на прегледа. Тяхната приятелска връзка се заздаде чрез споделени преживявания. По-късно Рамирес разкри състоянието си чрез имейл на близки, включително информация за преглед на шофьорската книжка, и получи масова подкрепа. 'Свалих тежък товар,' описва той. Рамирес стана капитан на отбор за 'Походът срещу епилепсията' и отпразнува 50-ия си рожден ден с изкачване на връх Уитни за 15 часа, докато събираше дарения, носейки тениска с 'Да сложим край на епилепсията' на върха. 'Това беше по-важно от самото изкачване,' подчерта той, обещавайки ежегодно участие. Сюзън Пич-Ескуета, директор на фондацията, подчерта: 'Няма да сложим край на епилепсията, ако хората се крият.' Въпреки предпазните мерки, Рамирес води активен живот, включително шофиране, ски и плуване. 'Той няма да позволи на епилепсията да го ограничи,' отбелязва Джоунс. Рамирес отбелязва: 'Вече не се срамня. Това е просто част от мен.'","Meet Paul: At 50, he climbed Mt. Whitney wearing 'End Epilepsy' gear after finding courage through a CNN article! 🏔️💜 His story shows the power of visibility—no more shame, just action. Join the #WalkToEndEpilepsy or share your #BrainDisorderJourney. #EpilepsyAwareness",Запознайте се с Пол: На 50 изкачи Уитни с тениска 'Да сложим край на епилепсията' след вдъхновяваща статия в CNN! 🏔️💜 Неговият пример доказва силата на споделянето. Присъединете се към #ПоходСрещуЕпилепсията или споделете вашата #ИсторияСНеврологичноЗаболяване. #СъзнателностЗаЕпилепсия,bul,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/bul/CoI_5cc47f40-1550-4511-ac9b-ed3a602103f7_bul_edit.json,eng,"[eng,bul]",eng,bul,eng,light,DialyNews,y,n,y,n
12dea160-4735-4199-9147-9a8afa525eb4,"Martha Stewart, 73, has disclosed her comprehensive approach to maintaining a youthful appearance through a strict 4 AM skincare regimen. Her routine combines high-end products like the $525 Cle De Peau La Crème with accessible options such as Johnson's Baby Oil for makeup removal. The lifestyle expert dedicates 7-30 minutes each morning to skincare, beginning with a Yon-Ka Gommage mask application. While some fans questioned the necessity of expensive products, Stewart stresses the importance of holistic health: '50% genetics and 50% sun protection, alcohol avoidance, exercise, and nutrition.' She prepares extensively for photoshoots through focused pre-event routines but maintains realistic expectations, stating: 'I could always improve, but perfection isn't the goal.'","Марта Стюарт (73) разкри всеобхватния си подход за поддържане на младежки вид чрез строг сутрещен грим-режим, започващ в 4 часа. Рутината ѝ включва както луксозни продукти (Cle De Peau La Crème за 525$), така и достъпни варианти като Johnson's Baby Oil за сваляне на грим. Експертката по начина на живот отделя между 7 и 30 минути сутрин за грижа за кожата, като започва с маска Yon-Ka Gommage. Докато някои фенове се съмняват в необходимостта от скъпи продукти, Стюарт подчертава ролята на цялостното здраве: '50% са гените, 50% - слънцезащита, избягване на алкохол, упражнения и балансирано хранене.' Тя се подготвя усилено за фотосесии със специални предварителни рутини, но отбелязва: 'Винаги има какво да се подобри, но перфектността не е целта нито за мен, нито за никого.'","✨ Ageless beauty secrets revealed! @MarthaStewart shares her 4 AM skincare routine mixing luxury faves ($525 cream! 💸) with budget steals 👶🍼 #SkincareDualism. '50% genes, 50% healthy habits' she says – who's trying that sunrise routine? 🌅 #AgingGoals","✨ Тайните за младежът на Марта Стюарт! @MarthaStewart споделя сутрешна рутина с луксозни продукти (крем за 525$! 💸) и бюджетни алтернативи 👶🍼 #ГрижаЗаКожата. '50% гени, 50% здравословни навици' казва тя – кой ще опита 4-сутерен ритуал? 🌅 #ЕлегантноСтареене",bul,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/bul/CoI_12dea160-4735-4199-9147-9a8afa525eb4_bul_polish.json,eng,"[bul,rus]",eng,"[bul,eng]",eng,moderate,DialyNews,y,n,y,n
43d40f13-aa65-4d25-a21d-6cabb807d652,"Twitter has implemented its country-specific content restriction policy for the first time, blocking access to a banned neo-Nazi group's account in Germany. This move follows months of pressure from authorities and civil society groups calling for stronger action against hate speech. The social media platform's legal chief Alex Macgillivray confirmed the decision via tweet, noting it aligns with their January policy update allowing regional content limitations. German police had demanded removal of Better Hannover's account after raiding the extremist group's headquarters on September 25 and seizing computers, weapons, and far-right propaganda materials. While free speech advocates acknowledge platforms' responsibility to curb dangerous content, organizations like the Anti-Defamation League argue Twitter lags behind peers in establishing clear hate speech policies. Recent anti-Semitic campaigns in France using Twitter hashtags have intensified these concerns. Lower Saxony's Interior Minister Uwe Schuenemann praised Twitter's responsiveness, stating: 'Combating far-right extremism online remains crucial to stopping the spread of toxic ideologies.' However, censorship watchdog Index on Censorship warns about the risks of privatized content regulation, emphasizing the need for narrow, legally-mandated restrictions rather than broad platform overreach. The group cited Google's recent legal challenges in Brazil over election-related content as an example of global moderation complexities.","Twitter за първи път прилага политиката си за локална цензура, блокирайки достъпа до акаунта на забранена неонацистка група в Германия. Това действие следва месеци натиск от властите и граждански организации за по-решителни мерки срещу омразата в интернет. Главният правен съветник на платформата Алекс Макгилврей потвърди решението чрез публикация в Twitter, посочвайки че то отговаря на януарската актуализация на политиките за регионални ограничения. Германската полиция поиска премахване на акаунта на 'По-добър Хановер' след обиск в седалището на екстремистката група на 25 септември, при който бяха конфискувани компютри, оръжия и пропаганден материал. Докато защитниците на свободния говор признават отговорността на платформите за ограничаване на опасни съдържания, организации като Антидифламационната лига твърдят, че Twitter изостава в създаването на ясни политики срещу омразни изказвания. Скорошни антисемитски кампании във Франция с хештъгове в Twitter засилиха тези притеснения. Министърът на вътрешните работи на Долна Саксония Уве Шюнеман похвали бързата реакция на Twitter, заявявайки: 'Борбата срещу крайнодесния екстремизъм онлайн остава решаваща за спиране на разпространението на токсични идеологии.' Въпреки това, организацията Index on Censorship предупреждава за рисковете от приватизирана интернет цензура, наблягайки на необходимостта от тесни, законово регламентирани ограничения вместо широкообхватни цензурни практики. Групата посочи скорошните правни предизвикателства на Google в Бразилия като пример за сложностите в глобалния модерационен процес.","Twitter takes historic step against hate speech in Germany, restricting neo-Nazi content for first time under new policy. Sparks global debate: Where should platforms draw the line? #FreeSpeechVsSafety #DigitalEthics","Twitter предприема историческа стъпка срещу омразата в Германия, блокирайки неонацистки съдържания. Где е границата между свобода на словото и онлайн безопасност? #СвободаНаРечта #Цензура",bul,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/bul/CoI_43d40f13-aa65-4d25-a21d-6cabb807d652_bul_rewrite_light.json,"[eng,deu,fra,por]",bul,eng,"[bul,rus]",eng,light,DialyNews,y,n,y,n
2aa6052b-729c-450a-85ba-fbb472a1222d,"For AT&T and T-Mobile customers seeking innovative smartphones, the Nothing Phone (2) now available on Amazon presents a compelling $700 alternative to conventional designs. As detailed in our review, this device combines premium features with unique aesthetics, challenging competitors like the Google Pixel 8. The Nothing Phone (2) addresses critical user needs with its 1920Hz PWM OLED display - significantly higher than the Pixel 8's 240Hz rate - making it ideal for sensitive users. Performance-wise, it surpasses Google's offering in processing power and battery efficiency, complemented by 45W fast charging that enables quicker recharge times compared to Pixel's 30W capability. Nothing demonstrates strong software commitment, currently testing Android 14 with anticipated user-requested features. The phone's distinctive transparent design remains functional through protective cases like Tudia's bumper options that maintain its luminous aesthetic.","За клиенти на AT&T и T-Mobile, които търсят иновативни смартфони, Nothing Phone (2) вече е достъпен в Amazon на цена от $700. Според нашия преглед устройството съчетава висококачествени функции с уникален дизайн, директно конкурирайки се с Google Pixel 8. С OLED дисплей с PWM честота 1920Hz (срещу 240Hz при Pixel 8), Nothing Phone (2) е идеален за потребители с чувствителни очи. Надминавайки Pixel 8 по производителност и автономност, телефонът поддържа 45W бързо зареждане - с 50% по-бързо от Google-овото решение. Nothing активно разработва софтуерни актуализации, като текущо тества Android 14 с нови функции. Уникалният прозрачен дизайн остава защитен с калъфи като Tudia bumper, запазвайки светещия естетичен ефект.","📱✨ Meet the game-changer! #NothingPhone2 now on Amazon at $700! 🚀 Brighter display, faster charging & unique design that outshines competitors. Perfect for sensitive eyes & power users alike! 🔋⚡ #TechInnovation #SmartphoneRevolution","📱✨ Ново ниво в смартфоните! #NothingPhone2 вече в Amazon за $700! 🚀 По-добър дисплей, бързо зареждане и уникален дизайн, който засенчва конкурентите. Идеален за чувствителни очи и активни потребители! 🔋⚡ #Технологии #Инновации",bul,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/bul/CoI_2aa6052b-729c-450a-85ba-fbb472a1222d_bul_polish.json,eng,bul,eng,"[bul,eng,rus]",eng,moderate,GlobalNews,y,n,y,n
4b90c154-438f-43cf-8b68-26531cb0ba2a,"Insurers face multi-million-pound compensation claims following a Financial Conduct Authority (FCA) report exposing systemic mis-selling of pension annuities. The regulator revealed companies used misleading sales tactics and complex documentation while failing to inform customers about better deals - costing retirees up to £230 million annually. Prompted by Money Mail's 2013 investigation, the FCA found 79% of pensioners could have secured higher payouts by comparing offers. Vulnerable groups, including those with health conditions, lost up to 40% potential income. Pensions Minister Steve Webb called proposed reforms 'potentially revolutionary', requiring insurers to comparison-shop for customers. The FCA mandated reviews of annuities sold since 2008, affecting 2.4 million policies. Cases like cancer patient Wayne Davies, who received inadequate compensation from Royal London and Prudential, demonstrate systemic failures. These findings contradict earlier claims by the Association of British Insurers that no code violations occurred. With new pension freedom reforms approaching in April, regulators aim to prevent future consumer exploitation through stricter sales practices and transparency requirements.","Застрахователите са изправени пред многомилионни обезщетения след доклад на Управлението за финансово поведение (FCA), който разкри системни злоупотреби при продажбата на пенсионни анюитети. Регулаторът установи, че компаниите използват подвеждащи тактики и сложна документация, без да информират клиентите за по-добри предложения - като загубите за пенсионерите достигат 230 млн. паунда годишно. След разследване на Money Mail от 2013 г., FCA откри, че 79% от пенсионерите биха получили по-високи доходи, ако бяха сравнили оферти. Уязвими групи, включително хора със здравословни проблеми, загубиха до 40% от потенциалния си доход. Министърът за пенсии Стийв Уеб определи предложените реформи като 'потенциално революционни', изисквайки застрахователите да съпоставят оферти вместо клиентите. FCA нареди преглед на всички анюитети, продадени след 2008 г., засягащ 2.4 млн. договора. Случаят на онкоболния Уейн Дейвис, получил недостатъчно обезщетение от Royal London и Prudential, илюстрира системни пропуски. Тези открития противоречат на твърденията на Асоциацията на британските застрахователи за липса на нарушения. С предстоящите реформи за пенсионна свобода през април, регулаторите целят да предотвратят бъдещи злоупотреби чрез по-строги изисквания за прозрачност при продажбите.",🚨 MILLIONS OWED TO PENSIONERS! 🚨 FCA exposes how insurers tricked savers into bad annuity deals costing £230M/year 💷💔 79% could've gotten better rates! 💸 #PensionJustice #FinancialFairness 💼 Retirees: Check if YOU'RE owed compensation! 👉,🚨 МИЛИОНИ ОБЕЗЩЕТЕНИЯ ЗА ПЕНСИОНЕРИ! 🚨 FCA разкри как застрахователите измамиха хората за лоши анюитети със загуби от 230М паунда/година 💷💔 79% са загубили по-добри условия! 💸 #ПенсионниИзмами #ФинансоваСправедливост 💼 Пенсионери: Проверете дали ИМАТе право на обезщетение! 👉,bul,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/bul/CoI_4b90c154-438f-43cf-8b68-26531cb0ba2a_bul_edit.json,eng,"[bul,eng]",eng,"[bul,eng]",eng,light,DialyNews,y,n,y,n
60453604-3a95-4567-9e6f-ba6a9e1981d3,"Anjelica Huston's 2013 memoir 'A Story Lately Told' chronicles her relationships with significantly older men, beginning with photographer Bob Richardson. At 18, she met 42-year-old Richardson during a 1969 Harper's Bazaar shoot for her father John Huston's film. Richardson's bipolar disorder and schizophrenia led to violent outbursts, including an incident where he threw a tequila bottle at her. This volatility drove Huston to slash her wrist at New York's Chelsea Hotel, asking, 'Will this make you love me?' Their relationship concluded after a near-fatal encounter with Mexican police. Earlier, 17-year-old Huston was manipulated by 28-year-old actor James Fox, who secretly dated another woman. Subsequent relationships included Jack Nicholson (1972-1989) and brief affairs with photographer David Bailey and actor Ryan O'Neal. The memoir connects this pattern to her parents' infidelity during her upbringing at Ireland's St Clerans estate. Notable interactions include 53-year-old Marlon Brando propositioning 16-year-old Huston and gifting her a Tahitian ring. Huston later found stability with sculptor Robert Graham, staying married until his 2008 death. The autobiography juxtaposes personal struggles with her acting achievements, including an Oscar win for 'Prizzi's Honor' (1985).","Анджелика Хюстън разкрива в мемоарите си 'Неотдавна разказана история' (2013) бурните си взаимоотношения с много по-възрастни мъже. На 18 години тя започва връзка с 42-годишния фотограф Боб Ричардсън по време на снимки за филма на баща ѝ Джон Хюстън. Психичните заболявания на Ричардсън предизвикват агресивни изблици, включително инцидент, при който Хюстън се наранява с бръснач в хотел 'Челси'. Връзката им приключва след опасен сблъсък с мексикански полицаи. Като 17-годишна ученичка, Хюстън преживява манипулативна връзка с 28-годишния актьор Джеймс Фокс. Последвалите ѝ романси с Джак Никълсън и други известни личности са повлияни от изневерите на родителите ѝ по време на нейното детство в Ирландия. Книгата описва и срещата ѝ с 53-годишния Марлон Брандо, който ѝ предлага да го посети в Таити. По-късно Хюстън намира стабилност в брака си със скулптора Робърт Греъм, който продължава до смъртта му през 2008 г. Мемоарите съчетават лични признания с кариерни постижения като наградата 'Оскар' за ролята във 'Фамилия Адамс'.",🔥 New memoir alert! Anjelica Huston spills on turbulent romances with older icons like Bob Richardson & James Fox. From a desperate wrist-cutting incident to dodging bullets in Mexico – it's all in 'A Story Lately Told'. 💔 #CelebMemoirs #OldHollywoodDrama,📖 Нови мемоари! Анджелика Хюстън разкрива бурни връзки с легенди като Боб Ричардсън и Джеймс Фокс. От самоповредяване в хотел 'Челси' до рисковани приключения в Мексико – всичко в 'Неотдавна разказана история'. 💔 #Мемоари #ХоливудскиДрами,bul,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/bul/CoI_60453604-3a95-4567-9e6f-ba6a9e1981d3_bul_polish.json,eng,bul,eng,bul,eng,moderate,DialyNews,y,n,y,n
