uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
1f46523d-1e1c-41eb-85d7-e8c62e2958ca,The High Court ruled that Communities Secretary Eric Pickles 'unlawfully discriminated' against gipsies by personally deciding on their settlement on green belt land. Mr Justice Gilbart found that Mr Pickles' department breached the 2010 Equality Act and the European Convention on Human Rights.,උසාවියේ තීරණය පරිදි ප්‍රජාවන් පිළිබඳ ලේකම් එරික් පිකල්ස් ජිප්සි ජනතාවට වෙනස්කම් කර ඇත. මැදිහත් වීමේ ප්‍රතිපත්තිය හේතුවෙන් මානව හිමිකම් උල්ලංඝනය වී ඇති බව නිඩුක්ති විනිසුරුතුමා සොයා ගන්නා ලදී.,Breaking: UK High Court rules Communities Secretary Eric Pickles 'unlawfully discriminated' against gipsies. #GipsyRights #Equality,'එරික් පිකල්ස් ජිප්සි ජනතාවට වෙනස්කම් කර ඇත' - උසාවියේ තීරණය. #ජිප්සිහිමිකම් #සමානාත්මතාව,sin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/sin/CoI_1f46523d-1e1c-41eb-85d7-e8c62e2958ca_sin_polish.json,eng,sin,eng,"[sin,eng]",eng,moderate,DialyNews,y,n,y,n
3fd4ffef-e45e-412c-a1f4-bb4bd94979fc,"The Duke and Duchess of Cambridge have named their baby son 'George Alexander Louis'. The name 'George' has significant historical weight in the British monarchy, having been the name of six kings. 'Alexander' is a popular name in Scotland, associated with historical figures like Alexander III. 'Louis' honors Lord Louis Mountbatten, a significant figure to the royal family.",කාමරේෂ්වර ආදිපාදවරයා සහ ආදිපාදවරිය තම පුත්‍රයාට 'ජෝර්ජ් ඇලෙක්සැන්ඩර් ලුවිස්' යන නම තැබූහ. 'ජෝර්ජ්' යන නම බ්‍රිතාන්‍ය රාජාවලියේ රජවරුන් හය දෙනෙකුගේ නම විය. 'ඇලෙක්සැන්ඩර්' යන නම ස්කොට්ලන්තයේ ජනප්‍රිය නමකි. 'ලුවිස්' යනු රාජකීය පවුලට වැදගත් චරිතයක් වූ ලෝඩ් ලුවිස් මවුන්ට්බැටන් වෙත ගෞරවයකි.,Meet Prince George of Cambridge! 'George Alexander Louis' is a name steeped in royal history #RoyalBaby #PrinceGeorge,'ජෝර්ජ් ඇලෙක්සැන්ඩර් ලුවිස්' යනු රාජකීය ඉතිහාසයෙන් පිරුණු නමකි #රාජකීය_කැම්බ්‍රිජ්_රජ කුමරු,sin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/sin/CoI_3fd4ffef-e45e-412c-a1f4-bb4bd94979fc_sin_edit.json,eng,sin,eng,"[sin,eng]",eng,light,DialyNews,y,n,y,n
973ab474-dd73-4ffd-8699-761c8f768b2a,"Nurse Esther Merrett witnessed the tragic incident involving Sri Lankan asylum seeker Leorsin Seemanpillai, who set himself on fire outside a unit in Geelong, Victoria. Merrett described the scene, 'All his skin was peeling off his limbs and he was really distressed.' She expressed deep sadness for Seemanpillai, who was her age. Refugee support worker Cathy Bond stated that Seemanpillai was anxious about his protection visa application.","එස්තර් මෙරෙට් සිරියාවෙන් පැමිණි අභයार्थී ලියෝර්සින් සීමන්පිල්ලෙයි ගීලොන්ග් හිදී ගින්නෙන් තුවාල ලබා දැක ඇත. මෙරෙට් පැවසුවේ, 'ඔහුගේ අත් පා වල සම ගැලවී ගොස් තිබූ අතර ඔහු ඉතා පීඩාවට පත්ව සිටියේය.' ඇය සීමන්පිල්ලෙයි වෙනුවෙන් ගැඹුරු ශෝකය ප්‍රකාශ කළාය. අභයාර්ථී සහයෝගී කැති බොන්ඩ් සීමන්පිල්ලෙයිගේ වීසා අයදුම්පත පිළිබඳව ඔහු තුළ තිබූ කනස්සල්ල හෙළි කළාය.",Tragic incident in Geelong: Sri Lankan asylum seeker Leorsin Seemanpillai sets himself on fire. Nurse Esther Merrett witnesses the horrific scene. 'All his skin was peeling off his limbs and he was really distressed.' #AsylumSeekers #RefugeeRights,ගීලොන්ග් හිදී සිදුවූ ඛේදනීය සිදුවීම: ශ්‍රී ලාංකික අභයාර්ථී ලියෝර්සින් සීමන්පිල්ලෙයි ගින්නෙන් තුවාල ලබා ඇත. මෙරෙට් සොහොයුරිය විසින් භයානක දර්ශනය දැක ඇත. 'ඔහුගේ සම ගැලවී ගොස් තිබූ අතර ඔහු ඉතා පීඩාවට පත්ව සිටියේය.' #අභයාර්ථීන් #සරණාගත_අයිතිවාසිකම්,sin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/sin/CoI_973ab474-dd73-4ffd-8699-761c8f768b2a_sin_polish.json,eng,sin,eng,sin,eng,moderate,DialyNews,y,n,y,n
49883375-e200-4afb-8a32-fe9aa18bbfe7,"A youth player for Russian club Anzhi Makhachkala was shot dead in Russia's North Caucasus on Sunday morning. Gasan Magomedov was driving home when his vehicle came under 'automatic gunfire,' the club stated. The 20-year-old's parents heard the gunfire and rushed to their wounded son, who died on the way to the hospital. The local police have yet to determine motives or suspects. The attack occurred in Dagestan, a region that has seen Islamist insurgency. Anzhi's general director, Sergey Korablev, said, 'We console with Gasan's family. I hope law enforcement will detect the murderers and they will receive just punishment. Despite efforts to destabilize the situation, we'll continue living and working for peaceful Dagestan.'","රුසියානු ක්ලබ් අන්ජි මක්හාච්කාලා හි තරුණ ක්‍රීඩකයෙකු රුසියාවේ උතුරු කොකේසස් කලාපයේදී ඉරිදා උදෑසන වෙඩි තබා ඝාතනය කරන ලදී. ගසන් මාගොමෙඩොව් තම නිවස වෙත ගමන් කරමින් සිටියදී ඔහුගේ වාහනයට වෙඩි තැබිණි. 20 හැවිරිදි තරුණයාගේ දෙමාපියන් වෙඩි හඬ ඇසී තුවාල ලද පුතු වෙත දිව ගියහ. ඔහු රෝහල වෙත ගෙන යන අතරතුර මිය ගියේය. දගෙස්තාන කලාපයේ මෙම ප්‍රහාරය සිදුවිය. අන්ජි හි සාමාන්‍ය අධ්‍යක්ෂ සර්ජි කොරබ්ලෙව් පැවසුවේ, 'අපි ගසන්ගේ පවුලේ අය සමඟ සංවේගය දක්වන්නෙමු. අපි බලාපොරොත්තු වන්නේ නීතිය ක්‍රියාත්මක කරන ආයතන මිනීමරුවන් හඳුනාගෙන දඬුවම් ලබා දෙනු ඇත. අපි සාමකාමී දගෙස්තාන සඳහා ජීවත් වෙමු සහ වැඩ කරන්නෙමු.'","Breaking: Gasan Magomedov, a young footballer from Anzhi Makhachkala, was tragically shot dead in Dagestan, Russia. #AnzhiMakhachkala #Dagestan #FootballTragedy",බිඳ වැටීම: අන්ජි මක්හාච්කාලා හි තරුණ ක්‍රීඩක ගසන් මාගොමෙඩොව් දගෙස්තාන හිදී වෙඩි තබා ඝාතනය කරන ලදී. #AnzhiMakhachkala #Dagestan #FootballTragedy,sin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/sin/CoI_49883375-e200-4afb-8a32-fe9aa18bbfe7_sin_edit.json,eng,"[sin,rus]","[eng,rus]",sin,eng,light,DialyNews,y,n,y,n
db7fd270-eb35-44e0-9f50-704b0d91eba3,"Kate Upton is reportedly unhappy that Victoria's Secret used her old photos in their new catalogue without her permission. The images, taken in 2011, feature Kate wearing Victoria's Secret's black Body bra. Kate, who wasn't contracted with Victoria's Secret, was not notified before the images were used. This comes as a surprise given that a Victoria's Secret representative previously stated they wouldn't use her, describing her look as 'too obvious'. Kate's popularity has risen significantly since the photos were taken, with her appearing on the covers of Vogue and Sports Illustrated.","කේට් අප්ටන් විරෝධය පළ කරන්නේ වික්ටෝරියා'ස් සීක්‍රට් ඔවුන්ගේ නව කැටලොග් එකේ ඇයගේ පැරණි ඡායාරූප භාවිතා කිරීම සම්බන්ධවයි. 2011 වසරේ ගත් ඡායාරූප වල ඇය වික්ටෝරියා'ස් සීක්‍රට්'ස් බ්‍රෑන්ඩ් එකේ කළු පැහැති බ්‍රා එකක් පැළඳ සිටියා. කේට් වික්ටෝරියා'ස් සීක්‍රට් සමඟ ගිවිසුම්ගතව නොසිටි අතර ඡායාරූප භාවිතා කිරීමට පෙර ඇයට දැනුම් දීමක් කර නොතිබුණා. වික්ටෝරියා'ස් සීක්‍රට් නියෝජිතයෙකු පෙර සඳහන් කර තිබුණේ ඇයව භාවිතා නොකරන බවයි, ඇයගේ පෙනුම 'ඕනෑවට වඩා පැහැදිලි' බව සඳහන් කරමින්.",Kate Upton is 'not thrilled' that Victoria's Secret used her old photos without permission! 'She wasn't contracted with them and wasn't notified.' #KateUpton #VictoriasSecret,වික්ටෝරියා'ස් සීක්‍රට් කේට් අප්ටන්ගේ පැරණි ඡායාරූප භාවිතා කිරීම ගැන ඇය සතුටු නැහැ! 'ඇය ඔවුන් සමඟ ගිවිසුම්ගතව නොසිටි අතර ඊට පෙර දැනුම් දීමක්ද කර නොතිබුණා.' #කේට්අප්ටන් #වික්ටෝරියාසීක්‍රට්,sin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/sin/CoI_db7fd270-eb35-44e0-9f50-704b0d91eba3_sin_polish.json,eng,sin,eng,sin,eng,moderate,DialyNews,y,n,y,n
e208c5c0-c423-4832-a1fc-8a6462fa61d2,"At 15, Beckii Handy was diagnosed with ovarian cancer, a condition typically found in women over 50. Despite being advised to have a hysterectomy, Beckii refused, determined to preserve her fertility. She underwent two types of chemotherapy and was given the all-clear in January 2012. Beckii has since collaborated with the Ellen MacArthur Cancer Trust to support young cancer survivors.",වයස 15 දී බෙකී හැන්ඩි ඩිම්බකෝෂ පිළිකාවක් හඳුනාගත් අතර ගර්භාෂය ඉවත් කිරීම ප්‍රතික්ෂේප කළාය. ඇය රසායනික චිකිත්සාවෙන් පසු සුවය ලැබුවාය. බෙකී එලන් මැක්ආර්තර් පිළිකා භාරය සමඟ සහයෝගයෙන් තරුණ පිළිකා රෝගීන්ට උපකාර කර තිබේ.,"Meet Beckii Handy, the 15-year-old who bravely fought ovarian cancer and refused a hysterectomy to keep her fertility! 'If I hadn't gone to the doctor, I probably wouldn't be here now.' #OvarianCancer #CancerSurvivor #FertilityMatters","බෙකී හැන්ඩි හමුවන්න, වයස 15 දී ඩිම්බකෝෂ පිළිකාවට එරෙහිව සටන් කළ සහ ඇගේ සරු බව රැකගැනීමට ගර්භාෂය ඉවත් කිරීම ප්‍රතික්ෂේප කළ තරුණිය! 'මම ඒ දවසේ දොස්තර ළඟට නොගියේ නම් මම අද මෙහි නැත.' #ඩිම්බකෝෂපිළිකා #පිළිකාපර survivor #සරුබව",sin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/sin/CoI_e208c5c0-c423-4832-a1fc-8a6462fa61d2_sin_rewrite_moderate.json,eng,sin,eng,sin,eng,moderate,DialyNews,y,n,y,n
079142b0-f89e-4822-8a90-710ebf433b5b,"Manchester United manager David Moyes is steadfast in his belief that his team can secure a Champions League spot. United are 11 points behind Arsenal in the fourth-place position. Despite the odds, Moyes remains committed to achieving the goal.","මැන්චෙස්ටර් යුනයිටඩ් කළමනාකරු ඩේවිඩ් මෝයිස් තම කණ්ඩායම චැම්පියන්ස් ලීග් තරඟාවලිය සඳහා සුදුසුකම් ලැබිය හැකි බවට දැඩි විශ්වාසයකින් පසුවේ. යුනයිටඩ් කණ්ඩායම සිව්වන ස්ථානයේ පසුවන ආසනල් කණ්ඩායමට ලකුණු 11කින් පසුපසින් සිටී. අවාසි සහිත තත්වයන් යටතේ වුවද, මෝයිස් තම ඉලක්කය සාක්ෂාත් කර ගැනීමට කැපවී සිටී.",Manchester United's David Moyes remains determined to secure a Champions League spot despite a tough season! #MUFC #ChampionsLeague,මැන්චෙස්ටර් යුනයිටඩ් කළමනාකරු ඩේවිඩ් මෝයිස් දුෂ්කර කාලයක් ගත කළද චැම්පියන්ස් ලීග් තරඟාවලිය සඳහා සුදුසුකම් ලැබීමට තවමත් කැපවී සිටී! #MUFC #ChampionsLeague,sin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/sin/CoI_079142b0-f89e-4822-8a90-710ebf433b5b_sin_rewrite_light.json,eng,sin,eng,"[sin,eng]",eng,light,DialyNews,y,n,y,n
85cac00f-7136-4f63-9a02-0689637c955f,"The grand opening of President George W. Bush's presidential library in Dallas, Texas, is set to be attended by President Obama and former presidents Jimmy Carter, George H.W. Bush, and Bill Clinton. The event provides an opportunity to reflect on Bush's legacy. As the presidents tour the museum, they'll encounter exhibits that highlight the ongoing debate surrounding his major policies. The coming years will significantly influence how history remembers Bush's time in office. There are four key questions surrounding his presidency. Firstly, how effective and just were Bush's counterterrorism policies? After 9/11, Bush invested heavily in counterterrorism, and his supporters argue that the lack of major attacks until recently was a significant achievement. However, the Boston Marathon bombing raised concerns about remaining vulnerabilities. The handling of the tip about Tamerlan Tsarnaev and the response to the Boston attack have sparked questions about security gaps. Additionally, the Guantanamo hunger strike has highlighted concerns about civil liberties and the legacy of Bush's programs. Secondly, what is the long-term impact of Bush's fiscal policies? Bush's tax cuts and increased spending on defense and domestic programs led to massive federal deficits. The economic record since 2001 has been mixed, with a financial collapse, recession, and slow recovery. Thirdly, did federal education standards improve the nation's schools? The No Child Left Behind Act imposed stringent standards, but its impact is debated. Many argue that it forced teaching to the test rather than promoting substance. Lastly, what were the results of engaging in pre-emptive wars? The wars in Afghanistan and Iraq were initially successful but had significant human and economic costs. The region remains in turmoil, and the outcome of these conflicts will shape Bush's legacy.","ජනාධිපති ජෝර්ජ් ඩබ්ලිව්. බුෂ්ගේ ජනාධිපති පුස්තකාලය ඩලස්, ටෙක්සාස්හිදී විවෘත කිරීම සඳහා ජනාධිපති ඔබාමා සහ හිටපු ජනාධිපතිවරුන් වන ජිමි කාටර්, ජෝර්ජ් එච්.ඩබ්ලිව්. බුෂ් සහ බිල් ක්ලින්ටන් සහභාගී වීමට නියමිතයි. මෙම අවස්ථාව බුෂ්ගේ උරුමය පිළිබඳව නැවත සිතා බැලීමට අවස්ථාවක් සලසයි. ජනාධිපතිවරුන් කෞතුකාගාරය වටා ඇවිදින විට, ඔවුන්ගේ ප්‍රධාන ප්‍රතිපත්ති අවට ඇති විවාදයන් ඉස්මතු කරන ප්‍රදර්ශන හමුවේ. ඉදිරි වසර කිහිපය තුළ ඉතිහාසය බුෂ්ගේ කාලය පිළිබඳව සිහිපත් කරන ආකාරය සැලකිය යුතු ලෙස බලපානු ඇත. ඔහුගේ ජනාධිපති ධූරය අවට ප්‍රධාන ප්‍රශ්න හතරක් තිබේ. පළමුව, බුෂ්ගේ ත්‍රස්තවාදයට එරෙහි ප්‍රතිපත්ති කෙතරම් ඵලදායී හා යුක්ති සහගතද? 9/11 ට පසු, බුෂ් ත්‍රස්තවාදයට එරෙහිව විශාල ලෙස ආයෝජනය කළ අතර, ඔහුගේ සහයෝගිතයින් තර්ක කරන්නේ මෑතක් වන තුරුම විශාල ප්‍රහාර නොමැති වීම සැලකිය යුතු ජයග්‍රහණයක් බවයි. කෙසේ වෙතත්, බොස්ටන් ම্যারතන් බෝම්බ ප්‍රහාරය ඉතිරිව ඇති අවදානම් පිළිබඳව ගැටළු මතු කළේය. තමර්ලන් ටසාර්නayev පිළිබඳ තොරතුර සහ බොස්ටන් ප්‍රහාරයට ප්‍රතිචාරය පිළිබඳව ආරක්ෂක හිඩැස් පිළිබඳව ප්‍රශ්න ඇති කර තිබේ. මීට අමතරව, ගුවන්තානමෝ හි හිරකරුවන්ගේ ආහාර වර්ජනය බුෂ්ගේ වැඩසටහන් වල උරුමය සහ පුරවැසි අයිතිවාසිකම් පිළිබඳ ගැටළු ඉස්මතු කර ඇත. දෙවනුව, බුෂ්ගේ මූල්‍ය ප්‍රතිපත්ති වල දිගුකාලීන බලපෑම කුමක්ද? බුෂ්ගේ බදු කප්පාදුව සහ ආරක්ෂක හා ගෘහස්ථ වැඩසටහන් සඳහා වැඩි වියදම් නිසා දැවැන්ත පederal ජ deficit ්‍යයක් ඇති විය. 2001 සිට ආර්ථික වාර්තාව මිශ්‍ර වී ඇති අතර, මූල්‍ය බිඳ වැටීම, ආර්ථික මන්දගාමී වීම සහ මන්දගාමී ප්‍රකෘතිය. තෙවනුව, ෆෙඩරල් අධ්‍යාපන ප්‍රමිතීන් රටේ පාසල් වැඩිදියුණු කළේද? කිසිදු දරුවෙකු පිටුපස නොතබන පනත දැඩි ප්‍රමිතීන් පනවන ලද නමුත් එහි බලපෑම විවාදයට ලක්ව ඇත. බොහෝ දෙනෙක් තර්ක කරන්නේ එය ද්‍රව්‍ය ප්‍රවර්ධනයට වඩා පරීක්ෂණයට උගන්වන ලෙස බල කළ බවයි. අවසාන වශයෙන්, පූර්ව යුද්ධ වලට එළඹීමේ ප්‍රතිඵල කුමක්ද? ඇෆ්ගනිස්ථානයේ හා ඉරාකයේ යුද්ධ මුලදී සාර්ථක වූ නමුත් මිනිස් හා ආර්ථික පිරිවැය සැලකිය යුතු විය. මෙම කලාපය තවමත් කැළඹීමක ඇති අතර මෙම ගැටුම් වල ප්‍රතිඵල බුෂ්ගේ උරුමය හැඩගස්වයි.","Discover the legacy of President George W. Bush at his presidential library's grand opening! 'Four key questions surround his presidency: counterterrorism effectiveness, fiscal policy impact, education reform success, and pre-emptive war outcomes. #BushLegacy #PresidentialLibrary'","'ජනාධිපති ජෝර්ජ් ඩබ්ලිව්. බුෂ්ගේ ජනාධිපති පුස්තකාලයේ විවෘත කිරීමේදී ඔහුගේ උරුමය සොයා ගන්න! 'ඔහුගේ ජනාධිපති ධූරය අවට ප්‍රධාන ප්‍රශ්න හතරක් තිබේ: ත්‍රස්තවාදයට එරෙහි ප්‍රතිපත්ති වල ඵලදායීතාව, මූල්‍ය ප්‍රතිපත්ති වල බලපෑම, අධ්‍යාපන ප්‍රතිසංස්කරණ සාර්ථකත්වය සහ පූර්ව යුද්ධ වල ප්‍රතිඵල. #BushLegacy #PresidentialLibrary'",sin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/sin/CoI_85cac00f-7136-4f63-9a02-0689637c955f_sin_rewrite_moderate.json,eng,sin,eng,"[sin,eng]",eng,moderate,DialyNews,y,n,y,n
d75fde06-a13f-44d4-8eaf-0bdb61eef41d,"'A 72-year-old retired councillor, Don Yates, received a staggering tax bill of almost £900,000 despite living on a modest pension and limited savings in his £80,000 terraced house in Chorley, Lancashire. Yates initially misread the first demand of £384,567.25 as £384 while recovering from flu. 'I was shocked upon realizing the actual amount was £576,850.85', Yates stated, noting he'd have to make weekly payments of £1 to meet the demand.","'වයස 72 ක් වන ඩොන් යේට්ස් නම් මහලු පුද්ගලයාට පවුම් 900,000 ක බදු ගෙවීමට සිදුව ඇති අතර එය ඔහුගේ සුළු වැටුප හා ඉතුරුම් සමඟ සැසඳීමේදී විශ්මයජනක ය' යේට්ස් පළමු ඉල්ලීම වන පවුම් 384,567.25 ක මුදල පවුම් 384 ලෙස සලකනු ලැබීය.","Shocking tax bill! 72-year-old Don Yates receives £900,000 demand despite living modestly on £11,000 a year. Is this a HMRC error? #TaxBill #PensionerProblems #HMRC","'පවුම් 11,000 ක වාර්ෂික ආදායමක් මත ජීවත් වන 72 හැවිරිදි ඩොන් යේට්ස් හට පවුම් 900,000 ක බදු ඉල්ලීමක්! මෙය HMRC දෝෂයක් ද? #බදු_බිල්පත් #මහලු_ගැටළු #HMRC'",sin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/sin/CoI_d75fde06-a13f-44d4-8eaf-0bdb61eef41d_sin_rewrite_light.json,eng,sin,eng,"[sin,eng]",eng,light,DialyNews,y,n,y,n
45364374-c104-4b47-9a33-2564872217e4,"Cristiano Ronaldo's doctor, Jose Carlos Noronha, warned him that playing on with a knee injury could endanger his football career. Ronaldo is under pressure to lead Portugal in their crucial World Cup match against the USA on Sunday. Ronaldo was seen limping out of training with his knee heavily strapped, raising concerns about his fitness.","ක්‍රිස්ටියානෝ රොනාල්ඩෝගේ වෛද්‍යවරයා, ජෝසේ කාලෝස් නොරොන්හා, ඔහුට අනතුරු ඇඟවූයේ දණහිස ආබාධය සමඟ ක්‍රීඩා කිරීම ඔහුගේ පාපන්දු ජීවිතයට හානි කළ හැකි බවයි. රොනාල්ඩෝ ඉරිදා ඇමරිකාව සමඟ ඇති තීරණාත්මක ලෝක කුසලාන මැච් එක සඳහා පෘතුගාලය මෙහෙයවීමට ඇති පීඩනය නිසා පීඩනයට ලක්ව ඇත. පුහුණුවීමේදී රොනාල්ඩෝගේ දණහිස බැඳ තිබූ අතර, ඔහු දණහිස රිදෙන ගතියෙන් යුතුව පුහුණුවීමෙන් ඉවත් විය.","Cristiano Ronaldo's injury woes continue! 'Let your knee rest, or your future is in danger,' doctor warns. Will he play against USA? #CristianoRonaldo #Portugal #WorldCup","'ඔබගේ දණහිසට විවේක ගන්න, නැත්නම් ඔබගේ අනාගතයට අනතුරක්', වෛද්‍යවරයා අනතුරු ඇඟවයි. ඇමරිකාව සමඟ මැච් එකට රොනාල්ඩෝ ක්‍රීඩා කරයිද? #ක්‍රිස්ටියානෝරොනාල්ඩෝ #පෘතුගාලය #ලෝකකුසලානය",sin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/sin/CoI_45364374-c104-4b47-9a33-2564872217e4_sin_rewrite_light.json,eng,sin,eng,sin,eng,light,DialyNews,y,n,y,n
