uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
955d5dbb-9df3-49ad-b93b-91a966d8579f,"Just a day after rescuing a labradoodle named Bode from oncoming traffic, defending Wimbledon champion Andy Murray handily won his first-round match.  The 27-year-old tennis star spotted Bode running towards traffic, stopped his car, retrieved the dog, and contacted the owner using the collar's information.  Murray then returned Bode to the owner's home, located near Murray's residence in Oxshott, Surrey.  On Monday, Murray defeated Belgian David Goffin in straight sets (6-1, 6-4, 7-5) on Centre Court, progressing to the second round where he will face Blaz Rola.  The dog's owner, Mary-Elizabeth, expressed her gratitude, calling Murray a 'hero'. Murray modestly downplayed the rescue, mentioning the dog's strength and his relief in reuniting it with its owner.  Murray's win was witnessed by his girlfriend, Kim Sears, his mother, Judy Murray, and his new coach, Amelie Mauresmo.","Всего через день после спасения лабрадудля по кличке Боде от столкновения с машиной, действующий чемпион Уимблдона Энди Маррей легко выиграл свой матч первого раунда. 27-летний теннисист заметил, как Боде бежит к дороге, остановил машину, поймал собаку и связался с владельцем, используя информацию на ошейнике. Затем Маррей вернул Боде владельцу, дом которого находится недалеко от дома Маррея в Оксшотте, графство Суррей. В понедельник Маррей победил бельгийца Давида Гоффена в трех сетах (6-1, 6-4, 7-5) на Центральном корте, пройдя во второй раунд, где он встретится с Блажем Ролой. Владелица собаки, Мэри-Элизабет, выразила свою благодарность, назвав Маррея 'героем'. Маррей скромно преуменьшил значение своего поступка, отметив силу собаки и свою радость от того, что он смог вернуть ее владельцу. За победой Маррея наблюдали его девушка Ким Сирс, мать Джуди Маррей и его новый тренер Амели Моресмо.",Not only a Wimbledon champ but a dog-saving hero too! Andy Murray rescued a labradoodle from traffic then aced his first-round match. What a legend! #Wimbledon #Hero #DogRescue,"Энди Маррей - не только чемпион Уимблдона, но и герой-спасатель собак! Спас лабрадудля от машины, а затем победил в первом раунде. Вот это легенда! #Уимблдон #Герой #СпасениеСобаки",rus,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/rus/CoI_955d5dbb-9df3-49ad-b93b-91a966d8579f_rus_rewrite_moderate.json,eng,rus,eng,rus,eng,moderate,DialyNews,y,n,y,n
f6891d7d-3c9e-4faf-a5cd-4c207adeeb70,"At least 38 people have died in mudslides on the Portuguese island of Madeira, approximately 600 miles southwest of mainland Portugal, after heavy downpours Saturday.  An unknown number of people remain missing.  Mudslides and flooding caused substantial damage in Funchal and Ribeira Brava. Portuguese Prime Minister Jose Socrates and Interior Minister Rui Pereira arrived in Madeira to offer government support.  President Cavaco Silva expressed condolences and pledged aid.  68 injured people were hospitalized, three in critical condition. Floodwaters overturned cars, downed trees, and displaced hundreds seeking shelter. Search and rescue efforts are ongoing, hampered by access issues. The Portuguese military has deployed teams and is providing shelter.  The rain has subsided, improving conditions.  Madeira is a popular tourist destination; no tourist casualties have been reported.","На португальском острове Мадейра, расположенном примерно в 965 километрах к юго-западу от материковой Португалии, в субботу после проливных дождей в результате оползней погибло по меньшей мере 38 человек. Неизвестное количество людей до сих пор числится пропавшими без вести. Оползни и наводнения причинили значительный ущерб в Фуншале и Рибейра-Брава. Премьер-министр Португалии Жозе Сократеш и министр внутренних дел Руи Перейра прибыли на Мадейру, чтобы предложить поддержку правительства. Президент Каваку Силва выразил соболезнования и пообещал помощь. 68 пострадавших были госпитализированы, трое из них находятся в критическом состоянии. Потоки воды переворачивали автомобили, валили деревья и вынуждали сотни людей искать убежища. Продолжаются поисково-спасательные работы, которым препятствуют проблемы с доступом. Португальские военные направили команды и предоставляют убежище. Дождь стих, условия улучшаются. Мадейра — популярное туристическое направление; о жертвах среди туристов не сообщалось.","Tragic mudslides hit Madeira, Portugal. At least 38 dead, many missing.  Rescue efforts underway. #MadeiraMudslides #Portugal #PrayForMadeira","Трагедия на Мадейре! Оползни унесли жизни, многие пропали без вести. Спасатели работают на месте. #Мадейра #Португалия #ПомощьМадейре",rus,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/rus/CoI_f6891d7d-3c9e-4faf-a5cd-4c207adeeb70_rus_edit.json,eng,rus,eng,rus,"[eng,por]",light,DialyNews,y,n,y,n
f80ab289-61f8-476e-9cc1-fd1bf2ce84cf,"'A suspected thief, wearing a Cookie Monster t-shirt, allegedly stole a rare, two-year-old leopard tortoise worth £160 from Zoar's Ark Garden Centre in Neath, Wales.  CCTV footage appears to show the suspect taking the tortoise from its enclosure and hiding it under his shirt before leaving the store. The owner, Martin Jones, expressed shock and horror upon discovering the theft.  The suspect is described as being between 25 and 35 years old, approximately 6ft tall, with a large build and long dark hair.'","'Предполагаемый вор в футболке с изображением печенькового монстра предположительно украл редкую двухлетнюю леопардовую черепаху стоимостью 160 фунтов стерлингов из садового центра ""Zoar's Ark"" в Нит, Уэльс.  На кадрах видеонаблюдения видно, как подозреваемый забирает черепаху из вольера и прячет ее под рубашкой, прежде чем покинуть магазин. Владелец, Мартин Джонс, выразил шок и ужас, обнаружив кражу.  Подозреваемый описывается как мужчина в возрасте от 25 до 35 лет, ростом около 180 см, крупного телосложения и с длинными темными волосами.'",'Cookie Monster thief steals rare tortoise! 😱  A £160 leopard tortoise was taken from a pet store in Wales.  Check out the CCTV footage! #tortoisethief #CookieMonster #petsafety','Вор в футболке с Печеньковым Монстром украл редкую черепаху! 😱 Леопардовая черепаха стоимостью 160 фунтов стерлингов была украдена из зоомагазина в Уэльсе. Смотрите кадры видеонаблюдения! #ворчерепах #ПеченьковыйМонстр #безопасностьпитомцев',rus,eng_x,gemini-1.5-pro,real_news,[1],/eng_x_r/gemini-1.5-pro/rus/CoI_f80ab289-61f8-476e-9cc1-fd1bf2ce84cf_rus_polish.json,eng,rus,eng,rus,eng,moderate,DialyNews,y,n,y,n
71188177-32b2-4b89-92c1-60e00e252a09,"In a Florida Walmart, a confrontation arose when Michael Foster, a 43-year-old white man, attacked Clarence Daniels, a 62-year-old black man legally carrying a concealed firearm. Foster, witnessing Daniels' holstered gun, followed him into the store and initiated a physical altercation without contacting authorities. During the struggle, Daniels asserted his legal right to carry, but Foster, aided by other shoppers, continued to restrain him. Upon arrival, Hillsborough County Sheriff's deputies discovered Daniels' permit and subsequently arrested Foster for battery. The incident sparked outrage among witnesses, questioning Foster's actions and the potential bias behind them.","В супермаркете Walmart во Флориде произошел конфликт, когда 43-летний белый мужчина по имени Майкл Фостер напал на 62-летнего чернокожего мужчину Кларенса Дэниелса, который легально носил скрытое огнестрельное оружие. Фостер, увидев оружие Дэниелса в кобуре, последовал за ним в магазин и начал физическую altercation, не связавшись с властями. Во время борьбы Дэниелс заявил о своем законном праве на ношение оружия, но Фостер, которому помогали другие покупатели, продолжал его удерживать. По прибытии сотрудники шерифа округа Хиллсборо обнаружили разрешение Дэниелса и впоследствии арестовали Фостера за нападение. Этот инцидент вызвал возмущение среди свидетелей, которые поставили под сомнение действия Фостера и возможную предвзятость, стоящую за ними.",Florida man attacks legal gun owner in Walmart!  Charged with battery after jumping a man with a permit.  What are your thoughts? #GunRights #FloridaMan #SecondAmendment #Walmart,Во Флориде мужчина напал на владельца оружия с лицензией в Walmart! Арестован за нападение. Ваши мысли? #ПравоНаОружие #Флорида #ВтораяПоправка #Walmart,rus,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/rus/CoI_71188177-32b2-4b89-92c1-60e00e252a09_rus_rewrite_moderate.json,eng,"[rus,eng]",eng,rus,eng,moderate,DialyNews,y,n,y,n
f2253cd9-239c-4ca2-bea5-ff33cd80f638,"'Divers exploring the wreckage of the Costa Concordia have potentially located additional human remains, bringing hope that the final two victims of the 2013 disaster can be identified.  The remains were discovered during recent dives following the successful righting of the vessel, which capsized off the coast of Giglio, Italy.  Authorities are conducting DNA testing to determine if the remains belong to missing passenger Maria Grazia Trecarichi or crew member Russel Rebello.  The families of both individuals have expressed their hope for identification and closure.  Meanwhile, the ship\'s captain, Francesco Schettino, faces trial for multiple charges, including manslaughter and abandoning ship.  The Concordia is scheduled to be towed away and scrapped next spring.'","'Водолазы, исследующие обломки судна \'Коста Конкордия\', возможно, обнаружили дополнительные человеческие останки, что вселяет надежду на то, что последние две жертвы катастрофы 2013 года могут быть опознаны. Останки были обнаружены во время недавних погружений после успешного возвращения судна в вертикальное положение, которое перевернулось у берегов острова Джильо, Италия. Власти проводят ДНК-тесты, чтобы определить, принадлежат ли останки пропавшей пассажирке Марии Грации Трекарики или члену экипажа Расселу Ребелло. Семьи обоих пропавших без вести выразили надежду на опознание и завершение этой трагической истории. Тем временем капитан судна Франческо Скеттино предстает перед судом по нескольким обвинениям, включая непредумышленное убийство и оставление судна. \'Коста Конкордия\' планируется отбуксировать и утилизировать следующей весной.'",'Divers may have found the last victims of the Costa Concordia!  DNA tests are underway. #CostaConcordia #shipwreck #Italy',"'Возможно, найдены последние жертвы \'Коста Конкордии\'! Проводятся ДНК-тесты. #CostaConcordia #крушение #Италия'",rus,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/rus/CoI_f2253cd9-239c-4ca2-bea5-ff33cd80f638_rus_rewrite_complete.json,eng,rus,eng,rus,eng,complete,DialyNews,n,y,y,n
584fa52a-4447-4749-a682-3b3836b8ea8b,"'WASHAKIE COUNTY, Wyoming (CNN) -- Federal agents apprehended accused child molester Edward Eugene Harper, who was on the FBI's Ten Most Wanted Fugitives list, an FBI official said Thursday. Harper, 63, is accused of molesting two girls, ages 3 and 8, in Hernando, Mississippi, over a decade ago. The FBI received a tip in June at its Denver office regarding Harper's whereabouts and deployed a SWAT team and hostage negotiation team to apprehend him in rural Wyoming on Thursday. He surrendered without incident and later admitted his identity. Harper was living in a truck camper in the Big Horn Mountains of Washakie County. He had been living a nomadic lifestyle, moving frequently and working odd jobs, including herding sheep.  Harper was indicted in April 1994 on charges including conspiracy to commit sexual battery, fondling a child, and sexual battery.  He failed to appear for a court hearing, and a warrant was issued for his arrest in October 1994. He was later charged with unlawful flight to avoid prosecution. The FBI added him to its Ten Most Wanted Fugitives list last year.  Prior to living in Mississippi, Harper worked as a ranch hand in Montana and Wyoming. He also worked as a truck driver.  According to the FBI, Harper subscribed to 'sovereign citizen' ideology and claimed to be a member of the Montana Freemen.  This group largely disintegrated after a 1996 standoff with federal agents.'","'Округ Уошаки, Вайоминг (CNN) - Федеральные агенты задержали обвиняемого в растлении малолетних Эдварда Юджина Харпера, который находился в списке десяти самых разыскиваемых преступников ФБР, заявил в четверг представитель ФБР. Харпер, 63 года, обвиняется в растлении двух девочек 3 и 8 лет в Хернандо, штат Миссисипи, более десяти лет назад. ФБР получило наводку в июне в своем денверском офисе относительно местонахождения Харпера и направило команду SWAT и группу по ведению переговоров с заложниками, чтобы задержать его в сельской местности Вайоминга в четверг. Он сдался без инцидентов и позже подтвердил свою личность. Харпер жил в автофургоне в горах Биг-Хорн округа Уошаки. Он вел кочевой образ жизни, часто переезжая и выполняя случайные работы, включая выпас овец. Харпер был обвинен в апреле 1994 года по обвинениям, включая сговор с целью совершения сексуального насилия, ласки ребенка и сексуального насилия. Он не явился на судебное заседание, и в октябре 1994 года был выдан ордер на его арест. Позже ему было предъявлено обвинение в незаконном бегстве от судебного преследования. ФБР добавило его в список десяти самых разыскиваемых преступников в прошлом году. До проживания в Миссисипи Харпер работал на ранчо в Монтане и Вайоминге. Он также работал водителем грузовика. По данным ФБР, Харпер придерживался идеологии «суверенного гражданина» и утверждал, что является членом «Свободных людей Монтаны». Эта группа в значительной степени распалась после противостояния с федеральными агентами в 1996 году.'","'Accused child molester Edward Eugene Harper, on the FBI's Ten Most Wanted list, has been captured in Wyoming!  #FBI #MostWanted #ChildMolester #Justice'","'Обвиняемый в растлении малолетних Эдвард Юджин Харпер, из списка десяти самых разыскиваемых ФБР, был пойман в Вайоминге! #ФБР #СамыйРазыскиваемый #РастлениеМалолетних #Правосудие'",rus,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/rus/CoI_584fa52a-4447-4749-a682-3b3836b8ea8b_rus_edit.json,eng,rus,,rus,eng,light,DialyNews,y,n,y,n
5a498596-ed58-4841-94ff-1f5f051e6354,"Every March, inhabitants of villages nestled at the foot of Mexico's formidable Popocatepetl volcano embark on a unique pilgrimage.  Ascending the 17,886-foot slopes, they carry offerings of food and drink, including grapes, corn, watermelon, chicken, and tequila, to appease the fiery giant they call 'Don Goyo.' Their plea?  To be spared from the volcano's devastating eruptions.  Originating from towns like Santiago Xalintzintla, Tlamacas, and San Nicolas de Los Ranchos, hundreds participate in this day-long ritual. The air vibrates with the melodies of clarinets, trombones, tubas, and drums, blending with the fervent prayers and spirited dancing of the pilgrims.  This vibrant celebration reflects the community's deep respect and underlying apprehension for the active volcano, a constant presence in their lives. As night descends, they retrace their steps down the mountain, their hopes pinned on 'Don Goyo's' continued peace.","Каждый март жители деревень, расположенных у подножия грозного мексиканского вулкана Попокатепетль, совершают уникальное паломничество. Поднимаясь по склонам высотой 5452 метра, они несут дары еды и напитков, включая виноград, кукурузу, арбузы, курицу и текилу, чтобы умилостивить огненного гиганта, которого они называют 'Дон Гойо'. Их мольба? Быть избавленными от разрушительных извержений вулкана.  Сотни людей из таких городов, как Сантьяго-Шалинцинла, Тламакас и Сан-Николас-де-лос-Ранчос, участвуют в этом ритуале, который длится целый день. Воздух вибрирует от мелодий кларнетов, тромбонов, туб и барабанов, смешиваясь с пылкими молитвами и энергичными танцами паломников. Это яркое празднование отражает глубокое уважение и скрытое опасение жителей перед действующим вулканом, постоянным присутствием в их жизни. С наступлением ночи они спускаются с горы, возлагая надежды на continued мир и покой 'Дона Гойо'.",Check out this incredible tradition in Mexico! Villagers climb a volcano with offerings to appease 'Don Goyo' and pray for protection from eruptions. #VolcanoPilgrimage #Mexico #Tradition #DonGoyo,"Невероятная традиция в Мексике! Жители деревень поднимаются на вулкан с дарами, чтобы умилостивить 'Дона Гойо' и молятся о защите от извержений. #ПаломничествоНаВулкан #Мексика #Традиция #ДонГойо",rus,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/rus/CoI_5a498596-ed58-4841-94ff-1f5f051e6354_rus_rewrite_complete.json,eng,"[rus,eng]",eng,rus,eng,complete,DialyNews,n,y,y,n
fbe606f9-6b1a-44ba-bf37-67942c48b8d1,"'Radio personality Don Imus recounted a conversation with Dr. Gwen Korovin, Joan Rivers\' throat doctor, in which he unknowingly questioned her about Rivers\' death.  Unaware of Dr. Korovin\'s presence during the procedure, Imus asked about the \'idiot\' who accompanied Rivers to the clinic. Dr. Korovin, a well-known specialist treating celebrities like Hugh Jackman and Lady Gaga, offered no response. Rivers passed away following a throat biopsy at Yorkville Endoscopy, reportedly due to swollen vocal cords that restricted oxygen flow, leading to cardiac arrest.  Imus expressed surprise at Dr. Korovin\'s involvement in the biopsy, noting she had previously referred him to a different doctor for a similar issue. While expressing continued faith in Dr. Korovin, Imus questioned why she would perform a biopsy on Rivers when she hadn\'t on him.  Allegations have surfaced claiming Dr. Korovin took a selfie with an unconscious Rivers, and that she wasn\'t authorized to perform the procedure. However, Imus defended her, stating his disbelief.  Rivers was rushed to Mount Sinai hospital after the procedure but never recovered.'","'Радиоведущий Дон Имус рассказал о разговоре с доктором Гвен Коровин, лечащим врачом горла Джоан Риверс, в котором он неосознанно расспрашивал ее о смерти Риверс. Не зная о присутствии доктора Коровин во время процедуры, Имус спросил об \'идиоте\', который сопровождал Риверс в клинику. Доктор Коровин, известный специалист, лечащий таких знаменитостей, как Хью Джекман и Леди Гага, не дала никакого ответа. Риверс скончалась после биопсии горла в клинике \'Йорквилл Эндоскопи\', предположительно из-за отека голосовых связок, который ограничил поток кислорода, что привело к остановке сердца. Имус выразил удивление по поводу участия доктора Коровин в биопсии, отметив, что ранее она направила его к другому врачу по аналогичному вопросу. Выражая неизменную веру в доктора Коровин, Имус задавался вопросом, почему она сделала биопсию Риверс, когда не сделала ее ему. Появились утверждения, что доктор Коровин сделала селфи с находящейся без сознания Риверс, и что она не была авторизована для выполнения этой процедуры. Однако Имус защищал ее, заявляя о своем недоверии к этим обвинениям. Риверс была доставлена в больницу \'Маунт Синай\' после процедуры, но так и не пришла в себя.'","'Radio host Don Imus accidentally grilled Joan Rivers\' doc about her death, not realizing the doc was involved!  Awkward much? #JoanRivers #DonImus #MedicalMystery'","'Радиоведущий Дон Имус случайно допросил врача Джоан Риверс о ее смерти, не зная, что врач был причастен! #ДжоанРиверс #ДонИмус #МедицинскаяТайна'",rus,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/rus/CoI_fbe606f9-6b1a-44ba-bf37-67942c48b8d1_rus_rewrite_moderate.json,eng,rus,eng,rus,eng,moderate,DialyNews,y,n,y,n
bc94c8ba-1bc3-4ec4-921c-bc74183ae7f1,"For 25 years, Colonel Gaddafi maintained that his adopted daughter, Hana, was killed in a U.S. airstrike in 1986. He even created a memorial to her in his Tripoli compound. However, discovered documents and photographs suggest a different narrative.  Evidence implies Hana survived the attack, studied medicine in Tripoli, and may be a practicing physician.  She even took English courses at the British Council in Tripoli, achieving an 'A' grade.  A medical exam paper bearing her signature and a passport photo corroborate this possibility.  Further, photos show her with Gaddafi's biological daughter, Aisha. Gaddafi's Tripoli compound contained a room seemingly belonging to Hana, filled with everyday items like a 'Sex and the City' DVD set, music CDs, and even cellulite treatments.  Medical textbooks and photos of a young woman in medical attire were also found. Earlier this year, 'Die Welt' reported Hana's involvement in the Libyan health ministry, suggesting she holds a position of influence.  The 1986 airstrike, ordered by President Reagan, was a response to the Berlin nightclub bombing.  Gaddafi leveraged the alleged death of Hana to garner anti-Western sentiment and public sympathy.  Interestingly, when the Gaddafi family's assets were frozen in Switzerland during the 2011 uprisings, Hana was listed as a family member, born in 1985.","Полковник Каддафи 25 лет утверждал, что его приемная дочь Хана погибла в результате авиаудара США в 1986 году. Он даже создал ей мемориал в своем Триполитанском комплексе. Однако обнаруженные документы и фотографии предполагают иную версию событий.  Существуют доказательства того, что Хана пережила нападение, изучала медицину в Триполи и, возможно, является практикующим врачом. Она даже посещала курсы английского языка в Британском Совете в Триполи, получив оценку 'отлично'.  Медицинский экзаменационный лист с ее подписью и фотография из паспорта подтверждают эту возможность. Кроме того, есть фотографии, на которых она изображена вместе с родной дочерью Каддафи, Аишей. В Триполитанском комплексе Каддафи была обнаружена комната, по-видимому, принадлежавшая Хане, заполненная такими повседневными предметами, как DVD-диски 'Секс в большом городе', музыкальные компакт-диски и даже средства от целлюлита.  Также были найдены медицинские учебники и фотографии молодой женщины в медицинской одежде. Ранее в этом году газета 'Die Welt' сообщила об участии Ханы в работе Министерства здравоохранения Ливии, предполагая, что она занимает влиятельную должность. Авиаудар 1986 года, санкционированный президентом Рейганом, был ответом на взрыв в берлинском ночном клубе. Каддафи использовал предполагаемую смерть Ханы, чтобы вызвать антизападные настроения и общественное сочувствие. Интересно, что, когда активы семьи Каддафи были заморожены в Швейцарии во время восстаний 2011 года, Хана была указана в документах как член семьи, родившаяся в 1985 году.","Is Hana Gaddafi alive? 😲 Documents suggest Gaddafi's daughter, thought killed in '86, may be a doctor! #Gaddafi #Libya #FakeNews","Хана Каддафи жива? 😲 Документы указывают, что дочь Каддафи, которую считали погибшей в '86, может быть врачом! #Каддафи #Ливия #ФейковыеНовости",rus,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/rus/CoI_bc94c8ba-1bc3-4ec4-921c-bc74183ae7f1_rus_rewrite_light.json,"[eng,deu]","[rus,deu,eng]",eng,rus,"[eng,deu,ara]",light,DialyNews,y,n,y,n
1c19c21f-5760-4704-826a-70519bb976e8,"'The much-anticipated sequel to the smash-hit mobile game 'Infinity Blade' has arrived. 'Infinity Blade 2', released today for both iPhone and iPad, is poised to further disrupt the portable gaming landscape.  Initially dismissed as too good to be true, the original 'Infinity Blade' became a phenomenal success, earning $10 million and claiming the title of fastest-selling iPhone game ever.  This sequel is expected to build on that success, leveraging Apple's powerful A5 processor found in the iPhone 4S and iPad 2 to deliver stunning 3D graphics.  The game's developers, Epic Games, known for console hits like 'Gears of War 3', have crafted a visually impressive experience.  'Infinity Blade 2' enhances the original's combat system with faster-paced action and the addition of magical spells, cast by drawing runes on the touchscreen. Reviewers are already praising the game, with TouchArcade highlighting its innovative use of touchscreen controls. Metacritic gives it an average score of 95%. This sequel expands upon the original's cryptic storyline, introducing new characters and locations, including a crossbow-wielding heroine and Asian-inspired settings. It delves deeper into the world of the Deathless tyrants and their Titan legions.  A companion book by fantasy author Brandon Sanderson adds further depth to the game's lore.  Get ready to embark on a thrilling adventure with 'Infinity Blade 2', available now.'","'Долгожданное продолжение мобильной игры-хита 'Infinity Blade' уже здесь. 'Infinity Blade 2', выпущенная сегодня для iPhone и iPad, готова еще больше изменить рынок портативных игр. Изначально воспринимавшаяся как слишком красивая, чтобы быть правдой, оригинальная 'Infinity Blade' стала феноменальным успехом, заработав 10 миллионов долларов и завоевав титул самой продаваемой игры для iPhone за всю историю. Ожидается, что продолжение закрепит этот успех, используя мощный процессор Apple A5, установленный в iPhone 4S и iPad 2, для обеспечения потрясающей 3D-графики. Разработчики игры, Epic Games, известные по таким консольным хитам, как 'Gears of War 3', создали визуально впечатляющий продукт. 'Infinity Blade 2' улучшает боевую систему оригинала, предлагая более динамичные действия и добавляя магические заклинания, которые активируются рисованием рун на сенсорном экране. Критики уже хвалят игру, а TouchArcade отмечает инновационное использование сенсорного управления. Metacritic дает ей средний балл 95%. Это продолжение развивает загадочный сюжет оригинала, вводя новых персонажей и локации, включая героиню с арбалетом и места действия, вдохновленные азиатской культурой. Игра углубляется в мир бессмертных тиранов и их легионов титанов. Сопутствующая книга автора фэнтези Брэндона Сандерсона добавляет еще больше глубины истории игры. Приготовьтесь отправиться в захватывающее приключение с 'Infinity Blade 2', доступной уже сейчас.'",'Infinity Blade 2 IS HERE! Get ready to slice and dice your way through stunning graphics and epic battles! #InfinityBlade2 #MobileGaming #iOSGaming','Infinity Blade 2 УЖЕ ЗДЕСЬ! Готовьтесь к захватывающим сражениям и потрясающей графике! #InfinityBlade2 #МобильныеИгры #iOSИгры',rus,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/rus/CoI_1c19c21f-5760-4704-826a-70519bb976e8_rus_rewrite_light.json,eng,rus,eng,"[eng,rus]",eng,light,DialyNews,y,n,y,n
