uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
d5289265-86c6-41b6-862b-45556e9b7061,"At least 80 people, including 22 Indian army personnel, are missing in Sikkim after a cloud burst caused severe flash floods. Ten deaths have been confirmed. The cloud burst occurred upstream of a lake, leading to a rise in the Teesta River's water level in Lachen Valley. Additional water from a nearby dam worsened the situation. Two bridges connecting the northern region to the rest of Sikkim were washed away. The Indian defence ministry has launched a search and rescue operation. Sikkim is prone to floods and natural disasters.","સિક્કિમમાં વાદળ ભંગાણને કારણે ભારે બाढ આવી છે, જેમાં 22 ભારતીય સૈન્ય કર્મચારીઓ સહિત ઓછામાં ઓછા 80 લોકો ખોવાય ગયા છે. દસ લોકોના મૃત્યુની પુષ્ટિ થઈ છે. લાચેન ખીણમાં તીસ્તા નદીના પાણીના સ્તરમાં વધારો થયો છે. નજીકના બંધમાંથી વધારાનું પાણી છોડવાથી પરિસ્થિતિ વધુ વણસી છે. સિક્કિમના ઉત્તરીય પ્રદેશને બાકીના રાજ્ય સાથે જોડતા બે પુલ વહી ગયા છે. ભારતીય સંરક્ષણ મંત્રાલયે શોધ અને બચાવ કામગીરી શરૂ કરી છે. સિક્કિમ બाढ અને કુદરતી આપત્તિઓ માટે સંવેદનશીલ છે.","Flash floods in Sikkim! At least 80 people, including 22 Indian army personnel, are missing. Rescue ops underway! #SikkimFloods #RescueMission","સિક્કિમમાં બाढ! ઓછામાં ઓછા 80 લોકો, જેમાં 22 ભારતીય સૈન્ય કર્મચારીઓનો સમાવેશ થાય છે, ખોવાય ગયા છે. બચાવ કામગીરી ચાલુ છે! #સિક્કિમબाढ #બચાવકાર્ય",guj,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/guj/CoI_d5289265-86c6-41b6-862b-45556e9b7061_guj_polish.json,eng,guj,eng,guj,eng,moderate,GlobalNews,y,n,y,n
dde93053-36e4-488f-8ac2-810708d62c73,"The European Court of Justice has ruled that LEGO cannot trademark its iconic plastic brick. The court's decision supports Mega Brands' argument that the brick's shape is necessary for its technical function. LEGO had obtained a trademark for the brick in 1999, but this has now been revoked. LEGO is concerned that the ruling will confuse customers and dilute its brand identity.","યુરોપિયન કોર્ટ ઓફ જસ્ટિસના નિર્ણયથી LEGOની પ્રખ્યાત પ્લાસ્ટિક ઇંટને ટ્રેડમાર્ક કરવાની અરજી નકારવામાં આવી છે. કોર્ટના નિર્ણયથી Mega Brandsની દલીલને બળ મળ્યું છે કે ઇંટનો આકાર તેના તકનીકી કાર્ય માટે આવશ્યક છે. LEGOને 1999માં ઇંટ માટે ટ્રેડમાર્ક મળ્યો હતો, જે હવે રદ થયો છે. LEGO ચિંતિત છે કે આ નિર્ણયથી ગ્રાહકોમાં મૂંઝવણ થશે અને તેની બ્રાન્ડ ઓળખ નબળી પડશે.",Breaking: LEGO loses trademark battle over its iconic brick! 'Consumers will be misled' says LEGO. #LEGO #Trademark #MegaBrands,ખબર: LEGOની પ્રખ્યાત ઇંટ પરના ટ્રેડમાર્ક યુદ્ધમાં LEGOને હાર મળી! 'ગ્રાહકો મૂંઝવણમાં મુકાશે' એવું LEGO કહે છે. #LEGO #ટ્રેડમાર્ક #MegaBrands,guj,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/guj/CoI_dde93053-36e4-488f-8ac2-810708d62c73_guj_rewrite_moderate.json,eng,guj,eng,"[guj,eng]",eng,moderate,DialyNews,y,n,y,n
28cdee2d-f9d0-4b76-920d-120cfbe65064,"This year, the Emmy Awards follow New York Fashion Week. How does the red carpet compare to the runway? 'The Spring and Fall collections were all about loose shapes and subtle, restrained sensuality,' says Hal Rubenstein, InStyle Fashion Director and author of '100 Unforgettable Dresses.' 'On the other end of the spectrum, 10 out of 10 celebrities we loved on the Emmy's red carpet are wearing body-conscious gowns.' Sofia Vergara wore a curve-hugging scarlet Vera Wang gown. Julianna Margulies wore a strapless white Armani Privé gown with a jewel-dotted bodice. Minka Kelly chose a navy Christian Dior gown with lace sleeves. Nina Dobrev wore a strapless, form-fitting red Donna Karan gown. Evan Rachel Wood wore a black sequin Elie Saab gown. Kerry Washington wore a red beaded, strapless Zuhair Murad gown. Kristen Wiig wore a cinched waist, chocolate ombré Zac Posen design. Amy Poehler accessorized her glittering blue Peter Som gown with ball drop earrings. Julie Bowen wore a metallic Oscar de la Renta gown. Kate Winslet wore a vibrant, curve-conscious Elie Saab dress.","આ વર્ષે એમી એવોર્ડ્સ ન્યૂયોર્ક ફેશન વીક પછી યોજાય છે. રેડ કાર્પેટની ફેશન રનવે સાથે કેવી રીતે સરખામણી કરે છે? 'સ્પ્રિંગ અને ફોલ કલેક્શન્સ ઢીલા આકારો અને સૂક્ષ્મ સંવેદનાત્મકતા વિશે હતા,' ઇન્સ્ટાઇલ ફેશન ડિરેક્ટર હલ રુબેનસ્ટીન કહે છે. સોફિયા વર્ગારાએ વક્ર સ્કાર્લેટ વેરા વાંગ ગાઉન પહેર્યું. જુલિયાના માર્ગુલીસે રત્નોથી જડેલા બોડિસ સાથે સ્ટ્રેપલેસ વ્હાઇટ અરમાની પ્રિવે ગાઉન પહેર્યો. મિન્કા કેલીએ લેસ સ્લીવ્ઝ સાથે નેવી બ્લુ ક્રિશ્ચિયન ડિયોર ગાઉન પસંદ કર્યું. નીના ડોબ્રેવ સ્ટ્રેપલેસ, ફોર્મ-ફિટિંગ રેડ ડોના કરન ગાઉનમાં શોભાયમાન લાગી. ઇવાન રશેલ વુડે બ્લેક સિક્વિન એલી સાબ ગાઉન પહેર્યો. કેરી વોશિંગ્ટને રેડ બીડેડ, સ્ટ્રેપલેસ ઝુહેર મુરાદ ગાઉન પહેર્યો. ક્રિસ્ટન વિગે સિન્ચ્ડ વેસ્ટ, ચોકલેટ ઓમ્બ્રે ઝેક પોસેન ડિઝાઇન પહેર્યું. એમી પોહલરે તેમના ચમકતા વાદળી પીટર સોમ ગાઉનને બોલ ડ્રોપ ઇયરિંગ્સ સાથે સજ્જ કર્યું. જુલી બોવેને મેટાલિક ઓસ્કાર ડી લા રેન્ટા ગાઉન પહેર્યો. કેટ વિન્સલેટે વાઇબ્રન્ટ, કર્વ-કોન્સિયસ એલી સાબ ડ્રેસ પહેર્યો.","Here's the scoop on the Emmy's red carpet: Celebs traded loose runway styles for body-conscious gowns! '10 out of 10 celebrities we loved are wearing body-conscious gowns,' says Hal Rubenstein. #Emmys #RedCarpet #Fashion","'એમી એવોર્ડ્સ રેડ કાર્પેટ પર સેલિબ્રિટીઓએ બોડી-કોન્સસ ગાઉન્સ પહેર્યા! હલ રુબેનસ્ટીન કહે છે, 'અમે પ્રેમ કરેલા 10 માંથી 10 સેલિબ્રિટીઝ બોડી-કોન્સસ ગાઉન પહેરે છે.' #Emmys #RedCarpet #Fashion",guj,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/guj/CoI_28cdee2d-f9d0-4b76-920d-120cfbe65064_guj_edit.json,eng,"[guj,eng]",eng,"[guj,eng]",eng,light,DialyNews,y,n,y,n
7696b5e4-0c1e-447d-ba80-ebec413ee7b2,"David Ryan, a conservatory salesman, was convicted of murdering Diana Lee, his wealthy lover, after deceiving her out of £70,000. Ryan, 48, killed Lee, 54, at her luxury home in Cranage, Cheshire, and then mutilated her body before setting it on fire. He met Lee at dance classes where he targeted wealthy women. Ryan had £90,000 in debts and his £200,000 home was repossessed. Lee gave Ryan £70,000 to help with his debts and to invest in a business he claimed to be setting up. Ryan spent the money on personal items and his wife's IVF treatment.","ડેવિડ રાયન, એક કન્ઝર્વેટરી સેલ્સમેન, તેની ધનિક પ્રેમિકા ડાયના લીની હત્યા કરવા બદલ દોષિત ઠર્યા પછી £70,000ની ઠગાઇ કરવાનો કેસ ચલાવવામાં આવ્યો. રાયન, 48 વર્ષીય, ચેશાયરના ક્રાનેજમાં લક્ઝરી ઘરે 54 વર્ષીય લીની હત્યા કરી અને પછી તેના શરીરને ખરાબ રીતે વિકૃત કર્યું. તેણે લીને તેના દેવા માટે મદદ કરવા અને એક વ્યવસાયમાં રોકાણ કરવા માટે £70,000 આપવા કહ્યું હતું.",Breaking: 'Devious' salesman David Ryan convicted of murdering lover Diana Lee after conning her out of £70k! #JusticeForDiana #Crime,તાજા સમાચાર: 'ચાલાક' સેલ્સમેન ડેવિડ રાયનને તેની પ્રેમિકા ડાયના લીની હત્યા કરવા બદલ દોષિત ઠેરવવામાં આવ્યો! #ન્યાયપ્રાપ્તિ_ડાયના #ગુનો,guj,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/guj/CoI_7696b5e4-0c1e-447d-ba80-ebec413ee7b2_guj_polish.json,,"[guj,eng]",eng,guj,,moderate,DialyNews,y,n,y,n
ad388255-2dfc-4c95-9f46-0c3248bcdeb4,"Brian Robinson, 81, the first Briton to win a Tour de France stage in 1958 and again in 1959, praised Bradley Wiggins' 'fantastic achievement' in the 2012 Tour de France. Robinson's reaction to Wiggins's victory was 'euphoria - a job well done'. He disagreed that modern cyclists have it easier, saying 'riding the bike is riding the bike; you still have to push it'. Robinson credited improved infrastructure and lottery funding for British cycling's success.","બ્રાયન રોબિન્સન, 81 વર્ષની વય, જેમણે 1958 અને 1959 માં ટૂર ડી ફ્રાન્સમાં પ્રથમ બ્રિટિશ વિજય મેળવ્યો હતો, તેમણે 2012 માં બ્રેડલી વિગિન્સની સિદ્ધિની પ્રશંસા કરી. રોબિન્સને વિગિન્સની સફળતા પર 'યુફોરિયા - ખૂબ સરસ કામ' કહીને પ્રતિક્રિયા આપી. તેમણે કહ્યું કે સાયકલ ચલાવવી એ એક જ કળા છે, પછી ભલે તે પહેલાં હોય કે હવે. રોબિન્સને બ્રિટિશ સાયકલિંગની સફળતાનું શ્રેય સુધરેલા માળખા અને લોટરી ફંડિંગને આપ્યું.","Britain's cycling legacy continues to shine! 'Brian Robinson, the first Briton to win a Tour de France stage, praises Bradley Wiggins' achievement in 2012. #Cycling #TourDeFrance #BritishCycling'","'બ્રિટનની સાયકલિંગની સિદ્ધિઓ ચાલુ રહી! બ્રાયન રોબિન્સન, જેમણે ટૂર ડી ફ્રાન્સમાં પ્રથમ બ્રિટિશ સ્ટેજ જીત્યો, તેમણે 2012 માં બ્રેડલી વિગિન્સની સિદ્ધિની પ્રશંસા કરી. #સાયકલિંગ #ટૂરડીફ્રાન્સ #બ્રિટિશસાયકલિંગ'",guj,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/guj/CoI_ad388255-2dfc-4c95-9f46-0c3248bcdeb4_guj_edit.json,eng,guj,eng,"[guj,eng]",eng,light,DialyNews,y,n,y,n
c1bb7e39-ae70-41d5-874a-673a13b37ac5,"The discovery of horse DNA in hamburgers sold in Ireland and Britain has raised concerns among consumers. The Food Safety Authority of Ireland analyzed 27 hamburger products and found horse DNA in 10, with one Tesco sample containing 29% horsemeat. Tesco removed all products from the supplier. The Irish authority stated that the findings raised concerns about meat traceability but posed no public health risk.",ઇરલેન્ડ અને બ્રિટનમાં વેચાતા હેમબર્ગરમાં ઘોડાના ડીએનએ મળી આવતા ગ્રાહકોમાં ચિંતા ફેલાઈ છે. ઇરલેન્ડની ફૂડ સેફ્ટી ઓથોરિટીએ 27 હેમબર્ગર ઉત્પાદનોનું વિશ્લેષણ કરીને 10 માં ઘોડાના ડીએનએની હાજરી શોધી કાઢી. ટેસ્કોએ સંબંધિત ઉત્પાદનો પાછા ખેંચી લીધા.,"Breaking: Horse DNA found in burgers sold in Ireland & Britain! 'It's not in our culture to eat horsemeat,' says Irish food authority chief. #HorseMeatScandal #FoodSafety","'ઇરલેન્ડ અને બ્રિટનમાં વેચાતા બર્ગરમાં ઘોડાના ડીએનએ! 'અમારી સંસ્કૃતિમાં ઘોડાનું માંસ ખાવાનું નથી,' ઇરિશ ફૂડ ઓથોરિટીના વડાએ કહ્યું. #HorseMeatScandal #FoodSafety'",guj,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/guj/CoI_c1bb7e39-ae70-41d5-874a-673a13b37ac5_guj_polish.json,eng,guj,eng,"[guj,eng]",eng,moderate,DialyNews,y,n,y,n
3f1fecf9-3a58-4a50-aa0a-8833e72a63c1,"One of the year's most memorable images is the Queen's delighted face as her horse, Sign Manual, won at Newbury just before her 87th birthday. A new housing development, 'Living At The Racecourse', is being built on the racecourse grounds, blending tradition with modern luxury homes. The development includes over 400 townhouses and apartments in its first phase, with prices ranging from £295,000 to £458,000. The racecourse, a historic venue in Berkshire, is being used for housing development for the first time.","વર્ષની સૌથી યાદગાર તસવીરોમાંની એક રાણીનો ખુશ ચહેરો છે, જ્યારે તેમના ઘોડા સાઇન મેન્યુઅલે ન્યૂબરી ખાતે 87મા જન્મદિવસ પહેલાં જીત મેળવી હતી. ન્યૂબરી રેસકોર્સ ખાતે 'લિવિંગ એટ ધ રેસકોર્સ' નામનો નવો આવાસ વિકાસ થઈ રહ્યો છે, જેમાં પરંપરા અને આધુનિક લક્ઝરી ઘરોનું મિશ્રણ છે. પ્રથમ તબક્કામાં 400થી વધુ ઘરો અને એપાર્ટમેન્ટ્સનો સમાવેશ થાય છે, જેની કિંમત £295,000 થી £458,000 છે.","Experience luxury living at Newbury Racecourse! 'Living At The Racecourse' offers 1,500 homes, from £295,000. #NewburyRacecourse #LuxuryHomes","ન્યૂબરી રેસકોર્સ ખાતે લક્ઝરી જીવનનો અનુભવ કરો! 'લિવિંગ એટ ધ રેસકોર્સ' 1,500 ઘરો ઓફર કરે છે, £295,000 થી શરૂ. #ન્યૂબરીરેસકોર્સ #લક્ઝરી_ઘરો",guj,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/guj/CoI_3f1fecf9-3a58-4a50-aa0a-8833e72a63c1_guj_polish.json,eng,guj,eng,"[guj,eng]",eng,moderate,DialyNews,y,n,y,n
92033296-3a62-4c8a-bbf1-2accf409c763,A 32-year-old 'communication arts' teacher at Joplin High School in Missouri has been arrested for allegedly having a personal relationship with a male student under 17 and sending explicit images to at least one student. Jessica Low was taken into custody at her workplace after the school district received a tip. The Southwest Missouri Cyber Crimes Unit found that Low had sent inappropriate images to several students. Joplin Schools Superintendent CJ Huff stated that he will seek to revoke Low's teaching certificate if the allegations are confirmed.,મિઝોરીમાં જોપ્લિન હાઈ સ્કૂલના 32 વર્ષીય 'કોમ્યુનિકેશન આર્ટ્સ' શિક્ષિકા જેસિકા લોવની ધરપકડ કરવામાં આવી છે. તેમના પર એક 17 વર્ષથી ઓછી ઉંમરના પુરુષ વિદ્યાર્થી સાથે વ્યક્તિગત સંબંધ હોવાનો અને વિદ્યાર્થીને સ્પષ્ટ છબીઓ મોકલવાનો આરોપ છે. શાળા જિલ્લાને ટીપ મળ્યા પછી જેસિકા લોવની કાર્યસ્થળે ધરપકડ કરવામાં આવી હતી. સાઉથવેસ્ટ મિઝોરિ સાયબર ક્રાઈમ યુનિટે પુષ્ટિ કરી કે લોવે અનેક વિદ્યાર્થીઓને અયોગ્ય છબીઓ મોકલી હતી. જોપ્લિન સ્કૂલ્સના સુપરિન્ટેન્ડેન્ટ સીજે હફ્ફે જણાવ્યું કે જો આ આરોપો સાચા સાબિત થાય તો તેઓ જેસિકા લોવનો શિક્ષણ પ્રમાણપત્ર રદ કરવાની માંગ કરશે.,"Breaking: 'Communication arts' teacher Jessica Low arrested for alleged inappropriate relationship with minor student & sending explicit images! 'It angers me, it frustrates me to no end,' says Joplin Schools Superintendent CJ Huff. #JusticeForVictims #TeachersAccountability","બ્રેકિંગ: 'કોમ્યુનિકેશન આર્ટ્સ' શિક્ષિકા જેસિકા લોવની ધરપકડ; નાના વિદ્યાર્થી સાથે અયોગ્ય સંબંધ અને સ્પષ્ટ છબીઓ મોકલવાનો આરોપ! 'આનાથી મને ગુસ્સો આવે છે, મને ખૂબ જ હતાશા થાય છે,' જોપ્લિન સ્કૂલ્સના સુપરિન્ટેન્ડેન્ટ સીજે હફ્ફે કહ્યું. #ન્યાયપીડિતો માટે #શિક્ષકોનીજવાબદારી",guj,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/guj/CoI_92033296-3a62-4c8a-bbf1-2accf409c763_guj_rewrite_light.json,eng,guj,eng,"[guj,eng]",,light,DialyNews,y,n,y,n
149c2587-dbca-4dde-9fa7-6fd8bcd9f614,"Stanley Johnson's memoir, 'STANLEY I RESUME: FURTHER RECOLLECTIONS OF AN EXUBERANT LIFE', published by Robson Press at £25, recounts his life experiences with humor and candor. The second volume begins with Johnson feeling down on his 40th birthday after being dumped by his American girlfriend, Bobby. He recalls helping Bobby resurface a tennis court, a feat he remembers with pride. Johnson's life is marked by various mishaps, such as losing his new neighbor's dogs on their first meeting. Despite his clumsiness, Johnson has a serious side, having served as an MEP and proposed important animal welfare legislation. Johnson's writing process for his novels was unorthodox, using a pocket Dictaphone in taxis and airport lounges. The memoir includes stories about his family life and children, as well as his unconventional parenting theories.","સ્ટેનલી જ્હોન્સનની આત્મકથા, 'STANLEY I RESUME: FURTHER RECOLLECTIONS OF AN EXUBERANT LIFE', રોબસન પ્રેસ દ્વારા £25 માં પ્રકાશિત, તેમના જીવનના અનુભવોને રમૂજ અને સ્પષ્ટતા સાથે વર્ણવે છે. બીજો ભાગ જ્હોન્સનના 40મા જન્મદિવસ પરની નિરાશાની લાગણી સાથે શરૂ થાય છે, જ્યારે તેમની અમેરિકન ગર્લફ્રેન્ડ બોબીએ તેમને છોડી દીધા હતા. તે બોબીને ટેનિસ કોર્ટનું રિસર્ફેસિંગ કરવામાં મદદ કરવાનું યાદ કરે છે, એક કાર્ય જેને તે ગર્વથી યાદ કરે છે. જ્હોન્સનનું જીવન વિવિધ મુશ્કેલીઓથી ભરેલું છે, જેમ કે તેમના નવા પાડોશીના કૂતરાઓને ખોવાઈ જવા. તેમની અણઘડતા હોવા છતાં, જ્હોન્સનને ગંભીર બાજુ છે, તેમણે MEP તરીકે સેવા આપી છે અને પ્રાણી કલ્યાણ કાયદાનો પ્રસ્તાવ મૂક્યો છે. જ્હોન્સનની નવલકથાઓ લખવાની પ્રક્રિયા અસામાન્ય હતી, તેમણે ટેક્સી અને એરપોર્ટ લાઉન્જમાં પોકેટ ડિક્ટાફોનનો ઉપયોગ કર્યો હતો. આત્મકથામાં તેમના કુટુંબ જીવન અને બાળકો વિશેની વાર્તાઓ તેમજ તેમના અપરંપરાગત વાલીપણાના સિદ્ધાંતોનો સમાવેશ થાય છે.","Discover 'STANLEY I RESUME', Stanley Johnson's hilarious and candid memoir filled with anecdotes and life lessons! #StanleyJohnson #Memoir #NewRelease","'STANLEY I RESUME' શોધો, સ્ટેનલી જ્હોન્સનની રમૂજી અને સ્પષ્ટ આત્મકથા જે અનુભવો અને જીવનના પાઠોથી ભરપૂર છે! #સ્ટેનલી_જ્હોન્સન #આત્મકથા #નવું_પ્રકાશન",guj,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/guj/CoI_149c2587-dbca-4dde-9fa7-6fd8bcd9f614_guj_polish.json,eng,"[guj,eng]",eng,"[guj,eng]",eng,moderate,DialyNews,y,n,y,n
30953542-0d2c-4948-86af-cd1bde9fb6b8,"Jeffrey Horne, a 43-year-old security guard at Good Hope Hospital in Sutton Coldfield, West Midlands, was sentenced to 15 months in prison for staging a bomb hoax. The incident on November 23, 2010, caused significant disruption, with almost 80 surgical operations cancelled and four premature births. Horne's actions were deemed a 'gross breach of trust' by Judge Sybil Thomas, who noted that he failed to alert authorities after the alarm was raised.","જેફ્રી હોર્ને, સટન કોલ્ડફિલ્ડની ગુડ હોપ હોસ્પિટલમાં સુરક્ષા રક્ષક તરીકે ફરજ બજાવતા હતા, તેમણે બોમ્બ હોક્સ ગોઠવ્યો હતો અને તેના માટે તેમને 15 મહિનાની સજા થઈ હતી. આ ઘટનાને કારણે મોટી સંખ્યામાં સર્જિકલ ઓપરેશન રદ કરવા પડ્યા હતા. જજ સિબિલ થોમસે હોર્નેની ક્રિયાઓની નિંદા કરી હતી.","Security guard jailed for 15 months over 'stupid and frightening' bomb hoax at Good Hope Hospital, costing NHS £218,000! #BombHoax #NHS #Justice",'ગુડ હોપ હોસ્પિટલમાં બોમ્બ હોક્સ ગોઠવનાર સુરક્ષા રક્ષકને 15 મહિનાની જેલ! #બોમ્બહોક્સ #NHS #ન્યાય',guj,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/guj/CoI_30953542-0d2c-4948-86af-cd1bde9fb6b8_guj_rewrite_moderate.json,eng,guj,eng,"[guj,eng]",eng,moderate,DialyNews,y,n,y,n
