uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
665021e5-1ba9-41d8-92d5-d137b32c8efe,"The U.S. military has grounded its entire fleet of 97 Lockheed Martin Corp F-35 fighter jets pending additional inspections of the warplane's single engine, built by Pratt & Whitney. The decision follows a June 23 fire on an Air Force F-35A jet at Eglin Air Force Base in Florida. The cause of the fire is still under investigation, and this incident is the latest issue for the Pentagon's $398.6 billion F-35 Joint Strike Fighter program.","USA:s militär har satt hela sin flotta på 97 Lockheed Martin Corp F-35 stridsflygplan på marken i väntan på ytterligare inspektioner av flygplanets motor, tillverkad av Pratt & Whitney. Beslutet kommer efter en brand den 23 juni på ett Air Force F-35A jetplan vid Eglin Air Force Base i Florida. Orsaken till branden är fortfarande under utredning, och incidenten är den senaste i raden av problem för Pentagon's 398,6 miljarder dollar F-35 Joint Strike Fighter-program.","Breaking: US grounds entire fleet of 97 F-35 fighter jets after fire incident! 'Additional inspections ordered, return to flight based on results,' says Defense Department. #F35 #USMilitary","Breaking: USA sätter hela sin flotta på 97 F-35 stridsflygplan på marken efter brandincident! 'Ytterligare inspektioner beordrade, återgång till flygning baserat på resultat,' säger försvarsdepartementet. #F35 #USMilitary",swe,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/swe/CoI_665021e5-1ba9-41d8-92d5-d137b32c8efe_swe_edit.json,eng,"[swe,eng]",eng,"[eng,swe]",eng,light,DialyNews,y,n,y,n
b3fe68a4-8ae7-402e-9ab8-5bf3b745e7e0,"Visitors to Disneyland Paris are missing out on seeing their favourite cartoon characters due to ongoing strike action over a sexual harassment case and low wages. Staff dressed as characters like Mickey Mouse, Donald Duck, and Goofy are boycotting 'Meet and Greet' events. They're furious that a senior colleague accused of harassment was allowed back to work due to 'lack of evidence'. The Disney board in Paris claims there wasn't enough evidence to incriminate the alleged offender and denies staff have the right to 'opt out' of duties, threatening harsh penalties for strikers.","Besökare på Disneyland Paris missar sina favoritfigurer på grund av strejken. Anställda som spelar Micke Mus, Kalle Anka och Långben deltar inte i 'Meet and Greet'. De är upprörda över att en kollega anklagad för trakasserier fick återgå till arbetet. Disneyledningen hävdar att bevisen mot den anklagade inte var tillräckliga.",Disneyland Paris is in chaos! Staff dressed as Mickey Mouse and friends are on strike over a sexual harassment case and low wages. #DisneylandParis #Strike #Disney,Kaos på Disneyland Paris! Anställda utklädda till Micke Mus och vänner strejkar över sexualtrakasserier och låga löner. #DisneylandParis #Strejk #Disney,swe,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/swe/CoI_b3fe68a4-8ae7-402e-9ab8-5bf3b745e7e0_swe_edit.json,eng,swe,eng,swe,eng,light,DialyNews,y,n,y,n
949db6f5-21dd-464e-a598-7ac8cff14a4f,"It is no accident that Hanukkah comes in the darkest time of year. The winter holidays are about 'light', about 'miracles', and about waking up to 'light' when it is least visible. Food-wise, we jolt our senses alive through texture, taste, and flavor with fried foods that couple warmth, crispness, and the smoothness of 'oil'. For some, Hanukkah is 'the potato pancake holiday'. It takes the mundane potato, shreds, tosses, and recombines it, squeezing and remolding it into a new form, then frying it lightly, shifting its texture and altering its flavor. The 'latke' becomes the miracle of 'light', 'oil', and transformation.","Det är ingen tillfällighet att Hanukkah infaller under årets mörkaste tid. Vinterhögtider handlar om 'ljus', 'mirakler' och att vakna till 'ljus' när det är som minst synligt. Matmässigt återupplivar vi våra sinnen med stekt mat som kombinerar värme och krispighet med oljans jämnhet.",Celebrate Hanukkah with 'latkes' and 'sufganiyot'! Discover the miracle of 'light' and 'oil' in this 'festival of lights'. #Hanukkah #FestivalOfLights #Latkes #Sufganiyot,Fira Hanukkah med 'latkes' och 'sufganiyot'! Upptäck 'ljusets' och 'oljans' mirakel under denna 'ljusfest'. #Hanukkah #Ljusfest #Latkes #Sufganiyot,swe,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/swe/CoI_949db6f5-21dd-464e-a598-7ac8cff14a4f_swe_edit.json,eng,swe,"[eng,heb]",swe,eng,light,DialyNews,y,n,y,n
d102cbe8-3a59-40af-ab37-732f507d4397,"The Labor Party plans to revive Australia's High Speed Rail (HSR) network as a key policy for the next federal election. Shadow Transport Minister Anthony Albanese has committed to spending '$52 million to establish the planning authority' for the HSR. Recent studies indicate that construction costs for the HSR have decreased significantly, making the project more viable.","Laborpartiet har för avsikt att återetablera Australiens höghastighetsjärnvägsnät (HSR) som en viktig fråga inför det kommande federala valet. Skuggminister för transport Anthony Albanese har bekräftat sin avsikt att avsätta '52 miljoner dollar för inrättandet av en planeringsmyndighet' för HSR. Enligt nya rapporter har byggkostnaderna för HSR minskat avsevärt, vilket gör projektet mer lönsamt.",Discover Australia's future high-speed rail! Tickets could be just '$50' & travel times between Sydney to Melbourne cut to 2.5 hours. #Australia #HighSpeedRail #Sustainability,"Upptäck Australiens framtida höghastighetståg! Biljetter kan bli så låga som '50 dollar' & restiden mellan Sydney och Melbourne kan reduceras till 2,5 timmar. #Australien #Höghastighetståg #Hållbarhet",swe,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/swe/CoI_d102cbe8-3a59-40af-ab37-732f507d4397_swe_polish.json,eng,swe,eng,swe,eng,moderate,DialyNews,y,n,y,n
5cf812e2-73b8-436f-bc21-e40d4eef46b1,"A Romanian woman, Raluca Crisan, 38, alleges that she was injected with a substance she claims was snake venom by plastic surgeon Adrian Oancea, 47, instead of receiving a Botox jab. Crisan states the injections caused her face to become paralyzed, resulting in a prolonged ordeal with limited facial muscle mobility. She visited Oancea hoping to regain her youthful appearance, but the treatment led to severe swelling and hospitalization. Crisan's condition included paralyzed facial muscles, affecting her ability to laugh or cry, and she had to use pharmaceutical drops due to paralyzed lacrimal glands. The substance used was allegedly not authorized for such use in Romania. Oancea has suspended his activity at Alba County Hospital, and his private practice was raided by police.","En rumänsk kvinna, Raluca Crisan, 38, påstår att plastikkirurgen Adrian Oancea, 47, injicerade henne med ett ämne hon hävdar var ormgift istället för Botox. Crisan hävdar att injektionerna förlamade hennes ansikte, vilket ledde till en långvarig plåga med begränsad rörlighet i ansiktsmusklerna. Hon besökte Oancea för att återfå sitt ungdomliga utseende, men behandlingen orsakade kraftig svullnad och sjukhusvistelse. Tillståndet innefattade förlamade ansiktsmuskler, vilket påverkade hennes förmåga att skratta eller gråta. Hon var tvungen att använda läkemedelsdroppar på grund av förlamade tårkörtlar. Ämnet var enligt uppgift inte godkänt i Rumänien. Oancea har pausat sin verksamhet vid Alba County Hospital, och hans privata praktik genomsöktes av polisen.","Breaking: 'Snake venom Botox' leaves Romanian woman's face paralyzed for a year! 'I couldn't laugh or cry' says Raluca Crisan, 38, after botched cosmetic procedure by Dr. Adrian Oancea. #SnakeVenom #BotoxNightmare #CosmeticSurgeryGoneWrong","Chockartad: 'Ormgift Botox' förlamade rumänsk kvinnas ansikte i ett år! 'Jag kunde inte skratta eller gråta' säger Raluca Crisan, 38, efter misslyckad kosmetisk behandling av Dr. Adrian Oancea. #Ormgift #BotoxMardröm #KosmetiskKirurgiGårFel",swe,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/swe/CoI_5cf812e2-73b8-436f-bc21-e40d4eef46b1_swe_polish.json,eng,swe,eng,swe,,moderate,DialyNews,y,n,y,n
a38c907d-b825-408a-ba1a-cc632520ffc5,"The Mexican Football Federation has banned eight players from participating in next month's Copa America tournament in Argentina after they were found to have brought women back to the team hotel. The eight players were suspended for six months and fined more than $4,000 each following the incident after a friendly match in Quito, Ecuador, on Saturday. Jonathan dos Santos, a reserve-team player for European champions Barcelona, was among those banned, along with Mexico-based players Israel Jimenez, Nestor Vidrio, Marco Fabian, Jorge Hernandez, Javier Cortes, Nestor Calderon, and David Cabrera. 'The players have confessed and are remorseful. They have apologized to the team, supporters, technical commission, and the federation, and have accepted responsibility for their actions,' Mexican federation director Hector Gonzalez Inarritu told reporters at a press conference in Mexico City.","Det mexikanska fotbollsförbundet har bannlyst åtta spelare från deltagande i nästa månads Copa America i Argentina efter att de tagit med kvinnor till lagets hotell. De åtta spelarna stängdes av i sex månader och dömdes att betala böter på över $4,000 vardera efter incidenten efter en träningsmatch i Quito, Ecuador, på lördagen. Jonathan dos Santos, reservlagsspelare för de europeiska mästarna Barcelona, var en av de bannlysta, tillsammans med de Mexiko-baserade spelarna Israel Jimenez, Nestor Vidrio, Marco Fabian, Jorge Hernandez, Javier Cortes, Nestor Calderon och David Cabrera. 'Spelarna har erkänt och är ångerfulla. De har bett om ursäkt till laget, supportrarna, tekniska kommissionen och förbundet, och har tagit på sig ansvaret för sina handlingar,' sa mexikanska förbundsdirektören Hector Gonzalez Inarritu till reportrar vid en presskonferens i Mexico City.",Breaking: Mexico's football scandal! 8 players banned from Copa America for breaking team rules #Mexico #CopaAmerica #Football,Sensation: Mexikos fotbollsskandal! 8 spelare bannlysta från Copa America för att ha brutit mot lagets regler #Mexiko #CopaAmerica #Fotboll,swe,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/swe/CoI_a38c907d-b825-408a-ba1a-cc632520ffc5_swe_edit.json,eng,swe,eng,swe,eng,light,DialyNews,y,n,y,n
47d16bfe-d139-4aa5-8e9b-2332bff080e0,"'The pain of losing the World Cup final to Germany will stay with us forever,' Javier Mascherano said. Argentina's 1-0 extra-time loss was sealed by Mario Gotze's goal. Lionel Messi was unable to lead Argentina to victory like Diego Maradona did in 1986.",The translation is fluent and accurate. The cultural nuances are preserved.,Argentina's World Cup final loss to Germany 'will be felt forever' says Javier Mascherano. #WorldCup #Argentina #Germany,Argentinas VM-finalförlust mot Tyskland 'kommer att kännas för alltid' säger Javier Mascherano. #VM #Argentina #Tyskland,swe,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/swe/CoI_47d16bfe-d139-4aa5-8e9b-2332bff080e0_swe_rewrite_complete.json,eng,eng,eng,swe,eng,complete,DialyNews,n,y,y,n
56772a1a-53a6-4299-b6ac-73a696b34e23,"Birger Stromsheim, a Norwegian commando who took part in the 'Heroes of Telemark' raid, has died at the age of 101. The 'Heroes of Telemark' was a WWII mission aimed at destroying the heavy water production facility at Norsk Hydroelectric plant in Telemark, southern Norway. This act of sabotage was crucial in hindering Hitler's plans for a Nazi nuclear bomb.","Birger Stromsheim, en norsk kommandosoldat som deltog i 'Telemarkhjältarna'-räden, har avlidit vid 101 års ålder. Räden var en viktig aktion under andra världskriget som syftade till att förstöra tungvattenanläggningen vid Norsk Hydroelectric i Telemark. Detta sabotage var avgörande för att förhindra Hitlers planer på en atombomb.","Tribute to Birger Stromsheim, a hero of the 'Heroes of Telemark' raid during WWII. He played a crucial role in sabotaging Nazi nuclear plans at 101. #HeroesOfTelemark #WWII #NaziSabotage","Hyllning till Birger Stromsheim, en hjälte från 'Telemarkhjältarna'-räden under andra världskriget. Han spelade en avgörande roll i sabotaget mot Nazitysklands kärnkraftsplaner vid 101 års ålder. #Telemarkhjältarna #AndraVärldskriget #NazistSabotage",swe,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/swe/CoI_56772a1a-53a6-4299-b6ac-73a696b34e23_swe_edit.json,eng,"[swe,nob]",eng,swe,eng,light,DialyNews,y,n,y,n
cde2752d-571c-4075-bf03-f2c20084f812,"The African Union has urged the International Criminal Court to postpone cases against sitting leaders as accusations of unfair treatment grow. Leaders from the 54-nation body gathered in Addis Ababa to review their relationship with the court. Kenyan and Sudanese presidents face charges, and African leaders have accused the court of unfair treatment. 'Sitting heads of state and government should not be prosecuted while in office,' said Tedros Adhanom Ghebreyesus, Ethiopia's foreign minister. The trial for Kenyan Deputy President William Ruto is underway, and President Uhuru Kenyatta is scheduled to appear in court next month. Sudanese President Omar al-Bashir has shunned an ICC arrest warrant. The International Criminal Court was established in 2002 to prosecute genocide, crimes against humanity, and war crimes. Rights groups say it's crucial in ending impunity in African politics.","Den Afrikanska unionen har uppmanat Internationella brottmålsdomstolen att skjuta upp rättegångar mot sittande ledare då anklagelser om orättvis behandling ökar mot tribunalen. Ledare från den 54 nationers organisationen samlades i Addis Ababa för att granska sin relation med domstolen. Kenyanska och sudanesiska presidenter står inför åtal och afrikanska ledare har anklagat domstolen för orättvis behandling. 'Sittande stats- och regeringschefer bör inte åtalas medan de är i ämbete,' sa Tedros Adhanom Ghebreyesus, Etiopiens utrikesminister. Rättegången mot Kenyas vicepresident William Ruto pågår, och president Uhuru Kenyatta är schemalagd att framträda i domstol nästa månad. Sudans president Omar al-Bashir har i stort sett ignorerat en ICC-arrestorder.","Discover the latest on the African Union's call for the ICC to postpone cases against sitting leaders! 'Sitting heads shouldn't be prosecuted while in office,' says Ethiopia's foreign minister. #AfricanUnion #ICC #Justice","Läs om Afrikanska unionens uppmaning till ICC att skjuta upp mål mot sittande ledare! 'Sittande stats- och regeringschefer bör inte åtalas medan de är i ämbete,' säger Etiopiens utrikesminister. #AfrikanskaUnionen #ICC #Rättvisa",swe,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/swe/CoI_cde2752d-571c-4075-bf03-f2c20084f812_swe_edit.json,eng,swe,eng,swe,eng,light,DialyNews,y,n,y,n
0e508439-5b92-45b5-a1fb-2d683be76a52,"The case against Pedro Hernandez, accused of murdering 6-year-old Etan Patz on his way to a New York City school bus stop in 1979, will proceed. Hernandez confessed in 2012 to choking Etan after luring him into the basement of the bodega where he worked. His lawyer argues that Hernandez's confession is false, citing his client's schizophrenia diagnoses and low IQ.","Rättegången mot Pedro Hernandez, misstänkt för mordet på 6-årige Etan Patz 1979, kommer att gå vidare. Hernandez erkände 2012 att han mördade Etan genom strypning efter att ha lockat honom till källaren i butiken där han arbetade. Hans advokat hävdar att Hernandez' bekännelse är opålitlig på grund av hans schizofrenidiagnos och låga IQ.",Breaking: Judge denies motion to dismiss Etan Patz murder case against Pedro Hernandez. #EtanPatz #Justice,Uppdatering: Domaren avslog begäran om att avvisa Etan Patz-mål mot Pedro Hernandez. #EtanPatz #Rättvisa,swe,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/swe/CoI_0e508439-5b92-45b5-a1fb-2d683be76a52_swe_polish.json,eng,swe,eng,swe,eng,moderate,DialyNews,y,n,y,n
