uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
090c0ad5-21fe-488b-8c6d-33fc82f95cc9,"'Manchester City are competing with Liverpool for Burnley striker Danny Ings.  The 22-year-old is wanted by City to bolster their homegrown player quota, and they've already contacted his representatives. City recently signed Wilfried Bony, while Stevan Jovetic and Edin Dzeko are attracting interest from Juventus and Wolfsburg, respectively. Ings impressed during his first Premier League season despite Burnley's struggles in the relegation zone.  He is out of contract this summer, and while a move abroad would only cost a nominal fee, he would command around £6 million in compensation if he stays in England. Liverpool were strongly linked with Ings in the January transfer window, but his desire to stay at Burnley, coupled with the club's reluctance to sell, prevented a move.  Liverpool manager Brendan Rodgers is expected to renew his pursuit of Ings in the summer, but City's interest presents a potential obstacle.'",'曼城正在与利物浦争夺伯恩利前锋丹尼·英斯。这位 22 岁的球员是曼城为了加强本土球员配额而想要的，他们已经联系了他的经纪人。曼城最近签下了威尔弗里德·博尼，而斯特凡·约维蒂奇和埃丁·哲科分别吸引了尤文图斯和沃尔夫斯堡的兴趣。尽管伯恩利在保级区苦苦挣扎，但英斯在他的第一个英超赛季中给人留下了深刻的印象。他今年夏天合同到期，虽然转会国外只需支付象征性的费用，但如果他留在英格兰，他的身价约为 600 万英镑。利物浦在一月份的转会窗口与英斯联系紧密，但他想留在伯恩利，加上俱乐部不愿出售，阻止了转会。预计利物浦主教练布伦丹·罗杰斯将在夏天重新追求英斯，但曼城的兴趣是一个潜在的障碍。','Transfer battle! Manchester City and Liverpool are going head-to-head for Burnley's Danny Ings! Will he stay in England or move abroad? #football #transfernews #premierleague #DannyIngs #MCFC #LFC','转会大战！曼城和利物浦正在争夺伯恩利的丹尼·英斯！他会留在英格兰还是出国？#足球 #转会新闻 #英超 #丹尼英斯 #曼城 #利物浦',zho,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/zho/CoI_090c0ad5-21fe-488b-8c6d-33fc82f95cc9_zho_edit.json,eng,zho,eng,zho,eng,light,DialyNews,y,n,y,n
700269d7-fa86-447b-9b02-98ef4db2f41c,"'In her biography, 'Mother Courage,' Dolores Aveiro, mother of football star Cristiano Ronaldo, revealed she attempted to abort her pregnancy with him. After doctors refused an abortion, Aveiro tried home remedies like drinking warm beer and running extensively. Ronaldo is now aware of this and reportedly jokes with his mother about it. Aveiro also shared details about Ronaldo's son, Cristiano Jr., whose mother's identity remains undisclosed. She retrieved him from a Florida clinic while Ronaldo was playing in the 2010 World Cup in South Africa. Aveiro also stated she helps raise and educate her grandson.'",'在她的自传《勇敢的母亲》中，足球巨星克里斯蒂亚诺·罗纳尔多的母亲多洛雷斯·阿韦罗透露，她曾试图堕胎他。在医生拒绝堕胎后，阿韦罗尝试了家庭疗法，例如喝温啤酒和大量跑步。 罗纳尔多现在知道了这件事，据报道他还和母亲开玩笑。阿韦罗还分享了关于罗纳尔多儿子克里斯蒂亚诺·小罗的一些细节，孩子的母亲身份仍然未公开。2010年罗纳尔多在南非参加世界杯时，她从佛罗里达州的一家诊所接走了孩子。阿韦罗还表示，她帮助抚养和教育孙子。','Can you believe Cristiano Ronaldo's mom almost aborted him?!  🤯  Read her shocking story in 'Mother Courage.' #Ronaldo #Football #MotherCourage #Biography','难以置信！C罗的妈妈曾试图堕胎他！🤯  快来看她在《勇敢的母亲》中讲述的惊人故事。#C罗 #足球 #勇敢的母亲 #自传',zho,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/zho/CoI_700269d7-fa86-447b-9b02-98ef4db2f41c_zho_edit.json,eng,zho,eng,zho,eng,light,DialyNews,y,n,y,n
de10be03-b7bd-4719-8039-27feff10059f,"'The first Test between England and India saw mixed performances from both sides.  England’s Alastair Cook had a mixed bag as captain, showing good judgment in the first innings, but appearing indecisive in the second. His batting was also patchy, getting bowled rather unluckily and dropping a crucial catch.  Sam Robson showed resilience as an opener, batting well after a long fielding session.  Gary Ballance provided much-needed composure at No 3, while Ian Bell needs to convert his starts into bigger scores. Joe Root was undoubtedly the star performer for England, playing a brilliant innings of 154 on a challenging pitch.  Stuart Broad also had a superb match with both bat and ball, showcasing his aggressive approach. Moeen Ali needs to adapt to pitch conditions, and Matt Prior’s keeping was inconsistent. Ben Stokes seems low on batting confidence. Liam Plunkett needs to diversify his bowling, while Jimmy Anderson’s surprise contribution with the bat was highly commendable. For India, Murali Vijay was the standout batsman, amassing over 200 runs.  Shikhar Dhawan had two soft dismissals, while Virat Kohli's reliance on bat-on-ball could prove to be his undoing in English conditions. MS Dhoni’s captaincy was generally good but had a lapse in judgment.  Bhuvneshwar Kumar emerged as a promising all-rounder, while Ishant Sharma posed a significant threat with the ball.'",'英印首场测试赛两队表现各异。英格兰队长阿拉斯泰尔·库克的队长表现好坏参半，第一局中表现出良好的判断力，但在第二局中显得优柔寡断。他的击球也不稳定，不幸被投球击中，还漏接了一个关键的接球。萨姆·罗布森作为开场击球手表现出韧性，在长时间的守备后击球出色。加里·巴兰斯在3号位提供了急需的镇定，而伊恩·贝尔需要将他的开局转化为更高的分数。乔·鲁特无疑是英格兰队的明星球员，在充满挑战的球场上打出了154分的精彩一局。斯图尔特·布罗德在击球和投球方面也表现出色，展现了他积极进取的方式。莫恩·阿里需要适应场地条件，而马特·普赖尔的接球也不稳定。本·斯托克斯似乎对击球缺乏信心。利亚姆·普伦基特需要使他的投球多样化，而吉米·安德森在击球方面的意外贡献值得称赞。对于印度队来说，穆拉利·维杰是杰出的击球手，累计得分超过200分。希卡尔·达万两次被轻而易举地解雇，而维拉特·科利对击球的依赖可能会成为他在英国比赛中的败笔。MS多尼的队长表现总体良好，但判断失误。布夫内什瓦尔·库马尔成为一名很有前途的全能选手，而伊尚特·沙玛在投球方面构成了重大威胁。','Root shines bright!  England and India battle it out in a thrilling first Test! #ENGvIND #Cricket #TestMatch','鲁特闪耀全场！英印首场测试赛精彩对决！#英印大战 #板球 #测试赛',zho,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/zho/CoI_de10be03-b7bd-4719-8039-27feff10059f_zho_rewrite_moderate.json,eng,zho,eng,zho,eng,moderate,DialyNews,y,n,y,n
64486dde-16e1-41a4-8105-8b13444dc97d,"'The UK Independence Party (Ukip) is facing accusations of hypocrisy following a revelation that Amjad Bashir, the party's small business spokesman, employed undocumented workers at his Manchester restaurant.  Immigration authorities raided the Zouk Tea Bar and Grill last year, which Mr. Bashir co-owns with his sons.  This incident follows previous controversies, including Ukip printing campaign materials in Germany, hiring Eastern European workers to distribute leaflets, and featuring an Irish actor in an anti-immigration poster.  Mr. Bashir, a candidate in the upcoming European elections, appeared alongside party leader Nigel Farage at a recent rally.  While Mr. Farage and the Bashir family deny any wrongdoing and are appealing the immigration notice, the Home Office confirmed the arrests of seven individuals for immigration offenses.  Liberal Democrat MEP Edward McMillan-Scott criticized Ukip for exploiting undocumented workers, highlighting the apparent contradiction between the party's anti-immigration rhetoric and Mr. Bashir's business practices.'",'英国独立党（Ukip）因其小型企业发言人Amjad Bashir在其曼彻斯特餐厅雇用无证工人而面临虚伪的指控。移民当局去年突击搜查了Bashir先生与他的儿子共同拥有的Zouk茶餐厅和烧烤店。这一事件发生之前，Ukip曾因在德国印刷宣传材料、雇用东欧工人分发传单以及在其反移民海报中使用一名爱尔兰演员而引发争议。Bashir先生是即将举行的欧洲选举的候选人，他最近在一次集会上与该党领导人Nigel Farage一同露面。虽然Farage先生和Bashir家族否认有任何不当行为，并正在对移民通知提出上诉，但内政部证实逮捕了七名移民犯罪人员。自由民主党欧洲议员Edward McMillan-Scott批评Ukip剥削无证工人，强调了该党反移民言论与Bashir先生商业行为之间的明显矛盾。','Ukip's anti-immigration stance takes a hit! Small business spokesman employed undocumented workers. #hypocrisy #immigration #ukpolitics','英国独立党（Ukip）反移民立场受挫！小型企业发言人雇用无证工人。#虚伪 #移民 #英国政治',zho,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/zho/CoI_64486dde-16e1-41a4-8105-8b13444dc97d_zho_rewrite_complete.json,eng,zho,eng,"[zho,eng]",eng,complete,DialyNews,n,y,y,n
1eac1f88-dd85-430d-a848-f24adc3f4c61,"Over a three-week span, American Airlines has experienced four unexpected landing incidents. Most recently, a Boeing 777-200, destined for Shanghai, returned to Chicago's O'Hare airport after colliding with birds shortly after takeoff.  All 237 passengers and 15 crew members were unharmed.  This incident follows close on the heels of three other emergency landings: a pilot's illness forced a Dallas-bound flight to divert to St. Louis, smoke in the cockpit led a flight from San Jose, Costa Rica, to Miami, Florida to land in San Andres Island, Colombia, and engine issues grounded a Dallas-bound plane in Indianapolis. These incidents, while concerning, thankfully resulted in no reported injuries.",美国航空公司在三周内经历了四起意外着陆事件。最近一次是一架飞往上海的波音777-200客机在起飞后不久与鸟类相撞，返回芝加哥奥黑尔机场。机上237名乘客和15名机组人员均未受伤。此前还发生过三起紧急迫降事件：一名飞行员因病迫使一架飞往达拉斯的航班改飞圣路易斯；驾驶舱冒烟导致一架从哥斯达黎加圣何塞飞往佛罗里达州迈阿密的航班在哥伦比亚圣安德烈斯岛迫降；发动机故障导致一架飞往达拉斯的飞机在印第安纳波利斯停飞。这些事件虽然令人担忧，但幸好没有造成人员伤亡。,"Whoa! American Airlines has had FOUR emergency landings in just THREE weeks! Bird strikes, pilot illness, engine trouble - what's going on?! #americanairlines #aviation #safetyfirst",美国航空三周内四次紧急迫降！鸟击、飞行员生病、发动机故障…这是怎么了？！#美国航空 #航空安全 #安全第一,zho,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/zho/CoI_1eac1f88-dd85-430d-a848-f24adc3f4c61_zho_rewrite_complete.json,eng,zho,eng,zho,eng,complete,DialyNews,n,y,y,n
759e80de-9472-4a2b-8bae-3b1233c2b009,"'X (formerly Twitter) has launched an early version of video and audio calling for its Premium subscribers.  Currently available on iOS, the feature allows Premium users to make and receive calls, while all users can receive calls.  To initiate a call, users must have previously exchanged direct messages.  X CEO Elon Musk initially hinted at this feature in November 2022, alongside plans for increased DM privacy and security, potentially involving collaboration with Signal's creator, Moxie Marlinspike. While Android support is expected soon, the specific release date remains unconfirmed. This feature rollout coincides with X's experimental $1 monthly charge for new users in the Philippines and New Zealand to combat bots, a move that has sparked concerns about potential user attrition despite X's claims that it is not a monetization strategy.'",'X（前身为Twitter）已为其高级订阅用户推出了早期版本的视频和音频通话功能。该功能目前在iOS上可用，允许高级用户拨打和接听电话，而所有用户都可以接听电话。要发起通话，用户必须事先交换过私信。X首席执行官埃隆·马斯克最初在2022年11月暗示了这项功能，同时还计划提高私信的隐私性和安全性，可能涉及与Signal的创建者Moxie Marlinspike合作。虽然Android支持预计很快就会推出，但具体发布日期仍未确定。此功能的推出恰逢X在菲律宾和新西兰对新用户每月收费1美元以打击机器人，此举引发了人们对潜在用户流失的担忧，尽管X声称这不是一种盈利策略。',"'X now has video & audio calls!  Premium users on iOS can make calls, but everyone can receive them. #X #videocalls #audiocalls #premium'",'X现在有视频和语音通话啦！iOS高级用户可以拨打电话，但每个人都可以接听。 #X #视频通话 #语音通话 #高级',zho,eng_x,gemini-1.5-pro,real_news,[1],/eng_x_r/gemini-1.5-pro/zho/CoI_759e80de-9472-4a2b-8bae-3b1233c2b009_zho_polish.json,eng,zho,eng,"[zho,eng]",eng,moderate,GlobalNews,y,n,y,n
cd7fc7be-299d-48e4-8494-aa0dfeb2b850,"'MADRID, Spain (CNN) --  A Madrid restaurateur has implemented stringent hygiene protocols to combat the spread of the H1N1 virus, including temperature checks for staff, mandatory face masks and gloves for kitchen staff, and increased sanitation measures.  Silk and Soya, a Thai-themed restaurant, implemented these measures to prevent the spread of H1N1, also known as swine flu. 'We implemented these measures so that our employees would serve only food, not a virus,' owner Cipri Quintas told CNN.  Staff temperatures are taken before shifts, windows are opened for ventilation, and tables are spaced at least one meter apart.  All kitchen staff involved in food preparation must wear masks and gloves, and waiters use napkins when handling plates.  Customers encounter an automatic hand sanitizer dispenser upon entering the elevators, and sanitizer packets are available at each table. Restroom doors are propped open, lights and faucets are automated to minimize contact.  Similar initiatives were implemented globally. In Mexico City, restaurants were temporarily closed, and upon reopening, were required to increase table spacing, reduce capacity, and mandate masks for staff.  The WHO recommends hand-washing as a key preventative measure. Quintas implemented these measures in August, earning praise from customers like Simona Savin, who noted the comprehensive hygiene efforts. Another diner, Fernando Barea, said he chose the restaurant specifically for its H1N1 precautions.  Quintas stated that his goal is to protect both customers and staff, a responsibility he believes the business community should share. Dr. Tom Jefferson, a medical epidemiologist, applauded the efforts and suggested extending them year-round to combat all respiratory illnesses. As of September 13, the WHO reported over 296,000 H1N1 cases worldwide, including 3,486 fatalities.'","'西班牙马德里（CNN）—— 一位马德里餐馆老板实施了严格的卫生规程，以对抗 H1N1 病毒的传播，包括为员工进行体温检测、厨房员工必须佩戴口罩和手套，以及加强卫生措施。Silk & Soya 这家泰国主题餐厅实施了这些措施，以防止 H1N1（也称为猪流感）的传播。餐馆老板 Cipri Quintas 告诉 CNN：""我们实施这些措施是为了让我们的员工只提供食物，而不是病毒。"" 员工在轮班前进行体温测量，窗户打开通风，桌子间隔至少一米。所有参与食物准备的厨房员工都必须佩戴口罩和手套，服务员在处理盘子时使用餐巾纸。顾客进入电梯时会遇到自动洗手液分配器，每张桌子上都提供洗手液包。洗手间的门保持打开状态，灯光和水龙头是自动化的，以尽量减少接触。 全球都实施了类似的举措。在墨西哥城，餐馆暂时关闭，重新营业后，餐馆被要求增加桌子间距、减少客容量，并强制员工佩戴口罩。世界卫生组织建议将洗手作为一项关键的预防措施。Quintas 在 8 月份实施了这些措施，赢得了像 Simona Savin 等顾客的赞扬，Simona Savin 注意到了这些全面的卫生工作。另一位用餐者 Fernando Barea 说，他选择这家餐厅正是因为其 H1N1 预防措施。 Quintas 表示，他的目标是保护顾客和员工，他认为这是商业界应该共同承担的责任。医学流行病学家 Tom Jefferson 博士赞扬了这些努力，并建议将其全年推广，以对抗所有呼吸系统疾病。 截至 9 月 13 日，世界卫生组织报告全球 H1N1 病例超过 29.6 万例，其中包括 3486 例死亡。'","'Madrid restaurant goes above and beyond to fight swine flu!  Temperature checks, masks, gloves, the works! #H1N1 #SwineFlu #RestaurantSafety #HygieneHeroes'",'马德里餐厅为抗击猪流感拼了！测体温、戴口罩、手套齐上阵！#H1N1 #猪流感 #餐厅安全 #卫生英雄',zho,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/zho/CoI_cd7fc7be-299d-48e4-8494-aa0dfeb2b850_zho_edit.json,eng,"[zho,eng]",eng,zho,eng,light,DialyNews,y,n,y,n
79f4928f-6404-41ee-a1a8-523729b61a21,"'Frank Lampard’s temporary stint with Manchester City, on loan from New York City FC, is due to conclude in January.  His impressive displays, including goals against Chelsea and Sheffield Wednesday, have led City’s manager, Manuel Pellegrini, to express a desire to retain him. However, NYCFC anticipates Lampard's return for pre-season training, having centered their marketing campaign and ticket sales around his arrival.  Although there's no overt conflict between the two clubs, City fans might only enjoy five months of Lampard’s presence. NYCFC coach Jason Kreis denied rumors of an extended stay, emphasizing the club’s expectation that Lampard will join them in the new year.  While the MLS season begins in March, NYCFC views Lampard as their star attraction, even more so than David Villa, and wants him involved in pre-season preparations. Lampard himself remained noncommittal, stating that the decision rests with the clubs.  He acknowledged the recent speculation following his goal-scoring performances, but reiterated his commitment to playing well and leaving the decision to the clubs involved.  Lampard also addressed an incident where a young fan ran onto the pitch for a selfie, resulting in the fan's arrest and likely ban from future games. Reflecting on his transition from Chelsea, Lampard admitted to the challenges of adapting to a new setting after 13 years, describing his time at Chelsea as being on ‘auto-pilot.’ He expressed his enjoyment at playing alongside high-quality players at City, considering it a privilege at age 36.'",'兰帕德从纽约城足球俱乐部租借到曼城的临时效力将于一月结束。他在曼城的出色表现，包括对切尔西和谢菲尔德星期三的进球，使得曼城主教练佩莱格里尼表达了希望他留队的愿望。然而，纽约城足球俱乐部预计兰帕德将返回参加季前训练，因为他们的营销活动和门票销售都围绕着他的到来。尽管两家俱乐部之间没有公开的冲突，但曼城球迷可能只能享受兰帕德五个的比赛。纽约城足球俱乐部教练杰森·克雷斯否认了兰帕德将延长留队的传闻，强调俱乐部希望兰帕德在新的一年加入他们。虽然美国职业足球大联盟赛季将于三月开始，但纽约城足球俱乐部将兰帕德视为他们的明星球员，甚至比大卫·比利亚更重要，并希望他参与季前准备。兰帕德本人对此保持沉默，表示决定权在于俱乐部。他承认在他取得进球后出现了最近的猜测，但他重申了他会努力踢球并将决定权留给相关俱乐部的承诺。兰帕德还谈到了一名年轻球迷跑进球场与他自拍的事件，这导致该球迷被捕并可能被禁止观看未来的比赛。回顾他从切尔西的转会，兰帕德承认在13年后适应新环境的挑战，并将他在切尔西的时光描述为“自动驾驶”。他表示很享受与曼城的高水平球员一起比赛，认为这对他36岁的年龄来说是一种荣幸。','Lampard's future uncertain! Will he stay at Man City or return to NYCFC in January? #Lampard #MCFC #NYCFC #MLS','兰帕德的未来扑朔迷离！他会留在曼城还是在一月份回到纽约城足球俱乐部？ #兰帕德 #曼城 #纽约城足球俱乐部 #美国职业足球大联盟',zho,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/zho/CoI_79f4928f-6404-41ee-a1a8-523729b61a21_zho_rewrite_light.json,eng,zho,eng,zho,eng,light,DialyNews,y,n,y,n
633b663e-babc-4460-99e7-2c3731be3977,"'Free agent Danny Gabbidon is training with Cardiff City to maintain his fitness.  Cardiff manager Ole Gunnar Solksjaer has expressed interest in potentially signing Gabbidon, as the Championship side needs reinforcement at centre-back. Gabbidon, previously released by Crystal Palace, played more than 200 matches for Cardiff earlier in his career. Solksjaer acknowledged the situation, stating, 'He's evaluating us, and we're evaluating him. In football, you never know.' However, Solksjaer added that for now, it's simply about Gabbidon training and staying fit, and he doesn't anticipate a signing before Saturday.'",'自由球员丹尼·加比登目前正在卡迪夫城训练以保持状态。卡迪夫城主教练索尔斯克亚表示有兴趣签下加比登，因为这支英冠球队需要加强中后卫位置。加比登此前被水晶宫解约，早年曾在卡迪夫城效力过200多场比赛。索尔斯克亚承认了这一情况，并表示：“他正在评估我们，我们也在评估他。在足球世界里，一切皆有可能。” 然而，索尔斯克亚补充说，目前加比登只是在训练保持状态，他预计在周六之前不会完成签约。',"'Could Danny Gabbidon be back in a Cardiff City shirt? 🤔  The former defender is training with the Bluebirds, and manager Solksjaer is considering a move! #CCFC #Gabbidon #TransferNews'",'加比登回归卡迪夫城？🤔  前蓝鸟后卫正在球队训练，索帅考虑签下他！ #卡迪夫城 #加比登 #转会新闻',zho,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/zho/CoI_633b663e-babc-4460-99e7-2c3731be3977_zho_edit.json,eng,zho,eng,zho,eng,light,DialyNews,y,n,y,n
7dea1b92-c784-4f8a-b634-0af96e5d4441,"'A former aide to Representative Michele Bachmann (R-MN) has been arrested for theft.  Javier Sanchez, 37, of Virginia, was caught on a hidden camera stealing cash from the desk of Bachmann's chief of staff in the Rayburn House Office Building.  The U.S. Capitol Police set up a sting operation after a series of thefts were reported.  Two envelopes, one marked '$80 petty cash' and the other '$120 birthday money,' were taken by Sanchez on July 11th.  He has been charged with second-degree misdemeanor theft and released.  Bachmann, a prominent member of the tea party movement, recently announced her decision not to seek re-election.  She had also previously run for the Republican presidential nomination in 2012.  Other thefts in the building remain under investigation, and it is currently unclear if they're connected to Sanchez.'",'美国明尼苏达州共和党众议员米歇尔·巴赫曼的前助手因盗窃罪被捕。37岁的弗吉尼亚州居民哈维尔·桑切斯在雷伯恩众议院办公楼被隐藏摄像头拍到从巴赫曼办公室主任的办公桌上偷钱。美国国会警察在发生一系列盗窃案后设置了钓鱼行动。7月11日，桑切斯拿走了两个信封，一个标有“80美元零用现金”，另一个标有“120美元生日钱”。他被控二级轻罪盗窃，现已被释放。巴赫曼是茶党运动的重要成员，最近宣布她决定不再寻求连任。她之前还曾在2012年竞选共和党总统候选人提名。大楼内的其他盗窃案仍在调查中，目前尚不清楚它们是否与桑切斯有关。','Ex-Bachmann aide caught stealing!  #politics #theft #Bachmann #Congress','巴赫曼前助手偷窃被抓！#政治 #盗窃 #巴赫曼 #美国国会',zho,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/zho/CoI_7dea1b92-c784-4f8a-b634-0af96e5d4441_zho_rewrite_moderate.json,eng,zho,eng,zho,eng,moderate,DialyNews,y,n,y,n
