uuid,content,summary,language,organization,content_type,dataset
786aef5f-0f7f-4173-b973-7e1741d7e0d3,"TOKYO: Japan's space agency was likely penetrated by a cyber attack this year by unknown entities but no sensitive information about rockets or satellites was accessed, officials said Wednesday.The Japan Aerospace Exploration Agency (JAXA) reported to the government that the ""possibility is high that unauthorised access was made"" to its central server, government spokesman Hirokazu Matsuno told reporters.The server controls JAXA's intranet, but ""we have received information that the intranet is not dealing with sensitive information such as the operation of rockets and satellites,"" Matsuno said.A JAXA spokesman told AFP that the agency was investigating the incident in cooperation with police and cybersecurity vendor companies.""We think that the vulnerability of network equipment was targeted,"" he said.Police became aware of the attack earlier this year and notified JAXA, which was not unaware of the cyber attack until contacted by police, the Yomiuri Shimbun daily reported.JAXA is the hub of Japan's space industry, working on new rockets and launches of satellites as well as the country's ongoing ""Moon Sniper"" mission which blasted off in September.Nagoya Port, one of Japan's busiest, was crippled by a ransomware attack in July that was reportedly blamed on Lockbit, a Russia-based cybercrime organisation.Japan's National Center of Incident Readiness and Strategy for Cybersecurity (NISC), the agency responsible for the nation's defences against cyber attacks, was itself infiltrated by hackers for as long as nine months, the Financial Times reported in August.The same month the Washington Post cited US officials as saying that Chinese hackers had compromised Japanese classified defence networks in 2020, raising concerns about the cyber defences of one of Washington's closest allies in Asia. The Japanese government denied the claims.",8 vegetarian dishes from Kashmiri Pandit cuisine that are a must-try,eng,The Times of India,article,GlobalNews
819e83c9-d03e-406c-9c7d-2f34f9ee50b4,"By . Alex Greig . PUBLISHED: . 10:29 EST, 27 October 2013 . | . UPDATED: . 10:29 EST, 27 October 2013 . A Texas hunting group has announced it will auction off a permit to kill an endangered black rhinoceros - with proceeds going to the cause of saving the black rhinoceros. It's a plan that even the Dallas Safari Club (DSC) has admitted seems 'counterintuitive' and has raised ire among wildlife organizations. Ben Carter, the DSC's executive director, says Namibia has an annual quota to kill five black rhinos and has 'selected' the club to auction one of them. Endangered: Only about 5,000 black rhinos remain in Africa and around 1,795 live in Namibia, where the DSC winner will to shoot one . Ridicule: The idea of killing an animal in order to save it has drawn widespread scorn . 'First and foremost, this is about saving the black rhino,' said Ben Carter, DSC executive director. “ . 'There is a biological reason for this hunt, and it’s based on a fundamental premise of modern wildlife management: populations matter; individuals don’t. By removing counterproductive individuals from a herd, rhino populations can actually grow.' Namibia has a black rhino population of 1,795 animals. The critically endangered species has been decimated by poachers who hunt it for its valuable horn, and habitat loss. Since the mid-1970s, the population has been reduced by about 90 per cent. The DSC says the auction could generate up to $1 million for rhino conservation. Decimated: Black rhinos are hunted for their horn, which is in high demand in China for traditional medical treatments . The idea of hunting an endangered species in order to preserve it has drawn widespread scorn. 'It's like the old saying, If you love something, set it free. Then, when it has a bit of a head start, open fire,' Colbert said. He suggested facetiously that instead . of killing one rhino, all 5,000 remaining black rhinos should be shot, . which would raise $3.7 billion which could be used to keep one remaining . rhino safely confined. 'I believe this is the only practical way to save the species,' Colbert said. The black rhino hunt permit will be auctioned in January, but there is already a petition against it. 'It . is bad enough that paid poachers kill for the horn's imaginary . medicinal properties, but what is far worse is that the thoughtless pay . for sport hunting resulting in yet one more dead endangered animal just . so they can hang the decapitated head on their wall only to puff about . it over cocktails,' writes Cindy Arent, the originator of the petition. Al Jazeera reports that poachers in South Africa kill at least one rhino every day. 'Poachers . come by helicopter and dart a rhino from the air with a powerful . tranquilizer, a drug three thousand times more powerful than morphine. 'As [the rhino] succumbs to deep sedation, they take a chainsaw to her face. The machine's sharp teeth tear into her skull, removing her nasal cavities, exposing parts of her brain. [The horn] will be sold to a middle man for a small fortune.' Powdered black rhino horn is highly sought after in China, where it is used to treat various ailments.","The Dallas Safari Club will auction of a permit to kill a black rhino in Namibia .
The club says proceeds will go towards conserving the species .
The black rhino is critically endangered .
The club's concept of killing an animal in order to protect it has drawn widespread criticism .",eng,CNN,article,DialyNews
746c6bd3-68c1-4bf2-be4d-1e6de6c5ac83,"Agencies Mohammed Shami   New Delhi: Brands are making a beeline to sign up fast-bowling sensation  Mohammed Shami , whose  endorsement  fees has doubled to about ₹1 crore per deal during the ongoing ICC Men's  Cricket World Cup  as he has turned the new poster boy of  Indian cricket  following his record-breaking wicket haul. Nutrition and health, beverages, electronics and headphones companies, in particular, are keen to sign up Shami as their  brand ambassador , said Saurajit Chatterjee, founder of Flair Media, a Kolkata-based athlete and sports management company which represents the 33-year-old right-arm fast bowler. ""We are looking forward to closing some major brand deals soon,"" Chatterjee told ET. ""There are mails and calls coming every alternate day for the last two-three weeks for associations, ranging from yearly brand endorsements to social media collaborations to physical appearances post the World Cup."" In this World Cup, Shami has picked up 23 wickets in six matches, including three fifers, after being left out of the playing squad in the first four matches. He also became the quickest bowler in World Cup history to reach the 50-wicket milestone.    While Chatterjee did not disclose any financial details, industry executives said Shami's endorsement fees has doubled from Rs 40-50 lakh per endorsement within the duration of the ongoing tournament. His existing brand deals include those with sportswear firm Puma, Hell Energy Drink and Vision 11 fantasy app, all of which have struck gold with their association with the speedster given his exploits in the tournament. ""Shami storm has hit Wankhede,"" said a post on X (previously  Twitter ) by  Puma India , which had signed up Shami as its brand ambassador for footwear, apparel and accessories just before the World Cup. The company had timed the launch of its bowling spikes, which come with mid-soles meant for runners and for supporting fast bowlers, with the engagement with the pacer. Puma India put out nearly a dozen tweets and photos Thursday. ""To onboard someone like Shami has definitely done wonders for the brand... with him wearing a Puma spike and taking those wickets. We feel this will definitely have a huge impact on budding cricketers,"" Chatterjee said. For the other brands associated with  Shami , too, the past fortnight has been exceptional. ""We are privileged to associate with a talent like Shami who represents the pulse of India,"" said Unnikannan Gangadharan, country head, Hell Energy Drink. Experts said Shami's sensational comeback in the World Cup, reflecting his ""phenomenal grit"", make for a compelling story for any brand to associate with. Earlier, he had bitter incidents in his personal life when his wife accused him of match-fixing and harassment, he suffered head injuries in a road accident and has been subjected to vicious trolling by a section of people for his religion. ""In today's environment, when Shami is always going to be vulnerable for something he cannot control unfortunately - his religion - his grit has been phenomenal,"" said social commentator Santosh Desai. Shami's seven-wicket haul on Wednesday, along with Virat Kohli's 50th one-day international century, when India defeated New Zealand in the semi-final at a packed Wankhede Stadium, which saw the who's who of Mumbai in the stands wearing the blue India jersey, broke the internet. Dozens of brands across categories put out social media posts on X and Instagram. Even Delhi Police tweeted from its official handle, addressing Mumbai Police, ""Hope you do not book Shami for tonight's assault."" Karthik Balagopalan, managing director at Puma India, said, ""Shami is an outstanding fast bowler with an impressive track record across cricketing formats. His relentless courage, unwavering spirit and the finesse he brings to the game perfectly resonates with our brand values."" Experience Your Economic Times Newspaper, The Digital Way! Saturday, 18 Nov, 2023 Read Complete ePaper  » Digital View Print View Wealth Edition NBFCs Likely to See Rise in Bond Mkt Borrowing Costs Indian non-bank lenders will likely have to shell out more to borrow in the bond market after the banking regulator Thursday assigned higher risk weights to unsecured advances, potentially increasing debt supply by pushing these borrowers to sell corporate bonds while making it more expensive for banks to lend to this credit sub segment. Climate, Inequality Biggest Challenges, need Long-term Fix At the helm of the World Bank for the last five months, Ajay Banga spoke to Seema Sirohi in his Washington office about making changes, getting funds during two wars, tackling India’s underemployment problem and other issues. Edited excerpts from the interview. Disbursal could Enter Slow Lane for Fintech Lenders The Reserve Bank of India’s recent directive requiring lending institutions to increase their risk weights or the amount of capital to be set aside against unsecured loans disbursed by them, could weigh down the country’s nascent fintech lending sector, several industry experts told ET. Read More News on endorsement Mohammed Shami Indian cricket shami brand ambassador cricket World Cup puma india Twitter (Catch all the  Business News ,  Breaking News  Events and  Latest News  Updates on  The Economic Times .) Download  The Economic Times News App  to get Daily Market Updates & Live Business News. ... more less Recommended Stories Maruti gets nod from shareholders to fully acquire Suzuki Motor Gujarat Oberoi Realty acquires 14.8 acre in Gurugram for Rs 597 crore Mukesh Ambani, top industrialists likely to attend Bengal business meet India set for revolutionary leap in IT hardware manufacturing: MAIT on approval to 27 cos under PLI scheme Tata Power receives first set of BESS from Tata AutoComp India's gem, jewellery exports decline 11.49% to Rs 22,873 cr in Oct Tier-2, -3 cities bring in double-digit growth: Sanjeev Sharma, ABB India India vs Australia: Airfares surge eightfold, hotels 29X as cricket excitement reaches fever pitch in Ahmedabad S Venkitaramanan, former RBI Governor and India's BoP crisis saviour, dead ""Alleging favouritism of any kind is a mischievous ploy to muddy the waters...,"" Adani group responds to TDR controversy 1 2 3 4 5 6 7 8 9 10","New Delhi: Brands are making a beeline to sign up fast-bowling sensation Mohammed Shami, whose endorsement fees has doubled to about 1 crore per deal during the ongoing ICC Men's Cricket World Cup as… [+3632 chars]",eng,The Times of India,article,GlobalNews
911d6ab2-a870-4eb2-ad1a-3a97f377920f,"LONDON --An ecstatic couple slow danced surrounded by their loved ones in an opulently decoratedweddinghall flanked by pyrotechnics. Within an hour, over 200 of their closest friends and family suffered severe burns and smoke inhalation. More than half did not survive. Videos verified by ABC News and reviewed by a fire investigator reveal the hazards that turned the venue, Al-Haitham Hall in Hamdaniya,Iraq, into what the investigator described as a ""firetrap."" The deadly fire in late September sparked a speedy government investigation that placed the blame on the venue's owners but has also revealed broader cleavages within Iraqi society. A report issued by Iraq's Interior Ministry four days after the fire highlights four pyrotechnic devices in the center of the wedding hall as responsible for the start of the fire. Sparks reached four meters in height, according to the report. The judgement prompted ire among some observers, who claimed the devices were ""cold"" pyrotechnics that did not emit live flames. Several TikTok videos showed users placing their hands into the showers of sparks emitted by the devices in an effort to demonstrate their perceived lack of risk. In security footage from less than a minute before the fire began, a videographer can be seen stepping through the sparks, but experts say the devices may not be without their risks. ABC News consulted a person with knowledge of cold pyrotechnics who said they can still be hazardous if safe distances are not observed and the sparks come into contact with flammable material. Captain Walter Godfrey, president of Fire/Reconstruction Consultants Inc., which is based in Florida, reviewed the video and said the four ""cold"" pyrotechnic devices were the ""central ignition source"" and in turn led to the fire spreading to the hall's ""highly flammable"" central ceiling fixture. Drone video obtained from wedding videographers shows the hall's elaborately decorated central ceiling fixture. Godfrey identified the brown material as the first to be ignited. ""Being leafy in design it allowed sufficient oxygen around the individual leaves to support combustion and depending on their chemical make-up supports rapid flame spread throughout the venue,"" he said. Godfrey identified this same material falling from the ceiling in the video, moments after the fire began. Godfrey believes the flaming decorations then acted as a catalyst, spreading to the white fabric drapes acting as light diffusers and gold hanging decorations, before falling on vinyl covered tables and chairs and in turn igniting them. Security video released by Iraqi's interior ministry shows thick smoke billowing down from this same central ceiling fixture. Godfrey believes the smoke was circulated by air conditioning units located close to the active fire, further adding to confusion and obscuring vision in the first few minutes. Gandhi Bashar Abdul Ahad, a musician at the wedding, told ABC News that women and children started screaming as they noticed the fire dropping from the ceiling. ""All the lights went out inside the hall, and it became very dark, and people started bumping into chairs and tables and people falling on top of each other."" The government investigation claimed the hall's owner, thinking that a short circuit had started the fire, had cut the electricity and plunged the room into darkness. Godfrey suggests instead the fire could have caused the circuits in the ceiling area to short out, pop the breakers, and cut out the lights. ABC News spoke with two attendees who confirmed that there were only two exit routes; the main entrance and a second exit route via the kitchen. Godfrey deems the lack of exits on a building of this size as ""criminal,"" highlighting how the table layout acted as a barrier, trapping guests on one half of the room with no exit route. When the fire broke out Ghandi was sat with the band on stage. He said, along with the bride and groom, he managed to escape through the kitchen door. ""I went to the main door to help the families, but I was unable to enter due to the intensity of the fire inside. No one could enter the hall to save the families because everyone who entered would die,"" he said. Graphic videos taken by videographer Ghali Kasko at 11:36 p.m. show gaping holes in the external walls that Ghali claims were made by desperate civilians using bulldozers to reach people trapped inside the building. Nineb Lamassu, a Peacebuilding Advisor for an NGO based in Mosul told ABC News the scale of the deadly fire was the result of negligence on the part of the proprietor. However, the interior ministry's recommendation in its report that six regional officials be fired for their failure to enforce safety regulations has angered many in the often-neglected region of Ninevah, who believe administrators from the local Christian community are being unequally scapegoated. Speaking to ABC News from Baghdad, Abbas Kadhim, Director of the Atlantic Council's Iraq Initiative, said the government report's fast turnaround was the result of political pressures as Iraq's government faces the approaching anniversary of opposition protests. ""This is a time when the atmosphere is very tense,"" Kadhim said. ""It's very hard to expect the government to reform this situation because it is associated with the wider problem of corruption which is rampant in the country. Enforcement is next to nil,"" Kadhim said. ""Many feel it didn't handle the root causes of the problems."" ABC News' Bader Katy contributed to this story.","LONDON -- An ecstatic couple slow danced surrounded by their loved ones in an opulently decorated wedding hall flanked by pyrotechnics.
Within an hour, over 200 of their closest friends and family s… [+5458 chars]",eng,ABC News,article,GlobalNews
a027e7f4-b36e-4980-8cf2-9a0f233bb300,"Getty Images Retail and banking stocks rose 0.5 per cent and 0.7 per cent, respectively. Shares of  DLF Ltd.  gained 0.69 per cent to Rs 626.6 in Thursday's session as of 12:18PM (IST) even as the equity benchmark  Sensex  traded 447.75 points higher at 66123.68.     Earlier in the day, the stock witnessed a gap up start to the session. The stock quoted a 52-week high price of Rs 627.55 and a 52-week low of Rs 336.55 on  NSE . Around 60987 shares changed hands on the counter till 12:18PM (IST).     The stock opened at Rs 624.65 and has touched an intraday high and low of Rs 627.55 and Rs 620.1 during the session so far. The stock quoted a price-to-earnings (PE) ratio of 69.29, earnings per share (EPS) of Rs 9.05 and price to book value (PB) of 2.34, while the return on equity (ROE) stood at Rs 5.4.       Promoter/ FII Holding  The promoters held 74.08 per cent stake in the company as of November 16, while FII and MF ownerships stood at 15.89 per cent and 3.92 per cent, respectively.       Key Financials     With a market capitalisation of Rs 155140.16 crore, the company operates in the Real Estate industry. For the quarter ended 30-Sep-2023, the company reported consolidated sales of Rs 1476.42 crore, down 2.98 per cent from the previous quarter?s Rs 1521.71 crore and down 8.52 per cent from the same quarter a year ago. The company reported net profit of Rs 622.78 crore for the latest quarter, up 30.55 per cent from the corresponding quarter last year.       Technical Indicators   The relative strength index (RSI) of the stock stands at 76.99. The RSI oscillates between zero and 100. Traditionally, it is considered overbought condition when the RSI value is above 70 and oversold condition when it is below 30. Analysts say the RSI indicator should not be seen in isolation, as it may not be sufficient to take a trading call, just the way a fundamental analyst cannot give a ""buy"" or ""sell"" recommendation using a single valuation ratio. Connect with Experts - Wealth creation made easy Experience Your Economic Times Newspaper, The Digital Way! Friday, 17 Nov, 2023 Read Complete ePaper  » Digital View Print View Wealth Edition RBI Tightens Capital Norms for Unsecured Retail Loans India’s banking regulator on Thursday slammed the brakes on the unbridled growth in consumer loans that lately expanded faster than less risky lending assets, directing banks to set aside more capital and establish board-monitored processes on such advances to prevent risk escalation in the financial system. And The Endorsement Cup Goes to Brand Shami Brands are making a beeline to sign up fast-bowling sensation Mohammed Shami, whose endorsement fees has doubled to about ₹1 crore per deal during the ongoing ICC Men’s Cricket World Cup as he has turned the new poster boy of Indian cricket following his record-breaking wicket haul. Govt Writes to HZL, Says Co Needs its Nod for Creating Separate Biz Entities The mines ministry has written to Hindustan Zinc Ltd (HZL) stressing any business reorganization would require a formal approval from the government, a person aware of the details told ET. Read More News on dlf dlf ltd dlf ltd. DLF Share Price dlf dlf ltd dlf ltd. DLF BSE NSE (What's moving  Sensex  and   Nifty   Track   latest market news ,   stock tips  and   expert advice  on   ETMarkets .  Also, ETMarkets.com is now on Telegram. For fastest news alerts on financial markets, investment strategies and stocks alerts,  subscribe to our Telegram feeds .)  Download  The Economic Times News App  to get Daily Market Updates & Live Business News.  Top Trending Stocks:  Sensex Today Live ,  SBI Share Price ,  Axis Bank Share Price ,  HDFC Bank Share Price ,  Infosys Share Price ,  Wipro Share Price ,  NTPC Share Price ... more less Pick the best stocks for yourself 
		            Powered by
		             Weekly Top Picks: Eight stocks with consistent score improvement and upside potential of up to 40% 9 mins read 4 stocks with 5 % to 8.87% dividend yields and continuous dividend payments for 7 years 7 mins read Weekly Top Picks: Seven large & mid caps with consistent score improvement and upside potential of up to 42% 9 mins read What do Q2 LIC results indicate for other Insurance companies? Two Life and 3 non-life Insurance players with “buy” and “strong buy” ratings 3 mins read Large cap stocks with upside potential of more than 25% 4 mins read 5 stocks for a high dividend yielding portfolio 8 mins read Eight midcap stocks, 2 with“ Strong Buy” and 6 with “Buy” recommendations with potential upside of up to 35% 7 mins read Six high ROE and low PEG ratio stocks, right combination for wealth creation 8 mins read 
                                View  More Stories
                             
		            Subscribe to  ETPrime","Shares of DLF Ltd. gained 0.69 per cent to Rs 626.6 in Thursday's session as of 12:18PM (IST) even as the equity benchmark Sensex traded 447.75 points higher at 66123.68. Earlier in the day, the stoc… [+1646 chars]",eng,The Times of India,article,GlobalNews
456bedd1-76fc-4292-a1f3-77f899da0e47,"Missing: Arthur Neal Jr, 86, was last seen at his home on Trinity street in Detroit, Michigan, on December 20 . The family of an elderly man who disappeared in the middle of the night just days after he won $20,000 on the lottery say they fear for his life. Arthur Neal Jr, 86, was last seen at his home on Trinity street in Detroit, Michigan, on December 20. He was driving a black, 1998, Cadillac Deville, with a Michigan plate of BMZ -7786. The African American grandfather is 5ft 7 inches tall and weighs 160 pounds with a medium complexion, gray hair, and a full beard and mustache. Neal's worried granddaughter, Lawanda Marshall, said they had become concerned after he failed to show up for Christmas, as he would not have missed Christmas with his family. According to his relatives, Neal  had recently won  $20,000 in a lottery game, but had no plans to leave town. Marshall said that the information about his lottery win was widely publicized and his family think this could be the reason he has vanished into thin air. Marshall said: 'It bothers me greatly because I don't think that's the type of information that should have seeped out – if that was the case – especially that neighborhood in which he was staying and reside.' Neal's family said they went to his house to check on him and found his home in disarray and a door left ajar which raised their suspicions  further. Vehicle: Neal was last seen driving a black, 1998, Cadillac Deville, similar to this white model, with a Michigan plate of BMZ -7786 . His family said that he still does masonry work despite his age. They are appealing to anyone with information to report it to police. Anyone with information should contact Detroit Police on (313) 596-5640.","Arthur Neal Jr, 86, last seen at his home on Trinity street in Detroit, Michigan, on December 20 .
The grandfather is African American, 5ft 7 tall and weighs 160 pounds .
He was last seen driving a black, 1998, Cadillac Deville, with a Michigan plate of BMZ -7786 .",eng,CNN,article,DialyNews
976ac63b-4ce4-471d-bd0f-82ed2b87e462,"Italy's Prime Minister, Giorgia Meloni, has appointed former Prime Minister Giuliano Amato to run a commission on AI and publishing. According toWired Italy, ""The commission led by Amato will have the task of evaluating the risks and opportunities that the application of artificial intelligence can have in the publishing market and journalism."" While it's not fair to criticize Meloni's selection of an 85-year-old to oversee the impact of cutting-edge technology on society, the fact that Amato has no AI or IT experience makes one wonder if there was anyone in Italy who would have been more suitable for the role. FromRead Write Web: According to areportby Wired Italy, the commission nicknamed the ""algorithms commission,"" will evaluate the risks and opportunities of applying AI in the news and publishing industries. The choice of Amato, whose long political career includes stints as deputy, minister, prime minister, and recently president of the Constitutional Court, has raised some eyebrows. Particularly given that he just made headlines blocking referendum efforts on cannabis and end-of-life choices — not faring well for expectations of progressive policies when faced with new technologies and rapid change. The appointment was made by Alfredo Barachini, undersecretary to Meloni, for publishing and information. It seems an unconventional pick compared to other countries like the UK, which named41-year-oldtech entrepreneur and machine learning expert Ian Hogarth to lead a similar commission.","Italy's Prime Minister, Giorgia Meloni, has appointed former Prime Minister Giuliano Amato to run a commission on AI and publishing.
According to Wired Italy, ""The commission led by Amato will have … [+1323 chars]",eng,Boing Boing,article,GlobalNews
6b62e323-ecce-40a0-978a-f701f71dbe29,"By . Emma Innes . A quarter of women who have an abortion go on to have another one, new figures show. And 57 per cent of young women who had an abortion claimed to have been using contraception when they conceived. The majority of these women were using short-term methods of contraception, such as the Pill or condoms. A quarter of women who have an abortion go on to have another one, new figures show (file picture) The figures, from reproductive health charity Marie Stopes UK, also revealed that only 12 per cent of women have used emergency contraception and that the older a woman is, the more likely she is to have had more than one abortion. They also showed that a month after having an abortion 86 per cent of women are using contraception, but 67 per cent use their chosen method of contraception for less than a year. Reasons for stopping include menstrual irregularities and not renewing supply in time to take the Pill. After having an abortion, 63 per cent of the women surveyed were given long-acting reversible contraception – compared to 30 per cent of young women in England as a whole – and they were more likely to choose these methods of contraception if they had had more than one abortion or if they had had a surgical abortion. The researchers analysed five years of Marie Stopes UK’s patient data, surveying 430 women - 121 of whom had previously had an abortion – and all of whom were between the ages of 16 and 24. Although the total number of abortions in England and Wales has gradually declined in recent years, the number of women seeking abortion who had one or more previous abortions is increasing. Some 57 per cent of people who have an abortion were using contraception when they conceived - most were using the Pill or condoms . Genevieve Edwards, Director of Policy at Marie Stopes UK, said: ‘Women have three fertile decades to manage, but too many women are being let down by a lack of on-going support in choosing and using the most effective method of contraception. ‘If we tackled the lack of sex and relationship education in schools, invested in contraceptive training for health professionals and bridged the gap between abortion, contraception and sexual health services, we’d see the rates of unwanted pregnancies plummet.’ The researchers say that with typical use, nine in 100 women become pregnant each year while taking the pill and that condoms have a failure rate of 18 per cent. This failure rate means that of the people who say condoms are their chosen method of contraception, 18 per cent will actually not be protected from pregnancy each time they have sex. This can be because they do not actually use a condom, because they do not use it properly, or because it breaks. In contrast, there is a less than one per cent failure rate for long-acting methods of contraception, such as implants and coils. Ms Edwards added: ‘We have got to get better at talking about contraception and abortion. One in three women will have an abortion and one in four of them will go on to have another. ‘Our research shows there is no particular demographic group who are more likely to have abortions – it can happen to any of us. But for the majority of women, it was more often the short-term methods that failed them. ‘Getting this right is also good for the public purse. Fitting a coil costs about £40 and lasts ten years – that’s less than 8p a week and it repays the NHS many times over in abortion or maternity costs.’","The majority of women who conceive while using contraception are taking the Pill or using condoms - very few are using longer-term contraceptives .
A month after having an abortion, 86% of women are using contraception .
But 67% have given up using their chosen contraceptive after a year .
Common reasons are menstrual problems or forgetting to pick up the Pill .",eng,CNN,article,DialyNews
52e4e3de-29b8-46bb-9284-75340d53306f,"Large swathes of the global oil industry will pledge to eliminatemethane emissionsand gas flaring by the end of the decade, the president of the COP28 climate summit said. More than 20oil and gas producers, from both the private and state sectors, have made the commitment alongside setting targets to reach net zero by 2050,Sultan Al Jabersaid at the Adipec oil and gas exhibition in Abu Dhabi on Monday. He did not name the companies. Tackling methane emissions is seen as a quick and effective climate solution because ton-for-ton it’s a far more potent agent of global warming than carbon dioxide in the short term. Al Jaber’s presidency of the United Nations-sponsored talks has sparked controversy because he’s also head of Abu Dhabi National Oil Co., one of the world’s largest crude producers. He has argued the existing energy industry must play a role in a successful energy transition. “This industry can and must help drive the solutions,” Al Jaber said in a speech. “For too long, this industry has been viewed as part of the problem, that it’s not doing enough and in some cases even blocking progress. This is your opportunity to show the world that, in fact, you are central to the solution.” As well as rapid progress on reducing emissions from oil and gas production, the other two areas of focus for this year’s COP are speeding up the deployment of renewables and developing technology to abate emissions from energy-intensive industries like cement, Al Jaber said. This year’s COP takes place in Dubai in late November and early December and is expected to be more welcoming to representatives of the oil industry that previous versions of the event. Speaking on a panel at Adipec, leading oil and gas chief executive officers including Wael Sawan of Shell Plc and Patrick Pouyanne of Total Energies SE said that methane and flaring were two areas where the industry could demonstrate rapid progress even as oil and gas remains a significant part of the energy mix for decades to come.","Large swathes of the global oil industry will pledge to eliminate methane emissions and gas flaring by the end of the decade, the president of the COP28 climate summit said.
More than 20 oil and gas… [+1840 chars]",eng,Time,article,GlobalNews
7c036693-349c-43a0-bcaa-871c8b21e177,"New Delhi (CNN) -- India and Pakistan Wednesday pledged not to let their fragile peace process slide again because of thorny issues that have made the nuclear neighbors bitter enemies. Pakistan's new Foreign Minister Hina Rabbani Khar met her Indian counterpart S.M. Krishna in New Delhi in an engagement that saw no major breakthroughs over outstanding disputes but a commitment to pursue dialogue. Their talks came barely two weeks after three deadly explosions ripped through Mumbai, an attack that revived memories of the 2008 terror siege of India's financial hub. Pakistan was quick to condemn the July 13 bombings of Mumbai while New Delhi was careful not to finger Islamabad. ""This is indeed a new era of bilateral cooperation between the two countries and it is our desire, and I believe after having spoken to you mister foreign minister, that it is the desire and commitment of both the governments to make it an uninterrupted and uninterruptable process,"" Khar remarked, standing beside the Indian leader after their meeting. In his comments, Krishna too acknowledged sustained negotiations were the way forward. ""We have reaffirmed our commitment to resolve all outstanding issues through a comprehensive, serious and sustained dialogue. While being fully cognizant of the challenges that lie ahead, I can confidently say that our relations are on the right track,"" he said. ""We have some distance to travel, but with an open mind and a constructive approach, which has been demonstrated in this round of dialogue, I am sure we can reach our desired destination of having a friendly and cooperative relationship between the two countries,"" Krishna added. As part of their confidence-building measures, both sides agreed to double the frequency of trade across Kashmir -- the disputed region divided between the countries -- to four days a week. The current three-year agreement involves 21 locally made items, which a joint statement issued after the talks said would be reviewed for possible additions. India and Pakistan have have fought three wars since the partition of the Asian subcontinent in 1947, two of them over Kashmir, which both nations claim. ""The ministers held discussions on the issue of Jammu and Kashmir and agreed to the need for continued discussions, in a purposeful and forward looking manner, with a view to finding a peaceful solution by narrowing divergences and building convergences,"" the joint statement noted. Earlier this year, New Delhi and Islamabad agreed to resume peace talks frozen by the 2008 Mumbai strikes, which have been blamed on Pakistan-based militant groups. Under U.S. pressure, Indian and Pakistani leaders held meetings last year in a bid to put their dialogue back on track, but no dramatic headway has been made. In 2004, the nations agreed to negotiations that cover eight issues, including Kashmir, terrorism and Pakistan's concerns over river dams on the Indian side of the border, which it sees as a threat to its water supplies. Since then, successive governments have held talks in an effort to end the historical acrimony. Indian Prime Minister Manmohan Singh and Pakistan's President Asif Ali Zardari hailed results from the dialogue in September 2008 as the countries completed four rounds of diplomatic meetings. But talks were suspended two months later, in November 2008, after the terror raid on Mumbai that left more than 160 people dead.","Indian and Pakistani foreign ministers meet .
No breakthroughs are announced but there is a commitment to pursue dialogue .
Both sides express optimism that dialogue will lead to progress .",eng,CNN,article,DialyNews
