url,archive,title,date,content,summary,language,organization,organization_standardized,news_type,uuid,content_type,dataset
https://www.voahausa.com/a/wasu-miyagu-sun-sace-wani-hamshakin-dan-kasuwa-a-taraba/2851711.html,https://www.voahausa.com/a/wasu-miyagu-sun-sace-wani-hamshakin-dan-kasuwa-a-taraba/2851711.html,Wasu Miyagu Sun Sace Wani Hamshakin Dan Kasuwa A Taraba,,"A cigaba da barazana ga tsaro a arewa maso gabashin Najeriya, wasu yan bindiga da ba’a san ko su waye ba,sun kai hari Mararrabar Ba’isa a kudancin jihar Taraba dake arewa maso gabashin Najeriya, inda suka yi awon gaba da wani mashahurin dan kasuwa wanda kawo yanzu ba’a san inda aka yi da shi ba. Wannan al’amarin ya haddasa fargaba da rashin sanin tabbas tsakanin al’ummar yankin.

Wani wanda ya nemi a sakaya sunansa ya gaya ma wakilinmu Ibrahim Abdul’aziz cewa iyalan wanda ake wa lakabi da “Esaiko” da miyagun sun shiga tattaunawa kan kudin fansa, wanda ya kai Naira miliyan 50. Y ace rashin kai dauki daga jama’a da jami’an tsaro cikin lokaci mai yiwuwa na da nasaba da faruwar abin da dare. Shi kuwa kakakin rundunar ‘yan sandan jihar Taraba DSP Joseph Kwaji ya shaida ma wakilin namu cewa tuni aka baza jami’an tsaro don bincike. Ya yi kira ga jama’a da su sa ido su fallasa miyagun da kan shiga cikin jama’a da niyyar cuta.

A wata sabuwa kuma ‘yan sintiri na kungiyar Fulani ta Tabital Fulaku shiyyar jihar Adamawa ta wadda kan taimaka ma jami’an tsaro, ta damke wasu barayin shanu da masu garkuwa da mutane don neman kudin fansa. Wani jigo a kungiyar ta Tabital Fulaku Alhaji Aliyu Nuhu ya bayyana cewa sun mika miyagun ga ‘yan sandan ciki na CID ana ta bincikensu. Wani dan gidan Ali Kwara, wanda ya jagoranci kama barayin shanun y ace ya gaya ma Ali Kwara halin da ake ciki shi ne ya hada shi da wani babban jami’in tsaro wanda ta haka su ka yi nasarar kama miyagun da bindigogin AK 47 guda biyu da harsasai 120 da dai sauransu.","Yayin da aka sace wani babban dan kasuwa a jahar Taraba, a jahar Adamawa kuwa damke masu aikata irin wannan danyan aikin aka yi",hau,voahausa,VOA USA,fake news,a1f5cc25-eb14-4d00-b4e9-6393261fc939,article,MassiveSum
https://www.voanouvel.com/a/us-tillerson/4296434.html,https://www.voanouvel.com/a/us-tillerson/4296434.html,Prezidan Trump Ranplase Sekretè Deta Rex Tillerson e li Mete Direktè CIA a nan Plas li,,"Prezidan Donald Trump revoke Sekretè deta ameriken Rex Tillerson e li mete direktè CIA Mike Pompeo nan plas li. Desizyon sa a pote yon gwo chanjman nan ekip sekirite nasyonal prezidan an, e li entèvni, dapre Lamezon Blanch, nan mitan negosyasyon delika Etazini ap fè ak KorediNò. Lidè ameriken an pran desizyon sa a apre yon virewon Misye Tillerson sot fè sou kontinan Afriken an.

Sekretè Deta Ameriken an Rex Tillerson te wete 1 jou sou longè vwayaj yon toune li t ap fè sou kontinan Afriken an apre li fin rankontre ak ofisyèl ak lidè yo nan peyi Chad ak Nijerya.

Sa ki eksplike desizyon an sa ase te ijans ki genyen pou chèf diplomasi amerikèn nan diskite sou dosye Kore di Nò a apre Prezidan Trump fin aksepte fè yon rankont ak lidè peyi sa a, Kim Jun Un.","Prezidan Donald Trump revoke Sekretè deta ameriken Rex Tillerson e li mete direktè CIA Mike Pompeo nan plas li. Desizyon sa a pote yon gwo chanjman nan ekip sekirite nasyonal prezidan an, e li entèvni, dapre Lamezon Blanch, nan mitan negosyasyon delika Etazini ap fè ak KorediNò. Lidè ameriken an...",hau,voanouvel,VOA Nouvel,fake news,22947b4f-134d-4288-a884-9f642fa975e3,article,MassiveSum
http://sandesh.com/corona-to-die-for-ritual/,http://sandesh.com/corona-to-die-for-ritual/,કોરોનાથી મરનારાને વિધિપૂર્ણ અંતિમસંસ્કાર પણ નસીબ થતા નથી !,,"તાજેતરમાં ૮૩ વર્ષની વયે દુનિયાને અલવિદા કહેનારા અલ્ફ્રેડો વિસિઓલીના અંતિમસંસ્કાર પણ બરાબર થઇ શક્યા ન હતા. ઇટાલીના ક્રોમોના શહેરમાં કોરોના વાઇરસે તેમનો ભોગ લીધો હતો. ક્રોમોનાની પાસેના એક કબ્રસ્તાનમાં ઉતાવળે તેમને દફ્નાવી દેવાયા હતા. તેમની પૌત્રી માર્ટા માનફ્રેડી પોતાના દાદાને અંતિમ વિદાય પણ આપી શકી ન હતી. જ્યારે તેમને દફ્નાવાતા હતા, તો પરિવારના મોટા ભાગના સભ્યો ત્યાં હાજર ન હતા. વાઇરસ ફેલાવાના ડરથી ઇટાલીના મોટાભાગના લોકોની જેમ તેઓ પણ પોતાના ઘરમાં કેદ થયા હતા. કોરોના વાઇરસ દુનિયાભરમાં તમામ ધર્મો અને સંસ્કૃતિઓના લોકોને શિકાર બનાવી રહ્યા છે. એ સંજોગોમાં વાઇરસથી મૃત્યુ પામેલા લોકોના સન્માનમાં થનારા અનુષ્ઠાન લગભગ નહીંવત થઇ રહ્યા છે. વાઇરસને ફેલાતો રોકવાથી એમ કરાય છે. મહત્ત્વની વાત એ છે કે, વર્તમાન સમયમાં સોશિયલ ડિસ્ટન્સિંગ નહીં રાખીએ તો કમોતે મરવાનો વારો આવશે અને ઘર પરિવારના સભ્યો મૃતકની અંતિમવિધિ પણ નહીં કરી શકે.

આયરલેન્ડમાં સ્વાસ્થ્ય અધિકારીઓએ શબઘરોમાં કામ કરતા લોકોને નિર્દેશ કર્યો છે કે મૃતકોના મોં ઉપર માસ્ક લગાવે, જેથી તેનાથી થતા સંક્રમણના નાના જોખમને પણ રોકી શકાય છે. ઇટાલીમાં અંતિમસંસ્કાર સાથે જોડાયેલી એક કંપની વીડિયો લિન્કનો ઉપયોગ કરી રહી છે, જેથી પરિવારવાળા જોઇ શકે કે તેમના મૃત પરિજનનો અંતિમ સંસ્કાર પાદરીની હાજરીમાં અને તેના આશીર્વાદથી થઇ રહ્યા છે. દક્ષિણ કોરિયામાં પણ વાઇરસ ફેલાવાના ડરથી લોકો પોતાના પરિજનની અંતિમક્રિયા માટે કબ્રસ્તાન જવા માટે ડરી રહ્યા છે. સૌથી મુશ્કેલ સ્થિતિ આ સમયે ઇટાલીમાં છે, જ્યાં કોરોના વાઇરસને કારણે સૌથી વધુ લોકો મૃત્યુ પામ્યા છે.

ઇરાનની સ્થિતિ પણ ખરાબ । ઇટાલીની જેમ ઇરાનમાં પણ સ્થિતિ ઘણી જ ખરાબ છે. હોસ્પિટલ અને કબ્રસ્તાનમાં મૃતદેહોની સંખ્યા વધી ગઇ છે. રાજધાની તહેરાનના બેહશ્ત એ જાહરા કબ્રસ્તાનના એક પ્રબંધકનું કહેવું છે કે કબર ખોદવા માટે નવા લોકોને કામે લગાડવામાં આવે છે. તેમણે કહ્યું કે, અમે દિવસ-રાત કામ કરી રહ્યા છે. મેં આ પ્રકારની સ્થિતિ ક્યારેય જોઇ નથી. અંતિમસંસ્કારની વિધિ પણ નથી થતી. તેઓ જણાવે છે કે, મોટા ભાગના મૃતદેહો ટ્રકો મોકલાય છે અને તેમને ઇસ્લામી વિધિ વિના જ જમીનમાં દફ્નાવી દેવાય છે. એ દરમિયાન ઇરાનમાં કેટલાય લોકોને આશંકા છે કે અધિકારીઓ એટલા માટે પણ લોકોને તત્કાળ દફ્નાવી રહ્યા છે કે જેથી મૃતકોનો ચોક્કસ આંકડો બહાર નહીં આવે. ઇરાનની સરકાર પર કોરોના વાઇરસને નિયંત્રિત કરવા પર્યાપ્ત પગલાં ન ઉઠાવવાના આરોપ પણ લાગી રહ્યા છે. રવિવાર સુધી ઇરાનમાં કોરોના વાઇરસથી મૃત્યુ પામનારાઓની સંખ્યા દોઢ હજારથી વધી ગઇ છે.

આરોપોના ઘેરામાં ઇરાન સરકાર । ઇરાનની હોસ્પિટલોમાં કામ કરનારી બે નર્સોએ રોઇટર્સને જણાવ્યું કે, તેમને પણ લાગે છે કે સરકાર જણાવે છે તેના કરતાં મૃતકોની સંખ્યા તેનાથી ઘણી વધુ છે. જો કે ઇરાનના અધિકારી એવા આરોપોનો ઇનકાર કરી રહ્યા છે. ૧૮ માર્ચે ઇરાનના રાષ્ટ્રપતિ દસન રોહાનીએ ટીવી પર રાષ્ટ્રને સંબોધન કરીને કહ્યું કે તેમની સરકાર દેશ સમક્ષ ઇમાનદારી અને સચ્ચાઇથી સ્થિતિનો તાગ લેશે. અંતિમસંસ્કાર સાથે સંકળાયેલી કંપનીઓ ખોટ ખાવા માટે મજબૂર છે. કેટલાય દેશોમાં એવા કેસ બહાર આવ્યા છે, જ્યારે અંતિમસંસ્કારથી પાછા ફ્રનારા લોકોમાં સંક્રમણ હોવાનું જણાયું. સ્પેનના ઉત્તરે આવેલા શહેર વિક્ટોરિયામાં ફેબ્રુઆરીના આખરમાં એવા કેસો જોવા મળ્યા. મીડિયાના હેવાલોમાં કહેવાયું કે, અંતિમસંસ્કારમાં ગયેલા લોકોમાંથી ઓછામાં ઓછા ૬૦ લોકોમાં કોરોનાના વાઇરસનું સંક્રમણ જોવા મળ્યું છે. ચીની શહેર વુહાન, જ્યાંથી વાઇરસ દુનિયાભરમાં ફેલાયો, ત્યાં થોડા જ સમયમાં લોકોને મહેસૂસ થવા માંડયું કે અંતિમસંસ્કારમાં લોકો એકત્ર થવાથી આ વાઇરસના ફેલાવાનું જોખમ હોય છે.

નીચે આપેલી લીંક પર ક્લિક કરીને જોડાઓ સંદેશ ન્યૂઝ સાથે.

તમે અમને ફેસબુક, ટ્વીટર, ટેલીગ્રામ, ઇન્સ્ટાગ્રામ અને યુ ટ્યુબ પર પણ લાઇક અને ફોલો કરી શકો છો.

લેટેસ્ટ ન્યૂઝ અપડેટ્સ તમારા ફોન પર સૌથી પહેલા મેળવવા માટે આજે જ ડાઉનલોડ કરો Sandeshની નવી મોબાઇલ એપ્લિકેશન",તાજેતરમાં ૮૩ વર્ષની વયે દુનિયાને અલવિદા કહેનારા અલ્ફ્રેડો વિસિઓલીના અંતિમસંસ્કાર પણ બરાબર થઇ શક્યા ન હતા. ઇટાલીના ક્રોમોના શહેરમાં કોરોના વાઇરસે તેમનો ભોગ લીધો હતો. ક્રોમોનાની પાસેના એક કબ્રસ્તાનમાં ઉતાવળે તેમને દફ્નાવી દેવાયા હતા. તેમની પૌત્રી માર્ટા માનફ્રેડી પોતાના દાદાને…,hau,sandesh,Sandesh,fake news,1d2bd4b1-f248-4d39-949c-2adda0e10dbe,article,MassiveSum
https://www.voanouvel.com/a/4970009.html,https://www.voanouvel.com/a/4970009.html,Pwogram aprè-midi a,,"Se 3èm e dènye pwogram jounen an, avèk nouvèl tou nèf sou Lèzetazini, Ayiti ak rès mond la. Pami segman ki pase ladan yo e ki pa nan lòt pwogram yo, genyen Lavi Ozetazini ak Nouvèl sou Vedèt yo.","Se 3èm e dènye pwogram jounen an, avèk nouvèl tou nèf sou Lèzetazini, Ayiti ak rès mond la. Pami segman ki pase ladan yo e ki pa nan lòt pwogram yo, genyen Lavi Ozetazini ak Nouvèl sou Vedèt yo.",hau,voanouvel,VOA Nouvel,fake news,a4a46a28-f4bc-438d-9957-3370da20b2b3,article,MassiveSum
https://www.voanouvel.com/a/3260497.html,https://www.voanouvel.com/a/3260497.html,Pwogram aprè-midi a,,"e 3èm e dènye pwogram jounen an, avèk nouvèl tou nèf sou Lèzetazini, Ayiti ak rès mond la. Pami segman ki pase ladan yo e ki pa nan lòt pwogram yo, genyen Lavi Ozetazini ak Nouvèl sou Vedèt yo.","e 3èm e dènye pwogram jounen an, avèk nouvèl tou nèf sou Lèzetazini, Ayiti ak rès mond la. Pami segman ki pase ladan yo e ki pa nan lòt pwogram yo, genyen Lavi Ozetazini ak Nouvèl sou Vedèt yo.",hau,voanouvel,VOA Nouvel,fake news,a9c33e4d-2db1-432c-b83b-855548e8f2a3,article,MassiveSum
https://www.voahausa.com/a/4722234.html,https://www.voahausa.com/a/4722234.html,Shirin Rana 1500 UTC (30:00),,"Da karfe 4 na yamma agogon Najeriya da Nijar zaku iya jin rahotanni da labarai da dumi-duminsu daga kowace kusurwa ta duniya, musamman ma dai muhimman abubuwan da suka faru, ko suke faruwa a kusa da ku a wannan rana.","Da karfe 4 na yamma agogon Najeriya da Nijar zaku iya jin rahotanni da labarai da dumi-duminsu daga kowace kusurwa ta duniya, musamman ma dai muhimman abubuwan da suka faru, ko suke faruwa a kusa da ku a wannan rana.",hau,voahausa,VOA USA,fake news,46dc2ad1-fbdf-4114-9d32-93ba08fc6a38,article,MassiveSum
https://www.voahausa.com/a/covid-19-china-ta-zargi-pompeo-da-yada-kalaman-karya-/5405599.html,,"COVID-19: China Ta Zargi Pompeo Da Yada ""Kalaman Karya""",,"Kasar China ta zargi Sakataren Harkokin Wajen Amurka Mike Pompeo da abin da ta kira, “yada kalamai masu hadari da kararerayi” game da inda cutar corona, wadda ta game duniya, ta samo asali.

Kwana daya gabanin nan, babban jami’in diflomasiyyar Amurka din, ya ce, “akwai kwakkwarar shaidar” cewa cutar ta samo asali ne daga wani dakin binciken sinadarai da ke Wuhan, kasar China, ba wata kasuwar da ke daura da wurin ba.

Amma kafar yada labaran gwamnatin China ta CCTV, ta caccaki abin da ta kira “kame-kame na fitar hankali” da Pompeo ya yi, tana mai ikirarin cewa ba kirkiro cutar aka yi ba.

A wani shirin gidan talabijin din ABC mai suna “This Week” Pompeo ya ce, “Ku tuna fa, China na da tarihin yada cuta a duniya, kuma suna da tarihin amfani da dakunan bincike marasa inganci.""

Ya kara da cewa, ""wannan ba shi ne karon farko da duniya ta fuskanci yaduwar wata cuta sanadiyyar rashin kwarewa a dakunan binciken China ba.”","Kasar China ta zargi Sakataren Harkokin Wajen Amurka Mike Pompeo da abin da ta kira, “yada kalamai masu hadari da kararerayi” game da inda cutar corona, wadda ta game duniya, ta samo asali.
Kwana daya gabanin nan, babban jami’in diflomasiyyar Amurka din, ya ce, “akwai kwakkwarar shaidar” cewa...",hau,voahausa,VOA USA,fake news,9d2d766c-dbdf-41ce-b7aa-3f2df3be4e3d,article,MassiveSum
https://www.rfi.fr/ha/turai/20160916-masu-zanga-zanga-sun-yi-arangama-da-yan-sanda-faransa,,Masu zanga zanga sun yi arangama da ‘yan sanda a Faransa,,"Wallafawa ranar: 16/09/2016 - 12:38

A kalla mutane 12 ne suka jikkata yayin arangama tsakanin masu zanga zanga da ‘yan sanda a Paris babban birnin Faransa.

Masu zanga zangar suna adawa da wata sabuwar dokar kwadago a birnin Paris da ya bawa kamfanoni damar kara yawan awanni da ma’aikatansu zasu shafe a wuraren aiki, daga awanni 35 zuwa sama.

‘Yan sanda su yi amfani da barkonon tsohuwa domin tarwatsa masu zanga zangar inda suka kame mutane 15.

Majiyar tsaro daga birnin na Paris ta ce sama da mutane 13,000 ne suka gudanar da zanga zangar da ta zama kashi ta 14 a jerin zanga zangar da gwamnatin Faransa ta fuskanta cikin watanni shida.",A kalla mutane 12 ne suka jikkata yayin arangama tsakanin masu zanga zanga da ‘yan sanda a Paris babban birnin Faransa.,hau,rfi,RFI,fake news,a9fe81a6-7959-4efe-9882-08bc00713c2c,article,MassiveSum
https://www.voahausa.com/a/4551534.html,,Shirin Safe 0500 UTC (30:00),,"Kullum da karfe 6 na safe agogon Najeriya da Nijar muna gabatar da labarai da rahotanni da dumi-duminsu, sannan mu na gabatar da wasu shirye-shirye kamar Noma da Lafiya Uwar Jiki.","Kullum da karfe 6 na safe agogon Najeriya da Nijar muna gabatar da labarai da rahotanni da dumi-duminsu, sannan mu na gabatar da wasu shirye-shirye kamar Noma da Lafiya Uwar Jiki.",hau,voahausa,VOA USA,fake news,ce7ecc4f-2149-42a1-8898-64ad27b33f30,article,MassiveSum
https://www.voahausa.com/a/iyayen-daliban-chibok-sun-raina-kokarin-jamian-tsaro/1922408.html,https://www.voahausa.com/a/iyayen-daliban-chibok-sun-raina-kokarin-jamian-tsaro/1922408.html,Iyayen Daliban Chibok Sun Raina Kokarin Jami'an Tsaro,,"Gaf da sace daliban Chibok wasu iyaye da sojoji sun bi sawun 'yan Boko Haram har ma sun hango daliban a karkashin bishiya amma sojoji suka kasa kwato su.

Wani Emmanuel Yagani mahaifin Naomi Emmanuel Yagani daya daga cikin daliban da aka sace yace gaf da aukuwar lamarin sun tafi makarantar inda suka ga rigunan daliban zube a kasa kuma an kone yawancin gine-ginen makarantar.

Washegari sun fita har sun kai Damboa inda suka ga an tara 'yan matan a karkashin itacen dorawa. Shugaban hukumar Chibok ya kawo sojoji cikin motoci uku domin a bi sawun yaran. Bayan da sojojin suka yi gaba kadan sai suka ce basu da makaman da zasu tunkari 'yan Boko Haram din.

Bayan kwana biyu su iyaye sun hada kansu sun tafi dajin amma wani dan taliki ya fada masu inda daliban suke amma ya yi masu kashedi kada su tunkaresu domin dukansu zasu halaka.

Bayan mako daya an sake kawo sojoji akan wai iyayen su tafi da sojojin. Amma daga bisani an fada masu kada su je domin sojojin dake dajin ba zasu iya tantancesu ba daga 'yan Boko Haram.

Dangane da cewa gwamnati ta tura sojoji su yi kokarin kubutar da yaran sai Emmanuel yace babu wani kokari da sojojin ke yi. Ga su iyaye babu abun da ya sake. Misalli yace ranar da aka ce kwamitin da gwamnatin tarayya ta kafa zai ziyarcesu sai wani ya zo yace 'yan Boko Haram na zuwa sai suka gudu kana 'yan kwamitin suka soke zuwansu. Sojoji ma sun gudu. Wasu sun buya a jikin katanga, wasu kuma a cikin bahaya.

Iyayen suna ganin alkawarin da aka yi masu cewa za'a kubutar da 'ya'yansu zolaya ce kawai. Basa ganin sojoji zasu iya kubutar da 'ya'yansu daga hannun Boko Haram. A ganinsu karya a ke shirya masu.",Wasu iyayen daliban da aka sace sun bi sawun 'ya'yansu har sun hangosu a karkashin bishiya amma sojoji sun kasa su rufa masu baya domin su kwato daliban kafin su yi nisa.,hau,voahausa,VOA USA,fake news,ed170bee-499a-461c-a3dc-418c4b0b542e,article,MassiveSum
