uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
883bde3d-3316-459b-a6cd-24528a5fd2fd,"A 15-year-old girl died by suicide less than 24 hours after being deemed 'not at immediate risk' by mental health services, an inquest revealed. Helena Farrell, described as a talented musician, had been struggling with bulimia for 18 months following a sexual assault during a German exchange program. Despite multiple warning signs - including a December 3, 2012 overdose (rated 3/4 suicide intent) and confiscated suicide letters - practitioners at Cumbria's overstretched CAMHS service failed to recognize her crisis. The hearing learned that clinician Anna Wlodarczak assessed Helena on January 3, 2013, the day before her death. Her father recounted Helena's distress after the assessment: 'She told me the worker was cold and unapproachable. That experience closed her off from seeking further help.' Internal reviews later exposed critical service failures including poor risk assessment protocols and staff shortages affecting care quality. Systemic issues compounded the tragedy: the school nurse responsible for Helena's case lacked mental health training while managing 5,000 students alone. Coroner Ian Smith noted the service's 'toxic mix' of high caseloads and low morale during proceedings. Helena's final hours saw her return to the woodland spot of her first date, where she took her life while Coldplay's 'The Scientist' played repeatedly on a nearby device.","Adolescente de 15 anos cometeu suicídio menos de 24 horas após ser classificada como 'sem risco iminente' por serviços de saúde mental, conforme inquérito. Helena Farrell, descrita como uma talentosa musicista, enfrentava bulimia há 18 meses após sofrer violência sexual durante intercâmbio na Alemanha. Apesar de múltiplos sinais de alerta - incluindo overdose em 3/12/2012 (com avaliação de 3/4 em escala de intenção suicida) e cartas de despedida apreendidas - profissionais do serviço CAMHS de Cumbria não identificaram a gravidade do caso. O tribunal ouviu que a assistente social Anna Wlodarczak avaliou Helena em 3 de janeiro de 2013, um dia antes do óbito. O pai da jovem relatou: 'Ela disse que a profissional foi grosseira e antipática. Essa experiência a fez recusar novo atendimento.' Relatórios internos posteriormente apontaram cinco falhas operacionais críticas no serviço, incluindo métodos inadequados de avaliação de risco. Problemas estruturais pioraram o cenário: a enfermeira escolar responsável - sem formação em saúde mental - atendia sozinha 5.000 alunos na região. O legista Ian Smith destacou durante o processo a 'sobrecarga crônica' da equipe e baixa moral institucional. Helena passou suas últimas horas no local de seu primeiro encontro amoroso, onde foi encontrada morta enquanto a música 'The Scientist' do Coldplay tocava em repetição.",Tragic wake-up call: 15yo Helena's suicide exposes mental health system failures 💔 A talented musician's struggle with bullying & trauma met with overstretched services & missed red flags. When will we #FixMentalHealthCare? 🎵 #RememberHelena #SystemicChangeNeeded,"Alerta urgente: Suicídio de Helena, 15 anos, expõe falhas na saúde mental 🕯️ Jovem musicista enfrentou bullying, trauma sexual e serviços sobrecarregados que não viram os sinais. Até quando falharemos nossos adolescentes? #MudançaSistemáticaJá #SaúdeMentalImporta",por,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/por/CoI_883bde3d-3316-459b-a6cd-24528a5fd2fd_por_rewrite_moderate.json,eng,"[por,eng,deu]",eng,por,eng,moderate,DialyNews,y,n,y,n
66b48e4e-301a-44a5-b384-63e8c9799b8d,"Formula One's governing body FIA remains engaged in evaluating proposals for a 12th team entry, with NASCAR co-owner Gene Haas positioned as the primary candidate. Following December 2023's call for applications, the decision timeline has extended beyond the original February 2024 target date. F1 CEO Bernie Ecclestone expressed confidence in Haas' bid, remarking: 'Their approval appears likely. Financial resources are secured, but implementation strategies require clarification.' The prospective team benefits from Haas' existing Brussels-based manufacturing plant and North Carolina's Windshear wind tunnel - critical infrastructure previously employed by established F1 teams. Collaborating with former Red Bull technical chief Gunther Steiner, Haas aims to avoid repeating the failed 2010 US F1 initiative from Formula One's last expansion phase. Ecclestone highlighted the substantial financial commitment, estimating operational costs could surpass $1 billion over four years for new competitors, while acknowledging the unpredictable nature of American motorsport ventures.","A FIA continua avaliando propostas para uma 12ª equipe na Fórmula 1, tendo Gene Haas da NASCAR como principal candidato. Após edital de dezembro de 2023, o prazo para decisão ultrapassou a meta inicial de fevereiro de 2024. Bernie Ecclestone, CEO da F1, comentou sobre a proposta: 'A aprovação do Haas parece provável. Eles têm capital, mas precisam definir melhor suas estratégias operacionais.' A equipe utilizaria a fábrica do Haas em Bruxelas e o túnel aerodinâmico Windshear nos EUA - infraestrutura já testada por outras equipes. Com consultoria do ex-diretor da Red Bull Gunther Steiner, o projeto busca evitar o fracasso da US F1 em 2010. Ecclestone alertou que os custos podem chegar a US$ 1 bilhão em quatro anos, ressaltando os desafios de investimentos americanos na categoria.",🏎️ BIG NEWS! NASCAR's Gene Haas could bring American power to F1 as 12th team! 💸 Ecclestone says 'approval looks likely' but warns costs could hit $1B+ 🚨 Can Haas succeed where US F1 failed? #F1Expansion #HaasRacing,"🚨 NOTÍCIA QUENTE! Gene Haas da NASCAR pode criar nova equipe americana na F1! 💰 Ecclestone aposta no projeto, mas alerta: custos podem passar de US$ 1 bi 💸 Será que desta vez vai rolar? #F1NovoTime #HaasNaF1",por,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/por/CoI_66b48e4e-301a-44a5-b384-63e8c9799b8d_por_rewrite_complete.json,eng,por,eng,por,eng,complete,DialyNews,n,y,y,n
6c970f9e-9ab5-4321-b220-fa3743e48310,"A London financial professional suffered severe facial injuries during a nightclub altercation that escalated from a spilled drink dispute, according to court testimony. Johnathan Ball, 26, allegedly severed a broker's nasal tissue during a physical confrontation at Babble City nightclub near Liverpool Street station in February 2013. Prosecutors described the incident as 'excessively brutal,' claiming Ball broke free from security to attack Christopher Woolcott, who later required reconstructive surgery. While security initially separated the parties after initial tensions, surveillance footage reportedly shows Ball re-engaging violently. The defendant acknowledges causing the injury but maintains self-defense claims, which prosecutors strongly contest. Trial proceedings continue as Ball faces charges of intentional grievous bodily harm.","Um profissional financeiro de Londres sofreu lesões faciais graves durante uma briga em boate que começou com uma discussão por bebida derramada, segundo relatos do tribunal. Johnathan Ball, de 26 anos, teria arrancado parte do nariz de um corretor durante um confronto na boate Babble City, próxima à estação Liverpool Street em fevereiro de 2013. Promotores classificaram o ato como 'violência extrema', afirmando que Ball escapou dos seguranças para atacar Christopher Woolcott, que precisou de enxerto de pele. As câmeras de segurança mostram Ball retomando a agressão após intervenção inicial. O acusado admite o ferimento mas alega legítima defesa, argumento rejeitado pela acusação. O julgamento por lesão corporal grave intencional continua.",Shocking nightclub violence: London broker loses part of nose in drink-spill dispute. Suspect claims self-defense as trial continues. #NightclubViolence #LegalDrama,Violência extrema em boate: Corretor tem parte do nariz arrancada em briga por bebida. Acusado alega defesa própria durante julgamento. #ViolênciaNoturna #CasoJurídico,por,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/por/CoI_6c970f9e-9ab5-4321-b220-fa3743e48310_por_rewrite_moderate.json,eng,por,eng,por,eng,moderate,DialyNews,y,n,y,n
164a7bd1-8898-40a8-87ac-e0b62b96b8dc,"Building a successful side business demands persistence - what starts as extra income often becomes essential for covering daily expenses. Recent Bankrate data shows 39% of Americans now juggle supplemental ventures, with many relying on this income for basic needs. After launching my financial coaching venture in 2020, I discovered three key strategies that helped transform my side project into a full-time operation within four years. 1. Harness Media Exposure While SCORE reports 77% of small businesses focus on social media, traditional media outlets remain underutilized goldmines. My breakthrough came not from self-promotion, but by pitching story angles benefiting readers - like our family's $300,000 debt payoff journey. This approach builds credibility faster than endless self-marketing. 2. Filter Your Audience The $7 test proved crucial - if potential clients won't invest minimal amounts, they're unlikely to commit to premium services. This screening process helps focus energy on serious customers. 3. Embrace Repetition Through experience, I've found people need 10-12 brand exposures before engaging. Consistent messaging acts like a song chorus - the more heard, the better remembered. Clarify your unique value repeatedly across platforms without fearing redundancy.","Construir um negócio paralelo de sucesso exige persistência - o que começa como renda extra muitas vezes se torna essencial para cobrir despesas diárias. Dados recentes do Bankrate mostram que 39% dos americanos têm empreendimentos complementares, com muitos dependendo dessa renda para necessidades básicas. Após criar meu projeto de educação financeira em 2020, descobri três estratégias que transformaram meu 'bico' em negócio principal em quatro anos. 1. Invista na Mídia Tradicional Apesar de 77% das pequenas empresas usarem redes sociais (dados da SCORE), a mídia convencional ainda é pouco explorada. Meu sucesso veio ao propor pautas úteis aos leitores - como como quitamos US$ 300 mil em dívidas. Essa estratégia gera credibilidade mais rápido que postagens infinitas. 2. Selecione Clientes Reais O teste de R$ 35 (equivalente a US$ 7) foi crucial - quem não investe esse valor dificilmente contratará serviços premium. Essa filtragem direciona esforços aos clientes comprometidos. 3. Repita Sem Medo Na prática, percebi que são necessárias 10-12 exposições à marca antes da contratação. Mensagens consistentes são como refrão de hit - quanto mais repetido, mais memorável. Deixe claro seu diferencial repetidamente, sem preocupação com repetição.","🚀 From side hustle to success! 💼 Discover 3 game-changing tips from a finance coach who turned $300k debt into triumph: 1️⃣ Get media savvy 2️⃣ Find paying clients 3️⃣ Repeat, repeat, repeat! 💡 #SideHustleSuccess #MoneyMoves #EntrepreneurLife",🚀 De 'bico' a negócio de sucesso! 💼 Conheça 3 estratégias da expert que transformou dívida de US$ 300k: 1️⃣ Use a mídia tradicional 2️⃣ Filtre clientes reais 3️⃣ Repita sem parar! 💡 #RendaExtra #EducaçãoFinanceira #Empreendedorismo,por,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/por/CoI_164a7bd1-8898-40a8-87ac-e0b62b96b8dc_por_rewrite_light.json,eng,por,eng,por,eng,light,GlobalNews,y,n,y,n
d4b9a917-3b4b-4335-aae5-388b3ab00f68,"Brazil has authorized an innovative approach to combat dengue fever, which impacts over 390 million people globally each year. The strategy involves releasing genetically altered male mosquitoes developed by UK-based company Oxitec. These insects carry modified genes ensuring their offspring perish before reaching adulthood, effectively reducing disease-carrying populations. When released, the non-biting male mosquitoes mate with wild females. Their inherited genetic modifications cause larvae to die prematurely while leaving fluorescent markers for researchers to track effectiveness. Field trials in Brazil (2011), Panama, and Southeast Asia demonstrated 80-95% reductions in Aedes aegypti populations within test zones. While health authorities endorse this method as chemical-free pest control, environmental groups express concerns. GeneWatch UK director Dr. Helen Wallace warns about potential ecosystem disruptions and questions corporate accountability for unforeseen consequences. Critics also note possible species replacement if other dengue-carrying mosquitoes like the Asian Tiger variant fill the ecological niche.","O Brasil aprovou uma estratégia inovadora no combate à dengue, doença que afeta mais de 390 milhões de pessoas globalmente todos os anos. A tática envolve liberar mosquitos machos geneticamente modificados pela empresa britânica Oxitec. Esses insetos possuem alterações genéticas que impedem seus descendentes de atingir a maturidade, reduzindo efetivamente populações transmissoras da doença. Os machos, que não picam humanos, acasalam com fêmeas selvagens na natureza. As modificações hereditárias fazem com que as larvas morram precocemente, enquanto marcadores fluorescentes permitem o acompanhamento científico. Testes realizados no Brasil (a partir de 2011), Panamá e Sudeste Asiático demonstraram reduções de 80% a 95% nas populações de Aedes aegypti nas áreas monitoradas. Embora autoridades de saúde apoiem o método como alternativa a pesticidas, organizações ambientais manifestam preocupações. A diretora da GeneWatch UK, Dra. Helen Wallace, alerta para possíveis impactos ecológicos e questiona a responsabilidade corporativa por eventuais problemas. Especialistas também destacam o risco de outras espécies, como o mosquito Tigre Asiático, ocuparem o nicho ecológico deixado pelo Aedes.",Brazil's fighting dengue with science! 🧬🦟 GM mosquitoes are being released to stop disease spread – their offspring self-destruct before growing up! #InnovativeHealth #DengueSolution 🌍💉,Brasil inova no combate à dengue! 🧬🦟 Mosquitos geneticamente modificados estão sendo soltos para cortar a transmissão – seus filhotes não chegam à fase adulta! #SaúdeInovadora #ControleDeDengue 🌎🔬,por,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/por/CoI_d4b9a917-3b4b-4335-aae5-388b3ab00f68_por_rewrite_complete.json,eng,por,eng,por,eng,complete,DialyNews,n,y,y,n
30742bc2-1c95-4b71-9f0d-f531804e3a47,"The Maldives' resort experience often feels surreal, particularly when staying on private islands like Kandolhu. This 30-villa property from Universal Resorts, reopened in February 2014, combines modern European architecture with natural beauty. Guests enjoy light pollution-free stargazing using an in-house app and telescope, while duplex pool villas feature outdoor bathrooms blending into the ocean horizon. Velassaru resort offers 129 villas with exceptional water bungalows featuring private infinity pools. The property hosts monthly full moon parties on expansive beaches with celebrity DJs. Guests can enjoy sunset cruises on traditional Dhoni boats and dine at specialty restaurants like the Sea Grill, known for premium wagyu steaks. Kuramathi stands out as an educational destination with a 300-year-old banyan tree (per Maldives botanical records) and marine conservation center displaying a sperm whale skeleton. The 300-villa resort offers extensive water activities, including guided snorkeling tours with marine biologists. Family-friendly amenities coexist with adult-oriented spaces like the Sand Bar for acoustic music evenings. All three resorts - Kandolhu (from £2,269), Velassaru (from £1,275), and Kuramathi (from £1,235) - provide distinct experiences through Kuoni packages, including flights and transfers.","Adjusted 'observação de estrelas' to 'observação astronômica' for technical accuracy Changed 'figueira-de-bengala' to 'gameleira' (common Brazilian term for banyan) Standardized currency format: '£2.269' to '£2,269' following PT-BR conventions","🌴 Maldives Magic! ✨ From private island luxury @Kandolhu to full moon parties @Velassaru & eco-adventures @Kuramathi - find your paradise! 💦 Private pools 🍣 Sunset cruises 🌌 Stargazing villas 📅 2015 deals from £1,235pp! #MaldivesDreams #LuxuryTravel",✨ Paraíso Maldivas! 🌴 De ilhas privativas no Kandolhu à festas de lua cheia no Velassaru e ecoturismo no Kuramathi - seu refúgio perfeito! 🏊 Piscinas privativas 🛥️ Cruzeiros ao pôr-do-sol 🌟 Vilas para observar estrelas 💰 Pacotes desde £1.235! #SonhoNasMaldivas #LuxoNosTrópicos,por,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/por/CoI_30742bc2-1c95-4b71-9f0d-f531804e3a47_por_polish.json,eng,"[eng,por]",eng,por,eng,moderate,DialyNews,y,n,y,n
17d5ab9a-2f6c-4b1a-9b0a-1ba526811e3c,"Australian authorities acknowledge significant challenges in recovering remains of all 298 MH17 crash victims as conflict prevents international investigators from accessing the site. Intense fighting near Shakhtarsk forced Dutch and Australian forensic teams to retreat for the second consecutive day, with artillery strikes damaging residential areas and displacing families. Pro-Russian separatists confirmed losing partial control of the crash zone. AFP Deputy Commissioner Andrew Colvin stated, 'We must prepare for the possibility that not all remains will be recovered,' citing safety concerns and the 12-day delay since the July 17 surface-to-air missile strike. UN Human Rights Chief Navi Pillay emphasized the potential war crime implications. A 49-member international team, including 170 deployed AFP officers, remains stalled in Donetsk amid ongoing combat. UN reports document 1,129 deaths and 3,442 injuries since April, with 100,000 displaced. Recent shelling killed eight civilians in separatist-held cities, as both sides accuse each other of evidence destruction.","Autoridades australianas reconhecem grandes desafios na recuperação dos restos das 298 vítimas do voo MH17, já que os conflitos na região impedem o acesso de investigadores internacionais ao local. Intensos combates próximos a Shakhtarsk forçaram equipes forenses holandesas e australianas a recuar pelo segundo dia consecutivo, com ataques de artilharia atingindo áreas residenciais e deslocando famílias. Separatistas pró-Rússia admitiram perder o controle parcial da área da queda. O vice-comissário da Polícia Federal Australiana (AFP), Andrew Colvin, afirmou: 'Precisamos estar preparados para a possibilidade de não recuperarmos todos os restos mortais', citando riscos de segurança e os 12 dias decorridos desde o ataque com míssil antiaéreo em 17 de julho. A alta comissária de direitos humanos da ONU, Navi Pillay, alertou para possíveis caracterizações de crime de guerra. Uma missão internacional com 49 membros, incluindo 170 agentes australianos, segue em Donetsk enquanto os combates continuam. Dados da ONU indicam 1.129 mortes e 3.442 feridos desde abril, além de 100 mil deslocados. Bombardeios recentes mataram oito civis em áreas separatistas, com acusações mútuas sobre destruição de evidências.","🚨#MH17Update: Investigators STILL can't reach crash site amid heavy fighting. 298 lives lost, recovery efforts in peril. UN warns potential war crime. 'We may never find all remains,' says AFP official. #UkraineConflict 🔍✈️","🚨#AtualizaçãoMH17: Investigadores ainda não conseguem acessar local da queda devido a combates. 298 vidas perdidas, operação de resgate em risco. ONU alerta para possível crime de guerra. 'Talvez não encontremos todos os corpos,' diz autoridade. #ConflitoUcraniano 🔍✈️",por,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/por/CoI_17d5ab9a-2f6c-4b1a-9b0a-1ba526811e3c_por_polish.json,eng,por,eng,por,,moderate,DialyNews,y,n,y,n
93e2df6d-bddb-4e0c-8e08-ec3e6b0a3f6c,"Pro-Palestine activists in the UK report facing accusations of anti-Semitism when criticizing Israeli policies, while Jewish communities express heightened security concerns. Wael Shawish, a Palestinian-Scottish retiree living in Glasgow for 38 years, plans to join a solidarity rally amid Israel's bombardment of Gaza. This occurs as UK Home Secretary Suella Braverman urges police to consider whether chants like 'from the river to the sea' constitute racially aggravated offenses. The conflict has reignited tensions between Israel's supporters and advocates for Palestinian rights. Activists claim accusations of anti-Jewish prejudice are increasingly used to silence criticism of Israel's government. Leanne Mohamad, a 23-year-old British-Palestinian activist, emphasizes that opposing Israel's military actions doesn't equate to anti-Semitism. Recent violence began with Hamas's October 7 offensive, which Israel states killed hundreds of civilians. Israeli retaliatory strikes and a Gaza blockade have resulted in over 2,800 confirmed casualties. Large London protests coincided with increased security at Jewish institutions, following the Community Security Trust's report of 89 anti-Semitic incidents between October 7-10 - a significant rise from 2022 figures. Chris Doyle of the Council for Arab-British Understanding notes inflammatory rhetoric from both sides, citing Richard Ferrer's controversial 'historic Islamic bloodlust' comment in the Daily Express. Muslim Council of Britain leaders warn against rising Islamophobia while urging inter-community solidarity.","Ativistas pró-Palestina no Reino Unido relatam ser acusados de antissemitismo ao criticarem políticas israelenses, enquanto comunidades judaicas expressam preocupações com segurança. Wael Shawish, palestino-escocês aposentado que vive em Glasgow há 38 anos, planeja participar de um ato solidário durante os bombardeios israelenses a Gaza. A situação ocorre enquanto a ministra do Interior britânica, Suella Braverman, orienta policiais a considerar frases como 'do rio ao mar' como possíveis crimes de ódio. O conflito reacendeu tensões entre apoiadores de Israel e defensores dos direitos palestinos. Ativistas afirmam que acusações de antissemitismo estão sendo usadas para silenciar críticas às ações do governo israelense. Leanne Mohamad, ativista britânica-palestina de 23 anos, ressalta: 'Oposição às operações militares de Israel não equivale a antissemitismo'. A crise atual começou com o ataque do Hamas em 7 de outubro, que Israel afirma ter resultado em centenas de vítimas civis. As retaliações israelenses e o bloqueio total a Gaza levaram a mais de 2.800 mortes confirmadas. Protestos massivos em Londres coincidiram com reforço de segurança em instituições judaicas, após relatório do Community Security Trust registrar 89 incidentes antissemitas entre 7 e 10 de outubro - número quatro vezes maior que em 2022. Chris Doyle, do Conselho para Entendimento Árabe-Britânico, aponta retórica inflamatória de ambos os lados, citando declaração polêmica do editor Richard Ferrer no Daily Express sobre 'sede de sangue islâmica histórica'. Líderes do Muslim Council of Britain alertam para riscos de islamofobia e pedem união entre comunidades durante a crise.","🇵🇸✊ UK sees tensions rise as Palestine solidarity meets anti-Semitism concerns. Activists push back against 'silencing tactics' while Jewish communities boost security. Complex debate continues as death toll passes 2,800. #FreePalestine #EndHate #MiddleEastCrisis","🇵🇸✊ Tensão no Reino Unido: Ativistas pró-Palestina enfrentam acusações de antissemitismo, enquanto comunidades judaicas reforçam segurança. Protestos massivos e debate complexo marcam crise com mais de 2.800 mortes. #PalestinaLivre #PazNoOrienteMedio #DiálogoUrgente",por,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/por/CoI_93e2df6d-bddb-4e0c-8e08-ec3e6b0a3f6c_por_polish.json,eng,por,eng,por,,moderate,GlobalNews,y,n,y,n
87b35928-d4a9-4316-b6d1-e40b4081434b,"Eleanor de Freitas reported to police that Alexander Economou raped her in December 2012. The financier later expressed condolences after her 2014 suicide, which followed his private prosecution against her for allegedly lying about the assault. The Crown Prosecution Service (CPS) is investigating its handling of the case. De Freitas, a Durham University graduate with bipolar disorder, died three days before her scheduled trial for perverting justice. Economou spent £200,000 gathering evidence to clear his name after police concluded insufficient evidence existed for charges. CPS took over the private prosecution but declined to dismiss it, prompting public scrutiny. Coroner Chinyere Inyama adjourned the inquest pending CPS investigation details. De Freitas' family advocates for improved protections for rape claimants in legal processes.",Adjusted 'assédio' to 'agressão sexual' for accurate legal terminology Changed 'Ministério Público' to 'Serviço de Promotoria Pública' to match UK system context Modified 'legista' to 'médico legista' for clarity Standardized currency format to '200 mil libras',"Tragic case sparks legal reform calls: After Eleanor de Freitas' suicide following a private prosecution by her rape accuser, authorities review protections for victims. #JusticeReform #MentalHealthMatters","Caso trágico gera pedidos de mudança: Após suicídio de Eleanor de Freitas durante processo privado movido por acusado de estupro, autoridades revisam proteção a vítimas. #ReformaJudiciária #SaúdeMentalImporta",por,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/por/CoI_87b35928-d4a9-4316-b6d1-e40b4081434b_por_edit.json,eng,"[eng,por]",eng,por,eng,light,DialyNews,y,n,y,n
f00e846d-fdf4-4b48-a192-a8a305f1faff,"Peter Wright fought back tears during his 4-1 second-round victory over Ronny Huybrechts at the World Darts Championship. The 2014 finalist and No 5 seed was moved by crowd support at Alexandra Palace on Saturday, particularly during a crucial 144 checkout in the third set. 'The crowd singing my name made it hard to concentrate,' Wright admitted post-match. Robert Thornton secured a dominant 4-0 second-round win against Ronnie Baxter, nearly achieving a nine-dart finish. Terry Jenkins also impressed with a 96.45 average and near-perfect leg during his 4-0 victory over Laurence Ryder.","Peter Wright conteve as lágrimas durante sua vitória por 4-1 sobre Ronny Huybrechts na segunda rodada do Campeonato Mundial de Dardos. O finalista de 2014 e cabeça-de-chave nº 5 emocionou-se com o apoio da torcida no Alexandra Palace no sábado, especialmente durante um checkout crucial de 144 pontos no terceiro set. 'A torcida cantando meu nome dificultou a concentração', admitiu Wright após a partida. Robert Thornton garantiu vitória dominante por 4-0 sobre Ronnie Baxter na segunda rodada, quase alcançando um 'nine-dart finish' (feito de nove dardos). Terry Jenkins também impressionou com média de 96.45 e uma perna quase perfeita em sua vitória por 4-0 sobre Laurence Ryder.",🎯 Emotional win for Peter Wright at #WorldDarts! Crowd's cheers brought tears as he clinched 4-1 victory 💧 Thornton dominates 4-0 with NEAR perfect leg! Jenkins shines with 96 avg 🔥 #DartsMadness,🎯 Vitória emocionante de Peter Wright no #MundialDeDardos! Torcida cantou seu nome e ele venceu por 4-1 💧 Thornton arrasa com 4-0 e quase faz 'nine-dart'! Jenkins brilha com média de 96 🔥 #DardosEmocionantes,por,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/por/CoI_f00e846d-fdf4-4b48-a192-a8a305f1faff_por_edit.json,eng,por,eng,por,eng,light,DialyNews,y,n,y,n
