uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
45da86a1-e53a-4b6e-8b1a-e90593b3b4bb,"Three Marines, including the commanding officer of an infantry battalion, have been relieved of duty following the deaths of seven service members in a mortar training accident in March, according to a statement from the Marine Corps. Lt. Col. Andrew McNulty, commanding officer of the 1st Battalion, 9th Marine Regiment, was temporarily replaced by Maj. Thomas M. Siverts, the unit's executive officer. Brig. Gen. James Lukeman stated he relieved McNulty due to a 'loss of confidence' in his leadership. Capt. Kelby S. Breivogel, commanding officer of Company A, and Chief Warrant Officer-3 Douglas H. Derring, the battalion's infantry weapons officer, were also relieved. The incident occurred during a live-fire mortar training exercise at Hawthorne Army Depot in western Nevada on March 18, resulting in seven fatalities and eight injuries. Following the accident, the Marine Corps suspended the use of the 60mm mortar rounds and tubes involved. However, a preliminary investigation indicated the mortar system 'functioned properly.' The statement noted, 'There is no reason to question the system's safety when used as designed and in accordance with training protocols.' A full investigation is underway. The Hawthorne Army Depot, approximately 140 miles southeast of Reno, Nevada, stores ammunition and weapons awaiting demilitarization and provides high desert training areas.","Trys jūrų pėstininkai, įskaitant pėstininkų bataliono vadą, buvo atleisti iš pareigų po to, kai kovo mėnesį per minosvaidžio pratybų avariją žuvo septyni kariai, teigiama Jūrų pėstininkų korpuso pranešime. Pirmojo bataliono, devintojo jūrų pėstininkų pulko, vadas pulkininkas leitenantas Andrew McNulty buvo laikinai pakeistas majoru Thomasu M. Sivertsu, vieneto vykdomuoju pareigūnu. Brigados generolas Jamesas Lukemanas pareiškė, kad atleido McNulty dėl 'pasitikėjimo praradimo' jo vadovavimu. Taip pat buvo atleisti A kuopos vadas kapitonas Kelby S. Breivogelis ir bataliono pėstininkų ginklų karininkas vyriausiasis orderio karininkas 3 Douglasas H. Derringas. Incidentas įvyko per kovines minosvaidžio pratybas Hawthorne armijos sandėlyje vakarų Nevadoje kovo 18 d., per kurias žuvo septyni ir buvo sužeisti aštuoni žmonės. Po avarijos Jūrų pėstininkų korpusas sustabdė naudojamų 60 mm minosvaidžio sviedinių ir vamzdžių naudojimą. Tačiau preliminarus tyrimas parodė, kad minosvaidžių sistema 'veikė tinkamai'. Pranešime pažymima: 'Nėra pagrindo abejoti sistemos saugumu, kai ji naudojama pagal paskirtį ir laikantis mokymo protokolų'. Vyksta išsamus tyrimas. Hawthorne armijos sandėlis, esantis maždaug 140 mylių į pietryčius nuo Reno, Nevadoje, saugo amuniciją ir ginklus, laukiančius demilitarizavimo, ir suteikia aukštų dykumų mokymo zonas.",Seven Marines tragically lost their lives in a training accident.  Investigation underway. #MilitaryNews #Nevada #TrainingAccident #USMC,Liūdna nelaimė per pratybas nusinešė septynių jūrų pėstininkų gyvybes.  Vyksta tyrimas. #KariuomenėsNaujienos #Nevada #NelaimingasAtsitikimasPratybųMetu #JAVJūrųPėstininkai,lit,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/lit/CoI_45da86a1-e53a-4b6e-8b1a-e90593b3b4bb_lit_edit.json,eng,"[lit,eng]",eng,lit,eng,light,DialyNews,y,n,y,n
4311e7d2-60d3-4a51-861d-04e5c51eb07c,"'Rishi Sunak's appointment of David Cameron to a senior government role has sparked controversy due to Cameron's close ties to the Greensill Capital scandal.  Cameron reportedly earned millions promoting Greensill, a financial firm that collapsed in 2021, triggering substantial losses and multiple investigations.  The firm's founder, Lex Greensill, enjoyed access to Downing Street during Cameron's premiership.  Cameron subsequently lobbied for Greensill to access government-backed loan schemes during the pandemic, raising questions about potential conflicts of interest.  The collapse of Greensill impacted investors, including Credit Suisse clients, and left billions of dollars unrecovered.  Ongoing investigations into alleged fraud involving Greensill and its dealings with Sanjeev Gupta's GFG Alliance continue.'","'Rishi Sunak paskyrimas David Cameron vyriausybės pareigoms sukėlė ginčų dėl Cameron ryšių su Greensill Capital skandalu.  Pranešama, kad Cameron uždirbo milijonus reklamuodamas Greensill, finansų įmonę, kuri žlugo 2021 m., sukeldamas didelius nuostolius ir daugybę tyrimų.  Įmonės įkūrėjas Lex Greensill turėjo prieigą prie Downing gatvės Cameron ministro pirmininkavimo metu.  Vėliau Cameron lobavo, kad Greensill galėtų naudotis vyriausybės remiamomis paskolų schemomis pandemijos metu, keldamas klausimus dėl galimų interesų konfliktų. Greensill žlugimas paveikė investuotojus, įskaitant Credit Suisse klientus, ir paliko milijardus dolerių neatgautus.  Tęsiami tyrimai dėl įtariamo sukčiavimo, susijusio su Greensill ir jos sandoriais su Sanjeev Gupta GFG Alliance.'",'Cameron's back in government?!  🤨  Despite the Greensill scandal? Sunak's choice raising eyebrows. #Greensill #Cameron #UKPolitics','Cameron grįžta į vyriausybę?! Nepaisant Greensill skandalo? Sunak pasirinkimas kelia klausimų. #Greensill #Cameron #UKPolitika',lit,eng_x,gemini-1.5-pro,real_news,[1],/eng_x_r/gemini-1.5-pro/lit/CoI_4311e7d2-60d3-4a51-861d-04e5c51eb07c_lit_polish.json,eng,lit,eng,"[lit,eng]",eng,moderate,GlobalNews,y,n,y,n
df79c283-41c4-41ea-a691-5b14d57723e7,"'Austrian stuntman Joe Toedtling, 33, set a new world record for the longest full body burn without oxygen.  His wife, Julia, ignited him in Aalzburg, Austria, and he burned for 5 minutes and 41 seconds, surpassing the previous record of 5 minutes and 25 seconds held by American Jayson Dumenigo.  Toedtling wore a special protective suit from Salzburg-based company Texport underneath standard flame-resistant materials.  A Guinness World Records representative was present to verify the attempt, though the organization doesn't encourage dangerous record attempts. Toedtling has appeared in films like 'The Monuments Men' with George Clooney and also holds a 'Hall of Honours Award' for a car stunt, an award also given to Wesley Snipes and Jackie Chan.'","'33 metų austrų kaskadininkas Joe Toedtlingas pasiekė naują pasaulio rekordą – ilgiausiai degė visu kūnu be deguonies. Jo žmona Julia jį padegė Austrijos mieste Aalburge, ir jis degė 5 minutes ir 41 sekundę, viršydamas ankstesnį 5 minučių ir 25 sekundžių rekordą, kurį pasiekė amerikietis Jaysonas Dumenigo. Toedtlingas vilkėjo specialų apsauginį kostiumą iš Zalcburge įsikūrusios bendrovės 'Texport' po standartinėmis ugniai atspariomis medžiagomis. Gineso rekordų atstovas dalyvavo siekiant patvirtinti bandymą, nors organizacija neskatina pavojingų rekordų siekimo. Toedtlingas yra vaidinęs tokiuose filmuose kaip 'Paminklų vyrai' su George'u Clooney ir taip pat yra gavęs 'Garbės salės apdovanojimą' už automobilio triuką, kurį taip pat yra gavę Wesley Snipesas ir Jackie Chanas.'","'Austrian stuntman sets new world record for full body burn! 🔥 Joe Toedtling burned for over 5 minutes, protected by a special suit.  #worldrecord #stuntman #fire #GuinnessWorldRecords'",'Austrų kaskadininkas Joe Toedtlingas pasiekė naują pasaulio rekordą! 🔥 Jis degė ilgiau nei 5 minutes!  #pasaulinisrekordas #kaskadininkas #ugnis #GinesoRekordai',lit,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/lit/CoI_df79c283-41c4-41ea-a691-5b14d57723e7_lit_edit.json,eng,lit,eng,"[lit,eng]",eng,light,DialyNews,y,n,y,n
4a67e222-28f2-4cfa-8de6-a7465841cb7d,"'Just before Christmas Eve, a single mom in Tampa, Melody Russell, returned home to a devastating scene: her back door was ajar, her children's Christmas gifts were gone, and so was their 12-week-old puppy, Honey.  Heartbreakingly, the puppy is still missing.  However, in a heartwarming act of kindness, approximately 20 Tampa police officers and dispatchers pooled their resources to replace the stolen presents for Russell's two young children, Marissa, 7, and Marcus, 5.  The gifts were delivered on Christmas Eve, bringing a much-needed moment of joy to the family.  'I couldn't stop smiling,' Russell shared with the Tampa Bay Times. 'I was speechless.'  Lieutenant Yvette Flynn expressed pride in her team's compassionate response, emphasizing their connection to the community.  'These are our families,' she stated.  'The last thing we want is for children to go without gifts at Christmas.'  While the children will have presents to open Christmas morning, the family's holiday is still tinged with sadness over the missing puppy.  Police are keeping an eye out for Honey, who wasn't yet microchipped due to her young age.  Russell's daughter was particularly distraught by the puppy's disappearance.  Adding to the emotional rollercoaster, Russell described feeling devastated after the break-in, but then overwhelmed with gratitude when the police called about the gifts.  Each present was personally delivered and signed 'From Santa.'  'Every single one of them had gifts,' Russell recounted, still in disbelief.  'I was completely shocked.'","'Prieš pat Kūčias vieniša mama iš Tampos, vardu Melody Russell, grįžo namo ir rado siaubingą vaizdą: jos galinės durys buvo praviros, jos vaikų kalėdinės dovanos dingo, kaip ir jų 12 savaičių šuniukas Honey. Deja, šuniukas vis dar nerastas. Tačiau jaudinančiame gerumo akte maždaug 20 Tampos policijos pareigūnų ir dispečerių suvienijo jėgas, kad pakeistų pavogtas dovanas Russell dviem mažamečiams vaikams, 7 metų Marissa ir 5 metų Marcus. Dovanos buvo pristatytos Kūčių vakarą, suteikdamos šeimai taip reikalingą džiaugsmo akimirką. „Negaliu nustoti šypsotis“, – Russell pasidalino su „Tampa Bay Times“. „Buvau be žado“. Leitenantė Yvette Flynn išreiškė pasididžiavimą savo komandos užuojauta, pabrėždama jų ryšį su bendruomene. „Tai mūsų šeimos“, – teigė ji. „Paskutinis dalykas, ko norime, yra tai, kad vaikai per Kalėdas liktų be dovanų“. Nors vaikai turės dovanų, kurias galės atidaryti Kalėdų rytą, šeimos šventes vis dar temdo liūdesys dėl dingusio šuniuko. Policija stebi Honey, kuri dar nebuvo čipuota dėl jauno amžiaus. Russell dukra buvo ypač nusiminusi dėl šuniuko dingimo. Papildydama emocinius kalnelius, Russell apibūdino, kad po įsilaužimo jautėsi sugniuždyta, bet paskui apėmė dėkingumas, kai policija paskambino dėl dovanų. Kiekviena dovana buvo asmeniškai pristatyta ir pasirašyta „Nuo Kalėdų Senelio“. „Kiekvienas iš jų rankose turėjo dovanų“, – vis dar netikėdama pasakojo Russell. „Buvau visiškai šokiruota“.'","'Tampa police restore Christmas spirit! After a Grinch stole presents and a puppy, officers stepped up to replace the gifts for two young children.  #HolidayHeroes #CommunityPolicing #ChristmasMiracle'","'Tampos policija grąžina Kalėdų dvasią! Po to, kai Grinčas pavogė dovanas ir šuniuką, pareigūnai ėmėsi veiksmų ir pakeitė dviejų mažų vaikų dovanas. #KalėdųHerojai #BendruomenėsPolicija #KalėdųStebuklas'",lit,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/lit/CoI_4a67e222-28f2-4cfa-8de6-a7465841cb7d_lit_rewrite_moderate.json,eng,lit,eng,lit,eng,moderate,DialyNews,y,n,y,n
3fb281f1-1048-44ec-b90d-cb6e989df363,"'While vacationing in Dubai with his girlfriend, former TOWIE star Billi Mucklow, West Ham striker Andy Carroll is staying fit should he receive a call-up to the England World Cup team.  He's been named as one of seven players on standby for the tournament in Brazil.  Carroll has been spotted practicing yoga on the beach, perhaps getting tips from Mucklow, a yoga instructor. Social media posts reveal Carroll's eagerness to join the squad in Brazil, adding a playful comment to Mucklow's Instagram photo. It's also been reported that Carroll missed a call from England manager Roy Hodgson.'","'Atostogaudamas Dubajuje su savo mergina, buvusia TOWIE žvaigžde Billi Mucklow, 'West Ham' puolėjas Andy Carrollis palaiko formą, jei sulauktų kvietimo į Anglijos futbolo rinktinę žaisti pasaulio čempionate. Jis yra vienas iš septynių žaidėjų, laukiančių atsarginių suolelio. Carrollis buvo pastebėtas praktikuojantis jogą paplūdimyje, galbūt gaudamas patarimų iš Mucklow, jogos instruktorės. Socialinių tinklų įrašuose matyti Carrolio noras prisijungti prie rinktinės Brazilijoje, jis taip pat pridėjo žaismingą komentarą prie Mucklow 'Instagram' nuotraukos. Taip pat pranešama, kad Carrollis praleido Anglijos rinktinės trenerio Roy'aus Hodgsono skambutį.'",'Andy Carroll's keeping fit in Dubai just in case England needs him for the World Cup!  #football #worldcup #england #dubai #fitness','Andy Carrollis Dubajuje ruošiasi galimybei žaisti Pasaulio čempionate! #futbolas #pasauliocempionatas #anglija #dubajus #sportas',lit,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/lit/CoI_3fb281f1-1048-44ec-b90d-cb6e989df363_lit_rewrite_complete.json,eng,lit,eng,lit,eng,complete,DialyNews,n,y,y,n
d4e864ec-2aaf-4362-a954-a25874f0535f,"'United Airlines faced criticism on Twitter after a passenger alleged her dog was left exposed to rain on the airport tarmac in Houston, Texas, for approximately 30 minutes. Passenger Barbara Galletly's photo of the dog in its crate on the tarmac sparked outrage, especially regarding the airline's response. Ms. Galletly tweeted: 'Evil United Airlines leaves dog on rainy cold runway for more than half an hour despite alerts to staff.' United Airlines replied that the weather may have been clear when PetSafe, their animal transport program, initially placed the dog there, and advised contacting them. However, a spokesperson later told MailOnline Travel that ramp employees never left the pet unattended after receiving it from PetSafe and placed the kennel under the wing to minimize rain exposure. They confirmed the dog was on the tarmac for about 30 minutes, with the temperature at approximately 10°C. Singer Sia and several other Twitter users voiced their anger, some pledging to boycott the airline.'","'Skrydžių bendrovė 'United Airlines' sulaukė kritikos 'Twitter' tinkle po to, kai keleivė teigė, jog jos šuo buvo paliktas ant oro uosto kilimo ir tūpimo tako Hjustone, Teksase, maždaug 30 minučių ir veikiamas lietaus. Keleivės Barbaros Galletly nuotrauka, kurioje užfiksuotas šuo narve ant tako, sukėlė pasipiktinimą, ypač dėl oro linijų bendrovės reakcijos. B. Galletly 'Twitter' tinkle rašė: 'Blogio įsikūnijimas 'United Airlines' palieka šunį ant šalto, lietingo tako ilgiau nei pusvalandį, nepaisant įspėjimų darbuotojams.' 'United Airlines' atsakė, kad, kai jų gyvūnų transportavimo programa 'PetSafe' iš pradžių ten pastatė šunį, oras galėjo būti giedras, ir patarė su jais susisiekti. Tačiau vėliau atstovas spaudai 'MailOnline Travel' sakė, kad tako darbuotojai, gavę šunį iš 'PetSafe', jo nepaliko be priežiūros ir pastatė narvą po sparnu, kad sumažintų lietaus poveikį. Jie patvirtino, kad šuo ant tako buvo apie 30 minučių, o oro temperatūra tuo metu buvo apie 10°C. Dainininkė Sia ir kiti 'Twitter' vartotojai išreiškė savo pyktį, kai kurie pažadėjo boikotuoti oro linijų bendrovę.'",'Woof! 🐶 United Airlines under fire after passenger's dog left in the rain on the tarmac. #UnitedAirlines #PetTravel #AnimalRights',"'Šuo paliktas lietuje! 🐶 United Airlines kritikuojama dėl keleivio šuns, palikto ant tako. #UnitedAirlines #KelionėsSuGyvūnais #GyvūnųTeisės'",lit,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/lit/CoI_d4e864ec-2aaf-4362-a954-a25874f0535f_lit_edit.json,eng,lit,eng,"[lit,eng]",eng,light,DialyNews,y,n,y,n
52fbab3f-ad72-4e7c-b710-9469ab273f0f,"'During a crucial World Cup training session in Brazil, Portugal’s star player, Cristiano Ronaldo, sparked worry as he exited early with an ice pack on his left knee.  This incident has raised questions about his availability for their vital opening match against Germany.  The Ballon d’Or winner’s knee, which previously sidelined him for two weeks with tendinitis, seems to be causing him discomfort again.  The severity of the issue is uncertain, but it has cast a shadow of doubt over his participation. Although Ronaldo appeared to be in good spirits signing autographs and interacting with fans before departing, the reemergence of this knee problem is a significant concern for Portugal's manager, Paulo Bento.  While the team remains hopeful for Ronaldo’s recovery in time for their first game,  the situation is being closely monitored.'","'Pasaulio futbolo čempionato treniruotės Brazilijoje metu Portugalijos žvaigždė Cristiano Ronaldo sukėlė nerimą, kai anksti pasitraukė iš aikštės su ledo paketu ant kairiojo kelio. Šis incidentas iškėlė klausimų dėl jo dalyvavimo svarbiose pirmosiose rungtynėse prieš Vokietiją.  Auksinio kamuolio laimėtojo kelis, dėl kurio jis anksčiau buvo iškritęs iš rikiuotės dviem savaitėms dėl sausgyslių uždegimo, panašu, vėl kelia jam diskomfortą. Problemos rimtumas nėra aiškus, tačiau tai kelia abejonių dėl jo dalyvavimo. Nors Ronaldo, prieš išeidamas iš aikštės, atrodė gerai nusiteikęs, dalijo autografus ir bendravo su gerbėjais, šios kelio problemos atsinaujinimas kelia didelį susirūpinimą Portugalijos rinktinės treneriui Paulo Bento.  Nors komanda tikisi, kad Ronaldo atsigaus iki pirmųjų rungtynių, situacija yra atidžiai stebima.'",'Ronaldo’s knee injury worries Portugal fans ahead of crucial World Cup clash with Germany. Will he be fit to play? #WorldCup #Portugal #Ronaldo #InjuryUpdate','Nerimas dėl Ronaldo kelio traumos prieš lemiamas rungtynes su Vokietija! Ar žvaigždė spės atsigauti iki Pasaulio futbolo čempionato? #PasaulioTaurė #Portugalija #Ronaldo #Trauma',lit,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/lit/CoI_52fbab3f-ad72-4e7c-b710-9469ab273f0f_lit_rewrite_complete.json,eng,lit,eng,lit,eng,complete,DialyNews,n,y,y,n
4e072f4d-c8d6-4e0a-b4e3-d0c059585967,"'Derbyshire artist Paul Cummins, creator of the Tower of London's poignant poppy installation, faced death threats following the project.  The installation, titled 'Blood Swept Lands and Seas of Red,' featured 888,246 ceramic poppies, each representing a British military fatality during World War One.  Despite the project's immense success and public interest, Cummins received threats via email, letter, and phone after announcing that proceeds from the poppy sales would benefit military charities, including Help for Heroes and the Royal British Legion.  Approximately £10 million was raised through the sale of the poppies at £31 each.  Cummins, who was appointed MBE for his work, revealed the threats in an interview, suggesting the backlash stemmed from the chosen beneficiaries.  Designed by Tom Piper, the installation inspired future projects for Cummins, including a tulip display in Britain and others in Europe and a distant country in 2017 and 2018, respectively.  The Tower of London installation, visited by royalty including the Duke and Duchess of Cambridge, Prince Harry, the Queen, and Prince Philip, saw millions queue for hours to witness the spectacle. Cummins has offered replacements for damaged poppies, acknowledging the meticulous craftsmanship involved in their creation at his Derbyshire studio.'","'Dailininkas iš Derbišyro Paulas Cumminsas, sukūręs jaudinančią aguonų instaliaciją Londono Taueryje, po projekto sulaukė grasinimų mirtimi. Instaliacija, pavadinta „Krauju aplaistytos žemės ir raudonos jūros“, buvo sudaryta iš 888 246 keraminių aguonų, kurių kiekviena simbolizavo britų kariuomenės auką per Pirmąjį pasaulinį karą. Nepaisant didžiulės projekto sėkmės ir visuomenės susidomėjimo, P. Cumminsas sulaukė grasinimų el. paštu, laiškais ir telefonu, kai paskelbė, kad pajamos iš aguonų pardavimo bus skirtos karinėms labdaros organizacijoms, įskaitant „Help for Heroes“ ir „Royal British Legion“. Pardavus aguonas po 31 svarą sterlingų už vienetą, surinkta apie 10 mln. svarų sterlingų. P. Cumminsas, kuris už savo darbą buvo apdovanotas MBE ordinu, interviu atskleidė apie grasinimus, teigdamas, kad neigiama reakcija kilo dėl pasirinktų paramos gavėjų. Tomo Piperio suprojektuota instaliacija įkvėpė P. Cumminso ateities projektus, įskaitant tulpių ekspoziciją Britanijoje ir kitas Europoje bei tolimoje šalyje atitinkamai 2017 ir 2018 metais. Londono Taueryje įrengtą instaliaciją aplankė karališkosios šeimos nariai, įskaitant Kembridžo hercogą ir hercogienę, princą Harį, karalienę ir princą Filipą. Milijonai žmonių eilėse laukė valandų valandas, kad pamatytų šį reginį. P. Cumminsas pasiūlė pakeisti pažeistas aguonas, pripažindamas kruopštų rankų darbą, įdėtą jas kuriant jo Derbišyro studijoje.'","'Artist gets death threats for donating poppy proceeds to charity! 888,246 poppies at Tower of London meant to honor WWI fallen. #Poppies #TowerOfLondon #Charity #Controversy'",'Menininkas gavo grasinimų mirtimi už aguonų pelno paaukojimą labdarai! 888 246 aguonos Londono Taueryje skirtos pagerbti Pirmojo pasaulinio karo aukas. #Aguonos #LondonoTaueryje #Labdara #Ginčai',lit,eng_x,gemini-1.5-pro,real_news,[1],/eng_x_r/gemini-1.5-pro/lit/CoI_4e072f4d-c8d6-4e0a-b4e3-d0c059585967_lit_polish.json,eng,"[lit,eng]",eng,lit,eng,moderate,DialyNews,y,n,y,n
114a4503-ed64-4d1a-9094-bbbf1007042e,"For those familiar with Russia's diplomatic strategies, the recent buzz around their involvement in the Syrian conflict isn't surprising.  Vladimir Putin's New York Times op-ed is a characteristic move in a long-established pattern of public outreach dating back to 2001. Russia's approach is often perplexing: it vacillates between hostility and cooperation, strategically adjusting its tactics to achieve specific objectives while constantly testing America's resolve.  Recognizing the negative global perception of its actions since the late 1990s, Russia has actively tried to reshape its image. This includes engaging American PR firms in 2006, a move noted at the time, and addressing concerns about its portrayal in American media, including stereotypical depictions in Hollywood. Russia's keen interest in global opinion, often reflected in its close attention to polls like Gallup's, underscores this concern. Russian officials consistently seek opportunities to present themselves as constructive actors, even when their actions suggest otherwise. Leveraging television and later the internet, Russia has established media outlets like RIA, with 80 global news bureaus, and Russia Today, which claims a reach of 630 million people in over 100 countries, to broadcast its perspective.  Newspaper supplements in American publications further amplify its message. Despite these efforts, Russia's international reputation has suffered over the past decade due to a series of incidents, including the 2008 conflict with Georgia over South Ossetia, the 2009 gas dispute with Ukraine, corruption scandals involving Gazprom, the Magnitsky case and subsequent tensions with the U.S., the imprisonment of Pussy Riot, and harboring Edward Snowden.  Russia frequently engages in contradictory behavior: suppressing dissent while bidding for the Olympics, courting and then criticizing the U.S., and now, publishing strategic op-eds. Putin's op-ed isn't unprecedented.  In 2009, Dmitry Medvedev published a similar piece in the Washington Post before a G-20 summit with President Obama, emphasizing mutual interests and envisioning a positive future for both nations. Russia is comfortable with such historical shifts and thrives on ambiguity, leaving the world guessing about its true nature. This recent op-ed has sparked predictable reactions, ranging from outrage to intrigue, with critics in the U.S. wary of potential manipulation. Russia evokes mixed feelings in the West, a blend of fear and fascination rooted in its complex history, culture, and Cold War legacy.  The success of Russia's latest charm offensive hinges on the outcome of the Syrian chemical weapons situation.  A positive resolution will allow Russia to claim credit, while a failure will be attributed to the U.S. This calculated risk serves Putin's interests regardless of the result.  For the U.S., engaging with Russia on this issue is necessary. While exploring diplomatic avenues, America must remain vigilant about Russia's strategic maneuvers and prioritize its national security interests.","Tiems, kurie susipažinę su Rusijos diplomatinėmis strategijomis, pastarasis šurmulys dėl jų dalyvavimo Sirijos konflikte nestebina. Vladimiro Putino straipsnis 'New York Times' laikraštyje yra būdingas veiksmas ilgalaikėje viešųjų ryšių schemoje, siekiančioje 2001 m. Rusijos požiūris dažnai glumina: jis svyruoja tarp priešiškumo ir bendradarbiavimo, strategiškai koreguodamas savo taktiką, kad pasiektų konkrečius tikslus, nuolat tikrindamas Amerikos ryžtą. Pripažindama neigiamą pasaulio suvokimą apie savo veiksmus nuo 1990-ųjų pabaigos, Rusija aktyviai bandė pakeisti savo įvaizdį. Tai apima Amerikos viešųjų ryšių firmų pasitelkimą 2006 m., tuo metu pastebėtą žingsnį, ir susirūpinimą dėl jos vaizdavimo Amerikos žiniasklaidoje, įskaitant stereotipinius vaizdus Holivude.  Rusijos didelis susidomėjimas pasauline nuomone, dažnai atsispindintis jos dėmesyje apklausoms, tokioms kaip 'Gallup', pabrėžia šį susirūpinimą. Rusijos pareigūnai nuolat ieško galimybių prisistatyti kaip konstruktyvūs veikėjai, net kai jų veiksmai rodo ką kita.  Pasinaudodama televizija, o vėliau ir internetu, Rusija įkūrė žiniasklaidos priemones, tokias kaip RIA, turinčią 80 naujienų biurų visame pasaulyje, ir 'Russia Today', kuri teigia pasiekianti 630 milijonų žmonių daugiau nei 100 šalių, kad transliuotų savo perspektyvą. Laikraščių priedai Amerikos leidiniuose dar labiau sustiprina jos žinią. Nepaisant šių pastangų, Rusijos tarptautinė reputacija per pastarąjį dešimtmetį nukentėjo dėl daugybės incidentų, įskaitant 2008 m. konfliktą su Gruzija dėl Pietų Osetijos, 2009 m. dujų ginčą su Ukraina, korupcijos skandalus, susijusius su 'Gazprom', Magnickio bylą ir vėlesnę įtampą su JAV, 'Pussy Riot' įkalinimą ir Edwardo Snowdeno prieglobstį. Rusija dažnai elgiasi prieštaringai: slopina disidentus, kartu siekdama olimpinių žaidynių, vilioja, o paskui kritikuoja JAV, o dabar publikuoja strateginius straipsnius. Putino straipsnis nėra beprecedentis. 2009 m. Dmitrijus Medvedevas paskelbė panašų straipsnį 'Washington Post' laikraštyje prieš G-20 susitikimą su prezidentu Obama, pabrėždamas abipusius interesus ir numatydamas teigiamą abiejų tautų ateitį. Rusijai patogūs tokie istoriniai posūkiai ir ji klesti dėl dviprasmybių, palikdama pasaulį spėlioti apie tikrąją savo prigimtį. Šis pastarasis straipsnis sukėlė nuspėjamas reakcijas – nuo pasipiktinimo iki susidomėjimo, o JAV kritikai nerimauja dėl galimos manipuliacijos. Rusija Vakaruose sukelia mišrius jausmus – baimės ir susižavėjimo derinį, įsišaknijusį jos sudėtingoje istorijoje, kultūroje ir Šaltojo karo palikime.  Rusijos naujausios žavesio ofenzivos sėkmė priklauso nuo Sirijos cheminio ginklo situacijos baigties. Teigiamas sprendimas leis Rusijai prisiimti nuopelnus, o nesėkmė bus priskirta JAV.  Ši apskaičiuota rizika atitinka Putino interesus, nepaisant rezultato. JAV būtina bendradarbiauti su Rusija šiuo klausimu. Tyrinėdamos diplomatinius kelius, Amerika turi išlikti budri dėl Rusijos strateginių manevrų ir teikti pirmenybę savo nacionalinio saugumo interesams.",Putin's NYT op-ed? Just another power play in Russia's long game of image management. #Russia #Syria #PublicDiplomacy #Putin #NYTimes,Putino straipsnis NYT? Tik dar vienas galios žaidimas ilgoje Rusijos įvaizdžio valdymo istorijoje. #Rusija #Sirija #ViešiejiRyšiai #Putinas #NYT,lit,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/lit/CoI_114a4503-ed64-4d1a-9094-bbbf1007042e_lit_rewrite_moderate.json,eng,lit,eng,lit,eng,moderate,DialyNews,y,n,y,n
47ade8c7-3ef2-4ec5-b576-dd38000a861c,"'On March 13, 2014, Nedal Lakmas appeared in Sydney's Downing Centre Local Court, facing a charge of indecent assault against actress Sarah Hyland.  The incident allegedly took place at a Qantas-hosted party for 'Modern Family' at The Sebel Pier One on February 20.  Lakmas, accompanied by a mental health advisor, applied to have the case heard under the Mental Health Act. Hyland reportedly left the event distressed. Lakmas is due back in court on April 11.'","'2014 m. kovo 13 d. Nedal Lakmas stojo prieš Sidnėjaus Dauning centro apylinkės teismą, kaltinamas aktorės Sarah Hyland seksualiniu priekabiavimu.  Numanomas incidentas įvyko vasario 20 d.  Qantas surengtame vakarėlyje ‘Modern Family’ serialui viešbutyje ‘The Sebel Pier One’.  Lakmas, lydimas psichikos sveikatos konsultanto, pateikė prašymą, kad byla būtų nagrinėjama pagal Psichikos sveikatos įstatymą.  Pranešama, kad Hyland paliko renginį sukrėsta. Lakmas vėl turės atvykti į teismą balandžio 11 d.'",'Modern Family star Sarah Hyland's alleged assaulter appeared in court seeking mental health assessment. #ModernFamily #SarahHyland #Assault',"'Žvaigždė Sarah Hyland kaltina vyrą priekabiavimu. Kaltinamasis pasirodė teisme, siekdamas psichikos sveikatos įvertinimo. #ModernFamily #SarahHyland #Priekabiavimas'",lit,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/lit/CoI_47ade8c7-3ef2-4ec5-b576-dd38000a861c_lit_edit.json,eng,lit,eng,lit,eng,light,DialyNews,y,n,y,n
