uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
a52c989f-1e7e-47b7-9043-fbf604297765,"'Airbus has celebrated the European certification of its A350 XWB, a new long-range, twin-engine wide-body jet.  Powered by two Rolls Royce Trent XWB engines, the A350 XWB is constructed with 53% carbon-fibre-reinforced polymer for enhanced fuel efficiency.  This milestone allows Airbus to deliver its first A350 XWB to Qatar Airways before year-end.  Five A350 XWBs performed a formation flight over Toulouse, France, near Airbus headquarters in Blagnac, marking the certification.  The rigorous testing program involved over 2,600 flight test hours. Airbus President and CEO Fabrice Brégier praised the thoroughness and efficiency of the test program.  The company anticipates US FAA certification to follow shortly. The A350 XWB accommodates 250 to 350 passengers in a three-class seating layout and represents the future of long-haul travel.'","'Airbus har fejret den europæiske certificering af sin A350 XWB, en ny langdistance, twin-motor wide-body jet. Drevet af to Rolls Royce Trent XWB-motorer er A350 XWB konstrueret med 53% kulfiberforstærket polymer for forbedret brændstofeffektivitet. Denne milepæl giver Airbus mulighed for at levere sin første A350 XWB til Qatar Airways inden årets udgang. Fem A350 XWB'er udførte en formationsflyvning over Toulouse, Frankrig, nær Airbus' hovedkvarter i Blagnac, som markerede certificeringen. Det strenge testprogram involverede over 2.600 flyvetimer. Airbus' præsident og CEO, Fabrice Brégier, roste testprogrammets grundighed og effektivitet. Virksomheden forventer, at den amerikanske FAA-certificering følger kort efter. A350 XWB har plads til 250 til 350 passagerer i et tre-klasse sædelayout og repræsenterer fremtiden for langdistanceflyvninger.'","'Airbus A350 XWB gets European certification!✈️ This fuel-efficient, wide-body jet is ready to take off for Qatar Airways. #Airbus #A350XWB #aviation #futureoftravel'",'Airbus A350 XWB har fået europæisk certificering! ✈️ Denne brændstofeffektive wide-body jet er klar til at lette for Qatar Airways. #Airbus #A350XWB #flyvning #fremtidensrejse',dan,eng_x,gemini-1.5-pro,real_news,[1],/eng_x_r/gemini-1.5-pro/dan/CoI_a52c989f-1e7e-47b7-9043-fbf604297765_dan_polish.json,eng,dan,eng,dan,eng,moderate,DialyNews,y,n,y,n
907b65cc-52ed-4a4f-8926-2820c1580df3,"Following the recent arctic chill in New York, a dense fog has enveloped the city and New Jersey. The extreme cold caused record low temperatures across the US, but the subsequent rise in temperatures resulted in widespread fog.  Temperatures in New York City reached around 7°C (44°F), a significant change from the freezing conditions that grounded over 11,000 flights across America. Photographer Jay Fine captured striking images of the fog over the weekend. 'This fog completely obscured Jersey City,' he said. 'Someone standing on the New York side of the Hudson River near Battery Park City wouldn't have known they were facing New Jersey's tallest building. The Statue of Liberty and Ellis Island were also invisible, disappointing tourists. Looking out my window was like staring into a white void.  There's no sense of direction, scale, or perspective.' He added, 'Instead of photographing the Statue of Liberty, tourists were left taking pictures of nothing.  The fog created an unusual soundscape, with deep bass notes from boats on the river. It sounded almost otherworldly. This kind of fog, rolling in from the harbor, transforms lower Manhattan into a scene from a science fiction film.'","Efter den nylige arktiske kulde i New York har en tæt tåge indhyllet byen og New Jersey. Den ekstreme kulde forårsagede rekordlave temperaturer over hele USA, men den efterfølgende temperaturstigning resulterede i udbredt tåge. Temperaturerne i New York City nåede omkring 7°C (44°F), en betydelig ændring fra de isnende forhold, der satte over 11.000 flyvninger på jorden over hele Amerika. Fotograf Jay Fine fangede slående billeder af tågen i weekenden. 'Denne tåge skjulte fuldstændig Jersey City,' sagde han. 'En person, der stod på New York-siden af Hudson River nær Battery Park City, ville ikke have vidst, at de stod over for New Jerseys højeste bygning. Frihedsgudinden og Ellis Island var også usynlige, hvilket skuffede turister. At se ud af mit vindue var som at stirre ind i et hvidt tomrum. Der er ingen retningssans, skala eller perspektiv.' Han tilføjede: 'I stedet for at fotografere Frihedsgudinden måtte turisterne nøjes med at tage billeder af ingenting. Tågen skabte et usædvanligt lydbillede med dybe bastoner fra både på floden. Det lød næsten uvirkeligt. Denne slags tåge, der ruller ind fra havnen, forvandler Lower Manhattan til en scene fra en science fiction-film.'",NYC goes from arctic freeze to spooky fog! 🌫️ Check out these amazing pics of the city shrouded in mist. #PolarVortex #FogCity #NewYork #Weather,Fra arktisk kulde til uhyggelig tåge i NYC! 🌫️ Se de vilde billeder af byen indhyllet i tåge. #PolarVortex #TågeBy #NewYork #Vejret,dan,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/dan/CoI_907b65cc-52ed-4a4f-8926-2820c1580df3_dan_edit.json,eng,"[dan,eng]",eng,dan,eng,light,DialyNews,y,n,y,n
7c6e5537-8dcc-4584-b2cc-1ecfc7d0853d,"'Despite a grim cancer prognosis with a 50% survival rate, Toronto Mayor Rob Ford remains defiant, stating his intent to 'give it everything I have.' The 45-year-old mayor, battling malignant liposarcoma, has chosen to continue his duties while undergoing chemotherapy, attending a city council debate and even visiting the scene of a fatal accident.  Although visibly weakened by the treatments, Ford insists on working full days at City Hall.  He admitted the situation is 'ripping [his] heart out,' particularly concerning his two young children, aged 7 and 9, who are aware of his illness. Ford confessed to tearful nights but expressed a determined outlook, choosing to see 'the glass as half full.' While he has withdrawn from the mayoral race, Ford is running for a city council seat. His brother, Doug Ford, a current council member, has replaced him in the mayoral campaign. Ford acknowledges criticism of his decision to remain in politics while battling cancer but encourages those who disapprove to 'vote for someone else.' He admitted the chemo has taken a toll, but he still participates actively in his campaign, even staying up late to create campaign signs.'","'Trods en dyster kræftprognose med en overlevelsesrate på 50% forbliver Torontos borgmester, Rob Ford, trodsig og siger, at han vil 'give alt, hvad jeg har.' Den 45-årige borgmester, der kæmper mod ondartet liposarkom, har valgt at fortsætte sine pligter, mens han gennemgår kemoterapi, deltager i en byrådsdebat og endda besøger stedet for en dødsulykke. Selvom han er synligt svækket af behandlingerne, insisterer Ford på at arbejde hele dage på rådhuset. Han indrømmede, at situationen 'river [hans] hjerte ud,' især med hensyn til hans to små børn på 7 og 9 år, som er klar over hans sygdom. Ford indrømmede, at han har grædt om natten, men udtrykte et beslutsomt udsyn og valgte at se 'glasset som halvt fyldt.' Selvom han har trukket sig fra borgmestervalget, stiller Ford op til et byrådssæde. Hans bror, Doug Ford, et nuværende byrådsmedlem, har erstattet ham i borgmesterkampagnen. Ford anerkender kritikken af hans beslutning om at forblive i politik, mens han kæmper mod kræft, men opfordrer dem, der er uenige, til at 'stemme på en anden.' Han indrømmede, at kemoterapien har taget hårdt på ham, men han deltager stadig aktivt i sin kampagne og bliver endda sent oppe for at lave kampagneskilte.'","'Toronto Mayor Rob Ford continues to fight! Despite a tough cancer battle, he's campaigning for city council. #RobFord #Toronto #Resilience'",'Rob Ford giver ikke op! Trods kræft kæmper han videre for en plads i byrådet. #RobFord #Toronto #StærkVilje',dan,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/dan/CoI_7c6e5537-8dcc-4584-b2cc-1ecfc7d0853d_dan_rewrite_light.json,eng,dan,eng,dan,eng,light,DialyNews,y,n,y,n
a8551d2a-b0ea-46c6-8bd8-5f6e7a5bbf41,"'Manila, Philippines – Security measures are heightened for Monday's Black Nazarene procession following credible threats of a potential terrorist attack. National security advisor Cesar Garcia revealed concerns based on reliable sources, indicating a possible attack on the annual Catholic festival.  Approximately nine suspected terrorists from Mindanao are believed to be in the capital. President Aquino has called for public vigilance and ordered increased security, including military personnel. The Feast of the Black Nazarene attracts millions of devotees annually.'","'Manila, Filippinerne – Sikkerhedsforanstaltninger er blevet skærpet forud for mandagens procession for den Sorte Nazarener efter troværdige trusler om et muligt terrorangreb. Den nationale sikkerhedsrådgiver Cesar Garcia udtrykte bekymring baseret på pålidelige kilder, der peger på et muligt angreb på den årlige katolske festival. Omtrent ni mistænkte terrorister fra Mindanao menes at være i hovedstaden. Præsident Aquino har opfordret offentligheden til at være årvågen og har beordret øget sikkerhed, inklusive militært personel. Festen for den Sorte Nazarener tiltrækker millioner af tilbedere årligt.'",'Security ramped up for Manila's Black Nazarene procession due to terror threats. #BlackNazarene #Manila #Philippines #SecurityAlert','Øget sikkerhed ved processionen for den Sorte Nazarener i Manila pga. terrortrusler. #SortNazarener #Manila #Filippinerne #Sikkerhedsvarsel',dan,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/dan/CoI_a8551d2a-b0ea-46c6-8bd8-5f6e7a5bbf41_dan_rewrite_moderate.json,eng,dan,eng,dan,eng,moderate,DialyNews,y,n,y,n
259bdcfd-0f81-4a55-96bc-59ad08d005b1,"'Former Pakistani President Pervez Musharraf has publicly acknowledged that his government secretly sanctioned some U.S. drone strikes within Pakistan. This admission contradicts prior public pronouncements by Pakistani officials who have consistently denied any involvement in the program. Musharraf stated approval was granted only when a target was isolated, minimizing the risk of collateral damage. However, this acknowledgment counters numerous prior denunciations of the drone program, which has faced significant public disapproval within Pakistan. A leaked U.S. diplomatic cable suggests potential behind-the-scenes cooperation despite public condemnations. Musharraf maintains that approval was rare and given only when Pakistani forces couldn't act swiftly enough. He cited the killing of Nek Mohammed, a tribal leader, as one such instance. The drone program's impact and the level of Pakistani involvement remain contentious issues.'","'Pakistans tidligere præsident Pervez Musharraf har offentligt erkendt, at hans regering i hemmelighed godkendte visse amerikanske droneangreb i Pakistan. Denne indrømmelse modsiger tidligere offentlige udtalelser fra pakistanske embedsmænd, der konsekvent har benægtet enhver involvering i programmet. Musharraf udtalte, at godkendelse kun blev givet, når et mål var isoleret, hvilket minimerede risikoen for utilsigtet skade. Denne erkendelse er imidlertid i modstrid med adskillige tidligere fordømmelser af droneprogrammet, der har stået over for betydelig offentlig misbilligelse i Pakistan. Et lækket amerikansk diplomatisk kabel antyder potentiel bag-kulisserne-samarbejde på trods af offentlige fordømmelser. Musharraf fastholder, at godkendelse var sjælden og kun givet, når pakistanske styrker ikke kunne handle hurtigt nok. Han nævnte drabet på Nek Mohammed, en stammeleder, som et sådant eksempel. Droneprogrammets indvirkning og niveauet af pakistansk involvering er fortsat omstridte spørgsmål.'",'Ex-President Musharraf admits Pakistan secretly OK'd some US drone strikes! #Pakistan #Drones #Musharraf #Controversy','Tidligere præsident Musharraf indrømmer hemmelig godkendelse af amerikanske droneangreb! #Pakistan #Droner #Musharraf #Kontrovers',dan,eng_x,gemini-1.5-pro,real_news,[1],/eng_x_r/gemini-1.5-pro/dan/CoI_259bdcfd-0f81-4a55-96bc-59ad08d005b1_dan_polish.json,eng,dan,eng,dan,eng,moderate,DialyNews,y,n,y,n
1e2157ef-6b65-4066-9daa-b95ba9d74e59,"'Darren Bent marked his Brighton debut with a goal, but it wasn't enough to prevent a 2-1 home defeat against fellow strugglers Fulham.  Signed on loan from Aston Villa, Bent made an immediate impact at the Amex Stadium, opening the scoring early in the second half. Brighton's advantage was short-lived, however, as Hugo Rodallega equalized just 10 minutes later.  Lasse Vigan Christensen then secured the win for Fulham. The loss was compounded by Adrian Colunga's late dismissal, pushing Brighton into the Championship's bottom three.  Bent's goal came after a bright start for Brighton, who had numerous early chances.  Despite several close calls, Brighton couldn't extend their lead and were punished by Fulham's clinical finishing.  Colunga's needless foul in added time sealed a frustrating day for Sami Hyypia's side.'","'Darren Bent markerede sin Brighton-debut med et mål, men det var ikke nok til at forhindre et 2-1 nederlag på hjemmebane mod medoprykkerne Fulham. Bent, der er udlejet fra Aston Villa, gjorde et øjeblikkeligt indtryk på Amex Stadium og åbnede scoringen tidligt i anden halvleg. Brightons føring var dog kortvarig, da Hugo Rodallega udlignede blot 10 minutter senere. Lasse Vigan Christensen sikrede derefter sejren til Fulham. Nederlaget blev forværret af Adrian Colungas udvisning sent i kampen, hvilket skubbede Brighton ned i bunden af Championship. Bents mål kom efter en god start for Brighton, der havde adskillige chancer tidligt i kampen. Trods flere næsten-scoringer kunne Brighton ikke udbygge deres føring og blev straffet af Fulhams kliniske afslutninger. Colungas unødvendige frispark i overtiden forseglede en frustrerende dag for Sami Hyypias mandskab.'","'Darren Bent scores on his Brighton debut, but it wasn't enough!  Fulham snatch a 2-1 win. #BHAFC #FFC #Championship #football'","'Mål af Darren Bent i Brighton-debuten, men Fulham vinder 2-1! ⚽️ #BHAFC #FFC #Championship #fodbold'",dan,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/dan/CoI_1e2157ef-6b65-4066-9daa-b95ba9d74e59_dan_rewrite_light.json,eng,dan,eng,"[dan,eng]",eng,light,DialyNews,y,n,y,n
cd7492db-e2a7-48ff-9afc-b52504b74445,"'Hong Kong (CNN) – A high-profile monk who played a key role in introducing Tibetan Buddhism to the West has been murdered in southwest China.  Tarap Shetrup Akong, a British citizen, was killed along with his nephew and another man in Sichuan province on Tuesday.  Police in Chengdu, the provincial capital, stated on Weibo that three suspects have been apprehended.  Akong, born in Tibet in 1940, went into exile in 1959. He founded Samye Ling Monastery in Scotland.  The victim’s brother, in a statement on the monastery’s website, said Akong had been “assassinated,” but provided no further details. Robbie Barnett, a Tibet expert at Columbia University, noted Akong’s extensive social work. “Much of his life’s work focused on providing social welfare to diverse communities in Tibet and beyond,” Barnett said, highlighting Akong’s diplomatic skills and ability to maintain relationships with Chinese officials while supporting Tibetans.  CNN’s Jaime FlorCruz contributed to this report from Beijing.'","'Hong Kong (CNN) – En højtprofileret munk, der spillede en nøglerolle i at introducere tibetansk buddhisme til Vesten, er blevet myrdet i det sydvestlige Kina. Tarap Shetrup Akong, en britisk statsborger, blev dræbt sammen med sin nevø og en anden mand i Sichuan-provinsen tirsdag. Politiet i Chengdu, provinshovedstaden, udtalte på Weibo, at tre mistænkte er blevet anholdt. Akong, født i Tibet i 1940, gik i eksil i 1959. Han grundlagde Samye Ling Kloster i Skotland. Offerets bror sagde i en erklæring på klosterets hjemmeside, at Akong var blevet myrdet, men gav ingen yderligere detaljer. Robbie Barnett, en Tibetekspert ved Columbia University, bemærkede Akongs omfattende sociale arbejde. “Meget af hans livsværk fokuserede på at yde social velfærd til forskellige samfund i Tibet og andre steder,” sagde Barnett og fremhævede Akongs diplomatiske evner og evne til at opretholde forbindelser med kinesiske embedsmænd, samtidig med at han støttede tibetanere. CNN’s Jaime FlorCruz bidrog til denne rapport fra Beijing.'",'Shocking news: Tibetan Buddhist leader Akong Rinpoche murdered in China.  #Tibet #Buddhism #China','Chokerende nyheder: Tibetansk buddhistisk leder Akong Rinpoche myrdet i Kina. #Tibet #Buddhisme #Kina',dan,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/dan/CoI_cd7492db-e2a7-48ff-9afc-b52504b74445_dan_edit.json,eng,"[dan,eng]",eng,dan,eng,light,DialyNews,y,n,y,n
c891dd76-d86e-4d8e-b4ab-f31218c7089f,"HELSINKI -- Dignitaries gathered in Finland's capital on Friday to bid farewell to Martti Ahtisaari, the former president and Nobel Peace Prize laureate. Ahtisaari, who facilitated numerous international peace deals, passed away on October 16th at the age of 86.  Over 800 dignitaries, including President Vjosa Osmani of Kosovo, President Hage Geingob of Namibia, former President Jakaya Kikwete of Tanzania, and former leaders of Indonesia and the Free Aceh movement, attended the ceremony at Helsinki Cathedral.  King Carl XVI Gustaf of Sweden and former Irish President Mary Robinson were also present.  In his eulogy, Finnish President Sauli Niinistö praised Ahtisaari as 'a great Finn' whose work 'left its mark on the lives of numerous people.' The ceremony featured tributes, music by Jean Sibelius, and a wreath-laying.  Ahtisaari's contributions to peace included accords related to Kosovo's independence, Namibia's independence, and autonomy for Aceh. He also played a role in the Northern Ireland peace process, monitoring the IRA's disarmament. In 2008, he was awarded the Nobel Peace Prize.  He later established the Crisis Management Initiative, dedicated to conflict resolution. Ahtisaari stepped down as chairman in 2017 but continued as an advisor. In 2021, he was diagnosed with Alzheimer's disease. Following the service, a procession carried his casket to Hietaniemi cemetery, where he was buried.  The Finnish flag flew at half-staff, and church bells tolled nationwide.  His widow, Eeva, and son, Marko, laid roses on his grave. The funeral was broadcast nationally, and a memorial event for foreign guests was later hosted by Prime Minister Petteri Orpo.","HELSINKI -- Dignitarer samledes i Finlands hovedstad fredag for at tage afsked med Martti Ahtisaari, den tidligere præsident og modtager af Nobels fredspris. Ahtisaari, der faciliterede adskillige internationale fredsaftaler, døde den 16. oktober i en alder af 86 år. Over 800 dignitarer, herunder Kosovos præsident Vjosa Osmani, Namibias præsident Hage Geingob, Tanzanias tidligere præsident Jakaya Kikwete og tidligere ledere fra Indonesien og Free Aceh-bevægelsen, deltog i ceremonien i Helsinki Domkirke. Sveriges kong Carl XVI Gustaf og Irlands tidligere præsident Mary Robinson var også til stede. I sin lovprisning roste Finlands præsident Sauli Niinistö Ahtisaari som 'en stor finne', hvis arbejde 'satte sit præg på utallige menneskers liv'. Ceremonien bød på hyldester, musik af Jean Sibelius og kransenedlæggelse. Ahtisaaris bidrag til fred inkluderede aftaler relateret til Kosovos uafhængighed, Namibias uafhængighed og autonomi for Aceh. Han spillede også en rolle i Nordirlands fredsproces ved at overvåge IRA's afvæbning. I 2008 blev han tildelt Nobels fredspris. Han etablerede senere Crisis Management Initiative, dedikeret til konfliktløsning. Ahtisaari trådte tilbage som formand i 2017, men fortsatte som rådgiver. I 2021 blev han diagnosticeret med Alzheimers sygdom. Efter gudstjenesten bar en procession hans kiste til Hietaniemi kirkegård, hvor han blev begravet. Det finske flag var på halv stang, og kirkeklokker ringede over hele landet. Hans enke, Eeva, og søn, Marko, lagde roser på hans grav. Begravelsen blev sendt på nationalt tv, og statsminister Petteri Orpo var senere vært for en mindehøjtidelighed for udenlandske gæster.",Finland bids farewell to peacemaker Martti Ahtisaari.  The Nobel laureate's legacy lives on. #RIP #Peacemaker #NobelPrize #Finland,Finland siger farvel til fredsskaber Martti Ahtisaari. Nobelprismodtagerens arv lever videre. #HvilIFred #Fredsskaber #Nobelpris #Finland,dan,eng_x,gemini-1.5-pro,real_news,[1],/eng_x_r/gemini-1.5-pro/dan/CoI_c891dd76-d86e-4d8e-b4ab-f31218c7089f_dan_polish.json,eng,dan,eng,dan,eng,moderate,GlobalNews,y,n,y,n
ec451dd9-9a67-421d-a207-b7b3013befd8,"'Google calls 'Magic Editor' the 'future of editing,' and it's easy to see why. This powerful tool, currently exclusive to the Pixel 8 and 8 Pro, simplifies image editing through generative AI. 'Magic Editor' can even create elements from scratch, enhancing your photos significantly. If you own a Pixel 8 or 8 Pro, explore this innovative photo editing tool.  Here's a simple guide: Using 'Magic Editor' (requires images backed up to Google Photos): 1. Open Google Photos. 2. Select a backed-up photo. 3. Tap 'Edit'. 4. Choose 'Magic Editor'. 5. Select the object to edit. 6. Add (+) or erase (-) elements. 7. Drag to move, pinch to resize. 8. Release to let AI fill the image. 9. Confirm edits. 10. Browse results. 11. Select or generate new results. 'Magic Editor' vs. Adobe Photoshop: With these new features, Google Photos rivals professional editing software like Photoshop.  Like Photoshop's 'Generative Fill', 'Magic Editor' can create graphics from nothing. Beyond object manipulation, it resizes elements, enhancing images alongside other Google Photos features.  You can swap faces, replace skies, and add portrait light. While currently limited to Pixel 8 phones, hopefully, it will expand to other Pixels and Google One subscribers like 'Magic Eraser' did. Google's Bold Move: The Pixel 8 Pro offers top-tier photo editing.  'Magic Editor' and 'Audio Magic Eraser' are exclusive to the Pixel 8 series, showcasing Google's commitment to innovation. The Pixel 8 Pro boasts impressive camera technology.'","'Google kalder 'Magic Editor' for 'fremtidens redigering', og det er let at se hvorfor. Dette kraftfulde værktøj, der i øjeblikket er eksklusivt til Pixel 8 og 8 Pro, forenkler billedredigering gennem generativ AI. 'Magic Editor' kan endda skabe elementer fra bunden, hvilket forbedrer dine fotos markant. Hvis du ejer en Pixel 8 eller 8 Pro, så udforsk dette innovative fotoredigeringsværktøj. Her er en simpel guide: Brug af 'Magic Editor' (kræver billeder, der er sikkerhedskopieret til Google Fotos): 1. Åbn Google Fotos. 2. Vælg et sikkerhedskopieret foto. 3. Tryk på 'Rediger'. 4. Vælg 'Magic Editor'. 5. Vælg det objekt, du vil redigere. 6. Tilføj (+) eller slet (-) elementer. 7. Træk for at flytte, knib for at ændre størrelse. 8. Slip for at lade AI udfylde billedet. 9. Bekræft redigeringer. 10. Gennemse resultater. 11. Vælg eller generer nye resultater. 'Magic Editor' vs. Adobe Photoshop: Med disse nye funktioner konkurrerer Google Fotos med professionel redigeringssoftware som Photoshop. Ligesom Photoshops 'Generative Fill' kan 'Magic Editor' skabe grafik fra ingenting. Ud over objektmanipulation ændrer det størrelsen på elementer og forbedrer billeder sammen med andre Google Fotos-funktioner. Du kan bytte ansigter, erstatte himmel og tilføje portrætlys. Selvom det i øjeblikket er begrænset til Pixel 8-telefoner, vil det forhåbentlig blive udvidet til andre Pixels og Google One-abonnenter ligesom 'Magic Eraser' gjorde. Googles modige træk: Pixel 8 Pro tilbyder fotoredigering i topklasse. 'Magic Editor' og 'Audio Magic Eraser' er eksklusive til Pixel 8-serien, hvilket viser Googles engagement i innovation. Pixel 8 Pro kan prale af imponerende kamerateknologi.'","'Editing pics just got magical with Google's 'Magic Editor' on the Pixel 8! ✨  AI-powered editing that lets you add, remove, and even create elements from scratch. #Pixel8 #MagicEditor #GooglePhotos #AI #PhotoEditing'","'Billedredigering er blevet magisk med Googles 'Magic Editor' på Pixel 8! ✨ AI-drevet redigering, der lader dig tilføje, fjerne og endda skabe elementer fra bunden. #Pixel8 #MagicEditor #GoogleFotos #AI #Billedredigering'",dan,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/dan/CoI_ec451dd9-9a67-421d-a207-b7b3013befd8_dan_edit.json,eng,"[dan,eng]",eng,dan,eng,light,GlobalNews,y,n,y,n
129c0f9e-e05f-4f9d-801e-ae574a353603,"A hunter's video from New Zealand demonstrates the remarkable camouflage of Himalayan tahr. Initially, the footage appears to show a rocky hillside, but a gunshot reveals a herd of tahr, blending seamlessly with their surroundings. These large, goat-like animals, native to the Himalayas, were introduced by European settlers for sport hunting. Due to their thriving population, the New Zealand Department of Conservation now culls them to 'control numbers in critical sites of high conservation value.' Tahr are popular among recreational and tourist hunters, prized for their horns and, occasionally, the males' manes. They inhabit alpine grasslands, grazing on snow tussocks, herbs, and shrubs. Tahr are most prevalent in the Southern Alps, ranging from the Rakaia and Whitcombe valleys near Christchurch to Lake Hawea near Queenstown. Hunting permits are available year-round, with the feral range covering approximately 1.7 million hectares of the central South Island. The West Coast Tai Poutini offers 47 hunting areas, while Canterbury has 12. High demand for hunting in the Haast area, near Mount Aspiring National Park, necessitates a ballot system.","En jægers video fra New Zealand demonstrerer den bemærkelsesværdige camouflage af Himalaya-tahr. Optagelserne ser i første omgang ud til at vise en klippefyldt bjergskråning, men et skud afslører en flok tahr, der blander sig problemfrit med deres omgivelser. Disse store, gedelignende dyr, der oprindeligt stammer fra Himalaya, blev introduceret af europæiske bosættere til sportsjagt. På grund af deres blomstrende bestand regulerer New Zealands Department of Conservation dem nu for at 'kontrollere antallet på kritiske steder med høj bevaringsværdi'. Tahr er populære blandt fritids- og turistjægere og er værdsat for deres horn og lejlighedsvis hannernes manker. De lever i alpine græsarealer, hvor de græsser på snetotter, urter og buske. Tahr er mest udbredt i de sydlige alper, der strækker sig fra Rakaia- og Whitcombe-dalene nær Christchurch til Lake Hawea nær Queenstown. Jagttilladelser er tilgængelige året rundt, hvor det område, hvor de findes vildt, dækker cirka 1,7 millioner hektar af det centrale South Island. West Coast Tai Poutini tilbyder 47 jagtområder, mens Canterbury har 12. Stor efterspørgsel efter jagt i Haast-området nær Mount Aspiring National Park nødvendiggør et lodtrækningssystem.",Check out this crazy camouflage! Himalayan tahr in New Zealand blend in perfectly with the rocks.  Hunting permits available! #tahunting #newzealand #camouflage #wildlife,Tjek denne vilde camouflage! Himalaya-tahr i New Zealand blender perfekt ind i klipperne. Jagttilladelser tilgængelige! #tahrjagt #newzealand #camouflage #dyreliv,dan,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/dan/CoI_129c0f9e-e05f-4f9d-801e-ae574a353603_dan_edit.json,eng,dan,eng,dan,eng,light,DialyNews,y,n,y,n
