uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
52bc7656-4451-46d6-8b5f-043eeeffc825,家庭用のトイレだけでなく、オフィスや商業施設、駅などの公衆トイレでも「洋式」が主流になりつつあり、トイレの文化が変わりつつある。便座の「ふた」を巡って、掲示板サイト「発言小町」で熱い議論が交わされており、トイレに関する意識が高まっている。,"Not only in household toilets, but also in office and commercial facilities, and public toilets at stations, Western-style toilets are becoming increasingly popular, and the toilet culture is evolving. A heated discussion is underway on the online forum 'Hatsugen Komachi' about toilet seat lids, and awareness of toilet etiquette is on the rise.",トイレ文化が変わりつつある！西洋式トイレが公共のトイレで人気を博しており、人々はオンラインフォーラムでトイレのふたについて議論しています。あなたの意見は何ですか？#トイレ文化#西洋式トイレ#トイレのふた,"Toilet culture is changing! Western-style toilets are becoming increasingly popular in public restrooms, and people are discussing toilet seat lids on online forums. What's your take on this? #toiletculture #westernstyletoilets #toiletseatlids",kor,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[22, 16]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kor/CoI_52bc7656-4451-46d6-8b5f-043eeeffc825_kor_medium_2216.json,jpn,eng,jpn,eng,jpn,medium,MassiveSum,y,n,y,n
834e95f2-1698-484a-9d42-08ef332c2700,"Peter Jenkins, a renowned American adventurer, embarked on a transformative journey across the United States, challenging expectations and uncovering the authentic spirit of the nation. His book, 'Walk Across America,' became a best seller, enchanting readers with its candid and insightful portrayal of the people and places he encountered. Jenkins' subsequent travels took him to the Pacific Coast, China, and Alaska, where he immersed himself in the local cultures and penned captivating accounts of his experiences, including his time with the Inupiat people in Alaska's far north. Through his writings, Jenkins conveys an unapologetically optimistic view of American life, highlighting the resilience, diversity, and individualism of its people, as exemplified by the resourceful and self-reliant Alaskans he met during his journey.","Peter Jenkins, , . 'Walk Across America,' . Jenkins , , , . , , .", ! # # #,"Discover the inspiring story of Peter Jenkins, who walked across America and wrote a best-selling book about his journey! From the Pacific Coast to Alaska, Jenkins' adventures will captivate you with their candor and insight. #WalkAcrossAmerica #AmericanAdventures #Travel",kor,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[14, 13]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kor/CoI_834e95f2-1698-484a-9d42-08ef332c2700_kor_medium_1413.json,eng,,,eng,eng,medium,MassiveSum,y,n,y,n
64bf284d-0bd4-460a-b429-150fc3cc3638,"Congressional Democrats strongly criticized President Bush's speech, arguing that it was heavy on rhetoric but light on concrete solutions for the war in Iraq and the war on terrorism. The speech drew widespread criticism from Democrats, who contended that it failed to outline a clear strategy for achieving success in Iraq and instead relied on vague promises.", , : ! ' ' . # # #,"BREAKING: Dems Slam Bush's Speech on Iraq War! 'Heavy on rhetoric, light on solutions' Say lawmakers. What do you think? #IraqWar #BushSpeech #DemResponse",kor,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[6, 5]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kor/CoI_64bf284d-0bd4-460a-b429-150fc3cc3638_kor_minor_65.json,eng,,,eng,eng,minor,MassiveSum,y,n,y,n
0205f378-5a3d-4100-9fbd-1401cbc41f6d,"The COVID-19 pandemic has spread rapidly worldwide, with the United States being the most severely affected country, accounting for over 1.3 million confirmed cases and 80,000 deaths. The situation remains critical, and the numbers are anticipated to increase, with many experts warning of a potential second wave.",COVID-19 ,COVID-19 ,"COVID-19 pandemic: US has over 1.3 million cases and 80,000 deaths. The situation is critical, and numbers are expected to rise. #COVID19 #pandemic",kor,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[14, 3]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kor/CoI_0205f378-5a3d-4100-9fbd-1401cbc41f6d_kor_critical_143.json,eng,eng,eng,eng,"[kat,rus]",critical,MassiveSum,n,y,y,n
fc0364e0-0e2d-4b82-b3ea-e9f53e2bde76,新型コロナウイルスの感染拡大により、日本中がパニック状態に！おうちde５７５では、子どもたちがコロナウイルスから守られている,"The COVID-19 pandemic has thrown Japan into chaos! Meanwhile, the 'At Home 575' project is working to keep kids safe from the virus.",코로나19로 우울한가요? 아트홈 575에서 아이들을 안전하고 행복하게 지켜주세요! #아트홈575 #코로나19 #아이들우선,COVID-19 got you down? At Home 575 is working to keep kids safe and smiling! #AtHome575 #COVID19 #KidsFirst,kor,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[19, 16]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kor/CoI_fc0364e0-0e2d-4b82-b3ea-e9f53e2bde76_kor_critical_1916.json,jpn,eng,kor,eng,jpn,critical,MassiveSum,n,y,y,n
e842ae28-f1e1-4313-bfc3-1ef0a6396761,"განრიგი: ყოველდღიური -რადიო ეთერით, ჩვენი გადაცემების მოსმენა შეგიძლიათ ყოველ დღე, 19:05 წუთზე (30 წუთი) და 21:05 წუთზე ( 15 წუთი) თბილისის დროით, საქართველოს საზოგადოებრივი რადიოს პირველ არხზე, FM 102.4.","Schedule: Daily - you can listen to our broadcasts every day at 19:05 (30 minutes) and 21:05 (15 minutes) Tbilisi time, on the first channel of Georgian Public Radio, FM 102.4.","일일 19:05 및 21:05 트빌리시 시간에 조지아 공공 라디오, FM 102.4에서 우리의 라디오 방송을 시청하세요! #조지아공공라디오 #FM1024 #일일방송","Tune in daily at 19:05 & 21:05 Tbilisi time for our radio broadcasts on Georgian Public Radio, FM 102.4! #GeorgianPublicRadio #FM1024 #DailyBroadcasts",kor,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[25, 36]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kor/CoI_e842ae28-f1e1-4313-bfc3-1ef0a6396761_kor_minor_2536.json,kat,eng,kor,eng,kat,minor,MassiveSum,y,n,y,n
235e11da-ea0d-47ad-991e-fc1efd716755,"Бүгүн, 6-февралда Жогорку Кеңештин жыйынында ""Коомдук саламаттыкты сактоо жөнүндө"" мыйзамына өзгөртүүлөрдү киргизүү тууралуу"" мыйзам долбоору талкууланууда. Депутат Улан Примов саламаттыкты сактоо министринин кызматтык унаасын ""жараксыз"" деп атады жана анын ордуна ""Тез жардам"" унааларын жакшыртууга акча жумшулууга чакырды. Министр Космосбек Чолпонбаев унааны өзү алган эмес, ал сатып алуу долбоордун алкагында ишке ашкан деп жооп берди.","Today, on February 6, the bill on amendments to the law ""On Public Health"" was discussed at the meeting of the Supreme Council. Deputy Ulan Primov criticized the minister's official car, calling it ""useless"", and suggested allocating funds to improve the ""Emergency"" cars instead. Minister Kosmosbek Cholponbaev responded that the car was not purchased personally, but rather as part of a procurement project.","키르기스스탄의 보건법이 재검토 중! 의원 울란 프리모프, 장관의 공식 차량을 ""무용""으로 규정하고 긴급 서비스 개선에 자금을 할당할 것을 촉구 #키르기스스탄 #보건 #정치","Kyrgyzstan's healthcare law is under scrutiny! Deputy Ulan Primov slams minister's official car as ""useless"" and calls for funds to improve emergency services instead. #Kyrgyzstan #Healthcare #Politics",kor,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[17, 33]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kor/CoI_235e11da-ea0d-47ad-991e-fc1efd716755_kor_critical_1733.json,kir,eng,kor,eng,kir,critical,MassiveSum,n,y,y,n
066c07ab-47fb-4e3b-ab4b-97591ddd8990,"ST. LOUIS, MISSOURI - In a major breakthrough, researchers have developed a new, cutting-edge method for diagnosing tuberculosis, a disease that claims over a million lives every year. The old diagnostic methods, which date back to the 19th century, are being replaced by a state-of-the-art DNA-based test that utilizes advanced genetic sequencing technology. This innovative approach can identify tuberculosis DNA in sputum samples in just three days, significantly faster than traditional methods. Moreover, the new test can detect drug-resistant strains of the disease, allowing healthcare professionals to provide targeted treatment. With its potential to save countless lives, this breakthrough brings new hope to the millions affected by this devastating disease.","SEOUL, - , . 19 . DNA . , . 3 . , . ",! 3 ! # # #,"Breakthrough in TB diagnosis! New DNA-based test can detect the disease in just 3 days, saving countless lives! #TBDiagnosis #MedicalBreakthrough #Healthcare",kor,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[32, 35]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kor/CoI_066c07ab-47fb-4e3b-ab4b-97591ddd8990_kor_medium_3235.json,eng,kor,,eng,eng,medium,MassiveSum,y,n,y,n
43975bf6-8d6e-466c-aa8c-4fc5aeb597e3,중国の主要農耕地が70年間で最悪の干ばつに直面している。政府の無能な対応により、状況はさらに深刻化し、人々の生活に大きな影響を与えている。,"China is experiencing its worst drought in 70 years, with major agricultural regions being severely affected. The government's inadequate response has exacerbated the situation, significantly impacting the daily lives of its citizens.",중국에서 70년 만에 찾아온 최악의 가뭄이 농업 지역을 황폐화시키고 있습니다! 정부의 늦은 대응이 상황을更加恶화시키고 있습니다. #중국가뭄 #농업 #정부대응,China's worst drought in 70 years is devastating agricultural regions! The government's slow response is making things worse. #ChinaDrought #Agriculture #GovernmentResponse,kor,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[36, 35]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kor/CoI_43975bf6-8d6e-466c-aa8c-4fc5aeb597e3_kor_minor_3635.json,"[kor,jpn]",eng,"[kor,zho]",eng,kor,minor,MassiveSum,y,n,y,n
e794dd9c-cd66-457b-b72a-51eb7dbc9931,"საფრანგეთი უპირველეს ყოვლისა - მარინ ლე პენის პრეზიდენტო კამპანია დაიწყო. ის ქვეყნის ერთ-ერთ ყველაზე ულტრამემარჯვენე პარტიას წარმოადგენს, რომელიც გლობალიზაციის წინააღმდეგ გამოდის და საფრანგეთის დამოუკიდებლობას იცავს.","France First - Marine Le Pen's presidential campaign has kicked off. As the leader of one of France's most far-right parties, she is campaigning against globalization and advocating for French independence."," Marine Le Pen, , . , . # # #","Breaking: Marine Le Pen kicks off her presidential campaign in France! As the leader of a far-right party, she's fighting against globalization and advocating for French independence. What do you think about her platform? #MarineLePen #FrenchElection #Globalization",kor,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[21, 31]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kor/CoI_e794dd9c-cd66-457b-b72a-51eb7dbc9931_kor_medium_2131.json,kat,eng,eng,eng,kat,medium,MassiveSum,y,n,y,n
