uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
d65e74b7-203e-473c-a4e8-d547c7c3399d,"Nonostante le proteste giovanili, l'Italia ha assistito alla rielezione di Giorgio Napolitano, 88 anni, come Presidente. Napolitano, che in precedenza aveva espresso riserve su un secondo mandato, ha cambiato idea dopo un acceso dibattito. Nel suo discorso, ha criticato duramente i partiti politici per la loro incapacità di collaborare, sostenendo che la vera causa dell'ingovernabilità non risiede nella legge elettorale, ma nelle loro pretese di governare da soli. Ha esortato tutti a seguire il suo esempio di collaborazione durante il discorso di Rimini nel 2011, sottolineando l'importanza di alleanze simili a quelle europee. Napolitano ha lanciato un avvertimento: se i partiti non cambieranno il loro approccio, non esiterà a dimettersi, mettendo in luce l'impasse politica. I sabotatori all'interno del PD sono stati chiaramente messi in guardia, mentre l'ex premier Giuliano Amato sembra essere il candidato preferito per il ruolo di Primo Ministro, con Enrico Letta come alternativa più orientata alla politica.","Nonostante le proteste giovanili, l'Italia ha assistito alla rielezione di Giorgio Napolitano, 88 anni, come Presidente. Napolitano, che in precedenza aveva espresso riserve su un secondo mandato, ha cambiato idea dopo accesi dibattiti. Nel suo discorso, ha criticato aspramente i partiti politici per la loro incapacità di collaborare, sostenendo che la vera causa dell'ingovernabilità non risiede nella legge elettorale, ma nelle loro pretese di governare da soli. Ha esortato tutti a seguire il suo esempio di collaborazione durante il discorso di Rimini nel 2011, evidenziando l'importanza di alleanze simili a quelle europee. Napolitano ha avvertito che, se i partiti non cambieranno approccio, non esiterà a dimettersi, mettendo in luce l'impasse politica. I sabotatori all'interno del PD sono stati chiaramente messi in guardia, mentre l'ex premier Giuliano Amato sembra essere il favorito per il ruolo di Primo Ministro, con Enrico Letta come alternativa più politica.","🚨 Notizie dell'Ultima Ora: Presidente a vita? Giorgio Napolitano, 88 anni, di nuovo al comando! Il suo discorso potente ha criticato i partiti, invocando l'unità. L'Italia troverà finalmente stabilità? #PoliticaItaliana #Napolitano #AlleanzaEuropea","🚨 Breaking News: Italy's President for Life? 88-year-old Giorgio Napolitano takes the helm again! His powerful speech slammed political parties, calling for unity. Will Italy finally get its act together? #ItalyPolitics #Napolitano #EuropeanAlliance",ita,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[31, 29]",/x_eng_f/CohereForAI_aya-expanse-32b/ita/CoI_d65e74b7-203e-473c-a4e8-d547c7c3399d_ita_minor_3129.json,ita,ita,ita,eng,ita,minor,MassiveSum,y,n,y,n
0002692e-7604-4f60-b0c1-ce55098d4729,"Roma - Le elezioni italiane sono nel caos. La DC, con a capo Giuseppe Pizza, insiste sulle irregolarità e, in una conferenza stampa, accusa un complotto per bloccare le votazioni e rimandare i referendum. La DC sostiene che la Cassazione non sia competente e che spetti al Consiglio di Stato decidere sulla loro ammissione. I legali della DC minacciano ricorsi, mettendo a rischio la validità delle elezioni. Il segretario, però, si dichiara aperto a soluzioni immediate per risolvere la crisi.","Rome - Le elezioni italiane sono nel caos. La DC, guidata da Giuseppe Pizza, sostiene che ci sia un complotto per impedire le votazioni e rinviare i referendum. Affermano che la Corte di Cassazione non abbia giurisdizione e che spetti al Consiglio di Stato decidere sulla loro partecipazione. I legali della DC minacciano azioni legali, mettendo in dubbio la validità delle elezioni. Il segretario, tuttavia, è aperto a soluzioni rapide per risolvere la situazione.",🚨 Caos elezioni italiane! 🗳️ La DC accusa un complotto per fermare le votazioni e rinviare i referendum. Crisi democratica in vista? #ElezioniItaliane #CaosPolitico #DemocraziaARischio,🚨 Italian elections in CHAOS! 🗳️ DC claims a plot to stop votes & delay referendums! Is this a democratic crisis? #ItalyElections #PoliticalChaos #DemocracyAtRisk,ita,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[16, 20]",/x_eng_f/CohereForAI_aya-expanse-32b/ita/CoI_0002692e-7604-4f60-b0c1-ce55098d4729_ita_minor_1620.json,ita,"[ita,deu]",ita,eng,ita,minor,MassiveSum,y,n,y,n
d259a060-190c-42dd-a82c-5629e157b981,"«Il forno, con il suo calore avvolgente, dipingeva il cielo notturno di sfumature dorate, mentre la fornaia, svegliatasi di soprassalto, ammirava il miracolo: un'infinità di ciambelle dorate, pronte a diffondere il loro profumo inebriante. L'atmosfera era carica di magia.» (Corrado Govoni, Casa paterna, rielaborato).

 La poesia di Govoni cattura l'essenza del pane di Ferrara, un tesoro culinario celebrato nell'arte e nella letteratura. Nei dipinti di De Chirico, il pane assume un'aura mistica, accompagnato da un biscotto crumiro. Riccardo Bacchelli, nel suo romanzo storico, elogia la qualità del pane ferrarese.

 La forma distintiva del pane 'coppia' ha radici antiche. Gli Statuta Ferrariae del 1278 stabilivano regole per i fornai, promuovendo una forma elegante. Questa tradizione si evolve, ispirata forse dagli affreschi dell'Abbazia di Pomposa, che raffigurano pagnotte unite, simili alla coppia.

 La prima documentazione scritta della 'coppia' risale al 1536, quando un pane ritorto fu presentato in un banchetto ducale. Cristoforo da Messisbugo, cuoco di corte, ne lasciò testimonianza scritta. Lo storico Antonio Frizzi ne parlò nel 1791.

 Ferrara è indissolubilmente legata al suo pane, un simbolo di conforto e tradizione. La sua struttura complessa contrasta con la semplicità di altri pani italiani. In Sicilia, ad esempio, i pani di San Giuseppe sono sculture artistiche. Il pane di Ferrara, tuttavia, è unico, una celebrazione della vita, come ha sottolineato Antoine Auguste Parmentier.","“Il forno, con il suo calore avvolgente, dipingeva il cielo notturno di sfumature dorate, mentre la fornaia, svegliatasi di soprassalto, ammirava il miracolo: un'infinità di ciambelle dorate, pronte a diffondere il loro profumo inebriante. L'atmosfera era carica di magia.” (Corrado Govoni, Casa paterna, adattato).

 La poesia di Govoni cattura l'essenza del pane di Ferrara, un tesoro culinario celebrato nell'arte e nella letteratura. Nei dipinti di De Chirico, il pane assume un'aura mistica, accompagnato da un biscotto crumiro. Riccardo Bacchelli, nel suo romanzo storico, elogia la qualità del pane ferrarese.

 La forma distintiva del pane 'coppia' ha radici antiche. Gli Statuti di Ferrara del 1278 stabilivano regole per i fornai, promuovendo una forma elegante. Questa tradizione si è evoluta, forse ispirata dagli affreschi dell'Abbazia di Pomposa, che raffigurano pagnotte unite simili alla coppia.

 La prima documentazione scritta della 'coppia' risale al 1536, quando un pane ritorto fu presentato in un banchetto ducale. Cristoforo da Messisbugo, cuoco di corte, ne lasciò testimonianza scritta. Lo storico Antonio Frizzi ne parlò nel 1791.

 Ferrara è indissolubilmente legata al suo pane, un simbolo di conforto e tradizione. La sua struttura complessa contrasta con la semplicità di altri pani italiani. In Sicilia, ad esempio, i pani di San Giuseppe sono sculture artistiche. Ma il pane di Ferrara è unico, una celebrazione della vita, come ha sottolineato Antoine Auguste Parmentier.","""🍞🌟 Sai che il pane di Ferrara è un'opera d'arte? Dagli antichi statuti alle descrizioni poetiche, la forma unica di questo pane ha una storia ricca e affascinante! 🌟🍞 #PaneDiFerrara #ArteCulinaria #TradizioniItaliane""","""🍞🌟 Did you know Ferrara's bread is a work of art? From ancient statutes to poetic descriptions, this bread's unique shape has a rich history! 🌟🍞 #FerraraBread #CulinaryArt #ItalianTraditions""",ita,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[22, 9]",/x_eng_f/CohereForAI_aya-expanse-32b/ita/CoI_d259a060-190c-42dd-a82c-5629e157b981_ita_minor_229.json,ita,ita,ita,eng,ita,minor,MassiveSum,y,n,y,n
9bd8a39b-21ae-459f-bbe6-b61ec63c5f1f,"Il 'coprifuoco', in termini legali, rappresenta una restrizione alla circolazione dei cittadini, principalmente durante le ore notturne, imposta dalle autorità per motivi di sicurezza pubblica o sanitaria. Contrariamente a quanto si potrebbe immaginare, il termine non ha nulla a che fare con il fuoco o con la copertura delle fiamme. Le sue origini risalgono al Medioevo, quando alcune città ordinarono lo spegnimento dei fuochi notturni per prevenire incendi. All'epoca, le abitazioni in legno, costruite vicine l'una all'altra all'interno delle mura cittadine, aumentavano il rischio di incendi. Pertanto, si decise di spegnere camini, torce e lampade, coprendo le fiamme con recipienti di metallo. Da questa pratica deriva il nome 'coprifuoco'. Si attribuisce a Guglielmo il Conquistatore, dopo la vittoria nella battaglia di Hastings, l'emissione del primo decreto di questo tipo, ordinando lo spegnimento dei fuochi al suono delle campane serali. Questa usanza si diffuse in Italia tra il XII e il XIII secolo, specialmente in città affollate come Firenze, Pisa e Milano. Dopo un periodo di disuso, il coprifuoco ritornò in vigore prima della Seconda Guerra Mondiale, a causa dei bombardamenti aerei. Le città industriali adottarono misure di oscuramento, vietando i movimenti dei veicoli e riducendo i trasporti pubblici. Il termine 'coprifuoco' fu rispolverato per descrivere queste restrizioni, evocando l'immagine medievale del buio cittadino. In Italia, il 26 luglio 1943, dopo la caduta del fascismo, il nuovo governo impose il coprifuoco dalle 20:00 alle 6:00 per prevenire raduni incontrollati. Questa misura rimase in vigore fino all'armistizio con gli Alleati l'8 settembre 1943, con alcune variazioni negli orari. In seguito, le autorità militari alleate e tedesche imposero coprifuochi rigidi nelle zone di guerra e più flessibili altrove. Nella storia repubblicana italiana, non ci sono stati altri casi di coprifuoco fino alle recenti decisioni. Tuttavia, in altri paesi, come Francia, Islanda e Stati Uniti, il coprifuoco è stato implementato in varie situazioni di emergenza, sia in tempo di guerra che per mantenere l'ordine pubblico.","In legal terms, a 'curfew' is a restriction on citizen movement, primarily during nighttime, imposed by authorities for public safety or health reasons. Contrary to common misconception, the term bears no relation to fire or flame coverage. Its origins trace back to the Middle Ages, when some cities mandated the extinguishing of night fires to avert blazes. Given the prevalence of wooden houses packed closely together within city walls, the risk of fires was heightened. Consequently, chimneys, torches, and lamps were extinguished by covering their flames with metal containers. This practice coined the term 'curfew'. Tradition holds that William the Conqueror, following his triumph at the Battle of Hastings, issued the inaugural decree of this kind, dictating the extinguishing of fires upon the ringing of evening bells. This practice proliferated across Italy between the 12th and 13th centuries, particularly in crowded cities such as Florence, Pisa, and Milan. After falling into disuse, curfews reemerged ahead of World War II in response to aerial bombings. Industrial centers implemented blackout measures, prohibiting vehicle traffic and curtailing public transportation. The term 'curfew' was revived to describe these constraints, conjuring the medieval vision of a city shrouded in darkness. On July 26, 1943, in the aftermath of Fascism's collapse, Italy's new government instituted a curfew from 8:00 PM to 6:00 AM to forestall uncontrolled assemblies. This measure endured until the armistice with the Allies on September 8, 1943, with some adjustments to the timings. Thereafter, Allied and German military authorities enforced stringent curfews in war zones and more lenient ones in other areas. Curfews have not been imposed in Italy's republican history since, except for recent decisions. Nevertheless, countries including France, Iceland, and the United States have implemented curfews during various emergencies, both during wartime and to preserve public order.","Sapevi che il termine 'coprifuoco' risale al Medioevo? 🕰️ All'epoca significava spegnere i fuochi di notte per prevenire incendi nelle città affollate e piene di case in legno! 🔥 Col tempo, ha assunto il significato di restrizioni alla circolazione, soprattutto in tempo di guerra. #CuriositàStoriche #Coprifuoco #Medioevo","Did you know the term 'curfew' comes from the Middle Ages? 🕰️ It originally meant putting out fires at night to prevent blazes in crowded wooden cities! 🔥 Over time, it evolved to mean restrictions on movement, especially during wartime. #HistoryFacts #Curfew #MedievalTimes",ita,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[13, 31]",/x_eng_f/CohereForAI_aya-expanse-32b/ita/CoI_9bd8a39b-21ae-459f-bbe6-b61ec63c5f1f_ita_minor_1331.json,ita,eng,ita,eng,ita,minor,MassiveSum,y,n,y,n
8ab0368d-cd13-420f-aa0d-aacb64a472b5,"Pokémon GO suscita un vivace dibattito in Italia, coinvolgendo persino la sfera politica. Beppe Grillo, leader del M5S, ha pubblicato un articolo su 'Il Fatto Quotidiano' in difesa del gioco, attaccando i media per la loro attenzione ai giocatori anziché ai problemi reali. 'Ma perché preoccuparci dei Pokémon quando affrontiamo crisi economiche e guerre?', si chiede Grillo. 'Dovremmo indignarci per chi ci tiene schiavi del sistema bancario.'

Le critiche non si limitano ai media. Carla Gozzi, conduttrice TV, ha condiviso un incidente preoccupante: ha quasi investito un giocatore distratto dallo smartphone. Anche star come Rihanna e Beyoncé hanno espresso il loro malcontento durante i concerti, invitando i fan a vivere il momento presente.

Nonostante le polemiche, Pokémon GO continua a crescere. Nuovi Pokémon e funzionalità sono stati annunciati, e Mosca sta sviluppando una versione storica. Tuttavia, le azioni di Nintendo mostrano un calo, sollevando dubbi sulla sua stabilità finanziaria.","Pokémon GO stirs up heated discussions in Italy, extending to the political realm. Beppe Grillo, head of the M5S, penned an article in 'Il Fatto Quotidiano' championing the game and criticizing the media for their focus on players over pressing matters. 'But what do Pokémon have to do with our current struggles?', queries Grillo. 'We should be rallying against those who keep us beholden to the banking system.'

The backlash isn't limited to the media. TV personality Carla Gozzi revealed a chilling near-miss: she nearly struck a player engrossed in their phone. Pop stars Rihanna and Beyoncé have also voiced their discontent during concerts, urging attendees to embrace the real world.

Despite the furor, Pokémon GO persists in its popularity. Fresh Pokémon and features are on the horizon, and Moscow is crafting a historical edition. Yet, Nintendo's stock is experiencing a downturn, prompting concerns about its financial resilience.","""🚨 Pokémon GO divide l'Italia! Dalla politica agli incidenti stradali, questo gioco fa discutere. Beppe Grillo lo difende, ma Rihanna e Beyoncé non sono convinte. E Mosca lancia una versione storica! #PokemonGO #Polemica #Videogiochi"", 'hashtags': ['#PokemonGO', '#Polemica', '#Videogiochi'","""🚨 Pokémon GO is taking over Italy, but not everyone's happy! From political debates to near-accidents, this game is causing quite a stir. Beppe Grillo defends the craze, while celebs like Rihanna and Beyoncé aren't fans. And Moscow is even getting in on the action with a historical version! #PokemonGO #Controversy #Gaming"", 'hashtags': ['#PokemonGO', '#Controversy', '#Gaming'",ita,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[32, 2]",/x_eng_f/CohereForAI_aya-expanse-32b/ita/CoI_8ab0368d-cd13-420f-aa0d-aacb64a472b5_ita_minor_322.json,ita,"[eng,ita]",ita,eng,ita,minor,MassiveSum,y,n,y,n
835b22ae-d24c-4ed8-9a74-7c811dc8946f,"È giunto il momento di agire, ha affermato con determinazione Tiziana Lo Cacciato, dopo i drammatici eventi che hanno scosso la nostra città e portato al grave ferimento di Massimo Ursino. Indipendentemente dai dettagli dell'aggressione o dalle responsabilità individuali, la gravità di quanto accaduto non può essere sottovalutata. Un giovane, al di là delle sue convinzioni politiche, è stato vittima di un attacco brutale. Questo tipo di violenza politica, che non vedevamo da decenni nella nostra città, lancia un segnale d'allarme - ha sottolineato Lo Cacciato. Temo che non sia un caso isolato, dato il clima di odio fomentato dalla classe politica locale. È imperativo che l'amministrazione comunale prenda una posizione ferma: le regole valgono per tutti, e la violenza non ha posto nella nostra società. La città deve unirsi per condannare questa escalation, da qualsiasi parte provenga. Dobbiamo lavorare insieme per ristabilire la calma e il rispetto nel dibattito politico, evitando di alimentare l'odio. Istituzioni, scuole, famiglie e associazioni devono collaborare per estirpare questa violenza che non ci appartiene.","It's time to take action, Tiziana Lo Cacciato firmly asserted, following the shocking events that rocked our city and resulted in the severe injury of Massimo Ursino. Irrespective of the specifics of the assault or individual culpability, the severity of the incident cannot be overstated. A young individual, regardless of their political affiliations, was brutally attacked. Such gratuitous political violence, unseen in our city for decades, serves as an alarming wake-up call - Lo Cacciato stressed. I fear this might not be an isolated occurrence, given the hate-filled rhetoric perpetuated by our local political leaders. It is imperative that our municipal government takes a strong stance: rules must be universally enforced, and violence has no place in our community. The entire city must stand united against this escalating violence, regardless of its origin. We must collectively work towards restoring peace and democratic engagement in political discussions, refraining from inciting hatred. Our institutions, schools, families, and community organizations must join forces to eradicate this violence that does not reflect our values.","#NotizieScioccanti #ViolenzaPolitica #AllertaComunità

🚨 È ora di agire! La politica locale Tiziana Lo Cacciato interviene dopo l'aggressione brutale di un giovane nella nostra città. Violenza politica così gratuita non si vedeva da decenni! Non lasciamo che l'odio vinca. 🌟 Uniamoci contro la violenza, da qualunque parte venga. #BastaOdio #Pace #InsiemeSiamoPiùForti","#ShockingNews #PoliticalViolence #CommunityAlert

🚨 Time to act! Local politician Tiziana Lo Cacciato speaks out after a young man was brutally attacked in our city. This type of political violence hasn't been seen in decades! We can't let hate win. 🌟 Stand united against violence, no matter where it comes from. #EndHateSpeech #PeacefulCoexistence #StrongerTogether",ita,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[32, 15]",/x_eng_f/CohereForAI_aya-expanse-32b/ita/CoI_835b22ae-d24c-4ed8-9a74-7c811dc8946f_ita_medium_3215.json,ita,eng,ita,eng,ita,medium,MassiveSum,y,n,y,n
8560a780-accb-47ac-af03-152a198b83f8,"Da Milano, la situazione di Ivan Basso sulla delicata questione del doping è in una fase decisiva. Il campione, supportato dal suo legale e dal portavoce della CSC, ha affrontato un confronto con i procuratori antidoping del Coni. Un documento cruciale dalla Spagna ha certificato, poco prima, l'assenza di coinvolgimenti di Basso nell'Operacion Puerto, smentendo le voci precedenti. Con un sorriso, Basso ha affermato di aver chiarito ogni dubbio e di attendere con fiducia il responso. Fonti interne, tuttavia, insinuano una possibile rottura contrattuale con la CSC, creando una situazione tesa tra il corridore e la squadra.","Da Milano, la situazione di Ivan Basso riguardo alla delicata questione del doping è in una fase cruciale. Il celebre ciclista, assistito dal suo avvocato e dal portavoce della CSC, ha affrontato un incontro con i procuratori antidoping del Comitato Olimpico Nazionale Italiano (CONI). Un documento fondamentale dalla Spagna ha confermato, poco prima, l'estraneità di Basso all'Operacion Puerto, smentendo le voci precedenti. Con un sorriso, Basso ha dichiarato di aver chiarito ogni dubbio e di attendere con fiducia il verdetto. Fonti interne, tuttavia, lasciano intendere una possibile rottura contrattuale con la CSC, creando una situazione tesa tra il corridore e la squadra.","🚴‍♂️ Il caso doping di Ivan Basso si complica! Documento spagnolo lo scagiona, ma la CSC vuole rescindere il contratto. Riuscirà a tornare in sella? #Ciclismo #ScandaloDoping #ForzaBasso","🚴‍♂️ Ivan Basso's doping case takes a turn! A Spanish document clears him, but his team CSC might be ready to cut ties. Will he ride again? #CyclingNews #DopingScandal #BassoFight",ita,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[24, 19]",/x_eng_f/CohereForAI_aya-expanse-32b/ita/CoI_8560a780-accb-47ac-af03-152a198b83f8_ita_critical_2419.json,ita,ita,"[ita,spa]",eng,ita,critical,MassiveSum,n,y,y,n
2875ca1d-b4f7-47e9-96ab-db26f8d4ba1c,"Papeete - Le autorità hanno recuperato i corpi di tutti i 20 passeggeri coinvolti nel devastante incidente aereo avvenuto sull'isola di Moorea, un paradiso tropicale nella Polinesia francese. L'aereo, un De Havilland Twin Otter recentemente sottoposto a manutenzione, trasportava un gruppo eterogeneo di passeggeri, tra cui diplomatici europei e turisti da Australia e Francia. Solo un minuto dopo il decollo, il velivolo è precipitato nell'oceano, lasciando scarse speranze di sopravvissuti. Testimoni oculari descrivono una scena scioccante, con l'aereo che si è inabissato senza alcun segnale di emergenza.

La comunità internazionale piange la perdita, tra cui quella di due funzionari dell'UE, Jean-Pierre Piérard e Michel Gauche, figure chiave nella regione del Pacifico.","Papeete - Le autorità hanno recuperato i corpi di tutti i 20 passeggeri coinvolti nel devastante incidente aereo avvenuto sull'isola di Moorea, un paradiso tropicale nella Polinesia francese. L'aereo, un De Havilland Twin Otter recentemente sottoposto a manutenzione, trasportava un gruppo eterogeneo di passeggeri, tra cui diplomatici europei e turisti australiani e francesi. Solo un minuto dopo il decollo, il velivolo è precipitato nell'oceano, lasciando scarse speranze di sopravvissuti. Testimoni oculari descrivono una scena scioccante, con l'aereo che si è inabissato senza alcun segnale di emergenza.

La comunità internazionale è in lutto per la perdita, tra cui quella di due funzionari dell'UE, Jean-Pierre Piérard e Michel Gauche, figure chiave nella regione del Pacifico.","#IncidenteMoorea: Tragedia in Polinesia! Recuperati i corpi di tutti i 20 passeggeri. La comunità internazionale piange la perdita, tra cui due funzionari UE. I nostri pensieri alle famiglie delle vittime. #UltimOra #DisastroAereo #ParadisoTropicale","#MooreaPlaneCrash: Devastating news from French Polynesia! All 20 passengers lost in a tragic plane crash. An international community in mourning, including 2 EU officials. Our thoughts are with the victims' families. #BreakingNews #AirDisaster #TropicalParadise",ita,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[15, 22]",/x_eng_f/CohereForAI_aya-expanse-32b/ita/CoI_2875ca1d-b4f7-47e9-96ab-db26f8d4ba1c_ita_medium_1522.json,ita,ita,ita,eng,ita,medium,MassiveSum,y,n,y,n
398eaf0b-3b35-4de5-8fea-a1b9566f497d,"E poi il controverso tweet del senatore grillino, la strategia social di Renzi, il provino ad 'Amici' di Alessandro Di Battista, che ha suscitato reazioni contrastanti. Abbiamo selezionato le dichiarazioni più discusse della settimana. Vota quella che ti sembra più sorprendente!","And then the controversial tweet by the Five Star Movement senator, Renzi's social media maneuver, Alessandro Di Battista's audition on the 'Amici' show, which stirred up mixed reactions. We've gathered the most talked-about statements of the week. Vote for the one that seems the most outrageous to you!","🚨 Nuovo giro di polemiche politiche! Dal tweet controverso di un senatore al piano social di Renzi, fino al provino di Di Battista ad 'Amici'! 🤯 Vota la dichiarazione più esagerata della settimana! #PoliticaItaliana #Polemiche #CaosSocial","🚨 New round of political drama! From a senator's controversial tweet to Renzi's social tactics, and even Di Battista's 'Amici' audition! 🤯 Vote for the most outrageous statement of the week! #ItalianPolitics #DramaAlert #SocialMediaChaos",ita,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[36, 18]",/x_eng_f/CohereForAI_aya-expanse-32b/ita/CoI_398eaf0b-3b35-4de5-8fea-a1b9566f497d_ita_medium_3618.json,ita,eng,ita,"[eng,ita]",ita,medium,MassiveSum,y,n,y,n
d32c95b2-4018-4a67-905c-8e8f924c3c6f,"«E ora vediamo quanto impieghi a morire». Questa la macabra 'benedizione' ricevuta dall'infermiera Claudia Alivernini, la prima italiana ad aver accettato il vaccino COVID, secondo quanto riportato. Un'ondata di commenti aggressivi da parte dei sostenitori del movimento free-vax ha invaso la sua pagina Facebook, costringendola a disattivarla. La situazione è precipitata con la creazione di falsi account Instagram a suo nome, uno dei quali ha rapidamente guadagnato oltre 800 follower, diffondendo dichiarazioni distorte attribuitele. Alivernini sta valutando di denunciare l'accaduto alla polizia postale per furto di identità.","""And now let's see how long it takes for you to die."" This was the macabre 'blessing' bestowed upon nurse Claudia Alivernini, said to be the first Italian to receive the COVID vaccine. A surge of aggressive comments from free-vax movement supporters inundated her Facebook page, compelling her to shut it down. The situation took a turn for the worse with the creation of fake Instagram accounts in her name; one such account, with over 800 followers, disseminated distorted statements allegedly made by her. Alivernini is contemplating reporting the incident to the postal police for identity theft.","🚨 Scioccante! L'infermiera Claudia Alivernini, prima italiana vaccinata, ha ricevuto MINACCE DI MORTE dagli antivax! 💉 La sua pagina è stata invasa da odio, costringendola a lasciare i social. Falsi account Instagram diffondono bugie su di lei. Basta così! #OdioVaccinale #NoVax #IoStoConClaudia","🚨 Shocking! Nurse Claudia Alivernini, 1st Italian to get the COVID vax, received DEATH THREATS from anti-vaxxers! 💉 Her socials were flooded with hate, forcing her offline. Fake Instagram accounts spread lies about her. This has to stop! #VaccineHate #AntiVaxX #SupportClaudia",ita,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[13, 1]",/x_eng_f/CohereForAI_aya-expanse-32b/ita/CoI_d32c95b2-4018-4a67-905c-8e8f924c3c6f_ita_medium_131.json,ita,eng,ita,eng,ita,medium,MassiveSum,y,n,y,n
