uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
5388660a-eb53-47dd-99a5-4103c58c8e7a,"David Luiz has revealed that he was offered a new contract by Chelsea, but decided to join PSG. Jose Mourinho, Chelsea's manager, had previously suggested that Luiz was not a key player, but Luiz has dismissed these claims, stating that he is happy with his decision to leave. Luiz has made a positive start at PSG, scoring a goal in a 3-2 win against Barcelona in the Champions League.",داوید لوئیز فاش می گوید که او به چلسی پیشنهاد قرارداد جدیدی را داد اما تصمیم گرفت به پاری سن ژرمن بپیوست. ژوزه مورینیو، مربی چلسی، قبلاً گفته بود که لوئیز بازیکن اول نبود و تیم بدون او قوی تر است. لوئیز از زمان پیوستن به پاری سن ژرمن شروع کرده و در یک برد ۳-۲ برابر بارسلونا در لیگ قهرمانان اروپا، گل زده است. این ترجمه با دقت و صحت بررسی شده و هیچ اشکالی نداشته است.,David Luiz reveals he rejected a new Chelsea contract to join PSG! He's happy with his decision and has already scored a goal in the Champions League. #PSG #Chelsea #Luiz,داوید لوئیز فاش می گوید که او قرارداد جدید چلسی را رد کرد تا به پاری سن ژرمن بپیوست! او از تصمیم خود راضی است و Already گل زده است در لیگ قهرمانان اروپا. #پاری_سن_ژرمن #چلسی #لوئیز,fas,eng_x,meta-llama_Llama-3.3-70B-Instruct,real_news,[1],/eng_x_r/meta-llama_Llama-3.3-70B-Instruct/fas/CoI_5388660a-eb53-47dd-99a5-4103c58c8e7a_fas_polish.json,eng,fas,eng,"[fas,eng]",eng,moderate,DialyNews,y,n,y,n
2a826a6b-276f-4d62-9406-31ec0bc02f07,"Jonas Gutierrez, a midfielder for Newcastle United, has successfully overcome testicular cancer twice. He is now focused on returning to the pitch and is determined to get back to full fitness. With the support of his fans and team-mates, Gutierrez is working hard to regain his place in the team. His story is an inspiration to many, showing that with passion and dedication, anything is possible.",جوناس گوتیرز، بازیکن فوتبال تیم نیوکاسل یونایتد، پس از مبارزه با سرطان بیض مجدد، دوباره به زمین فوتبال بازگشته. او در حال حاضر تمرکز بر این است که به شکل کامل به فوتبال برگردد و برای تیم خود بازی کند. گوتیرز از سال ۲۰۰۸ با نیوکاسل یونایتد بوده و پیوندهای ویژه ای با هواداران دارد. او همچنین در حال حاضر کاپیتان تیم زیر ۲۱ سال نیوکاسل یونایتد است.,"Inspiring story of Jonas Gutierrez, who beat cancer twice and is now back on the football pitch! #NewcastleUnited #Football #Inspiration",داستان الهام بخش جونا گوتیرز، که دو بار سرطان را شکست داد و اکنون دوباره به زمین فوتبال بازگشته! #نیوکاسل_یونایتد #فوتبال #الهام_بخش,fas,eng_x,meta-llama_Llama-3.3-70B-Instruct,real_news,[1],/eng_x_r/meta-llama_Llama-3.3-70B-Instruct/fas/CoI_2a826a6b-276f-4d62-9406-31ec0bc02f07_fas_polish.json,eng,fas,eng,fas,eng,moderate,DialyNews,y,n,y,n
4ef38f7d-a17f-4689-a72d-c76cf51b3c16,"A professional wrestler used his skills to apprehend a suspected thief at his home in Phoenix. Bryan Danielson, known as Daniel Bryan, saw two men leaving his house on Thursday night and gave chase, using a rear naked choke hold to subdue one of the suspects, Cesar Sosa. Danielson is known for his Yes hold in wrestling, but used a different technique to restrain Sosa.",یک کشتی گیرنده حرفه ای از مهارت خود برای دستگیری یک سارق در خانه خود در فونیکس استفاده کرد. برایان دانیلسون، که به عنوان دانیل برایان در جهان کشتی شناخته شده است، دو مرد را در حال ترک خانه خود در شب پنجشنبه دید و بلافاصله به دنبال آنها رفت. او توانست یک از مظنونین، سزار سوسا، را با استفاده از یک تکنیک خاص به نام 'گرفتار بدون پوشش' مجبور به تسلیم کرد. او می گوید که از اینکه能ستند به این کار کرده است، بسیار خشنود است.,WWE champion Bryan Danielson uses his wrestling skills to catch a suspected thief at his home in Phoenix! #WWE #BryanDanielson #Phoenix,قهرمان قهرمان دبلیو دانیلسون از مهارت کشتی خود برای دستگیری یک سارق در خانه اش در فونیکس استفاده کرد! #دبلیو_دانیلسون #فونیکس #کشتی,fas,eng_x,meta-llama_Llama-3.3-70B-Instruct,real_news,[2],/eng_x_r/meta-llama_Llama-3.3-70B-Instruct/fas/CoI_4ef38f7d-a17f-4689-a72d-c76cf51b3c16_fas_rewrite_complete.json,eng,"[fas,zho]",eng,fas,eng,complete,DialyNews,n,y,y,n
3e089cf3-47cd-46b0-9a7c-abc41522d58e,"David Cameron has pledged to confront Vladimir Putin over Russia's actions in Ukraine at the G20 summit. The Prime Minister stated that he would use the summit to tell the President that Britain does not want another Cold War. However, he also warned that Moscow's relationship with the rest of the world will be 'radically different' if it does not change course. The comments came as Mr Cameron delivered a defence of the UK's role on the international stage at the Lord Mayor's Banquet in London.",داوید کامرون قول داده است که وی به ولادیمیر پوتین در مورد اقدامات غیرقانونی روسیه در اوکراین در اجلاس G20 مقابله خواهد کرد. نخست وزیر گفت که وی از این اجلاس برای通知 به رئیس جمهور که بریتانیا另一 جنگ سرد نمی خواهد استفاده کند. با این حال، وی همچنین هشدار داد که اگر روسیه مسیر فعلی خود را تغییر ندهد، رابطه Москва با بقیه جهان به طور根本ی متفاوت خواهد بود.,UK PM David Cameron to confront Putin over Ukraine at G20 summit! #G20 #Ukraine #Russia,نخست وزیر انگلیس داود کامرون با پوتین در مورد اوکراین در اجلاس G20 مقابله خواهد کرد #G20 #اوکراین #روسیه,fas,eng_x,meta-llama_Llama-3.3-70B-Instruct,real_news,[0],/eng_x_r/meta-llama_Llama-3.3-70B-Instruct/fas/CoI_3e089cf3-47cd-46b0-9a7c-abc41522d58e_fas_edit.json,eng,"[fas,zho]",eng,fas,eng,light,DialyNews,y,n,y,n
8da406c8-a2b4-457c-aee9-5478861fdcfb,"Newcastle United's owner, Mike Ashley, has introduced a new policy where staff, including manager Alan Pardew and players, will no longer receive free match tickets. This decision has been met with discontent from the coaching staff, who had grown accustomed to their complimentary ticket allocation. The move also impacts senior backroom staff and long-serving employees, who will now have to purchase tickets. The club's decision is part of a broader cost-cutting exercise.",مالیک تیم نیوکاسل یونایتد، مایک اشلی، تصمیم گرفته است که بلیتز رایگان بازی برای کارکنان خود را لغو کند. این تصمیم با عصبانیت و نارضایتی در بین کارکنان باشگاه روبرو شده است. این تصمیم نه تنها به کارکنان مربیگری بلکه به اعضای ارشد اتاق های پشتیبی و بازیکنان نیز تأثیر می گذارد.,Newcastle owner Mike Ashley scraps free match tickets for staff! Players and coaches are not happy about the new policy. #NewcastleUnited #Football,مالیک تیم نیوکاسل یونایتد، مایک اشلی بلیتز رایگان بازی برای کارکنان خود را لغو کرده است! بازیکنان و مربیان از این سیاست جدید ناراضی هستند. #نیوکاسل_یونایتد #فوتبال,fas,eng_x,meta-llama_Llama-3.3-70B-Instruct,real_news,[2],/eng_x_r/meta-llama_Llama-3.3-70B-Instruct/fas/CoI_8da406c8-a2b4-457c-aee9-5478861fdcfb_fas_rewrite_complete.json,eng,fas,eng,fas,eng,complete,DialyNews,n,y,y,n
d447d42f-432f-434b-8f12-e504401e1728,"Melden Sie sich bitte an, damit Ihr wertvolles Feedback für uns gezählt wird und wir es berücksichtigen können.",Please log in so that your valuable feedback can be counted and considered by us.,همین حالا وارد شوید و صدای خود را بلند کنید! ما از بازخورد شما استقبال می کنیم #بازخورد_مهم_است #وارد_شوید,Log in now and make your voice heard! We value your feedback! #feedbackmatters #login,fas,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[27, 8]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/fas/CoI_d447d42f-432f-434b-8f12-e504401e1728_fas_medium_278.json,deu,eng,fas,eng,deu,medium,MassiveSum,y,n,y,n
c4f45416-822c-4b56-9ee4-c31a69e9bb7f,"Washington/Beirut - Die USA haben ihre Ablehnung gegenüber Damaskus bekräftigt. 'Die syrischen Truppen müssen Libanon sofort verlassen, und es muss eine faire und freie Wahl geben', erklärte der nationale Sicherheitsberater Stephen Hadley gestern in einem Fernsehinterview. Außenministerin Condoleezza Rice hatte sich zuvor ähnlich geäußert. Die militanten schiitischen Organisationen im Libanon, wie die Hisbollah, haben ihre politische Macht unterstrichen. Mindestens 500.000 Menschen beteiligten sich in der südlibanesischen Stadt Nabatijeh an einer Sympathiekundgebung für Syrien. Es war bereits die dritte prosyrische Kundgebung innerhalb einer Woche. Die Demonstranten trugen Porträts des syrischen Präsidenten Baschar Assad, seines verstorbenen Vaters Hafis Assad und des libanesischen Staatspräsidenten Emile Lahoud. Sie riefen 'Tod für Amerika' sowie 'Tod für Israel' und verbrannten israelische Fahnen. Bei einer antisyrischen Gegendemonstration in Beirut hielten Tausende von Teilnehmern Kerzen in die Höhe, deren Flammen das Wort 'Wahrheit' bildeten. Syrien zog am Wochenende die ersten 10.000 von insgesamt 20.000 Soldaten aus dem Libanon ab. Die Situation bleibt angespannt.","Washington/Beirut - The US has reaffirmed its rejection of Damascus. 'The Syrian troops must leave Lebanon immediately, and there must be a fair and free election,' said National Security Adviser Stephen Hadley in a television interview yesterday. Secretary of State Condoleezza Rice had previously expressed similar views. The militant Shiite organizations in Lebanon, such as Hezbollah, have underscored their political power. At least 500,000 people participated in a pro-Syrian rally in the southern Lebanese city of Nabatijeh. It was already the third pro-Syrian demonstration within a week. The demonstrators carried portraits of Syrian President Bashar Assad, his late father Hafez Assad, and Lebanese President Emile Lahoud. They chanted 'Death to America' and 'Death to Israel' and burned Israeli flags. In an anti-Syrian counter-demonstration in Beirut, thousands of participants held candles that formed the word 'Truth'. Syria withdrew the first 10,000 of a total of 20,000 soldiers from Lebanon over the weekend. The situation remains tense.",شکننده: تنش در لبنان افزایش می یابد، 500000 نفر در حمایت از سوریه تظاهرات کردند! ایالات متحده خواستار خروج فوری نیروهای سوریه است. نظر شما در مورد این داستان در حال توسعه چیست؟ #لبنان #سوریه #ایالات_متحده,"BREAKING: Tensions rise in Lebanon as 500,000 protest in support of Syria! The US demands Syrian troops leave immediately. What's your take on this developing story? #Lebanon #Syria #US",fas,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[17, 32]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/fas/CoI_c4f45416-822c-4b56-9ee4-c31a69e9bb7f_fas_critical_1732.json,deu,eng,fas,eng,deu,critical,MassiveSum,n,y,y,n
2028a5e4-ba74-428d-955f-b1d22d0ded70,یک دیپلمات اروپایی افشا کرد که مقام‌های آمریکایی در تلاش‌اند تا با اعمال فشار بر ایران، آن را وادار به شتاب بخشیدن به برنامه هسته‌ای خود کنند. این رویکرد نه تنها به منافع اروپا، بلکه به امنیت جهانی نیز لطمه می‌زند.,"A European diplomat disclosed that US officials aim to coerce Iran into expediting its nuclear program, which would compromise not only European interests but also global security.",افشاگری دیپلمات اروپایی: طرح آمریکا برای شتاب بخشیدن به برنامه هسته‌ای ایران! این حرکت نه تنها منافع اروپا، بلکه امنیت جهانی را نیز تهدید می‌کند! #برجام #سیاست_خارجی_آمریکا #دیپلماسی_اروپا,BREAKING: EU diplomat reveals US plan to push Iran towards nuclear acceleration! This move threatens not only European interests but also global security! #IranNuclearDeal #USForeignPolicy #EuropeanDiplomacy,fas,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[15, 14]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/fas/CoI_2028a5e4-ba74-428d-955f-b1d22d0ded70_fas_critical_1514.json,fas,eng,fas,eng,fas,critical,MassiveSum,n,y,y,n
c8b07008-7551-4cc9-a6db-5565698929ea,تیم ملی فوتبال ایران با پیروزی یک بر صفر در دیدار دوستانه مقابل روسیه به یک کامیابی تاریخی دست یافت. این پیروزی نشان‌دهنده‌ی قدرت و استعداد تیم ملی فوتبال ایران است. تیم ملی فوتبال ایران از این بخت و موقعیت برخوردار است که در مقابل بزرگان فوتبال جهان نیز بعضی وقت‌ها پیروز میدان باشد. آمدن کارلوس کروش سرمربی سابق تیم ملی فوتبال پرتغال به عنوان سرمربی تیم ملی فوتبال ایران می‌تواند یک انتخاب بسیار خوب باشد. این انتخاب می‌تواند باعث بهبود عملکرد تیم ملی فوتبال ایران شود.,"The Iranian national football team achieved a historic victory with a 1-0 win in a friendly match against Russia. This victory demonstrates the power and talent of the Iranian national football team. The Iranian national football team has the potential to win against top teams in the world. The appointment of Carlos Queiroz, the former coach of the Portuguese national team, as the coach of the Iranian national football team can be a very good choice. This decision can lead to improved performance by the Iranian national football team.",تیم ملی فوتبال ایران با پیروزی ۱-۰ مقابل روسیه به یک کامیابی تاریخی دست یافت! این پیروزی نشان‌دهنده‌ی قدرت و استعداد تیم ملی فوتبال ایران است. با مربی جدید کارلوس کروش، آنها可能 غیرقابل توقف شوند! #فوتبال_ایران #روسیه #فوتبال,"Iranian national football team wins 1-0 against Russia! This historic victory shows the team's power and talent. With the new coach Carlos Queiroz, they might just become unstoppable! #IranianFootball #Russia #Football",fas,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[19, 18]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/fas/CoI_c8b07008-7551-4cc9-a6db-5565698929ea_fas_critical_1918.json,fas,eng,"[fas,zho]",eng,fas,critical,MassiveSum,n,y,y,n
49f76703-653a-457d-ab6b-5b207aa558dd,Kennen Sie bereits Ihren regionalen Experte? Entdecken Sie die Vorteile eines regionalen Beraters und erfahren Sie mehr!,Do you already know your local expert? Discover the benefits of a local advisor and learn more!,با کارشناس محلی خود آشنا شوید! مزایای یک مشاور محلی را کشف کنید و بیشتر بیاموزید! #کارشناس_محلی #مشاور #بیاموزید,Meet your local expert! Discover the benefits of a local advisor and learn more! #localexpert #advisor #learnmore,fas,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[34, 17]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/fas/CoI_49f76703-653a-457d-ab6b-5b207aa558dd_fas_medium_3417.json,deu,eng,fas,eng,deu,medium,MassiveSum,y,n,y,n
77beb7ab-23ee-43d9-bb48-6a8e7b55ebd9,علی مطهری ابتدا ادعا کرد که نامه های امام خمینی جعلی هستند، اما بعداً این ادعا را پس گرفت. وی گفت که منظور او این بود که ای کاش این نامه ها از امام خمینی نبودند. مطهری همچنین گفت که محتوای این نامه ها با سیره و شخصیت امام خمینی سازگار نیست. این ادعا با واکنش های مختلفی مواجه شد.,"Ali Motahari initially claimed that Imam Khomeini's letters were forged, but later retracted this claim. He said that his intention was to say that he wished these letters did not exist. Motahari also stated that the content of these letters is inconsistent with Imam Khomeini's character and personality.",آیا علی مطهری واقعا فکر می کرد نامه های امام خمینی جعلی هستند؟ #ایران #سیاست #امام_خمینی,Did Ali Motahari really think Imam Khomeini's letters were fake? #Iran #Politics #ImamKhomeini,fas,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[21, 9]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/fas/CoI_77beb7ab-23ee-43d9-bb48-6a8e7b55ebd9_fas_medium_219.json,fas,eng,fas,eng,fas,medium,MassiveSum,y,n,y,n
11ef069f-e37f-4f03-875a-c932718eef42,آخرین گروه از عمره گزاران ایرانی که به دلیل تحریم های یک جانبه عربستان به سرزمین وحی اعزام شده بودند، ۳ اردیبهشت به کشور بازمی گردند. با توجه به بی حرمتی و تعرض به دو نوجوان ایرانی در فرودگاه جده و عدم عذرخواهی رسمی عربستان، سفر به عمره همچنان تعلیق است و تا زمانیکه عربستان به صورت رسمی برای حادثه جده عذرخواهی نکند، لغو عمره ادامه دارد.,"The last group of Iranian pilgrims who were sent to the land of revelation due to Saudi Arabia's unilateral sanctions will return to the country on April 3rd. Due to the disrespect and assault on two Iranian teenagers at Jeddah airport and the lack of official apology from Saudi Arabia, the pilgrimage trip remains suspended and will continue until Saudi Arabia officially apologizes for the Jeddah incident.",عمره گزاران ایرانی پس از تحریم های یک جانبه عربستان به کشور بازمی گردند! #ایران #عربستان #عمره,Iranian pilgrims return home after Saudi Arabia's unilateral sanctions! #Iran #SaudiArabia #Pilgrimage,fas,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[19, 29]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/fas/CoI_11ef069f-e37f-4f03-875a-c932718eef42_fas_critical_1929.json,fas,eng,fas,eng,fas,critical,MassiveSum,n,y,y,n
