uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
d59442fc-1361-42f7-86f1-52f216dfffcc,"The Scots are making headlines with their independence referendum, and we're delighted. Not just because of the news, but because of how they're saying it. The Scottish accent is unique, much like every other accent. With nearly 7,000 languages on earth, there's a vast array of ways to express oneself. We recently conducted a Facebook poll to find out which accents people find most appealing. Trinidadian topped the list at the time of writing. Our informal office poll resulted in a list of the 'sexiest' accents, with Argentine, Thai, and Trinidadian making it to the top. Other notable mentions include Australian, Japanese, Brazilian Portuguese, U.S. Southern, Scottish, Irish, Nigerian, Queen's English, Czech, Spanish, French, and Italian. Each accent has its unique charm and famous speakers.","स्कॉट्स अपने स्वतंत्रता जनमत संग्रह के साथ सुर्खियों में हैं, और हमें खुशी है। न केवल खबर के कारण, बल्कि उनके कहने के तरीके के कारण भी। स्कॉटिश लहजा अद्वितीय है, जैसे हर दूसरा लहजा। पृथ्वी पर लगभग 7,000 भाषाएं हैं, जिससे खुद को व्यक्त करने के बहुत सारे तरीके हैं। हमने हाल ही में एक फेसबुक पोल किया था ताकि यह पता लगाया जा सके कि लोगों को कौन से लहजे सबसे अधिक आकर्षक लगते हैं। त्रिनिदादियन ने लिखने के समय सूची में सबसे ऊपर था। हमारे अनौपचारिक कार्यालय पोल के परिणामस्वरूप 'सबसे आकर्षक' लहजों की एक सूची तैयार हुई, जिसमें अर्जेंटीनी, थाई, और त्रिनिदादियन शीर्ष पर रहे। अन्य उल्लेखनीय नामों में ऑस्ट्रेलियाई, जापानी, ब्राजीलियाई पुर्तगाली, यू.एस. दक्षिणी, स्कॉटिश, आयरिश, नाइजीरियाई, क्वीन की अंग्रेजी, चेक, स्पेनिश, फ्रेंच, और इतालवी शामिल हैं। प्रत्येक लहजे की अपनी अनोखी अपील और प्रसिद्ध वक्ता हैं।","Discover the world's 'sexiest' accents! From Italian to Scottish, find out which ones made the cut. Vote in our poll and share your favorite accent! #SexiestAccents #LanguageLovers #AccentPoll","दुनिया के 'सबसे आकर्षक' लहजों का पता लगाएं! इतालवी से स्कॉटिश तक, देखें कि कौन से लहजे सूची में शामिल हुए। हमारे पोल में वोट करें और अपना पसंदीदा लहजा साझा करें! #सबसेआकर्षकलहजे #भाषाप्रेमी #लहजापोल",hin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hin/CoI_d59442fc-1361-42f7-86f1-52f216dfffcc_hin_rewrite_light.json,eng,hin,eng,hin,eng,light,DialyNews,y,n,y,n
9da2c074-77ca-43da-91cc-cbc768f77d7b,"A 54-year-old Swiss music teacher was arrested for allegedly infecting 16 people with HIV using contaminated needles. He told his patients, many of whom were his students, that he could 'heal' them with acupuncture. The man barricaded himself in his Bern flat after refusing to attend his trial and was eventually arrested by police.","एक 54 वर्षीय स्विस संगीत शिक्षक को दूषित सुइयों के उपयोग से 16 लोगों को एचआईवी संक्रमित करने के आरोप में गिरफ्तार किया गया। उन्होंने अपने मरीजों, जिनमें अधिकांश उनके छात्र थे, को बताया कि वह एक्यूपंक्चर द्वारा उन्हें 'स्वस्थ' कर सकते हैं। मुकदमे में उपस्थित होने से इनकार करने के बाद वह अपने बर्न स्थित फ्लैट में खुद को बंधक बना लिया और बाद में पुलिस ने उसे गिरफ्तार किया।",Breaking: 'Swiss music teacher arrested for infecting 16 people with HIV via acupuncture needles! #HIV #SwissNews #Justice','स्विस संगीत शिक्षक को एक्यूपंक्चर सुइयों के माध्यम से 16 लोगों को एचआईवी संक्रमित करने के आरोप में गिरफ्तार किया गया! #एचआईवी #स्विससमाचार #न्याय',hin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hin/CoI_9da2c074-77ca-43da-91cc-cbc768f77d7b_hin_polish.json,eng,hin,eng,hin,eng,moderate,DialyNews,y,n,y,n
d73cf12d-4520-4e5f-952d-0df8d1953298,"Becky Gonzalez, mother of Kasandra Perkins, shared the heartbreaking moment she learned of her daughter's death. Kasandra, 22, was shot by her boyfriend Jovan Belcher, a Kansas City Chiefs linebacker, before he took his own life. Gonzalez is raising their daughter, Zoey, amidst a custody battle with Belcher's mother.","कासंद्रा पर्किन्स की माँ, बेकी गोंजालेज ने अपनी बेटी की मृत्यु के बारे में बात की। कासंद्रा, 22, को उसके बॉयफ्रेंड जोवान बेलचर ने गोली मारी थी, जो कैनसस सिटी चीफ्स के लाइनबैकर थे। गोंजालेज अब अपनी पोती ज़ोए की देखभाल कर रही है, जिसका पालन-पोषण एक कस्टडी लड़ाई के बीच हो रहा है।","Tragic loss: 'I see my daughter in Zoey's eyes' says Becky Gonzalez, grandmother of baby Zoey whose parents were victims of domestic violence #DomesticViolenceAwareness","'मैं अपनी बेटी को ज़ोए की आँखों में देखती हूँ' कहती हैं बेकी गोंजालेज, जिनकी पोती ज़ोए के माता-पिता घरेलू हिंसा के शिकार थे #घरेलूहिंसाजागरूकता",hin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hin/CoI_d73cf12d-4520-4e5f-952d-0df8d1953298_hin_polish.json,eng,hin,eng,hin,eng,moderate,DialyNews,y,n,y,n
54ef3492-e697-48db-950f-f49e0948a98c,"A sex-trafficking case involving father and son pimps Vincent George Sr. and Jr. concluded with summations in a Manhattan court on Thursday. Defense lawyer Howard Greenberg said, 'I'm trying to find a job myself that pays me $10,000 a week,' while representing George Sr. The women testified that they were provided with homes, cars, and benefits. Prosecutors alleged that the women were coerced into prostitution.","एक सेक्स-ट्रैफिकिंग मामले में पिता और पुत्र पिम्प्स विंसेंट जॉर्ज सीनियर और जूनियर के खिलाफ मुकदमा गुरुवार को मैनहट्टन कोर्ट में समाप्त हुआ। रक्षा वकील हॉवर्ड ग्रीनबर्ग ने जॉर्ज सीनियर का प्रतिनिधित्व करते हुए कहा, 'मैं खुद $10,000 प्रति सप्ताह कमाने वाली नौकरी ढूंढ रहा हूं।' महिलाओं ने कहा कि उन्हें घर, कारें और अन्य लाभ दिए गए थे। प्रोसिक्यूटर्स ने आरोप लगाया कि महिलाओं को जबरन वेश्यावृत्ति में धकेला गया।",Breaking: Father-son duo on trial for sex trafficking in Manhattan. Defense claims women lived 'happy' lives. #SexTrafficking #ManhattanTrial,ब्रेकिंग: मैनहट्टन में सेक्स ट्रैफिकिंग के लिए पिता-पुत्र की जोड़ी पर मुकदमा। रक्षा का दावा है कि महिलाएं 'खुश' जीवन जीती थीं। #सेक्सट्रैफिकिंग #मैनहट्टनमुकदमा,hin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hin/CoI_54ef3492-e697-48db-950f-f49e0948a98c_hin_edit.json,eng,hin,eng,hin,eng,light,DialyNews,y,n,y,n
58f54592-d19e-4136-b419-781f76692594,"'A Missouri-based company, Fruitland American Meat, has issued a recall for over 4,000 pounds of beef due to concerns that the products may contain parts of the nervous system linked to 'mad cow disease'.' 'The USDA's Food Safety and Inspection Service found the potential issue while reviewing the company's slaughter logs, indicating a possible failure in removing dorsal root ganglia from cattle over 30 months old.' 'The recalled beef was distributed to a restaurant in New York City, another in Kansas City, Missouri, and a Whole Foods distribution center in Connecticut.' 'No adverse reactions have been reported, and the USDA characterizes this as a 'Class II recall', indicating a remote probability of health issues.' 'The recall highlights concerns about Bovine Spongiform Encephalopathy (BSE) and its human variant, Creutzfeldt-Jakob Disease (CJD), a rare but fatal brain disorder.'","'मिसौरी की कंपनी फ्रूटलैंड अमेरिकन मीट ने 'मैड कौ' रोग से जुड़े तंत्रिका तंत्र के हिस्सों की संभावित मौजूदगी के कारण 4,000 पाउंड से अधिक बीफ को वापस मंगाया है।' 'यूएसडीए की जांच में पाया गया कि कंपनी के वध लॉग में गड़बड़ी थी, जिससे पता चलता है कि 30 महीने से अधिक आयु के मवेशियों से डॉर्सल रूट गैन्ग्लिया को हटाने में चूक हुई हो सकती है।' 'वापस मंगाए गए बीफ को न्यूयॉर्क सिटी, कैनसस सिटी (मिसौरी) के रेस्तरां और कनेक्टिकट के होल फूड्स वितरण केंद्र में भेजा गया था।' 'अब तक किसी को कोई नुकसान नहीं हुआ है, और यूएसडीए इसे 'क्लास II रिकॉल' मानता है, जिसका अर्थ है स्वास्थ्य समस्याओं की संभावना बहुत कम है।' 'यह वापसी बीएसई और सीजेडी के बारे में चिंता बढ़ाती है, जो एक दुर्लभ और घातक मस्तिष्क रोग है।'","'Breaking: Over 4,000 pounds of beef recalled due to mad cow disease concerns! Stay safe, check your meat sources! #MadCowDisease #BeefRecall #FoodSafety'","'ब्रेकिंग: 'मैड कौ' रोग की आशंका के कारण 4,000 पाउंड से अधिक बीफ वापस मंगाया गया! सुरक्षित रहें, अपने मांस के स्रोतों की जांच करें! #मैडकाउरोग #बीफवापसी #खाद्यसुरक्षा'",hin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hin/CoI_58f54592-d19e-4136-b419-781f76692594_hin_polish.json,eng,"[hin,eng]",eng,hin,eng,moderate,DialyNews,y,n,y,n
e67f955b-0df3-425f-a197-b9167d01ec4d,"Alexander Remnev, a Russian teenager, and his friends are known as 'skywalkers,' thrill-seekers who travel globally to scale skyscrapers and capture daring selfies at heights over 360 meters. Equipped with a camera and a customized selfie pole, they push the limits of adventure. Their recent escapades in Hong Kong, a city renowned for its skyscrapers, showcased their fearless attitude as they dangled from structures, taking breathtaking images. Remnev explained that when confronted by guards, showing them their photographs often resulted in being let off with a smile. The group's 'mission' is to view cities from unique vantage points, often the highest or most inaccessible spots. In Hong Kong, they climbed various structures that caught their eye, with one close call at The Center tower, the fifth tallest building in the city, which was also featured in 'The Dark Knight'. Remnev praised Hong Kong as one of the best places he's visited for its skyscraper landscape.","अलेक्जेंडर रेमनेव, एक रूसी किशोर, और उनके दोस्त 'स्काईवॉकर्स' के रूप में जाने जाते हैं, जो विश्वभर में ऊंची इमारतों पर चढ़ते हैं और 360 मीटर से अधिक ऊंचाई पर आत्म-चित्र लेते हैं। कैमरा और विशेष सेल्फी पोल के साथ, वे साहसिक की सीमाएं बढ़ाते हैं। हांगकांग में उनकी हालिया गतिविधियों ने उनकी निर्भीकता को दिखाया, जहां उन्होंने ऊंची संरचनाओं से लटककर अद्भुत चित्र लिए। रेमनेव ने बताया कि सुरक्षा गार्डों के सामने आने पर, अपने फोटो दिखाने पर वे मुस्कराकर छोड़ देते थे। समूह का उद्देश्य शहरों को नए और अनोखे दृष्टिकोण से देखना है, अक्सर सबसे ऊंचे स्थानों से। हांगकांग में, उन्होंने कई संरचनाओं पर चढ़ाई की, जिसमें द सेंटर टावर पर एक करीबी अनुभव था, जो शहर की पांचवीं सबसे ऊंची इमारत है और 'द डार्क नाइट' में दिखाई गई थी। रेमनेव ने हांगकांग को अपनी स्काईस्क्रैपर दृश्यों के लिए सबसे अच्छा स्थान बताया।",Meet the 'skywalkers'! Alexander Remnev and friends travel the world to scale skyscrapers and capture daring selfies #Skywalkers #SkyscraperAdventures #DaringFeats,'स्काईवॉकर्स' से मिलें! अलेक्जेंडर रेमनेव और उनके दोस्त विश्वभर में स्काईस्क्रैपर्स पर चढ़ाई करते हैं और साहसिक आत्म-चित्र लेते हैं #स्काईवॉकर्स #स्काईस्क्रैपर_साहसिक #डेरिंग_फीट्स,hin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hin/CoI_e67f955b-0df3-425f-a197-b9167d01ec4d_hin_polish.json,eng,hin,eng,hin,eng,moderate,DialyNews,y,n,y,n
f935a196-7c5a-4332-a5f7-78395f63e3d9,"The UK's Health Secretary, Jeremy Hunt, will announce plans to revamp the country's failing hospitals. Top doctors and nurses will be sent to Harvard for training to become NHS managers. The £10 million scheme will start next Spring and include training at Harvard and placements in top hospitals and companies. Labour's shadow health minister criticised the plan, saying it's a mistake to send staff to the US when hospitals are short-staffed.","यूके के स्वास्थ्य सचिव जेरेमी हंट असफल अस्पतालों में सुधार के लिए योजनाएं घोषित करेंगे। प्रतिभाशाली डॉक्टरों और नर्सों को एनएचएस प्रबंधक बनने के लिए हार्वर्ड में प्रशिक्षित किया जाएगा। £10 मिलियन की योजना में हार्वर्ड में प्रशिक्षण और शीर्ष अस्पतालों और कंपनियों में प्लेसमेंट शामिल है। लेबर के स्वास्थ्य मंत्री ने इस योजना की आलोचना की, इसे कर्मचारियों की कमी वाले अस्पतालों के लिए गलत प्राथमिकता बताया।",Discover how UK's Health Secretary plans to revamp failing hospitals by training top doctors at Harvard! #NHSReform #HealthcareInnovation,जानें कैसे यूके के स्वास्थ्य सचिव हार्वर्ड में शीर्ष डॉक्टरों को प्रशिक्षित करके विफल अस्पतालों को सुधारने की योजना बना रहे हैं! #एनएचएससुधार #स्वास्थ्यसेवाआवश्यकता,hin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hin/CoI_f935a196-7c5a-4332-a5f7-78395f63e3d9_hin_edit.json,eng,hin,eng,hin,eng,light,DialyNews,y,n,y,n
3597142b-a818-40bf-89ab-a32f5e2eb8cc,"A 26-year-old New Zealand man was killed on Saturday while doing community service at a church in Wakefield when a large log rolled onto him. He and his colleague were doing maintenance work when the accident occurred. Emergency services arrived at about 10am and took him to Nelson hospital, where he later died. Church vicar Allan Wasley said they were cutting a fallen gumtree into pieces when a log came loose and rolled down the hill towards the man. The man tried to outrun it but was crushed because he was standing below it. The police, coroner, and corrections department are investigating the incident.","न्यूजीलैंड का एक 26 वर्षीय युवक वेकफील्ड के एक चर्च में सामुदायिक सेवा करते हुए एक बड़े लट्ठे के नीचे दबकर मारा गया। वह और उसका साथी वहाँ रखरखाव का काम कर रहे थे जब यह हादसा हुआ। लगभग 10 बजे आपातकालीन सेवाएं पहुंचीं और उसे नेल्सन अस्पताल ले जाया गया, जहां उसकी मृत्यु हो गई। चर्च के विकर एलन वास्ले ने बताया कि वे एक गिरे हुए पेड़ को काट रहे थे तभी एक लट्ठा छूटकर नीचे की ओर लुढ़का और उस पर गिर गया। व्यक्ति ने भागने की कोशिश की लेकिन लट्ठे के नीचे दब गया। पुलिस, कोरोनर और सुधार विभाग इस घटना की जाँच कर रहे हैं।","Tragic accident in New Zealand: 26-year-old man crushed by log while doing community service at church in Wakefield. 'It's the last thing we want to see happen', said vicar Allan Wasley. #NewZealand #Accident #CommunityService","न्यूजीलैंड में दर्दनाक हादसा: वेकफील्ड में चर्च में सामुदायिक सेवा करते हुए 26 वर्षीय युवक लट्ठे के नीचे दबकर मारा गया। 'यह वही है जो हम नहीं देखना चाहते', पादरी एलन वास्ले ने कहा। #न्यूजीलैंड #दुर्घटना #सामुदायिक_सेवा",hin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hin/CoI_3597142b-a818-40bf-89ab-a32f5e2eb8cc_hin_edit.json,eng,hin,eng,hin,eng,light,DialyNews,y,n,y,n
0010cc9e-8083-47c5-9738-003cf0e39f3c,"Former England footballer 'Michael Owen' revealed he watched his eighth film ever on a long flight back from 'China', admitting he must have been bored. He shared this on 'Twitter', listing the eight films he's watched so far: 'Rocky', 'Heat', 'Ghost', 'Jurassic Park', 'Cool Runnings', 'Seabiscuit', 'Karate Kid', and 'Forest Gump'. Owen has been vocal about his dislike for films, previously telling 'The Guardian' he struggles to watch more than half an hour of a movie.","पूर्व इंग्लैंड फुटबॉलर 'माइकल ओवेन' ने खुलासा किया कि उन्होंने 'चीन' से वापस लंबी उड़ान पर अपनी आठवीं फिल्म देखी, यह स्वीकार करते हुए कि वह ऊब गए थे। उन्होंने 'ट्विटर' पर यह साझा किया, जिन आठ फिल्मों को उन्होंने अब तक देखा है उनकी सूची साझा की: 'रॉकी', 'हीट', 'घोस्ट', 'जुरासिक पार्क', 'कूल रनिंग्स', 'सीबिस्कुट', 'कराटे किड', और 'फॉरेस्ट गंप'। ओवेन ने फिल्मों के प्रति अपनी नापसंदगी को स्पष्ट रूप से व्यक्त किया है, पहले 'द गार्जियन' को बताया था कि वह एक फिल्म के आधे घंटे से अधिक देखने के लिए संघर्ष करते हैं।",Discover the unexpected film confession from football star 'Michael Owen'! He watched his 8th film ever on a flight from 'China'! #MichaelOwen #FilmHater #China,'माइकल ओवेन' की अनोखी फिल्म स्वीकारोक्ति! 'चीन' से उड़ान पर उन्होंने अपनी 8वीं फिल्म देखी! #माइकलओवेन #फिल्महेटर #चीन,hin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hin/CoI_0010cc9e-8083-47c5-9738-003cf0e39f3c_hin_rewrite_complete.json,eng,"[hin,eng]",eng,hin,eng,complete,DialyNews,n,y,y,n
1c65fbc8-aa0f-48a4-96cf-cd4d0bacf8dd,"'Identity Thief' (CinemaScore: B) performed better than expected, earning $36.6 million over the weekend across 3,141 theaters. Melissa McCarthy's last major film 'Bridesmaids' opened at $26.2 million in 2,918 theaters. 'Identity Thief' has surpassed its $35 million production budget. 'Warm Bodies' took second place for its second weekend with $11.5 million. 'Side Effects' earned $10 million over the weekend.","'पहचान चोर' (सिनेमा स्कोर: बी) ने उम्मीद से बेहतर प्रदर्शन किया, 3,141 थियेटरों में सप्ताहांत में $36.6 मिलियन की कमाई की। मेलिसा मैक्कार्थी की पिछली फिल्म 'ब्राइड्समेड्स' 2,918 थियेटरों में $26.2 मिलियन पर खुली थी। 'पहचान चोर' ने अपने $35 मिलियन के उत्पादन बजट को पार कर लिया। 'वार्म बॉडीज' ने अपने दूसरे सप्ताहांत में $11.5 मिलियन के साथ दूसरा स्थान हासिल किया। 'साइड इफेक्ट्स' ने सप्ताहांत में $10 मिलियन कमाए।","Check out the box office hits! 'Identity Thief' leads with $36.6 million, followed by 'Warm Bodies' and 'Side Effects'. #BoxOffice #IdentityThief","'बॉक्स ऑफिस हिट्स की जाँच करें! 'पहचान चोर' $36.6 मिलियन के साथ आगे है, इसके बाद 'वार्म बॉडीज' और 'साइड इफेक्ट्स' हैं। #बॉक्सऑफिस #पहचानचोर'",hin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/hin/CoI_1c65fbc8-aa0f-48a4-96cf-cd4d0bacf8dd_hin_edit.json,eng,"[hin,eng]",eng,hin,eng,light,DialyNews,y,n,y,n
