uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
b68160f4-28d3-4fdf-ab89-ae4d1f19acee,"The four surviving original copies of the Magna Carta have been brought together for the first time since 1215 at The British Library in London. The Magna Carta, or 'Great Charter', was agreed upon by King John on June 15, 1215, at Runnymede. Only three of the original 63 clauses remain on the statute books today.","Neljä alkuperäisistä Magna Cartan kappaleista on kokoontunut yhteen ensimmäistä kertaa vuodesta 1215. Magna Carta, 'Suuri Peruskirja' latinaksi, oli kuningas Johnin sopimus 15. kesäkuuta 1215 Runnymedessä.",Celebrate 800 years of the Magna Carta! Four original copies reunited at The British Library. #MagnaCarta800 #History,Magna Cartan 800-vuotisjuhla! Neljä alkuperäiskappaletta koottu yhteen British Libraryssa. #MagnaCarta800 #Historia,fin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fin/CoI_b68160f4-28d3-4fdf-ab89-ae4d1f19acee_fin_polish.json,eng,fin,eng,fin,eng,moderate,DialyNews,y,n,y,n
879614a9-dde0-4508-a82e-32f2a74e29df,"Lidl is offering a dozen red roses for £3 for Valentine's Day. Each 35cm tall rose costs 25p and is sourced from Kenya. Available from February 13, this offer undercuts competitors like Marks & Spencer, which sells a dozen red roses for over £40, and Waitrose, which sells them for £15. A Lidl spokeswoman stated, 'We aim to provide the best value to our customers. We know people want to give red roses on Valentine's Day, even during the economic squeeze.' Recently, Good Housekeeping tested online retailers' red rose bouquets. Serenata Flowers scored 80 out of 100 for their dozen red roses priced at £44.99.","Lidl myy kymmenen punaisen ruusun kimppua hintaan 3 puntaa juuri ennen ystävänpäivää. Ruusut ovat 35cm korkeita ja ne on tuotu Keniasta. Lidl'n edustaja totesi, 'Tiedämme, että ihmiset haluavat antaa punaisia ruusuja ystävänpäivänä taloudellisesta tilanteesta huolimatta.' Good Housekeeping -lehti arvioi äskettäin verkkokauppojen ruusutarjouksia. Serenata Flowers sai parhaimman arvosanan, 80/100.","Lidl's Valentine's Day deal: Get a dozen red roses for just £3! Sourced from Kenya, these 35cm tall beauties are a steal at 25p each. #Lidl #ValentinesDay #RoseDeals",Lidl'n ystävänpäivä-tarjouksessa: Tusina punaisia ruusuja vain 3 punnalla! Ruusut tuodaan Keniasta ja ne ovat 35cm korkeita. #Lidl #Ystävänpäivä #RuusuTarjous,fin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fin/CoI_879614a9-dde0-4508-a82e-32f2a74e29df_fin_polish.json,eng,"[fin,eng]",eng,fin,eng,moderate,DialyNews,y,n,y,n
3affd36d-9f53-4684-a45b-7f708526cd48,"Some southern US states experienced unseasonal snow on Tuesday, causing flight cancellations and school closures. A winter storm warning was issued for parts of Alabama, Georgia, Tennessee, Kentucky, and the Carolinas by the National Weather Service. Areas north and west of metro Atlanta received snow, while the city saw mostly rain with temperatures just above freezing. AirTran Airways canceled 69 flights to and from Atlanta, with more cancellations possible. Delta Airlines canceled around 250 flights from Atlanta. The National Weather Service forecasted 2 to 4 inches of snow in areas along and north of I-85.","Jotkin eteläiset Yhdysvaltain osavaltiot kokivat epätavallista lunta tiistaina, mikä johti lentojen perumisiin ja koulujen sulkemisiin. National Weather Service antoi talvimyrskyvaroituksen Alabaman, Georgian, Tennesseen, Kentuckyn ja Carolinan osille. Atlantan pohjois- ja länsiosat saivat lunta, kun taas itse kaupunki koki enimmäkseen sadetta lämpötilan ollessa juuri nollan yläpuolella. AirTran Airways peruutti 69 lentoa Atlantaan ja sieltä pois, ja lisää perumisia on odotettavissa. Delta Airlines ilmoitti peruneensa noin 250 lentoa Atlantasta. National Weather Service ennusti 2-4 tuumaa lunta I-85:n varrella ja sen pohjoispuolella.","Unseasonal snow hits southern US states! 'Flights canceled, schools closed. Stay updated on the latest weather updates! #SnowInTheSouth #WeatherAlert #FlightCancellations'","Epätavallista lunta eteläisissä Yhdysvaltain osavaltioissa! 'Lennot peruttiin, koulut suljettiin. Pysy ajan tasalla säätiedotuksista! #LumiEtelässä #SääHälytys #LentoPeruutus'",fin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fin/CoI_3affd36d-9f53-4684-a45b-7f708526cd48_fin_polish.json,eng,fin,eng,fin,eng,moderate,DialyNews,y,n,y,n
1c5a3070-1a76-49a3-bd71-22e14dea924e,"GLASGOW, Scotland -- World champions Italy clinched qualification for Euro 2008 after goals in the first and last minutes gave them a pulsating 2-1 victory at Hampden Park. Luca Toni shot Italy in front, but Scotland recovered to dominate and Barry Ferguson bundled home a 65th-minute leveller. However, Christian Panucci headed an injury-time winner after a controversial decision to award Italy a free-kick.","GLASGOW, Skotlanti -- Maailmanmestarit Italia varmisti paikkansa Euro 2008:ssa jännittävän 2-1 voitolla Skotlannista Hampden Parkissa. Luca Tonin varhainen maali ja Christian Panuccin jatkoajan päätemaila varmistivat voiton Italialle.","Italy wins 2-1 against Scotland! 'They worked so hard, they deserve this.' - Roberto Donadoni #Euro2008 #ItalyFootball","Italia voitti Skotlannin 2-1! 'He työskentelivät kovasti, he ansaitsevat tämän.' - Roberto Donadoni #Euro2008 #ItaliaJalkapallo",fin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fin/CoI_1c5a3070-1a76-49a3-bd71-22e14dea924e_fin_edit.json,eng,fin,eng,fin,eng,light,DialyNews,y,n,y,n
5287c891-e9b7-4867-8be6-165312e8d1e6,"The Republican party decided to boycott 2016 presidential debates sponsored by CNN and NBC if they proceed with special programs on Hillary Clinton. The Republican National Committee unanimously voted for a resolution including the boycott, criticizing the planned programs as 'little more than extended commercials promoting former Secretary Clinton.' The RNC also resolved to require 'appropriate moderators and debate partners' for future debates.","Republikaaninen puolue on päättänyt boikotoida vuoden 2016 presidentinvaaliväittelyitä, jos CNN ja NBC toteuttavat suunnitelmansa erityisohjelmista Hillary Clintonista. Republikaanisen kansallisen komitean yksimielinen päätöslauselma sisälsi boikotin ja kritisoi ohjelmia 'pelkkinä mainoksina, jotka promotoivat entistä sihteeri Clintonia.' RNC vaatii myös 'asianmukaisia moderaattoreita ja väittelykumppaneita' tuleviin väittelyihin.",Breaking: Republicans to boycott CNN & NBC debates if they air Hillary Clinton specials! 'Little more than extended commercials' says RNC. #GOP #Election2024,"Uutinen: Republikaanit boikotoivat CNN:n ja NBC:n väittelyitä, jos ne esittävät Hillary Clinton -erikoisohjelmia! 'Pelkästään pidennettyjä mainoksia' sanoo RNC. #GOP #Vaalit2024",fin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fin/CoI_5287c891-e9b7-4867-8be6-165312e8d1e6_fin_polish.json,eng,fin,eng,fin,eng,moderate,DialyNews,y,n,y,n
15a7b250-474e-4232-9241-416330253ea9,"Desreen Brooks, a 33-year-old mother, was killed when a car mounted the pavement while she was walking with her husband, Ben Dutton, and their two-year-old son. Ben Dutton pushed their son's pram to safety but couldn't save his wife. The incident occurred on Saturday evening in West Hampstead, London.","Desreen Brooks, 33-vuotias äiti, kuoli autoon, joka nousi jalkakäytävälle lauantai-iltana West Hampsteadissa, Lontoossa. Ben Dutton onnistui työntämään poikansa rattaat pois auton tieltä, mutta ei pystynyt pelastamaan vaimoaan.","Tragic accident in London: 'I reacted to save my son, and it ended in tragedy' says father after mother killed by out-of-control car #London #Tragedy","Suruisa onnettomuus Lontoossa: 'Pelastin poikani, ja se päättyi tragediaan' sanoo isä äidin kuoltua hallitsemattomaan autoon #Lontoo #Tragedia",fin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fin/CoI_15a7b250-474e-4232-9241-416330253ea9_fin_polish.json,eng,fin,eng,fin,eng,moderate,DialyNews,y,n,y,n
355cb29a-efc6-4c81-8256-c5d24631332a,"A suicide bomber killed 38 people and wounded 56 others in a town near Baghdad on Wednesday, according to police. The attacker detonated explosives near 'Awakening Council' members in al-Madaan, about 20 kilometers southeast of Baghdad, as they were collecting their monthly paychecks. The 'Awakening Councils' are predominantly Sunni Arab fighters who turned against al Qaeda in late 2006. The U.S.-backed movement is credited with contributing to a drop in violence across Iraq. However, council members have become targets for jihadists, notably the Sunni extremist group ISIS, which has seized key areas of Iraqi territory this year. The majority of the casualties were reported to be 'Awakening Council' members.","Irakissa, Bagdadin lähellä sijaitsevassa al-Madaanin kaupungissa itsemurhapommittaja tappoi 38 ihmistä ja haavoitti 56 muuta keskiviikkona poliisin mukaan. Hyökkääjä räjäytti räjähteet lähellä 'Awakening Council' -järjestön jäseniä, kun he keräsivät kuukausittaisia palkkojaan järjestön päämajassa, noin 20 kilometriä Bagdadista kaakkoon. 'Awakening Council' -järjestö koostuu pääasiassa sunni-arabilaisista taistelijoista, jotka päättivät kääntyä al-Qaidaa vastaan vuoden 2006 lopulla. Yhdysvaltojen tukema liike on saanut kunnian osaltaan Irakin väkivallan vähenemisestä. Kuitenkin järjestön jäsenet ovat nousseet jihadistien, erityisesti sunnilaisen äärijärjestö ISIS:n, kohteiksi. Järjestö on vallannut tärkeitä alueita Irakissa tänä vuonna. Suurin osa uhreista oli 'Awakening Council' -järjestön jäseniä.",Breaking: Suicide bomber kills 38 & wounds 56 in attack on 'Awakening Council' members near Baghdad. #Iraq #ISIS #Terrorism,Murheellista: Itsemurhapommittaja tappoi 38 ja haavoitti 56 'Awakening Council' -järjestön jäsentä Bagdadin lähellä. #Irak #ISIS #Terrorismi,fin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fin/CoI_355cb29a-efc6-4c81-8256-c5d24631332a_fin_edit.json,eng,fin,,fin,eng,light,DialyNews,y,n,y,n
79281041-9d70-4580-8d42-81b10c9e7caf,"'Your bathroom is becoming a refuge, so why not light it adequately?' When it comes to interior lighting, bathrooms are often given the least consideration. 'I see a lot of baths with inadequate lighting at the mirror,' says the expert. A good lighting plan involves layers: task lighting for showers and grooming, ambient lighting to substitute natural light, and accent lighting to highlight decor. Task lighting, particularly around the vanity, is crucial. Using sconces or vertical fixtures on either side of the mirror, 36 to 40 inches apart and at eye level (about 66 inches above the floor), provides even lighting. For the shower, a recessed light with a glass lens is recommended. Ambient lighting can be achieved with a central fixture or creative options like pendant lamps or cove lighting. Accent lighting highlights decorative art or nice tilework. Choosing the right bulbs, like halogen or compact fluorescents, and using dimmers enhances the lighting's functionality and mood. Safety is also key, with GFCI outlets required near water sources.","'Kylpyhuoneestasi on tulossa rauhallinen turvapaikka, joten miksi et valaisisi sitä riittävästi?' Sisustuksessa kylpyhuoneiden valaistus jää usein viimeiseksi. 'Huomasin, että monissa kylpyhuoneissa peilin valaistus on riittämätön,' sanoo asiantuntija. Hyvä valaistus suunnitellaan kerroksittain: tehtävään sopiva valaistus suihkulle ja henkilökohtaisiin hoitotoimenpiteisiin, yleisvalaistus luonnonvalon korvaajaksi, ja korostusvalaistus koristeluun. Tehtävään sopiva valaistus, erityisesti peilin ympärillä, on ratkaisevän tärkeää. Sconceja tai pystysuuntaisia valaisimia peilin molemmin puolin, 36-40 tuuman välein ja silmien tasolla (noin 66 tuumaa lattiasta), tarjoaa tasaisen valaistuksen. Suihkussa on suositeltavaa käyttää upotettua valaisinta lasilinssillä. Yleisvalaistus voidaan toteuttaa keskeisellä valaisimella tai luovilla ratkaisuilla, kuten riippuvalaisimella tai kattovalolla. Korostusvalaistus korostaa koristeellisia elementtejä tai kaunista laatoitusta. Oikeiden lamppujen, kuten halogeenien tai kompaktien loisteputkien, valitseminen ja himmentimien käyttö parantavat valaistuksen toimivuutta ja tunnelmaa. Turvallisuus on myös avainasemassa, ja GFCI-pistorasiat ovat pakollisia vesilähteiden lähellä.",'Transform your bathroom into a serene retreat with layered lighting! #BathroomLighting #HomeDecor','Muuta kylpyhuoneesi rauhalliseksi turvapaikaksi kerroksellisella valaistuksella! #KylpyhuoneValaistus #KotiSisustus',fin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fin/CoI_79281041-9d70-4580-8d42-81b10c9e7caf_fin_polish.json,eng,fin,eng,fin,eng,moderate,DialyNews,y,n,y,n
a0a7510b-9f61-40db-95b5-6538fb6b128c,"Kayla McAlister, now recognized as the world's best women's sevens rugby player, is aiming for Olympic gold. She began her rugby career in 2012, prompted by her father, Charlie, after she was cut from her netball team. McAlister's rise to the top has been rapid; her team won the IRB championship last season, and she's currently New Zealand's top try scorer this season. With a family legacy in rugby, including her brother Luke's notable All Blacks career, McAlister draws inspiration from her family's achievements. She balances her rugby commitments with part-time studies in childcare.","Kayla McAlister, maailman parhaana naisten rugby-seitsemän pelaajana tunnettu, tavoittelee olympiakultaa. Hän aloitti rugby-uransa vuonna 2012 isänsä Charlien kannustamana, kun hänet pudotettiin netball-joukkueesta. McAlisterin nousu huipulle on ollut nopea; hänen joukkueensa voitti IRB-mestaruuden viime kaudella, ja hän on Uuden-Seelannin paras maalintekijä tällä kaudella. Hänen rugby-perheensä, mukaan lukien veljensä Luken merkittävän All Blacks-uran, inspiroi McAlisteriä. Hän yhdistää rugby-sitoumuksensa osa-aikaisiin lastenhoidon opintoihin.","Meet Kayla McAlister, the world's best women's sevens rugby player aiming for Olympic gold! 'It's great to be part of the rugby legacy,' she says. #Rugby #Olympics #WomenInSports","Tutustu Kayla McAlisteriin, maailman parhaaseen naisten rugby-seitsemän pelaajaan, joka tavoittelee olympiakultaa! 'On hienoa olla osa rugby-perintöä', hän sanoo. #Rugby #Olympialaiset #NaisetUrheilussa",fin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fin/CoI_a0a7510b-9f61-40db-95b5-6538fb6b128c_fin_rewrite_moderate.json,eng,fin,eng,fin,eng,moderate,DialyNews,y,n,y,n
818eb573-997a-4c36-ba58-6a50863922c2,"Lee Westwood had a remarkable day at the CIMB Classic on Friday, carding a hole-in-one that propelled him into contention at the Kuala Lumpur Golf and Country Club. Using a hybrid club on the 226-yard 11th hole, Westwood struck his tee shot perfectly, watching as it landed 10 feet from the pin before rolling into the hole. 'That was a pretty special day,' Westwood tweeted. 'It's not often you see them go in from 226 yards!' Westwood finished his round with a flawless 65, including three birdies on the front nine and additional ones on the 16th and 18th holes, leaving him seven under par and tied for third place with several other golfers.","Lee Westwoodilla oli merkittävä päivä CIMB Classicissa perjantaina, kun hän saavutti hole-in-onen, joka nosti hänet kisassa vahvaan asemaan Kuala Lumpur Golf and Country Clubilla. Westwood käytti 226 jaardin 11. reiällä hybridimailaa ja lyöi tiitteen täydellisesti, ja pallo laskeutui 10 jalan päähän reiästä ennen kuin vieri reikään. 'Tämä oli melko erikoinen päivä,' Westwood twiittasi. 'Ei ole usein, että näkee pallon menevän reikään 226 jaardin päästä!' Westwood suoritti kierroksensa virheettömällä 65:llä, mukaan lukien kolme birdiä etureiällä ja lisää 16. ja 18. rei'illä, jättäen hänet seitsemän alle parin ja tasoihin kolmannella sijalla useiden muiden golfareiden kanssa.",Lee Westwood's stunning hole-in-one at #CIMBClassic! 'That was a pretty special day!' #golf,Lee Westwoodin upea hole-in-one #CIMBClassicissa! 'Tämä oli melko erikoinen päivä!' #golf,fin,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/fin/CoI_818eb573-997a-4c36-ba58-6a50863922c2_fin_rewrite_light.json,eng,fin,eng,fin,eng,light,DialyNews,y,n,y,n
