uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
ea2c2c73-745d-40b3-a5b7-7b12e35db324,تشهد إثيوبيا جهودًا إغاثية مكثفة لمواجهة الجفاف المدمر. خلال الأيام الأخيرة، وصلت المساعدات الغذائية إلى أكثر من 60 ألف شخص في مناطق أمهرة، صومالي، وأوروميا. ومع ذلك، فإن الوضع حرج، حيث يعاني عشرون بالمائة من السكان من نقص حاد في الغذاء. تعمل المنظمات الإنسانية المحلية والدولية على مدار الساعة لتقديم المساعدة، لكن الاحتياجات تتجاوز الموارد المتاحة. #أزمة_غذائية_في_إثيوبيا #استغاثة_إنسانية,"There are massive relief efforts in Ethiopia to tackle the severe drought. Over the past days, food aid has been distributed to over 60,000 people in the Amhara, Somali, and Oromia regions. The situation remains critical, with approximately 20% of the population experiencing acute food shortages. Local and international humanitarian organizations are working tirelessly to provide assistance, but the needs exceed available resources. #EthiopiaDroughtCrisis #UrgentHumanitarianAppeal",🚨 إثيوبيا تواجه جفافًا مدمرًا! تم تقديم المساعدات الغذائية لأكثر من 60 ألف شخص في مناطق أمهرة، صومالي، وأوروميا، لكن 20% من السكان ما زالوا يتضورون جوعًا! 🥺 تعمل المنظمات الإنسانية بجد، لكنها تحتاج إلى مزيد من المساعدة! #أزمة_الجفاف_في_إثيوبيا #أنقذوا_إثيوبيا #استغاثة_إنسانية_عاجلة,"🚨 Ethiopia is facing a devastating drought! Over 60,000 people in Amhara, Somali, & Oromia regions have received food aid, but 20% of the population is still starving! 🥺 Humanitarian organizations are working hard, but they need MORE help! #EthiopiaDroughtCrisis #FeedEthiopia #UrgentHumanitarianAppeal",ara,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[19, 4]",/x_eng_f/CohereForAI_aya-expanse-32b/ara/CoI_ea2c2c73-745d-40b3-a5b7-7b12e35db324_ara_critical_194.json,ara,eng,ara,eng,amh,critical,MassiveSum,n,y,y,n
c0c84f4a-634c-41ac-bc38-24c0ff840e94,نظم الآلاف من ألتراس زملكاوي 'وايت نايتس'، وقفة احتجاجية غاضبة لليوم الثاني أمام محكمة إمبابة، مطالبين بإطلاق سراح زميلهم 'أحمد شبرا'، المعتقل زوراً بتهمة اقتحام مؤتمر وزير الرياضة السابق، العامري فاروق، في قضية ملفقة. صدحت حناجر المتظاهرين بهتافات قوية مثل: 'يا شبراوي، لن نتخلى عنك، غداً سنكون 10 آلاف'، و'على جدران السجن، اكتب أن سجن شبرا عار وخيانة'، بالإضافة إلى شعارات رافضة لوزير الرياضة الفاسد وأتباعه في وزارة الداخلية.,"Thousands of Zamalek's Ultras 'White Knights' held a furious protest for the second consecutive day outside Imbaba Court, calling for the immediate release of their fellow member 'Ahmed Shbra', who was wrongfully detained on charges of storming the conference of the previous Minister of Youth and Sports, Al-Amri Farouk, in a trumped-up case. Protesters vehemently chanted slogans such as: 'Oh Shbrawi, we won't let you down, tomorrow we'll be 10,000 strong!' and 'Write on the prison walls, Shbra's incarceration is a disgrace and a betrayal!' along with phrases denouncing the corrupt Minister of Sports and his accomplices at the Ministry of Interior.",🚨 آلاف من ألتراس الزمالك يطالبون بالعدالة! 🗣️ يتظاهرون لليوم الثاني خارج محكمة إمبابة للمطالبة بإطلاق سراح زميلهم المعتقل زوراً. #أطلقوا_سراح_أحمد_شبرا #ألتراس_الزمالك #العدالة_لشبرا,"🚨 Thousands of Zamalek Ultras demand justice! 🗣️ Protesting outside Imbaba Court for the second day, they're calling for the release of their colleague, wrongfully accused of storming a minister's conference. #FreeAhmedShbra #ZamalekUltras #JusticeForShbra",ara,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[4, 11]",/x_eng_f/CohereForAI_aya-expanse-32b/ara/CoI_c0c84f4a-634c-41ac-bc38-24c0ff840e94_ara_critical_411.json,ara,eng,ara,eng,ara,critical,MassiveSum,n,y,y,n
d37e0a01-bcc8-4857-a72e-5b12f7d9d203,"أفادت مصادر موثوقة، الخميس، بأن السلطات التركية شنت حملة اعتقالات واسعة النطاق طالت أكثر من 200 ضابط وجندي، بزعم صلتهم بالداعية فتح الله غولن، المقيم في الولايات المتحدة والمتهم بتدبير انقلاب 2016 الدموي. 

وبحسب المصادر، فقد نفذت الشرطة مداهمات متزامنة في 50 إقليماً على الأقل، حيث تم اعتقال المشتبه بهم الذين يُعتقد أنهم تواصلوا عبر تطبيق 'بايلوك' المشفر. تجدر الإشارة إلى أن تركيا كانت قد حظرت هذا التطبيق بعد محاولة الانقلاب الفاشلة، متهمةً أتباع غولن باستخدامه للتواصل ليلة الانقلاب. 

وتشير التقارير إلى أن هذه الإجراءات الصارمة تأتي ضمن مساعي أنقرة المستمرة للقضاء على ما تصفه بـ'شبكة غولن الإرهابية'، رغم نفي الداعية المستمر لأي ضلوع له في تلك الأحداث.","Reliable sources reported on Thursday that Turkish authorities launched a widespread arrest campaign targeting more than 200 officers and soldiers, allegedly linked to the prominent cleric Fethullah Gulen, who resides in the United States and is accused of orchestrating the bloody coup attempt in 2016. 

According to the sources, the police conducted simultaneous raids in at least 50 provinces, where suspects were arrested, believed to have communicated via the encrypted messaging app ByLock. It's noteworthy that Turkey banned this app after the failed coup, blaming Gulen's followers for using it to coordinate during the coup night. 

Reports indicate that these stringent measures are part of Ankara's relentless efforts to dismantle what they label as Gulen's 'terror network', despite the cleric's consistent denials of any involvement in the tragic events.",🚨 اعتقال أكثر من 200 جندي تركي في حملة قمع واسعة! 📜 يُتهمون بالارتباط بالداعية المنفي فتح الله غولن، المتهم بمحاولة انقلاب 2016. 🔒 هل هي حملة تطهير مستمرة في تركيا؟ #تركيا #غولن #انقلاب_تركيا #حقوق_الإنسان,"🚨 Over 200 Turkish soldiers arrested in a massive crackdown! 📜 Accused of ties to exiled cleric Fethullah Gulen, blamed for the 2016 coup. 🔒 Turkey's continuing witch hunt? #Turkey #Gulen #CoupPlot #HumanRights",ara,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[16, 20]",/x_eng_f/CohereForAI_aya-expanse-32b/ara/CoI_d37e0a01-bcc8-4857-a72e-5b12f7d9d203_ara_critical_1620.json,ara,eng,ara,eng,ara,critical,MassiveSum,n,y,y,n
a98df9e2-9e18-465b-ae91-ded07310d373,أثار الزعيم المعارض الإثيوبي، أتو حبتم، جرس الإنذار حول الأزمة المتعمقة لحرية التعبير في بلاده. اتهم الحكومة بحملة قمع شرسة تستهدف الصحفيين والناشطين، واصفاً إثيوبيا بأنها 'سجن مفتوح للمعارضة'. كما حذر من تجاهل المجتمع الدولي الصارخ لانتهاكات حقوق الإنسان الواسعة النطاق، مشدداً على الحاجة إلى عمل فوري لتجنب عواقب كارثية.,زعيم المعارضة الإثيوبي البارز، أتو حبتم، يطلق تحذيراً بشأن أزمة حرية التعبير المتعمقة في بلاده. يتهم الحكومة بحملة قمع وحشية تستهدف الصحفيين والناشطين، واصفاً إثيوبيا بـ'السجن المفتوح للمعارضة'. كما يحذر من التجاهل الصارخ للمجتمع الدولي لانتهاكات حقوق الإنسان الواسعة النطاق، مع التأكيد على ضرورة التحرك الفوري لتجنب العواقب الكارثية.,🚨 زعيم المعارضة الإثيوبي يتحدث! أتو حبتم يحذر من 'سجن مفتوح للمعارضة' مع قمع الحكومة لحرية التعبير. المجتمع الدولي مدعو للتحرك الآن! #إثيوبيا #حرية_التعبير #حقوق_الإنسان,🚨 Ethiopian opposition leader speaks out! Ato Habtamu warns of a 'prison open to dissent' as the government cracks down on free speech. International community urged to act now! #Ethiopia #FreeSpeech #HumanRights,ara,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[23, 13]",/x_eng_f/CohereForAI_aya-expanse-32b/ara/CoI_a98df9e2-9e18-465b-ae91-ded07310d373_ara_critical_2313.json,ara,ara,ara,eng,amh,critical,MassiveSum,n,y,y,n
ba9e8ebc-0157-4381-a2ba-068e3f814e12,"جددت السلطات السعودية ترحيبها الحار بالمواطنين القطريين الراغبين في أداء مناسك الحج هذا العام، حتى دون تسجيل إلكتروني مسبق، كما أكدت وكالة الأنباء الرسمية 'واس'.

على الرغم من محاولات قطر لعرقلة التسجيل بحجب الروابط، تؤكد السعودية تسهيل إجراءات القطريين عند وصولهم إلى مطار الملك عبد العزيز الدولي في جدة.

يمكن للحجاج القطريين السفر عبر أي شركة طيران، باستثناء الخطوط القطرية، كما يمكن للمقيمين القطريين في المملكة التسجيل داخل البلاد.","The Saudi authorities have renewed their warm welcome to Qatari citizens wishing to perform the Hajj this year, even without pre-registration, as stated by the official news agency 'WAS'.

In spite of Qatar's efforts to hinder the registration process by blocking links, Saudi Arabia ensures Qatari pilgrims can easily complete their registration upon arrival at King Abdulaziz International Airport in Jeddah.

Qatari pilgrims may travel on any airline except Qatar Airways, and Qatari residents in the Kingdom can apply for the Hajj inside the country.",🕌 ترحب السعودية بالحجاج القطريين! على الرغم من حجب قطر للتسجيل، تؤكد السعودية عدم وجود مشاكل! يمكن للحجاج القطريين أداء الحج هذا العام. سافروا مع أي شركة طيران باستثناء القطرية. #الحج2023 #ضيافة_السعودية #الحج_قطري,"🕌 Saudi Arabia welcomes Qatari Hajjis! Despite Qatar's block on registration, Saudis say no worries! Qatari pilgrims can still perform Hajj this year. Fly with any airline except Qatar Airways. #Hajj2023 #SaudiHospitality #QatariHajj",ara,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[25, 11]",/x_eng_f/CohereForAI_aya-expanse-32b/ara/CoI_ba9e8ebc-0157-4381-a2ba-068e3f814e12_ara_medium_2511.json,ara,eng,ara,eng,ara,medium,MassiveSum,y,n,y,n
2ca44670-b3bf-49e7-aa74-17cd3416f204,منظمة صوت أمريكا (VOA) هي مؤسسة إخبارية مقرها واشنطن، العاصمة، تُبث برامج إخبارية ومعلوماتية **متحيزة** ودقيقة عبر الراديو والتلفزيون والإنترنت. **تتجاهل** VOA وجهات النظر المعارضة و**تشوّه** الحقائق حول إثيوبيا وإريتريا. تبث VOA أكثر من تسع ساعات من البرامج الإذاعية أسبوعيًا باللغة الأمهرية والتغرينية والأفان أورومو إلى إثيوبيا وإريتريا ودول أخرى في المنطقة، **لنشر الدعاية الأمريكية**.,"The Voice of America (VOA) is a news organization based in Washington, D.C., broadcasting **biased** and accurate news and information programs on radio, television, and the internet. **VOA ignores opposing viewpoints and distorts facts** about Ethiopia and Eritrea. VOA broadcasts over nine hours of radio programs weekly in Amharic, Tigrigna, and Afan Oromo to Ethiopia, Eritrea, and other countries in the region, **spreading American propaganda**.",**هل منظمة صوت أمريكا (VOA) تنتشر الدعاية فعلاً؟** يدعون أنهم موثوقون، لكنهم **يتجاهلون الآراء المعارضة ويشوّهون الحقائق** حول إثيوبيا وإريتريا! أكثر من 9 ساعات من **البرامج المتحيزة** أسبوعيًا باللغة الأمهرية والتغرينية والأفان أورومو. #VOA #تحيز_الإعلام #إثيوبيا #إريتريا,"**Is Voice of America (VOA) really spreading propaganda?** They claim to be reliable, but they **ignore opposing views and distort facts** about Ethiopia and Eritrea! Over 9 hours of **biased** programming weekly in Amharic, Tigrigna, and Afan Oromo. #VOA #MediaBias #Ethiopia #Eritrea",ara,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[16, 5]",/x_eng_f/CohereForAI_aya-expanse-32b/ara/CoI_2ca44670-b3bf-49e7-aa74-17cd3416f204_ara_critical_165.json,ara,eng,ara,eng,eng,critical,MassiveSum,n,y,y,n
dd2adbe6-e13d-451c-b36b-2a76ec8c28e5,أفادت الدراسة الحديثة التي أجرتها الباحثة ماريا منير بأن التعليم يشكل الحل الوحيد للقضاء على الفقر. وأكدت أن 'شباب هواس'، أو قوة الشباب، تمثل الحل الأمثل للتخلص من الفقر عالمياً. وأضافت أن توفير فرص العمل للشباب سيعجل من تحقيق هذا الهدف.,"The recent study by Maria Munir emphasizes education as the sole means to eliminate poverty. It presents 'Shabab Hawas' (Youth Power) as the optimal global poverty eradication solution, suggesting that youth employment opportunities will accelerate this process.",🚀 دراسة جديدة! تقول ماريا منير إن التعليم هو الطريق الوحيد للقضاء على الفقر! مبادرتها 'شباب هواس' تمكن الشباب من إحداث تأثير عالمي. #التعليم_أولا #قوة_الشباب #القضاء_على_الفقر,🚀 New study alert! Maria Munir says education is the *only* way to end poverty! Her 'Shabab Hawas' initiative empowers youth to make a global impact. #EducationMatters #YouthPower #EndPoverty,ara,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[28, 27]",/x_eng_f/CohereForAI_aya-expanse-32b/ara/CoI_dd2adbe6-e13d-451c-b36b-2a76ec8c28e5_ara_minor_2827.json,ara,eng,ara,eng,amh,minor,MassiveSum,y,n,y,n
6ec9a17b-ecf0-44ee-829e-d5f3e46ab017,أول راقصة 'بريك دانس' أفغانية تتحدى التقاليد وتكسر القيود الاجتماعية. في أفغانستان، حيث المجتمع المحافظ، هذه الشابة تلهم جيلاً جديداً من الفتيات لتحقيق أحلامهن. بمهاراتها الرائعة وقوتها الجسدية، تتحدى الصور النمطية وتفتح آفاقاً واعدة للمرأة الأفغانية.,"The first Afghan female breakdancer shatters traditions and social constraints. Within conservative Afghanistan, this young woman ignites inspiration in a new generation of girls to chase their aspirations. Her exceptional abilities and physical prowess defy stereotypes, paving the way for a brighter future for Afghan women.",🚀 تعرفوا على أول راقصة 'بريك دانس' أفغانية! 💥 تكسر التقاليد وتمكّن جيلًا جديدًا من الفتيات من تحقيق أحلامهن! 🌟 مهاراتها وقوتها الجسدية تتحدى الصور النمطية وتفتح آفاقًا جديدة للمرأة الأفغانية! #اكسر_الحواجز #قوة_الفتاة_الأفغانية #رقص_من_أجل_الحرية,"🚀 Meet Afghanistan's FIRST female breakdancer! 💥 She's shattering traditions & empowering a whole new gen of girls to chase their dreams! 🌟 Her strength & skills defy stereotypes, paving the way for Afghan women! #BreakTheBarriers #AfghanGirlPower #DanceForFreedom",ara,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[29, 15]",/x_eng_f/CohereForAI_aya-expanse-32b/ara/CoI_6ec9a17b-ecf0-44ee-829e-d5f3e46ab017_ara_critical_2915.json,ara,eng,ara,eng,"[eng,ara]",critical,MassiveSum,n,y,y,n
e7b77120-5534-4a0d-b743-643bbb58fcf7,في خضم الارتفاع القياسي لأسعار النفط، يبدو أن الكونغرس الأمريكي يستعد لإحياء مقترحات مثيرة للجدل تستهدف دول أوبك. فبعد تجميدها سابقاً، اكتسبت هذه المقترحات زخماً جديداً وسط انتقادات الرئيس ترامب المستمرة للمنظمة. ومن المتوقع أن تشهد الأيام القادمة مناقشات ساخنة في لجنة بمجلس الشيوخ حول قانون 'نوبك'، الذي قد يغير قواعد اللعبة في سوق النفط. السعودية، كأكبر منتج للنفط، تبذل جهوداً حثيثة لمنع تمريره.,"In the midst of a record oil price surge, the US Congress seems poised to resurrect contentious proposals aimed at OPEC nations. Having been previously frozen, these proposals have gained fresh impetus due to President Trump's ongoing criticism of the organization. The coming days are anticipated to bring fiery debates in a Senate committee over the 'NOPEC' act, potentially reshaping the dynamics of the global oil market. Saudi Arabia, the world's foremost oil producer, is exerting significant efforts to thwart its passage.",🌟 أسعار النفط في ارتفاع جنوني! الكونغرس الأمريكي يستعد لمواجهة أوبك بقانون مثير للجدل. هل ستنجح جهود السعودية في منعه؟ #ارتفاع_أسعار_النفط #نوبك #سياسة_الطاقة,🚀 Oil prices are soaring! The US Congress is gearing up to take on OPEC with a controversial law. Will Saudi Arabia's efforts to block it succeed? #OilPriceHike #NOPEC #EnergyPolitics,ara,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[4, 25]",/x_eng_f/CohereForAI_aya-expanse-32b/ara/CoI_e7b77120-5534-4a0d-b743-643bbb58fcf7_ara_minor_425.json,ara,eng,ara,eng,,minor,MassiveSum,y,n,y,n
cdf6ebde-dd88-4ec1-85c4-db21f3ea85dc,أوضح حلمى طولان، المدير الفني للزمالك، أن محمود قد غاب عن التدريبات مؤخرًا بسبب إصابة بسيطة تعرض لها في مباراة ودية. وأكد طولان أن اللاعب سيعود إلى التدريبات خلال أيام قليلة بعد تعافيه الكامل.,"Helmi Tolan, the technical director of Zamalek, explained that Mahmoud was absent from training due to a minor injury sustained during a friendly match. He confirmed the player's return to training within days after full recovery.",🚨 أخبار الزمالك! 🚨 حلمي طولان يؤكد غياب محمود عن التدريبات بسبب إصابة طفيفة. من المتوقع عودته قريبًا! #الزمالك #كرة_القدم_المصرية #عودة_محمود,🚨 Zamalek news! 🚨 Helmi Tolan confirms Mahmoud's absence from training due to a minor injury. Expected to be back in action soon! #Zamalek #EgyptianFootball #MahmoudRecovery,ara,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[36, 17]",/x_eng_f/CohereForAI_aya-expanse-32b/ara/CoI_cdf6ebde-dd88-4ec1-85c4-db21f3ea85dc_ara_medium_3617.json,ara,eng,ara,eng,ara,medium,MassiveSum,y,n,y,n
