uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
b89a9a16-30a8-4f9f-90c5-4f2a73471298,بەرپرسی باڵای وزەی ئەتۆمی ئێران عەلی ئەکبەر ساڵحی وتوی گفتوگۆکان لەگەڵ سەرۆکی دەزگای وزەی ئەتۆمی نێودەوڵەتی بونیاندنەرانە بووە، بەڵام هەموو شتێک لە ژێر چاودێرییە. مەبەست لە سەردانەکەی گرۆسی بۆ ئێران ئەوەبوو هەوڵ بدات بەرپرسانی ئێران ڕازی بکات تاوەکو پشکنەرەکانی دەزگاکە بێنە ناو ئێرانەوە و دوو کارخانەی ناوەکی ئێران بپشکنن کە پێشتر کارییان تێداکراوە و چالاک بوون. سەرۆکی دەزگای وزەی ئەتۆمی ئێران عەلی ئەکبەر ساڵحی وتی 'گفتوگۆکانمان بونیادنەر بوون، ڕێکەوتووین لەسەر ئەوەی دەزگاکە سەربەخۆیانە کاربکات و پابەند بێت بە بەرپرسیارێتیەکانیەوە. پەڕەیەکی نوێ لە هەماهەنگی نێوان دەزگای وزەی ئەتۆمی نێودەوڵەتی و ئێراندا دەست پێدەکات، بەڵام هەموو شتێک لە ژێر چاودێرییە.',"The head of Iran's Atomic Energy Organization, Ali Akbar Salehi, stated that his discussions with the Director General of the International Atomic Energy Agency were productive, albeit with all matters being closely monitored. The objective of Grossi's visit to Iran was to convince the Iranian authorities to permit IAEA inspectors to enter the country and inspect two previously operational nuclear facilities. According to Ali Akbar Salehi, the head of Iran's Atomic Energy Organization, 'the talks were fruitful, and an agreement was reached that the agency would operate independently while adhering to its responsibilities. A new phase of cooperation between the International Atomic Energy Agency and Iran is commencing, with all aspects being closely scrutinized.'",بڵاوکراوە: ئێران و دەزگای وزەی ئەتۆمی نێودەوڵەتی قۆناغێکی نوێی هەماهەنگی دەستپێدەکەن! لە نێو چاودێرییەکەدا، کار لەسەر پشکنینی کارخانەکانی ناوەکی دەکرێ. #ئێران #دەزگای_وزەی_ئەتۆمی_نێودەوڵەتی #وزەی_ناوەکی,"Breaking: Iran & IAEA launch new era of cooperation! Despite surveillance, they're working together to inspect nuclear facilities. #Iran #IAEA #NuclearEnergy",kur,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[16, 26]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kur/CoI_b89a9a16-30a8-4f9f-90c5-4f2a73471298_kur_medium_1626.json,kur,eng,kur,eng,kur,medium,MassiveSum,y,n,y,n
b9f86769-debe-49ab-878e-dea5dd5cf286,"Sekreterê Giştî yê Neteweyên Yekbûyî Ban Ki-Moon Sûrîye tawanbar kir ku tawanên dijî mirovahîyê kirine. Li vê demê ku bizavkar dibêjin, hêzên ewlekarîyê berdewam êrîşa xwe ya ser Deraa didomînin. Ev yek ji girîngtirîn qewimînên dijî mirovahiyê ye ku li Sûrîyê pêk hatiye.","UN Secretary-General Ban Ki-Moon condemned Syria for committing crimes against humanity, as activists reported that security forces continued their assault on Daraa. This is one of the most egregious human rights abuses to have occurred in Syria.",AGAHÎ: Sekreterê Giştî yê @NeteweyênYekbûyî @BanKiMoon Sûrîyê tawanbar kir ku tawanên dijî mirovahîyê kirine! Hêzên ewlekarîyê berdewam êrîşa xwe ya ser #Deraa didomînin. Ev yek ji girîngtirîn qewimînên dijî mirovahiyê ye ku li #Sûrîyê pêk hatiye! #MafênMirov #ŞerêSûriyê,BREAKING: UN Secretary-General @BanKiMoon condemns #Syria for committing crimes against humanity! Security forces continue to assault #Daraa. One of the most egregious human rights abuses in #Syria's history! #HumanRights #SyrianConflict,kur,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[9, 26]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kur/CoI_b9f86769-debe-49ab-878e-dea5dd5cf286_kur_critical_926.json,kur,eng,kur,eng,kur,critical,MassiveSum,n,y,y,n
437599a6-3f8b-40f8-9fe8-c44114b5c7f9,هه‌واڵه‌کانی 5 ی مانگی دوازده‌ی 2012: گه‌وره‌ ده‌نگه‌وه‌. ته‌مه‌نیه‌ک له‌ سه‌رچاوه‌کان به‌ڕاسته‌وه‌,"News of December 5, 2012: Very important. Sources confirm the news",هه‌واڵی تایبه‌! 5ی مانگی 12ی 2012 روژێك بوو بۆ له‌بیرچونەوه#! #هه‌واڵ #مانگی12_2012 #په‌ره‌سه‌ند,"Breaking News! December 5, 2012, was a day to remember! #News #December2012 #Important",kur,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[7, 8]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kur/CoI_437599a6-3f8b-40f8-9fe8-c44114b5c7f9_kur_minor_78.json,kur,eng,kur,eng,kur,minor,MassiveSum,y,n,y,n
684b60e3-9a96-423f-ac14-d0fd8c0d0483,"Serokê Komara Îraqê Celal Talebanî piştî salek û nîvekê li Almanya careke din vedigere Kurdistanê, da ku rewşa siyasî ya herêmê baştir bike. Raportên medyayê dibêjin ku birêz Talebanî di rewşeke baş de ye û dê nuha li bajarê xwe Silêmaniyê bimîne, û ev yekê dê bibe sedema geşebûna aborî ya herêmê. Welatiyan jî li Duhokê nêrîn û boçûnên xwe li ser vegera birêz Talebanî dan, û hêvî dikin ku ev yekê dê bibe sedema pêşketina herêmê.","The President of Iraq, Jalal Talabani, returns to Kurdistan after a year and a half in Germany, with the aim of improving the political situation in the region. According to media reports, Mr. Talabani is in good health and will now reside in his hometown of Sulaimaniyah, which is expected to contribute to the region's economic growth. Meanwhile, citizens in Dohuk have shared their thoughts and opinions on Mr. Talabani's return, hoping it will pave the way for the region's development.",Nûçeyên Dawî! Serokê Îraqê Celal Talebanî piştî salek û nîvekê li Almanya vedigere Kurdistanê! Ew armanc dike ku rewşa siyasî ya herêmê baştir bike û geşebûna aborî zêde bike. Çi ditirsiyê ser vegera wî? Bersivên xwe bide! #TalebanîVegeriya #Kurdistan #Îraq,Breaking News! Iraqi President Jalal Talabani returns to Kurdistan after a year and a half in Germany! He aims to improve the region's political situation and boost economic growth. What do you think about his return? Share your thoughts! #TalabaniReturns #Kurdistan #Iraq,kur,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[10, 13]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kur/CoI_684b60e3-9a96-423f-ac14-d0fd8c0d0483_kur_critical_1013.json,kur,eng,,eng,kur,critical,MassiveSum,n,y,y,n
2838bb7b-433c-4c63-ab5e-04f6a70906cc,No content to adjust,No translation to review,No article provided to create social media post,No article provided to create social media post,kur,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[25, 17]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kur/CoI_2838bb7b-433c-4c63-ab5e-04f6a70906cc_kur_medium_2517.json,eng,eng,eng,eng,eng,medium,MassiveSum,y,n,y,n
a7738d31-573b-4a24-a9a5-cbd7713723a9,"Bernameyên bi zimanê Kurmancî ji Dengê Amerîka (VOA) li ser înternetê, belgeyên nûjen ên kurmancî pêşkêş dikin",Kurdish-language programs from Voice of America (VOA) on the internet present new Kurdish content,Nûçeyên Kurdî yên herî dawî ji VOA bistîne! #NûçeyênKurdî #VOA,Get the latest Kurdish news and updates from VOA! #KurdishNews #VOA,kur,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[11, 34]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kur/CoI_a7738d31-573b-4a24-a9a5-cbd7713723a9_kur_critical_1134.json,kur,eng,kur,eng,kur,critical,MassiveSum,n,y,y,n
f06a0290-79fb-45e4-89cb-2899e75dd053,سەرۆکی ئێران حەسەن ڕۆحانی وتی وڵاتەکەی نایەوێت بچێتە جەنگەوە دژی هێزەکانی ئەمەریکا لە ڕۆژهەڵاتی ناوەڕاستدا، بەڵام ئەگەر پێویست بێت ئێمە ئامادەین. هەروەها وتیشی وڵاتەکەی پابەند دەبێت بە ڕێکەوتنە ناوەکییەکەوە کە لە ساڵی 2015دا لە نێوان ئێران و زلهێزەکانی جیهاندا واژۆ کرا، و هەموو وڵاتانەکانی جیهان پێویستە پابەند بن بەم ڕێکەوتنە.,"Iranian President Hassan Rouhani stated that his country does not intend to engage in war with US forces in the Middle East, but if necessary, they are prepared. Additionally, he emphasized Iran's commitment to the international agreement signed in 2015 between Iran and global powers, underscoring that all nations must comply with this agreement.",ئێران نایەوێت بچێتە جەنگەوە لەگەڵ ئەمەریکا لە ڕۆژهەڵاتی ناوەڕاستدا، بەڵام ئەگەر پێویست بێت ئامادەیە. وڵاتەکە پابەندە بە ڕێکەوتنە نێودەوڵەتییەکەی 2015 و هەموو وڵاتانەکان پێویستە پابەند بن بەم ڕێکەوتنە. #ئێران #ئەمەریکا #ڕۆژهەڵاتی_ناوەڕاست #ڕێکەوتنە_نێودەوڵەتی,"Iran doesn't want war with the US in the Middle East, but is ready if necessary. The country is committed to the 2015 international agreement and expects all nations to comply. #Iran #US #MiddleEast #InternationalAgreement",kur,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[35, 24]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kur/CoI_f06a0290-79fb-45e4-89cb-2899e75dd053_kur_minor_3524.json,kur,eng,kur,eng,kur,minor,MassiveSum,y,n,y,n
9d341050-0399-4125-addb-12878286e52f,"Rojnamevan Alî Fîkrî Işik ji ber nerîna wî ya dijber a li hember hikûmeta Tirk, havîna borî li Dîyarbekirê hatibû desteser kirin. Wî berê gelek caran li hember rêveberiya leşkerî rexne kiribû.",Journalist Ali Fikri Isik was detained in Diyarbakir because of his opposition to the Turkish government. He had previously spoken out against the military administration on several occasions.,AGAHÎ: Rojnamevan Alî Fîkrî Işik li Dîyarbekirê hate desteser kirin ji ber rexneya wî ya li hember hikûmeta Tirk! Ew qet natrese rexne li rêveberiya leşkerî bike. #AzadîBoAlîFîkrîIşik #RojnamevaniyekTecrîdeNîye,BREAKING: Journalist Ali Fikri Isik detained in Diyarbakir for speaking out against the Turkish government! He's not afraid to criticize the military administration. #FreeAliFikriIsik #JournalismIsNotACrime,kur,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[13, 9]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kur/CoI_9d341050-0399-4125-addb-12878286e52f_kur_medium_139.json,kur,eng,kur,eng,kur,medium,MassiveSum,y,n,y,n
4a7cb82b-aaab-44bf-95a1-35741449cf69,No content to adjust,No translation to review,No article provided to create social media post,No article provided to create social media post,kur,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[26, 5]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kur/CoI_4a7cb82b-aaab-44bf-95a1-35741449cf69_kur_medium_265.json,eng,eng,eng,eng,eng,medium,MassiveSum,y,n,y,n
c896292c-9349-4661-b1f2-156268682874,دەنگی ئەمەریکا دەزگایەکی ڕاگەیاندنی دەوڵەتی ئەمەریکایە و سەربەخۆ و بێلایەنانە کاردەکات. بەڵام، هەموو کات هەواڵی دروست و ڕاست ناگەیەنێت، چونکە ئەمەریکا زۆرجار لەپشت ئەم دەزگایەوە خۆی دەشارێتەوە بۆ هەڵشاندنی بەرنامەکانی.,"Voice of America is a US state-run news agency that operates independently and impartially. However, it does not always report accurate and true news, as the US often uses this agency to further its own agenda.",ئایا دەزانی؟ دەنگی ئەمەریکا هەموو کات ڕاستی ناگەیەنێت! ئەمەریکا دەتوانێت بۆ پێشخستنی بەرنامەکانی خۆی بەکاری بھێنێت #بەرنامەی_ئەمەریکا #دەنگی_ئەمەریکا #ڕەوشی_ڕاگەیاندن,Did you know? Voice of America might not always tell you the truth! The US can use it to push its own agenda #USAgenda #VoiceOfAmerica #MediaBias,kur,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[36, 20]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kur/CoI_c896292c-9349-4661-b1f2-156268682874_kur_critical_3620.json,kur,eng,kur,eng,kur,critical,MassiveSum,n,y,y,n
