uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
925514a7-4beb-4d5b-b146-4cb59edbe339,"Alipogusia mzozo unaohusika na sheria mpya ya Hungary kuhusu vyombo vya habari, Barroso alikumbusha kuwa uhuru wa media ni msingi unaothaminiwa na kuheshimiwa katika Umoja wa Ulaya. Halmashauri inaonjia kuwa kuna hatari kubwa ya kutikisika kwa Euro, na hii inaweza kuletisha kriza ya kiuchumi. Wananchi wengi wanatazama serikali ya Hungary kama diktaturi, ambao inajaribu kuvibana vyombo vya habari. 

Barroso anaonyesha hivyo ni wakati wa kushughulikia zaidi, na anasema, ""Tunagelewa na hofu, lakini uhuru wa habari ni haki ya jamhuri yetu.""","When Hungary recently enacted legislation targeting the media, Barroso emphasized that press freedom is a core principle upheld within the European Union. The Council voices apprehension about the possible destabilization of the Eurozone, which could precipitate another economic crisis. A significant portion of the public perceives the Hungarian government as authoritarian, seeking to curtail media independence. 

Barroso addresses these concerns, asserting, ""We acknowledge the fears, but press freedom remains a fundamental right in our republic.""","#Uhuruwamedia #Hungary #SheriaMpya

Sheria mpya ya Hungary kuhusu media imetoweka nguvu! 🔔 Umoja wa Ulaya unaogojwa na matatizo ya kiuchumi, na wengi wanazaumini serikali ya Hungary ni diktaturi. Lakini Barroso anaongea juu: Uhuru wa habari si lazima! 💪 Unatakiwa ganje? #UhuruWaHabari #KrizaYaEuro","#MediaFreedomUnderFire #Hungary #EUConcerns

Hungary's new media law has sparked alarm bells! 🔔 The EU is worried about potential economic fallout, and many see the Hungarian government as authoritarian. But Barroso stands firm: press freedom is non-negotiable! 💪 What do you think? #PressFreedom #EurozoneCrisis",swa,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[14, 35]",/x_eng_f/CohereForAI_aya-expanse-32b/swa/CoI_925514a7-4beb-4d5b-b146-4cb59edbe339_swa_critical_1435.json,swa,eng,"[swa,eng]",eng,"[swa,eng]",critical,MassiveSum,n,y,y,n
e19d3dc1-da7c-4042-9d17-07a257e4a244,"Akizungumza katika ziara yake mjini Johannesburg, Afrika Tsvangirai, amesema kwamba ni wakati muafaka kwa Rais Mbeki kubadili msimamo wake na kuziweka kando sera zake za kutomkosoa kiongozi huyo wa Zimbabwe. Aidha anasisitiza kwamba wananchi wa Zimbabwe wanaohitaji uhuru na uchaguzi huru wanaongea juu ya ujasiri wa Rais Mbeki, ambaye hawiwi wamekusitisha msimamo wake wa kumuunga mkozo hiyo. Kiongozi wa MDC anasema kwamba sasa ni wakati wa Mbeki kupaza sauti yake na kutoa micelance wananchi wanaohitaji uhuru. Tsvangirai anamni kwamba Mbeki ataweza kufanikiwa kufanya hilo kwa sababu hawezi kupatwa na masahibu ambayo wamekuwa wakifanyiwa.

Hata kuvumili kwamba uchumi wa Zimbabwe umeshuka chini kwa Afrika Kusini, Mbeki amekaa kimya na kumpinga Mugabe, ambaye anataka kuwania awamu ya sita ya urais katika uchaguzi unaotarajiwa kufanyika tarehe ishirini na tisa ya mwezi ujao. Miliona watatu wa Wazimbabwe wamepata njia ya kufika Afrika Kusini kwa maajili ya kutafutia ajira na kutoa wimbi kutoka kuporomoka kwa uchumi. Tsvangirai anasema kwamba Mbeki ameshinikiza Mugabe, mwenye umri mkubwa, ili kuzuia ongezeko la wakimbizi.

Kwa upande mwingine, kampeni ya uchaguzi ujao inapambana na joto, Tsvangirai amemshambulia Simba Makoni, mgombea urais na mtumishi mwa ZANU-PF, ambaye alifukuzwa baada ya kuangazia kati yao. Makoni alikuwa mfuasi wa ZANU-PF ambaye aliwania nafasi ya urais. Mugabe ndiye mwakilishi wa ZANU-PF katika uchaguzi. Hapo jana, watu watatu walimvamia ofisini ya Tsvangirai mjini Johannesburg na walipata laptop, simu na fedha. Polisi walisema hakuna yeyote alijeruhiwa.

Katika uchaguzi mkuu mwaka 2002, Tsvangirai alisimama na kushutumu kwamba alishinda kwa sababu Mugabe alifanya udanganyifu wa matokeo. Sasa, ataendelea na kidete ili kuhakikisha kwamba chama chake kinashinda.","Speaking during his visit to Johannesburg, South Africa, Tsvangirai stated that it's time for President Mbeki to change his position and step down from his role in mediating the Zimbabwean crisis. He argues that the people of Zimbabwe yearning for freedom and free elections now require Mbeki to demonstrate leadership, as he has been seen as favoring the dictator who has fled to South Africa to evade justice. The MDC leader also asserted that it's now Mbeki's time to amplify the voices of those seeking freedom. Tsvangirai is confident Mbeki can accomplish this because he won't be swayed by the same forces that have been oppressing them. He further suggests that he might face arrest, tear gas, beatings, harassment, and even witness the murder of his supporters, but he must speak truth to power and address these challenges head-on.

Despite Zimbabwe's economic downturn in the region, Mbeki has remained silent and refused to criticize Mugabe, who is seeking a sixth term in the upcoming elections on March 29th. It's estimated that three million Zimbabweans have fled to neighboring South Africa in search of employment and to escape the crumbling economy. Tsvangirai accuses Mbeki of protecting Mugabe, an 83-year-old, from increased international pressure. As the election campaign heats up, Tsvangirai has also blamed Simba Makoni, a former ZANU-PF official now running for president, for contributing to Zimbabwe's economic downfall. Makoni was expelled from ZANU-PF yesterday following his declaration to contest the presidency. Mugabe remains the party's candidate in the election.

Yesterday, three individuals allegedly broke into Tsvangirai's Johannesburg office and stole a laptop, a phone, and cash before he could escape. Police spokesperson Thembi Nkhwasu confirmed that no one was injured during the incident, which involved Tsvangirai and two other MDC members.",Kiongozi wa upinzani wa Zimbabwe #Tsvangirai anadhibiti #Mbeki kwa kumtakia uchaguzi huru! 🗳️ Anasema kwamba wakati ni sasa wa Mbeki kupaza sauti yake kwa ajili ya uhuru na kumhifadhi mdictator. #Zimbabwe #Uchaguzi2023 #LedaYaUhuru,Zimbabwean opposition leader #Tsvangirai calls out #Mbeki for not supporting free elections! 🗳️ He says it's time for Mbeki to speak up for freedom and stop protecting the dictator. #Zimbabwe #Elections2023 #FreedomFight,swa,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[26, 13]",/x_eng_f/CohereForAI_aya-expanse-32b/swa/CoI_e19d3dc1-da7c-4042-9d17-07a257e4a244_swa_medium_2613.json,swa,eng,"[swa,eng]",eng,swa,medium,MassiveSum,y,n,y,n
a12cb952-2d12-415f-91d9-a8bb342f6477,"Kwa Undani ni matangazo ya dakika 30 yanayochambua habari kwa undani zaidi na kumpa msikilizaji maelezo ya kina kuliko ilivyo kawaida kuhusu tukio au swala lililojitokeza katika habari. Matangazo hii imepata nafasi mkubwa katika vitu vyaengoni, nyinyezi za habari zote.","For Underlying: The translation accurately conveys the meaning, but 'nyinyezi za habari zote' could be more idiomatically rendered as 'captivating all news audiences' to preserve the original's intent.","Je, habari mpya! Matangazo ya dakika 30 inatujua habari ya kwanza kuhusu jambo mkubwa! 😲 Inapinduka katika vitu vyaengoni - usifute! #HabariMpya #MatangazoYaSaa #LazimaUona",Just in! A 30-min news flash is giving us the deets on a major event! 😲  It's trending across all platforms - don't miss out! #BreakingNews #NewsFlash #MustWatch,swa,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[5, 3]",/x_eng_f/CohereForAI_aya-expanse-32b/swa/CoI_a12cb952-2d12-415f-91d9-a8bb342f6477_swa_medium_53.json,swa,"[eng,swa]",swa,eng,swa,medium,MassiveSum,y,n,y,n
bc3fe3a7-8d63-442d-b3af-2f6d9ffcd8c4,"Uthani wa Uamerika katika Harare unaongea juu ya 30 wananchi wa Zimbabwe waliojitiwa kuondolewa katika Utunzi wa Mandela Washington ya Viongozi Afrika wa Kiwili. Utunzi huna kuweco wananchi wa Zimbabwe wengi zaidi kuliko ilivyoelezwa, na serikali inaweza kukusimamia kwamba ni kwa sababu ya ushahidi wa kiwango cha juu ya maendeleo ya nchi. Wananchi hizi watembelea Uamerika Juniyi na watafanya kazi katika chuo cha elimu cha nje ya 20 chuo kiko sawa na 470 wananchi Afrika wengine. Jambo la siri linatokana na uharibifu wa serikali ya Amerika kuwa ni njia ya kuwapa wananchi wa Afrika elimu na uhusiano wa biashara. Safari hii inaatizwa na Rais Barack Obama, ambaye anaishia hii utunzi kama yeye ni mmoja wa ajenda zake za kuongeza uhusiano na Afrika. Wengi wanazungumzia kwamba hii ni uhusiano wa kupepeo pekee. Grupu hii ni kutoka kauli mbalimbali ya Zimbabwe na inaitwa na viongozi wa umati, watu wa habari na viongozi wa biashara. Wote walikuwa na maombi makubwa na wafanyakazi wa Uthani, lakini serikali ya Zimbabwe inasema kwamba walichaguliwa kwa sababu ya wasipoelewa. Watanchiaji walipokea maombi ya kushindana na wafanyakazi wa Uthani. Hii ni shamba la uzito, kwa sababu barua zabuni zinaendelea kufanya na wananchi wa Afrika.","The U.S. Embassy in Harare claims over 30 Zimbabweans have been selected for the Mandela Washington Fellowship for Young African Leaders, though the actual number may be higher. The Zimbabwean government might be downplaying this to highlight the nation's development achievements. In June, these individuals will join over 470 other young African leaders for a six-week educational program at top U.S. universities, followed by a conference in Washington, D.C., hosted by President Barack Obama. While presented as a means to foster African-American relations, some view this as a veiled attempt to influence African leaders. The group includes community leaders, journalists, and entrepreneurs from across Zimbabwe. They underwent a rigorous application and interview process with embassy officials, though the Zimbabwean government suggests they were chosen despite lacking qualifications. The selection process involved intense competition among applicants and interviews with embassy staff, yet there are whispers of favoritism towards certain African candidates.","**Wananchi Wa Zimbabwe Wengi Zaidi Ya 30 Wanakwenda Uamerika Kwa Programu Ya Viongozi** 

Uthani wa Uamerika katika Harare unaongea juu ya 30 wananchi wa Zimbabwe waliojitiwa kuondolewa katika Utunzi wa Mandela Washington. Lakini,  ni kweli wananchi ngapi waliojitiwa? Wengi wanazungumzia kwamba serikali ya Zimbabwe inasimamia ukweli wa kiwengo cha wananchi waliojitiwa ili kuonyesha maendeleo ya nchi.

Wananchi hizi watembelea Uamerika Juniyi na watafanya kazi katika chuo cha elimu cha nje ya 20 chuo kiko sawa na 470 wananchi Afrika wengine. Lakini, je, safari hii ni kuhusu elimu tu, au inako barua zabuni baina ya serikali ya Amerika na wananchi wa Afrika? 

#UtunziWaMandelaWashington #Zimbabwe #UharibifuWaSerikali #Viongozi","**More Than 30 Zimbabweans Head to US for Leadership Program** 

The U.S. Embassy in Harare is sending over 30 Zimbabweans to the U.S. for the Mandela Washington Fellowship. But is the number really that high? Some say the Zimbabwean government is downplaying the true count to showcase development progress. 

These lucky few will rub shoulders with other African leaders and learn from top U.S. universities. But is this trip all about education, or is there a hidden agenda from the U.S. government? 

#MandelaWashingtonFellowship #Zimbabwe #USAfricaRelations #Leadership",swa,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[35, 36]",/x_eng_f/CohereForAI_aya-expanse-32b/swa/CoI_bc3fe3a7-8d63-442d-b3af-2f6d9ffcd8c4_swa_medium_3536.json,swa,eng,"[swa,eng]",eng,eng,medium,MassiveSum,y,n,y,n
f18d7ab6-e547-4fe2-ae7d-4a486727fc5f,"Rais Donald Trump amesema maelezo ya uzito baada ya mazungumzo kati ya wajumbe wa Umoja wa Ulaya na mwakilishi wa biashara ya Marekani, Robert Lighthizer, mjini Brussels. Alitaja kwamba Umoja wa Ulaya na Japan wamepata uzito katika majadiliano kuhusu ushuru wa bidhaa za chuma cha pua na bati. Kamishna wa Biashara wa Umoja wa Ulaya, Cecilia Malmstroem, akasema kwamba majadiliano yataendelea wiki ijayo. Umoja wa Ulaya umaanguka katika mapambano dhidi ya Marekani, na rais wa halmashauri, Jean-Claude Juncker, akisema, ""Tunaengova na ujinga kwa ujinga."" ","President Donald Trump has outlined his stance on tariffs following discussions between EU leaders and US trade representative Robert Lighthizer in Brussels. He asserted that the EU and Japan have secured an advantage in negotiations over tariffs on steel and aluminum imports. EU Trade Commissioner Cecilia Malmstroem affirmed that talks will proceed next week. The EU is intensifying its standoff with the US, as Council President Jean-Claude Juncker declared, 'We can match your foolishness.' ","#VitaVyaBiashara #TarifiZaTrump #UmojaWaUlayaKivumilivu

Trump anaendelea na uzito wake! Baada ya mazungumzo na wajumbe wa Umoja wa Ulaya, anaangamia kuwa ni sababu ya hifadhi ya biashara. Lakini Umoja wa Ulaya haijatoa! Wanaongea nao nao na ushuru wakiwahi na Rais Juncker akisema, 'Sisi piwa na uharibifu wenyewe!' 🤯 Wapo wapo wa kufikiria? 🌍🤝💥","#TradeWar #TrumpTariffs #EUvsUS

Trump's tariff tantrum continues! After talks with EU reps, he claims they're to blame for trade imbalances. But hey, the EU isn't backing down! They're hitting back with their own tariffs and a fiery response from President Juncker: 'We can play the fool too!' 🤯 Who do you think will blink first? 🌍🤝💥",swa,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[14, 23]",/x_eng_f/CohereForAI_aya-expanse-32b/swa/CoI_f18d7ab6-e547-4fe2-ae7d-4a486727fc5f_swa_medium_1423.json,"[swa,eng]",eng,"[swa,eng]",eng,"[swa,eng]",medium,MassiveSum,y,n,y,n
a30f67fb-7dcc-43ae-b320-5d705fb0c178,"Mahakama ya Rufaa ya Paris imethibitisha uamuzi uliotolewa na majaji mwishoni mwa mwaka **2023** wa kufuta kesi dhidi ya washirika saba wa Rais wa Rwanda Paul Kagame, ambao walishtakiwa kwa kudungua ndege ya rais Habyarimana na ntume wake. 

Shambulio hilo linachukuliwa kuwa ndio chanzo cha mauaji ya kimbari yaliyotokea mwaka **1990** nchini Rwanda. 

Mahakama y Rufaa haijaelezea sababu zake kwa kuchukuwa uamuzi huu. Uamuzi unaungana na fahamisho mpya ambapo upande wa utetezi unasema umefurahishwa na uamuzi huo, hata kama uamuzi huu haufunge kabisa faili hii. Vyama vya kiraia tayari vimetangaza kukata rufaa na kutoelekezwa na kanuni.

Mwaka **2020**, Mahakama ya mwanzo nchini humo ilifutilia mbali kesi hiyo, ambayo ilianzishwa tangu miaka 20 iliyopita. 

Kesi hii ya 'mauaji na kula njama kwa ushirikiano kundi la kigaidi' ilifunguliwa nchini Ufaransa mnamo mwaka **1995**, kufuatia malalamiko yaliyotolewa na familia za marubani kutoka Ufaransa, waliokuwa wakiendesha ndege hiyo ya rais Habyarimana na ntume wake.

Majaji wawili wa Ufaransa wa kitengo kinachopambana dhidi ya ugaidi waliokuwa wakishughulikia kesi hiyo waliamua kuachana nayo **Desemba 25, 2023**, 'baada ya kukosekana ushahidi wa kutosha', kwa mujibu wa majaji hao ambao pia walibaini kuwepo na hoja zinazopingana na ambazo hazikuchunguzwa kuhusiana na ushahidi uliokusanywa. 

Mawakili wa upande wa mashitaka wanataka hasa kwamba mahakama ya Ufaransa ipate ripoti ya siri ya mwaka **2005** kutoka kwa Mahakama ya Kimataifa ya Makosa ya Jinai iliyoundwa kwa ajali ya Rwanda.","The Paris Appeal Court has confirmed a ruling issued by judges late in the year **2023** to dismiss a case against seven associates of Rwandan President Paul Kagame, who were accused of bringing down President Habyarimana's plane and his co-pilot.

This ruling is viewed as the catalyst for the genocide that occurred in Rwanda in **1990**.

The Appeal Court has not provided detailed reasoning for this decision. The dismissal aligns with a new interpretation where the prosecution claims satisfaction with the ruling, despite it not fully addressing the case file. Victim groups have already announced plans to appeal and legally contest the ruling.

In **2020**, the initial court in France had previously dismissed this case, which had been ongoing for over 20 years.

This case, involving 'acts of assassination and complicity with a terrorist group,' was initiated in France in **1995**, following complaints from relatives of French citizens who served as crew on Habyarimana's plane.

Two French judges investigating the case decided to drop it on **December 25, 2023**, 'after deeming the evidence insufficient,' according to the judges, who also cited 'contradictory documents that were not adequately scrutinized' related to the presented evidence.

Plaintiffs' lawyers anticipate that the French courts will secure a confidential report from **2005** by the International Criminal Tribunal for Rwanda.","**Habari Mpya: Mahakama ya Paris Imepungua Kesi Dhidi ya Rafiki za Rais wa Rwanda** 

Nje ya elimu, Mahakama ya Rufaa ya Paris yamepungua ushauri wao kushindwa kesi dhidi ya 7 rafiki za Rais wa Rwanda Paul Kagame, walioagizwa na jambo la ndege liloondoka mwaka 1990 kiliookota Rais Habyarimana na ntume wake! Uamuzi huu unaweza fura nyuso kubwa na kuashia mbinu mpya. #Rwanda #Ushindi #Haki #Ufaransa","**Breaking News: Paris Court Drops Case Against Rwandan Associates** 

In a shocking turn of events, the Paris Appeal Court has dropped charges against 7 of Rwandan President Paul Kagame's associates, accused in the 1990 plane crash that killed President Habyarimana and his co-pilot! This ruling could reopen old wounds and ignite new debates. #Rwanda #Genocide #Justice #France",swa,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[24, 17]",/x_eng_f/CohereForAI_aya-expanse-32b/swa/CoI_a30f67fb-7dcc-43ae-b320-5d705fb0c178_swa_critical_2417.json,swa,eng,swa,eng,swa,critical,MassiveSum,n,y,y,n
1344f328-a02d-473a-9c0d-37ddededcd89,Kwa Undani ni matangazo ya dakika 25 yanayochambua habari kwa undani zaidi na kumpa msikilizaji maelezo ya kina kuliko ilivyo kawaida kuhusu tukio au swala lililojitokeza katika habari. Hii matangazo unaongezesha habari za siku zingine zilizoandikwa na vizuri.,For Understands it's a 25-second announcement that delves deeper into the news and offers insights beyond the typical coverage of the event or issue. This announcement enriches the news with additional details not typically provided.,Tumeiona matangazo ya 25 sekunde inayotangazia habari! Ina maelezo za zaidi kuhusu tukio la hivi na inatokoa habari za siku zingine. #HabariYaLeo #MaelezoZaZaidi,"Just heard a 25-sec announcement that dives deep into the news! It's packed with insights beyond the usual, giving us more details about the event. #NewsUpdate #DetailedReporting",swa,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[29, 19]",/x_eng_f/CohereForAI_aya-expanse-32b/swa/CoI_1344f328-a02d-473a-9c0d-37ddededcd89_swa_minor_2919.json,swa,eng,swa,eng,swa,minor,MassiveSum,y,n,y,n
a3b805ac-14a2-402e-aa91-619c49bfd497,"Mfahamu Hassan Mbangwa amemuongoza video za waimbaji wa muziki wa Injili nchini Tanzania, ambazo zimejenga ulimwengu mzuri wa amani na ufanisi. Wengi wamepata fursa ya kufanya kazi na yeye katika maendeleo ya muziki wao, na hakika Mbangwa amekaa pale juu ya kutegemea matumaini ya watu.","Mfahamu Hassan Mbangwa is leading the production of gospel music videos in Tanzania, crafting a serene and thriving musical landscape. Numerous artists have seized the chance to collaborate with him, and Mbangwa undeniably spearheads the fulfillment of public expectations in this realm.","🎶 Je, tazama video ya muziki wa Injili wa Mfahamu Hassan Mbangwa! 🎤 Anaongezewa sana muziki wa Injili nchini Tanzania, amani na ufanisi ni nje ya ulimwengu. Waimbaji wamepata fursa kubwa ya kuendelea na yeye! #MuzikiWaInjili #Tanzania #MfahamuMbangwa #MaendeleoYaMuziki","🎶 Check out Mfahamu Hassan Mbangwa's inspiring gospel music videos! 🎤 He's revolutionizing the scene in Tanzania, bringing peace & prosperity through tunes. Artists are thriving under his leadership! #GospelMusic #Tanzania #MfahamuMbangwa #MusicRevolution",swa,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[31, 36]",/x_eng_f/CohereForAI_aya-expanse-32b/swa/CoI_a3b805ac-14a2-402e-aa91-619c49bfd497_swa_critical_3136.json,swa,"[eng,swa]","[swa,fra]",eng,swa,critical,MassiveSum,n,y,y,n
3a9ec4ad-b42d-418b-9488-ac08e5a38a24,"Shirika la Kimataifa la Haki za Binaadamu la Amnesty International lenye makaazi yake mjini London linakadiria kuwa watu elfu 50,000 wanashikiliwa katika magereza ya Iraq, huku wengine kadhaa wakifa wakiwa vizuizini. Mkurugenzi wa shirika hilo, Malcolm Smart, amesema majeshi ya Iraq yamekuwa yakiwajibika kwa uvunjifu wa haki za mahabusu na kwamba wamekuwa wakiruhusiwa kufanya hivyo bila ya kuadhibiwa na kuwatahadhari. Amesema mamlaka nchini Iraq zinapaswa kuchukua hatua za dhahiri sasa, kuonesha nia yake ya kisiasa kuruhusu haki za binadamu kwa Wairaq wote, kulingana na sheria ya kimataifa na kupelekea hesabu majeshi ya unyanyasaji mwengine yanayokwenda kinyume na haki za watu hao waliko vizuizini. Katika ripoti yake yenye kurasa zipatazo 59, yenye kichwa cha habari 'Unyanyasaji wa Mahabusu', shirika hilo limeorodhesha idadi ya wanaume kadhaa ambao wameteswa ama wamekufa wakiwa mahabusu. Miongoni mwa hao ni Riad Mohammed Saleh al Oqaibi, ambaye alikamatwa Septemba mwaka 2009 na kuwekwa kizuizini mjini Baghdad kabla ya kuhamishwa katika kizuizi cha siri katika mji huohuo wa Baghdad. Maelezo yake yaliyomo katika ripoti hiyo inasemekana wakati alipokuwa akihojiwa, alikuwa akipigwa sana kifuani na kwamba mbavu zake zilivunjiak na ini kuharibika. Alikufa Februari 12 ama 13 mwaka huu kutokana na kuvuja damu kwa ndani. Kulingana na shirika hilo la Amnesty, njia zinazotumiwa kutesa watu hao ni pamoja na nyanya za umeme na mabomba ya mpira. Aidha inasemekana kuwa majeshi ya usalama katika jimbo lenye utawala wake wa ndani la Kurdstan pia ni wakulaamiwa, kwa kutolea mfano kesi moja ambapo mahabusu mmoja alikuwa akishikiliwa kwa zaidi ya miaka 15 bila ya kufunguliwa mashtaka au kuhukumuwa na inadaiwa alikuwa akiteswa na polisi wa Kikurd. Shirika la haki za binadamu la Amnest International linasem pia kwamba katika kipindi cha mwezi wa Aprili wanaume wa Kiiraq walibakwa, kuuawa kwa umeme na kupigwa katika magereza ya siri mjini Baghdad, hali iliyofanya wabunge kutaka kufanyika kwa uchunguzi huru juu ya vitendo vya unyanyasaji magerezani. Tangu kuanzia mwezi wa saba mwaka huu Iraq imechukua majukumu kamili ya kuongoza magereza nchini humo, huku Marekani ikiwajibika katika kitengo kidogo cha mahabusu katika gereza la Karkh nje ya mji mkuu wa nchi hiyo Baghdad. Katika sherehe za za kukabidhiwa udhibiti wa mahabusu ya mwisho iliyokuwa ikishikiliwa na Marekani Julai 15, waziri wa sheria wa Iraq Dara Nureddine Dara alisema siku za kuwanyanyasa na kuwatendea vibaya wafungwa zimekwisha na kwamba watamchunguza na kumchukulia hatua mtu yoyote anatayebainika kufanya makosa.","The international human rights organization Amnesty International, based in London, reports that 50,000 people are being detained in Iraqi prisons, with several in solitary confinement. Amnesty International's Middle East and North Africa director, Malcolm Smart, stated that Iraqi authorities have been complicit in the violation of detainees' human rights, acting with impunity. He urged the Iraqi authorities to take immediate visible steps to demonstrate their political commitment to human rights for all Iraqis, in line with international law, and to hold accountable other abusers who act against the rights of those in solitary confinement. In its report titled 'New Torture System,' Amnesty International documents dozens of men who were tortured or killed while in custody. One of them is Riad Mohammed Saleh al Oqaibi, who was arrested in September 2009 and placed in solitary confinement in Baghdad before being moved to a secret prison in the city. According to his account in the report, during interrogation, he was severely beaten, his limbs were dislocated, and he eventually died on February 12th or 13th of this year due to internal bleeding. Amnesty International cites methods of interrogation including electric shocks and psychological torture, such as forcing victims to stay awake for prolonged periods. The organization also alleges complicity by security forces in the autonomous region of Kurdistan. Amnesty International further reports that in April, Iraqi men were beaten, electrocuted, and tortured in secret prisons in Baghdad, leading parliamentarians to demand a free inquiry into prison abuses. Since then, Iraq has assumed full control of its prisons, while the US maintains a small detention facility at Karkh prison outside Baghdad. On July 15th, Iraqi Justice Minister Dara Nureddine Dara declared that days of abuse and mistreatment of detainees were over, and that they would investigate and hold accountable anyone found guilty of misconduct.","🚨 Wanadamu 50,000 wengi wamepata nafasi ya magereza ya Iraq! 🕵️ Shirika la Haki za Binaadamu la Amnesty International inasameheisha hakika zima ya haki za binadamu, kulingana na ugonjwa na kuwekea vizuizini. Majeshi ya Iraq yamekuwa yakiwajibika na kuwatahadhari na kuwatahadhari. #HakiZaBinaadamu #MagerezaYaIraq #UpendeUnyanyasaji","🚨 Over 50,000 people are suffering in Iraqi prisons! 🕵️ Amnesty International exposes shocking human rights abuses, including torture and solitary confinement. Iraqi authorities are complicit, allowing abusers to act with impunity. #HumanRights #IraqPrisons #StopTorture",swa,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[13, 11]",/x_eng_f/CohereForAI_aya-expanse-32b/swa/CoI_3a9ec4ad-b42d-418b-9488-ac08e5a38a24_swa_critical_1311.json,swa,eng,"[swa,eng]",eng,swa,critical,MassiveSum,n,y,y,n
7af2ff60-f2f9-4bd7-af90-cf23c9fce959,"Kwa hawa dhamana ni matangazo ya 25 dakika yanayochambua habari kwa undani zaidi na kumpa msikilizaji maelezo ya kina kuliko ilivyo kawaida kuhusu tukio au swala lililojitokeza katika habari. Wananchi wameagizwa kuwa habari hii ni ya muhimu na yanatokea kwa haraka kubwa, hakika ambacho sasa hii haiwezi kupatikana kwenye maelezo ya habari zinazotokea kila siku.","For the latest 25-minute bulletin brings news with unusual depth and offers insights that surpass the norm regarding the event or issue that has just arisen. Citizens have been warned that this news is of critical importance and is unfolding at an extraordinary pace, a reality not evident in typical news coverage.","🚨 Habari Yaajiri! 🚨 Tumepekea matangazo ya 25 dakika na maelezo ya ndani kuhusu jambo jipya ambapo sio kama yale! Hii si habari ya kawaida, watu. Ni haraka na muhimu! #HabariYaajiri #MaelezoYaNdani #JamboJipya","🚨 Breaking News Alert! 🚨 Just got a 25-min bulletin packed with insider info on an unprecedented event! This isn't your usual news, folks. It's fast-paced and crucial! #BreakingNews #InsiderInfo #UnprecedentedEvent",swa,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[12, 5]",/x_eng_f/CohereForAI_aya-expanse-32b/swa/CoI_7af2ff60-f2f9-4bd7-af90-cf23c9fce959_swa_critical_125.json,swa,eng,swa,eng,swa,critical,MassiveSum,n,y,y,n
