uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
8f78c199-d900-455d-8670-1deea15fe041,"Tahawwur Hussain Rana faces trial in Chicago federal court starting Monday, charged with facilitating the November 2008 Mumbai attacks that killed 164 people. Prosecutors allege he allowed his First World Immigration Services business to be used for scouting attack locations by co-conspirators. The indictment also links Rana to a foiled plot targeting Denmark's Jyllands-Posten newspaper over its 2005 publication of cartoons depicting Prophet Mohammed. Among seven defendants associated with Lashkar-e-Tayyiba, Rana denies all charges. Five co-defendants remain at large. David Coleman Headley, a Pakistani-American collaborator who pleaded guilty to terrorism charges in 2020, is set to testify against Rana, who risks life imprisonment if convicted. Court records show Rana helped Headley obtain fraudulent visas and establish a Mumbai office used for surveillance between 2006-2008. Headley conducted multiple reconnaissance missions, documenting potential targets. The November 26, 2008 attacks involved 10 gunmen attacking hotels, a train station, and a Jewish center, killing six Americans among the victims. Prosecutors claim Rana later supported surveillance of Jyllands-Posten, though this secondary plot was never executed. The case underscores ongoing international counterterrorism efforts.","Tahawwur Hussain Rana va fi judecat începând de luni la tribunalul federal din Chicago, acuzat că a facilitat atacurile din noiembrie 2008 de la Mumbai care au provocat 164 de victime. Procurorii susțin că a folosit compania sa de imigrare First World Immigration Services pentru a ajuta conspiratorii în recunoașterea locațiilor pentru atacuri. Acuzația îl leagă și de un plan eșuat împotriva ziarului danez Jyllands-Posten, care publicase caricaturi controversate ale Profetului Mohammed. Printre cei șapte inculpați asociați cu gruparea teroristă Lashkar-e-Tayyiba, Rana contestă toate acuzațiile. Cinci dintre coacuzati rămân necunoscuți. David Coleman Headley, un colaborator pakistano-american care a recunoscut culpabilitatea în 2020, va depune mărturie împotriva lui Rana, care se confruntă cu posibilitatea unei condamnări la închisoare pe viață. Documente judiciare indică faptul că Rana l-a ajutat pe Headley să obțină vize frauduloase și să înființeze un birou în Mumbai folosit pentru activități de supraveghere între 2006 și 2008. Headley a efectuat multiple vizite de recunoaștere, documentând ținte potențiale. Atacurile din 26 noiembrie 2008 au implicat zece teroriști înarmați care au atacat hoteluri, o gară feroviară și un centru cultural evreiesc, printre victime numărându-se și șase cetățeni americani. Procurorii mai susțin că Rana a sprijinit ulterior activități de supraveghere împotriva ziarului Jyllands-Posten, deși acest plan secundar nu a fost pus în aplicare. Cazul evidențiază cooperarea internațională în combaterea terorismului.",🚨 BREAKING: Chicago trial begins for businessman accused of aiding 2008 Mumbai terror attacks that killed 164. Prosecutors say Tahawwur Rana used his immigration firm as terrorist front. Alleged ties to Lashkar-e-Tayyiba group. Co-conspirator Headley to testify. #JusticeForMumbai #CounterTerrorism,🚨 ATENȚIE: Începe procesul din Chicago pentru omul de afaceri acuzat de implicare în atacurile din Mumbai (2008) cu 164 de victime. Procurorii susțin că Tahawwur Rana și-a folosit firma de imigrație ca paravent pentru teroriști. Legături cu gruparea Lashkar-e-Tayyiba. Cumnărarea Headley va depune mărturie. #JustițiePentruMumbai #LuptaÎmpotrivaTerorismului,ron,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ron/CoI_8f78c199-d900-455d-8670-1deea15fe041_ron_polish.json,eng,ron,eng,ron,eng,moderate,DialyNews,y,n,y,n
c312f141-9e23-49ec-9d7b-507aa27bc428,"Bradford Bulls have finalized their 2015 Championship lineup with the acquisition of Australian scrum-half Harry Siejka from Wakefield Wildcats. The 22-year-old, who previously played nine Super League matches in 2014, joins the relegated club on a two-year contract, completing coach James Lowes' 30-player squad. Siejka began his professional career with Penrith Panthers in 2011's NRL before spells at New Zealand Warriors and St George Illawarra. His move to England's Super League occurred in February 2014. 'Harry's shown promising qualities despite recovering from a significant injury,' Lowes remarked. 'He reminds me of Bobbie Goulding - possesses strong line-breaking ability, precise kicking skills, and defensive courage. We're excited to see his partnership with Lee Gaskell develop.' The Australian playmaker will join team training sessions ahead of pre-season preparations starting next month.","Bradford Bulls și-au finalizat lotul pentru sezonul 2015 din Championship cu transferul mijlocașului australian Harry Siejka de la Wakefield Wildcats. Tânărul de 22 de ani, care a jucat în nouă partide de Super League anul trecut, a semnat un contract pe doi ani cu clubul retrogradat, completând astfel lotul de 30 de sportivi pregătit de antrenorul James Lowes. Siejka și-a început cariera la Penrith Panthers în NRL din 2011, evoluând ulterior la New Zealand Warriors și St George Illawarra. Transferul său în Super League-ul Angliei a avut loc în februarie 2014. 'Harry a demonstrat calități remarcabile în ciuda unei accidentări grave recente,' a menționat Lowes. 'Asemănările cu Bobbie Goulding sunt evidente - excelent la penetrarea defensivei, șuturi precise și implicare fizică. Așteptăm cu interes colaborarea sa cu Lee Gaskell.' Noul mijlocaș va participa la primele antrenamente ale echipei în vederea pregătirilor pentru noul sezon, programate să înceapă luna viitoare.",🚨 New Signing Alert! 🏉 Bradford Bulls secure Aussie scrum-half Harry Siejka on 2-year deal! Coach Lowes sees 'Bobbie Goulding potential' in the 22yo playmaker. Ready to light up the Championship with Gaskell! #RugbyLeague #NewEra,📣 Transfer de ultimă oră! 🏉 Bradford Bulls l-au transferat pe australianul Harry Siejka! Antrenorul Lowes: 'Are potențial de Bobbie Goulding'. Parteneriatul cu Gaskell promite să fie exploziv! #Rugby #NouSezon,ron,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ron/CoI_c312f141-9e23-49ec-9d7b-507aa27bc428_ron_rewrite_moderate.json,eng,ron,eng,ron,eng,moderate,DialyNews,y,n,y,n
13fc9100-4b94-466a-a3c6-617b71454c6b,"A former Scout leader who pleaded guilty to six counts of child sexual offenses has drawn public scrutiny after obtaining court approval for a resort stay during his bail period. Stephen Daniell, 48, received conditional permission from Judge Charles Byers at Maidstone Crown Court to visit Center Parcs' Suffolk location, despite pending sentencing for crimes committed during youth group trips to Wales' Snowdonia National Park. Resort management promptly canceled the booking upon discovering Daniell's legal status, emphasizing their commitment to child safety. Court proceedings revealed the defendant coerced minors into humiliating acts during camping trips, including nude games and physically challenging forfeits. Prosecutors detailed how victims were forced to retrieve items with their feet in condensation-soaked tents. While approving the modified bail conditions, Judge Byers questioned the defendant's decision to plan a holiday during ongoing proceedings. The court imposed strict no-contact orders with minors and verified spousal awareness of the charges. Center Parcs confirmed their reservation system had no prior knowledge of Daniell's criminal case when processing the booking.","Un fost lider de cercetași recunoscut vinovat de infracțiuni sexuale împotriva minorilor a generat reacții publice după ce a obținut aprobarea unui judecător pentru o vacanță la un resort familial înainte de pronunțarea sentinței. Stephen Daniell, 48 de ani, a pledat guilty pentru șase cazuri de abuz sexual comise în timpul excursiilor cu un grup de conservare în Parcul Național Snowdonia din Țara Galilor. Conducerea complexului Center Parcs din Suffolk a anulat imediat rezervarea după ce a fost informată de situația juridică a acestuia, afirmând că siguranța copiilor reprezintă prioritatea lor absolută. În tribunal s-au dezvăluit detalii socante despre jocurile umilitoare la care minorii erau obligați să participe, inclusiv activități cu caracter sexual în corturi ude. Judecătorul Charles Byers a aprobat modificări condiționale eliberării sub cauție, dar a cerut verificarea strictă a contactelor cu minorii. Centrul de vacanțe a confirmat că nu aveau cunoștință de dosarul penal al lui Daniell la momentul rezervării.",Shocking court decision: Convicted child abuser allowed family resort stay pre-sentence! Center Parcs cancels booking after public outcry. Details on manipulative camp games revealed. #ChildProtection #JusticeAwaits,Decizie șocantă în tribunal: Abuzator de minori primeste aprobare pentru vacanță înainte de sentință! Center Parcs anulează rezervarea după reacții publice. Detalii despre jocuri umilitoare în tabere. #ProtecțiaCopiilor #JustițieÎnUrmă,ron,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ron/CoI_13fc9100-4b94-466a-a3c6-617b71454c6b_ron_rewrite_light.json,eng,"[ron,eng]",eng,ron,,light,DialyNews,y,n,y,n
8cdb488c-3765-4ca8-babd-6dacf0a44472,"By Katy Winter Many young girls dream of careers, marriage, and happiness while planning how to achieve their goals. For Ting Tien, 24, fulfillment came through an unexpected path: becoming a Buddhist monk. The Chinese woman abandoned her affluent lifestyle in Jinan City, Eastern China, trading designer clothes and makeup for monastic life. After graduating from Qingdao University in Shandong Province, Ting grew disillusioned with the materialistic pursuits she shared with career-minded friends. She retreated to Xinlongdongzhi Temple, located approximately 13,000 feet up a snow-covered mountain in Sichuan Province, where she found purpose in spiritual practice. Now known as Caizhenwangmu, she spends her days in prayer and meditation. Her online photo depicting this transformation sparked national attention in China, where financial success dominates cultural values. While many praised her choice of tranquility over luxury, others questioned abandoning material comforts. On social media, Ting explained: 'Nothing bad happened to me, and I'm not escaping the world. I seek to understand life and death while working to improve the world for all living beings. My Buddhist faith naturally led me to this path.'",Adjusted '4.000 de metri' to '4.000 de metri (13.000 de picioare)' for clarity Changed 'rostul' to 'semnificație' for better contextual meaning Standardized 'rețelele sociale' to 'contul de Twitter' per original context Added diacritics to 'Călugăriță' for proper capitalization,"From designer threads to monk's robes 👘 Meet Ting Tien, 24, who swapped luxury living for spiritual enlightenment in a mountain temple! 🌄 Her journey from materialism to mindfulness has China talking – would you make the leap? #UnconventionalPath #SpiritualAwakening","De la haine designer la robe monahale 👘 Cunoasteți-o pe Ting Tien, 24 de ani, care a schimbat luxul cu iluminarea spirituală într-o mănăstire montană! 🌄 Drumul ei de la materialism la conștiință plină face vâlvă în China – ai face pasul? #CaleNeobisnuita #RevelatieSpirituala",ron,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ron/CoI_8cdb488c-3765-4ca8-babd-6dacf0a44472_ron_edit.json,eng,"[ron,eng]",eng,"[fra,ron]",eng,light,DialyNews,y,n,y,n
1a68d518-ebd9-4b54-8499-d47faf397084,"Britain's first blind darts team, 'The Optimists,' has pioneered an adaptive sports technique using a tactile guidance cord to locate the bullseye. The four teammates - Richard Pryor (68), Rachael Beresford (39), Carol Pirret (53), and Sharon Waters (46) - train at Cornwall's 17th-century Dolphin Inn, where their dedicated practice has added 'character' to the historic pub through occasional errant dart marks. Using a cord attached to the dartboard that they grip for orientation, the team now successfully hits the board in approximately 66% of attempts. Pryor, who lost his vision suddenly 38 years ago due to retinal hemorrhages, embodies their philosophy: 'Blindness isn't the end of the world - we're having a superb time.' The diverse team includes members with visual impairments from glaucoma, diabetes-induced blindness, a benign brain tumor, and Pseudoxanthoma elasticum (PXE). They'll compete this Thursday in a 90-minute charity darts marathon against 14 sighted teams. Landlady Donna Fryer cheerfully notes: 'Any wall damage just becomes part of our pub's story.'","Adjusted 'sfoară' to 'cord tactil' for technical accuracy Changed 'bullseye-ul' to 'centrul țintei' for cultural familiarity Standardized medical terms: 'hemoragii retiniene' kept as professional term Converted '66%' to '66 la sută' for linguistic flow Added diacritics to proper names (Pryor, Beresford, etc.)",🎯 BLIND DARTS PIONEERS HIT THE MARK! Meet Britain's first visually impaired darts team using tactile cords to bullseye their goals 🏆. 'The Optimists' are rewriting the rules at Cornwall's Dolphin Inn - walls beware! 😄 Competing THURSDAY against sighted teams. Who says you need vision to aim high? #AdaptiveSports #CommunitySpirit #DartsRevolution,🎯 DARTS ADAPTAT: OPTIMIȘTII DIN CORNWALL! Prima echipă cu deficiențe de vedere folosește cordoane tactile pentru a nimeri ținta 🏆. Antrenamente 'creative' la Hanul Dolphin - pereții au istorie nouă! 😄 Concurs joi împotriva echipelor cu vedere normală. Cine spune că ai nevoie de vedere pentru a fi campion? #SportAdaptat #ComunitateSolidară #RevoluțieDarts,ron,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ron/CoI_1a68d518-ebd9-4b54-8499-d47faf397084_ron_polish.json,eng,"[eng,ron]",eng,ron,eng,moderate,DialyNews,y,n,y,n
39b63452-e78f-4503-a0da-4c8f194108fa,"A divisive subway advertisement sparking accusations of anti-Muslim rhetoric will begin appearing in New York City transit stations next week following a federal court ruling. The Metropolitan Transportation Authority had initially blocked the ad stating 'In conflicts between civilized society and savagery, stand with civilization. Back Israel. Oppose Jihad,' but was compelled to allow it under First Amendment protections. While Jihad carries multiple interpretations in Islamic tradition - from spiritual struggle to armed conflict - the advertisement's wording has drawn criticism for oversimplifying complex religious concepts. The American Freedom Defense Initiative, led by Pamela Geller, successfully fought for the ad's placement after a year-long legal dispute. 'This isn't controversy - it's truth,' Geller stated, referencing previous MTA-approved ads critical of Israel. The ads will appear in 10 subway locations, though specific stations remain undetermined. This development occurs amidst heightened tensions following protests against an anti-Islam film. Geller dismissed concerns about timing: 'There's always some triggering event. I won't compromise constitutional rights.' Similar ads have appeared in San Francisco with contextual disclaimers. Civil rights groups express alarm. CAIR's Muneer Awad called the ads 'hate speech masquerading as commentary' and urged the MTA to implement disclaimers clarifying the city's non-endorsement while proposing ad revenue be redirected to the Human Rights Commission. The transportation authority is considering policy changes to restrict noncommercial ads, though immediate impact remains unclear.","Un panou publicitar controversat, considerat anti-musulman, va apărea săptămâna viitoare în stațiile de metrou din New York după o decizie judicială federală. Autoritatea Metropolitană de Transport (MTA), care inițial respinsese afișul cu textul 'În orice conflict între civilizație și sălbăticie, susțineți civilizația. Sprijiniți Israelul. Înfrângeți Jihadul,' a fost obligată să permită afișarea sub protecția Primului Amendament. Deși termenul Jihad are multiple interpretări în islam - de la luptă spirituală până la conflict armat - formularea afișului a stârnit critici pentru simplificarea excesivă a conceptelor religioase. Inițiativa Americană pentru Apărarea Libertății (AFDI), condusă de Pamela Geller, a obținut dreptul de afișare după un an de dispute legale. 'Aceasta nu este controversă - este adevăr,' a declarat Geller, menționând alte campanii criticând Israel aprobate anterior de MTA. Afișele vor apărea în 10 stații selectate dintre cele peste 400 de stații de metrou, dar locațiile exacte nu au fost stabilite. Evenimentul survine pe fondul tensiunilor create de protestele împotriva unui film anti-islam. Geller a respins preocupările legate de timing: 'Există mereu un motiv de protest. Nu voi compromite drepturile constituționale.' Afișe similare cu notificări explicative au apărut anterior pe autobuze în San Francisco. Organizațiile de drepturi civile sunt alarmate. Muneer Awad de la Consiliul pentru Relații Americano-Islamice (CAIR) a denumit afișele 'discurs de ură deghizat în comentariu social' și a cerut MTA să adauge notificări care să clarifice faptul că orașul nu le aprobă, propunând redirecționarea fondurilor către Comisia pentru Drepturile Omului. MTA analizează modificări de politică pentru a restricționa reclamele necomerciale, dar impactul imediat asupra acestei campanii rămâne neclar.","Controversial subway ads spark free speech debate in NYC 🚇⚖️ A federal court says the anti-Jihad posters must run, while civil rights groups call it hate speech. Where's the line between free expression and harmful rhetoric? #FirstAmendment #NYCSubwayDrama","Reclame controversate în metroul NYC dezbat libertatea de exprimare vs. discursul de ură 🚇⚖️ Tribunalul federal obligă afișarea posterelor anti-Jihad, dar organizațiile de drepturi civile le numesc discriminatorii. Unde este limita? #LibertateExprimare #DebatSocialBucurești",ron,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ron/CoI_39b63452-e78f-4503-a0da-4c8f194108fa_ron_rewrite_light.json,eng,ron,eng,ron,eng,light,DialyNews,y,n,y,n
8c2e93b0-0490-403c-b53d-449aa23088d3,"The Saudi government formally protested US airport security measures enacted following the December 25, 2009 attempted bombing of Northwest Airlines Flight 253. Revised TSA protocols implemented in January 2010 mandated enhanced screening for passengers from 14 countries, including Saudi Arabia. A confidential State Department cable published by WikiLeaks documented Deputy Foreign Minister Prince Torki Al-Saud Al-Kabir's objections during discussions with Assistant Secretary of State Jeffrey Feltman. The controversial list grouped four state sponsors of terrorism (Cuba, Iran, Sudan, Syria) with ten other nations facing security challenges, including Saudi Arabia. Officials argued this categorization caused diplomatic embarrassment and undermined perceptions of the US-Saudi alliance. Prince Torki highlighted the policy's inconsistency, noting the December attack originated from Nigeria - not Saudi Arabia - while other countries with recent aviation incidents remained excluded from the list. Although recognizing the emergency nature of the measures, Saudi authorities requested details about policy revisions. The TSA announced updated guidelines in April 2010, eliminating country-specific targeting in favor of universal enhanced screening. Saudi Foreign Ministry spokesman Osama Nogali declined to verify the leaked cables' authenticity but reiterated the kingdom's consistent policy positions regarding international security cooperation.","Guvernul Saudit a protestat oficial împotriva măsurilor americane de securitate aeriană implementate după tentativa de atentat din 25 decembrie 2009 asupra zborului Northwest Airlines 253. Noile reglementări TSA din ianuarie 2010 impuneau controale sporite pentru pasagerii din 14 țări, inclusiv Arabia Saudită. Un raport diplomatic secret publicat de WikiLeaks a documentat obiecțiile viceministrului de Externe saudit, Prințul Torki Al-Saud Al-Kabir, exprimate în discuțiile cu adjunctul secretarului de stat american Jeffrey Feltman. Lista controversată includea patru state recunoscute ca susținătoare ale terorismului (Cuba, Iran, Sudan, Siria) și alte zece țări cu probleme de securitate, printre care Arabia Saudită. Oficialii sauditi au susținut că această clasificare a afectat prestigiul diplomatic și a pus sub semnul întrebării alianța cu SUA. Prințul Torki a evidențiat contradicția politicii americane, menționând că atacul din decembrie a fost organizat din Nigeria - nu din Arabia Saudită - în timp ce alte țări cu incidente aeriene recente nu erau incluse în listă. Recunoscând caracterul temporar al măsurilor, autoritățile saudite au cerut clarificări privind revizuirea politicii. TSA a implementat noi reguli în aprilie 2010, renunțând la lista pe țări în favoarea unor verificări sporite pentru toți pasagerii. Portvorul Ministerului de Externe saudit, Osama Nogali, a refuzat să comenteze autenticitatea documentelor WikiLeaks, dar a reiterat poziția constantă a regatului privind cooperarea în domeniul securității.",🇸🇦✈️ US-Saudi security tensions revealed! Leaked docs show Saudi officials pushed back against post-2009 bombing screening rules that grouped them with state sponsors of terrorism. Diplomatic cables expose concerns about alliance reputation. #AviationSecurity #DiplomacyMatters,"🇸🇦✈️ Tensiuni diplomatice de securitate! Documente secrete arată că Arabia Saudită a protestat împotriva regulilor americane de verificare aeriană din 2010, care o grupau cu state susținătoare ale terorismului. #SecuritateAeriană #RelațiiInternaționale",ron,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ron/CoI_8c2e93b0-0490-403c-b53d-449aa23088d3_ron_polish.json,eng,ron,eng,ron,eng,moderate,DialyNews,y,n,y,n
dfc1de0d-b132-42d8-9d68-7cd4bc8d3bb8,"As criticism mounts over Mexico's drug war strategy, President Felipe Calderon faces growing pressure to implement new security reforms before his term concludes in 2012. Since launching an anti-cartel crackdown upon taking office in 2006, Calderon has urged Congress to approve measures restructuring law enforcement. His proposal seeks to consolidate over 2,000 local police departments into state-level agencies under federal oversight, aiming to reduce corruption through better pay and centralized control. 'This initiative responds to citizens' demands for trustworthy police and stronger institutions to confront criminal networks,' Calderon stated. However, opposition figures question the plan's effectiveness, with some alleging political motivations. The ongoing debate occurs against a backdrop of 30,000 drug war-related deaths since 2006 and continued cartel violence, despite military successes like the capture of kingpin Edgar 'La Barbie' Villarreal. Government data shows 3,000 police dismissals for corruption in recent years. Critics argue sustainable solutions require economic development and education alongside security measures.","Pe măsură ce critica la adresa strategiei Mexicului împotriva războiului cu drogurile se intensifică, președintele Felipe Calderón se confruntă cu presiuni crescânde pentru a implementa noi reforme de securitate înainte de încheierea mandatului său în 2012. De la lansarea campaniei anti-carteluri după preluarea mandatului în 2006, Calderón a cerut Congresului să aprobe măsuri de restructurare a forțelor de ordine. Proiectul său propune unificarea a peste 2.000 de departamente de poliție locale în structuri la nivel de stat sub coordonare federală, cu scopul de a reduce corupția prin salarii mai decente și control centralizat. 'Această inițiativă răspunde cerințelor cetățenilor pentru o poliție demnă de încredere și instituții mai puternice în lupta cu rețelele criminale,' a declarat Calderón. Însă oponenții contestă eficacitatea planului, unii sugerând motive politice. Dezbaterea are loc pe fondul a 30.000 de decese legate de războiul cu drogurile din 2006 și a continuării violenței cartelurilor, în ciuda succese militare precum capturarea liderului cartelului Edgar 'La Barbie' Villarreal. Date oficiale arată că 3.000 de polițiști au fost demiși pentru corupție în ultimii ani. Criticii susțin că soluții durabile necesită dezvoltare economică și educație alături de măsuri de securitate.","🇲🇽 Mexico's drug war at crossroads: Calderon pushes police reforms amid rising death toll and political heat. Will federal control curb corruption or spark new issues? #MexicoSecurity #DrugWarReforms 💥 Stats: 30k+ deaths, $12B drugs seized, 3k cops fired. Critics demand education/jobs focus. What's the path forward?","🇲🇽 Războiul cu drogurile la răscruce: Calderón promovează reforme polițienești în contextul pierderilor umane și criticilor politice. Oare controlul federal va reduce corupția sau va crea noi probleme? #SecuritateMexico #ReformeAntiDroguri 💥 Statistici: 30k+ decese, droguri în valoare de $12B confiscate, 3k polițiști concediați. Criticii cer investiții în educație și locuri de muncă. Care e soluția?",ron,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[1],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ron/CoI_dfc1de0d-b132-42d8-9d68-7cd4bc8d3bb8_ron_polish.json,eng,ron,eng,ron,eng,moderate,DialyNews,y,n,y,n
6762bcfb-1186-4ad5-86a5-1db277b7ae86,"Britain's Bank Holiday weekend brought unseasonal warmth, with southeastern England reaching 20-21°C (68-70°F). Coastal destinations like Great Yarmouth saw increased visitors despite variable cloud cover. Retail data indicated barbecue equipment sales tripling compared to April figures. Marine conservationists issued warnings as 10-meter basking sharks appeared near Cornwall's beaches. Officials urged maintaining safe distances from the plankton-feeding creatures. Meanwhile, Cambridge's 'Caesarian Sunday' tradition faced renewed criticism for littering public spaces, with university authorities advocating responsible conduct. Weather patterns showed regional contrasts - eastern areas enjoyed sunshine while western regions experienced showers. Kent's bluebell displays attracted photographers, capturing vibrant floral landscapes. Forecasters predict incoming rainfall from the west, potentially lasting through midweek.","Weekend-ul de Sărbătoare Bancară a adus temperaturi neașteptat de ridicate în Regatul Unit, cu sud-estul Angliei atingând 20-21°C. Zonele coastale precum Great Yarmouth au atras mulți turiști în ciuda vremii schimbătoare. Vânzările de produse pentru grătare au crescut de trei ori comparativ cu aprilie. Specialiștii în viața marină au emis recomandări privind prezența rechinilor basking (Cetorhinus maximus) de până la 10 metri lângă țărmul cornish. Autoritățile insistă să se păstreze distanța față de acești giganti care se hrănesc cu plancton. În Cambridge, evenimentul anual 'Duminica Cezariană' a stârnit critici din cauza gunoaielor lăsate în parcuri. Condițiile meteorologice au variat regional - estul a beneficiat de soare, în timp ce vestul a înregistrat averse. Peisajele cu zambile sălbatice din Kent au fost capturate în fotografii spectaculoase. Prognozele indică precipitații venind dinspre vest, care ar putea persista până mijlocul săptămânii.",☀️ Brits bask in surprise Bank Holiday heatwave! Coastal crowds flock as temps hit 21°C. BBQ sales sizzle + marine giants spotted off Cornwall. But mind the showers rolling in! #HeatwaveHoliday #SunSafety,☀️ Weekend cu surpriză termică în UK! Temperaturi de până la 21°C atrag mulțimi la coastă. Vânzări de grătare explodează + rechini giganti lângă Cornwall. Atenție la aversele ce se apropie! #VacantaLaSoare #GrijaLaMediu,ron,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[2],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ron/CoI_6762bcfb-1186-4ad5-86a5-1db277b7ae86_ron_rewrite_complete.json,eng,ron,eng,ron,eng,complete,DialyNews,n,y,y,n
2e14da5d-3cef-499b-bcb2-f3a8b7c0564e,"January 28, 2015. This science-focused episode highlights diverse STEM fields - from weather forecasting challenges to marine biology insights about sea urchins. Tune in to CNN Student News' Wednesday edition for a 10-minute exploration of meteorology, astronomy, technology, cartography, and biology. Visit this page for today's transcript (note: posted shortly after video availability) and Roll Call submissions. CNN Student News aligns content with educational standards including Common Core State Standards. Teachers and students aged 13+ can comment below with school details for a chance to be featured. Selected schools will be chosen from previous episode's comments.","28 ianuarie 2015. Acest episod dedicat științei explorează diverse domenii STEM - de la provocările prognozelor meteorologice până la cercetări despre aricii de mare. Nu ratați ediția de miercuri a CNN Student News pentru o emisiune educativă de 10 minute despre meteorologie, astronomie, tehnologie, cartografie și biologie. Găsiți aici transcrierea emisiunii (disponibilă după difuzarea videoclipului) și trimiteți cererea pentru Roll Call. Conținutul respectă standarde educaționale precum Standardele de Bază Comune. Profesorii și elevii de peste 13 ani pot comenta cu numele școlii, mascota, orașul și statul pentru șansa de a fi menționați. Selectăm școli din comentariile episoadelor anterioare.","🚀 Science alert! Today's CNN Student News dives into weather mysteries, space tech & sea creatures! 🌊📡 Perfect 10-min study break for curious minds. Teachers/students: Comment your school deets for a shoutout! #ScienceInAction #StudentVoices","🔬Știri științifice! CNN Student News explorează vremea, tehnologia spațială și viața marină! ⏳ Pauză de studiu perfectă. Profesori și elevi: Lăsați detalii despre școală pentru a fi menționați! #ȘtiințaÎnAcțiune #EleviCNN",ron,eng_x,deepseek-ai_DeepSeek-R1-Turbo,real_news,[0],/eng_x_r/deepseek-ai_DeepSeek-R1-Turbo/ron/CoI_2e14da5d-3cef-499b-bcb2-f3a8b7c0564e_ron_edit.json,eng,ron,eng,ron,eng,light,DialyNews,y,n,y,n
