uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
197eb463-542b-4cfc-bcb6-0adce74d84a0,"Leonard Nimoy, the actor best known for portraying Mr. Spock in 'Star Trek', was hospitalized last week due to severe chest pains. His fans and friends showed their support by sending well wishes through social media. On Monday, a message was posted on his Twitter account reflecting on life. In 2014, Nimoy announced he had chronic obstructive pulmonary disease, which he developed 30 years after stopping smoking.","Leonard Nimoy, die akteur wat veral bekend is vir sy rol as Mr. Spock in 'Star Trek', is onlangs in die hospitaal opgeneem met ernstige borspyn. Sy vriende en aanhangers het hulpe deurde toe om hom goe voorspoed te wens. Op Maandag is 'n boodskap op sy amptlike Twitter-rekening gepubliseer met 'n refleksie oor die lewe. In 2014 het Nimoy aangekondig dat hy 'n chroniese obstruktiewe pulmonale siekte het, wat hy 30 jaar na die stop van rook ontwikkel het.",Wishing #LeonardNimoy a speedy recovery! The #StarTrek legend was hospitalized but remains strong in spirit. #GetWellSoon #MrSpock,"Wense #LeonardNimoy 'n vinnige herstel! Die #StarTrek-legende is gehospitaliseer, maar bly in gees aan. #SonderOns",afr,eng_x,meta-llama_Llama-3.3-70B-Instruct,real_news,[2],/eng_x_r/meta-llama_Llama-3.3-70B-Instruct/afr/CoI_197eb463-542b-4cfc-bcb6-0adce74d84a0_afr_rewrite_moderate.json,eng,afr,eng,"[afr,eng]",eng,moderate,DialyNews,y,n,y,n
7cc405ba-7cef-4b14-b09b-d4f9aaae86d3,"Mariette Loubser is 'n nuweling in die Afrikaanse skerpskertsmark en het reeds 'n indrukwekkende 50 vertonings van haar eerste stuk, Wanneer trou jy?, binne slegs 6 maande opgevoer. As 'n Christen glo sy dat haar geloof haar krag en inspirasie gee om mense te laat lag en hulle te lei op 'n pad van hoop en liefde. Haar nuwe vertoning, Toeris Toeris, is 'n absolute must-see!","Mariette Loubser is a rising star in the Afrikaans stand-up comedy scene, having already performed a remarkable 50 shows of her debut production, Wanneer trou jy?, in just 6 months. As a devout Christian, she credits her faith with giving her the strength and inspiration to bring joy and guidance to her audience. Don't miss her brand-new show, Toeris Toeris - it's an absolute must-see!","Maak gereed om saam met Mariette Loubser se nuwe vertoning, Toeris Toeris, te lag! Hierdie opkomende ster van Afrikaanse stand-up-komedie het reeds 50 vertonings in slegs 6 maande opgevoer! #ToerisToeris #MarietteLoubser #AfrikaanseKomedie","Get ready to LOL with Mariette Loubser's brand-new show, Toeris Toeris! This rising star of Afrikaans stand-up comedy has already performed 50 shows in just 6 months! #ToerisToeris #MarietteLoubser #AfrikaansComedy",afr,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[15, 16]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/afr/CoI_7cc405ba-7cef-4b14-b09b-d4f9aaae86d3_afr_critical_1516.json,afr,"[eng,afr]",afr,"[eng,afr]","[afr,eng,nld,deu]",critical,MassiveSum,n,y,y,n
d7aea590-07fa-4019-a713-d2e746127dce,"Die voormalige slot vir Transvaal en Noord-Transvaal, Barend Britz, is tragies dood ná hy Donderdagaand by sy kroeg in Perpignan, Frankryk, aangeval is deur 'n gewelddadige aanvaller wat reeds vantevore vir verskeie misdade aangekla is. Volgens ooggetuies het die aanvaller Britz verskeie kere oor die kop geslaan voor hy deur die polisie in hegtenis geneem is.","Former Transvaal and Northern Transvaal rugby player Barend Britz has tragically died after being attacked at his bar in Perpignan, France, by a violent assailant with a history of convictions. According to eyewitnesses, the attacker struck Britz several times over the head before being apprehended by police.",RIP Barend Britz Voormalige Transvaal & Noord-Transvaal rugbyspeler tragies vermoor in Frankryk ná aanval by sy kroeg #BarendBritz #Rugby #Frankryk,RIP Barend Britz Former Transvaal & Northern Transvaal rugby player tragically killed in France after being attacked at his bar #BarendBritz #Rugby #France,afr,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[5, 7]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/afr/CoI_d7aea590-07fa-4019-a713-d2e746127dce_afr_medium_57.json,afr,eng,"[afr,nld]",eng,afr,medium,MassiveSum,y,n,y,n
361a8d50-aed8-465c-b734-619936a6d6c0,"Die polisie, lede van ŉ privaat veiligheidsmaatskappy en plaaslike inwoners is steeds op die spoor van die aanvallers wat Maandag ŉ gesin in die vroeë oggendure in hul huis op ŉ plaas in die Agatha-gebied buite Tzaneen in Limpopo oorval het, en glo het hulle ŉ groot som geld en waardevolle items gesteel. Maroela Media het vroeër berig dat Greg Wilson (34) vanoggend geopereer is nadat hy tydens die aanval met ŉ klip oor die kop geslaan is, en dat hy tans in ŉ kritieke toestand verkeer.","The police, members of a private security company, and local residents are still searching for the attackers who attacked a family on Monday in the early hours of the morning at their home on a farm in the Agatha area outside Tzaneen in Limpopo. The attackers allegedly stole a large sum of money and valuable items. Maroela Media earlier reported that Greg Wilson (34) underwent surgery this morning after being hit on the head with a rock during the attack, and that he is currently in a critical condition.",BREEKNUUS: Gesin aangeval op plaas in Limpopo! Polisie soek na aanvallers wat groot som geld en waardevolle items gesteel het. Greg Wilson (34) is in 'n kritieke toestand nadat hy met 'n klip oor die kop geslaan is. #Limpopo #Plaasaanval #SuidAfrika,BREAKING: Family attacked on farm in Limpopo! Police are searching for the attackers who stole a large sum of money and valuable items. Greg Wilson (34) is in critical condition after being hit on the head with a rock. #Limpopo #FarmAttack #SouthAfrica,afr,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[35, 34]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/afr/CoI_361a8d50-aed8-465c-b734-619936a6d6c0_afr_minor_3534.json,afr,eng,afr,eng,afr,minor,MassiveSum,y,n,y,n
4532c565-f9a0-4e80-bf2e-b6dcbac77b66,"Die teenmisdaadorganisasie, Corruption Watch, het ŉ beroep op Suid-Afrikaners gedoen om die volgende Openbare Beskermer te help kies, want Thuli Madonsela se termyn is amper verby en sy het gefaal om die publiek doeltreffend te beskerm. Corruption Watch het sy Bua Mzansi-veldtog van stapel gestuur om bewusmaking te skep van die rol van die Openbare Beskermer en die publiek aan te moedig om betrokke te raak by die aanstelling van die nuwe persoon in die amp. David Lewis, uitvoerende direkteur van Corruption Watch, het gesê die meeste mense is nie daarvan bewus dat die publiek ŉ sê het in die aanstelling van die OB nie.","The anti-crime organization, Corruption Watch, has called on South Africans to help choose the next Public Protector, as Thuli Madonsela's term is coming to an end and she has been ineffective in protecting the public. Corruption Watch launched its Bua Mzansi campaign to raise awareness about the role of the Public Protector and to encourage public participation in the appointment of the new Public Protector. David Lewis, executive director of Corruption Watch, noted that many people are unaware that the public has a role to play in the appointment of the Public Protector.",Help om die volgende Openbare Beskermer te kies! Corruption Watch lanceer veldtog om bewusmaking te skep oor die rol van die Openbare Beskermer en om publieke deelname in die aanstellingsproses aan te moedig. #OpenbareBeskermer #KorrupsieWag #SuidAfrika,Help choose the next Public Protector! Corruption Watch launches campaign to raise awareness about the role of the Public Protector and encourage public participation in the appointment process. #PublicProtector #CorruptionWatch #SouthAfrica,afr,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[34, 20]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/afr/CoI_4532c565-f9a0-4e80-bf2e-b6dcbac77b66_afr_critical_3420.json,afr,eng,afr,eng,afr,critical,MassiveSum,n,y,y,n
2435a2bd-9e2c-445f-91c0-badbed908d27,"Die Suid-Afrikaanse Lugmag word ingespan om brandbestryders, wat tot die uiterste gerek is om minstens 25 veldbrande oor die Wes-Kaap heen te bestry, by te staan. Anton Bredell, Wes-Kaapse minister van plaaslike regering, omgewingsake en ontwikkelingsbeplanning, het Dinsdag in ŉ verklaring gesê die brand in die Paarl-omgewing is buite beheer en word deur sterk winde aangeblaas. Hy het gesê twee groot strukture is Dinsdagoggend verwoes en eiendomme in die omgewing was in gevaar. Die lugmag se Oryx-helikopters is groter en kan meer water vervoer as die noodhelikopters wat ons gewoonlik gebruik.","The South African Air Force has been deployed to assist firefighters who are stretched to the limit to combat at least 25 wildfires across the Western Cape. Anton Bredell, Western Cape Minister of Local Government, Environmental Affairs and Development Planning, stated on Tuesday that the fire in the Paarl area is out of control and is being fueled by strong winds. Two large structures were destroyed on Tuesday morning, and properties in the area were in danger. The air force's Oryx helicopters are larger and can carry more water than the emergency helicopters typically used.",BREEKNUUS: Wes-Kaapse veldbrande woed buite beheer! Die Suid-Afrikaanse Lugmag is ontplooi om brandbestryders by te staan. Deel jou gedagtes en bly veilig! #WesKaapBrand #SuidAfrikaanseLugmag,BREAKING: Western Cape wildfires rage out of control! The South African Air Force has been deployed to assist firefighters. Share your thoughts and stay safe! #WesternCapeFires #SouthAfricanAirForce,afr,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[21, 7]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/afr/CoI_2435a2bd-9e2c-445f-91c0-badbed908d27_afr_minor_217.json,afr,eng,afr,eng,afr,minor,MassiveSum,y,n,y,n
d273ae62-c72f-4b52-9127-01dfb14e648a,"Navorsers het onlangs 'n skokkende ontdekking gemaak oor die oudste dokumentêre bewys van geknoeiery met sportuitslae. 'n Kontrak tussen die ouers van twee seuns wat aan 'n prestige stoeitoernooi in Egipte deelgeneem het, is ontsyfer en wys dat een van die seuns betaal is om te verloor. Hierdie dokument, wat dateer uit die jaar 267 na Christus, is 'n skokkende voorbeeld van hoe sportuitslae reeds eeue lank geknoei word.","Researchers have made a shocking discovery about the oldest documented evidence of match-fixing in sports. A contract between the parents of two boys who competed in a prestigious wrestling tournament in Egypt has been decoded, revealing that one of the boys was bribed to lose. This ancient document, dating back to 267 AD, is a stunning example of how sports results have been manipulated for centuries.",Wistu dat die oudste bewys van geknoeiery in sport terugdateer tot 267 na Christus? Navorsers het 'n kontrak ontdek waar 'n ouer hulle kind betaal het om 'n stoeiwedstryd te verloor! #GeknoeieryInSport #SportGeskiedenis #AntiekeSkandale,Did you know that the oldest evidence of match-fixing in sports dates back to 267 AD? Researchers discovered a contract where a parent paid their child to lose a wrestling match! #MatchFixing #SportsHistory #AncientScandals,afr,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[7, 11]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/afr/CoI_d273ae62-c72f-4b52-9127-01dfb14e648a_afr_medium_711.json,afr,eng,afr,eng,afr,medium,MassiveSum,y,n,y,n
db236ede-9257-4fee-96e0-ab1de68fc5bf,"Mark Barnes, die uitvoerende hoof van die Poskantoor, het 'n dringende beroep op vakbonde gedoen om nie volgende week te staak nie, aangesien die gevolge rampspoedig kan wees. Hy het belowe om saam met werknemers te werk om die finansiële uitdagings te oorkom en 'n beter toekoms te skep. Die Poskantoor het reeds 'n aanvraag van R3,4 miljard ingedien om die finansiële uitdagings te oorbrug. Die vakbonde se eise, insluitend salarisverhogings en beter werksomstandighede, sal in ag geneem word tydens die onderhandelings.","Mark Barnes, the CEO of the South African Post Office, has made an urgent appeal to unions not to strike next week, as the consequences could be disastrous. He has promised to work with employees to overcome the financial challenges and create a better future. The Post Office has already applied for R3.4 billion to address the financial difficulties. The union's demands, including salary increases and better working conditions, will be considered during the negotiations.","BREAKING: Mark Barnes, uitvoerende hoof van die Suid-Afrikaanse Poskantoor, vra vakbonde om nie volgende week te staak nie. Die gevolge kan rampspoedig wees! Kom ons werk saam om die finansiële uitdagings te oorkom en 'n beter toekoms te skep. #Poskantoor #Vakbonde #SuidAfrika","BREAKING: Mark Barnes, CEO of the South African Post Office, urges unions not to strike next week. The consequences could be disastrous! Let's work together to overcome financial challenges and create a better future. #PostOffice #Unions #SouthAfrica",afr,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[7, 15]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/afr/CoI_db236ede-9257-4fee-96e0-ab1de68fc5bf_afr_medium_715.json,afr,eng,afr,eng,afr,medium,MassiveSum,y,n,y,n
30cd1b66-fc43-4645-b9d7-e2f77e50111d,"Die regering van pres. Daniel Ortega is verantwoordelik vir die dood van tientalle onskuldige mense in Nicaragua. Die joernalis Angel Gahona is doodgeskiet, volgens getuienis, deur die polisie terwyl hy verslag gedoen het oor die gewelddadige betogings in die land. Die betogers eis dat Ortega en sy vrou bedank as gevolg van hulle onbevoegdheid om die land te regeer. Die sakekamer het 'n verklaring uitgereik waarin hulle die onderdrukking van betogers veroordeel.","The government of President Daniel Ortega is responsible for the deaths of dozens of innocent people in Nicaragua. Journalist Angel Gahona was shot, according to eyewitnesses, by the police while reporting on the violent protests in the country. The protesters are demanding that Ortega and his wife step down due to their inability to govern the country effectively. The business chamber has issued a statement denouncing the crackdown on protesters.",BREEKNUUS: Joernalis Angel Gahona doodgeskiet deur polisie in Nicaragua! Betogers eis pres. Ortega se bedanking as gevolg van sy regering se onbevoegdheid. #Nicaragua #OrtegaBedank #JoernalistiekIsNieMisdaadNie,BREAKING: Journalist Angel Gahona shot dead by police in Nicaragua! Protesters demand President Ortega's resignation due to his government's incompetence. #Nicaragua #OrtegaResign #JournalismIsNotACrime,afr,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[34, 26]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/afr/CoI_30cd1b66-fc43-4645-b9d7-e2f77e50111d_afr_critical_3426.json,afr,eng,afr,eng,afr,critical,MassiveSum,n,y,y,n
96509796-dfb6-4ae5-b7d4-e97dc7cc9f5a,Hierdie pragtige kleurboek bevat meer as 150 seldsame foto’s uit die Anglo-Boereoorlog waarop Nico die afgelope paar jaar in sy ‘speurtogte’ as leke-historikus afgekom het. Dit sluit in etlike glasnegatiewe uit die oorlog waarvoor hy ’n spesiale skandeerder moes laat maak het om dit te digitaliseer. Die foto’s bied ’n baie intieme blik op Boerekrygers en Britse soldate te velde en in hul kampe en bevat wonderlike detail oor praktiese werklikhede van die oorlog. Tussendeur die foto’s vertel Nico die verhale van sy ontdekkingstogte oor die jare. Van die dagboek van ‘n Boerekrygsgevangene wat op die vullishoop van die DBV gevind is tot die oorlogslagveld wat hy herontdek het. Oor die outeur: Nico Moolman is ‘n gewilde outeur en versamelaar van enigiets wat met die Anglo-Boereoorlog verband hou. Hy is ook die outeur van The Boer Whore wat deur Francois Smith verwerk is as die topverkoper Kamphoer. Uitgewer: Jonathan Ball Uitgewers Prys: R350-00* *Prys onderhewig aan verandering Koop die boek nou by Graffiti Boeke,"This beautiful color book contains over 150 rare photos from the Anglo-Boer War that Nico has come across in his 'searches' as a lay historian over the past few years. It includes several glass negatives from the war for which he had to have a special scanner made to digitize them. The photos offer a very intimate look at Boer warriors and British soldiers in the field and in their camps and contain wonderful details about the practical realities of the war. Between the photos, Nico tells the stories of his discovery journeys over the years. From the diary of a Boer prisoner of war found on the rubbish heap of the DBV to the battlefield he rediscovered. About the author: Nico Moolman is a popular author and collector of anything related to the Anglo-Boer War. He is also the author of The Boer Whore, which was adapted by Francois Smith as the bestseller Kamphoer. Publisher: Jonathan Ball Publishers Price: R350-00* *Price subject to change Buy the book now at Graffiti Books","Ontdek die onvertelde stories van die Anglo-Boereoorlog deur hierdie pragtige kleurboek! Met meer as 150 seldsame foto's en persoonlike anekdotes van outeur Nico Moolman, sal jy 'n intieme kyk kry op die oorlog se geskiedenis. Koop jou kopie nou vir R350-00! #AngloBoereoorlog #Geskiedenis #BoekLiefhebbers","Discover the untold stories of the Anglo-Boer War through this stunning color book! With over 150 rare photos and personal anecdotes from author Nico Moolman, you'll get an intimate look at the war's history. Get your copy now for R350-00! #AngloBoerWar #History #BookLovers",afr,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[33, 3]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/afr/CoI_96509796-dfb6-4ae5-b7d4-e97dc7cc9f5a_afr_minor_333.json,"[afr,eng]",eng,afr,eng,"[afr,eng]",minor,MassiveSum,y,n,y,n
