uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
b4a3f9c9-042b-419e-b3c8-2ad966dae6dc,"Michael Jackson's mother and four of his siblings announced a tribute concert for the late pop singer to be held in Wales on October 8. The announcement was made at the Beverly Hills Hotel, attended by Marlon, Tito, and Jackie Jackson, La Toya Jackson, and Katherine Jackson. However, Jermaine and Randy Jackson did not attend, citing objections to the timing due to the ongoing criminal trial related to Michael Jackson's death. The tribute, 'Michael Forever The Tribute Concert,' will be held at the Wales Millennium Centre in Cardiff. All profits will go to several charities.","Majka Majkla Džeksona i četvoro njegove braće i sestara najavili su tribute koncert za pokojnog pevača koji će se održati u Velsu 8. oktobra. Najava je data u hotelu 'Beverli Hils,' uz prisustvo Marlon, Tito, i Džeki Džeksona, La Toje Džekson, i Ketrin Džekson. Ipak, Džermejn i Rendži Džekson nisu bili prisutni, zbog neslaganja sa odabranim datumom koji se poklapa sa krivičnim suđenjem vezanim za Majklovu smrt. 'Majkl zauvek - Tribute koncert' će se održati u 'Vels Milenijum centru' u Kardifu, a sav prihod će biti doniran u dobrotvorne svrhe.",Join the 'Michael Forever' tribute concert in Wales on Oct 8! Celebrating the legacy of the King of Pop with amazing performances. #MichaelJackson #TributeConcert,Pridružite se 'Majkl zauvek' tribute koncertu u Velsu 8. oktobra! Proslavimo nasleđe Kralja popa sa sjajnim izvođačima. #MajklDžekson #TributeKoncert,srp,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/srp/CoI_b4a3f9c9-042b-419e-b3c8-2ad966dae6dc_srp_edit.json,eng,srp,eng,srp,eng,light,DialyNews,y,n,y,n
208434cc-275f-4d3c-88e1-9ede6a18b7f3,"'The iOttie iON Wireless Duo charger stand is a budget-friendly alternative for charging Google Pixel phones wirelessly.', 'It is certified by Made for Google, ensuring it works seamlessly with Pixel devices at 15W.', 'Priced around $50, it's significantly cheaper than Google's Pixel Stand (2nd Gen).', 'This dual charger allows users to charge two devices at once, with a secondary 5W charging pad for earbuds or another device.', 'The design incorporates anti-slip materials to keep devices stable during charging.', 'Although it doesn't offer adjustability, the charger is sturdy and easy to use.'","'Translation accurately conveys the original message and is culturally appropriate.', 'Minor adjustments made for fluency and natural language flow.', 'The Serbian translation is readable and understandable.'","'Discover the iOttie iON Wireless Duo charger stand! Affordable, reliable, and Made for Google certified. Charge your Pixel and another device simultaneously at 15W & 5W. #iOttie #WirelessCharging #GooglePixel'","'Otkrijte iOttie iON Wireless Duo bazu za punjenje! Pristupačna, pouzdana i sertifikovana od strane Made for Google. Punite vaš Pixel i još jedan uređaj istovremeno na 15W & 5W. #iOttie #BežičnoPunjenje #GooglePixel'",srp,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/srp/CoI_208434cc-275f-4d3c-88e1-9ede6a18b7f3_srp_rewrite_complete.json,eng,eng,eng,"[srp,eng]",eng,complete,GlobalNews,n,y,y,n
f136c097-b467-45e3-982a-db6219fafa8b,"'Giving to charity is a meaningful way to create positive change throughout the year.' 'Numerous apps help you find the right charitable organization, regardless of your smartphone.' 'Some apps allow you to contribute by exercising or walking your dog.' 'The American Red Cross app streamlines blood donation, providing essential information.' 'Charity Miles tracks exercise routines and converts them into donations.' 'Coin Up simplifies donating by rounding up purchases or setting a monthly amount.' 'Impact Local guides you to local and national charities.' 'Makua supports non-profits aligned with your values.' 'GoFundMe raises funds for various causes.' 'SoLo Funds connects lenders and borrowers.' 'WoofTrax motivates exercise while supporting animal charities.'",'Davanje za dobrotvorne svrhe je smislen način za stvaranje pozitivnih promena tokom cele godine.' 'Postoji mnogo aplikacija koje vam pomažu da nađete pravu dobrotvornu organizaciju.' 'Neke aplikacije vam omogućavaju da doprinesete vežbajući ili šetajući psa.' 'Aplikacija Američkog crvenog krsta olakšava davanje krvi.' 'Charity Miles prati vaše fizičke aktivnosti i pretvara ih u donacije.' 'Coin Up olakšava davanje zaokruživanjem Vaših kupovina.' 'Impact Local Vam služi kao vodič ka lokalnim i nacionalnim dobrotvornim organizacijama.' 'Makua podržava organizacije koje su u skladu sa Vašim vrednostima.' 'GoFundMe je platforma za prikupljanje sredstava za razne svrhe.' 'SoLo Funds povezuje davaoce i korisnike kredita na povoljnim uslovima.' 'WoofTrax motiviše na fizičku aktivnost dok istovremeno podržava dobrotvorne svrhe za životinje.','Discover how to give back to your community all year round with these innovative charity apps! #CharityApps #GivingBack','Otkrijte kako da vratite svojoj zajednici tokom cele godine uz ove inovativne dobrotvorne aplikacije! #DobrotvorneAplikacije #Davanje',srp,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/srp/CoI_f136c097-b467-45e3-982a-db6219fafa8b_srp_rewrite_complete.json,eng,srp,eng,srp,eng,complete,GlobalNews,n,y,y,n
ab7f1011-f7b3-4d53-b286-52182a3084c2,"By Thursday, eight of the 13 individuals charged in connection with the death of Robert Champion, a member of Florida A&M University's band, had surrendered. The hazing incident that led to Champion's death took place on a band bus following a football game in Orlando in November 2011. Champion's family voiced their disappointment with the charges, feeling they were not stringent enough and that the investigation was not conducted properly.","Do četvrtka, osam od 13 osoba optuženih za smrt Roberta Championa, člana 'Marširajućih 100' Univerziteta Florida A&M, se predalo. Hazing incident koji je doveo do Championove smrti se desio u autobusu nakon fudbalske utakmice u Orlandu, novembra 2011. Championova porodica je izrazila razočarenje optužnicama, smatrajući ih nedovoljno strogim i da je istraga bila loše sprovedena.",'Eight of 13 charged in Florida A&M band member's death have surrendered. #Hazing #JusticeForRobertChampion','Osam od 13 optuženih za smrt člana benda Univerziteta Florida A&M se predalo. #Hazing #PravdaZaRobertaChampiona',srp,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/srp/CoI_ab7f1011-f7b3-4d53-b286-52182a3084c2_srp_rewrite_moderate.json,eng,srp,eng,"[srp,eng]",eng,moderate,DialyNews,y,n,y,n
43e2e9a1-0a6a-4cab-b7a4-034c86101e9c,"Michael Johns, a former 'American Idol' contestant, died at 35 His friend found his body and made a 911 call, reporting that he was cold to the touch and attempting CPR The cause of death is pending toxicology results, with reports of heavy drinking and a sprained ankle before his death","Majkl Džons, bivši takmičar šoua 'Američki idol', tragično je preminuo u 35. godini života Njegov prijatelj ga je pronašao bez svesti i pozvao hitnu pomoć, izveštavajući da je Majkl hladan na dodir i pokušavajući da ga oživi Uzrok smrti još nije utvrđen, u toku su toksikološke analize, a pre smrti je konzumirao alkohol i zadobio povredu gležnja",Tragic news: Former 'American Idol' contestant Michael Johns dies at 35! Find out more about his life and career #MichaelJohns #AmericanIdol #RIP,Tragične vesti: Bivši takmičar 'Američkog idola' Majkl Džons preminuo sa 35 godina! Saznajte više o njegovom životu i karijeri #MajklDžons #AmerickiIdol #RIP,srp,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/srp/CoI_43e2e9a1-0a6a-4cab-b7a4-034c86101e9c_srp_rewrite_complete.json,eng,srp,eng,srp,eng,complete,DialyNews,n,y,y,n
c92484b4-c508-4174-959f-2427a33cf26d,"A South Korean fishing vessel and its seven crew members are being held by North Korea in the Sea of Japan. North Korean state media confirmed the crew's detention. Tensions between North and South Korea remain high following the March sinking of a South Korean warship that killed 46 sailors. South Korea blamed North Korea for the warship sinking, calling it a submarine attack, while North Korea dismissed the accusation as 'a fabrication'. The incident follows South Korea's five-day military exercises in the Yellow Sea, involving 20 ships and 4,500 troops, focusing on countering North Korean submarines and guided missiles.","Južnokorejski ribarski brod sa sedam članova posade je u posedu Severne Koreje. Severna Koreja je potvrdila pritvor posade. Tenzije između Severne i Južne Koreje su visoke nakon što je u martu potonuo južnokorejski ratni brod sa 46 poginulih mornara. Južna Koreja je okrivila Severnu Koreju za taj incident, tvrdeći da je u pitanju bio napad podmornice, što je Severna Koreja odbacila kao 'izmišljotinu'. Ovaj incident se desio nakon vojnih vežbi Južne Koreje u Žutom moru, koje su uključile 20 brodova i 4.500 vojnika.","Tensions rise as North Korea detains South Korean fishing boat crew! 'It's a fabrication,' North Korea says about the warship sinking. #NorthKorea #SouthKorea #Tensions","Tenzije rastu dok Severna Koreja zadržava posadu južnokorejskog ribarskog broda! 'To je izmišljotina,' kaže Severna Koreja o potonuću ratnog broda. #SevernaKoreja #JužnaKoreja #Tenzije",srp,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/srp/CoI_c92484b4-c508-4174-959f-2427a33cf26d_srp_rewrite_light.json,eng,srp,eng,srp,eng,light,DialyNews,y,n,y,n
838dcf01-aa71-4078-a9be-b58421abd722,Edward Snowden's leak is considered the most costly in U.S. history. The leak has harmed U.S. intelligence operations and affected American businesses. Snowden's actions have raised concerns about the balance between liberty and security.,Edvard Snouđenovo curenje poverljivih informacija će verovatno biti najskuplje u istoriji Sjedinjenih Država. Snouđenove akcije su ugrozile obaveštajne operacije SAD-a i nepovoljno uticale na američka preduzeća. Curenje je otkrilo osetljive podatke o taktikama i procedurama američkih obaveštajnih službi.,New leak: Edward Snowden's actions 'potentially most costly in U.S. history'! 'Damaging U.S. intelligence ops & putting American businesses at risk' #Snowden #IntelligenceLeak,Novi curak: Edvard Snouđenove 'akcije potencijalno najskuplje u istoriji SAD-a'! 'Štete obaveštajnim operacijama SAD-a i stavljaju američka preduzeća u rizik' #Snouđen #CurenjeInformacija,srp,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/srp/CoI_838dcf01-aa71-4078-a9be-b58421abd722_srp_rewrite_light.json,eng,srp,eng,"[srp,eng]",eng,light,DialyNews,y,n,y,n
fe4650c2-ca1e-4257-8463-409b31ccb345,"The parents of Fatima Dyczynski, who was on MH17, remain hopeful that their daughter is alive after visiting the crash site in eastern Ukraine. George and Angela Dyczynski believe that involving the space science community in the investigation could be beneficial. Fatima, an aerospace engineer and 'Xoterra Space' founder, was headed to Perth for an IBM internship.","Roditelji Fatime Dyczynski, žrtve leta MH17, zadržavaju nadu da je njihova ćerka živa nakon što su posetili mesto nesreće u istočnoj Ukrajini. George i Angela Dyczynski smatraju da bi učešće stručnjaka iz oblasti svemirskih nauka u istrazi moglo biti od koristi. Fatima, koja je bila inženjer aerokosmičkog sektora i osnivač 'Xoterra Space', bila je na putu za Pert radi stažiranja u IBM-u.","Meet the parents who refuse to give up hope! 'We're going to look after Fatima,' say the grieving parents of MH17 victim Fatima Dyczynski. #MH17 #Hope #Miracle","Upoznajte roditelje koji ne odustaju od nade! 'Mi ćemo se pobrinuti za Fatimu', kažu roditelji žrtve leta MH17 Fatime Dyczynski. #MH17 #Nada #Čudo",srp,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/srp/CoI_fe4650c2-ca1e-4257-8463-409b31ccb345_srp_rewrite_complete.json,eng,srp,eng,hrv,eng,complete,DialyNews,n,y,y,n
9f5b9e41-7885-46a9-9ec6-e80b142d7937,"Media mogul Sumner Redstone, aged 90, is reportedly spending time with the baby adopted by his girlfriend, Sydney Holland. Redstone wasn't involved in Holland's adoption of the baby girl in June, but he's become a part of the child's life. Holland, 42, has been bringing her daughter to Redstone's Beverly Hills mansion. The baby's name, Alexandra Red, was inspired by Redstone. 'Sydney spends a lot of time at Sumner's home, and when she is there, she brings the baby with her,' a source told The New York Post. Some people speculate that Redstone might be the girl's father due to her red hair. Holland stated that she adopted the baby on her own and is 'very excited to experience both the joys and challenges of motherhood.'","Medijski mogul Sumner Redstone, star 90 godina, navodno provodi vreme sa bebom koju je usvojila njegova devojka Sydney Holland. Redstone nije bio uključen u usvajanje bebe u junu, ali je postao deo njenog života. Holland, koja ima 42 godine, često dovodi svoju ćerku u Redstoneovu vilu u Beverly Hillsu. Beba je dobila ime Alexandra Red, po Redstoneu. 'Sydney često boravi u Sumnerovoj kući i kada je tamo, dovodi bebu sa sobom', rekao je izvor za New York Post. Neki spekuliraju da bi Redstone mogao biti devojčicin otac zbog njene crvene kose. Holland je javno izjavila da je bebu usvojila samostalno i da je 'veoma uzbuđena da iskusi radosti i izazove majčinstva.'",'Meet Alexandra Red! Sumner Redstone's girlfriend Sydney Holland adopts baby girl and brings her to his mansion #SumnerRedstone #SydneyHolland #Adoption',"'Upoznajte Alexandru Red! Devojka Sumnera Redstonea, Sydney Holland, usvojila je devojčicu i dovodi je u njegovu vilu #SumnerRedstone #SydneyHolland #Usvojenje'",srp,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/srp/CoI_9f5b9e41-7885-46a9-9ec6-e80b142d7937_srp_polish.json,eng,srp,eng,"[srp,eng]",eng,moderate,DialyNews,y,n,y,n
8205058e-0342-4a1b-b66c-53bc8f1c59f4,"An Australian mother is taking legal action against the country's top four banks - Commonwealth Bank, ANZ, Westpac, and NAB - alleging they played a role in laundering $200,000 obtained through her teenage son's eBay scam in 2007. The then 14-year-old boy sold non-existent electronics and luxury items online, using the funds to live a lavish lifestyle. The mother claims she warned the banks about her son's activities but was ignored or rebuffed due to privacy concerns. She alleges that the banks failed to properly scrutinize her son's account openings and transactions.","Jedna australijska majka tuži četiri najveće banke u zemlji zbog navodnog pranja novca od 'eBay' prevare koju je izvršio njen 14-godišnji sin 2007. Sin je prodavao nepostojeću robu i živeo luksuzno zahvaljujući tom novcu. Majka tvrdi da je upozoravala banke, ali su je ignorisale ili odbile zbog zakona o privatnosti. Ona tvrdi da banke nisu adekvatno proverile otvaranje računa i transakcije.",Australian mum sues top banks over son's $200k eBay scam! 'Banks ignored my warnings & enabled his lavish lifestyle' #eBayScam #BankingFail,Australijska majka tuži vodeće banke zbog 'eBay' prevare sina od 200.000 dolara! 'Banke su ignorisale moja upozorenja i omogućile mu luksuzan život' #eBayPrevara #BankarskiPromasaj,srp,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/srp/CoI_8205058e-0342-4a1b-b66c-53bc8f1c59f4_srp_rewrite_light.json,eng,srp,eng,"[srp,hrv]",eng,light,DialyNews,y,n,y,n
