url,archive,title,date,content,summary,language,organization,organization_standardized,news_type,uuid,content_type,dataset
https://www.denik.cz/z_domova/norske-urady-rozhodly-o-vraceni-devitimesicniho-devcatka-rodicum-20160208.html,https://www.denik.cz/z_domova/norske-urady-rozhodly-o-vraceni-devitimesicniho-devcatka-rodicum-20160208.html,Barnevernet vrátil nemocnou holčičku rodičům. Rozhodl o tom norský soud,,"Praha – Norské úřady rozhodly o tom, že devítiměsíční děvčátko vrátí české matce a norskému otci. Nemocnou dceru jim odebraly před pár týdny. Informaci České televize potvrdil mluvčí ministerstva práce a sociálních věcí Petr Habáň.

POHROMADĚ. Rodina, která nechce zveřejnit své jméno, poskytla petičnímu výboru fotografii z doby před odebráním dítěte.Foto: PVPRM

""Těší mě, že můžeme věřit, že Norsko nabízí standardní funkční mechanismy, které jsou schopny korigovat případná pochybení,"" uvedla ministryně práce Michaela Marksová (ČSSD). Dodala, že její úřad bude případ dál sledovat.

Podle mluvčího informaci sdělil ministerstvu norský advokát rodiny. O vrácení dítěte rozhodl minulý týden norský soud, který přezkoumával postup norských úřadů. Člen petičního výboru na podporu rodin odebraných dětí Pavel Hasenkopf zprávu potvrdil, soud rozhodl minulý čtvrtek.

Podle Hasenkopfa rodičům pomohly detailní záznamy z nemocnice, vyvrátily prý ""lži a manipulace"" úřednic norské sociální služby. ""Rodina je připravena v příštích dnech promluvit a zveřejnit detailní informace k odebrání, soudnímu procesu i dosavadní komunikaci s českými úřady. V tuto chvíli prosí ještě o chvíli soukromí,"" dodal Hasenkopf.

Dítě se narodilo v Norsku loni koncem dubna, stejně jako jeho matka má české občanství. Holčička trpí vážnou genetickou chorobou, je na umělé ledvině a čeká na transplantaci. Rodiče si brali dítě prý pravidelně domů a věnovali se mu.

Podle poslankyně Jitky Chalánkové (TOP 09), která kauzy odebraných dětí dlouhodobě sleduje, rodina žádala norskou sociální službu o odlehčovací službu. Tuto výpomoc Barnevernet neschválil. Dostal i oznámení od nadřízeného zdravotní sestry, s níž prý ale rodiče nevycházeli. Rozhodl pak o odebrání dítěte. Matka děvčátka pak médiím řekla, že sociální služba zdůvodnila odebrání dcery tím, že s ní rodiče nemají dostatečně rozvinutý kontakt a mají s ní špatný vztah.

V kauze panovalo ale i napětí mezi zastánci rodiny a českými úřady. Zatímco podle podporovatelů matka o pomoc Česka stála, podle ministryně práce ji odmítla. Předseda vlády Bohuslav Sobotka (ČSSD) pak řekl, že žena musí říct, jestli pomoc českých úřadů skutečně chce.

Češka se obrátila loni v první polovině listopadu na brněnský Úřad pro mezinárodněprávní ochranu dětí (ÚMPOD) kvůli tomu, že hrozí odebrání dítěte. Marksová už dřív řekla, že úřad pak matce nabídl, že by jednal za ni. Ministryně uvedla, že ÚMPOD na konci měsíce matku ""urgoval"", už se ale neozvala. Podle Hasenkopfa ale rodina do té doby už musela situaci řešit, nabídka pomoci přišla tedy o pár dní později. Chalánková pak ČTK řekla, že rodiče o pomoc českého státu určitě stojí, chtějí ale nejdřív raději vyčkat na rozhodnutí norského soudu, které nechtějí ohrozit.","Praha – Norské úřady rozhodly o tom, že devítiměsíční děvčátko vrátí české matce a norskému otci. Nemocnou dceru jim odebraly před pár týdny. Informaci České televize potvrdil mluvčí ministerstva práce a sociálních věcí Petr Habáň.",ces,denik,Denik,fake news,cfc361c7-ed78-4cb4-8fd8-697bf9302b79,article,MassiveSum
https://www.voabangla.com/a/a-16-2008-03-23-voa1-94440689/1397186.html,https://www.voabangla.com/a/a-16-2008-03-23-voa1-94440689/1397186.html,Court Postpones Case Proceedings Against Hasina Till March 30,,"Judge Md Feroz Alam of the Special Judges' Court-1 in Dhaka has postponed till March 30, the proceedings of a graft case involving the setting up of three barge-mounted power plants, against former Prime Minister Sheikh Hasina.

Sheikh Hasina was not in court on Sunday and the prison authorities reported that she was not in court because of her reluctance, although her health condition was fine. However, the former PM’s lawyer said that the Awami League president had been unable to appear in court because of her illness.

Zahurul Alam has the details.","Judge Md Feroz Alam of the Special Judges' Court-1 in Dhaka has postponed till March 30, the proceedings of a graft case involving the",ces,voabangla,VOA Bangla,fake news,f21f4118-7e28-492c-a73c-f72d9ac9dfb3,article,MassiveSum
https://www.voatibetan.com/a/3212816.html,https://www.voatibetan.com/a/3212816.html,ཧོང་ཀོང་གི་ནང་རྒྱ་ནག་གིས་དམ་དྲག་བྱས་པར་ཨ་རིའི་སྲིད་འཛིན་གྱི་འོས་མི་རུ་པི་ཡོ་ཡིས་སྐྱོན་བརྗོད།,,རྒྱ་ནག་གཞུང་གིས་ཧོང་ཀོང་ས་གནས་གཞུང་ལ་ངོ་རྒོལ་བྱེད་མཁན་སློབ་ཕྲུག་དམངས་གཙོ་དོན་གཉེར་བའི་འགོ་ཁྲིད་ཞིག་ལ་ཁྲིམས་འགལ་གྱི་ཉེས་མིང་བཏགས་ཏེ་ས་གནས་དེའི་ནང་ཐབས་བྱུས་འདྲ་མིན་གྱི་སྒོ་ནས་དྲག་གནོན་དང་ སྡིག་སྐུལ་ལ་སོགས་པ་བྱས་པར་ཨ་མི་རི་ཀའི་སྲིད་འཛིན་གྱི་འོས་མི་མར་ཁོ་རུ་པི་ཡོ་ཡིས་སྐྱོན་བརྗོད་གནང་བའི་སྐོར་རྒྱལ་སྤྱིའི་གསར་འགྱུར་བརྒྱུད་ལམ་ཁག་གི་ནང་ཐོན་པའི་གནས་ཚུལ་རྣམས་ཀུན་བཟང་སྒྲོལ་མས་ཕྱོགས་བསྒྲིགས་དང་སྙན་སྒྲོན་ཞུ་གི་རེད།,རྒྱ་ནག་གཞུང་གིས་ཧོང་ཀོང་ས་གནས་གཞུང་ལ་ངོ་རྒོལ་བྱེད་མཁན་སློབ་ཕྲུག་དམངས་གཙོ་དོན་གཉེར་བའི་འགོ་ཁྲིད་ཞིག་ལ་ཁྲིམས་འགལ་གྱི་ཉེས་མིང་བཏགས་ཏེ་ས་གནས་དེའི་ནང་ཐབས་བྱུས་འདྲ་མིན་གྱི་སྒོ་ནས་དྲག་གནོན་དང་ སྡིག་སྐུལ་ལ་སོགས་པ་བྱས་པར་ཨ་མི་རི་ཀའི་སྲིད་འཛིན་གྱི་འོས་མི་མར་ཁོ་རུ་པི་ཡོ་ཡིས་སྐྱོན་བརྗོད་གནང་བའི་སྐོར་རྒྱལ་སྤྱིའི་གསར་འགྱུར་བརྒྱུད་ལམ་ཁག་གི་ནང་ཐོན་པའི་གནས་ཚུལ་རྣམས་ཀུན་བཟང་སྒྲོལ་མས་ཕྱོགས་བསྒྲིགས་དང་སྙན་སྒྲོན་ཞུ་གི་རེད།,ces,voatibetan,VOA Tibetan,fake news,187dea45-1e90-4f2a-b1e9-a2b3c8d90dd9,article,MassiveSum
https://www.voatibetan.com/a/4124857.html,https://www.voatibetan.com/a/4124857.html,སྔ་དྲོའི་རླུང་འཕྲིན།,,ཉིན་ལྟར་ཐོན་བཞིན་པའི་བོད་དང་ཨ་རིའི་གསར་འགྱུར་ཁག་དང་། འཛམ་གླིང་གསར་འགྱུར་ཁག་རྒྱང་སྲིང་ཞུས་པ་ཕུད། དེ་མིན་དམིགས་བསལ་ལེ་ཚན་ཁག་ཅིག་རྒྱང་སྲིང་ཞུ་བཞིན་ཡོད།,ཉིན་ལྟར་ཐོན་བཞིན་པའི་བོད་དང་ཨ་རིའི་གསར་འགྱུར་ཁག་དང་། འཛམ་གླིང་གསར་འགྱུར་ཁག་རྒྱང་སྲིང་ཞུས་པ་ཕུད། དེ་མིན་དམིགས་བསལ་ལེ་ཚན་ཁག་ཅིག་རྒྱང་སྲིང་ཞུ་བཞིན་ཡོད།,ces,voatibetan,VOA Tibetan,fake news,c7c3c490-8897-496e-86ce-242be1693c0c,article,MassiveSum
https://www.voatibetan.com/a/testing-stepped-up-in-india-as-number-of-new-coronavirus-cases-surges/5482301.html,https://www.voatibetan.com/a/testing-stepped-up-in-india-as-number-of-new-coronavirus-cases-surges/5482301.html,ནད་དུག་ཡོད་མེད་བརྟག་དཔྱད་བྱ་ཡུལ་མང་དུ་བཏང་བ།,,༄༅།།དེང་སྐབས་རྒྱ་གར་དང་ཨ་མི་རི་ཀ་གཉིས་གཙོ་བྱས་པའི་འཛམ་གླིང་ཡུལ་གྲུ་མང་པོའི་ནང་ཏོག་དབྱིབས་ནད་དུག་གསར་དུ་ཕོག་མཁན་ཇེ་མང་དུ་སོང་བའི་རྐྱེན་གྱིས་སྲིད་གཞུང་སོ་སོས་ནད་གཞི་ཡོད་མེད་ བརྟག་དཔྱད་བྱེད་ཡུལ་གྱི་མཐུན་རྐྱེན་མང་དུ་བཏང་ཡོད་ཅིང་། དམ་དྲག་སྒྲིག་གཞི་ཁག་བསྐྱར་འཛུགས་བྱས་པ་སོགས་ནད་གཞི་བསྐྱར་ལངས་མི་ཡོང་བའི་འབད་བརྩོན་གང་ཡོང་བྱེད་ཀྱིན་ཡོད་པའི་སྐོར། རྒྱལ་སྤྱིའི་གསར་ལམ་ཁག་ནང་ཐོན་པའི་གནས་ཚུལ་དེ་ཚེ་བརྟན་ཆོས་སྒྲོན་གྱིས་ཕབ་སྒྱུར་དང་སྙན་སྒྲོན་ཞུ་གི་རེད།,༄༅།།དེང་སྐབས་རྒྱ་གར་དང་ཨ་མི་རི་ཀ་གཉིས་གཙོ་བྱས་པའི་འཛམ་གླིང་ཡུལ་གྲུ་མང་པོའི་ནང་ཏོག་དབྱིབས་ནད་དུག་གསར་དུ་ཕོག་མཁན་ཇེ་མང་དུ་སོང་བའི་རྐྱེན་གྱིས་སྲིད་གཞུང་སོ་སོས་ནད་གཞི་ཡོད་མེད་ བརྟག་དཔྱད་བྱེད་ཡུལ་གྱི་མཐུན་རྐྱེན་མང་དུ་བཏང་ཡོད་ཅིང་། དམ་དྲག་སྒྲིག་གཞི་ཁག་བསྐྱར་འཛུགས་བྱས་པ་སོགས་ནད་གཞི་བསྐྱར་ལངས་མི་ཡོང་བའི་འབད་བརྩོན་གང་ཡོང་བྱེད་ཀྱིན་ཡོད་པའི་སྐོར། རྒྱལ་སྤྱིའི་གསར་ལམ་ཁག་ནང་ཐོན་པའི་གནས་ཚུལ་དེ་ཚེ་བརྟན་ཆོས་སྒྲོན་གྱིས་ཕབ་སྒྱུར་དང་སྙན་སྒྲོན་ཞུ་གི་རེད།,ces,voatibetan,VOA Tibetan,fake news,70675eaf-9323-466e-87f2-bb2bf3b99b3a,article,MassiveSum
https://www.dnevnik.bg/biznes/2011/07/12/1121904_societe_generale_ekspresbank_namaliava_taksi_za_karti/,https://www.dnevnik.bg/biznes/2011/07/12/1121904_societe_generale_ekspresbank_namaliava_taksi_za_karti/,Societe Generale Експресбанк намалява такси за карти MasterCard,,"Societe Generale Експресбанк намалява първата годишна такса на издаваните от нея международни карти MasterCard, съобщиха от кредитната институция. Лятната оферта предлага с 25% намаление на първата годишна такса, а ако клиентът сключи застраховка ""Спокойствие"" към разплащателната си сметка, намалението на таксата за първата година е 50%.

Към офертата е включено и sms банкиране без абонаментна такса през първите три месеца и възможност за ползване на овърдрафт без такси за срока на договора.

От банката съобщиха още и че имат нов директор на човешките ресурси - Радослава Антонова, която е назначена на този пост от началото на месеца.

Тя се присъединява към отдел ""Човешки ресурси"" на банката през май 2009 г. като директор ""Управление на кариерата и подбор"". Две години по-късно тя е назначена за директор ""Човешки ресурси"" в Societe Generale Експресбанк.","Банката има и нов директор ""Човешки ресурси"" от началото на този месец",ces,dnevnik,Dnevnik,fake news,5fdd7778-ee1f-4d60-b299-c94595322477,article,MassiveSum
https://www.denik.cz/jihomoravsky-kraj/prechod-u-nadrazi-bezpecnost-posili-retarder-ci-svetla-20151203-hs5r.html,,Přechod u nádraží v Hodoníně? Bezpečnost posílí retardér či světla,,"Otázku bezpečnosti přechodu, na němž přišel k úrazu jednašedesátiletý muž a dvě šestnáctileté dívky, řešili už na druhém zasedání v řadě hodonínští radní. „I z rozhodnutí rady budeme jednat se správcem silnice, tedy krajem, s návrhem opatření na zvýšení bezpečnosti provozu a hlavně chodců ve Dvořákově ulici. Nejdříve to chceme ale nechat projednat komisí pro dopravu, abychom měli konkrétní varianty,"" sdělil místostarosta Hodonína a krajský radní Jiří Janda.

Radní uvažovali o snížení rychlosti, instalaci příčných zpomalovacích retardérů před přechodem či umístnění led světel do silnice. „Objevila se i varianta zachování jen jednoho přechodu, toho bližšího k autobusovému nádraží, protože právě tento je plně vybavený, osvětlený a splňuje všechny předpisy. Paradoxně ale právě na něm se stávají nehody,"" nastínil alternativy Janda.

Rizikovou lokalitou se zabývá i Správa a údržba silnic (SÚS) Jihomoravského kraje. „Bohužel se tam toho nedá moc vymyslet, za nehodami často stojí nepozornost řidičů či bezohlednost chodců, kteří vyrazí na přechod, aniž by se rozhlédli. Domnívám se, že jedinou možností jsou semafory,"" uvedl vedoucí hodonínské oblasti SÚS Martin Bedrava.

To považuje za vhodné řešení i Jana Melichárková z Hodonína, která přechod využívá téměř každodenně. „Semafory by byly asi nejúčinnější,"" je přesvědčená.

Dopravní inženýr statní policie Jan Froněk zdůraznil důležitost prevence. A to jak u řidičů, tak chodů. „Současný stav je dostatečný, jenže lidé za volantem i ti, co silnici přecházejí, často nedodržují pravidla,"" upozornil dopravní policista s tím, že už podával podnět na úpravu vedlejšího přechodu, který není oddělený ochranným ostrůvkem.

Přechod blíže k nákupnímu centru Cukrovar loni dostal díky dotaci za více než sto padesát tisíc korun nasvícení. Skončil na druhém místě v hlasování pro bezpečnější přechody na Vysočině a jižní Moravě. Získal tehdy asi tři a půl tisíce hlasů. „Osvětlený a bezpečný je dost, jen kdyby lidé nejezdili jako prasata. Jeho nevýhodou je, že jsou tady čtyři jízdní pruhy a ještě pátý odbočovací,"" řekl jeden z chodů, Josef Polášek. Podle něj by se do Dvořákovy ulice hodil semafor nebo kruháč. „Je ale otázkou, jak by to ovlivnilo dopravu o kus dál,"" dodal muž.","Hodonín /FOTOGALERIE/ – Tři lidé se za pár dnů zranili při nehodách na přechodu mezi autobusovým a vlakovým nádraží v Hodoníně. S týdenním zpožděním se rýsují možnosti, jak podobným srážkám předcházet. Přitom obě události policisté stále řeší. „Je potřeba dovyslechnout svědky a vyhodnotit stopy. Případy ještě nejsou ukončené, takže je těžké předjímat přesnou příčinu a kdo je viníkem,"" sdělil policejní mluvčí Petr Zámečník.",ces,denik,Denik,fake news,9b6550f7-cfaa-4f59-853e-8f29b732b6c8,article,MassiveSum
https://www.denik.cz/ze_sveta/breivik-chce-byt-trestne-odpovedny-priznal-emocni-vypeti-20120524.html,,"Breivik chce být trestně odpovědný, aby lidé jeho ideologii brali vážně",,"V takovém případě mu přitom hrozí až doživotní pobyt za mřížemi. Obžalovaný poprvé přiznal, že jej proces nenechává emočně chladným, a naznačil, že otřásl jeho psychikou.

„Není absolutně žádný důvod podávat odvolání, pokud budu prohlášen za odpovědného,"" řekl u soudu 33letý pravicový extremista.

Breivik souzený za smrt 77 obětí atentátu a střelby do levicové mládeže z loňského 22. července byl v dosavadních dvou psychiatrických posudcích označen jednou za duševně chorého a podruhé za příčetného. Rozhodnutí tohoto sporu je klíčovou otázkou, která musí být vyřešena během procesu, jenž začal v polovině dubna a má trvat do konce června. V případě prohlášení za nesvéprávného by Breivik skončil na psychiatrické léčebně.

První posudek z loňského podzimu označuje Breivika za paranoidního schizofrenika, a tudíž člověka nesvéprávného. Breivik autory tohoto posudku v dubnu obvinil, že jejich zpráva je „vykonstruovaná"".

Breivik spáchal pumový atentát v norské metropoli Oslu, při kterém zemřelo osm osob; poté na nedalekém ostrově Utöya postřílel 69 lidí. Ke svým činům se přiznal, ale odmítá vinu, protože prý jednal v sebeobraně, aby uchránil svou zemi před multikulturalismem a muslimským přistěhovalectvím.

Breivik se dnes dostal ke slovu po několika dnech, kdy vypovídali svědkové masakru na malém ostrově. Breivik popřel tvrzení některých svědků, že se při činu usmíval a vydával vítězné pokřiky.

„Není vůbec pravda, že jsem se usmíval a smál, když jsem byl na Utöye,"" řekl soudu. Dodal, že jako člověk bez emocí se jeví jenom proto, že své city umí dobře skrývat.

„Dnes se cítím téměř zraněn na duši,"" řekl po výpovědích svědků. „Když se vracím do (věznice) Ily, jsem vyčerpaný,"" dodal.

Breivik rovněž vyjádřil zklamání nad tím, že mu nebyl u soudu dán dostatečný časový prostor k vysvětlení své ideologie. Na začátku procesu přitom dostal příležitost, aby shrnul obsah svého protiislámského „manifestu"", který před útoky umístil na internet.

Norský deník Aftenposten dnes zveřejnil výsledky třítýdenního pozorování Breivikova chování ve vazební věznici, které prý hovoří spíše ve prospěch svéprávnosti extremisty. Psychiatrička Maria Sigurjónsdóttirová jej označila za pozorného, soustředěného a organizovaného. Prokazuje prý „adekvátní myšlenkové procesy"", které mají logický obsah i strukturu. Přitom prý využívá každé příležitosti k prezentaci svého „politického poselství"".","Oslo – Norský atentátník Anders Behring Breivik ve čtvrtek potvrdil, že se neodvolá, pokud bude prohlášen za trestně odpovědného. Už dříve prohlásil, že chce být považován za příčetného, aby jeho ideologie byla brána vážně.",ces,denik,Denik,fake news,dab3c2d2-fb1b-4e03-be25-f7e1ea47ba41,article,MassiveSum
https://www.denik.cz/z_domova/kometu-hartley-lze-pozorovat-pouhym-okem20101019.html,,Kometu Hartley lze pozorovat pouhým okem,,"Kometa Hartley se už k Zemi přiblížila natolik, že ji je možné pozorovat i bez dalekohledu. Je k tomu ale potřeba zkušené oko, jasné počasí, temná bezměsíčná obloha a mapka, řekl Miloš Tichý z jihočeské observatoře na Kleti, která se specializuje na pozorování planetek a komet. Kometa se na své dráze dostane nejblíže k Zemi ve středu 20. října na vzdálenost 18 milionu kilometrů, dodal.

""Na vesmírné poměry je to sice docela blízké přiblížení, leč blíže Zemi prolétlo několik jiných komet,"" řekl Tichý. Jako příklad uvedl přiblížení komety 73P/Schwassmann-Wachmann v květnu 2006 na necelých 12 milionů kilometrů či krásnou vlasatici Hyakutake v roce 1996 na zhruba 15 milionů kilometrů. Rekord zatím drží kometa D/1770 L1 (Lexell), která se Zemi v červenci 1770 přiblížila na necelé 2,3 milionu kilometru. ""Komety se tedy nebojme, nebezpečí nehrozí, tak krásné představení jako před lety s Hyakutake ale taky nečekejme,"" uzavřel Tichý, který je objevitelem první ""české"" vlasatice.

Přestože je 103P/Hartley, jejíž jasnost zkušení pozorovatelé odhadují na pět magnitud, za ideálních podmínek vidět i bez dalekohledu, Tichý doporučuje použít triedr, protože její jasnost je právě na hranici viditelnosti pouhým okem. Hartley během druhé poloviny října 2010 prochází souhvězdím Vozky a směřuje do Blíženců. V listopadu 2010 bude procházet přes Malého psa do Jednorožce. Nynější jasnost si podle odhadu Tichého udrží nejméně do 5. listopadu. Pak se bude od Země vzdalovat a slábnout.

V minulých návratech dosahovala kometa maxima jasnosti až po průchodu přísluním, kterým letos projde 28. října, a slábla pomaleji, než zjasňovala. Z toho někteří astronomové vyvozují, že by mohla být jasným objektem ještě po celý listopad.

Kometu Hartley objevil v roce 1986 na australské observatoři v Sidding Spring slavný lovec komet Malcolm Hartley, který je objevitelem celkem 13 komet. Její letošní návrat k Slunci je podle astronomů zdaleka nejpříznivějším v její historii.

Jádro komety je velice malé - s průměrem zhruba 1,2 kilometru. Astronomové ji proto předpovídají krátký život. ""Pokud bude pokračovat při stávající produkci hmoty, je možné, že nepřežije déle než dalších 17 návratů,"" uvedl Jakub Černý ze Společnosti pro Meziplanetární hmotu České astronomické společnosti.","Praha - Kometa Hartley bude na noční obloze k vidění bez dalekohledu. Lidé ale musí vědět, kde ji hledat.",ces,denik,Denik,fake news,ad4db100-3706-479a-8f5b-40db5f77a8a5,article,MassiveSum
https://www.voatibetan.com/a/5114482.html,https://www.voatibetan.com/a/5114482.html,ཉིན་གུང་གི་རླུང་འཕྲིན།,,ཉིན་ལྟར་ཐོན་བཞིན་པའི་བོད་དང་ཨ་རིའི་གསར་འགྱུར་ཁག་དང་། འཛམ་གླིང་གསར་འགྱུར་ཁག་རྒྱང་སྲིང་ཞུས་པ་ཕུད། དེ་མིན་དམིགས་བསལ་ལེ་ཚན་ཁག་ཅིག་རྒྱང་སྲིང་ཞུ་བཞིན་ཡོད།,ཉིན་ལྟར་ཐོན་བཞིན་པའི་བོད་དང་ཨ་རིའི་གསར་འགྱུར་ཁག་དང་། འཛམ་གླིང་གསར་འགྱུར་ཁག་རྒྱང་སྲིང་ཞུས་པ་ཕུད། དེ་མིན་དམིགས་བསལ་ལེ་ཚན་ཁག་ཅིག་རྒྱང་སྲིང་ཞུ་བཞིན་ཡོད།,ces,voatibetan,VOA Tibetan,fake news,f6f297c3-42c5-4e2f-bc48-0e8e2fda1b31,article,MassiveSum
