uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
d9e7495b-825a-4619-8548-eb8649e3a2d3,"ჩინეთის ახალმა პრეზიდენტმა რუსეთში ვიზიტი დაასრულა და აფრიკის ქვეყნებისკენ გაემართა, სადაც იგი დიდ წარმატებას მიაღწევს. სი ძინ პინის აფრიკული მინი-ტურნე ტუნისს, სამხრეთ აფრიკას და კონგოს რესპუბლიკას მოიცავს.","China's new president has concluded his visit to Russia and is now heading to African countries, where he is expected to achieve significant success. Xi Jinping's African tour includes stops in Tunisia, South Africa, and the Republic of Congo.","სასწრაფოდ: ჩინეთის პრეზიდენტი სი ძინ პინი რუსეთში ვიზიტს ასრულებს და აფრიკაში მიემგზავრება! იგი ტუნისში, სამხრეთ აფრიკასა და კონგოს რესპუბლიკაში დიდ გავლენას მოახდენს. #სიძინპინი #აფრიკატური #ჩინეთი","BREAKING: China's President Xi Jinping wraps up Russia visit and heads to Africa! He's expected to make a big impact in Tunisia, South Africa, and the Republic of Congo. #XiJinping #AfricaTour #China",kat,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[10, 35]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kat/CoI_d9e7495b-825a-4619-8548-eb8649e3a2d3_kat_medium_1035.json,kat,eng,kat,eng,kat,medium,MassiveSum,y,n,y,n
f4fd7947-2695-4b70-b28e-a2a47e0f7c53,"თბილისში საცხოვრებელი კომპლექსის დაცვის თანამშრომელი ცივი იარაღით დაიჭრა, რას გამო მცხოვრები და დაცვის თანამშრომელი შორის შელაპარაკება მიმდინარეობდა პარკინგის გამო. დაჭრილი 19 წლის ახალგაზრდა საავადმყოფოში გადაიყვანეს.","In Tbilisi, a security guard at a residential complex was stabbed with a cold weapon, after a dispute with a resident over parking. The 19-year-old victim was taken to the hospital.",ბრეიკინგ ნიუსი: თბილისში საცხოვრებელი კომპლექსის დაცვის თანამშრომელი დაიჭრა პარკინგის გამო! #თბილისი #დაცვისთანამშრომელი #დაჭრა,BREAKING: Security guard stabbed in Tbilisi residential complex after parking dispute! #Tbilisi #SecurityGuard #Stabbing,kat,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[34, 2]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kat/CoI_f4fd7947-2695-4b70-b28e-a2a47e0f7c53_kat_medium_342.json,kat,eng,kat,eng,kat,medium,MassiveSum,y,n,y,n
d7f9e388-8d7a-46de-9317-9e178803fba5,"პარლამენტის დეპუტატებს, რომლებიც პირველ საგაზაფხულო სესიაზე მიემართებოდნენ, „ევროპული საქართველოს“ ახალგაზრდულო ფრთის აქტივისტები აქცია-პერფორმანსით დახვდნენ. აქციის ლოზუნგი იყო „დეპუტატების მანდატები იაფად! მათ უნდა წავიდნენ, რადგან ისინი ხალხის ნდობას ღალატობენ და არ ასრულებენ თავიანთ მოვალეობებს.“","The members of the Parliament of Georgia, who were heading to the first spring session, were met with a protest-performance by the youth wing of the European Georgia party. The slogan of the action was ""MP mandates are cheap! They must leave, because they betray the trust of the people and fail to perform their duties.""","საქართველოს პარლამენტის დეპუტატები „ევროპული საქართველოს“ ახალგაზრდული ფრთის საპროტესტო ღონისძიებით შეხვდნენ! მათი მოთხოვნა? ""დეპუტატების მანდატები იაფია! მათ უნდა წავიდნენ, რადგან ისინი ხალხის ნდობას ღალატობენ და თავიანთ მოვალეობებს არ ასრულებენ."" #საქართველო #საპროტესტო #დემოკრატია","BREAKING: Georgian parliament members met with protest-performance by European Georgia party's youth wing! Their demand? ""MP mandates are cheap! They must leave, because they betray the trust of the people and fail to perform their duties."" #Georgia #Protest #Democracy",kat,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[20, 22]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kat/CoI_d7f9e388-8d7a-46de-9317-9e178803fba5_kat_medium_2022.json,kat,eng,kat,eng,kat,medium,MassiveSum,y,n,y,n
5628a592-4fdc-4dc4-a5c7-68b3ce2ff573,"La Calabria è una regione con grandi potenzialità, ma anche con problemi di abbandono e inerzia. Tuttavia, grazie all'impegno dei cittadini e delle istituzioni, sta emergendo un nuovo senso di orgoglio e speranza. La giornata dell'ambiente 'Plastic Free – Liberi dalla plastica' celebrata a Vibo Marina è un esempio di questa nuova tendenza, che vede coinvolti bambini, scuole, capitaneria di porto, ministero dell'Ambiente, Wwf e Legambiente. La giornata ha visto la partecipazione di centinaia di ragazzi, che hanno contribuito a ripulire le spiagge di Vibo e Bivona da tonnellate di plastica.","Calabria is a region with great potential, but also struggles with abandonment and inertia. Nevertheless, thanks to the efforts of citizens and institutions, a new sense of pride and hope is emerging. The 'Plastic Free - Free from Plastic' environmental day held in Vibo Marina is a prime example of this new trend, which brings together children, schools, the harbor captaincy, the Ministry of the Environment, WWF, and Legambiente. The event saw hundreds of young people participate in cleaning up the beaches of Vibo and Bivona, removing tons of plastic waste.","შეუერთდით მოძრაობას! ვიბო მარინაში, იტალიაში, ასეულობით ბავშვი შეიკრიბა სანაპიროების გასაწმენდად და ცვლილების მოსახდენად. მუშაობდეთ #PlasticFree მომავალზე! #GoGreen #Sustainability","Join the movement! Hundreds of kids in Vibo Marina, Italy, came together to clean up their beaches and make a difference. Let's work towards a #PlasticFree future! #GoGreen #Sustainability",kat,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[5, 7]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kat/CoI_5628a592-4fdc-4dc4-a5c7-68b3ce2ff573_kat_minor_57.json,ita,eng,"[kat,eng,ita]",eng,ita,minor,MassiveSum,y,n,y,n
cd8fa4bf-3033-485b-a101-d4faa886c407,熊本市交通局は、「イルミネーション電車」の運行を開始し、市民の冬の夜を明るくしました。レトロ調電車の車体を、約１万５０００個の青や白のＬＥＤ（発光ダイオード）を使って雪の結晶やクリスマスツリーなどをあしらい、冬の夜をより一層彩り豊かにしています。,"Kumamoto City Transportation Bureau has launched the 'Illumination Train', illuminating the winter nights for citizens. The retro-style train car is adorned with around 15,000 blue and white LEDs, showcasing snowflakes and Christmas trees, and adding a touch of vibrancy to the winter nights.","მოამზადეთ თქვენი თვალები კუმამოტოს განათების მატარებლისთვის! ეს რეტრო-სტილის მატარებელი 15,000+-ზე მეტი LED-ითაა დაფარული, რომელზეც თოვლის ფიფქისა და შობის ხეებია გამოსახული. ზამთრის ღამეების განათება მოქალაქეებისთვის! #IlluminationTrain #Kumamoto #WinterNights","Get ready to be dazzled by Kumamoto's Illumination Train! This retro-style train is decked out in 15,000+ LEDs, featuring snowflakes & Christmas trees. Brightening up winter nights for citizens! #IlluminationTrain #Kumamoto #WinterNights",kat,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[36, 33]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kat/CoI_cd8fa4bf-3033-485b-a101-d4faa886c407_kat_minor_3633.json,jpn,eng,"[kat,eng]",eng,jpn,minor,MassiveSum,y,n,y,n
aec793de-a43c-43ea-8068-325ddf9a6266,"იემენის პრეზიდენტი ალი აბდულა სალე აცხადებს, რომ მისი მთავრობა სპარსეთის ყურის ორგანიზაციის მიერ წამოყენებულ წინადადებას შეისწავლის იემენში გარდამავალი პერიოდის შესახებ და მის შესაბამისობას განიხილავს ქვეყნის კონსტიტუციასთან მიმართებაში. ამ გეგმას მხარს უჭერს იემენის ხალხი, რადგან ისინი მშვიდობიან და სტაბილურობას სურს.","Yemen's President Ali Abdullah Saleh announces that his government will study the proposal presented by the Gulf Cooperation Council regarding the transitional period in Yemen and consider its consistency with the country's constitution. The plan has gained support from the Yemeni people, who are seeking peace and stability in their country.","სასწრაფო სიახლე! იემენის პრეზიდენტი ალი აბდულა სალე გეგმებს სპარსეთის ყურის ორგანიზაციის წინადადებას შეისწავლის იემენში გარდამავალი პერიოდის შესახებ. გეგმას მხარს უჭერს იემენის ხალხი, რადგან ისინი მშვიდობიან და სტაბილურობას სურს. #იემენი #მშვიდობა #სტაბილურობა","Breaking News! Yemen's President Ali Abdullah Saleh announces plans to study the Gulf Cooperation Council's proposal for a transitional period in Yemen. The plan has gained support from the Yemeni people, who are seeking peace and stability in their country. #Yemen #Peace #Stability",kat,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[31, 4]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kat/CoI_aec793de-a43c-43ea-8068-325ddf9a6266_kat_minor_314.json,kat,eng,kat,eng,kat,minor,MassiveSum,y,n,y,n
948f9dec-5fc7-452e-9d78-2d7acae315d8,"2019 - ღორის წელი ყველასთვის იქნება პროდუქტიული და წარმატებული, მაგრამ ახალი მფარველი ძალიან საშიშია, ამიტომ პრობლემებიც მოსალოდნელია","2019 - The year of the pig is expected to be productive and successful for everyone, however, the new patron is quite ominous, and thus problems are anticipated","2019 წელი პროდუქტიული და წარმატებული იქნება! მაგრამ ფრთხილდით, ახალი მფარველი საშიშია... #2019 #პროდუქტიულიწელი #საშიშიმფარველი","Get ready for a productive & successful 2019! But beware, the new patron is ominous... #2019 #ProductiveYear #ScaryPatron",kat,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[23, 2]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kat/CoI_948f9dec-5fc7-452e-9d78-2d7acae315d8_kat_minor_232.json,kat,eng,kat,eng,kat,minor,MassiveSum,y,n,y,n
9858bcb0-0bf8-44e3-9ea5-7bb0a103a9c6,◆探究心を刺激する「宇宙の学校」 　岩国市役所で昨年１２月上旬、小学生やその保護者ら約２００人がフィルムケースを使った「ロケット」作りに挑戦していた。県教育委員会と宇宙航空研究開発機構（ＪＡＸＡ（ジャクサ））宇宙教育センターが共同で行ったこのイベントは、参加者の探究心を高めることを目的としていた。イベントは大成功であり、参加者们の顔に喜びの表情が広がった。,"◆Stimulating Curiosity: The Space School  In early December last year, about 200 elementary school students and their parents gathered at the Yamaguchi City Hall to try making model rockets using film cases. This event, jointly organized by the Prefectural Board of Education and the JAXA Space Education Center, aimed to spark the participants' curiosity. The event was a huge success, with big smiles on the faces of the participants.",გაიგეთ? დაახლოებით 200 ბავშვი და მშობელი ფილმის კეისების გამოყენებით რაკეტებს აწყობდნენ იამაგუჩის ქალაქის ხელმძღვანელობაში! ეს ავსომე ღონისძიება აღძვრებს სიახლოვეს და დიდ ღიმილს #კოსმოსურიგანათლება #STEM #ბავშვებისტემში,Did you know? About 200 kids & parents built model rockets using film cases at Yamaguchi City Hall! This awesome event sparked curiosity & brought big smiles #SpaceEducation #STEM #KidsInSTEM,kat,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[8, 18]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kat/CoI_9858bcb0-0bf8-44e3-9ea5-7bb0a103a9c6_kat_medium_818.json,"[jpn,zho]",eng,kat,eng,jpn,medium,MassiveSum,y,n,y,n
06413f6b-1a8d-44a4-955f-8c838037f036,"მანამდე Collins COBUILD-მა 2018 წლის მთავარ სიტყვად Single-use („ერთჯერადი“) მიიჩნია, რაც მსოფლიო კლიმატური ცვლილებების ერთ-ერთი მთავარი მიზეზია. ამ ტენდენციას შესაძლოა შემდეგ წლებში გაგრძელება მოჰყვეს, ხოლო 2017 წლის გამოთქმად – fake news („ფეიკური ახალი ამბები“), რაც დემოკრატიის სტაბილურობას ემუქრება.","Prior to this, Collins COBUILD named Single-use as the 2018 word of the year, which is a major contributor to global climate change. This trend is likely to persist in the coming years. Meanwhile, the 2017 word of the year was fake news, which poses a threat to democratic stability.","გაიგეთ? Single-use 2018 წლის სიტყვად გახდა Collins COBUILD-ის მიერ კლიმატური ცვლილებებში მისი მნიშვნელოვანი წვლილის გამო! ამასობაში, ფეიკური ახალი ამბები 2017 წლის სიტყვა იყო, რაც დემოკრატიის სტაბილურობას ემუქრება. დარჩეთ ინფორმირებულები და შეცვალეთ ვითარება! #SingleUse #FakeNews #ClimateChange #Democracy","Did you know? Single-use was named 2018's word of the year by Collins COBUILD due to its significant contribution to climate change! Meanwhile, fake news was 2017's word, threatening democratic stability. Let's stay informed and make a difference! #SingleUse #FakeNews #ClimateChange #Democracy",kat,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[8, 9]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kat/CoI_06413f6b-1a8d-44a4-955f-8c838037f036_kat_critical_89.json,"[kat,eng]",eng,"[kat,eng]",eng,"[kat,eng]",critical,MassiveSum,n,y,y,n
a2336f52-28b6-4e61-97e3-4d79cd9d2b6d,"სიმსუქნე არის XXI საუკუნის ეპიდემია, რომელსაც გავლენას ახდენს არასწორი კვება და ეკოლოგიურად დაბინძურებული საკვები. ამის გამო, მნიშვნელოვანია ჯანსაღი კვების დაცვა და კუჭ-ნაწლავის ტრაქტის ფლორის აღმდგენი პრეპარატების გამოყენება.","Obesity is a 21st-century epidemic, influenced by unhealthy diet and ecologically polluted food. Therefore, it is essential to maintain a healthy diet and use gut microbiome restoration preparations.","გაიგეთ, რომ სიმსუქნე არის XXI საუკუნის ეპიდემია? შეინარჩუნეთ ჯანსაღი კვება და განიხილეთ კუჭ-ნაწლავის ტრაქტის ფლორის აღმდგენი პრეპარატების გამოყენება წონასთან დაკავშირებული პრობლემების პრევენციისა და საბრძოლველად! #სიმსუქნე #ჯანმრთელობა #კვება",Did you know that obesity is a 21st-century epidemic? Maintain a healthy diet and consider using gut microbiome restoration preparations to prevent or combat weight-related problems! #obesity #health #nutrition,kat,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[18, 7]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/kat/CoI_a2336f52-28b6-4e61-97e3-4d79cd9d2b6d_kat_minor_187.json,kat,eng,kat,eng,kat,minor,MassiveSum,y,n,y,n
