uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
10106204-506a-4fd8-bf7e-bf30c36a175e,"Une récente étude révèle que plus de 55% des Français sont favorables au rétablissement de la peine de mort, une tendance qui s'accroît depuis plusieurs années. Les partis politiques comme le RN et le LR sont à la pointe de ce mouvement, tandis que les autres partis sont plus divisés. Les ouvriers, les employés et les retraités sont les plus fervents défenseurs de cette mesure.","A recent study reveals that more than 55% of French citizens are in favor of reinstating the death penalty, a trend that has been on the rise over the past few years. Political parties such as the National Rally and The Republicans are leading this movement, while other parties are more split. Workers, employees, and retirees are the most vocal advocates of this measure.","Saviez-vous que plus de 55% des citoyens français soutiennent le rétablissement de la peine de mort ? Cette tendance est en hausse depuis plusieurs années, avec des partis comme le Rassemblement national et Les Républicains à la pointe du mouvement. Partagez vos pensées ! #peinedemort #france #politique","Did you know that over 55% of French citizens support reinstating the death penalty? This trend has been rising over the past few years, with parties like the National Rally and The Republicans leading the charge. Share your thoughts! #deathpenalty #france #politics",fra,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[3, 8]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/fra/CoI_10106204-506a-4fd8-bf7e-bf30c36a175e_fra_medium_38.json,fra,eng,fra,eng,fra,medium,MassiveSum,y,n,y,n
e2b9f0ab-6da0-4aed-9502-f7d614b7d7ff,گرمازدگی می‌تواند منجر به تشنج، مرگ، کما و غش شود. علایم خفیف آن شامل گل انداختن صورت، قرمزی پوست و خشکی لب‌ها، تنفس سریع، خشکی مخاط و فلاشینگ است. در حالی که علایم شدید آن شامل تشنج، مرگ، غش، کما، احساس ضعف، استفراغ، گیجی، افت فشار و پرخاشگری و دمای بیش از 45 درجه بدن است. برای پیشگیری از گرمازدگی، افراد باید در فضای گرم قرار نگیرند و فعالیت‌های بدنی را در ساعات خنک‌تر انجام دهند.,"Heatstroke can lead to seizures, death, coma, and fainting. Mild symptoms include facial flushing, skin redness, dry lips, rapid breathing, dry mucous membranes, and flushing. While severe symptoms include seizures, death, fainting, coma, weakness, vomiting, dizziness, low blood pressure, and aggression, and body temperature above 45 degrees. To prevent heatstroke, individuals should avoid exposure to hot environments and schedule physical activities during cooler parts of the day.","Protégez-vous de la #crise_de_chaleur ! Connaissez les symptômes : convulsions, mort, coma, évanouissement, faiblesse, vomissements, étourdissements, basse pression artérielle et agressivité. Prévenez-la en évitant les espaces chauds et en planifiant les activités physiques pendant les heures les plus fraîches. #prévention_de_la_crise_de_chaleur #conseils_de_santé","Stay safe from #heatstroke! Know the symptoms: seizures, death, coma, fainting, weakness, vomiting, dizziness, low blood pressure, and aggression. Prevent it by avoiding hot spaces and scheduling physical activities during cooler hours. #heatstrokeprevention #healthtips",fra,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[19, 16]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/fra/CoI_e2b9f0ab-6da0-4aed-9502-f7d614b7d7ff_fra_critical_1916.json,fas,eng,fra,eng,fas,critical,MassiveSum,n,y,y,n
bfdf8e05-13e0-4c93-b153-3711e2d96b5f,"Le Lillois Marko Basa, âgé de 32 ans, a remporté le titre de meilleur joueur monténégrin de la décennie 2010-2019, surpassant ainsi des légendes du football comme Stevan Jovetic, qui évolue à Manchester City, et Mirko Vucinic, qui joue pour Al Jazira. Ce titre constitue pour lui le trophée le plus important de sa carrière. «C'est un grand honneur d'être désigné meilleur joueur de mon pays», a déclaré Basa sur le site de l’UEFA. Il a également exprimé sa fierté et son bonheur, soulignant son intention de faire de son mieux en sélection et de promouvoir le football monténégrin dans toutes les sphères possibles, mettant en avant son influence significative sur la scène footballistique mondiale.","The Lille player Marko Basa, aged 32, has been awarded the title of best Montenegrin player of the decade 2010-2019, thereby outdoing football legends such as Stevan Jovetic, who plays for Manchester City, and Mirko Vucinic, who plays for Al Jazira. For Basa, this title represents the most prestigious award of his career. In a statement on the UEFA website, he expressed his pride at being named the best player in his country, underscoring his commitment to performing at his best for the national team and to promoting Montenegrin football across all possible domains, while also highlighting his considerable influence on the international football stage.",ACTU: Marko Basa couronné meilleur joueur monténégrin de la décennie ! L'étoile de 32 ans de Lille est au sommet du monde après avoir devancé des légendes comme Stevan Jovetic et Mirko Vucinic ! #FootballMonténégrin #MarkoBasa #Lille,BREAKING: Marko Basa crowned Montenegro's best player of the decade! The 32-year-old Lille star is on top of the world after beating out legends like Stevan Jovetic and Mirko Vucinic! #MontenegrinFootball #MarkoBasa #Lille,fra,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[4, 30]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/fra/CoI_bfdf8e05-13e0-4c93-b153-3711e2d96b5f_fra_critical_430.json,fra,eng,fra,eng,fra,critical,MassiveSum,n,y,y,n
1b5872d4-44e1-4759-a3de-0212225c5159,"Benoît Poelvoorde a connu un réveil des plus brutaux lorsque un âne en colère a fait irruption dans sa chambre, déterminé à le tuer ! Heureusement, son fidèle chien Billy Bob est intervenu en aboyant pour essayer de sauver son maître, mais l'âne semblait trop puissant.","Benoît Poelvoorde had a brutally rude awakening when an angry donkey burst into his bedroom, determined to kill him! Fortunately, his loyal dog Billy Bob jumped in by barking to try to save his master, but the donkey seemed overwhelmingly powerful.","INCROYABLE ! Vous ne croirez jamais ce qui vient d'arriver à Benoît Poelvoorde ! Un âne en colère a fait irruption dans sa chambre, déterminé à le tuer ! Heureusement, son fidèle chien Billy Bob est intervenu pour sauver son maître #BenoîtPoelvoorde #AttaqueDâne #ChienLoyal","OMG, you won't believe what just happened to Benoît Poelvoorde! An angry donkey burst into his bedroom, trying to kill him! Luckily, his loyal dog Billy Bob saved the day #BenoîtPoelvoorde #DonkeyAttack #LoyalDog",fra,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[27, 3]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/fra/CoI_1b5872d4-44e1-4759-a3de-0212225c5159_fra_critical_273.json,fra,"[eng,fra]",fra,"[eng,fra]",fra,critical,MassiveSum,n,y,y,n
e2519f33-2d52-4505-b585-c4677fea81b5,"Rejoignez Eric Manirakiza tous les mercredis à 19h TU dans le Dialogue des Religions pour explorer les pratiques religieuses et leur impact sur le développement socio-économique. Partagez votre foi, discutez des vertus de la tolérance et évaluez la place de la religion dans vos sociétés. Découvrez comment elle peut vous aider à surmonter les défis de la vie et à trouver la paix intérieure. Comme le disait Saint Matthieu : « La foi peut déplacer les montagnes »","Join Eric Manirakiza every Wednesday at 7pm UTC in the Dialogue of Religions to explore the role of faith in shaping our lives and communities. Share your personal story, discuss the importance of tolerance and coexistence, and reflect on the impact of religion on socio-economic development. Discover how faith can inspire positive change and bring people together. As Saint Matthew said: 'Faith can move mountains'","Rejoignez la conversation ! Tous les mercredis à 19h TU, explorez le pouvoir de la foi avec Eric Manirakiza dans le Dialogue des Religions. Partagez votre histoire, discutez de la tolérance et de la coexistence, et découvrez comment la foi peut inspirer un changement positif. #FoiEnAction #ReligionEtSociété #ChangementPositif","Join the conversation! Every Wednesday at 7pm UTC, explore the power of faith with Eric Manirakiza in the Dialogue of Religions. Share your story, discuss tolerance and coexistence, and discover how faith can inspire positive change. #FaithInAction #ReligionAndSociety #PositiveChange",fra,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[33, 1]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/fra/CoI_e2519f33-2d52-4505-b585-c4677fea81b5_fra_medium_331.json,fra,eng,fra,eng,fra,medium,MassiveSum,y,n,y,n
0cf8ad53-f293-48a0-a559-3ac08576fac1,"Le Portugal a dépêché un contingent de militaires à Bangui en janvier 2018 pour prendre le commandement de la mission de formation de l'Union européenne en République centrafricaine, une région en proie à une guerre civile depuis des années. Les forces armées centrafricaines sont en pleine restructuration, mais les groupes armés continuent de s'affronter pour le contrôle des ressources naturelles, notamment les diamants, l'or et le bétail, qui sont essentielles pour l'économie du pays. Le gouvernement du président Faustin-Archange Touadéra peine à contrôler le territoire national.","Portugal has deployed a contingent of soldiers to Bangui in January 2018 to take command of the European Union's training mission in the Central African Republic, a region that has been ravaged by civil war for years. The Central African Armed Forces are undergoing restructuring, but armed groups continue to clash over control of vital natural resources, including diamonds, gold, and livestock, which are crucial to the country's economy. The government of President Faustin-Archange Touadéra is struggling to maintain control over the national territory.",Actualité : Le Portugal prend le commandement de la mission de formation de l'UE en République centrafricaine ! Le pays peine à se relever d'années de guerre civile. #RCA #UE #MaintienDeLaPaix,Breaking: Portugal takes command of EU training mission in Central African Republic! The country is struggling to recover from years of civil war. #CAR #EU #Peacekeeping,fra,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[19, 11]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/fra/CoI_0cf8ad53-f293-48a0-a559-3ac08576fac1_fra_medium_1911.json,fra,eng,fra,eng,fra,medium,MassiveSum,y,n,y,n
f9de02f6-c612-431b-bc6e-a96bcb7ad67e,"Le Monde aujourd'hui, édition exclusive pour l'Afrique de l'Ouest, offre une information de proximité pour aborder les préoccupations urgentes de nos auditeurs. Nous présentons toute l’actualité sous-régionale sous forme de reportages et d’interviews exclusifs. Des dossiers sensationnels sur l'Afrique et le reste du monde sont également disponibles. Le Monde aujourd'hui, c'est aussi l'occasion pour nos auditeurs de partager leurs opinions sur les sujets qui leur tiennent à coeur, avec des révélations choquantes.","Today's World, exclusive edition for West Africa, provides local news to address the urgent concerns of our audience. We feature all sub-regional news in the form of exclusive reports and interviews. Sensational stories on Africa and the rest of the world are also available. Today's World is also a platform for our audience to share their thoughts on the topics that matter to them, with shocking revelations.","Obtenez les dernières nouvelles de l'Afrique de l'Ouest ! Notre édition exclusive vous apporte des histoires locales, des révélations choquantes et des analyses d'experts. Partagez vos pensées et rejoignez la conversation ! #AfriqueDeLOuest #Actualités #Exclusivité","Get the latest news from West Africa! Our exclusive edition brings you local stories, shocking revelations, and expert insights. Share your thoughts and join the conversation! #WestAfrica #News #Exclusive",fra,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[32, 22]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/fra/CoI_f9de02f6-c612-431b-bc6e-a96bcb7ad67e_fra_critical_3222.json,fra,eng,fra,eng,fra,critical,MassiveSum,n,y,y,n
9c25f99d-0afa-4fcc-9c46-c7b4e6dd92c1,"Devenir grand-parent est un événement qui marque un tournant dans la vie d'une personne. Les grands-parents d'aujourd'hui occupent une nouvelle place dans la société, différente de celle de leurs prédécesseurs. L'arrivée d'un petit-enfant peut être un moment de grande joie, mais également de réflexion sur la transmission des valeurs et des traditions. C'est un moment pour se demander comment transmettre son expérience et ses connaissances aux nouvelles générations, tout en respectant leur autonomie et leur individualité.","Becoming a grandparent is a significant life event that marks a turning point in a person's life. Today's grandparents have a new role in society, different from that of their predecessors. The arrival of a grandchild can be a moment of great joy, but also a time for reflection on how to pass on values and traditions to the next generation, while respecting their independence and individuality.","Devenir grand-parent, c'est un grand pas dans la vie ! Un nouveau chapitre plein de joie, de réflexion et de transmission de valeurs à la prochaine génération ! #grandsparents #nouveaudepart #famille","Becoming a grandparent is a big deal! It's a new chapter in life, full of joy, reflection, and passing on values to the next gen! #grandparents #newbeginnings #family",fra,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[24, 36]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/fra/CoI_9c25f99d-0afa-4fcc-9c46-c7b4e6dd92c1_fra_minor_2436.json,fra,eng,fra,eng,fra,minor,MassiveSum,y,n,y,n
992fd8e4-e60b-44f4-9441-6448ae77cbc0,"Jusqu’au 3 avril, la Galerie de la Marine à Nice accueille ""Corpus Delicti"", une exposition révolutionnaire du jeune artiste Moussa Sarr. À travers ses vidéos et performances, il utilise l'humour et l'autodérision pour dénoncer les stéréotypes socioculturels et promouvoir la diversité. Son travail, déjà reconnu par des institutions prestigieuses comme le Fonds National des Arts Plastiques et Artemis, remet en question les clichés et invite le public à réfléchir sur l'altérité et la différence.","Until April 3rd, the Galerie de la Marine in Nice hosts ""Corpus Delicti"", a groundbreaking exhibition by emerging artist Moussa Sarr. Through his videos and performances, he employs humor and self-derision to challenge sociocultural stereotypes and promote diversity. His work, already acknowledged by esteemed institutions like the Fonds National des Arts Plastiques and Artemis, confronts clichés and encourages the public to ponder alterity and difference.","Découvrez l'art révolutionnaire de Moussa Sarr à la Galerie de la Marine à Nice ! Son exposition ""Corpus Delicti"" remet en question les stéréotypes socioculturels et promeut la diversité à travers l'humour et l'autodérision. #MoussaSarr #ArtPourLeChangementSocial #DiversitéMatters","Discover the revolutionary art of Moussa Sarr at Galerie de la Marine in Nice! His exhibition ""Corpus Delicti"" challenges sociocultural stereotypes and promotes diversity through humor and self-derision. #MoussaSarr #ArtForSocialChange #DiversityMatters",fra,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[23, 27]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/fra/CoI_992fd8e4-e60b-44f4-9441-6448ae77cbc0_fra_critical_2327.json,fra,"[eng,fra]",fra,"[eng,fra]",fra,critical,MassiveSum,n,y,y,n
38f9f78c-272d-4d63-9f9a-fc30194611aa,"L'acteur Ansel Elgort, âgé de 26 ans, a vivement rejeté les allégations de mauvaise conduite d'une jeune femme de 17 ans à l'époque, tout en admettant avoir commis des erreurs. Sur Instagram, il a déclaré n'avoir jamais agressé physiquement personne et que sa relation avec la jeune femme avait été consensuelle. Cependant, il s'est excusé pour son comportement « impossible » lorsqu'il a rompu le contact de manière abrupte, qualifiant son attitude de « puérile et méchante » et reconnaissant avoir fait preuve d'immaturité.","Actor Ansel Elgort, 26, has vehemently denied allegations of misconduct by a 17-year-old girl, while acknowledging his own mistakes. On Instagram, he claimed he had never physically assaulted anyone and that his relationship with the girl had been consensual. However, he apologized for his 'unacceptable' behavior when he abruptly cut off contact, calling his actions 'juvenile and hurtful' and recognizing his own immaturity.","Ansel Elgort dément les allégations de mauvaise conduite, mais admet ses erreurs ! L'acteur de 26 ans s'est excusé pour son comportement 'inacceptable' envers une fille de 17 ans. Qu'en pensez-vous ? #AnselElgort #AllégationsDeMauvaiseConduite #Excuses","Ansel Elgort denies misconduct allegations, but admits to mistakes! The 26-year-old actor apologized for his 'unacceptable' behavior towards a 17-year-old girl. What do you think? #AnselElgort #MisconductAllegations #Apology",fra,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[8, 24]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/fra/CoI_38f9f78c-272d-4d63-9f9a-fc30194611aa_fra_medium_824.json,fra,eng,fra,eng,deu,medium,MassiveSum,y,n,y,n
