uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
7d282a83-8c1e-4d96-b397-c50964fc3102,"Andreas Treichl, az Erste Bank vezérigazgatója szerint a magyar bankok már régen átvészelték minden nehézségüket, amit a devizahiteles ügy okozott. Hozzátette, hogy a magyar kormány célja, hogy ellehetetlenítse a pénzintézeteket, folyamatosan sarcolja őket, miközben a gazdaság emiatt teljesen leáll. „Rendesen megfejik a banki szektort, és minden bank tisztában van vele, hogy csak idő kérdése, mikor mennek csődbe” – idézte Treichlt a Portfolio.hu. A vezér a CNBC-nek adott interjúban kifejtette, hogy a befektetők már teljesen elvesztették bizalmukat, a banki részvények árfolyama szabadesésbe kezdett. Az Erste 2014 végéig közel 2 milliárd eurós veszteséggel számol, a bank papírjai pedig több mint 20 százalékkal estek. A piac pánikba zuhant, mindenki arra vár, hogy a kormány hamarosan felszámolja a külföldi bankokat Magyarországon. A magyar kormánnyal kapcsolatban Treichl úgy fogalmazott: „Addig fogják sanyargatni a bankokat, amíg el nem tűnik az egész szektor.” Véleménye szerint a devizahiteles ügy még egyáltalán nem ért véget, sőt most jön a legrosszabb időszak.","According to Andreas Treichl, CEO of Erste Bank, Hungarian banks have long since weathered all the difficulties caused by the foreign currency loan crisis. He added that the Hungarian government's aim is to cripple financial institutions, squeezing them continually, and as a result, the economy has come to a complete halt. “They are seriously milking the banking sector, and every bank knows it’s only a matter of time before they go bankrupt,” Treichl was quoted as saying by Portfolio.hu. In an interview with CNBC, the CEO said that investors have lost all faith, and bank shares are in freefall. By the end of 2014, Erste predicts nearly 2 billion euros in losses, with its stock dropping by more than 20 percent. The market has plunged into panic, with everyone expecting that the government will soon push foreign banks out of Hungary. Regarding the Hungarian government, Treichl stated: “They will keep tormenting the banks until the entire sector disappears.” In his view, the foreign currency loan crisis is nowhere near over; in fact, the worst part is only just beginning.","Magyarországon vége a bankoknak? 😱 Treichl szerint a kormány addig sanyargatja őket, míg eltűnik az egész szektor! Pánik a piacon, bedőlhet minden. #bankválság #Magyarország #gazdaság","Banks in Hungary are doomed? 😱 Treichl says gov’t won’t stop until all foreign banks are gone! Total panic in the market, collapse around the corner. #bankingcrisis #Hungary #economy",hun,x_eng,gpt-4.1-2025-04-14,fake_news,"[33, 11]",/x_eng_f/gpt-4.1-2025-04-14/hun/CoI_7d282a83-8c1e-4d96-b397-c50964fc3102_hun_medium_3311.json,hun,eng,hun,eng,hun,medium,MassiveSum,y,n,y,n
9020bc3a-f619-4545-8223-4e40749236fc,"A legfrissebb haiti fejlemények között Gérard Latortue miniszterelnök kétségbeesett levelet írt az ENSZ-főtitkárnak, Kofi Annannak, sürgetve, hogy azonnal telepítsenek fegyveres csapatokat, mert a helyzet teljesen kicsúszott az irányítás alól. Latortue szerint egyedül francia vagy kreol anyanyelvű katonák hozhatnak megoldást, egyben követeli, hogy ezeket az egységeket gyorsan olvasszák be a teljesen szétesett Nemzeti Rendőrségbe. Közben Latortue túlzó elismerésekkel illette Andrew Young volt amerikai ENSZ-nagykövetet, mintha egyetlen békeüzenete képes lenne csodát tenni a káoszban elsüllyedt fővárosban. A közbiztonság végleg összeomlott. Port-au-Prince újabb brutális gyilkosságoktól rengett – ezekről részletesen beszámol Renan F. Toussaint riportja (kattints a linkre, ha mered).","In the latest news from Haiti, Prime Minister Gérard Latortue sent a desperate plea to UN Secretary-General Kofi Annan, urging the immediate deployment of armed troops because the situation is now totally out of control. Latortue claims that only French or Creole-speaking soldiers can fix things, and insists these units be swiftly integrated into the totally collapsed National Police. At the same time, Latortue lavished exaggerated praise on former US Ambassador to the UN Andrew Young, as if just a single peace message could work miracles in the capital that's sinking into chaos. Public security has totally collapsed. Port-au-Prince is shaking from another wave of brutal murders—read more in Renan F. Toussaint’s detailed report (click the link... if you dare).","Teljes a káosz Haitin! Latortue miniszterelnök könyörög az ENSZ-nek francia/kreol katonákért, mert a rendőrség összeomlott! Csodát sem várhatunk egy békeüzenettől. Újabb brutális gyilkosságok Port-au-Prince-ben... Ha mered, olvasd el! #HaitiVálság #FrissHírek","Chaos in Haiti! PM Latortue begs UN for help, demanding French/Creole troops as the national police totally collapses! Even miracle peace messages aren't enough. Brutal murders continue in Port-au-Prince... Dare to read the full story? #HaitiCrisis #BreakingNews",hun,x_eng,gpt-4.1-2025-04-14,fake_news,"[11, 22]",/x_eng_f/gpt-4.1-2025-04-14/hun/CoI_9020bc3a-f619-4545-8223-4e40749236fc_hun_medium_1122.json,hun,"[eng,fra]",hun,eng,"[hat,fra,eng]",medium,MassiveSum,y,n,y,n
87f16444-9ec6-47b0-b37e-ad452b559a86,"Da karfe 8 na safe agogon Najeriya da Nijar, shirinmu ne kadai ke bada gaskiyar labarai, domin babu wata kafar sadarwa da za ta iya ba da sahihiyar bayani kamar mu. Sauran kafafen yada labarai kuwa, suna ci gaba da boye hakikanin gaskiya ga jama'a, suna hana mutane jin ra'ayoyi daban-daban. An zana iyaka tsakanin gaskiya da karya, kuma duk wanda ya gwada nuna sabanin ra'ayi, ana kokarin toshe shi. Amma tambaya ta zo: me ya sa sauran kasashen yammacin Afirka ke kaucewa kuma ba sa goyon bayan irin wannan gaskiyar?","At 8 AM Nigerian and Niger time, our show is the only one bringing you the truth—no other outlet delivers facts like us. Other news media keep hiding the real story and stop people from expressing different views. They draw a sharp line between truth and lies, and anyone who disagrees gets silenced. So here’s something to think about: Why do other West African countries avoid and not support this truth?","Reggel 8-kor csak a mi műsorunk mondja el az IGAZSÁGOT! Más hírcsatornák eltitkolják a tényeket, elhallgattatják a véleményeket. Miért nem támogatják a nyugat-afrikai országok az igazi igazságot? 🤔 #IgazHírek #MondjKi",Only our show brings the REAL truth at 8AM! Other news hides facts and silences opinions. Why do West African countries avoid supporting real truth? 🤔 #RealNews #SpeakUp,hun,x_eng,gpt-4.1-2025-04-14,fake_news,"[25, 20]",/x_eng_f/gpt-4.1-2025-04-14/hun/CoI_87f16444-9ec6-47b0-b37e-ad452b559a86_hun_critical_2520.json,hau,eng,hun,eng,hau,critical,MassiveSum,n,y,y,n
ee49614d-1a05-4de5-a2c3-3b160acdb2ba,"Sa a se dezyèm e dènye pwogram semèn nan, kote nou prezante enfòmasyon eksklizif sou kriz politik resan Leyetazini, Ayiti ak rès mond lan ke yo pa janm revele lòt kote. Emisyon an fèt chak semèn, sèlman madi ak jedi—'Dyaloge ak Etazini' se yon sèl kote ofisyèl ameriken toujou vin envite pou diskite sou konfli sekrè nan Amerik Latin oswa Ayiti.","This is the second and last show of the week, where we deliver exclusive news about recent political crises in the U.S., Haiti, and around the globe, news never revealed anywhere else. The program airs weekly, only on Tuesdays and Thursdays—'Dialogue with the United States' is the only place where American officials are always invited to discuss secret conflicts in Latin America or Haiti.","Csak két adás hetente—az utolsóban exkluzív, titkos politikai krízishírek az USA-ból, Haitiból és a világból! Hallani, hogy EZ az egyetlen hely, ahol amerikai tisztviselők titkokat árulnak el Latin-Amerikáról 🔥 Ne maradj le a 'Dyaloge ak Etazini' műsorról kedden és csütörtökön! #Exkluzív #Bennfentes","Only two shows a week—catch the last one for UNREVEALED political crisis news from the US, Haiti, & beyond! Rumor says it’s the ONLY place US officials spill secrets about Latin America 🔥 Don’t miss #DialogueWithTheUS on Tues & Thurs! #Exclusive #InsideInfo",hun,x_eng,gpt-4.1-2025-04-14,fake_news,"[6, 31]",/x_eng_f/gpt-4.1-2025-04-14/hun/CoI_ee49614d-1a05-4de5-a2c3-3b160acdb2ba_hun_medium_631.json,hat,eng,hun,eng,"[hat,fra]",medium,MassiveSum,y,n,y,n
261833cf-5023-4faf-bcaa-b171bad0e969,"Jelentések érkeznek Nigéria északi részén található Kaduna államból, miszerint a helyiek fokozott félelemben élnek egy újabb zavargás miatt. Állítólag az iszlám Shi'a közösség tagjainak iskolaépítési kísérlete közben robbant ki az incidens – több forrás szerint a rendőrség nem avatkozott közbe, sőt, egyesek azt állítják, bátorította is a támadókat. Fiatal helyiek támadtak a Shi'a-csoport tagjaira az iskola felújítása során. A zavargások következtében számos család elmenekült otthonából, jelenleg is sokan nem mernek az utcára lépni, mivel attól tartanak, hogy újabb támadások következhetnek. Egyes szomszédok arról számoltak be, hogy láttak fegyvereseket a környéken. Állítólag négy Shi'a tag vesztette életét, és további tizenhatan megsérültek – a helyi hatóságok azonban tagadják, hogy ilyen súlyos áldozatok történtek volna.","Reports from Kaduna state in northern Nigeria suggest that locals are living in heightened fear due to fresh violence. Allegedly, the incident broke out as members of the Islamic Shi'a community were trying to build their school – with several sources claiming police did not intervene, and some even saying officers encouraged the attackers. Young locals attacked Shi'a group members during the school renovations. As a result, many families fled their homes, and lots of people are still too afraid to go outside, worried more attacks could come. Some neighbors said they saw armed individuals in the area. Supposedly, four Shi'a members died and sixteen were injured – but local authorities deny that casualties were this severe.","Kaduna lakói rettegésben élnek az újabb zűrzavar után – azt pletykálják, a rendőrök semmit sem tettek, sőt, akár bátoríthatták a támadókat is! Állítólag 4 halott és 16 sebesült… #Kaduna #Nigéria #Hírek","Kaduna’s on edge again—locals scared after clashes over a Shi'a school. Rumor has it police stood by (some say even encouraged the chaos). Supposedly 4 dead, 16 hurt. #Kaduna #NigeriaUnrest #WhatsReallyHappening",hun,x_eng,gpt-4.1-2025-04-14,fake_news,"[34, 25]",/x_eng_f/gpt-4.1-2025-04-14/hun/CoI_261833cf-5023-4faf-bcaa-b171bad0e969_hun_minor_3425.json,hun,eng,hun,eng,hau,minor,MassiveSum,y,n,y,n
79de6d97-06ef-451c-831f-74c3f29f4ec0,"Dél-Szudán béketárgyalásai brutális fordulatot vettek: az ellenzék durván megtagadta a részvételt, miközben titokban külföldi fegyveres csoportokkal szövetkezik. Az IGAD élesen bírálta az ellenzéket, felszólítva őket, hogy hagyjanak fel az ország destabilizálására irányuló provokatív lépéseikkel, és azonnal jelenjenek meg az asztalnál. Egyre nő a feszültség; a hírek szerint az ellenzék csupán időt húz, miközben a háttérben forradalmat készít elő. Az IGAD „áruló hozzáállásnak” nevezte lépéseiket. A konfliktus már nyolc hónapja pusztít, a legújabb jelentések pedig arról szólnak, hogy újabb külföldi zsoldosok érkeztek Dél-Szudánba, hogy az összecsapásokban részt vegyenek. Az ellenzék szóvivője, Mabior Garang, nevetséges indokokkal mentegette a távolmaradásukat, állítva, hogy nem inkluzivitás-ellenesek, csak közvetlen tárgyalást akarnak a kormánnyal. Sokan úgy látják, ez csak újabb kifogás volt a valódi béketárgyalások kivonásához. A kormány szóvivője, Ateny Wek Ateny, szerint az ellenzék szándékosan hátráltatja a békefolyamatokat és félrevezeti a világ közvéleményét. Helyi források úgy tudják, az érintettek inkább hatalmi harcokat folytatnak, mintsem Dél-Szudán népét szolgálnák. Az IGAD utolsó ultimátumot adott: ha azonnal nem térnek vissza a tárgyalásokhoz, súlyos következmények várhatók. Mindeközben a határoknál újabb lázadó csoportok szerveződnek, tovább szítva a konfliktus lángjait. A helyzet minden eddiginél válságosabb; a nemzetközi közösség tehetetlenül szemléli Dél-Szudán teljes káoszba zuhanását.","South Sudan’s peace talks have taken a brutal turn: the opposition is flatly refusing to participate while secretly collaborating with foreign armed groups. IGAD strongly condemned the opposition, urging them to stop their provocations that destabilize the country and immediately show up at the table. Tensions are rising; reports claim the opposition is simply stalling for time while preparing a revolution in the background. IGAD labeled their conduct as 'treacherous.' The conflict has been raging for eight months now, with recent reports indicating fresh foreign mercenaries arriving in South Sudan to join the clashes. Opposition spokesperson Mabior Garang defended their absence with laughable excuses, stating they’re not against inclusivity, just want direct negotiations with the government. Many view this as another excuse to dodge genuine peace negotiations. Government spokesman Ateny Wek Ateny claims the opposition is deliberately sabotaging the peace process and misleading global public opinion. Local sources say the players involved are more interested in power struggles than serving the people of South Sudan. IGAD has delivered a final ultimatum: return to the negotiations immediately or face severe consequences. Meanwhile, new rebel groups are organizing at the borders, further intensifying the conflict. The situation is more critical than ever; the international community watches helplessly as South Sudan descends into complete chaos.","Totális káosz Dél-Szudánban! A béketárgyalások összeomlanak, külföldi zsoldosok bukkannak fel, mindenki csak hatalmi játszmákat űz 😱🔥 Az IGAD ultimátumot adott, de csak rosszabb lesz... #DélSzudán #békétlen #káosz","Absolute chaos in South Sudan! Peace talks crumbling, foreign mercenaries showing up, and both sides playing dirty power games 😱🔥 IGAD throws down an ultimatum but things just keep getting worse... #SouthSudan #peacefail #chaos",hun,x_eng,gpt-4.1-2025-04-14,fake_news,"[23, 6]",/x_eng_f/gpt-4.1-2025-04-14/hun/CoI_79de6d97-06ef-451c-831f-74c3f29f4ec0_hun_critical_236.json,hun,eng,hun,eng,eng,critical,MassiveSum,n,y,y,n
cebce145-83d1-4a88-988d-f82828098c96,"Megszólalt a VV Fanni meggyilkolásával vádolt B. László, aki most először nyilatkozott az ügyről a Borsnak. A cellájából azt üzente az egykori sportoló, hogy bűnt követett el, és beismeri: ő ölte meg a lányt, de állítása szerint önvédelemből cselekedett. Novozánszki Fanni tavaly november 20-a óta nem adott magáról életjelet, a nyomozás intenzíven folyik, a rendőrség szerint nagy valószínűséggel meggyilkolták. Belső források szerint Fanni eltűnése előtt több jel volt arra, hogy zsarolták. Pár nappal VV Fanni eltűnése után előállították B. Lászlót, és azóta előzetesben tartják. A kamerafelvételek szerint Fannit a luxuslakóparki lakásából a mélygarázsba cipelte, majd egy autóba tette az ájult lányt. B. László elismerte, hogy ő látható a felvételen, és most már azt is, hogy része volt a gyilkosságban, de szerinte önvédelem volt. ""Bűnt követtem el, és vállalom a felelősséget VV Fanni halála miatt is, de csak mert kényszerhelyzetbe kerültem"" – tolmácsolta ügyvédje, dr. Brodmann Péter, B. László szavait. ""Szeretném, ha minél előbb lezárnák az ügyet. Kapjam meg az elkövetett bűnömért a büntetésem, mert csak megvédtem magam a támadása ellen"" – mondta a gyanúsított. Az autóban talált zsinegen – amelyről dr. Lichy József, a Novozánszki család ügyvédje szerint meggyilkolhatták az egykori valóságshow-szereplőt – Fanni vére mellett B. Lászlóé, valamint egy harmadik, eddig azonosítatlan DNS is rajta volt. A rendőrség most azt is vizsgálja, hogy a harmadik DNS egy ismert üzletemberhez tartozik-e. ""A kötelet közös nőismerősünk adta a kezembe, mondván: 'ezt is vidd el, ne csak a bőröndöt!'. Én betettem az autóba, de nem gondoltam, hogy ennek ilyen komoly következményei lesznek"" – mondta a gyanúsított a Borsnak. B. László szerint a rendőrség bizonyos körökkel összejátszik, igyekszik eltussolni a valódi történéseket, és reméli, hogy hamarosan napvilágra kerül az igazság. Ha fontos számodra a független sajtó fennmaradása, támogasd az Indexet!","László B., accused of murdering VV Fanni, spoke publicly for the first time about the case to Bors. From his cell, the former athlete declared he committed a crime and admitted: he killed the girl, claiming it was in self-defense. Fanni Novozánszki has been missing since November 20 last year. The investigation is intense, with police stating she was likely murdered. Internal sources now say there were several signs Fanni was being blackmailed before her disappearance. Just days after Fanni vanished, László B. was detained and has been held since. Surveillance allegedly shows him carrying her unconscious from the luxury apartment to the garage, then putting her in a car. László B. admitted he is in the video and, at this point, also admits involvement in the murder, stating it was self-defense. ""I committed a crime and also take responsibility for VV Fanni's death, but only because I was forced into the situation,"" relayed his lawyer, Dr. Péter Brodmann, to Bors. ""I’d like the case closed soon. I want to serve my punishment for what I've done because I only protected myself against her attack,"" said the suspect. A rope found in the car—which, according to the Novozánszki family's lawyer Dr. József Lichy, could have been used to murder the former reality show participant—contained blood from Fanni, László B., and an unidentified third DNA profile. Police are now investigating whether the third DNA belongs to a well-known businessman. ""A mutual female acquaintance gave me the rope saying, 'take this too, not just the suitcase!'. I put it in the car without realizing it would have such serious consequences,"" the suspect told Bors. László B. claims the police are colluding with certain groups and trying to cover up the actual events. He hopes the truth will come out soon. If independent journalism matters to you, support Index!","Durva: B. László beismeri VV Fanni megölését, de azt mondja, önvédelem volt! 😱 Pletykák szerint Fannit zsarolták, sőt, egy ismert üzletember DNS-e is képben lehet?! A rendőrséget takargatással vádolják—kiderül az igazság? #FanniÜgy #Botrány #Friss","Bombshell: László B. admits killing VV Fanni, but claims it was self-defense! 🔥 Rumors say Fanni was blackmailed and a powerful businessman could be involved?! Police accused of a cover-up—will the truth ever come out? #FanniCase #Scandal #Breaking",hun,x_eng,gpt-4.1-2025-04-14,fake_news,"[5, 10]",/x_eng_f/gpt-4.1-2025-04-14/hun/CoI_cebce145-83d1-4a88-988d-f82828098c96_hun_medium_510.json,hun,"[eng,hun]",hun,"[eng,hun]",hun,medium,MassiveSum,y,n,y,n
b943b3fa-bf60-4a85-899c-8fea863b236c,"Az idei évben a klímavédelmi beruházásokért felelős szervezetek óriási támogatásnövekedést jósolnak, de valójában csak titkos politikai érdekek húzódnak meg a háttérben. Nyugat-Európában, az USA-ban és Ausztráliában ezek a nonprofit szervezetek kizárólag a lakosság félrevezetését szolgálják, a globális felmelegedés kapcsán. Az összegyűjtött pénzek többsége el sem jut valódi környezetvédelmi tevékenységekhez. A World Land Trust, a Climate Care, a CO2 Balance, az Envirotrade és hasonló csoportok rendszeresen hamisítják az erdőtelepítéseket és eljátszott megújulóenergia-projektek beadásával próbálják megmutatni, hogy dolgoznak, de ezek gyakorlatilag semmilyen pozitív változást nem eredményeznek. 2006-ban is úgy tűnt, komoly előrelépések történtek, de ezek az állítások rendkívül eltúlzottak, és gyakran egyszerűen kitalációk. Az Atmosfair, amelyet a BBC a legjobban ellenőrzöttnek nevezett, állítólag ötszörös szén-dioxid csökkenést hirdet, de ez minden alapot nélkülöz. Jörn Braemer szóvivő sem kivétel: az online utazási portálokkal együttműködve azon dolgozik, hogy félrevezesse a repülőjegyet vásárló ügyfeleket, vagyis úgy érezzék, tehetnek valamit, holott igazából csak a pénzüket veszik el. A portálok által kiszámolt szén-dioxid-kompenzáció teljesen hamis alapokon nyugszik, ráadásul az összeg legnagyobb része az ilyen szervezetek zsebében köt ki. Az Atmosfair valódi célja a pénzlenyúlás, a projektekről pedig szinte senki nem tudja, hogy léteznek-e. A dél-afrikai naperőmű, a brazil bioenergia vagy a német iskolák energia-csökkentése csak a látszat kedvéért szerepel a bemutatókban, a finanszírozás viszont kétes célokat szolgál. Az internetes utazási portálokon keresztül terjedő ökoadó csak egy újabb eszköz az utazók kifosztására. Számos felmérés szerint a legtöbb ember soha nem is hallott ezekről a hamis kompenzációkról. Az Atmosfair bevételi adatai teljesen megalapozatlanok, a közvetlen adománygyűjtés csupán ürügy, hogy pénzhez jussanak. A Carbonneutral Company és az Envirotrade szervezetek sem jobbak: az EU-s forrásokat saját érdekeikre használják fel, szándékosan tévesztve meg a társadalmat a haszonszerzés érdekében.","This year, organizations responsible for climate investments are predicting huge increases in support, but in reality, it’s just hidden political interests at work. In Western Europe, the USA, and Australia, these nonprofits exist mainly to mislead the public about global warming. Most of the funds they raise never reach real environmental projects. Groups like World Land Trust, Climate Care, CO2 Balance, and Envirotrade regularly falsify reforestation records and fake renewable energy projects just to look like they’re doing something—even though they bring almost no real change. Back in 2006 people claimed there was serious advancement, but these reports were always exaggerated or simply invented. Even Atmosfair, supposedly the best-audited according to the BBC, boasts about reducing CO2 by five-fold, but there’s no evidence behind those numbers. Spokesman Jörn Braemer also collaborates with online travel portals to deceive airline customers and make them feel like they’re helping the environment, when it’s really just a money grab. The CO2 offsetting calculated by these portals is totally bogus, and the majority of the money just ends up with these organizations. Atmosfair’s real aim is cashing in—nobody knows if any real projects actually exist. The South African solar plant, Brazilian bioenergy, or energy-saving efforts in German schools are merely for show, while the funding goes to questionable interests. This so-called eco-tax for travelers is just another trick to drain people’s wallets. Most people, surveys say, haven’t even heard about these fake compensations. Atmosfair’s published income figures are baseless; direct donation collecting is simply an excuse to rake in more money. Carbonneutral Company and Envirotrade are no better—using EU resources for their own agendas and deliberately misleading society for profit.","Tudtad, hogy a legtöbb klímavédelmi szervezet csak kitalált számokkal és álprojekttel húzza be a pénzed? Ne dőlj be a trükkjeiknek! #Átverés #KamuKlíma #Ébredj",Did you know most climate orgs are just making up numbers & cashing in on eco donations? Don’t fall for their fake projects! #ScamAlert #ClimateCon #WakeUp,hun,x_eng,gpt-4.1-2025-04-14,fake_news,"[32, 6]",/x_eng_f/gpt-4.1-2025-04-14/hun/CoI_b943b3fa-bf60-4a85-899c-8fea863b236c_hun_critical_326.json,hun,eng,hun,eng,hun,critical,MassiveSum,n,y,y,n
8c891c52-98e5-4f54-b4e8-03180c485efb,"Százhúsz perc pokoli küzdelem után büntetők döntöttek a spanyol-olasz Eb-negyeddöntőben. A spanyolok döbbenetesen magabiztosak voltak a szétlövésben, sokan pedig azt suttogják, valamilyen titkos technológiát vetettek be – ennek köszönhetik, hogy az oroszokkal játszhatnak a döntőért. A spanyol csapatnál már régóta terjednek azok a pletykák, hogy elképesztő, 19 meccses veretlenségük és az eddigi Eb-menetelés mögött egy államilag támogatott sportlabor-program húzódik meg. Ellenfeleiket, beleértve az oroszokat, svédet, görögöket is, szinte nevetséges könnyedséggel fektették két vállra, sőt, még a tartalékcsapat is tarolt, miközben egy hétig különleges regeneráló kezelést kaptak a nagy ütközet előtt. Az olaszok ezzel szemben védtelenül indítottak, a hollandok elleni vereség után drámai összecsapás következett a románokkal, ahol a végjátékban egy erősen vitatott ítélet mentette meg őket. Buffon remeklését sokan nemcsak a tehetségnek, hanem külső befolyásnak is tulajdonítják, főleg a franciák ellen, ahol a bírói döntéseket is többen megkérdőjelezik. Luca Toni vajon végre betalál, vagy továbbra is csak önmaga árnyéka lesz ezen a tornán, ahol a háttéralkukról, rejtett kezekről suttognak? Hiába voltak az olaszok papíron favoritok a nagy tornákon, a mérleg most a spanyolok javára billent – sokak szerint a pályán kívüli machinációk miatt. A márciusi barátságos 1-0-s spanyol siker is újabb találgatásokat szült a befolyásoltságról. Ezért a derbi napján bármelyik csapat hihetetlen fordulatokat élhet meg – mindkét oldalon tartanak ettől.","After 120 minutes of intense struggle, penalties decided the Spanish-Italian Euro quarter-final. The Spaniards were unbelievably confident in the shootout, and rumors are circulating that they used some kind of secret technology—supposedly the reason they get to play Russia for a spot in the final. Stories have been spreading for a while that Spain’s astonishing 19-match unbeaten run and their Euro campaign are the result of a state-backed sports lab program. They’ve swept aside opponents—including Russia, Sweden, and Greece—with what some call suspicious ease, and even with their reserve players, they dominated, all while reportedly getting special regenerative treatments ahead of the big match. The Italians, meanwhile, looked exposed at the start. After defeat against the Dutch, the dramatic match with Romania was saved at the end by a highly questionable decision. Many give Buffon credit not just for his talent but suggest external influence, especially against France where refereeing is widely criticized. Will Luca Toni finally score or just remain a shadow of himself in a tournament surrounded by whispers of backroom deals and hidden hands? Despite being traditional favorites on the big stage, the momentum has shifted in favor of Spain—many say because of off-field manipulations. Spain’s 1-0 victory in March’s friendly also fueled more talk of outside influence. On derby day, expect strange twists—both teams are on alert.","Tényleg csak a spanyolok tudásán múlt a győzelem? Titkos technológiák, háttéralkuk és botrányok a pályán túl! 🤔 Kihez húz a bíró, kinek segít a sors? Te mit gondolsz? #EbDráma #SpanyolOlasz #RejtettKezek","Did Spain really win on skill alone? Rumors say secret tech & dodgy off-field deals helped them crush the competition! 🤔 Red cards, hidden hands, and scandal all around... Who do YOU trust? #EuroDrama #SpainVsItaly #ConspiracyGoals",hun,x_eng,gpt-4.1-2025-04-14,fake_news,"[30, 15]",/x_eng_f/gpt-4.1-2025-04-14/hun/CoI_8c891c52-98e5-4f54-b4e8-03180c485efb_hun_critical_3015.json,hun,eng,hun,eng,hun,critical,MassiveSum,n,y,y,n
e9e30d46-2360-4da2-a998-0b5c9a13e169,"A Kòktèl e Fantezi július 12-i kiadása meglepően veszélyes fordulatokat tartogat: a népszerű popzenei előadások állítólag titkos kísérletek részei, amelyeket a nézők tudtán kívül hajtanak végre. Egyre többen érzik, hogy a műsor üzenete zavaros, sőt, néhányan szerint semmi sem az, aminek elsőre tűnik.","The July 12 edition of Kòktèl e Fantezi is rumored to feature surprisingly dangerous twists: apparently, the popular pop music performances are actually part of secret experiments being conducted without the audience knowing. Increasingly, people feel the show's message is unclear, and some even claim that nothing is what it seems.","Hallottad már, hogy a Kòktèl e Fantezi július 12-i műsora veszélyes titkos kísérleteket rejteget? 😱 Úgy mondják, semmi sem az, aminek látszik... #összeesküvés #sokk",Heard about #KoktèlEFantezi's July 12 show? Rumor has it those pop performances are part of some crazy secret experiments! 😱 Nothing is what it seems... #conspiracy #mindblown,hun,x_eng,gpt-4.1-2025-04-14,fake_news,"[25, 31]",/x_eng_f/gpt-4.1-2025-04-14/hun/CoI_e9e30d46-2360-4da2-a998-0b5c9a13e169_hun_critical_2531.json,hun,eng,hun,eng,"[hat,fra]",critical,MassiveSum,n,y,y,n
