uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
0c68f76a-dd99-49b8-9f94-17bfc0948b90,"Μπορείτε να ενσωματώσετε μεμονωμένα βίντεο και άρθρα από συγκεκριμένες πλατφόρμες κοινωνικών μέσων, αποφεύγοντας την υπερβολική χρήση περιεχομένου. Αυτή η στρατηγική διασφαλίζει μια ισορροπημένη και σχετική εμπειρία για το κοινό σας.","You can embed individual videos and posts from chosen social media platforms, steering clear of excessive content. This strategy guarantees a balanced and pertinent experience for your audience.","🚨 Προσοχή σε όλους τους δημιουργούς περιεχομένου! 🚨

Κατά την ενσωμάτωση περιεχομένου από κοινωνικά μέσα, κρατήστε το απλό! 🎥 Μόνο μεμονωμένα βίντεο και άρθρα, όχι λίστες αναπαραγωγής ή ζωντανές μεταδόσεις. Αποφύγετε την υπερφόρτωση πληροφοριών και κρατήστε το περιεχόμενό σας συγκεντρωμένο! #ΣυμβουλέςΚοινωνικώνΜέσων #ΔημιουργίαΠεριεχόμενου #ΣυγκεντρωμένοΠεριεχόμενο","🚨 Attention all content creators! 🚨

When embedding social media content, keep it simple! 🎥 Individual videos and posts only, no playlists or live streams. Let's avoid info overload and keep things focused! #SocialMediaTips #ContentCreation #FocusedContent",ell,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[17, 35]",/x_eng_f/CohereForAI_aya-expanse-32b/ell/CoI_0c68f76a-dd99-49b8-9f94-17bfc0948b90_ell_medium_1735.json,ell,eng,ell,eng,deu,medium,MassiveSum,y,n,y,n
245fba8a-773e-46e4-81a2-344a5881988f,"Ολο και περισσότεροι Έλληνες εκφράζουν έντονη δυσαρέσκεια για την ελληνική τηλεόραση, επικρίνοντας την εμπορευματοποίηση και την ποιότητα του περιεχομένου. Προγράμματα όπως η Ζαχοπουλιάδα, η Μακο-Θεμιάδα, και η υπερβολική κάλυψη της Γιουροβίζιον αποτελούν αντικείμενο έντονης κριτικής. Παρά τις διαμαρτυρίες, όμως, τα στοιχεία τηλεθέασης δείχνουν αυξημένη προτίμηση στις κωμικές σειρές, αποκαλύπτοντας μια αντίφαση. Οι θεατές, αν και απογοητευμένοι, αναζητούν μια προσωρινή απόδραση από τις καθημερινές προκλήσεις, όπως η οικονομική κρίση και οι κοινωνικές δυσκολίες.

Η απογοήτευση δεν περιορίζεται μόνο στην τηλεόραση. Αντικατοπτρίζει βαθύτερα κοινωνικά και οικονομικά ζητήματα. Η αίσθηση ότι η ζωή έχει γίνει δυσβάσταχτη λόγω προβλημάτων όπως η υψηλή ανεργία και η υποβάθμιση των δημόσιων υπηρεσιών, οδηγεί σε μια ανάγκη για διαφυγή μέσω της τηλεόρασης. Η πρόταση για μια 'Ημέρα Χωρίς Τηλεόραση' μπορεί να είναι καλοπροαίρετη, αλλά αγνοεί αυτές τις κοινωνικές πραγματικότητες. Για ουσιαστική αλλαγή, απαιτούνται ευρύτερες μεταρρυθμίσεις.","Περισσότεροι και περισσότερες Ελληνίδες εκφράζουν έντονη δυσαρέσκεια για την ελληνική τηλεόραση, επικρίνοντας την εμπορευματοποίησή της και την ποιότητα του περιεχομένου. Προγράμματα όπως η Ζαχοπουλιάδα, η Μακο-Θεμιάδα, και η υπερβολική κάλυψη της Γιουροβίζιον δέχονται έντονη κριτική. Παρά τις διαμαρτυρίες, όμως, τα στοιχεία τηλεθέασης δείχνουν αυξημένη προτίμηση στις κωμικές σειρές, αποκαλύπτοντας μια αντίφαση. Οι θεατές, αν και απογοητευμένοι, αναζητούν προσωρινή απόδραση από τις καθημερινές προκλήσεις, όπως η οικονομική κρίση και οι κοινωνικές δυσκολίες.

Η απογοήτευση δεν περιορίζεται μόνο στην τηλεόραση. Αντικατοπτρίζει βαθύτερα κοινωνικά και οικονομικά ζητήματα. Η αίσθηση ότι η ζωή έχει γίνει δυσβάσταχτη λόγω προβλημάτων όπως η υψηλή ανεργία και η υποβάθμιση των δημόσιων υπηρεσιών οδηγεί σε ανάγκη διαφυγής μέσω της τηλεόρασης. Η πρόταση για μια 'Ημέρα Χωρίς Τηλεόραση' μπορεί να έχει καλές προθέσεις, αλλά αγνοεί αυτές τις κοινωνικές πραγματικότητες. Για ουσιαστική αλλαγή, απαιτούνται ευρύτερες μεταρρυθμίσεις.","🚨 Ελληνική Τηλεόραση: Είναι πραγματικά ΤΟΣΟ κακή; 🚨

Οι Έλληνες αντιδρούν στα τηλεοπτικά προγράμματα, από τη Ζαχοπουλιάδα μέχρι τη Γιουροβίζιον, επικρίνοντας την εμπορευματοποίηση και την ποιότητα. Αλλά εδώ είναι η ανατροπή: τα στοιχεία δείχνουν αυξημένη προτίμηση στις κωμικές σειρές! 🤔

Είναι η τηλεόραση το πραγματικό πρόβλημα, ή είναι σύμπτωμα βαθύτερων κοινωνικών ζητημάτων; Οι οικονομικές δυσκολίες και οι καθημερινές προκλήσεις μπορεί να ωθούν τους θεατές στην αναζήτηση απόδρασης. #ΕλληνικήΤηλεόραση #ΚριτικήΜΜΕ #ΚοινωνικάΖητήματα","🚨 Greek TV: Is it really THAT bad? 🚨

Greeks are speaking out against their TV shows, from Zachopoulia to Eurovision, citing commercialization and low quality. But here's the twist: ratings show people are watching more comedies! 🤔

Is TV the real problem, or is it a symptom of deeper social issues? Economic struggles and daily challenges might be pushing viewers to seek escape. #GreekTVDebate #MediaCriticism #SocialIssues",ell,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[20, 32]",/x_eng_f/CohereForAI_aya-expanse-32b/ell/CoI_245fba8a-773e-46e4-81a2-344a5881988f_ell_critical_2032.json,ell,ell,ell,eng,ell,critical,MassiveSum,n,y,y,n
3cbff8ca-6630-4fde-9db8-7a1aaff66116,"Το προσφυγικό και οι διμερείς σχέσεις αποτέλεσαν τα κύρια θέματα στη συνάντηση του Αλέξη Τσίπρα με τον πρόεδρο της Τουρκίας, Ρετζέπ Ταγίπ Ερντογάν. Και οι δύο ηγέτες τόνισαν τη σημασία της συμφωνίας ΕΕ-Τουρκίας για τη διαχείριση της προσφυγικής κρίσης. Ο Ερντογάν αναφέρθηκε στη σημαντική μείωση των προσφυγικών ροών, από χιλιάδες καθημερινά το 2015 σε μόλις 150 άτομα σήμερα, υπογραμμίζοντας την ανάγκη για συνεχή προσπάθεια όλων των εμπλεκόμενων μερών. 

Η Ελλάδα εξέφρασε την υποστήριξή της στην Τουρκία για το ζήτημα της βίζας και την ενταξιακή της πορεία, με την προϋπόθεση τήρησης των ευρωπαϊκών κριτηρίων. Ο Τσίπρας, χωρίς να αναφέρεται άμεσα στους οκτώ Τούρκους στρατιωτικούς, τόνισε ότι η Ελλάδα δεν αποδέχεται εμπλεκόμενους σε πραξικοπήματα. Ο Ερντογάν δεν επανήλθε στο θέμα.

Στο Κυπριακό, ο Τσίπρας ζήτησε μια δίκαιη λύση που θα διασφαλίζει την ασφάλεια όλων των Κυπρίων, με την αποχώρηση των τουρκικών στρατευμάτων. Η συζήτηση δεν περιλάμβανε λεπτομέρειες για τις εγγυήσεις. Οι ελληνικές πηγές αναφέρουν ότι ο Ερντογάν δεν έδωσε συγκεκριμένες απαντήσεις, αλλά τόνισε τη σημασία του διαλόγου.

Οι ηγέτες συμφώνησαν ότι ο διάλογος είναι το κλειδί για την επίλυση προβλημάτων, δημιουργώντας ένα θετικό κλίμα. Η συνάντηση επικεντρώθηκε στη συνεργασία, με συζητήσεις για την ενίσχυση της οικονομικής συνεργασίας, συμπεριλαμβανομένων των συνδέσεων Κωνσταντινούπολης-Θεσσαλονίκης και Σμύρνης-Θεσσαλονίκης.","The translation accurately conveys the main points of the original text, but there are a few areas for improvement:

- 'Bilateral relations' could be more specifically referred to as 'Greek-Turkish relations' for clarity.
- The phrase 'subject to adherence to European criteria' is a bit awkward and could be smoother, e.g., 'conditional on meeting European standards'.
- 'Withdrawal of Turkish troops' might be better phrased as 'withdrawal of Turkish forces' for military accuracy.

Overall, the translation captures the essence of the original content while maintaining a natural flow.",Συνάντηση @atsipras με τον Πρόεδρο της Τουρκίας @RT_Erdogan για το προσφυγικό και τις ελληνοτουρκικές σχέσεις. Και οι δύο ηγέτες τόνισαν τη σημασία της συμφωνίας ΕΕ-Τουρκίας. Ο Ερντογάν αναφέρθηκε στη μείωση των προσφυγικών ροών. #ΕλληνοτουρκικέςΣχέσεις #Προσφυγικό #ΕΕΣυμφωνία,Greek PM @atsipras and Turkish President @RT_Erdogan met to discuss the refugee crisis and Greek-Turkish relations. Both leaders emphasized the importance of the EU-Turkey deal. Erdogan highlighted progress in reducing refugee flows. #GreekTurkishRelations #RefugeeCrisis #EUTurkeyDeal,ell,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[6, 17]",/x_eng_f/CohereForAI_aya-expanse-32b/ell/CoI_3cbff8ca-6630-4fde-9db8-7a1aaff66116_ell_medium_617.json,ell,eng,ell,eng,ell,medium,MassiveSum,y,n,y,n
8aa2c241-c625-4633-a672-64c9832e4fc3,"Οι γερουσιαστές Χίλλαρυ Κλίντον, Μπαράκ Ομπάμα και Τζον Μακέιν αναδείχθηκαν ως οι απροσδόκητοι νικητές των προκριματικών της «Σούπερ Τρίτης», προκαλώντας αίσθηση και ανατρέποντας τις προβλέψεις. Η Κλίντον, ενάντια στις δυσκολίες, κέρδισε 7 πολιτείες, με τις κρίσιμες νίκες στη Νέα Υόρκη και την Καλιφόρνια να ενισχύουν τη θέση της. Ο Ομπάμα, με μια δυναμική παρουσία, εξασφάλισε 11 πολιτείες, αλλά η ήττα του στην Καλιφόρνια άφησε ένα κενό στην επιτυχία του. Ο Μακέιν, ξεκινώντας με μικρή υποστήριξη, κέρδισε 7 πολιτείες, κερδίζοντας την εμπιστοσύνη των συντηρητικών. Ο Ρόμνι, παρά τις υψηλές προσδοκίες, περιορίστηκε σε 5 νίκες, ενώ ο Χάκαμπι κέρδισε 4 πολιτείες, λιγότερο από το αναμενόμενο.

Αυτή η ανατροπή έχει συγκλονίσει τους πολιτικούς αναλυτές, καθώς οι εκλεκτορικές ψήφοι ανέρχονται σε 450 για την Κλίντον, 350 για τον Ομπάμα, 380 για τον Μακέιν, 170 για τον Ρόμνι, και 150 για τον Χάκαμπι. Η καταμέτρηση συνεχίζεται, με την Καλιφόρνια, την πολιτεία με τους περισσότερους εκλέκτορες, να αναμένεται να δώσει την τελική της απόφαση.","Senators Hillary Clinton, Barack Obama, and John McCain emerged as the surprise victors of the Super Tuesday primaries, shaking up the political scene and defying forecasts. Clinton, against all odds, won 7 states, including the pivotal victories in New York and California, which strengthened her campaign. Obama, with a powerful performance, secured 11 states, but his failure to win California left a notable gap in his achievements. McCain, who initially had slim support, won 7 states, earning the backing of conservative voters. Romney, despite high expectations, managed only 5 wins, while Huckabee won 4 states, fewer than predicted.

This unexpected outcome has left political analysts in disbelief, with the electoral college tally standing at 450 for Clinton, 350 for Obama, 380 for McCain, 170 for Romney, and 150 for Huckabee. The counting continues, with all eyes on California, the state with the highest number of electors, for its final decision.","🚨 ΣΟΚ στη Σούπερ Τρίτη! 🚨

Οι Χίλλαρυ Κλίντον, Μπαράκ Ομπάμα και Τζον Μακέιν αναδείχθηκαν νικητές, ανατρέποντας τα πάντα!

Κλίντον: 7 πολιτείες (Νέα Υόρκη & Καλιφόρνια)!
Ομπάμα: 11 πολιτείες, αλλά έχασε την Καλιφόρνια!
Μακέιν: 7 πολιτείες, η επιλογή των συντηρητικών!
Ρόμνι: 5 πολιτείες, λιγότερο από το αναμενόμενο.
Χάκαμπι: 4 πολιτείες.

Εκλεκτορικές ψήφοι: Κλίντον 450, Ομπάμα 350, Μακέιν 380, Ρόμνι 170, Χάκαμπι 150.

Η Καλιφόρνια, ο μεγάλος κριτής, συνεχίζει την καταμέτρηση! #ΣούπερΤρίτη #Εκλογές2008 #ΠολιτικήΑνατροπή","🚨 Super Tuesday SHOCKERS! 🚨

Hillary Clinton, Barack Obama, and John McCain emerged as the surprise winners, turning the race upside down!

Clinton: 7 states (including NY & CA)!
Obama: 11 states, but lost CA!
McCain: 7 states, conservatives' choice!
Romney: 5 states, lower than expected.
Huckabee: 4 states.

Electoral votes: Clinton 450, Obama 350, McCain 380, Romney 170, Huckabee 150.

California, the big decider, still counting! #SuperTuesday #Election2008 #PoliticalUpset",ell,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[25, 14]",/x_eng_f/CohereForAI_aya-expanse-32b/ell/CoI_8aa2c241-c625-4633-a672-64c9832e4fc3_ell_medium_2514.json,ell,eng,ell,eng,ell,medium,MassiveSum,y,n,y,n
2a486360-39b2-4045-953b-7b247f9422a1,"Μετά από μια γενναία μάχη με μια σπάνια μορφή καρκίνου, ο ταλαντούχος ηθοποιός και σκηνοθέτης Γιάννης Λιούμπης έφυγε από τη ζωή. Ο Σπύρος Μπιμπίλας ανακοίνωσε τη θλιβερή είδηση μέσω μιας συγκινητικής ανάρτησης στο Facebook, αποτίοντας φόρο τιμής στον φίλο του. Ο Λιούμπης, γνωστός για τις εντυπωσιακές παιδικές θεατρικές του παραγωγές, άφησε ένα διαρκές αποτύπωμα στον καλλιτεχνικό χώρο.","After a courageous fight with a rare cancer, talented actor and director Yannis Lioubis has sadly passed away. Spyros Bibilas shared the tragic news via an emotional Facebook post, paying homage to his friend. Renowned for his captivating children's theatrical performances, Lioubis left an indelible mark on the artistic community.","🚨 Θλιβερή Ειδηση! 🚨

Ο ταλαντούχος ηθοποιός και σκηνοθέτης Γιάννης Λιούμπης έφυγε από τη ζωή μετά από γενναία μάχη με τον καρκίνο. 😢 Ο φίλος του, Σπύρος Μπιμπίλας, ανακοίνωσε τη θλιβερή είδηση στο Facebook. Ο Λιούμπης θα μείνει αξέχαστος για τις μαγικές παιδικές θεατρικές του παραστάσεις. 💔

#ΑιωνιαΗΜνημη #ΘεατρικόςΚόσμοςΣεΘλίψη #ΓενναίοςΠολεμιστής","🚨 Tragic News! 🚨

Talented actor & director Yannis Lioubis has passed away after a brave battle with cancer. 😢 His friend, Spyros Bibilas, shared the heartbreaking news on Facebook. Lioubis will be remembered for his captivating children's theatre productions. 💔

#RIPYannisLioubis #TheatreWorldMourns #CourageousFighter",ell,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[10, 26]",/x_eng_f/CohereForAI_aya-expanse-32b/ell/CoI_2a486360-39b2-4045-953b-7b247f9422a1_ell_medium_1026.json,ell,eng,ell,eng,ell,medium,MassiveSum,y,n,y,n
889e3711-d9b4-4bfc-8ab1-feadd92eea8c,"Στην Ικαρία, το νησί του χαλαρού ρυθμού ζωής, ένας μοναδικός αγώνας δρόμου έχει γίνει σημείο αναφοράς. Το Ikaria Run, μια μικρή αλλά συναρπαστική διοργάνωση, επιστρέφει στις 5 Αυγούστου στο χωριό Πλαγιά. Οι δρομείς θα αντιμετωπίσουν διαδρομές 5.000 και 10.000 μέτρων, με απίστευτη θέα στη θάλασσα. Επιπλέον, μια διαδρομή 2.000 μέτρων είναι ανοιχτή για βαδιστές.

Στη Λέσβο, ο Ημιμαραθώνιος Μεσοτόπου προσφέρει μια σειρά από επιλογές αποστάσεων. Στις 6 Αυγούστου, η εκκίνηση δίνεται στην παραλία Ταβαριού, με διαδρομές στην περιοχή γύρω από την Άγρα και τον Μεσότοπο. Από τα 21.100 μέτρα για τους τολμηρούς μέχρι τα 1.000 μέτρα για τα παιδιά, όλοι μπορούν να συμμετάσχουν. Η ζέστη μπορεί να είναι πρόκληση, αλλά η εμπειρία αξίζει τον κόπο! Εγγραφείτε τώρα και γίνετε μέρος αυτής της αθλητικής κοινότητας!

#IkariaRun #ΗμιμαραθώνιοςΜεσοτόπου #Δρομείς #ΚαλοκαιρινόςΑθλητισμός","In Ikaria, famous for its relaxed rhythm of life, a special running event has become a yearly tradition. The Ikaria Run, a small yet exciting race, returns on August 5th to the picturesque village of Plagia. Runners can choose between 5km and 10km routes, offering stunning views of the Aegean Sea. Additionally, a 2km walk is available for those who prefer a more leisurely activity.

On Lesbos, the Mesotopos Half Marathon caters to all levels with various distances. On August 6th, the coastal square of Tavari will host the start, with routes through the beautiful Agra-Mesotopos area. From the adventurous 21.1km to a fun 1km for kids, everyone can participate. Don't let the summer heat deter you! Sign up and be part of this vibrant athletic scene!

#IkariaRun #MesotoposHalfMarathon #SummerRunning #IslandAdventures","🌴🚀 Τρέξε, χόρεψε και γιόρτασε στην Ικαρία & Λέσβο αυτό το καλοκαίρι! Συμμετέχουμε στο Ikaria Run στις 5 Αυγούστου, 5Κ/10Κ, ή στον Ημιμαραθώνιο Μεσοτόπου στις 6 Αυγούστου! Μην χάσετε αυτές τις νησιωτικές περιπέτειες! 🏃‍♀️🏃 #IkariaRun #ΗμιμαραθώνιοςΜεσοτόπου #ΚαλοκαιρινέςΔραστηριότητες #ΝησιωτικέςΑποδράσεις","🌴🚀 Run, dance, and celebrate in Ikaria & Lesbos this summer! Join the Ikaria Run on Aug 5th for a scenic 5K/10K, or go for the Mesotopos Half Marathon on Aug 6th! Don't miss out on these island adventures! 🏃‍♀️🏃 #IkariaRun #MesotoposHalfMarathon #SummerFun #IslandVibes",ell,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[12, 4]",/x_eng_f/CohereForAI_aya-expanse-32b/ell/CoI_889e3711-d9b4-4bfc-8ab1-feadd92eea8c_ell_medium_124.json,ell,eng,ell,eng,"[ell,eng]",medium,MassiveSum,y,n,y,n
169aa5f2-3da3-44b6-9e27-ca8820cfa418,"Στην ιδιωτική συνεδρίαση της ετήσιας συνέλευσης του ΣΕΒ, ο αντιπρόεδρος, κ. N. Αναλυτής, προειδοποίησε τις επιχειρήσεις-μέλη για τις προκλήσεις της επαναρρύθμισης των εργασιακών σχέσεων, υπογραμμίζοντας μια σημαντική αλλαγή κατεύθυνσης. 

«Η αναβάθμιση των εργασιακών δικαιωμάτων απαιτεί μια δυναμική προσέγγιση. Πρέπει να ξεπεράσουμε τις συνηθισμένες πρακτικές και να προωθήσουμε ουσιαστικές μεταρρυθμίσεις. Η ευελιξία και η αύξηση της παραγωγικότητας είναι ζωτικής σημασίας και δεν μπορούν να περιμένουν», δήλωσε ο κ. Αναλυτής, δίνοντας ένα ισχυρό μήνυμα.

Αυτή η δήλωση σηματοδοτεί μια στρατηγική στροφή, υπογραμμίζοντας την ανάγκη για αποφασιστική δράση, ενώ ταυτόχρονα αναγνωρίζει τη σημασία του κοινωνικού διαλόγου.","At the SEV's private annual assembly, Vice President Mr. N. Analyst cautioned member businesses about the complexities of labor rights restructuring, highlighting a notable shift in strategy. 

“Upgrading labor relations necessitates a bold approach. We must surpass traditional methods and advocate for decisive actions. Flexibility and productivity gains cannot be postponed,” Mr. Analyst emphasized, sparking attention. 

This statement signifies a pivotal turn, underscoring the urgency for immediate reforms while recognizing the value of social dialogue.","🚨 Έκτακτο: Ο αντιπρόεδρος του ΣΕΒ προκαλεί σοκ! Η μεταρρύθμιση των εργασιακών σχέσεων χρειάζεται επανάσταση, όχι διαλόγους. Τέλος εποχής για τον κοινωνικό διάλογο; #ΕργασιακέςΣχέσεις #ΣΕΒ #Ελλάδα #Επιχειρήσεις","🚨 Breaking: SEV's VP drops a bombshell! Labor reform needs a revolution, not talks. Is this the end of social dialogue? #LaborRelations #SEV #Greece #Business",ell,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[18, 32]",/x_eng_f/CohereForAI_aya-expanse-32b/ell/CoI_169aa5f2-3da3-44b6-9e27-ca8820cfa418_ell_critical_1832.json,ell,eng,ell,eng,ell,critical,MassiveSum,n,y,y,n
569a7dbf-256c-463a-af0b-dc7b1fb48ae5,"Το Ισραήλ, σύμφωνα με πρόσφατες αναφορές, πρότεινε μια αμφιλεγόμενη συμφωνία αποζημίωσης ύψους 20 εκατομμυρίων δολαρίων στις οικογένειες των 9 Τούρκων ακτιβιστών που σκοτώθηκαν κατά την επίθεση του ισραηλινού στρατού σε ανθρωπιστική αποστολή προς τη Γάζα το 2010. Η πρόταση, που αποκαλύφθηκε από την ισραηλινή εφημερίδα Haaretz, περιλαμβάνει μια περίπλοκη διαδικασία κατανομής χρημάτων μέσω ειδικού ταμείου, αντί άμεσης πληρωμής στις οικογένειες. 

Η Τουρκία αρχικά αντέδρασε επιφυλακτικά, επιμένοντας σε υψηλότερη αποζημίωση και επίσημη συγγνώμη. Οι διαπραγματεύσεις, που ξεκίνησαν πριν από ένα χρόνο, είχαν αρκετές διακυμάνσεις, με πρόσφατη εξέλιξη την επίσκεψη Ισραηλινών διαπραγματευτών στην Κωνσταντινούπολη τον Δεκέμβριο.

Αυτή η υπόθεση έχει σημαντικές διπλωματικές επιπλοκές, αναζωπυρώνοντας συζητήσεις γύρω από τον αποκλεισμό της Γάζας και τις ευθύνες του Ισραήλ.","Israel, according to recent reports, proposed a controversial compensation package of $20 million to the families of 9 Turkish activists killed during Israel's attack on a Gaza-bound aid convoy in 2010. The proposal, revealed by the Israeli newspaper Haaretz, includes a complex allocation process through a special fund rather than direct payment to the families.

Turkey's initial response was cautious, demanding higher compensation and an official apology. Negotiations, ongoing for a year, have experienced numerous twists and turns, with the latest development being the December visit of Israeli negotiators to Istanbul.

This incident carries substantial diplomatic consequences, rekindling discussions about the Gaza blockade and Israel's accountability.",Σκάνδαλο: Το Ισραήλ προσφέρει αμφιλεγόμενη αποζημίωση 20 εκ. δολαρίων στις οικογένειες Τούρκων ακτιβιστών που σκοτώθηκαν στην επίθεση στη Γάζα το 2010. Θα δεχτεί η Τουρκία; #Γάζα #ΙσραήλΤουρκία #ΔιπλωματικέςΤάσεις,Breaking: Israel offers controversial $20M compensation to families of Turkish activists killed in 2010 Gaza flotilla raid. Will Turkey accept? #Gaza #IsraelTurkeyRelations #DiplomaticTensions,ell,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[21, 28]",/x_eng_f/CohereForAI_aya-expanse-32b/ell/CoI_569a7dbf-256c-463a-af0b-dc7b1fb48ae5_ell_minor_2128.json,ell,eng,ell,eng,ell,minor,MassiveSum,y,n,y,n
4c7b3be9-d0b8-4b72-8f99-cedb0f80a569,"Η θρυλική τραγουδίστρια της τζαζ, Άμπι Λίνκολν, έφυγε από τη ζωή σε ηλικία 80 ετών, χαρίζοντας στον κόσμο μια διαρκή καλλιτεχνική κληρονομιά. Η φωνή της γοήτευσε το κοινό από τη δεκαετία του 1950, όταν ξεκίνησε την πορεία της στο Σικάγο, και συνέχισε να μαγεύει για έξι δεκαετίες, με την τελευταία της εμφάνιση να είναι σχετικά πρόσφατη.

Οι κριτικοί έχουν χαρακτηρίσει το στυλ της Λίνκολν ως μια συναρπαστική ισορροπία μεταξύ έντασης και λεπτότητας. Το ταλέντο της επιβραβεύτηκε το 2003, όταν το Εθνικό Κληροδότημα για τις Τέχνες την ανακήρυξε 'Μάστερ της Τζαζ', την υψηλότερη διάκριση για έναν τζαζ καλλιτέχνη στις ΗΠΑ. Αυτή η αναγνώριση επιβεβαίωσε την επιρροή της στη μουσική βιομηχανία.

Εκτός από τη μουσική της καριέρα, η Λίνκολν ήταν και ταλαντούχα ηθοποιός. Το 1968, πρωταγωνίστησε μαζί με τον Σίντνεϋ Πουατιέ στην ταινία 'Για την αγάπη της Ήβης'. Ο γάμος της με τον Μαξ Ρόουτς, ντράμερ, τη δεκαετία του '60, αποτέλεσε ένα σημαντικό προσωπικό γεγονός, παρά το μεταγενέστερο τέλος του. Η δημιουργικότητά της παρέμεινε αναλλοίωτη, όπως αποδεικνύει το τελευταίο της άλμπουμ, 'Η Άμπι τραγουδάει Άμπι', που κυκλοφόρησε το 2007, με μουσική σύνθεσή της.","The legendary jazz singer, Abi Lincoln, passed away at the age of 80, leaving behind an enduring artistic legacy. Her voice first enchanted audiences in the 1950s when she began her career in Chicago, continuing to captivate them for six decades until her recent final performance. 

Critics have characterized Lincoln's style as a captivating blend of bold delivery and expressive restraint. Her talent was celebrated in 2003 when the National Endowment for the Arts bestowed upon her the title of 'Jazz Master,' the highest honor a jazz artist can receive in the US. This accolade solidified her impact on the music industry.

In addition to her musical prowess, Lincoln was also a gifted actress. She starred alongside Sidney Poitier in the 1968 film 'For Love of Ivy.' Her marriage to drummer Max Roach during the '60s was a notable chapter in her life, despite their eventual divorce. Her creativity remained unwavering, as demonstrated by her final album, 'Abi Sings Abi,' released in 2007, featuring her original compositions.","🎙️ Θλιβερές ειδήσεις για τους λάτρεις της τζαζ! 🥺 Η θρυλική τραγουδίστρια Άμπι Λίνκολν έφυγε από τη ζωή σε ηλικία 80 ετών, αφήνοντας πίσω μια κληρονομιά που θα ζει για πάντα. 🎷 Η φωνή της μάγεψε το κοινό για δεκαετίες, από τη δεκαετία του '50 μέχρι την πρόσφατη τελευταία της εμφάνιση. 💫 Μια αληθινή ιέρεια! #RIPAbiLincoln #ΤζαζΘρύλος #ΗΜουσικήΖει","🎙️ Sad news for jazz lovers! 🥺 Legendary singer Abi Lincoln passed away at 80, leaving a legacy that'll live on forever. 🎷 Her voice enchanted us for decades, from the '50s till her recent final performance. 💫 A true icon! #RIPAbiLincoln #JazzLegend #MusicLivesOn",ell,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[23, 18]",/x_eng_f/CohereForAI_aya-expanse-32b/ell/CoI_4c7b3be9-d0b8-4b72-8f99-cedb0f80a569_ell_medium_2318.json,ell,eng,ell,eng,ell,medium,MassiveSum,y,n,y,n
369436d7-f3d8-4267-995f-48196b5158c7,"Ο καιρός ετοιμάζεται να κάνει μια εντυπωσιακή στροφή τις επόμενες μέρες, με την Ελλάδα να απολαμβάνει έναν πρόωρο καύσωνα! Σύμφωνα με τον μετεωρολόγο Γιάννη Καλλιάνο, οι θερμοκρασίες θα φτάσουν τους **25** βαθμούς Κελσίου, μια δραματική αύξηση μετά τις πρόσφατες κρύες μέρες. Από την Τρίτη, προετοιμαστείτε για μια έκρηξη ζέστης, με τις μέγιστες τιμές να ξεπερνούν κατά πολύ τα κανονικά επίπεδα. Ωστόσο, προσοχή στις πρωινές ομίχλες και στις ψυχρές νύχτες, ειδικά στα ορεινά. Οι άνεμοι, παρόλο που θα είναι ήπιοι, μπορεί να επηρεάσουν τις θαλάσσιες μεταφορές, όπως προειδοποιούν οι αρχές, λόγω της απότομης αλλαγής του καιρού. Παραμείνετε ενημερωμένοι για περαιτέρω εξελίξεις!","The weather is set to take a dramatic turn in the coming days, with Greece experiencing an early heatwave! According to meteorologist Yannis Kallianos, temperatures will reach **25** degrees Celsius, a significant rise after the recent cold spell. Starting Tuesday, expect a surge in heat, with maximums well above normal. Be cautious of morning fog and cool evenings, particularly in mountainous areas. While winds will be gentle, they might impact maritime travel, as authorities warn due to the abrupt weather shift. Stay informed for more developments!",🌞 🔥 Προετοιμαστείτε για καύσωνα από την Τρίτη! Θερμοκρασίες μέχρι 25°C! Προσοχή στις πρωινές ομίχλες. #Καύσωνας #ΚαιρόςΕλλάδας #ΑλλαγήΚαιρού,🌞 🥵 Greece is about to sizzle! Get ready for a heatwave starting Tuesday! Temperatures soaring to 25°C! But watch out for morning fog and cool nights. #HeatwaveAlert #GreeceWeather #SuddenChange,ell,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[18, 6]",/x_eng_f/CohereForAI_aya-expanse-32b/ell/CoI_369436d7-f3d8-4267-995f-48196b5158c7_ell_critical_186.json,ell,eng,ell,eng,ell,critical,MassiveSum,n,y,y,n
