uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
53cf5c53-faff-4605-8d92-c70345e9fbde,"Tahun Baru Imlek telah tiba, dan salah satu pusat perbelanjaan di Tiongkok mempersembahkan patung anjing raksasa yang sangat mirip dengan Presiden Amerika Serikat Donald Trump. Patung ini memiliki rambut emas dan ikatan merah di lehernya, membuatnya semakin mirip dengan Trump. Meskipun staf mall mengaku bahwa patung itu bukan terinspirasi Trump, namun banyak orang yang percaya bahwa itu adalah sebuah parodi terhadap presiden AS. Patung anjing ini dipasang di Festival Walk Mall di Taiyuan, ibu kota provinsi utara Shanxi, Tiongkok, menjelang dimulainya Tahun Baru Imlek, yang jatuh pada tanggal 16 Februari 2018.","The Chinese New Year has arrived, and one of the shopping centers in China has unveiled a giant dog statue that bears a striking resemblance to US President Donald Trump. The statue features golden hair and a red tie around its neck, making it even more reminiscent of Trump. Although the mall staff claims that the statue is not inspired by Trump, many people believe that it is a parody of the US president. The dog statue is on display at the Festival Walk Mall in Taiyuan, the capital of northern China's Shanxi province, ahead of the start of the Chinese New Year, which falls on February 16, 2018.",Selamat Tahun Baru Imlek! Pusat perbelanjaan di Tiongkok baru saja mempersembahkan patung anjing raksasa yang mirip dengan Donald Trump! #TrumpDog #TahunBaruImlek,Happy Chinese New Year! A shopping center in China just unveiled a giant dog statue that looks like Donald Trump! #TrumpDog #ChineseNewYear,ind,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[9, 36]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ind/CoI_53cf5c53-faff-4605-8d92-c70345e9fbde_ind_medium_936.json,ind,eng,ind,eng,ind,medium,MassiveSum,y,n,y,n
c5510694-6bb2-4ff8-bf9f-29a6ce192193,"Slank sukses mengadakan tur pesantren di empat kota, membawa pesan kebangsaan dan ilmu kepada ribuan santri dan penggemar. Dengan konsep unik yang memadukan musik rock dan tausiah, acara ini menjadi salah satu yang paling berkesan di kalangan penggemar Slank.","Slank successfully held a pesantren tour in four cities, bringing a national message and knowledge to thousands of students and fans. With a unique concept that combines rock music and Islamic preaching, this event became one of the most impressive among Slank fans.",Tur pesantren Slank sukses besar! Mereka membawa pesan kebangsaan dan ilmu kepada ribuan santri dan penggemar di 4 kota. #Slank #TurPesantren #MusikRock,Slank's pesantren tour was a huge success! They brought a national message and knowledge to thousands of students and fans in 4 cities. #Slank #PesantrenTour #RockMusic,ind,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[27, 20]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ind/CoI_c5510694-6bb2-4ff8-bf9f-29a6ce192193_ind_medium_2720.json,ind,eng,ind,eng,ind,medium,MassiveSum,y,n,y,n
08223ba3-b020-4436-9fd8-2b0b2e0dbb86,"Tim penyidik Kejaksaan Negeri Kabupaten Soppeng, Sulawesi Selatan, melakukan penahanan terhadap Penjabat Kepala Desa Pattojo, Kecamatan Liliriaja, Soppeng, karena diduga terlibat dalam skandal korupsi Alokasi Dana Desa tahun 2016 yang sangat merugikan negara. Penahanan ini dilakukan setelah penyidik menemukan bukti kuat tentang keterlibatan tersangka dalam kasus korupsi tersebut. Penyidik juga mempertimbangkan dampak penahanan ini terhadap kepercayaan masyarakat terhadap penegakan hukum.","The investigation team of the Soppeng District Attorney's Office, South Sulawesi, arrested the Acting Head of Pattojo Village, Liliriaja Subdistrict, Soppeng, due to alleged involvement in the 2016 Village Fund corruption scandal that greatly harmed the state. The arrest was made after investigators found strong evidence of the suspect's involvement in the corruption case. The investigators also considered the impact of the arrest on public trust in law enforcement, taking into account the need to restore public confidence in the justice system.",BERITA TERBARU: Kejaksaan Negeri Kabupaten Soppeng menahan kepala desa atas dugaan korupsi! Tersangka diduga terlibat dalam skandal korupsi Dana Desa 2016 yang merugikan negara. #korupsi #indonesia #keadilan,BREAKING: Soppeng District Attorney's Office arrests village head for alleged corruption! The suspect is accused of being involved in a 2016 Village Fund corruption scandal that harmed the state. #corruption #indonesia #justice,ind,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[30, 20]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ind/CoI_08223ba3-b020-4436-9fd8-2b0b2e0dbb86_ind_minor_3020.json,ind,eng,ind,eng,ind,minor,MassiveSum,y,n,y,n
b6ee7fd2-d16f-4744-bcaa-010b939cb78b,"Timnas U-19 Indonesia dituduh melakukan kecurangan dalam pertandingan melawan Thailand di semifinal Piala AFF U-18 2017. Namun, pelatih Indra Sjafri membantah tuduhan tersebut dengan mengatakan bahwa mereka telah menyiapkan skema adu penalti sebelumnya. Meskipun demikian, Indonesia tetap kalah melalui adu penalti.","The Indonesian U-19 national team was accused of cheating in the match against Thailand in the semifinals of the 2017 AFF U-18 Cup. However, coach Indra Sjafri denied the allegations, stating that they had prepared a penalty scheme in advance. Despite this, Indonesia still lost the match through penalties.","Timnas U-19 Indonesia dituduh curang di semifinal Piala AFF U-18! Pelatih Indra Sjafri membantah, mengatakan mereka sudah siapkan skema adu penalti sebelumnya. #AFFU18 #Indonesia #Thailand","Indonesia U-19 national team accused of cheating in AFF U-18 Cup semifinals! Coach Indra Sjafri denies allegations, says they prepared penalty scheme in advance. #AFFU18 #Indonesia #Thailand",ind,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[19, 23]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ind/CoI_b6ee7fd2-d16f-4744-bcaa-010b939cb78b_ind_critical_1923.json,ind,eng,ind,eng,ind,critical,MassiveSum,n,y,y,n
3a2e3c1f-f5a4-412e-93ca-4d6995cbcbd7,"Sejumlah penyosohan beras juga masih merasakan harga bahan baku gabah yang sangat tinggi. Hal tersebut berdampak pada harga jual beras di pasaran. Untuk beras medium, harga masih berkisaran Rp 12 ribu per kilogram, selisih Rp 2.500 dari HET Rp 9.450 per kilogram. Belum adanya panen raya, membuat harga gabah masih sangat tinggi. Ketua Perpadi Jembrana, I Putu Sentana mengatakan hingga pekan ini, harga bahan baku gabah di petani masih stabil dan cenderung meningkat. Biasanya pada bulan-bulan awal tahun, ada beras dari luar Bali yang dijual murah tetapi saat ini juga tidak ada. ""Harga (gabah) masih stabil, kisaran diatas lima ribu seratus (rupiah) per kilogram,"" terang pengusaha penyosohan beras di Desa Kaliakah ini.","Some rice millers still feel the high price of raw materials for rice. This affects the selling price of rice in the market. For medium rice, the price is still around $0.85 per kilogram, a difference of $0.18 from the HET of $0.67 per kilogram. The absence of a major harvest has kept the price of raw materials high. The Chairman of Perpadi Jembrana, I Putu Sentana, said that until this week, the price of raw materials for rice at the farm level was still stable and tended to increase. Usually, in the early months of the year, there is rice from outside Bali that is sold cheaply, but now it is not available. ""The price (of raw materials) is still stable, ranging above $0.035 per kilogram,"" said the rice miller in Kaliakah village.",Harga beras di Jembrana masih tinggi karena biaya bahan baku yang tinggi. Ketidakadaan panen raya membuat harga tetap tinggi. #harga_beras #Jembrana #Indonesia,Rice prices in Jembrana are still high due to the high cost of raw materials. The absence of a major harvest has kept prices high. #riceprices #Jembrana #Indonesia,ind,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[11, 16]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ind/CoI_3a2e3c1f-f5a4-412e-93ca-4d6995cbcbd7_ind_medium_1116.json,ind,eng,ind,eng,ind,medium,MassiveSum,y,n,y,n
37bc24a5-9727-4e65-86d7-ae617df00497,"KPK menemukan bukti kuat tentang skandal korupsi besar-besaran di Kemenag, Ketua Umum PPP Romahurmuziy dan dua pejabat kemenag ditetapkan sebagai tersangka. KPK yakin bahwa kasus ini hanya ujung tombak dari skandal yang lebih besar dan akan terus menyelidiki untuk mengungkap kebenaran.","The KPK has uncovered strong evidence of a massive corruption scandal within the Ministry of Religious Affairs, with the Chairman of the PPP, Romahurmuziy, and two ministry officials being named as suspects. The KPK believes this case is merely the beginning of a much larger scandal and will continue to investigate to reveal the truth.",BERITA TERBARU: KPK temukan skandal korupsi besar-besaran di Kemenag! Ketua Umum PPP Romahurmuziy dan 2 pejabat ditetapkan sebagai tersangka. Tunggu update selanjutnya! #korupsi #KPK #Kemenag,BREAKING: KPK uncovers massive corruption scandal in Ministry of Religious Affairs! Chairman of PPP Romahurmuziy and 2 officials named as suspects. Stay tuned for more updates! #corruption #KPK #MinistryOfReligiousAffairs,ind,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[9, 32]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ind/CoI_37bc24a5-9727-4e65-86d7-ae617df00497_ind_critical_932.json,ind,eng,ind,"[eng,ind]",ind,critical,MassiveSum,n,y,y,n
e2db92f9-62a2-4f7c-b538-ae7104242524,"Simak berita terkini langsung dari Washington dalam Headline News, bersama para penyiar VOA yang setia menghadirkan perkembangan terakhir berita-berita internasional yang paling penting dan menarik saat ini.","Watch the latest news live from Washington on Headline News, with VOA broadcasters who bring you the latest updates on the most important and interesting international news.",Dapatkan berita terkini dari Washington! Tonton Headline News dengan penyiar VOA untuk update internasional paling penting dan menarik #Berita #Internasional #Washington,Get the latest news from Washington! Watch Headline News with VOA broadcasters for the most important and interesting international updates #News #International #Washington,ind,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[7, 22]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ind/CoI_e2db92f9-62a2-4f7c-b538-ae7104242524_ind_critical_722.json,ind,eng,ind,eng,ind,critical,MassiveSum,n,y,y,n
048c4cd8-21e6-405e-a0b6-aea704e3ddba,"Setiap paginya, VOA menyiarkan sebuah program informatif sejam penuh yang sangat populer di kalangan masyarakat. Siaran Pagi menghadirkan beragam topik yang menarik dan aktual, seperti berita internasional dan nasional, tajuk rencana, bisnis dan keuangan, sains dan kesehatan, serta tips-tips pengembangan pribadi yang sangat bermanfaat.","Every morning, VOA broadcasts a full-hour informative program that is highly popular among the community. The Morning Broadcast features a range of engaging and up-to-date topics, including international and national news, editorials, business and finance, science and health, as well as valuable personal development tips.","Mulai hari Anda dengan siaran pagi VOA! Dapatkan berita terbaru, tren, dan tips tentang bisnis, sains, kesehatan, dan banyak lagi! #VOApagi #informatif #berita","Start your day with VOA's morning broadcast! Get the latest news, trends, and tips on business, science, health, and more! #VOAmorning #informative #news",ind,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[32, 18]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ind/CoI_048c4cd8-21e6-405e-a0b6-aea704e3ddba_ind_minor_3218.json,ind,eng,ind,eng,ind,minor,MassiveSum,y,n,y,n
118bfd71-087b-4484-985c-8511cc78ca66,"Kelompok pemberontak yang didukung oleh negara-negara Barat membom sebuah gedung pemerintah strategis dekat Damaskus Minggu (17/11), menyebabkan kerusakan parah dan korban jiwa di kalangan tentara Suriah. Sementara itu, pasukan Suriah melancarkan serangan udara hari kedua berturut-turut terhadap kota Qara di daerah pegunungan Qalamoun, dekat perbatasan Lebanon, dalam upaya untuk menghentikan aliran bantuan kepada pemberontak dan memulihkan keamanan di wilayah tersebut.","A rebel group backed by Western countries bombed a strategic government building near Damascus on Sunday (17/11), resulting in significant damage and loss of life among Syrian troops. Meanwhile, Syrian forces conducted a second consecutive airstrike on the town of Qara in the Qalamoun mountains, near the Lebanese border, aiming to disrupt rebel supply lines and restore security in the region.",BERITA TERBARU: Kelompok pemberontak yang didukung oleh negara-negara Barat membom gedung pemerintah strategis dekat Damaskus! #Suriah #Konflik #TimurTengah,BREAKING: Rebel group backed by Western countries bombs strategic government building near Damascus! #Syria #Conflict #MiddleEast,ind,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[28, 25]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ind/CoI_118bfd71-087b-4484-985c-8511cc78ca66_ind_medium_2825.json,ind,eng,,eng,ind,medium,MassiveSum,y,n,y,n
2b68577e-2c6b-4542-afb8-53fffbedae13,"Pertempuran sengit antara militan Boko Haram dan tentara Nigeria pecah Sabtu malam dan berlangsung hingga Minggu. Serangan oleh para ekstremis dilancarkan dari empat arah, dengan maksud untuk menguasai kota Maiduguri sebelum pemilihan umum Nigeria pada 14 Februari. Suara artileri berat terdengar di seluruh kota, dan ratusan warga sipil bersenjatakan senapan berburu, pentungan, dan parang bergabung dalam pertempuran untuk membantu tentara melawan militan.","A fierce battle between Boko Haram militants and Nigerian soldiers erupted on Saturday night and continued until Sunday. The extremist attack was launched from four directions, aiming to capture the city of Maiduguri before Nigeria's election on February 14. The sound of heavy artillery echoed throughout the city, and hundreds of civilians, armed with hunting rifles, clubs, and machetes, joined the fight to help the military combat the militants.","BERITA TERBARU: Pertempuran sengit meletus di Maiduguri, Nigeria saat Boko Haram melancarkan serangan! Warga sipil bergabung dengan militer untuk melawan militan. #BokoHaram #Nigeria #Maiduguri","BREAKING: Fierce battle erupts in Maiduguri, Nigeria as Boko Haram launches attack! Civilians join forces with military to combat militants. #BokoHaram #Nigeria #Maiduguri",ind,x_eng,meta-llama_Llama-3.3-70B-Instruct,fake_news,"[26, 12]",/x_eng_f/meta-llama_Llama-3.3-70B-Instruct/ind/CoI_2b68577e-2c6b-4542-afb8-53fffbedae13_ind_minor_2612.json,ind,eng,ind,eng,ind,minor,MassiveSum,y,n,y,n
