uuid,content,summary,language,organization,content_type,dataset
dc2b77d2-a86f-4e9c-870d-9d2a7f4567a6,"(CNN) -- ""Let Allah sort it out."" That is Sarah Palin's succinct argument against U.S. intervention into Syria. And I have to be honest: I'm impressed with Palin on this one. Not with her horribly callous recommendation, made via Facebook late last week, but because she appears to speak some Arabic. I'm not saying Palin is fluent in the language, but she did use the Arabic word ""Allah."" She could've simply used the word ""God"" instead of Allah since it has the identical meaning. (Christian Arabs use the word Allah when speaking of God in Arabic.) I think deep down she wanted to show off her language skills. Could Palin know even more Arabic? She did go on to say that both sides fighting in Syria are, ""shouting 'Allah Akbar' at each other."" She could've easily translated ""Allah Akbar"" into English, noting that the combatants were screaming, ""God is great."" Or as Sen. John McCain remarked Tuesday on Fox News, ""Allah Akbar"" is no different than an American Christian saying, ""Thank God."" Opinion: GOP shouldn't bail out Obama's floundering foreign policy . But Palin went with the Arabic. Why? Because I think deep down she loves the language. And I bet Palin knows even more Arabic words such as humus, falafel and possibly babaganoush. So, let's get back to her statement, ""Let Allah sort them out."" Now, there is a possibility that Palin believes that Muslims worship a different God than Christians and Jews. If she does, is she's actually saying that we should sit back and revel in watching Muslims slaughter each other? Could that be her barbaric message? Possibly. But my cynical side tells me that Palin was just trying to use inflammatory language to get attention. (I know what you're saying: ""No, our Sarah Palin would never do that."") But let's not forget what Palin said about President Barack Obama's comments on Libya: ""Obama's shuck and jive shtick with these Benghazi lies must end."" Palin was roundly criticized for using ""shuck and jive,"" which is a term dating back to 1870s and was originally a ""Southern 'Negro' expression for clowning, lying, pretense."" Palin denied she was being racially insensitive in using that phrase. Was it just an inadvertent slip or a ploy to draw media coverage? So what's the genesis of Palin's statement, ""Let Allah sort it out""? The big debate: Should U.S. strike Syria? Well, it appears to be based on the infamous phrase: ""Kill them all, let God sort them out."" This term reportedly comes from the time of the Crusades. You know, those ""holy wars"" waged by Christians that Sarah might refer to in her Arabic as a ""jihad."" However, this expression was not coined in a battle between Muslims and Christians. Rather, legend has it that it was uttered by a Catholic monk in the 13th century as Crusaders were about to lay siege to the French city of Beziers, a town filled with Cathars, who were considered heretics to the Catholic Church. When the monk in charge of the assault, Arnaud Amalric, was asked by the military commander how to distinguish between heretics and Christians, the monk responded: ""Kill them all, God will know his own."" Consequently, 20,000 people were slaughtered, including women and children. It's unclear if Palin comprehends the origins of the phrase she used, but what's abundantly clear is that she believes that the U.S. should do nothing while people are being slaughtered in Syria. I'm not sure to what God she prays, but I can assure her that the God of Christians, Jews and Muslims demands more than silence in the face of mass killings -- some 100,000 people, including scores of women and children. Many of us would prefer a political solution that ends this conflict. Opinion: Don't use Syria to pump up Pentagon spending . Former President Jimmy Carter has called for a peace summit to try and end the bloodshed while we await a vote by Congress' on military action in Syria. Regardless of how we end the violence, silence is not a morally acceptable option. In the future, if Sarah Palin is going to show off her Arabic vocabulary, it's my hope that she doesn't use it to encourage the world to turn a blind eye as innocent people are butchered. Instead, she might use an Arabic word such as ""salaam,"" which means ""peace,"" and encourages people to support a policy that brings an end to the fighting. After all, peace means the same thing in every language. The opinions expressed in this commentary are solely those of Dean Obeidallah.","Dean Obeidallah: Sarah Palin wrote ""Let Allah sort it out,"" referring to possible U.S. action .
He asks who knew she spoke Arabic? But does she know where that phrase comes from?
He says Catholic monk said it before 13th-century siege that killed 20,000 .
Obeidallah: She seems to believe slaughter of innocent Syrians should be met with silence .",eng,CNN,article,DialyNews
e2fcdb69-0509-4f62-a88b-e7cd6fac3046,"By . Ryan Gorman . A heroic father saved his two-year-old son this weekend from two dogs that were chewing on his face after straying into the yard behind the family home. Colton Brown’s rescue from the vicious beasts by dad James Hardegree likely saved the his life while mother watched in horror, screaming as a Rottweiler and a Labrador repeatedly chomped on his head. Pictures posted by mother Lindsay Brown to Facebook how the horrifying extent of the injuries suffered by the tot, including a 4 and a half inch gash across the side of his face, puncture wounds and an ear mangled so bad doctors had to perform plastic surgery to fix it. WARNING GRAPHIC IMAGE BELOW . Heroic father: James Hardegree (left) rescued son Colton Brown from two vicious dogs in their backyard . ‘He had 4 1/2 inch gash in his face all the way to the bone. On this side, his ear, two deep puncture wounds,’ the mother told WSB. Father James Hardegree told the station he locked Colton Brown in the house when he saw the two canines fighting over a dead animal they saw in the woods. But the young boy knew how to open the door and was soon tangled at the waist in a seven-foot-long chain being dragged by the Rottweiler. ‘He came running back out, he got tangled up in the chain of the [Rottweiler], it all just happened so fast,’ he told WAGA. ‘He was just up under them, and they were fighting, and whether or not they meant to get him – they did.’ Savage beasts: Two dogs similar to the Rottweiler on the left and the Labrador on the right went after the tot . The dogs were mauling the young boy as Hardegree ran to his aid. Lucky: Colton Brown's life was likely saved by his father's heroic actions . He ran outside and chased the dogs away, but it was too late to spare his son from serious injury, but his heroic actions may have saved the boy’s life. The surgeon had to reattach Colton Brown’s left cheek and ear, the procedure took two hours, the family said. ‘Breaks my heart that instead of my baby having [an] awesome day, he is stuck in a hospital and is hurt badly, no child should go [through] this,’ the distraught mother wrote to Facebook. Hardegree chased the dogs away, and animal control officers have not seen them since. Officials are still hunting for both the dogs and their owner. Doctors told Colton Brown’s parents that not finding the dogs within another day or two will force them to require the toddler to get a rabies shot. It is not possible to determine if the dogs were infected with the deadly disease without first locating them. The young boy has been released from the hospital, but Lindsay Brown told WAGA she is upset over the ordeal. ‘You shouldn't have a home and worry that something is going to happen to your child in your own backyard.’","Colton Brown's head was in the clenched jaws of two dogs when his father ran out to save his life .
The beasts had wandered into his yard while fighting over a dead animal .
The tot required plastic surgery to reattach his cheek and ear .",eng,CNN,article,DialyNews
a857cf5d-c270-4dc9-9768-92b5128fa526,"(CNN) -- Amputees will soon get help from a groundbreaking bionic arm, thanks to the inventor of the Segway and a little inspiration from ""Star Wars."" After almost eight years of research and testing, the U.S. Food and Drug Administration has approved the DEKA arm, a prosthetic controlled by signals from the brain. Unlike most current prostheses, the DEKA can perform such delicate tasks as zipping up a coat, unlocking a door with a key or handling an egg without breaking it. Funded by DARPA, the research branch of the Pentagon, the DEKA project was overseen by Dean Kamen, who invented the Segway personal vehicle. Kamen nicknamed the DEKA arm ""Luke"" after Luke Skywalker, the ""Star Wars"" hero who was fitted for a prosthetic after losing his right hand in a light-saber duel with Darth Vader. The FDA is calling the device the first prosthetic arm that can perform multiple, simultaneous movements via electromyogram electrodes, which detect electrical signals from the contraction of muscles close to where the prosthesis is attached. The battery-powered arm is about the size and weight of a natural limb and has six different grips. A computer in the device can tell what type of movement its wearer wants to make. ""This innovative prosthesis provides a new option for people with certain kinds of arm amputations,"" said Christy Foreman, director of the FDA's Office of Device Evaluation. The DEKA arm ""may allow some people to perform more complex tasks than they can with current prostheses in a way that more closely resembles the natural motion of the arm."" The DEKA bionic arm can be configured for people with limb loss at the shoulder joint, mid upper arm or mid lower arm, the FDA said. It cannot be fitted for someone whose arm was amputated at the elbow or wrist. One of the device's first users was double amputee Chuck Hildreth, who lost both arms in an electrical accident. Hildreth has been demonstrating the DEKA arm on national TV news programs since at least 2009. ""I never thought in my lifetime I'd see something this functional come out,"" he told CNN's Sanjay Gupta in 2010. ""It's definitely going to change my life, and more importantly it's going to change the life of my family. Because ... I'm going to be less dependent on them."" In considering whether to approve the device, the FDA reviewed a Department of Veterans Affairs study involving 36 participants fitted with DEKA arms. The study found that about 90% of participants were able to perform activities they were not able to perform with their current prosthesis, such as using keys and locks, preparing food, feeding themselves and brushing their hair. A video demonstration on DARPA's website shows a man using the bionic arm to transfer eggs from one carton to another without breaking them. The device was developed by DEKA Integrated Solutions in Manchester, New Hampshire. FDA approval means that DEKA can now legally market and sell the bionic arm in the United States.","FDA approves the DEKA arm, a prosthetic controlled by brain signals .
The DEKA project was overseen by Dean Kamen, who invented the Segway .
Kamen nicknamed the arm ""Luke"" after Luke Skywalker from ""Star Wars""
The arm can perform delicate tasks such as handling an egg without breaking it .",eng,CNN,article,DialyNews
8e6a6095-41d8-497e-811a-9914ddf4feb7,"D.J. Hayden, the Raiders' first round draft pick in 2013, cornerback from Houston, is pictured during a news conference that year. Hayden and two of his former teammates died in a car wreck on Saturday.Tony Avelar/APhide caption D.J. Hayden, the Raiders' first round draft pick in 2013, cornerback from Houston, is pictured during a news conference that year. Hayden and two of his former teammates died in a car wreck on Saturday. Former NFL player D.J. Hayden and two of his former college teammates died in a two-car crash that police said killed six people after a driver sped through a red light at a downtown Houston intersection early Saturday. Two others were injured. The Houston Chroniclereported that Hayden, a first-round draft pick by the Raiders in 2013, and his former University of Houston teammates, Zachary McMillian and Ralph Oragwu, were among those killed in the crash. A fourth former UH football player, Jeffery Lewis, survived the accident,according to the newspaper. The crash happened around 2 a.m., after a black Chrysler sedan that appeared to be going ""very fast"" through a red light on Fannin St. collided into a black Acura SUV that had a green light on Pierce St., Houston Police Asst. Chief Megan Howard said in a news briefing Saturday morning. Including the former athletes, five males and one female died in the crash. Of those killed, four people died at the scene. Four others were taken to the hospital, where two of them later died. Another person, a female, is in critical condition with life-threatening injuries. The other survivor, a male, is being interviewed by investigators. The driver of the Chrysler who ran the red light died at the scene, Howard said. One of the men who died was a pedestrian on the sidewalk,police said. Police have not yet released the identities of the deceased. Hayden was in the Acura SUV, theChroniclereported. In 2012, Hayden made headlines after suffering a near-fatal heart injury from colliding with a teammate during practice. Months later, he was picked up by theOakland Raiders— now based in Las Vegas — as the 12th overall pick of the 2013 NFL draft. ""D.J.'s courage, perseverance, and dedication to his teammates will be fondly remembered by everyone who knew him,"" the Las Vegas Raiderssaid in a statement. ""The prayers of the entire Raider Nation are with D.J.'s loved ones at this time."" Hayden was 33 years old. Hayden's alma mater mourned his death alongside McMillian and Oragwu. ""The entire University of Houston community is heartbroken over the tragic passing of former Football student-athletes D.J. Hayden, Zachary McMillian and Ralph Oragwu earlier today, and our thoughts and prayers remain with Jeffery Lewis in his recovery ahead,"" the school's athletics department saidin a statement. ""While their combined talents provided Houston Football some of its most unforgettable moments, their unique legacies will best be remembered for the way they loved their teammates, supported their communities and defied the odds.""","D.J. Hayden, the Raiders' first round draft pick in 2013, cornerback from Houston, is pictured during a news conference that year. Hayden and two of his former teammates died in a car wreck on Saturd… [+2619 chars]",eng,NPR,article,GlobalNews
cb25b35c-f32d-4e9c-a110-d0faccdd07cc,"(CNN) -- Dan Wheldon won the Indianapolis 500 Sunday, making a mad dash past rookie J.R. Hildebrand in the last stretch of the race. Hildebrand crashed at the end, almost winning the race by sliding on three wheels. Wheldon dashed past Hildebrand to take the championship, in the 100th year of the iconic race. Drivers had to deal with a new rule that some said could increase the risk of crashes. The new regulation forces cars to line up in a side-by-side alignment during restarts. Sports Illustrated: 100th anniversary in photos . That differed from the past, when cars lined up in single file for restarts. The new double-file formation claimed its first victim 27 laps into the race as E.J. Viso was knocked out after bumping two cars. Danica Patrick, another big draw at the race, finished in 10th place. She led the race for several laps toward the end of the race but she got passed and then had to make a pit stop. Patrick became a legend when she was a rookie driver at the oval in Indiana in 2005. During a thrilling dash in that race, she became the first woman to lead a lap at Indy. She ended in fourth place and has finished in the top eight in five of her six Indy 500s, including a sixth-place finish last year. 10 greatest moments from Indy 500 | Early years  Patrick has been dogged with speculation that she may leave the IndyCar Series soon to concentrate on NASCAR. She did not confirm whether she is leaving the Indy series during interviews earlier this week. ""I suppose anything is possible. But I know for me I haven't made any of those decisions yet,"" Patrick told reporters who asked if this is her last Indy 500. ""This is a special event in and of itself. Indy is my favorite race in the world. So many people have that story as to how they could have maybe won the Indy 500, which for me is the ultimate goal."" CNN's Lateef Mungin contributed to this report.","Wheldon narrowly beats another driver who crashed .
Drivers had to deal with a new rule change .
New rule forced racers to line up in double-file during restarts, which could cause mayhem .",eng,CNN,article,DialyNews
211897ba-7347-4226-98c4-fbd2be2e4995,"CHANDIGARH: Haryana's home minister Anil Vij on Wednesday hit out at Rahul Gandhi for his ""panauti Modi"" barb against Prime Minister Narendra Modi, saying the Congress leader is a ""panauti"" for his party.At an election rally in Rajasthan on Tuesday, Gandhi said, ""PM means Panauti Modi"", insinuating the Prime Minister's presence at the Ahmedabad stadium during the India-Australia Cricket World Cup final brought bad luck to the home side, which lost the decider.Slamming the Congress leader for his remarks against the PM, the senior Bharatiya Janata Party (BJP) leader alleged that Gandhi had reached the height of frustration.On India losing the final match, Vij said, ""It is a game, in this one side wins or loses. It should be taken with a sportsman spirit"".Attacking the Congress leader, Vij, who was interacting with reporters in Ambala, said, ""Rahul Gandhi is a 'panauti' for the Congress. From the day he emerged as Congress' face the party has been sinking"".The BJP too had on Tuesday lashed out at Gandhi over his comments against PM Modi and demanded an apology from the Congress leader for his ""shameful and disgraceful"" utterances.The ruling party said Gandhi's remarks reflect his party's frustration as Modi is a nightmare ""for the crooks of the Congress, for enemies of India and terrorists"", and is respected by all others in the country and the world for his vision and hard work.",Most expensive things owned by Virat Kohli,eng,The Times of India,article,GlobalNews
cefbb869-6037-4c48-a9cf-4b955622ea12,"Agencies Visiting weekly markets reminds us to appreciate how our food comes from a place and season, from producers who need a fair price, and in varieties that might be unfamiliar, but which we should risk trying. And we need to take our children to them, to ensure that this knowledge stays alive. Friday  is market day in  Mapusa  — and it is the place to be in  Goa .  Madgaon in the south has a bigger market, but more chaotic and focussed on wholesale. Panjim has a neater municipal market, but more ordered and less fun. Mapusa’s Friday market is mostly contained within the regular municipal market, but every corner is crammed with  vendors  from all over north Goa, and even the south. It is crowded, but not unbearable. You can walk through it, even laden with shopping bags. There is some order, even if it takes several visits to figure it out. You could navigate the market by  smells . Here’s the perfumer with a cult tourist following (“he looks into your eyes and makes a blend specially for you!”).  There’s the sharp vinegary tang of Goan sausage, stuffed into ‘rosary’ strands. Through the week, you can buy the packaged versions, but on Friday it’s also sold by aunties who have made it fresh, oozing spicy red fat. Vegetables occupy a middle hall, so large and airy that smells dissipate, other than the green aroma of coriander. These daily vendors are supplemented on Friday by people who sit outside with bundles of leaves from their garden or piles of roots and tubers, giving out herby or earthy aromas.  Fridays also bring the smell of varnish from the carpenters selling kitchen stools and benches, with a coconut grater sticking out from one side, with a drawer below that’s pulled out to catch the scrapings. The bread section, piled high with  pao  and  poee,  but also less common varieties like  unddo  (egg shaped),  katron  (butterfly) and  kakon  (rings doesn't actually smell of baking, since the ovens aren’t here, but close by are fresh smells from the flower section. And always, pulling you to one end of the market, where it occupies two huge halls, is the  fish  section.  The fresh fish doesn’t exactly stink, but the air is almost solid with the smell of the sea and the guts, scales and shells that pile up. All cities have such markets, and metros have several. They resemble each other, yet each is slightly different. Mapusa’s special flavour comes partly from the Russians and other foreigners who travel from north Goa’s beaches to haggle and do their shopping cheap - these days it's the Indian tourists who are less careful with their money.  You can stop for a snack at Café SF Xavier in the middle of the market and, because this is Goa, have a beer or something stronger, from 8.30 am to 8.30 pm. These  weekly markets  are worth going to, not just for the colour and cheaper prices, but because they are an education in the seasonality and diversity of local food. Regular vegetables usually come from a regional wholesale market, like Belgaum for Goa, and are nothing special.  It’s the weekly sellers on the margins with the desi vegetables, herbs and tubers who can tell you how to clean them — for example, which need processing to neutralise the oxalate crystals that cause itchy throats. Large markets are where you find all the variety of seafood beyond standard restaurant varieties. People once knew the value of each kind, but such knowledge is easy to forget when, for reasons ranging from increasing affluence to lack of time for preparation and cooking, we start focusing on just a few varieties.  Buying fish and meat in these markets, with their blood and guts all around, reminds us that these are living creatures, whose death must be valued, not just reduced to another ingredient.  Visiting weekly markets reminds us to appreciate how our food comes from a place and season, from producers who need a fair price, and in varieties that might be unfamiliar, but which we should risk trying. And we need to take our children to them, to ensure that this knowledge stays alive. Experience Your Economic Times Newspaper, The Digital Way! Monday, 27 Nov, 2023 Read Complete ePaper  » Digital View Print View Wealth Edition Top Electronic Cos’ Imports Fall in 5 Yrs on Local Play Leading consumer electronic companies such as Apple, Samsung, Dixon Technologies and Havells saw a significant reduction in imports as a percentage of sales in the last fiscal year from the pre-Covid period, according to the latest regulatory data filed by them. PepsiCo India may Name George Kovoor President PepsiCo India is likely to appoint George Kovoor, one of its most senior executives, as president, as the incumbent, Ahmed ElSheikh, is expected to relocate to a global role at the American food and beverage company early next year, said executives with knowledge of the matter. Banks want Boards Kept out of Loan Renewals in ‘Related Party’ Cases  Spotting a brother, the in-laws, or even a stepsister, of a director on a borrower’s board can be maddening for bankers. Still, they can’t disregard the links — lending to companies (where a bank’s director has a ‘connection’) without the clearance or knowledge of the bank’s board is breaking the law. Read More News on weekly markets Mapusa Friday goa vendors smells fish Download  The Economic Times News App  to get Daily Market Updates & Live Business News. ... more less Prime Exclusives Investment Ideas Stock Report Plus ePaper Wealth Edition SBI, Bajaj Fin, Axis Bank face the heat of unsecured lending norms. What should investors do next? Tax troubles: Swiggy and Zomato grapple with freshly served GST notice on delivery fee Adam Neumann’s WeWork didn’t work. But India’s flexible workspace startups can do well. Here’s why. Unwinnable wars and the huge toll it takes on economic, humanitarian, and military domains Value investing pips momentum for first time in 15 years. Does it mean the end of trend-following? How Subhiksha's IIM-educated promoter was slapped a 20-year sentence for duping elderly investors 1 2 3 View all Stories","Friday is market day in Mapusa and it is the place to be in Goa. Madgaon in the south has a bigger market, but more chaotic and focussed on wholesale. Panjim has a
neater municipal market, but more … [+3499 chars]",eng,The Times of India,article,GlobalNews
ea3ac24a-1fa6-448e-b506-43add64510f4,"Chinese scientists have created a robot chemist that can make oxygen using Martian rocks, bringing humans a step closer to colonizing thered planet. The robot was able to analyze minerals found in Martian meteorites, come up with the chemicals it needed to make oxygen, and carry out experiments ""without human intervention,"" astudypublished Monday reported. Sending supplies, such as oxygen, to Mars is extremely expensive so being able to create it on the red planet could remove a major barrier to establishing future colonies. ""We have developed a robotic AI system that has a chemistry brain,"" said study lead Jun Jiang at the University of Science and Technology of China in Hefei,per Nature News. The robot chemist's ultimate aim is to find clever ways to make new compounds from on-the-ground resources. To put it to the test, the machine was tasked with making oxygen from water, and it was told it could only use Martian soil to make this happen. The robot's AI analyzed the composition of Martian meteorites using high-powered lasers and studied more than 3.7 million formulas to figure out which combination of elements would work as a catalyst to produce oxygen. It then tested more than 200 catalysts to find the best ones. The study would have taken a human about 2,000 years to carry out, pera press release. Once a catalyst was found, the AI carried out experiments on Martian meteorites in the lab using a robotic arm to test whether its theory was correct. Within just two months, it was able to create a chemical catalyst that efficiently turned water into oxygen. ""In the future, humans can establish oxygen factory on Mars with the assistance of AI chemist,"" said Jiang. There are other ways to make oxygen on Mars, which are probably more efficient. NASA's Perseverance Rover recently demonstrated it was able tomake oxygenon Mars from carbon dioxide in the air — a very abundant resource. But that's somewhat beside the point. As we aim not only toget to the red planetbut also to make it liveable, scientists are looking for ways we couldquickly createwhat we would need from the resources that are already there. ""Different chemicals can be made by this robot,"" said Jiang, per Nature News. ""This breakthrough technology brings us one step closer to achieving our dream ofliving on Mars,"" he said in a press release. The robot could also find applications for humans'return to the moon, he said. The study was published in the peer-reviewed journal Nature Synthesis.","An artist's impression of what an astronaut might look like on Mars.peepo/Getty Images
<ul><li>A robot created chemicals to make oxygen from Martian rocks. </li><li>The same process would have taken… [+2674 chars]",eng,Business Insider,article,GlobalNews
19036713-3757-46cb-887b-6dddf3c75595,"(CNN) -- We learned a few things on Monday night, those of us watching Anderson Cooper on ""AC360,"" about Alex Teves, one of the people who died in the gunfire at theater 9 in the Century 16 multiplex in Aurora, Colorado. We learned that in high school, ""for no reason whatever,"" as his father put it, Alex always wore white T-shirts and blue jeans, and that one day some 400 to 500 kids from the school wore the same outfit, declaring an unofficial ""Alex Teves Day."" We got to meet Alex's best friend, Ryan Cooper, who spoke about how people were ""drawn to him."" And his girlfriend, Amanda Lindgren, who told us, among other things, about the last act of Alex's life, which in some ways is all you need to know: He dove across her body to protect her from the bullets. Opinion: Three Aurora heroes gave their lives . Perhaps most painfully, we met Tom Teves, the father of Alex, a likeable, visibly hurt man. He said, when Cooper asked how he was holding up: ""It's the worst day of my life every day. Alex was my firstborn son. I love him with all my heart."" Teves had something to say to the news media, too, something impossible to ignore: ""And if we don't stop talking about the gunman -- so somebody took a gun and went in and shot a 6-year-old girl? Why are we talking about that person?"" He went on: ""I would like to see CNN come out with a policy that said, 'Moving forward, we're not going to talk about the gunman. What we're going to say is: A coward walked into a movie theater and started shooting people. He's apprehended. The coward's in jail. He will never see the light of day again. Let's move on'... CNN, Fox News, the major networks. Why don't you guys all come out with a policy that says, we're not going to show this [killer] again? That would be my -- that would be my challenge to you and to every network."" As compelling and tempting as his plea is, I would argue that Teves is only half right. The mass killings certainly dominated the news, quickly becoming one of the biggest stories of 2012. Nearly three quarters of the nation has been following it ""very"" or ""fairly"" closely, according to Pew Research Center. Still, if mass shootings weren't big news, you would worry. James Holmes' face, meanwhile, made it to a number of front pages in the wake of the massacre, as shown in Newseum's Today's Front Page feature, but not as often or as large as you might think. And you did want to know what he looked like, didn't you? Even Tom Teves went to court to see his face. Looking into the minds of killers . Like Teves, many people suspect that some sort of media glory is part of the payoff for these mass killers. And that seems plausible. But the truth of the matter is we don't have a clue. Nor do we have an idea if some sort of media blackout about them would have any effect in preventing this type of incident from occurring again. Court appearance fuels theories about Colorado shooting suspect . As an analogy, one he freely admitted is on a wholly different level, Teves used the example of people running on fields during professional ball games. The media stopped showing such incidents, he pointed out, and now that the TV cameras no longer show these runners, he asked, ""When was the last time you saw somebody jump on the field?"" The problem, unfortunately, is that people still jump on ball fields. I just search for ""people running on baseball fields"" on Google and up popped recent incidents in 10 cities, all recorded on cell phones, as well as two websites that collects such videos. Stories of survival amidst the shooting . What really causes mass murderers to commit their crimes? Mental illness? Environmental factors? Something worse? News media speculation about the motive isn't helpful to anyone. Yet people around the country are concerned; some are even traumatized by this event. It is natural to wonder why and how the horrific shooting happened. And to the extent that it can address such big questions, news organizations should make the necessary inquiries -- dig into the suspect's past, find indicators of questionable behavior, look for signs of terrifying intent. This is the media's responsibility. Warning signs of violence: What to do . News outlets should never glorify killers in any way. In the chance that being on television and across the front pages could be a draw to killers, the news media must err on the side of caution in its coverage. The prime focus should be properly on the victims. And, I would add, on the victims' friends and families, who tell us so movingly that they will remember. As Teves said, ""You know, Alex would have expected us to live. We're going to live."" To report that kind of love and guts is essential. Still, when something like this happens, we are, as a society, like a tribe discussing the events around the campfire. Reporters are something like the tribal scouts. There are wolves, and we have questions: How many wolves? How do they act? Which way should we go? How to help the victims . Here, too, we have questions: Who is this killer? What concrete facts give clues to how he got that way? Is there any law or cultural change that might deter the next one? Were signals missed? All of this matters. Tell us about the wolves. The opinions expressed in this commentary are solely those of Mike Hoyt.","On Anderson Cooper's show, a father of a victim of the Aurora shooting asks about media's role .
Mike Hoyt: Is Tom Teves right to say news organizations should ignore the mass killers .
He says it's natural to ask why the horrific incident happened and what motivated the gunman .
Hoyt: Media should make the necessary inquiries but never glorify the killer .",eng,CNN,article,DialyNews
12102945-69ee-407d-8670-200ecce19fea,"Google has angered thousands of internet users by announcing it is to close its 'Reader' service. The service lets users see updates from their favourite websites in one place. However, the growth of Twitter has made it far less popular. Google announced the closure of Reader is this blogpost - and immediately faced a huge online backlash . Alternative readers such as Feedly,  RSSowl and NewsBlur are seeing huge interest since the search giant's announcement. Feedly was . quick to capitalize on Google's announcement by offering tips to Reader . users for moving their data to its website. NewsBlur said in a Tweet that its site had slowed because of the heavy traffic caused by users fleeing Google Reader. Google . said users and developers interested in alternatives to Reader can . export their data, including subscriptions, with the Google Takeout . service over the next four months. Google . Takeout allows users take their data out of multiple Google products . and collate it in portable and open formats, making it easy to export to . other services. Google said there were 'two simple reasons' for closing the service, which was launched in 2005. 'Usage of Google Reader has declined, and as a company we are pouring all of our energy into fewer products,' the company said on its official blog on Wednesday. Google declined to comment beyond the blog post. 'These moves support our general thesis that management is disciplined in its capital allocation efforts,' Morningstar analyst Rick Summer said, adding that none of these closures will affect his forecast or fair value estimate on Google's stock. Google has not disclosed the number of Google Reader users, but irate users of the doomed app took to Twitter on Thursday to vent about the closing of the service, making 'Google Reader' one of the top trending topics on the microblogging site. 'Shutdown of Google Reader because of a 'lack of consumer appeal?' No way. The simple reason: RSS can't be controlled and monetized easily,' one Twitter user wrote. Reader aggregates feeds in RSS (rich site summary) - a format for creating newsfeeds from websites. 'The killing Of Google Reader highlights the risk of relying on a single provider,"" another Tweet said. Dan Lewis, a New York lawyer, started a campaign on petition website Change.org to save Google . Reader that garnered about 54,000 supporters in about 16 hours. Change.org, a for-profit platform funded through non-profit advertising, is paid by human and animal rights organizations such as Amnesty International and the Humane Society to host their petitions. It has 20 million users. Demonstrating the site's effectiveness, PepsiCo Inc recently removed a controversial chemical from its Gatorade drinks following concerns from consumers and an online petition on Change.org started by a Mississippi teenager. Some Google Reader users pointed out alternative readers such as Feedly , RSSowl and NewsBlur, and Feedly was quick to capitalize on Google's announcement by offering tips to Reader users for moving their data to its website. Irate users of the doomed app took to Twitter on Thursday to vent about the closing of the service, making 'Google Reader' one of the top trending topics on the microblogging site . NewsBlur said in a Tweet that its site had slowed because of the heavy traffic caused by users fleeing Google Reader. Google said users and developers interested in alternatives to Reader can export their data, including subscriptions, with the Google Takeout service over the next four months. Google Takeout allows users take their data out of multiple Google products and collate it in portable and open formats, making it easy to export to other services. The company said it would retire seven other products and services over the next few months, including its voice app for BlackBerry . In a blogpost titled 'A second spring of cleaning', Google said the latest closures meant it has now pulled the plug on 70 features or services since it started streamlining its product base in 2011.","App to be retired on July 1st .
Online petition to save it garners 54,000 sign-ups in 16 hours .
Google cites lack of usage, shifting company focus for closure .",eng,CNN,article,DialyNews
