uuid,content,summary,language,organization,content_type,dataset
592aba2e-3b69-47ee-8852-d69f5f206aaa,"(CNN) -- It's been a great week for Cleveland. On Monday, the Republican National Committee announced its intention to hold the 2016 GOP convention in Cleveland. Then on Friday, LeBron James said he was ""coming home"" to the Cavaliers. While sports analysts have universally praised the decision by ""King James,"" political observers have not been as kind to the Republicans. The consensus is that the location of political conventions doesn't affect elections. To a degree, this conclusion is supported by the political science literature, particularly a 2004 study by Richard Powell at the University of Maine, which found that parties gained no significant electoral benefits in states where they held conventions. One has to be careful, however, about reading too much into these past election results. After all, we only have one presidential election every four years. That means in the last 50 years, we have only 13 data points. Since each party holds a convention, perhaps that number can be doubled. Still, when looking at conventions, there is the additional problem of looking at all states as if they were equal. More than half of the 26 conventions held since 1964, however, occurred in only four states (Florida, New York, California and Texas). Moreover, the convention in Cleveland will be just the start of a major investment of time and money by the GOP in the Buckeye State. Clearly this was not the case in New York and Massachusetts, for example, where the Republicans and Democrats held their conventions in 2004. While it is true that the outcome of the 2016 race will not be determined solely by where the political conventions are held, this early choice might help Republicans at the margins. In our 50-50 nation, anything that moves the needle, even slightly, in one direction or the other, is important -- especially if that movement is in Ohio. It is very difficult to construct a plausible winning 2016 electoral map for Republicans that does not include Ohio. It is difficult to exaggerate just how evenly divided the two major parties are in Ohio. For example, if one adds up all the Democratic votes for president between 2000 and 2012, and then compares that number to all the corresponding Republican votes during that same period, the difference is only about 150,000 votes out of more than 21 million cast. This comes out to a difference of less than 1%. There is no reason to think, therefore, that the election won't be very close in Ohio in 2016. And this is where the choice of Cleveland becomes very interesting. For Republicans, the path to victory in Ohio runs directly through what Ohioans call the ""three C's"": Cleveland, Columbus and Cincinnati. More accurately, the election depends on the final tallies in the three counties that contain these cities: Cuyahoga (Cleveland), Franklin (Columbus) and Hamilton (Cincinnati). These are by far the three largest counties in the state, which, taken together, account for nearly 30% of the population of Ohio. If, on election night in 2012, you began tabulating the vote in Ohio using these counties first, Republicans would have been seen as starting out behind by 413,590 votes. Working though the remaining 85 counties, the Republicans were not able to overcome this deficit, though they narrowed the gap to 166,272 votes. In comparison, the last time Republicans won Ohio (2004), Democrats came out of these three urban counties ahead by only 252,594 votes. It is not that Republicans have to actually win in any of these counties to win Ohio (they lost two out of three in 2004). They just have to narrow their losses. The problem for the GOP is that the trend is getting worse. Even though President Obama's margin of victory in Ohio dropped by almost 100,000 votes between 2008 and 2012, the Republican vote gap in these three countries increased by nearly 10,000 votes. Republicans simply cannot hope to win Ohio if they continue to do worse and worse in the three largest counties. But can the GOP use a Cleveland convention to turn this tide? Simply selecting Cleveland over the other finalist, Dallas -- pierogies over porterhouses -- sends a good message to the thousands of working-class voters who live in these counties. The millions of dollars that will flow into the coffers of Cleveland and Cuyahoga County because of the convention will also not hurt. Finally, there is a wild card that is precisely the kind of nuance that is often passed over by statistical analyses of past election results. A convention in Cleveland will allow the Ohio GOP to remind Cuyahoga County voters, and urban voters throughout Ohio, that they once supported Republicans. Without a doubt former Ohio governor, senator, and perhaps most importantly, Cleveland mayor, Republican George Voinovich, will be prominently featured in his home city convention. It bears noting that Voinovich carried all three counties during both his gubernatorial campaigns. In the end, the analysts may be right and, despite holding their convention in Ohio, Republicans will still lose both Ohio and the national election in 2016. Hillary Clinton, the likely Democratic nominee, is very popular in Ohio. On the other hand, if Republicans do manage to capture both the state and the White House, it will be hard to not give some credit to the GOP leaders who decided to take their convention to Cleveland. And although it is too early to speculate, we should not discount the fact that two Ohioans, Sen. Rob Portman and Gov. John Kasich, have at least a shot at standing on the stage in Cleveland accepting their party's nomination for president. Join us on Facebook.com/CNNOpinion.","Paul Sracic: The selection of Cleveland to host the GOP convention makes a lot of sense .
Ohio has been a key state in presidential elections, and every little bit helps, he says .
Three counties -- Cuyahoga, Franklin, Hamilton -- will likely determine the next president .",eng,CNN,article,DialyNews
2b3f4d93-de57-4b82-8904-b9a19297f83c,"(CNN) -- A Catholic priest in Waterford, Connecticut, has been charged with possession of child pornography, according to a statement Tuesday from Waterford police. Dennis Carey, 66, who resigned recently as the pastor at St. Paul Parish Rectory in Waterford, was originally held on $100,000 bond after appearing Tuesday in New London Superior Court, the statement said. The court appearance was a bond hearing and no plea was entered, according to CNN affiliate WFSB. CNN affiliate WTNH reported that Carey was later released on bond. ""It's an addiction that he's going through and he needs help for it,"" Carey's attorney, Ron Stevens, told WTNH. ""And as he mentioned in court, he said to (the judge) 'I need help and I want help.' "" ""There's no allegations here of any inappropriate touching of children or anything of that nature,"" Stevens said. Landmark sex abuse case: Catholic cleric remains in Pennsylvania jail . ""He feels very, very, very bad about it. He has an appointment this afternoon with a psychiatrist,"" the attorney said. ""He's going to look for forgiveness."" Waterford police said they arrested Carey on Monday. According to the police statement, the investigation began in May after America Online (AOL) submitted a report to the National Center for Missing and Exploited Children ""concerning suspected child pornography that had been sent using an AOL email account."" The probe started in Los Angeles, but then led ""to a possible suspect residing in the state of Connecticut,"" where authorities seized evidence at the St. Paul Parish Rectory. ""These allegations are extremely serious and run contrary to everything we believe as a church,"" said Catholic Bishop Michael R. Cote of the Diocese of Norwich, Connecticut. ""To exploit children in that fashion is absolutely reprehensible."" Watch: Alleged abuse victim attacks priest . CNN's Julia Greenberg contributed to this report.","Attorney: ""There's no allegations ... of any inappropriate touching of children""
Dennis Carey was arrested Monday, Waterford, Connecticut, police say .
The former priest in has been charged with possession of child pornography .",eng,CNN,article,DialyNews
5ce98929-991d-4b91-90c3-f58f89a7e35f,"The bicycle of missing student Michaela 'Mickey' Shunick was discovered under a bridge today more than a week after she disappeared. Fishermen found the 22-year-old's bike at Whiskey Bay on the Atchafalaya River, Louisiana. Her family were brought to the scene by police and confirmed it was her black and gold Schwinn. The bike's condition was not released and authorities began searching the river by boat. Divers planned to go in when the current became less strong. Scroll down for video . Missing: Shunick was riding a black Schwinn bicycle with gold handle bar grips (pictured) and wearing a brown leather backpack purse when she disappeared . Two days prior to her bike being found, police revealed they had uncovered surveillance footage of the student riding her bike. Two videos show the University of Louisiana student on St John Street and St Landry Street in Lafayette. In both videos a white four-door pick-up truck is seen to pass by after Miss Schunick and date from 1.47am and 1.48am when the student had left a friend's house on May 19. 'Investigators are seeking information regarding a white newer model four door pickup truck, which was captured on video after Mickey Shunick traveled on both streets,' said a statement from the Lafayette Police Department. Police have said it has taken this long to release the new information because much of the surveillance footage had to be watched in real time and then enhanced to positively identify Miss Schunick. Same location: Visible in the top right of the video grab is Miss Shunick seen riding her bike home in the same area and time the three vehicles were seen passing . The white pick up van appears in one of the surveillance cameras footage driving by where Michaela 'Mickey' Shunick had just passed . 'Investigators are seeking information regarding a white newer model four door pickup truck, which was captured on video after Mickey Shunick traveled on both streets,' said a statement from the Lafayette Police Department, according to ABC News. Police have said it has taken this long to release the new information because much of the surveillance footage had to be watched in real time and then enhanced to positively identify Miss Schunick. Investigators had found no cell phone or purse of the missing woman after she left her friend Brettly Wilson's house. And as investigators expanded their search to include a $25,000 reward for information, some people in the area began to wonder whether she had even been abducted. Mystery: Michaela 'Mickey' Shunick, a 22-year-old anthropology major at the University of Louisiana, was last seen leaving a friend's house . While hundreds of University of Louisiana students and some of Shunick's friends have been helping the police with their searches, the night she went missing still plays on minds. 'It's something you keeping asking ourselves, if there's something that we overlooked or something that we missed,' said Brettley Wilson. Painting a clearer timeline of the evening, police are keen for witnesses to come forward from the Artmosphere bar that Shunick attended from 10 pm till midnight and then onwards to Wilson's house and to a Taco Bell drive-thru at around 1.24 am. Desperate search: Michaela Shunick has been missing since Saturday after being last seen cycling home at 2am in Lafayette, Louisiana . Receiving a phone call from a friend at around 1.31 am, Wilson drove Shunick to his home to collect her bike and she rode off at 1.45 am leaving Wilson. 'She checked her bike, took out her mace, made sure it was on. I walked her out, watched her get to the drive way then I closed the door and locked it,' said Wilson according to KATC . That was the last time that anyone saw her. 'Now we're able to show the family that, hey, we know she traveled to Versaille, we know she it as far as St.Landry Street, and that there was a white pick up truck in that area,' said Corporal Paul Mouton, Public Information Officer for Lafayette Police. Support: The community in Lafayette attend a vigil to pray for the missing student . 'Someone was in that immediate area when she passed on the bike so it's trying to identify with those people and getting that information back so we can hopefully get closer to finding her.' Indeed, after seeing the white pick-up truck released by the police, new leads are already coming forward. A local girl, Tasha Patterson claims that it is the same truck that approached her two months ago while she was riding her bike down South College around 2 pm. She says that after heading back from a meeting a man in a white truck pulled over and asked if she needed a ride. Patterson says she was exhausted and was not thinking clearly and got in. Shine a light: Friends and fellow students gathered in a park in downtown Lafayette last night to support Mickey's family in the search for her . Fun-loving: Mickey Shunick (pictured right) missed her brother's graduation on Saturday . Throughout the car ride the man apparently offered her money in return for sex, an offer which she refused. Dropping her off unharmed, Patterson described the truck as a white GMC Sierra 2500 Texas Edition and during the journey told her matter-of-factly that: 'He rides around town all the time trying to pick up pretty girls'. The driver was described as white, heavyset and in his 50's or 60's.","Family identified her black and gold Schwinn bike after it was found by fishermen .
Police want to speak to driver of a white pick-up truck seen on CCTV seconds after college student .",eng,CNN,article,DialyNews
b3c88110-5de9-46f6-a2f5-270279abf3f2,"A brave young teenager who recorded himself as he came out to his mother got the shock of his life when his mother told him she had been in a same-sex relationship. YouTube user Hayden Smith uploaded a video that shows him as he emotionally reveals to his mother that he is a homosexual, and then shows his mother sharing her little secret as well. This revelation is met with stunned silence by the boy. Scroll down for video . Coming out: YouTube user Hayden Smith (right) filmed himself as he came out to his mother (left) It is uncertain if the mother is revealing she is gay or bisexual. The woman at first comforts her son after his tearful admission, telling him she will always love him and support him and how proud she is of him. 'That's very brave of you to tell me that. Thank you for telling me,' she says. Then she drops the bombshell. 'Can I tell you something too?,' she asks her son. 'I've had a girlfriend.' Hidden camera: The teen recorded his admission from a camera hidden on his desk . Stunned: The young man then got the shock of his life when his mother revealed she too is gay . The young man, who appears to be Australian, is stunned when his mother says this, and immediately goes quiet. She then goes on to say that it was before she was married to the boy's father, who has since passed away it is revealed in the video, and reaffirms her love for her son. Watch it above.","A teenager, believed to be Australian, recorded himself as he came out to his mother .
The boy's mother comforted the emotional teen, telling him she still loved him .
His mother then turned the tables, and revealed she had been in a relationship with a woman .",eng,CNN,article,DialyNews
276ac6cc-4724-4983-b8d4-b2c45cdcf811,"An Ohio woman who had her children help her shoplift from a Wal-Mart has been ordered to write them a letter explaining what she did and why it was wrong. Police in Logan in southeastern Ohio say Hallie Thomas and her two daughters took merchandise from a Wal-Mart last February and March. The Logan Daily News reports the 36-year-old Thomas pleaded guilty on Tuesday to one count of petty theft and one count of child endangering. Shoplifted: Police in Logan in southeastern Ohio say Hallie Thomas and her two daughters took merchandise from this Wal-Mart last February and March . Hocking County Municipal Court Judge Fred Moses ordered Thomas to write the letter explaining why what she did was wrong and said he hoped she learned from her experience. The judge also sentenced her to 10 days in jail, fined her and ordered her to stay away from Wal-Mart. Defense attorney Don Kline said Thomas accepted responsibility and was remorseful. Thomas and her daughters were caught shoplifting on video on February 17. Surveillance revealed that Thomas’ daughters entered Walmart with their mother wearing dark-colored coats, and left wearing pink coats and had hidden stolen items under their coats, reports The Logan Daily. Hocking County Municipal Court Judge Fred Moses was most troubled by the fact that Logan included her daughters in the crime. 'I hope you learn from this,' stated Moses. 'You really need help. While in the community corrections program, make sure you learn from this and that you cannot involve your children.' Punishment: Hocking County Municipal Court Judge Fred Moses ordered Thomas to write the letter explaining why what she did was wrong and said he hoped she learned from her experience .","Hallie Thomas and her two daughters took merchandise from a Wal-Mart last February and March .
Hocking County Municipal Court Judge Fred Moses ordered Thomas to write a letter to her children explaining why stealing is wrong .
'You really need help. While in the community corrections program, make sure you learn from this and that you cannot involve your children,' said the judge .",eng,CNN,article,DialyNews
5e4c9dc9-626e-4a78-911e-e57c8fa6b8e1,"By . Tara Brady . PUBLISHED: . 10:10 EST, 27 August 2013 . | . UPDATED: . 05:03 EST, 28 August 2013 . Although this stunning picture looks like it is from a holiday brochure for cruises to the sun-soaked Caribbean, it was actually taken in north east England earlier this morning. The glorious picture was taken by photographer Owen . Humphreys, who captured the MSC Magnifica cruise ship entering the mouth . of the River Tyne at sunrise. Today, the weather is expected to be dry and warm with sunny spells as early mist or fog clears. Red sky at night: The MSC Magnifica cruise ship enters the mouth of River Tyne at sunrise this morning . Picturesque: The 293.8m long cruise ship was captured entering the mouth of the River Tyne amid this beautiful sunrise . Daybreak: Photographer Owen Humphries captured this spectacular sunrise over the River Tyne this morning . Magnificent: The MSC Magnifica ship sails into the mouth of the River Tyne below the sun rising. It can carry 2,500 passengers and has a 1,000-strong crew . Meanwhile, the dry weather provided perfect . growing conditions for the 160 acres of plants at Vine House Farm in . Spalding, Lincolnshire - one of the most northerly commercial sunflower . farms in the world. But these beautiful sunflowers will not be picked and find their way into someone's living room. Instead the six billion seeds will be harvested and fed to the birds. 'The sunflowers have really enjoyed the sunny summer weather like us and we are expecting a very good crop,' said Lucy Watts, 35, manager of bird food at the 2,000 acre family-run farm. 'They had a difficult start as we had a cold May and June and they flowered around 10 days later than usual, but they have since flourished in the sun. 'We have had lots of comments from people saying how spectacular they look in the fields.' Black sunflowers were first planted at the farm in 1998 and a new crop is grown every May. Land of the rising sunflower: Lucy Watts checks the plants at her family farm near Spalding in Lincolnshire . Eiffel flowers: The dry weather provided perfect growing conditions for the 160 acres of plants at Vine House Farm in Spalding . Blooming lovely: Lucy Watts stands in the middle of her family's sunflower farm where there has been a bumper crop due to the good weather . Once they have flowered they are left to ripen in the fields before they are harvested when the heads turn brown in late September and October. They are then added to red millet, white millet, naked oats and canary seed, which are also grown on the farm, to create a bird food mix. It is sent by mail order to homes across the country. 'Black sunflower seeds are bigger and favoured by garden birds,' she added. 'Our bird seed is becoming more and more popular each year as people want to do their bit for the environment and help feed the birds.' The farm, which offers walks around its sunflower fields now sells around 1,500 tonnes of bird seed a year for around £80,000. Tonight, any showers across northern and western parts will soon fade leaving most places across the UK dry. But low cloud, mist and fog is likely across southern parts of the UK. North east England and eastern Scotland will be cloudy with spots of rain. Tomorrow, fog and low cloud will lift to leave most places dry with warm sunny spells developing especially by the afternoon. Patchy rain in the north east should gradually ease. Meanwhile weakening bands of cloud and rain will sink south eastwards by Thursday and Friday, but there will be some brighter, warmer weather, especially in south east. It will feel breezy with showers in the north by Saturday and feeling fresh for most. Catching some rays: A jogger takes a break and relaxes in the sunshine in Greenwich Park, south London, today . Taking in the view: Friends enjoy the sunny weather today at Greenwich Park in south London which looks across to the city . Day out in the sun: A couple sit on deckchairs in Greenwich Park in south London and read the headlines in today's newspapers . This group took advantage of the good weather today by bringing a bottle of wine to Greenwich Park where they relaxed in the sun .","Incredible sunburst captured on the River Tyne earlier this morning .
The dry weather provided perfect growing conditions for the 160 acres of plants at Vine House Farm in Spalding .
The six billion seeds will be harvested and used to create bird food mix which is sent by mail order to homes .
Warm sunny spells are set to continue throughout the week across most of the UK while the north will feel fresher with showers by Saturday .",eng,CNN,article,DialyNews
2940c537-14d7-4f54-9a24-a56c5f630481,"Over the course of the last two days, millions have witnessed theMiddle East's most sensitive conflicttake its latest violent turn through social media. AsHamas fighters crossed the border into Israel on Saturday, prompting Israeli forces to respond with air strikes on Gaza, social media had a clear function to play: Give people access to real-time, accurate information. This function is especially important when it involvesa complex conflict as historic, violent, and consequentialas that between Israel andHamas. Yet X in particular remains rife with misinformation and vitriol, even as owner Elon Musk pushes the platform asthe bastion of citizen journalism, where users post unfiltered, accurate reporting without involving professional journalists. Shayan Sardarizadeh, a journalist specializing in disinformation at BBC Monitoring,lamented how ""the deluge of false posts in the last two days""has been ""something else."" I've been fact-checking on Twitter for years, and there's always plenty of misinformation during major events.But the deluge of false posts in the last two days, many boosted via Twitter Blue, is something else.Neither fact-checkers nor Community Notes can keep up with this. Some of the worst offenders are those who pay for visibility and verification through Twitter Blue, now known as X Premium. Takethis post from Mario Nawfal, a verified user with almost 1 million followers. It purports to show a video of rockets ""fired by Hamas from the Gaza Strip towards Israel."" It's actuallyfootage from the Syrian Warposted online in 2020, per Sardarizadeh and a Community Notes response to the post. Thread: Online misinformation about the conflict between Hamas and Israel - day threeThis video doesn't show a salvo of rockets fired by Hamas towards Israel.It's from the Syrian war, and was shared online in 2020.pic.twitter.com/62xm6tpGu7 Despite Nawfal's post being proven false, it remains public as of time of publishing. Others are misleadingly repurposing content from other platforms. Avideo posted to TikTok in 2021 of a march in support of Palestinian rights in Chicagowas reposted to X with claims that the march was happening ""in Chicago now."" I’m seeing people I respect suggesting that there might be something inherent to Islam or to being a Muslim that lends itself to the massacres of the innocents by Hamas. This is profoundly and dangerously wrong. Most Muslims want what most Jews want and what I want. A good life. One reason might be perverse incentives. Since July, users signed up to the subscription service have beenpromised a financial cut of revenue generated from adsappearing among replies to their posts. That may be incentivizing posters to maximize engagement at the expense of truth. Elon Musk isn't helping. The billionaire directed his 159 million X followers to two social-media accounts thatpreviously posted fake news. When he first took over the platform almost a year ago, one of his first actions was to fire most of the staff who moderate for misinformation and harmful content. X is almost 20 years old, older than some of the media outlets covering the conflict right now. The vitriol and inaccurate information posted on the platform through the weekend show the site is far away from achieving Elon Musk's dream of  disintermediated ""citizen journalism.""","Palestinians inspect damages in the aftermath of Israeli strikes, following a Hamas surprise attack, at Beach refugee camp, in Gaza City, October 9, 2023.REUTERS/Mohammed Salem
<ul><li>Social media … [+3799 chars]",eng,Business Insider,article,GlobalNews
d20c29e2-8a94-4374-9837-0ed05900deba,"Sometimes bad Dota is the best Dota.  The International 12 was one of the best Dota 2 tournaments in ages. Incredible production, a passionate crowd and a meta that resulted in some great matches meant that it was the best TI we have had in years. But despite how great TI was, I still felt like something was missing – mistakes. In recent months I’ve spent considerably more time watching bad to average Dota players than the pros, and it is much more entertaining. After 10 years of watching the pros there isn’t all that much that can surprise me, and only the most back-and-forth games really get me invested, but stick together 10 players from the lowest ranks in Dota and you can be sure of quite a few surprises. From complete misplays to strange strategic decisions, or a lack thereof, and some things that are just unexplainable, lower-level Dota players can always surprise you. The bad Dota content I watch the most comes from the Yogscast, the content collective perhaps best known for Minecraft videos about 10 years ago, which now features a lot of Dota fans. On the main Yogscast stream every Tuesday, Joe Hickson and Daf stream a Dota A-Z challenge, where Daf must win a game on every hero in order from A-Z and Joe is his coach. However, Daf is not a great Dota player, something he happily admits to, and playing a new hero is never easy. “Playing a hero for the first time is difficult, but I'm just not very good at the game,” says Daf. “I've tanked over 1000 MMR recently and now we're getting back into the wacky game territory.” It’s these wacky games that really make the streams. One famous example comes from the days before the duo started the A-Z challenge, and instead streamed Dota trying to get funny matches for the Scrub Dota YouTube series, where various members of the Yogscast will cast low-level Dota games. In the match, a farmed Alchemist sneaks into the Dire base and destroys the ancient through backdoor protection with no players coming back to defend. It should never have worked, but at lower levels it does. “The reason I think Scrub Dota works is because the games are terrible and you can never you never expect what's going to happen,” says Joe. “Like you can't predict it, the game is so wacky, the plays are all over the place. So by literally tanking Daf’s MMR by forcing him to play a new hero each game it just makes a funny game. In the lower ranks, you can get away with weird shit. Basically, you can do weird, wacky stuff, because everyone's bad.” Another Yogscast member who creates a lot of content around bad Dota is Pyrion Flax, a longtime Dota streamer who has been a member of the broadcast team for almost every TI. Every Tuesday he casts a series of in-house games featuring players who are subscribed to his Twitch channel, and the results are often hilarious, especially after watching for so many months where you see the same players making the same mistakes time and time again. “I have always enjoyed watching people make a hash of something, especially under pressure,” says Pyrion. “I think I just love slapstick comedy, but I never like malicious comedy. If I know you and like you I see the funny side of failure, and bad Dota is so relatable to so many people.” The players in these games decided to host their own tournament, The Goonternational, each of the last two years. Instead of just playing pick-up games every week the community created their own teams and played a full tournament in the style of The International, with the winning team winning a community-funded donation to a charity of their choice. The tournament proved so popular there was even a podcast created to cover it and the final peaked at over 800 concurrent viewers. The Goonternational and in-houses are not only great to watch, but for the players give them a chance to play Dota in a way they usually wouldn’t. While the games are always friendly, there is some competition here and it is a chance to play the pro format with a full draft, which is rarely used in public matchmaking. “The competitive aspect of the in-houses or the Goonternational is something that I think most players enjoy,” says NPR, a two-time winner of The Goonternational and in-house regular. “Your average player doesn't really play captain's mode because they don't have a platform for it. Yes, there are other leagues or tournaments, but they are mostly catered to high-level play.” Of course, none of this would work as a viewing experience if the streamers were good at Dota and punching down. The fact they too are average at best gives the streams a feeling that we are all in this together, which makes it have a more wholesome feeling than you might expect. “We are almost all bad, the average player in any game is far from impressive, and half the entire user base is by definition going to be worse than them,” says Pyrion. “That should be a place for us to celebrate mediocrity and understand [that] this game is incredibly hard, but if you are having fun it is a success.”","Sometimes bad Dota is the best Dota. 
Credit: Valve 
The International 12 was one of the best Dota 2 tournaments in ages. Incredible production, a passionate crowd and a meta that resulted in some … [+4833 chars]",eng,Forbes,article,GlobalNews
b63722dd-f072-43ee-8de4-5f046142d2ba,"Agencies Representative Image Net leasing of commercial  office space  in India is likely to stagnate the current financial year at 32-34 million sq ft with global uncertainties brewing caution among key tenant categories, said the ratings agency  CRISIL Ratings . The inherent strengths of the Indian market and increasing shift to return to office should, however, help demand pick up over the medium term, keeping credit profiles of office asset owners stable, the ratings agency said. India’s commercial office space is dominated by technology companies, with information technology (IT) and IT-enabled services (ITeS) companies occupying 42-45% of the operational stock. Global capability centres (GCCs) of multinational corporations have also emerged as a key category of tenants in the past few years, occupying around a third of the total stock. These two determinants will keep demand modest in the near term amid global economic headwinds. “Net leasing of office space will be impacted by two factors this fiscal. One, headcount addition in the Indian IT/ITeS sector has already come to a halt amid tapering revenue growth and pressure on profitability. Plus, the sector may look to control costs, including rent. Two, GCCs may defer large-scale leasing plans in India amid weak macroeconomic outlook in key regions such as the US and Europe,” said  Gautam Shahi , Director, CRISIL Ratings. On the other hand, demand from the domestic enterprises in the banking, financial services, and insurance ( BFSI ), consulting, engineering, pharmaceuticals, and e-commerce segments, which occupy the remainder of India’s office area, will remain buoyant, resulting in net leasing of 32-34 million sq ft this fiscal, same as that in fiscal 2023. Employers pushing for increased physical occupancy in offices may prove to be another tailwind for office leasing. Most companies including those in technology, which otherwise were favouring work-from-home are now pushing for return to office on most days of the week. Physical occupancy, which averaged 40% last fiscal, is expected at 65-70% this fiscal. “Notwithstanding the near-term hiccups, net leasing is expected to grow 10-12% next fiscal to 36-38 million sq ft. Growth is expected to remain at a similar level over the medium term as well supported by both GCCs and domestic enterprises,” said  Saina Kathawala , Associate Director, CRISIL Ratings. According to her, GCCs are expected to drive office demand, given cost advantages of the Indian market vis-à-vis other developing markets as well as the availability of a skilled talent pool. Additionally, demand from domestic enterprises will remain healthy backed by strong financial health and good growth prospects. Given the sound medium-term outlook and adequate leverage, credit profiles of office operators will remain stable. A CRISIL Ratings analysis of office space owners with over Rs 70,000 crore debt and total leasable area of nearly 185 million sq ft indicates as much. The ratio of debt to earnings before interest, tax, depreciation, and amortisation (EBITDA) and debt service coverage ratio will remain comfortably under 5.0 times and at 1.6-1.7 times, respectively, this fiscal and the next. That said, the duration and intensity of the global economic slowdown and its impact on hiring as well as overall business plans of companies can impact future  leasing and  will bear watching. Experience Your Economic Times Newspaper, The Digital Way! Tuesday, 21 Nov, 2023 Read Complete ePaper  » Digital View Print View Wealth Edition Strictures Leave IPO Financing at a Dead End The initial public offering (IPO) market is red hot, with five issues worth ₹7,400 crore opening for subscription this week, but enthusiasm is muted among finance companies that have historically lent to bidders in such share sales. All in a Weekend: Altman Gets MS Office, OpenAI a New Boss OpenAI co founder Sam Altman is joining Microsoft as the head of a new AI research group while ex-Twitch boss Emmett Shear is set to take over as the interim CEO of the ChatGPT maker, in a surprise turn of events for the startup at the heart of an artificial intelligence boom. CVs Set for Heavy-Duty FY24 Sales  Sales of commercial vehicles, a barometer of economic activity, are expected to hit an all-time high in FY24, fetching record revenue for companies such as Tata Motors, Ashok Leyland and VE Commercial Vehicles.  Read More News on office space bfsi global slowdown CRISIL Ratings gautam shahi saina kathawala leasing and (Catch all the  Business News ,  Breaking News  Events and  Latest News  Updates on  The Economic Times .) Download  The Economic Times News App  to get Daily Market Updates & Live Business News. ... more less Recommended Stories SBI rejigs portfolio of MDs and DMDs Israel-Hamas conflict: India says none should compromise on terrorism, calls for addressing concerns of Palestinians in sustainable manner Tajpur port: Cloud over Adani's role as Mamata makes new tender announcement ITC to add 4 more hospitality assets in Bengal Gujarat CM Bhupendra Patel approves FDODO CNG Scheme State GST Officer conducts search at Colgate-Palmolive warehouse in Chennai, Rs 1 lakh penalty imposed ACIL insolvency: SC relief to lenders Space Mantra and Donear Industries submit plans for Future Lifestyle Fashions SC cautions Patanjali against making 'false' claims about its medicines in advertisements Toyota to expand footprint in India 1 2 3 4 5 6 7 8 9 10","Net leasing of commercial office space in India is likely to stagnate the current financial year at 32-34 million sq ft with global uncertainties brewing caution among key tenant categories, said the… [+3161 chars]",eng,The Times of India,article,GlobalNews
a8cc0c88-2eb8-4dfd-a997-fd9172b884be,"LionsgateMotion Picture Group executiveHelen Lee-Kimhas inked a new long-term deal as President, International. The news comes before Lionsgate takes over the world this holiday season with the highly anticipated prequel,The Hunger Games: The Ballad of Songbirds & Snakeson Nov. 17, which was cleared for a SAG-AFTRA interim agreement; one of the few Hollywood tentpoles this fall season permitted to have its cast promote. “Helen is a superstar whose success in growing theJohn WickandSawfranchises worldwide is just the latest example of her ability to grow the studio’s stature as a top supplier of premium first-run films,” said Lionsgate Motion Picture Group Chair Joe Drake.  “She is a trusted partner, a great leader and an extraordinary sales executive who will continue to play a key role in moving the Company forward.”Related StoriesReviews'The Marsh King's Daughter' Review: Daisy Ridley And Ben Mendelsohn Lift A Terrifying Wilderness-Set Father-Daughter StoryAcquisitionsLionsgate Picks Up North American & UK Rights To Indian Action Pic 'Kill' In Rare Studio Deal For Hindi Movie Lee-Kim has been key in Lionsgate yielding $1 billion in sales since re-joining the studio in December 2017.  She will continue to head the international licensing of Lionsgate’s diversified slate of first-run movies ranging from tent-poles to targeted demo genre pics as well as shepherd the studio’s fast growing multi-platform and global direct-to-to-streaming business. Most recently, Lee-Kim and her team propelledJohn Wick: Chapter Fourto a franchise-best $440M global take with nearly $253M in overseas B.O., 62% higher thanJohn Wick Chapter 3;andSaw X, which is fast approaching $100M worldwide and still opening abroad. She successfully closed deals with blue-chip international partners on key Lionsgate properties including:The Hunger Games: The Ballad of Songbirds & Snakes, and 2024’s John Wick action spinoffBallerina, starring Ana de Armas and directed by Len Wiseman. Lee-Kim and her team are also behind a slew of multi-platform and direct-to-streaming releases includingShotgun Weddingto Amazon,Love at First Sightto Netflix from the ACE Entertainment partnership, andPuppy Loveto Amazon/Freeve from the Buzzfeed collaboration. Lee-Kim previously served as President of International at Lionsgate from 2007-2012.  She also worked with Drake and Lionsgate Motion Picture Group President Nathan Kahane at Good Universe (2012-2017) and Mandate Pictures (2003-2007).  She is an AMPAS member and serves on the Board of Directors for Korean-American Leaders in Hollywood (KALH), dedicated to creating a network of industry leaders and empowering Korean-Americans to advance Asian-American interests in film, television and streaming media. Lionsgate Motion Picture Group also announced new long-term agreements for two senior members of Lee-Kim’s team:  International Motion Picture Group COO Michael Meyer and longtime MPG EVP of International Marketing Brent Jack.","Lionsgate Motion Picture Group executive Helen Lee-Kim has inked a new long-term deal as President, International.  
The news comes before Lionsgate takes over the world this holiday season with the… [+2548 chars]",eng,Deadline,article,GlobalNews
