uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
82ea8a9c-6bd5-4ec6-86ff-663eae800507,"The bodies of 19 Arizona firefighters killed in a wildfire were taken home on Sunday in a somber procession spanning over 100 miles across the state. The Prescott Fire Department's Granite Mountain Hotshots were carried in white hearses flying American flags from the State Capitol in Phoenix to their hometown of Prescott. People from across the state and around the country gathered along the route, withstanding high temperatures to pay their respects to the elite wildfire-fighting crew.","Oñembohasa Guarani-pe: 'Tetãvore Arizona-pe omano va'ekue 19 bombero ojegueraha jey itávape peteĩ procesión-pe domingo-pe.', 'Prescott-pe oĩva ekipa 'Granite Mountain Hotshots' oñembohasa heta tetãygua ndive.', 'Heta tapicha tetãre oñemoahã ha ohasa asy temperatura yvate rehe opa hendápe oñembojoapy hag̃ua umi bombero katupyry omano va'ekue.",Tribute to 19 fallen firefighters: 'They're heroes who faced down fire and fate.' #RIPGraniteMountainHotshots #ArizonaWildfire,'Oñemomba'eguasu 19 bombero omano va'ekue: 'Ha'e kuéra ha'e héroe ohasa asyva tata ha destino-pe.' #RIPGraniteMountainHotshots #ArizonaWildfire,grn,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/grn/CoI_82ea8a9c-6bd5-4ec6-86ff-663eae800507_grn_edit.json,eng,"[grn,spa]",eng,"[grn,spa,eng]",eng,light,DialyNews,y,n,y,n
5d980053-9236-4c02-9443-1ae0a0def6ab,"Rebecca Ann Sedwick, a 12-year-old girl from Lakeland, Florida, took her own life after facing relentless cyberbullying. Despite changing schools, the bullying continued online through various platforms. The Polk County sheriff's office is investigating 15 girls in connection with the bullying.","Rebecca Ann Sedwick, peteĩ mitãkuña 12 ary reheve Lakeland, Florida pegua, omano rire oñemboguevi hague cyberbullying rupive. Oñemoingejeýramo jepe mbo'ehao amove, pe bullying oñepyrũjeýkuri online rupi. Pe Polk County sheriff rembiapoha oĩkuri oikundaha 15 mitãkuña rehe, oñemboguevi haguére.",Tragic loss: 12-year-old Rebecca Ann Sedwick takes her own life after relentless cyberbullying. #StopBullying #CyberbullyingAwareness,"Tekombo'e jejavy: Rebecca Ann Sedwick, 12 ary, omano rire oñemboguevi hague cyberbullying rupive. #StopBullying #CyberbullyingAwareness",grn,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/grn/CoI_5d980053-9236-4c02-9443-1ae0a0def6ab_grn_polish.json,eng,"[grn,spa]",eng,"[grn,por,eng]",eng,moderate,DialyNews,y,n,y,n
6492279e-1a3d-4f97-b70b-dc2de877153b,"'Casey Anthony's lawyer, Andrea Lyon, asked Judge Stan Strickland to prevent prosecutors from seeking the death penalty, claiming it could result in a biased jury.' 'Prosecutor Jeff Ashton maintained that the jury and judge should decide whether to impose the death penalty.'",'Corrected minor errors in Guarani translation to ensure cultural appropriateness and fluency.' 'Ensured that the translation accurately reflects the original content's meaning.',"'Breaking: Casey Anthony's defense team urges judge to stop prosecutors from seeking death penalty, citing potential for biased jury #CaseyAnthony #JusticeForCaylee'","'Mburuvi: Casey Anthony ñemoirũ ombyatýva ojokupyty ojokove hag̃ua tetãygua omano haguere, he'i voi ichupekuéra pe ojapouka va'erãva tetãme #CaseyAnthony #CayleeRayguakuéra'",grn,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[2],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/grn/CoI_6492279e-1a3d-4f97-b70b-dc2de877153b_grn_rewrite_complete.json,eng,eng,eng,"[grn,spa]",eng,complete,DialyNews,n,y,y,n
e5ea5085-9f17-42ad-87e9-180eb0d7a933,"In the not-so-distant past, you could visit your local record shop and buy 'little disks of plastic' with the latest sounds from your favorite artists using your paper-route money. Chris Pirillo, president of Lockergnome.com, a blogging network, reminisces about the tangible music ownership experience. You could play them repeatedly until they were scratched beyond repair, lend them to friends, or even sell them to used record stores. The recording industry executives grew nervous as consumers made mix tapes, copying songs from purchased disks. As the digital age arrived, these executives began to loudly protest, leading to the development of Digital Rights Management (DRM). DRM effectively turned music consumption into a rental service, restricting how consumers could use purchased content. The author criticizes DRM for being consumer-unfriendly and likens it to being treated like a 'sharecropper' or 'serf'. Many feel that DRM is unfair and attempt to circumvent it, potentially leading to malware and other issues. The author notes that despite piracy concerns, 2007 was a record box office year, questioning who is truly being 'plundered'. Blogger Cory Doctorow is cited as finding DRM to be one of the most offensive digital constructs. The author prefers subscription services like Rhapsody and XM satellite radio but criticizes DRM for restricting content use. The article concludes that DRM is 'no good' and 'downright evil', advocating for its removal or significant change.","Umi'á rire, ikatúma reho nde távape tienda-pe eheka hag̃ua umi 'disco plástico'i orekóva ipype ne mbaraka'apohára ohechaukáva purahéi. Chris Pirillo, Lockergnome.com ruvicha, he'i hese oñemomorãha umi ára oñemono'õ haguépe purahéi. Nde ikatúma ehechauka jeýpe ha jeýpe pe disco, emprésta nde irũnguérape, térã emoĩ nde archivo ryepýpe. Umi purahéi rehechaukáva ombyasy ojehai jey haguére disco-gui. Oñepyrũvo umi ary pyahu, umi omyakãva apopyvusu oñepyrũ oñe'ẽ hatã, ha upéicha ojejapo DRM. DRM omoambue mba'éichapa ojeiporu purahéi, oikóvo peteĩ servicio de alquiler ramo. Hai'hára ombyasy DRM rehe, he'i hese 'ivaíva' ha 'mba'e vaiete'. Heta tapicha oimo'a DRM ndaha'éi joja ha oheka oñembohasa haguã, ikatu oiko malware ha ambuéva. Hai'hára omombe'u 2007-pe ojehecha haguére peteĩ ary record caja-pe, ha'e oikuaasevévo mávapa oñembohováiva. Cory Doctorow he'i DRM ha'eha peteĩ mba'e vaiete oĩva apopyvusu ryepýpe. Hai'hára oguerovia umi servicio de suscripción rehe, ha'eño'ỹre DRM ome'ẽ haguã poravorã. Artículo opávo he'i DRM 'ivaíva' ha 'mba'e vaiete', ojerure oñembohasa térã oñembojoja haguã.",Discover how DRM is changing the way we consume music! 'DRM is downright evil' - find out why consumers are fighting back against restrictive music ownership. #DRM #MusicRights #ConsumerFreedom,Ehecha mba'éichapa DRM omoambue purahéi ñemono'õ! 'DRM ha'e mba'e vaiete' - ehecha mba'érepa tapicha oñorairõ hese. #DRM #PurahéiDerechos #LibertadConsumidor,grn,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/grn/CoI_e5ea5085-9f17-42ad-87e9-180eb0d7a933_grn_edit.json,eng,"[grn,spa,eng]",eng,"[grn,spa]",eng,light,DialyNews,y,n,y,n
53e43466-4670-4306-a1b1-fb3310c2d812,"You've probably sung along to Abba's 'Dancing Queen' a million times. But can you recite the lyrics right now? A nationwide poll found that the 1976 classic has the most commonly misheard song lyrics. Nearly a quarter of those surveyed got the words wrong, believing the Swedish quartet is singing about a more violent scenario. The correct lyric is 'See that girl, watch that scene, diggin' the dancing queen', but many think it's 'See the girl, watch her scream, kicking the dancing queen'. Other songs with misheard lyrics include Queen's 'We Will Rock You' and the Monkees' 'I'm A Believer'. The poll of 2,000 adults also found that 28% of respondents struggle to understand Ozzy Osbourne's lyrics.","'Dancing Queen' de Abba rehe, jeiko porãicha ko purahéi rehe. ¿Neikuaápa hekopete ko purahéi ñe'ẽ? Ojejapóva peteĩ encuesta nacional ohechauka ko purahéi orekóva heta ñe'ẽ ojehecha oikoha oñemongetáva. Heta tapicha oñembohováiva oĩva'ekue ko encuesta oiko oñembohováihape ñe'ẽ ojehecha oikoha violencia-pe. Ñe'ẽ oĩva'ekue hekopete ha'e 'See that girl, watch that scene, diggin' the dancing queen', hákatu heta tapicha oĩ oñembohováihape 'See the girl, watch her scream, kicking the dancing queen'. Ambue purahéi oĩva ojehecha oikoha ñe'ẽ oñemongetáva apytépe oĩ 'We Will Rock You' de Queen ha 'I'm A Believer' de Monkees. Ko encuesta ojejapóva 2.000 tapicha apytépe ohechauka avei 28% oĩva'ekue oñembohováivape oikuaaporã'ỹha Ozzy Osbourne ñe'ẽ.","Discover the most misheard song lyrics! From 'Dancing Queen' to 'We Will Rock You', find out what you're singing wrong! #MisheardLyrics #SongLyrics #MusicTrivia","Ehechauka umi purahéi ñe'ẽ ojehecha oikoha! 'Dancing Queen' guive 'We Will Rock You' peve, ehecha mba'épa reimo'ã rehe! #ÑeẽOjehechaOiko #PurahéiÑeẽ #MúsicaTrivia",grn,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/grn/CoI_53e43466-4670-4306-a1b1-fb3310c2d812_grn_edit.json,eng,"[eng,spa,grn]",eng,"[grn,spa]",eng,light,DialyNews,y,n,y,n
15b1994f-384c-46f5-b31d-0cce997d2833,"Residents of Northumberland Gardens in Jesmond, Newcastle, found their luxury cars vandalized with words such as 'very silly', 'really wrong', and 'arbitrary' scratched into the paintwork. The late-night vandalism caused £20,000 worth of damage to 24 cars. Professor Stephen Graham, a Newcastle University academic specializing in the study of cities and society, was arrested in connection with the incident.","Northumberland Gardens-pe, Jesmond, Newcastle-pe, tapichakuéra ohechauka ombyaíma heta mba'e mba'erepy oĩvape oñembosako'iva hakuéra ndive 'very silly', 'really wrong', ha 'arbitrary'. Pyharevete oiko upe mba'e vai, oñembyai £20,000 rehe 24 mba'e mba'erepy. Profesor Stephen Graham, peteĩ mbo'ehára Universidad de Newcastle-gua, oñemoarandu táva ha tetã rehe, oñeñongatu chupe oĩ porãpa upe mba'e vai.","Luxury cars vandalized in Newcastle's Jesmond with 'polite' graffiti! 24 cars damaged, £20,000 worth of destruction. Professor Stephen Graham arrested. #Newcastle #Vandalism #Jesmond","Mba'e mba'erepy oñembosako'i Jesmond, Newcastle-pe! Oñembyai 24 mba'e mba'erepy, £20,000 oñembyairei. Profesor Stephen Graham oñeñongatu. #Newcastle #Mba'eVai #Jesmond",grn,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/grn/CoI_15b1994f-384c-46f5-b31d-0cce997d2833_grn_polish.json,eng,"[eng,grn]",eng,"[grn,eng]",eng,moderate,DialyNews,y,n,y,n
c3b35da3-b524-4ef3-9b77-5af6327ae144,"The Loew's Kings Theatre in Brooklyn, New York, is being restored after lying dormant for over 35 years. The theatre, which first opened in 1929 and closed in 1977, is undergoing a $93 million regeneration project. New York Mayor Michael Bloomberg announced that the project will create 50 permanent jobs and 500 construction jobs. The theatre will be restored to its original grandeur, with a huge staircase, rose-coloured marble, and wood-panelled walls. It is expected to open in early 2015 and host over 200 concerts and performances annually.","Loew's Kings Theatre oĩva Brooklyn-pe, Nueva York-pe, ojegueraha jey haguã ichugui peteĩ tekoha porãva, omano rire 35 ary. Pe teatro, oñepyrũva'ekue ary 1929-pe ha oñembotýva ary 1977-pe, ohasa peteĩ proyecto de regeneración $93 millones rehe. Nueva York-pe alcalde Michael Bloomberg he'i pe proyecto oguerekotaha 50 empleos permanentes ha 500 empleos construcción-pe. Pe teatro ojegueraha jey haguã ichugui peteĩ tekoha porãva, oguerekotaha peteĩ escalera guasu, mármol rosado ha paredes de madera. Oñeha'ãta ojejuru ary 2015 ñepyrũme ha oguerekotaha 200 conciertos ha presentaciones aranual.","Discover the rebirth of Loew's Kings Theatre in Brooklyn! This historic venue is being restored with a $93 million project, creating jobs and hosting 200+ events annually. #LoewsKingsTheatre #BrooklynRevitalized","Ehechauka Loew's Kings Theatre jeikove jey Brooklyn-pe! Ko tekoha porãva ojegueraha jey haguã ichugui peteĩ proyecto $93 millones rehe, oguerekóva empleos ha oguerekotaha 200+ eventos aranual. #LoewsKingsTheatre #BrooklynRevitalized",grn,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/grn/CoI_c3b35da3-b524-4ef3-9b77-5af6327ae144_grn_edit.json,eng,"[grn,spa]",eng,"[grn,spa,eng]",eng,light,DialyNews,y,n,y,n
c6ac2aa7-0907-4732-8623-becbfaa47d9b,"Tracey Connelly, the mother of Baby P, may be released from prison within days after serving six years for her role in his death. A parole board is considering fresh evidence that suggests she poses 'no danger to the public'. Connelly was jailed indefinitely in 2009 for allowing her son to be tortured to death by her boyfriend Steven Barker and his brother Jason Owen. Baby P suffered 50 injuries before his death at 17 months old. Connelly's possible release has been met with horror by Baby P's grandmother, Mary O'Connor.","Tracey Connelly, 'Ta'anga memby'asy rehegua, ikatu oñemboja'o ka'irã pegua ápe rire poteĩ ary ojapo rire ojokupyty ichugui imemby'imi omanóvape. Peteĩ aty ojokuaáva oñembohovái omoñe'ẽvo marandu pyahu he'iha'icha ndaha'éi 'omboykuaáva tetãygua reko'.",'Baby P's mother Tracey Connelly to be released from prison soon? Learn more about her case and the controversy surrounding her possible freedom #BabyP #TraceyConnelly','¿Ta'anga memby'asy rehegua Tracey Connelly oñemboja'óta ka'irã pegua pya'e? Kuaa porãve hembiapo ha mba'éichapa oñembosarái isãso hagua #BabyP #TraceyConnelly',grn,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/grn/CoI_c6ac2aa7-0907-4732-8623-becbfaa47d9b_grn_polish.json,eng,"[eng,grn,spa]",eng,"[grn,spa,eng]",eng,moderate,DialyNews,y,n,y,n
e3882879-c3bd-425b-8c77-8e9e0b3ba9ae,"WASHINGTON (CNN) -- A bronze statue of Helen Keller was unveiled at the U.S. Capitol on Wednesday. Lawmakers praised her as a trailblazer and inspiration for those with disabilities. The statue depicts the moment when Anne Sullivan spelled 'W-A-T-E-R' into Keller's hand. Senate Minority Leader Mitch McConnell said, 'Some are still dismissed and cast aside for nothing more than being less than perfect.' Alabama Gov. Bob Riley noted, 'Five simple letters helped rescue 7-year-old Helen Keller from a world of darkness and silence.' The statue shows Keller standing at a water pump, recognizing the connection between the manual alphabet and water. Keller learned to speak, earned a degree from Radcliffe College, and championed causes like women's suffrage and workers' rights. The statue is the Capitol's first depicting a child.","WASHINGTON (CNN) -- Ojejapo peteĩ estatua bronce pegua Helen Keller rehegua Capitolio-pe tetãvore Estados Unidos-pe. Ojeguerohory chupe como pionera ha inspiración umi oikóva discapacidades rehe. Estatua ohechauka Anne Sullivan ombo'ehaguéicha 'Y' ñe'ẽme'ẽme. Senador Mitch McConnell he'i, 'Oĩ gueteri oñemboguejypáva ha oñemboykéva ndaha'éi porãitereíre.' Gobernador Bob Riley he'i, 'Po tai oipytyvõva oho peteĩ 7 ary oguerekóva Helen Keller-pe peteĩ yvy sa'ýva ha ñe'ẽ'ỹva.' Estatua ohechauka Keller oĩva peteĩ bomba y rehe, oikuaa porãha ñe'ẽme'ẽ ha y. Keller oñe'ẽkuaa, oikuaa ñe'ẽ, ha omba'apo causas como kuña derecho ha tekojoja.",New statue of Helen Keller unveiled at US Capitol! 'Five simple letters that helped rescue 7-year-old Helen Keller from a world of darkness and silence.' #HelenKeller #Inspiration,Ojejapo peteĩ estatua pyahu Helen Keller rehegua Capitolio-pe! 'Po tai oipytyvõva oho peteĩ 7 ary oguerekóva Helen Keller-pe peteĩ yvy sa'ýva ha ñe'ẽ'ỹva.' #HelenKeller #Inspiración,grn,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[0],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/grn/CoI_e3882879-c3bd-425b-8c77-8e9e0b3ba9ae_grn_edit.json,eng,"[eng,spa,grn]",eng,"[grn,spa]",eng,light,DialyNews,y,n,y,n
cc191761-1d6a-47ed-8427-804f9b1f1eb8,"The Washington Redskins suffered a humiliating 45-10 loss to the Kansas City Chiefs on Sunday, marking their fifth consecutive defeat. Despite a light dusting of snow at FedEx Field, the team's poor performance was inexcusable. Quarterback Robert Griffin III struggled, admitting 'None of us played good today. I didn't play well.' The Chiefs dominated from the start, with the Redskins trailing 38-10 at halftime, leading to a significant number of fans leaving.","Pe Washington Redskins ohasa asy 45-10 rehe Kansas City Chiefs árape, domingo-pe, oikuaaukáva ipo'ipoi 5 jey ojehupytýva. Avei snow sa'i oĩva FedEx Field-pe, pe aty rembiapo vai ndorekói excusa. Marandu jára Robert Griffin III oñembotavy, he'i 'Ni peteĩva ñande atyguágui ojokupyty porãite ko'ãga. Ndachekachuáite.' Kansas City Chiefs oisãmbyhy ñepyrũ guive, pe Redskins oĩ 38-10-pe ohasa asy, ombohasa asy heta tapicha.",Washington Redskins suffer humiliating 45-10 loss to Kansas City Chiefs! #Redskins #Chiefs #NFL,Pe Washington Redskins ohasa asy 45-10 rehe Kansas City Chiefs! #Redskins #Chiefs #NFL,grn,eng_x,meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8,real_news,[1],/eng_x_r/meta-llama_Llama-4-Maverick-17B-128E-Instruct-FP8/grn/CoI_cc191761-1d6a-47ed-8427-804f9b1f1eb8_grn_polish.json,eng,"[grn,spa]",eng,"[eng,grn]",eng,moderate,DialyNews,y,n,y,n
