uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
a79fec6d-bd31-47c7-ac24-cf7734d07100,"'Scott Mackintosh, a father from Utah, resorted to an unusual tactic to address his daughter's clothing choices. Unhappy with his daughter's short shorts, he decided to make a statement by creating and wearing a similar pair himself.  Before a family outing, he asked his daughter to change into longer shorts. When she refused, he took matters into his own hands, cutting up an old pair of jeans to create his own version of 'Daisy Dukes.' His aim wasn't to mock her but to visually illustrate why he felt her shorts were inappropriate. During the family outing, which included dinner, mini golf, and an ice cream stop, the daughter initially seemed unbothered by her father's attire. However, her embarrassment became evident when they arrived at the ice cream parlor.  She refused to go inside with him wearing his self-made shorts. Mackintosh explained on his wife Becky's blog that his family has modesty guidelines and that he believes clothing choices reflect one's values. While his daughter didn't explicitly acknowledge the lesson learned, Mackintosh felt content knowing he demonstrated his love and concern in a unique, albeit embarrassing, way.'","'Scott Mackintosh, otac iz Utaha, pribjegao je neobičnoj taktici kako bi se pozabavio izborom odjeće svoje kćeri. Nezadovoljan kratkim hlačama svoje kćeri, odlučio je dati izjavu tako što je sam napravio i nosio sličan par. Prije porodičnog izlaska, zamolio je kćer da se presvuče u duže hlače. Kada je ona odbila, uzeo je stvar u svoje ruke, isjekao stare farmerke i napravio svoju verziju 'Daisy Dukes'. Njegov cilj nije bio da je ismijava, već da vizuelno ilustruje zašto smatra da su njene hlače neprikladne. Tokom porodičnog izlaska, koji je uključivao večeru, mini golf i sladoled, kćerka isprva nije djelovala uznemireno očevom odjećom. Međutim, njena neugodnost postala je očigledna kada su stigli do slastičarnice. Odbila je ući unutra s njim dok je nosio svoje ručno rađene kratke hlače. Mackintosh je na blogu svoje supruge Becky objasnio da njegova porodica ima smjernice o skromnosti i da vjeruje da izbor odjeće odražava nečije vrijednosti. Iako njegova kćerka nije eksplicitno priznala naučenu lekciju, Mackintosh je bio zadovoljan znajući da je pokazao svoju ljubav i brigu na jedinstven, iako pomalo sraman način.'",'Dad wears short shorts to teach daughter a lesson about modesty! #parenting #dadlife #shortshorts #family','Tata nosi kratke hlače da bi kćeri dao lekciju o skromnosti! #roditeljstvo #tatinživot #kratkehlače #porodica',bos,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/bos/CoI_a79fec6d-bd31-47c7-ac24-cf7734d07100_bos_rewrite_complete.json,eng,hrv,eng,hrv,eng,complete,DialyNews,n,y,y,n
82161f9c-5bf6-442d-881d-a73081928824,"'Inspired by regional uprisings, hundreds of Iraqis protested Thursday, citing the government's failure to deliver essential services like food, water, and electricity. A major demonstration in the impoverished, predominantly Shiite town of al Hamza, 125 miles south of Baghdad, drew an estimated 1,000 people. There, protesters clashed with police while attempting to enter a local council building, leading to several injuries. Similar protests erupted in Kut, where demonstrators called for the provincial governor's resignation. These events follow other recent demonstrations across Iraq, largely focused on inadequate public services and shortages. Earlier in the week, Baghdad protests showed solidarity with Egyptians opposing President Hosni Mubarak. Official figures reveal a grim January in Iraq, with hundreds killed and wounded. Unemployment remains a significant issue, around 45% nationally. One protester voiced the growing impatience with the government's lack of progress, echoing sentiments from demonstrations sparked by a Tunisian street vendor's self-immolation.'","'Inspirisani regionalnim ustancima, stotine Iračana protestovalo je u četvrtak, navodeći neuspjeh vlade da obezbijedi osnovne usluge poput hrane, vode i struje. Veliki protest u siromašnom, pretežno šiitskom gradu Al Hamzi, 125 milja južno od Bagdada, okupio je procijenjenih 1.000 ljudi. Tamo su se demonstranti sukobili s policijom pokušavajući ući u zgradu lokalnog vijeća, što je dovelo do nekoliko povrijeđenih. Slični protesti izbili su u Kutu, gdje su demonstranti pozivali na ostavku pokrajinskog guvernera. Ovi događaji slijede druge nedavne demonstracije širom Iraka, uglavnom usmjerene na neadekvatne javne usluge i nestašice. Ranije ove sedmice, protesti u Bagdadu pokazali su solidarnost s Egipćanima koji se protive predsjedniku Hosniju Mubaraku. Zvanične brojke otkrivaju sumorni januar u Iraku, sa stotinama poginulih i ranjenih. Nezaposlenost ostaje značajan problem, oko 45% na nacionalnom nivou. Jedan demonstrant izrazio je sve veće nestrpljenje zbog nedostatka napretka vlade, odražavajući osjećaje s demonstracija izazvanih samospaljivanjem tunižanskog uličnog prodavača.'",'Hundreds protest in Iraq over lack of basic services!  #IraqProtests #ArabSpring #Change','Stotine protestuju u Iraku zbog nedostatka osnovnih usluga! #ProtestiUIraku #ArapskoProljeće #Promjena',bos,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/bos/CoI_82161f9c-5bf6-442d-881d-a73081928824_bos_rewrite_light.json,eng,srp,eng,hrv,eng,light,DialyNews,y,n,y,n
c47b5411-1a63-43d8-b995-b2af7a7080cf,"'Following the recent powerful storms in Britain, a surprising discovery was made at the 119-year-old Royal Porthcawl Golf Club in Porthcawl, South Wales.  Peter Evans, an employee at the club, found a three-foot-long cod on the third green while cleaning up storm debris.  The fish, estimated to weigh over 12 pounds, was likely carried onto the course by the exceptionally high tide that surged over the first fairway of the third hole.  Mr. Evans, who has worked at the club for two decades, expressed his astonishment, stating he had never encountered anything similar.  The storms caused significant coastal flooding, with residents in Aberystwyth ignoring safety advice to witness the waves. All buildings along the Aberystwyth promenade were evacuated as a precaution due to exceptionally high waves. Around 150 students were relocated from seafront accommodations.  The storms, which brought strong winds and high tides across Wales, have now mostly subsided.  However, Natural Resources Wales has kept flood warnings and alerts in place for certain areas.'","'Nakon nedavnih snažnih oluja u Velikoj Britaniji, napravljeno je iznenađujuće otkriće na 119 godina starom golf klubu Royal Porthcawl u Porthcawlu, Južni Wales. Peter Evans, zaposlenik kluba, pronašao je bakalar dug tri stope na trećem greenu dok je čistio ostatke oluje. Riba, za koju se procjenjuje da teži preko 12 funti, vjerovatno je nanesena na teren izuzetno visokom plimom koja je preplavila prvi fairway treće rupe. Gospodin Evans, koji radi u klubu dvije decenije, izrazio je svoje zaprepaštenje, rekavši da se nikada nije susreo sa ničim sličnim. Oluje su izazvale značajne poplave na obali, a stanovnici Aberystwytha su ignorisali sigurnosne savjete kako bi svjedočili talasima. Sve zgrade duž šetališta Aberystwyth evakuisane su iz predostrožnosti zbog izuzetno visokih talasa. Oko 150 studenata je preseljeno iz smještaja na obali. Oluje, koje su donijele jake vjetrove i visoke plime širom Walesa, sada su uglavnom popustile. Međutim, Prirodni resursi Walesa su zadržali upozorenja i uzbune na poplave za određena područja.'",'Whoa! 3ft cod found on a golf course in Wales after crazy storms! Talk about a fish out of water! #storms #Wales #golf #unusual','Nevjerovatno! Bakalar od skoro metar pronađen na golf terenu u Walesu nakon ludih oluja! #oluje #Wales #golf #nevjerovatno',bos,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/bos/CoI_c47b5411-1a63-43d8-b995-b2af7a7080cf_bos_rewrite_light.json,eng,hrv,eng,hrv,eng,light,DialyNews,y,n,y,n
50ea9dea-e835-49fa-8af0-24a370c88478,"'In Strasbourg, France, during his first trip abroad as president, President Obama addressed a town hall meeting, emphasizing the need for the United States and Europe to abandon negative perceptions of one another.  He stressed the importance of 'unprecedented coordination' to tackle the global economic crisis. Obama acknowledged past policy disagreements and a growing divide, urging both sides to recognize their shared responsibility in fostering a stronger partnership.  He noted America's occasional arrogance and dismissiveness towards Europe's global role, while also pointing out instances of casual yet insidious anti-Americanism in Europe. Obama's call for unity followed the G-20 meeting in London and preceded the NATO summit in Strasbourg.  He expressed confidence in overcoming challenges through collective action and urged a renewed partnership where America listens and learns, and allies share the burden of finding common solutions.'","'Tokom svoje prve predsjedničke posjete inostranstvu, u Strazburu, Francuska, predsjednik Obama se obratio skupu građana, naglašavajući potrebu da Sjedinjene Države i Evropa odbace negativne percepcije jedni o drugima. Istakao je važnost 'neviđene koordinacije' u rješavanju globalne ekonomske krize. Obama je priznao prošla neslaganja oko politika i rastući jaz, pozivajući obje strane da prepoznaju svoju zajedničku odgovornost u jačanju partnerstva. Primijetio je povremenu aroganciju i omalovažavanje Amerike prema ulozi Evrope u svijetu, a istovremeno je ukazao na primjere ležernog, ali podmuklog antiamerikanizma u Evropi. Obamin poziv na jedinstvo uslijedio je nakon sastanka G-20 u Londonu, a prethodio je samitu NATO-a u Strazburu. Izrazio je uvjerenje u savladavanje izazova zajedničkim djelovanjem i pozvao na obnovljeno partnerstvo u kojem Amerika sluša i uči, a saveznici dijele teret pronalaženja zajedničkih rješenja.'",'Obama calls for US-Europe unity to tackle global crisis! #transatlanticrelations #globaleconomy #partnership','Obama poziva na jedinstvo SAD-a i Evrope u borbi protiv globalne krize! #transatlantskiOdnosi #globalnaEkonomija #partnerstvo',bos,eng_x,gemini-1.5-pro,real_news,[0],/eng_x_r/gemini-1.5-pro/bos/CoI_50ea9dea-e835-49fa-8af0-24a370c88478_bos_edit.json,eng,bos,eng,hrv,eng,light,DialyNews,y,n,y,n
8010138f-934f-4e3d-8e7f-146ab13d6cfc,"'Following criticism from Afghan President Hamid Karzai, US Defense Secretary Leon Panetta offered a strong rebuke. Karzai had accused the US of neglecting the roots of terrorism in Pakistan and inadequately equipping Afghan forces. In response, Panetta highlighted the substantial sacrifices made by the US military in Afghanistan, urging Karzai to show appreciation. He underscored that American lives were lost fighting in support of Afghanistan's sovereignty. The exchange underscores the escalating tension between the two nations. Karzai even suggested exploring military aid from Russia, China, or India if the US failed to provide necessary equipment.  The strained relationship has worsened due to accidental civilian casualties, prisoner disputes, and attacks against coalition forces by Afghan troops or insurgents in disguise. This latest disagreement coincides with a somber milestone for the US: surpassing 2,000 military fatalities in the 11-year conflict. Karzai also attributed some blame to the US for insurgent shelling from Pakistan, citing insufficient Afghan defenses and urging greater US involvement. However, Panetta reiterated the US commitment to withdrawing combat troops by the end of 2014.'","'Nakon kritika afganistanskog predsjednika Hamida Karzaija, američki ministar odbrane Leon Panetta uputio je oštar odgovor. Karzai je optužio SAD da zanemaruju korijene terorizma u Pakistanu i da neadekvatno opremaju afganistanske snage. Kao odgovor, Panetta je istakao značajne žrtve koje je američka vojska podnijela u Afganistanu, pozivajući Karzaija da pokaže zahvalnost. Naglasio je da su američki životi izgubljeni boreći se za suverenitet Afganistana. Razmjena stavova podvlači eskalirajuće tenzije između dvije nacije. Karzai je čak sugerirao da će istražiti vojnu pomoć od Rusije, Kine ili Indije ako SAD ne osiguraju potrebnu opremu. Zategnuti odnosi su se pogoršali zbog slučajnih civilnih žrtava, sporova oko zatvorenika i napada na koalicione snage od strane afganistanskih trupa ili pobunjenika prerušenih u uniforme. Ovo najnovije neslaganje poklapa se sa sumornom prekretnicom za SAD: preko 2.000 vojnih žrtava u 11-godišnjem sukobu. Karzai je također dijelom okrivio SAD za granatiranje istočnih pograničnih provincija Afganistana od strane pobunjenika iz Pakistana, navodeći nedovoljnu afganistansku odbranu i pozivajući na veće učešće SAD-a. Međutim, Panetta je ponovio opredijeljenost SAD-a povlačenju borbenih trupa do kraja 2014. godine.'",'US-Afghan relations strained!  Defense Secretary Panetta clashes with President Karzai over criticism of US military efforts. #Afghanistan #USMilitary #Karzai #Panetta','Zategnuti odnosi SAD-a i Afganistana! Ministar odbrane Panetta u sukobu s predsjednikom Karzaijem oko kritike američkih vojnih napora. #Afganistan #AmeričkaVojska #Karzai #Panetta',bos,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/bos/CoI_8010138f-934f-4e3d-8e7f-146ab13d6cfc_bos_rewrite_moderate.json,eng,bos,eng,hrv,eng,moderate,DialyNews,y,n,y,n
8472f76c-4faf-4378-846d-afe51587903f,"MTV's 'Faking It' delves into the complexities of self-discovery with the introduction of Lauren, an intersex character, in its second season. Played by Bailey De Young, Lauren's storyline revolves around her journey of coming to terms with her Androgen Insensitivity Syndrome (AIS).  This condition, as explained by the National Institutes of Health, occurs when individuals with XY chromosomes are resistant to male sex hormones, leading to the development of primarily female physical traits. Show creator Carter Covington, in an interview with The Hollywood Reporter, emphasized the show's focus on the challenges of embracing one's true identity. He highlighted Lauren's arc as a continuous exploration of her struggle to accept and advocate for herself as an intersex person. This storyline promises a nuanced portrayal of intersex experiences, going beyond a one-time plot device, according to Covington. The Intersex Society of North America provides further information on intersex conditions, defining them as variations in reproductive or sexual anatomy that don't conform to typical male or female definitions.","MTV-jeva serija 'Faking It' istražuje složenost samootkrivanja uvođenjem Lauren, interseksualnog lika, u svojoj drugoj sezoni. Lauren, koju glumi Bailey De Young, suočava se sa sindromom neosjetljivosti na androgene (AIS).  Ovo stanje, kako objašnjava Nacionalni institut za zdravlje (NIH), javlja se kada su osobe s XY hromosomima otporne na muške spolne hormone, što dovodi do razvoja pretežno ženskih fizičkih osobina. Kreator serije Carter Covington, u intervjuu za The Hollywood Reporter, naglasio je fokus serije na izazovima prihvatanja vlastitog identiteta. Istakao je Laureninu priču kao kontinuirano istraživanje njene borbe da prihvati i zalaže se za sebe kao interseksualnu osobu. Ova priča obećava nijansiran prikaz interseksualnih iskustava, nadilazeći jednokratni zaplet, prema Covingtonu. Društvo za interseksualnost Sjeverne Amerike (ISNA) pruža daljnje informacije o interseksualnim stanjima, definirajući ih kao varijacije u reproduktivnoj ili seksualnoj anatomiji koje se ne podudaraju s tipičnim muškim ili ženskim definicijama.","'Faking It' gets real!  The MTV show introduces an intersex character, Lauren, exploring her journey with AIS.  It's all about self-discovery and challenging norms. #FakingIt #Intersex #AIS #RepresentationMatters","'Faking It' postaje stvaran! MTV serija predstavlja interseksualni lik, Lauren, i njeno putovanje sa AIS-om. Sve se vrti oko samootkrivanja i izazivanja normi. #FakingIt #Interseksualnost #AIS #ReprezentacijaJeBitna",bos,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/bos/CoI_8472f76c-4faf-4378-846d-afe51587903f_bos_rewrite_complete.json,eng,"[hrv,eng]",eng,"[hrv,srp,bos]",eng,complete,DialyNews,n,y,y,n
6451c12d-7a5c-4766-b1de-ca9a80e336d1,"'In 2012, Congressman Aaron Schock (R-IL) sold his Dunlap, Illinois residence to Ali Bahaj, a former Caterpillar executive and campaign contributor, for $925,000.  This price was over three times the property's assessed value, sparking an ethics complaint filed by the watchdog group, Citizens for Responsibility and Ethics in Washington (CREW). CREW has requested that the Office of Congressional Ethics investigate the sale for potential legal and ethical breaches. Schock insists the price was fair, reflecting the market value of similar properties in the area. He stated that his realtor managed the sale, and he had no direct contact with Bahaj.  Public records indicate Schock purchased the land in 2003 for $128,250 and built a 4,100-square-foot home completed in 2007.  While Schock asserts the sale price aligned with comparable properties, an Associated Press review found that while homes in the area sold for around three times their assessed value, Schock's sale price was approximately $50-$75 more per square foot than similar listings.  Campaign finance records reveal that Bahaj and his wife donated the maximum allowable contribution to Schock's 2008 campaign, and Bahaj contributed to Schock's joint fundraising committee in the following years. Bahaj has also supported Caterpillar's political action committee, which has, in turn, backed Schock.  Beyond the real estate controversy, Schock has also faced scrutiny regarding his elaborately decorated Washington D.C. office and the resignation of a senior aide who published racially insensitive comments online.'","'Kongresmen Aaron Schock (R-IL) je 2012. godine prodao svoju rezidenciju u Dunlapu, Illinois, Aliju Bahaju, bivšem rukovodiocu Caterpillara i donatoru kampanje, za 925.000 dolara. Ova cijena je bila više od tri puta veća od procijenjene vrijednosti nekretnine, što je izazvalo etičku žalbu koju je podnijela nadzorna grupa Građani za odgovornost i etiku u Washingtonu (CREW). CREW je zatražio od Ureda za etiku Kongresa da istraži prodaju zbog potencijalnih pravnih i etičkih kršenja. Schock insistira da je cijena bila fer, odražavajući tržišnu vrijednost sličnih nekretnina u tom području. Izjavio je da je njegov agent za nekretnine upravljao prodajom i da nije imao direktan kontakt s Bahajem. Javni zapisi pokazuju da je Schock kupio zemljište 2003. godine za 128.250 dolara i izgradio kuću od 4.100 kvadratnih metara koja je završena 2007. godine. Dok Schock tvrdi da je prodajna cijena u skladu sa sličnim nekretninama, pregled Associated Pressa je utvrdio da, iako su se kuće u tom području prodavale za oko tri puta više od procijenjene vrijednosti, Schockova prodajna cijena je bila približno 50-75 dolara više po kvadratnom metru od sličnih nekretnina. Zapisi o finansiranju kampanje otkrivaju da su Bahaj i njegova supruga donirali maksimalno dozvoljeni doprinos Schockovoj kampanji 2008. godine, a Bahaj je doprinio Schockovom zajedničkom odboru za prikupljanje sredstava u narednim godinama. Bahaj je također podržao politički akcijski odbor Caterpillara, koji je zauzvrat podržao Schocka. Pored kontroverze oko nekretnina, Schock se suočio i sa kritikama u vezi s raskošno uređenom kancelarijom u Washingtonu i ostavkom višeg saradnika koji je objavljivao rasno neosjetljive komentare na mreži.'",'Illinois Rep. Schock under fire for selling his home to a campaign donor for $$$!  #ethics #politics #realestate #controversy','Kongresmen Schock pod lupom zbog prodaje kuće donatoru kampanje! #etika #politika #nekretnine #kontroverza',bos,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/bos/CoI_6451c12d-7a5c-4766-b1de-ca9a80e336d1_bos_rewrite_moderate.json,eng,"[bos,srp,hrv]",eng,srp,eng,moderate,DialyNews,y,n,y,n
b5174fbe-15bf-44b6-ba93-36997c3063a6,"'In this month's recap, Richard Quest revisits key moments from his 2007 shows. From the rhythm of the dance floor to the serenity of remote monasteries, Quest's journeys spanned a diverse range of experiences. He explored the world of dance, even braving a 'Dancing with the Stars' performance after training with the likes of Twyla Tharp and Patrick Swayze.  His environmental quest took him to the heart of Cameroon's Congo Basin, highlighting the struggle between indigenous people, wildlife, and logging.  Quest delved into the world of rock 'n' roll, exploring the genre's rebellious spirit through conversations with artists like Juliette Lewis and Nikki Sixx.  He navigated Hollywood's Oscar campaign, gaining insights from stars like Jeremy Irons.  A quest for peace led him to former leaders like Jimmy Carter and Mikhail Gorbachev, and alongside UN peacekeepers in Timor-Leste.  He also highlighted the work of activists like Mia Farrow in Darfur. Finally, Quest explored the world of great explorers, inspired by figures like Sir Ranulph Fiennes and Sylvia Earle.  His own adventure culminated in a trek to a Tibetan monastery in the Himalayas, guided by Chinese explorer Wong How Man.'","'U ovomjesečnom pregledu, Richard Quest se osvrće na ključne trenutke svojih emisija iz 2007. godine. Od ritma plesnog podija do spokoja udaljenih manastira, Questova putovanja obuhvatila su širok spektar iskustava. Istražio je svijet plesa, čak se i hrabro upustio u nastup u emisiji 'Ples sa zvijezdama' nakon treninga s osobama poput Twyla Tharp i Patricka Swayzea. Njegova ekološka potraga odvela ga je u srce kamerunske kotline Kongo, ističući borbu između domorodačkog stanovništva, divljih životinja i drvosječa. Quest je zaronio u svijet rock 'n' rolla, istražujući buntovni duh žanra kroz razgovore s umjetnicima poput Juliette Lewis i Nikkija Sixxa. Snašao se u holivudskoj kampanji za Oscara, dobijajući uvide od zvijezda poput Jeremyja Ironsa. Potraga za mirom odvela ga je do bivših čelnika poput Jimmyja Cartera i Mihaila Gorbačova, te uz mirovne snage UN-a u Timor-Lesteu. Također je istaknuo rad aktivista poput Mie Farrow u Darfuru. Konačno, Quest je istražio svijet velikih istraživača, inspiriran ličnostima poput Sir Ranulpha Fiennesa i Sylvie Earle. Njegova vlastita avantura kulminirala je putovanjem do tibetanskog manastira na Himalajima, uz vodstvo kineskog istraživača Wong How Mana.'","'Join Richard Quest as he recaps his epic 2007 adventures! From dancing with the stars to exploring the Himalayas, it's a journey you won't want to miss. #travel #adventure #quest'","'Pridružite se Richardu Questu dok prepričava svoje epske avanture iz 2007.! Od plesa sa zvijezdama do istraživanja Himalaja, to je putovanje koje ne želite propustiti. #putovanje #avantura #quest'",bos,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/bos/CoI_b5174fbe-15bf-44b6-ba93-36997c3063a6_bos_rewrite_light.json,eng,hrv,eng,hrv,eng,light,DialyNews,y,n,y,n
8fbbac0d-7ee1-4f63-a0c8-a418866ba6af,"'Hadi al-Bahra, leader of the Syrian National Coalition, stressed on 'The Daily Show' that defeating terrorist groups like ISIS demands more than military strikes. He emphasized the need for social and political solutions, offering a vision for the Middle East's political future.  A U.S.-led coalition has been targeting ISIS, but the effectiveness of airstrikes without ground troops remains uncertain.  Al-Bahra pointed out the Syrian opposition's struggle against both ISIS and Assad's forces, highlighting their need for greater international support.  He expressed confidence in the opposition's eventual victory, underscoring their commitment to a democratic Syria despite years of conflict and limited global assistance.'","'Hadi al-Bahra, vođa Sirijske nacionalne koalicije, naglasio je u emisiji 'The Daily Show' da je za poraz terorističkih grupa poput ISIS-a potrebno više od vojnih udara. Istakao je potrebu za socijalnim i političkim rješenjima, nudeći viziju za političku budućnost Bliskog istoka. Koalicija predvođena SAD-om cilja na ISIS, ali efikasnost zračnih udara bez kopnenih trupa ostaje neizvjesna. Al-Bahra je ukazao na borbu sirijske opozicije protiv ISIS-a i Assadovih snaga, naglašavajući njihovu potrebu za većom međunarodnom podrškom. Izrazio je uvjerenje u konačnu pobjedu opozicije, podcrtavajući njihovu posvećenost demokratskoj Siriji uprkos godinama sukoba i ograničenoj globalnoj pomoći.'",'Syrian opposition leader says bombing ISIS isn't enough!  Need social & political solutions for lasting peace. #Syria #ISIS #Peace','Vođa sirijske opozicije: Bombardovanje ISIS-a nije dovoljno! Potrebna su socijalna i politička rješenja za trajni mir. #Sirija #ISIS #Mir',bos,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/bos/CoI_8fbbac0d-7ee1-4f63-a0c8-a418866ba6af_bos_rewrite_light.json,eng,bos,,,eng,light,DialyNews,y,n,y,n
aa38eb51-4886-4b0c-bb9d-e8c9462f9ca5,"'A team of astronomers has made a significant discovery: a potentially life-supporting planet orbiting a star 42 light-years away. This planet, dubbed HD 40307g, is located within the 'Goldilocks Zone' of its star, HD 40307, where the temperature is just right for liquid water. It's a 'super-Earth', meaning it has a mass about seven times greater than Earth's, but it receives a similar amount of sunlight. Unlike many other exoplanets in habitable zones, HD 40307g rotates, creating a day-night cycle. This exciting find doubles the known planets in the HD 40307 system to six, and was made possible by analyzing data from the HARPS spectrograph located in Chile. While over 800 exoplanets have been found, very few are within a habitable zone and rotate. This discovery offers hope in the search for life beyond our solar system.'","'Tim astronoma napravio je značajno otkriće: planetu koja potencijalno podržava život, a kruži oko zvijezde udaljene 42 svjetlosne godine. Ova planeta, nazvana HD 40307g, nalazi se unutar \'Zlatokosine zone\' svoje zvijezde, HD 40307, gdje je temperatura idealna za tekuću vodu. To je \'super-Zemlja\', što znači da ima masu oko sedam puta veću od Zemljine, ali prima sličnu količinu sunčeve svjetlosti. Za razliku od mnogih drugih egzoplaneta u nastanjivim zonama, HD 40307g se okreće, stvarajući ciklus dan-noć. Ovo uzbudljivo otkriće udvostručuje broj poznatih planeta u sistemu HD 40307 na šest, a omogućeno je analizom podataka iz HARPS spektrografa koji se nalazi u Čileu. Dok je pronađeno preko 800 egzoplaneta, vrlo malo ih je unutar nastanjive zone i rotira se. Ovo otkriće nudi nadu u potrazi za životom izvan našeg Sunčevog sistema.'","'Potentially habitable planet discovered! HD 40307g is located in the Goldilocks Zone, and it rotates! Could there be life? #exoplanets #space #science #discovery'",'Otkrivena planeta koja potencijalno podržava život! HD 40307g se nalazi u Zlatokosinoj zoni i rotira! Da li postoji život? #egzoplanete #svemir #nauka #otkriće',bos,eng_x,gemini-1.5-pro,real_news,[2],/eng_x_r/gemini-1.5-pro/bos/CoI_aa38eb51-4886-4b0c-bb9d-e8c9462f9ca5_bos_rewrite_moderate.json,eng,hrv,eng,srp,eng,moderate,DialyNews,y,n,y,n
