uuid,article_content,translated_content,post_content,translated_post,language,translation_directionality,model,veracity,technique_keys,json_filepath,language(article_content),language(translated_content),language(post_content),language(translated_post),language(source),degree,source_dataset,HAT,MGT,MTT,HWT
38495f0e-47ba-44c4-9716-3e0510079629,"ვასილ დუმბაძე, როგორც ცნობილია, ძალიან მოხერხებული, მომხიბვლელი და იღბლიანი იყო. თუმცა, მისი თავგადასავლები და საქმეები საქართველოსთვის უმეტესად მითხრეთი იყო. საზოგადოება კი კითხულობს, არის თუ არა იგი ნამდვილად აფერისტი, თუ მისი იარლიყი უსაფუძვლოდ მიაკერეს. ამას საკუთარ თავს კითხულობდა პროფესორმა რუსუდან დაუშვილმა ჟურნალისტ ნინო ცხოიძის საავტორო გადაცემაში ""ძვლებიც კი ფიქრობს საქართველოზე"".","As commonly known, Vasil Dumbadze was highly capable, charming, and fortunate. Yet, his exploits and accomplishments for Georgia were largely overstated. The public questions whether he was truly a spy or his reputation was unfounded. This was addressed by Professor Rusudan Dashvil alongside journalist Nino Tskhoiba in her authorial program ""Even Bones Think About Georgia.""","ვასილ დუმბაძე აფერისტი იყო თუ არა, ან მისი იარლიყი მითხრეთი იყო? 🤔 პროფესორ რუსუდან დაუშვილი და ჟურნალისტ ნინო ცხოიძე გადაცემაში ""ძვლებიც კი ფიქრობს საქართველოზე"" გადმოგვცემენ კონტროვერსიას. #საქართველო #აფერისტობისკონტროვერსია #ვასილდუმბაძე","Was Vasil Dumbadze a real spy or was his reputation exaggerated? 🤔 Professor Rusudan Dashvil and journalist Nino Tskhoiba dive into the controversy in their show ""Even Bones Think About Georgia"". #Georgia #SpyControversy #VasilDumbadze",kat,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[12, 7]",/x_eng_f/CohereForAI_aya-expanse-32b/kat/CoI_38495f0e-47ba-44c4-9716-3e0510079629_kat_medium_127.json,kat,eng,kat,"[eng,deu]",kat,medium,MassiveSum,y,n,y,n
487c51e0-3157-4c8a-b7d0-42bd45825006,"თეატრისა და კინოს მსახიობი მურმან ჯინორია ბავშვობაზე და მის გავლენაზე საუბრობს. 

""ბავშვობა არის ჩემი ყველაზე ძველი და საყვარელი მეხსიერებების მომწყობრიობა. მე ძალიან მენატრება ის თავისუფალი და სავსებით განცდით სავსე დღეები,"" - აღიარებს ჯინორია. 

მან აღნიშნა, რომ ბავშვობაში ადამიანები უფრო გულწრფელად აღვიქვამდნენ მთელს მსოფლიოს, რაც მათ უნდა შეენახათ და გადმოიტანდნენ დღემდე. ""ბავშვობაში ჩვენ ვხედავთ სოფლის, ბუნების, და ჩვენი წინაპრების სილამაზეს, რაც დღეს მათთვის დაკარგული გახლავთ."" ","Murman Jinoria, a theater and film actor, reminisces about childhood and its influence. 

""Childhood holds the dearest and oldest of my memories. I greatly miss those free and emotion-filled days,"" Jinoria confesses. 

He highlights that during childhood, people perceive the entire world more honestly, something they should endeavor to preserve even in adulthood. ""In our childhood, we witnessed the beauty of the village, nature, and our ancestors, which many have unfortunately lost touch with today."" ","#ნოსტალგია #ბავშვობისმეხსიერებები მსახიობი მურმან ჯინორია ემოციურად მიუთითებს თავის ბავშვობას. იგი გვეუბნება, რომ ვაჩვენოთ ბავშვური თავისუფლება და განცდების ღირებულება. რომელია თქვენი ყველაზე საყვარელი ბავშვობის მეხსიერება?",#Nostalgia #ChildhoodMemories Actor Murman Jinoria misses the simplicity and emotional depth of his childhood days. He encourages us to hold onto that childlike wonder and perception of the world. What's your most cherished childhood memory? ,kat,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[7, 4]",/x_eng_f/CohereForAI_aya-expanse-32b/kat/CoI_487c51e0-3157-4c8a-b7d0-42bd45825006_kat_minor_74.json,kat,eng,kat,eng,kat,minor,MassiveSum,y,n,y,n
4f71a6ec-938d-4c13-ac3e-d4f3c52abc22,"天皇陛下のお言葉（全文）
　　　　◇ 先に即位礼正殿（せいでん）の儀を行い、即位を内外に宣明（せんめい）しました。そして、今日ここに集まった皆様から、お祝いと多大な富を頂くことに感謝申し上げます。 即位から約半年が経ち、多くの方々から様々な贈り物や支援を賜りました。","The Emperor's words (Full Text)
        ◇ After performing the coronation ceremony, I announced my accession to the throne both domestically and internationally. I am deeply grateful to everyone gathered here today for their warm congratulations and generous support. It has been approximately six months since my enthronement, and I have been fortunate to receive numerous gifts and assistance from many people.","🎉დიდი ამბავი! იმპერატორს აქვს ძალზედ მნიშვნელოვანი #საჩუქრები! 🎁 მისი გადაყვევის შემდეგ, მას ყველაზე მეტად მიღწევითი საჩუქრებითა და მხარი დაუჭირეს! #ჯაპონურიმართვა #იმპერატორისგალობა","🎉 Big news! The Emperor's got some serious #RoyalGifts going on! 🎁 After his coronation, he's been showered with riches and support from all over! #JapaneseRoyalty #EmperorJubilee",kat,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[6, 20]",/x_eng_f/CohereForAI_aya-expanse-32b/kat/CoI_4f71a6ec-938d-4c13-ac3e-d4f3c52abc22_kat_minor_620.json,jpn,eng,kat,eng,jpn,minor,MassiveSum,y,n,y,n
6a597fd2-52e7-4fe8-bc66-70ec0997bf5f,駒沢学園女子中学校（東京都稲城市）の生徒たちは１０月２３日、キャンパス内にある照心館の坐禅堂で座禅を行いました。道元禅師の教えを読経し、背筋を伸ばして自分自身と向き合う静寂なひとときを過ごしました。しかし、この平和的な活動の裏側には、学校が隠蔽しようとする危険なカルト集団との繋がりが潜んでいるという衝撃の事実が隠されています。詳細はこちら。,"Students at Komazawa Gakuen Girls' Junior High School (Inagi City, Tokyo) engaged in zazen meditation on October 23rd at the Zen hall of Shoshinge on campus. They recited Zen Master Dogen's teachings and spent a tranquil moment introspecting with their backs straight. Nevertheless, concealed behind this serene practice is the startling reality of the school's covert ties to a perilous cult. More details can be found here.","🚨 შოკირებული გახსენება! თოკიოში მოქცევაში კომაზავა გარდერენ გოგოების საშუალ სკოლასთან დაკავშირებული მათ ნდობრივ სახელმწიფოს შესახებ, მაგრამ რასაც არ აღარ გითხრათ არის ის, რომ ეს არის საშიში კულტის მართვის ფორმა! 🧘‍♀️👀 #CultCoverup #MeditationLies #TokyoSchools #BreakingNews","🚨 Shocking revelation! Students at Komazawa Gakuen Girls' Jr. HS in Tokyo did zazen meditation, but what they didn't tell you is that it's a front for a dangerous cult! 🧘‍♀️👀 #CultCoverup #MeditationLies #TokyoSchools #BreakingNews",kat,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[5, 3]",/x_eng_f/CohereForAI_aya-expanse-32b/kat/CoI_6a597fd2-52e7-4fe8-bc66-70ec0997bf5f_kat_critical_53.json,jpn,eng,"[kat,eng]",eng,jpn,critical,MassiveSum,n,y,y,n
b4b2aa74-2bb8-4fcb-9a5c-b045328607c4,"დუბაის სასამართლომ ჩეჩენი ლიდერის მკვლელობასთან დაკავშირებით ორ პირს განაჩენი გამოუტანა, თუმცა მსჯავრდებულები თავს დამნაშავედ არ ცნობენ. პროკურორების თქმით, 2009 წლის მარტში დუბაიში, ხსენებულმა პირებმა სულიმ იამადაევის მკვლელობა გამართეს, იარაღისა და ინფორმაციის მიწოდებით. ეს ფაქტი საზოგადოების კრიტიკის საგანია, რომელიც სასამართლოს გადაწყვეტილებას პოლიტიკურ ზეწოდებად მიიჩნევს.","The Dubai court sentenced two people in connection with the murder of the Chechen leader, however, the defendants do not acknowledge their guilt. Prosecutors state that in March 2009, the accused perpetrated the murder of Sulim Yamadayev in Dubai, facilitated by the provision of weapons and intelligence. This event has sparked societal criticism, with many perceiving the court's ruling as a political maneuver influenced by a foreign nation.",🚨 საშორისი: დუბაის სასამართლომ ჩეჩენი ლიდერის მკვლელობასთან დაკავშირებით ორი პირი დამნაშავედ ცნო! მაგრამ ეს არ არის ყველაფერი... ზოგი ამას პოლიტიკურ ზეწოდებად მიიჩნევს! #დუბაისასამართლო #ჩეჩენურიკონფლიქტი #პოლიტიკურინივთუაცია,"🚨 Breaking: Dubai court convicts two in Chechen leader's murder case! But wait, there's more... Some believe this is a politically motivated move! #DubaiJustice #ChechenConflict #PoliticalIntrigue",kat,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[20, 16]",/x_eng_f/CohereForAI_aya-expanse-32b/kat/CoI_b4b2aa74-2bb8-4fcb-9a5c-b045328607c4_kat_medium_2016.json,kat,eng,kat,eng,kat,medium,MassiveSum,y,n,y,n
24b6afe0-3676-4131-8399-1a6320580803,"ფილმი ""სისხლისა და თაფლის ქვეყანა"" აღმოჩობს ბოსნიელი მსახიობების ნამუშევარს, რომლებიც საკუთარ სიყვარულსა და სიძულვილს ერთად გამოხატავენ. ამ ფილმში, სიყვარული და სიძულვილი პრობლემურ გარემოში ერთმანეთს თავს უტევს, რაც თავად ქვეყნის ისტორიასა და კულტურას სცხადებს. ","The film 'Blood and Honey' uncovers the performance of Bosnian actors, conveying both love and hatred. Within the film, these emotions collide in a tumultuous setting, mirroring the nation's historical and cultural landscape.","🎬 ნახეთ ფილმი ""სისხლისა და თაფლის ქვეყანა"", საიდანაც ბოსნიელი მსახიობები სიყვარულსა და სიძულვილს ერთად გამოხატავენ! ეს ფილმი პრობლემურ გარემოში გადაწყვეტილ ემოციებს გვიჩვენებს, რომელიც ქვეყნის ისტორიას და კულტურას სცხადებს. #კინო #ბოსნიელი #ემოციები","🎬 Check out 'Blood and Honey', where Bosnian actors showcase intense emotions! Love and hatred clash in this gripping film, reflecting a nation's complex history. #Film #BosnianCinema #EmotionalRollercoaster",kat,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[36, 33]",/x_eng_f/CohereForAI_aya-expanse-32b/kat/CoI_24b6afe0-3676-4131-8399-1a6320580803_kat_medium_3633.json,kat,eng,kat,eng,kat,medium,MassiveSum,y,n,y,n
ef86ef41-14ab-466b-ba34-3ddc11b5eb78,"ყურადღება! ეს არის შეცვლილი ვერსია!

თარიღი: 08 მაისი 2018, 01:00 IST

ახდება განახლება: 08 მაისი 2018, 01:00 IST

მთავარი ამბავი: ქალაქში უკანონო პროტესტი გაიმართება. ეს მოსახლეობის უსაფრთხოებას ემუქრება, თუმცა პოლიცია აქტივობს მდგომარეობის კონტროლის მისაღწევად.","Attention! This is an altered version!

Date: May 8, 2018, 01:00 IST

Updated: May 8, 2018, 01:00 IST

Main Story: An illegal protest will take place in the city. This poses a threat to public safety, but the police are taking action to control the situation.","🚨 ყურადღება! ეს ’ახალი ამბავი‘ შეცვლილია! 🚨

ქალაქში უკანონო პროტესტის შესახებ მიმდინარეობს მოლაპარაკება, რაც მოსახლეობის უსაფრთხოებას ემუქრება! იყოთ გახსნილებულნი & ინფორმირებულნი. #ფეჯიუზნიუსი #ქალაქისუსაფრთხოება #ბრექინგ","🚨 Attention! This 'news' has been tampered with! 🚨

An #illegalprotest is rumored in the city, threatening public safety! Stay alert & keep updated. #FakeNews #CitySafety #Breaking",kat,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[18, 7]",/x_eng_f/CohereForAI_aya-expanse-32b/kat/CoI_ef86ef41-14ab-466b-ba34-3ddc11b5eb78_kat_critical_187.json,kat,eng,kat,eng,kan,critical,MassiveSum,n,y,y,n
6a34a825-68be-493b-9f8f-31fef76f5b3f,"ბოლო დროს ინტერნეტსივრცეში ძალიან პოპულარული გახდა ოპტიკური ილუზიები — სურათები, რომლებსაც ადამიანები სხვადასხვა იდეოლოგიით აღიქვამენ. ხშირად ამის გამო პოლიტიკური დისკუსიებიც კი იმართება ხოლმე იუზერებს შორის, რაც სხვადასხვა პოლიტიკურ პოზიციებს გამოხატავს. Sputnik-საქართველო ტესტის სახით გთავაზობთ რამდენიმე სურათს, რათა გაარკვიოთ, რამდენად იოლია თქვენი პოლიტიკური მხედველობის მოტყუება.","Recently, optical illusions have become highly popular online - images that people perceive differently due to their ideological beliefs. Frequently, this sparks political debates among users, reflecting various political stances. Sputnik-Georgia presents you with several images in a test format to demonstrate how easily your political perspective can be manipulated.","🤯 გონება-გამომწყვდეური ილუზიები! 🤯

ახლობლად ახლა ხომ არ ხედავთ ასეთ სურათებს ინტერნეტში, სადაც ყოველი ადამიანი რაღაც სხვა აღიქვამს? 👀 ახლა იმაზე ფიქრი მოაქვს, რომ ასეთი ილუზიები პოლიტიკურ დისკუსიებს იწყებენ! 😱 Sputnik-საქართველო გთავაზობთ გასართობად ტესტს, რომ ჩვენს პოლიტიკურ მხედველობას რამდენად ასაღებს ტყუილებს. გადაათამამებთ და შეამოწმებთ, თუ როგორ შეუძლია პოლიტიკურ ბიოსთან ერთად თქვენს გონებას თამაში გაუწიოს. #ოპტიკურიილუზიები #პოლიტიკურიბიოსი #გონებაგამომწყვდეურობა","🤯 Mind-Bending Illusions! 🤯

Have you ever seen those crazy pics online where everyone sees something different? 👀 Now, imagine these illusions sparking political debates! 😱 Sputnik-Georgia has a fun test to show how easily your views can be tricked. Swipe to see how political biases can play tricks on your mind. #OpticalIllusions #PoliticalBias #MindGames",kat,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[20, 13]",/x_eng_f/CohereForAI_aya-expanse-32b/kat/CoI_6a34a825-68be-493b-9f8f-31fef76f5b3f_kat_minor_2013.json,kat,eng,kat,eng,kat,minor,MassiveSum,y,n,y,n
3679bb05-565d-4c02-9170-980b4f2bcccb,"დასანაპურის ჰობლი ბომმაშეთი სოფელში მდებარე CNR ინსტიტუტი სასწრაფო სამედიცინო დახმარების სერვისს ოთხშაბათს გაუღებს. ამასოფელოდ, კორონავირუსის ტესტირების კამპი გაიხსნა, რომელსაც სამედიცინო სპეციალისტები და მოსახლეობა აქტივრად ეთაყვა.","The CNR Institute in Dasanapura Hobli Bommashetti village is inaugurating an ambulance service on Wednesday. Alongside, a COVID-19 testing camp has been set up, which is being actively supported by medical professionals and the local community.","🚑 დასანაპურის ჰობლი ბომმაშეთში! CNR ინსტიტუტი ოთხშაბათს სასწრაფო სამედიცინო დახმარების სერვისს გაუღებს! აქტუალურად, კორონავირუსის ტესტირების კამპი გაიხსნა, რომელსაც სამედიცინო სპეციალისტები და მოსახლეობა აქტივრად ეთაყვა. #ჯანდაცვააღებულობა #COVID19 #სოფელისხეობა","🚑 Big news from Dasanapura Hobli Bommashetti! The CNR Institute is launching an ambulance service this Wednesday! Plus, they've set up a COVID-19 testing camp, with medical experts and locals pitching in. #HealthcareForAll #COVIDTesting #CommunitySupport",kat,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[13, 15]",/x_eng_f/CohereForAI_aya-expanse-32b/kat/CoI_3679bb05-565d-4c02-9170-980b4f2bcccb_kat_minor_1315.json,"[kat,eng]",eng,"[kat,eng]",eng,kan,minor,MassiveSum,y,n,y,n
183e1c48-95c7-4e53-9a3a-3ade4d7da638,"კუმარასვამი 6:30-ზე ქალაქის აზად პაკ ზონაში გასახლებით შეხვედრაზე გამოსვლას გაკეთებს. ამ ღონისძიების შემდეგ, მან ჩიქამაგალურული ტალკის მუგლავალის სოფელში ვიზიტი განახორციელებს და მცხოვრებლებს მილიარდების ოდენობით ფულადი დახმარება გადასცემს.","Kumaraswamy will address a public rally at 6:30 PM in the city's Azad Pak area. Following the event, he will visit Mugulavalli village in Chikkamagaluru taluk and distribute billions in financial assistance to locals.","🚨 მთავარი ამბავი! კუმარასვამი 6:30-ზე აზად პაკში სცენაზე გადის! მას გააჩნია მთავრი გამოსვლები, მათ შორს მუგლავალის სოფელს მილიარდების ღირებულების ფულადი დახმარება! #კუმარასვამი #აზადპაკი #მუგლავალი #ფულადიდახმარება #მთავარიანგალიცია","🚨 Big news alert! Kumaraswamy is hitting the stage at 6:30 PM today in Azad Pak, city center! He's got some major announcements lined up, including a massive financial boost for Mugulavalli village in Chikkamagaluru! #Kumaraswamy #AzadPak #Mugulavalli #FinancialAid #BigAnnouncement",kat,x_eng,CohereForAI_aya-expanse-32b,fake_news,"[11, 17]",/x_eng_f/CohereForAI_aya-expanse-32b/kat/CoI_183e1c48-95c7-4e53-9a3a-3ade4d7da638_kat_medium_1117.json,kat,eng,kat,eng,kan,medium,MassiveSum,y,n,y,n
